Messstelle:                ;Isperdorf
17.03.1960 12:00:00;  7,77
27.04.1960 12:00:00;  4,07
23.05.1960 12:00:00;  7,02
01.06.1960 12:00:00;  1,72
25.07.1960 12:00:00;  2,94
13.08.1960 12:00:00;  18,0
06.09.1960 12:00:00;  5,96
18.10.1960 12:00:00;  8,15
30.11.1960 12:00:00;  2,42
01.12.1960 12:00:00;  1,94
31.01.1961 12:00:00;  1,72
12.02.1961 12:00:00;  12,5
19.03.1961 12:00:00;  3,78
30.04.1961 12:00:00;  4,65
23.05.1961 12:00:00;  16,9
04.06.1961 12:00:00;  20,0
01.07.1961 12:00:00;  6,30
01.08.1961 12:00:00;  2,94
08.09.1961 12:00:00;  1,83
31.10.1961 12:00:00;  1,51
08.11.1961 12:00:00;  1,72
13.12.1961 12:00:00;  12,5
27.01.1962 12:00:00;  7,39
13.02.1962 12:00:00;  12,5
31.03.1962 12:00:00;  2,77
01.04.1962 12:00:00;  4,65
20.05.1962 12:00:00;  5,85
02.06.1962 12:00:00;  4,35
04.07.1962 12:00:00;  7,04
16.08.1962 12:00:00;  4,35
24.09.1962 12:00:00;  1,68
04.10.1962 12:00:00; 0,890
06.11.1962 12:00:00;  1,85
16.12.1962 12:00:00;  3,68
05.01.1963 12:00:00; 0,670
12.02.1963 12:00:00; 0,780
31.03.1963 12:00:00;  5,25
14.04.1963 12:00:00;  4,95
11.05.1963 12:00:00;  3,27
16.06.1963 12:00:00;  5,90
05.07.1963 12:00:00;  2,54
30.08.1963 12:00:00;  3,00
28.09.1963 12:00:00;  1,77
05.10.1963 12:00:00;  1,85
23.11.1963 12:00:00;  1,51
02.12.1963 12:00:00;  1,00
27.01.1964 12:00:00;  1,00
02.02.1964 12:00:00;  3,54
22.03.1964 12:00:00;  5,85
06.04.1964 12:00:00;  4,08
05.05.1964 12:00:00;  9,40
21.06.1964 12:00:00;  4,08
10.07.1964 12:00:00;  3,27
19.08.1964 12:00:00;  3,00
09.09.1964 12:00:00;  3,00
25.10.1964 12:00:00;  4,35
19.11.1964 12:00:00;  4,08
01.12.1964 12:00:00;  3,00
09.01.1965 12:00:00;  3,81
01.02.1965 12:00:00;  3,27
27.03.1965 12:00:00;  8,66
23.04.1965 12:00:00;  11,9
11.05.1965 12:00:00;  32,0
10.06.1965 12:00:00;  19,0
26.07.1965 12:00:00;  3,52
02.08.1965 12:00:00;  5,12
13.09.1965 12:00:00;  3,04
02.10.1965 12:00:00;  1,60
24.11.1965 12:00:00;  1,80
20.12.1965 12:00:00;  9,00
04.01.1966 12:00:00;  2,60
09.02.1966 12:00:00;  14,5
01.03.1966 12:00:00;  9,00
11.04.1966 12:00:00;  7,32
09.05.1966 12:00:00;  3,28
30.06.1966 12:00:00;  13,2
25.07.1966 12:00:00;  10,3
19.08.1966 12:00:00;  8,32
01.09.1966 12:00:00;  6,68
18.10.1966 12:00:00;  3,04
05.11.1966 12:00:00;  2,40
25.12.1966 12:00:00;  11,9
27.01.1967 12:00:00;  6,87
04.02.1967 12:00:00;  10,2
01.03.1967 12:00:00;  7,55
07.04.1967 12:00:00;  8,29
31.05.1967 12:00:00;  11,5
01.06.1967 12:00:00;  9,40
10.07.1967 12:00:00;  4,35
27.08.1967 12:00:00;  1,34
17.09.1967 12:00:00;  5,25
15.10.1967 12:00:00; 0,780
30.11.1967 12:00:00; 0,890
24.12.1967 12:00:00;  10,7
16.01.1968 12:00:00;  10,0
26.02.1968 12:00:00;  2,77
31.03.1968 12:00:00;  5,25
01.04.1968 12:00:00;  5,55
13.05.1968 12:00:00;  2,54
22.06.1968 12:00:00;  2,08
25.07.1968 12:00:00;  5,85
13.08.1968 12:00:00;  6,53
25.09.1968 12:00:00;  5,55
03.10.1968 12:00:00;  7,21
25.11.1968 12:00:00;  2,54
26.12.1968 12:00:00;  1,51
24.01.1969 12:00:00;  2,77
23.02.1969 12:00:00;  2,08
16.03.1969 12:00:00;  3,81
08.04.1969 12:00:00;  4,35
01.05.1969 12:00:00;  3,00
08.06.1969 12:00:00;  16,5
08.07.1969 12:00:00;  5,85
26.08.1969 12:00:00;  3,54
17.09.1969 12:00:00;  1,85
04.10.1969 12:00:00; 0,730
26.11.1969 12:00:00;  1,65
02.12.1969 12:00:00;  1,44
28.01.1970 12:00:00;  1,00
23.02.1970 12:00:00;  10,5
27.03.1970 12:00:00;  9,03
19.04.1970 12:00:00;  8,29
03.05.1970 12:00:00;  5,70
12.06.1970 12:00:00;  4,95
18.07.1970 12:00:00;  7,55
22.08.1970 12:00:00;  9,40
08.09.1970 12:00:00;  2,67
04.10.1970 12:00:00;  7,39
23.11.1970 12:00:00;  9,79
04.12.1970 12:00:00;  6,64
30.01.1971 12:00:00;  1,86
02.02.1971 12:00:00;  1,78
22.03.1971 12:00:00;  3,20
26.04.1971 12:00:00;  7,80
03.05.1971 12:00:00;  3,54
20.06.1971 12:00:00;  6,64
19.07.1971 12:00:00;  2,52
12.08.1971 12:00:00;  1,65
29.09.1971 12:00:00;  2,78
01.10.1971 12:00:00;  2,52
19.11.1971 12:00:00;  7,80
21.12.1971 12:00:00;  4,10
02.01.1972 12:00:00;  1,44
29.02.1972 12:00:00;  3,80
02.03.1972 12:00:00;  2,78
24.04.1972 12:00:00;  5,96
11.05.1972 12:00:00;  3,80
01.06.1972 12:00:00;  3,29
13.07.1972 12:00:00;  21,0
11.08.1972 12:00:00;  3,07
15.09.1972 12:00:00;  1,51
24.10.1972 12:00:00;  1,12
15.11.1972 12:00:00;  4,36
08.12.1972 12:00:00;  1,31
31.01.1973 12:00:00; 0,940
22.02.1973 12:00:00;  1,94
31.03.1973 12:00:00;  4,36
30.04.1973 12:00:00;  4,65
03.05.1973 12:00:00;  4,97
28.06.1973 12:00:00;  9,40
29.07.1973 12:00:00;  3,20
02.08.1973 12:00:00;  1,94
27.09.1973 12:00:00;  2,18
24.10.1973 12:00:00;  3,20
16.11.1973 12:00:00;  3,20
09.12.1973 12:00:00;  4,65
19.01.1974 12:00:00;  21,8
09.02.1974 12:00:00;  5,07
18.03.1974 12:00:00;  3,99
21.04.1974 12:00:00;  4,16
23.05.1974 12:00:00;  9,50
13.06.1974 12:00:00;  25,2
18.07.1974 12:00:00;  12,8
05.08.1974 12:00:00;  5,07
09.09.1974 12:00:00;  2,12
28.10.1974 12:00:00;  6,28
28.11.1974 12:00:00;  12,1
08.12.1974 12:00:00;  47,0
02.01.1975 12:00:00;  11,8
03.02.1975 12:00:00;  4,33
28.03.1975 12:00:00;  2,39
15.04.1975 12:00:00;  5,35
26.05.1975 12:00:00;  2,27
11.06.1975 12:00:00;  6,66
05.07.1975 12:00:00;  20,0
26.08.1975 12:00:00;  10,2
02.09.1975 12:00:00;  2,27
19.10.1975 12:00:00;  3,25
21.11.1975 12:00:00;  2,27
31.12.1975 12:00:00;  1,30
01.01.1976 00:00:00; Lücke
23.01.1976 20:00:00;  12,8
01.02.1976 12:00:00;  3,12
31.03.1976 23:59:55;  2,35
08.04.1976 07:00:00;  2,96
31.05.1976 18:00:00;  7,59
01.06.1976 00:00:00;  5,62
24.07.1976 08:00:00;  7,14
05.08.1976 16:00:00;  3,19
30.09.1976 14:00:00;  2,22
17.10.1976 17:00:00;  4,45
15.11.1976 03:00:00;  6,46
01.12.1976 16:00:00;  5,38
26.01.1977 22:00:00;  3,35
08.02.1977 19:00:00;  16,0
29.03.1977 02:00:00;  16,2
14.04.1977 05:00:00;   102
07.05.1977 19:00:00;  4,81
27.06.1977 12:00:00;  2,90
31.07.1977 23:59:55;  2,60
02.08.1977 11:00:00;  6,64
09.09.1977 13:00:00;  3,13
11.10.1977 04:00:00;  4,18
15.11.1977 16:00:00;  1,61
25.12.1977 11:00:00;  6,60
04.01.1978 06:00:00;  1,64
26.02.1978 22:00:00;  6,35
01.03.1978 17:00:00;  6,14
01.04.1978 00:00:00;  2,97
20.05.1978 07:00:00;  2,79
24.06.1978 19:00:00;  2,22
19.07.1978 20:00:00;  5,19
10.08.1978 22:00:00;  2,68
12.09.1978 13:00:00;  4,55
05.10.1978 08:00:00;  2,45
01.11.1978 11:00:00; 0,967
10.12.1978 07:00:00;  16,4
01.01.1979 12:00:00;  2,12
15.02.1979 16:00:00;  6,01
12.03.1979 14:00:00;  17,4
06.04.1979 11:00:00;  10,7
04.05.1979 19:00:00;  6,99
19.06.1979 10:00:00;  12,1
14.07.1979 16:00:00;  10,7
04.08.1979 14:00:00;  11,3
24.09.1979 18:00:00;  6,69
19.10.1979 07:00:00;  1,11
27.11.1979 15:00:00;  7,71
12.12.1979 11:00:00;  6,82
29.01.1980 15:00:00;  4,09
06.02.1980 09:00:00;  6,31
28.03.1980 21:00:00;  3,05
30.04.1980 20:00:00;  8,95
01.05.1980 22:00:00;  8,72
25.06.1980 07:00:00;  4,93
22.07.1980 19:00:00;  10,4
04.08.1980 11:00:00;  3,68
01.09.1980 17:00:00;  5,46
13.10.1980 10:00:00;  7,06
16.11.1980 11:00:00;  2,48
14.12.1980 15:00:00;  8,55
03.01.1981 22:30:00;  8,93
08.02.1981 13:30:00;  11,0
12.03.1981 13:15:00;  15,7
30.04.1981 23:59:55;  4,91
01.05.1981 23:45:00;  12,4
24.06.1981 17:15:00;  3,39
19.07.1981 11:45:00;  7,88
28.08.1981 12:30:00;  2,57
30.09.1981 21:15:00;  7,61
01.10.1981 00:00:00;  6,74
28.11.1981 12:15:00;  7,46
09.12.1981 08:15:00;  5,26
31.01.1982 08:00:00;  23,2
01.02.1982 00:00:00;  9,26
30.03.1982 07:45:00;  9,18
09.04.1982 10:45:00;  9,26
29.05.1982 04:15:00;  16,2
27.06.1982 18:15:00;  11,0
22.07.1982 23:30:00;  18,5
08.08.1982 11:15:00;  3,89
24.09.1982 06:30:00;  2,36
02.10.1982 00:45:00;  3,62
14.11.1982 08:00:00;  2,56
28.12.1982 11:30:00;  2,84
17.01.1983 13:15:00;  16,0
01.02.1983 16:45:00;  5,37
20.03.1983 02:00:00;  4,96
16.04.1983 22:30:00;  5,98
09.05.1983 15:15:00;  9,61
20.06.1983 18:30:00;  4,42
08.07.1983 23:30:00;  2,43
05.08.1983 17:00:00;  4,52
17.09.1983 17:45:00;  1,26
12.10.1983 00:00:00;  2,66
30.11.1983 07:00:00;  2,37
24.12.1983 13:30:00;  7,20
14.01.1984 21:45:00;  5,53
07.02.1984 09:30:00;  11,0
30.03.1984 09:15:00;  3,31
17.04.1984 05:30:00;  4,57
14.05.1984 05:45:00;  6,03
15.06.1984 10:15:00;  3,59
14.07.1984 12:45:00;  4,02
16.08.1984 13:30:00;  5,24
24.09.1984 13:00:00;  15,0
04.10.1984 06:30:00;  3,79
07.11.1984 10:15:00;  2,47
17.12.1984 09:00:00; 0,951
31.01.1985 00:01:00;  2,17
02.02.1985 00:01:00;  6,05
22.03.1985 18:00:00;  4,24
02.04.1985 21:30:00;  5,28
15.05.1985 17:45:00;  5,49
23.06.1985 15:15:00;  7,04
21.07.1985 04:30:00;  29,0
07.08.1985 02:30:00;  33,5
08.09.1985 22:30:00;  6,26
15.10.1985 14:30:00;  3,20
11.11.1985 08:30:00;  2,47
18.12.1985 09:15:00;  10,6
14.01.1986 21:30:00;  16,5
25.02.1986 13:15:00;  5,64
06.03.1986 17:15:00;  5,24
09.04.1986 23:00:00;  7,30
30.05.1986 02:00:00;  7,10
15.06.1986 22:45:00;  9,48
18.07.1986 20:00:00;  3,96
13.08.1986 18:30:00;  1,26
10.09.1986 11:45:00;  1,80
21.10.1986 06:00:00;  1,76
24.11.1986 05:15:00;  1,13
30.12.1986 19:00:00;  8,52
01.01.1987 20:30:00;  13,7
09.02.1987 00:00:05;  10,9
25.03.1987 13:30:00;  10,9
10.04.1987 10:30:00;  11,6
20.05.1987 22:45:00;  14,5
22.06.1987 13:00:00;  12,4
30.07.1987 17:45:00;  28,0
05.08.1987 15:15:00;  14,8
06.09.1987 04:00:00;  6,05
18.10.1987 13:15:00;  3,37
21.11.1987 15:00:00;  2,94
19.12.1987 08:00:00;  17,9
01.01.1988 00:00:00;  2,43
13.02.1988 01:15:00;  2,05
26.03.1988 01:15:00;  32,3
09.04.1988 06:00:00;  19,2
21.05.1988 01:15:00;  6,62
10.06.1988 19:30:00;  12,2
30.07.1988 03:00:00;  5,31
30.08.1988 00:45:00;  6,05
06.09.1988 06:15:00;  4,79
31.10.1988 08:45:00;  3,08
29.11.1988 21:45:00;  5,86
25.12.1988 01:00:00;  17,9
08.01.1989 23:00:00;  4,69
19.02.1989 08:30:00;  9,50
18.03.1989 16:45:00;  4,86
18.04.1989 03:45:00;  6,63
01.05.1989 16:00:00;  12,1
18.06.1989 12:00:00;  11,9
26.07.1989 15:30:00;  19,5
03.08.1989 17:30:00;  4,18
28.09.1989 02:45:00;  8,63
31.10.1989 23:59:55;  4,57
01.11.1989 02:00:00;  4,86
19.12.1989 17:00:00;  4,01
26.01.1990 13:45:00;  2,67
15.02.1990 18:15:00;  10,8
01.03.1990 08:45:00;  13,2
27.04.1990 00:00:00;  5,24
25.05.1990 19:30:00;  2,83
03.06.1990 20:15:00;  5,42
10.07.1990 08:45:00;  10,6
07.08.1990 05:15:00;  1,46
24.09.1990 18:30:00;  3,10
02.10.1990 06:45:00;  4,01
19.11.1990 15:00:00;  5,81
30.12.1990 19:30:00;  3,10
03.01.1991 16:00:00;  4,34
26.02.1991 14:15:00;  1,55
20.03.1991 16:15:00;  2,44
09.04.1991 20:45:00;  1,19
18.05.1991 15:15:00;  21,4
14.06.1991 00:30:00;  12,7
17.07.1991 23:30:00;  4,29
03.08.1991 12:00:00;  39,0
01.09.1991 17:30:00;  1,50
18.10.1991 10:45:00;  2,29
17.11.1991 01:15:00;  4,79
23.12.1991 15:00:00;  12,5
06.01.1992 22:00:00;  9,05
06.02.1992 15:15:00;  8,00
23.03.1992 03:45:00;  13,7
06.04.1992 11:30:00;  4,87
01.05.1992 00:00:00;  3,03
13.06.1992 19:15:00;  20,0
04.07.1992 15:45:00;  1,97
13.08.1992 00:15:00;  1,86
01.09.1992 14:00:00;  3,25
26.10.1992 08:15:00;  4,86
23.11.1992 13:15:00;  8,84
07.12.1992 15:00:00;  2,08
29.01.1993 13:45:00;  3,85
07.02.1993 13:45:00;  4,34
17.03.1993 22:45:00;  20,8
19.04.1993 14:00:00;  10,6
09.05.1993 16:45:00;  2,44
17.06.1993 18:00:00;  8,84
28.07.1993 23:15:00;  12,4
31.08.1993 10:30:00;  8,84
01.09.1993 00:00:00;  7,80
24.10.1993 08:30:00;  5,05
06.11.1993 11:45:00;  2,44
21.12.1993 11:30:00;  15,9
26.01.1994 07:15:00;  3,62
24.02.1994 00:00:05;  3,11
26.03.1994 15:45:00;  5,60
18.04.1994 08:15:00;  14,9
19.05.1994 22:45:00;  6,76
04.06.1994 11:45:00;  4,55
19.07.1994 21:00:00;  9,60
26.08.1994 04:15:00;  3,54
02.09.1994 04:45:00;  3,10
24.10.1994 23:15:00;  1,97
18.11.1994 23:45:00;  2,32
28.12.1994 21:45:00;  5,62
26.01.1995 08:00:00;  7,40
16.02.1995 19:00:00;  4,70
27.03.1995 15:45:00;  10,2
02.04.1995 12:00:00;  15,1
13.05.1995 10:15:00;  15,0
06.06.1995 04:30:00;  13,7
23.07.1995 05:15:00;  3,70
30.08.1995 03:15:00;  5,75
01.09.1995 14:00:00;  22,1
01.10.1995 13:30:00;  4,04
17.11.1995 09:00:00;  10,7
25.12.1995 00:00:00;  12,2
01.01.1996 00:00:00;  3,44
10.02.1996 20:15:00;  1,96
19.03.1996 17:00:00;  4,36
02.04.1996 09:45:00;  5,92
15.05.1996 01:15:00;  26,0
10.06.1996 00:00:00;  10,2
09.07.1996 06:45:00;  5,62
03.08.1996 15:45:00;  5,62
28.09.1996 12:15:00;  3,70
22.10.1996 02:15:00;  18,9
14.11.1996 16:00:00;  4,70
28.12.1996 00:00:00;  1,81
05.01.1997 00:20:55;  1,81
12.02.1997 14:23:50;  4,21
17.03.1997 06:36:50;  12,7
06.04.1997 07:25:55;  9,25
09.05.1997 00:31:50;  7,58
23.06.1997 07:26:30;  2,74
08.07.1997 01:02:25;  26,1
02.08.1997 14:36:25;  9,43
07.09.1997 13:14:10;  1,53
16.10.1997 07:46:15;  3,96
30.11.1997 20:38:05;  2,98
12.12.1997 16:17:50;  7,59
17.01.1998 13:21:20;  3,98
17.02.1998 13:46:00;  3,40
18.03.1998 04:47:55;  6,04
19.04.1998 07:00:50;  6,17
18.05.1998 02:54:10;  2,09
13.06.1998 07:19:30;  11,5
30.07.1998 23:30:10;  11,1
13.08.1998 23:53:15;  6,62
15.09.1998 19:43:50;  20,7
29.10.1998 08:13:25;  9,23
10.11.1998 22:18:45;  9,02
15.12.1998 00:23:10;  8,99
08.01.1999 19:03:50;  5,98
20.02.1999 20:55:25;  18,3
02.03.1999 15:06:45;  18,2
13.04.1999 15:52:05;  6,41
09.05.1999 03:24:40;  5,75
21.06.1999 23:07:25;  3,49
10.07.1999 12:41:45;  17,5
10.08.1999 03:49:55;  3,29
03.09.1999 00:39:40;  2,67
10.10.1999 15:32:35;  1,84
09.11.1999 17:25:40;  2,27
19.12.1999 11:56:40;  5,19
31.01.2000 14:18:00;  16,6
01.02.2000 00:00:00;  12,2
31.03.2000 00:47:20;  17,7
01.04.2000 00:00:00;  11,0
12.05.2000 15:50:45;  4,79
07.06.2000 01:52:30;  7,93
04.07.2000 17:18:25;  3,37
06.08.2000 22:55:20;  8,36
16.09.2000 23:54:55;  5,52
07.10.2000 15:37:10;  2,86
05.11.2000 03:18:45;  3,06
11.12.2000 12:05:35;  3,75
08.01.2001 11:56:50;  1,95
05.02.2001 17:27:45;  4,25
23.03.2001 01:52:30;  11,9
16.04.2001 19:59:40;  5,31
16.05.2001 04:03:30;  6,74
18.06.2001 21:25:00;  4,99
21.07.2001 06:08:25;  5,71
21.08.2001 12:55:10;  4,85
12.09.2001 18:38:05;  26,0
08.10.2001 07:46:25;  2,42
08.11.2001 10:49:00;  4,56
30.12.2001 01:49:25;  43,6
28.01.2002 19:33:45;  10,5
27.02.2002 12:14:10;  13,8
21.03.2002 12:57:05;  68,8
01.04.2002 00:00:00;  6,54
02.05.2002 13:36:35;  2,22
08.06.2002 02:51:00;  16,3
13.07.2002 23:51:30;  4,87
13.08.2002 06:28:15;   134
27.09.2002 19:04:00;  2,72
12.10.2002 18:20:40;  11,2
11.11.2002 19:20:55;  14,9
29.12.2002 04:57:15;  6,13
28.01.2003 16:33:10;  8,95
01.02.2003 11:23:55;  3,61
12.03.2003 19:11:45;  4,80
01.04.2003 09:19:30;  2,62
14.05.2003 10:13:10;  4,70
01.06.2003 15:19:40;  4,40
31.07.2003 23:59:55;  2,61
01.08.2003 01:35:35;  3,58
24.09.2003 00:32:20;  1,38
05.10.2003 14:56:20;  7,75
02.11.2003 14:30:00;  1,14
14.12.2003 21:45:00;  1,48
14.01.2004 04:15:00;  9,21
03.02.2004 05:45:00;  14,0
21.03.2004 21:15:00;  6,21
02.04.2004 22:45:00;  5,08
02.05.2004 00:00:00;  2,80
20.06.2004 19:15:00;  8,94
24.07.2004 13:44:15;  6,49
26.08.2004 21:47:55;  5,51
24.09.2004 04:39:10;  7,88
09.10.2004 09:16:05;  3,80
23.11.2004 17:47:00;  15,6
02.12.2004 17:09:30;  2,65
21.01.2005 06:06:20;  16,8
11.02.2005 14:16:00;  25,6
18.03.2005 17:18:05;  21,8
20.04.2005 09:01:40;  10,4
31.05.2005 05:50:10;  32,6
13.06.2005 20:11:05;  48,4
11.07.2005 19:40:00;  35,1
21.08.2005 11:47:30;  11,4
12.09.2005 00:39:45;  2,97
01.10.2005 00:00:00;  1,94
13.11.2005 08:25:00;  1,48
16.12.2005 17:11:10;  2,94
21.01.2006 14:00:00;  1,98
17.02.2006 21:30:00;  8,12
29.03.2006 06:45:00;  38,9
01.04.2006 00:00:00;  29,3
27.05.2006 06:25:00;  15,2
03.06.2006 17:45:00;  19,0
14.07.2006 16:20:00;  3,94
07.08.2006 06:05:00;  24,3
08.09.2006 09:25:00;  5,62
29.10.2006 19:00:00;  6,85
05.11.2006 20:20:00;  9,75
19.12.2006 07:25:00;  2,07
19.01.2007 14:00:00;  8,03
28.02.2007 20:00:00;  7,03
01.03.2007 23:40:00;  8,10
01.04.2007 00:45:00;  3,24
10.05.2007 03:35:35;  12,8
10.06.2007 18:38:50;  37,9
06.07.2007 08:00:00;  8,33
11.08.2007 18:10:00;  9,48
07.09.2007 08:30:00;  33,2
28.10.2007 20:00:00;  4,50
11.11.2007 17:40:00;  26,3
07.12.2007 17:10:00;  8,01
27.01.2008 15:45:00;  6,40
29.02.2008 23:30:00;  4,66
14.03.2008 23:50:00;  16,4
21.04.2008 23:45:00;  12,5
06.05.2008 19:25:00;  6,97
07.06.2008 17:05:00;  3,89
13.07.2008 01:15:00;  4,53
16.08.2008 06:00:00;  12,3
01.09.2008 20:25:00;  5,03
04.10.2008 05:15:00;  2,71
21.11.2008 19:22:30;  5,50
22.12.2008 21:31:55;  6,81
31.01.2009 21:12:35; 0,808
28.02.2009 18:55:35;  5,24
05.03.2009 17:57:20;  12,5
02.04.2009 20:40:00;  17,6
19.05.2009 03:42:35;  8,66
23.06.2009 19:12:30;  26,2
01.07.2009 17:38:25;  17,3
29.08.2009 08:42:20;  7,35
04.09.2009 19:06:15;  9,12
12.10.2009 09:41:20;  4,33
05.11.2009 02:49:20;  2,76
11.12.2009 07:22:55;  3,35
06.01.2010 15:28:15;  1,58
28.02.2010 23:59:55;  3,50
27.03.2010 10:45:10;  5,48
14.04.2010 13:22:50;  6,08
23.05.2010 17:27:05;  7,06
02.06.2010 19:59:55;  9,11
24.07.2010 00:00:45;  11,2
02.08.2010 21:14:30;  27,4
01.09.2010 00:00:00;  3,80
26.10.2010 10:30:10;  1,77
13.11.2010 01:14:10;  1,23
31.12.2010 08:41:55;  3,74
13.01.2011 23:19:45;  21,6
12.02.2011 11:43:25;  3,94
18.03.2011 18:44:15;  5,37
05.04.2011 02:27:05;  3,41
27.05.2011 23:05:00;  11,2
23.06.2011 22:40:00;  5,80
28.07.2011 23:05:00;  5,04
04.08.2011 09:40:00;  4,74
20.09.2011 01:15:00;  6,02
13.10.2011 05:50:00;  12,9
10.11.2011 14:45:00;  2,25
24.12.2011 16:30:00;  4,49
22.01.2012 05:15:00;  22,4
25.02.2012 15:20:00;  7,42
01.03.2012 21:30:00;  6,32
16.04.2012 21:10:00;  5,36
16.05.2012 19:25:00;  3,28
13.06.2012 08:45:00;  19,5
01.07.2012 23:50:00;  7,63
05.08.2012 02:25:00;  7,25
13.09.2012 07:10:00;  6,61
07.10.2012 17:15:00;  1,73
05.11.2012 15:55:00;  2,79
23.12.2012 18:20:00;  16,2
30.01.2013 07:50:00;  17,4
02.02.2013 13:55:00;  15,2
08.03.2013 20:00:00;  5,56
19.04.2013 08:10:00;  4,96
31.05.2013 14:05:00;  32,3
10.06.2013 21:50:00;  34,0
06.07.2013 17:05:00;  9,73
04.08.2013 21:15:00;  5,91
