Messstelle:                ;Woppendorf
04.08.1953 12:00:00;  9,15
10.09.1953 12:00:00;  4,95
31.10.1953 12:00:00;  7,55
04.11.1953 12:00:00;  4,15
31.12.1953 12:00:00;  1,05
17.01.1954 12:00:00;  1,22
28.02.1954 12:00:00;  1,22
06.03.1954 12:00:00;  25,3
07.04.1954 12:00:00;  5,95
07.05.1954 12:00:00;  27,8
18.06.1954 12:00:00;  20,5
08.07.1954 12:00:00;  21,7
11.08.1954 12:00:00;  7,75
29.09.1954 12:00:00;  3,75
30.10.1954 12:00:00;  1,22
12.11.1954 12:00:00;  35,0
13.12.1954 12:00:00;  21,4
08.01.1955 12:00:00;  1,80
03.02.1955 12:00:00;  1,60
25.03.1955 12:00:00;  30,0
01.04.1955 12:00:00;  3,95
18.05.1955 12:00:00;  3,95
23.06.1955 12:00:00;  6,15
23.07.1955 12:00:00;  23,6
08.08.1955 12:00:00;  17,2
15.09.1955 12:00:00;  10,4
19.10.1955 12:00:00;  6,15
14.11.1955 12:00:00;  13,2
16.12.1955 12:00:00;  2,37
10.01.1956 12:00:00;  2,57
07.02.1956 12:00:00;  1,99
04.03.1956 12:00:00;  22,0
30.04.1956 12:00:00;  17,8
26.05.1956 12:00:00;  21,4
19.06.1956 12:00:00;  6,35
22.07.1956 12:00:00;  20,7
25.08.1956 12:00:00;  4,15
09.09.1956 12:00:00;  3,35
29.10.1956 12:00:00;  2,96
16.11.1956 12:00:00;  3,55
25.12.1956 12:00:00;  2,57
29.01.1957 12:00:00;  2,18
21.02.1957 12:00:00;  13,2
30.03.1957 12:00:00;  7,75
12.04.1957 12:00:00;  22,0
06.05.1957 12:00:00;  1,80
08.06.1957 12:00:00;  1,80
22.07.1957 12:00:00;  21,7
01.08.1957 12:00:00;  3,35
15.09.1957 12:00:00;  6,95
20.10.1957 12:00:00;  2,57
13.11.1957 12:00:00;  3,15
14.12.1957 12:00:00;  2,57
05.01.1958 12:00:00;  4,55
09.02.1958 12:00:00;  3,55
29.03.1958 12:00:00;  6,15
23.04.1958 12:00:00;  5,15
11.05.1958 12:00:00;  3,35
28.06.1958 12:00:00;  10,2
05.07.1958 12:00:00;  15,2
04.08.1958 12:00:00;  17,8
26.09.1958 12:00:00;  14,2
14.10.1958 12:00:00;  24,5
14.11.1958 12:00:00;  3,15
25.12.1958 12:00:00;  26,0
13.01.1959 12:00:00;  3,75
09.02.1959 12:00:00;  2,18
09.03.1959 12:00:00;  4,95
11.04.1959 12:00:00;  15,0
17.05.1959 12:00:00;  4,95
30.06.1959 12:00:00;  29,0
01.07.1959 12:00:00;  24,1
16.08.1959 12:00:00;  17,6
25.09.1959 12:00:00;  10,5
30.10.1959 12:00:00;  1,22
16.11.1959 12:00:00;  1,41
25.12.1959 12:00:00;  8,75
30.01.1960 12:00:00;  2,37
21.02.1960 12:00:00;  3,15
18.03.1960 12:00:00;  8,90
02.04.1960 12:00:00;  2,79
15.05.1960 12:00:00;  1,65
29.06.1960 12:00:00;  3,49
21.07.1960 12:00:00;  9,35
13.08.1960 12:00:00;  16,3
30.09.1960 12:00:00;  9,15
16.10.1960 12:00:00;  22,0
29.11.1960 12:00:00;  9,75
15.12.1960 12:00:00;  5,20
05.01.1961 12:00:00;  12,2
13.02.1961 12:00:00;  3,11
20.03.1961 12:00:00;  2,73
30.04.1961 12:00:00;  1,81
07.05.1961 12:00:00;  21,4
08.06.1961 12:00:00;  36,0
06.07.1961 12:00:00;  4,63
21.08.1961 12:00:00;  1,63
23.09.1961 12:00:00;  1,45
19.10.1961 12:00:00;  10,3
14.11.1961 12:00:00;  19,6
13.12.1961 12:00:00;  14,0
12.01.1962 12:00:00;  16,3
14.02.1962 12:00:00;  3,15
13.03.1962 12:00:00;  20,7
06.04.1962 12:00:00;  6,50
14.05.1962 12:00:00;  4,70
21.06.1962 12:00:00;  1,65
12.07.1962 12:00:00;  18,7
05.08.1962 12:00:00;  7,10
08.09.1962 12:00:00;  3,55
31.10.1962 12:00:00;  1,47
20.11.1962 12:00:00;  27,0
14.12.1962 12:00:00;  6,75
11.01.1963 12:00:00;  2,76
28.02.1963 12:00:00; 0,800
13.03.1963 12:00:00;  36,0
01.04.1963 12:00:00;  24,5
04.05.1963 12:00:00;  8,95
24.06.1963 12:00:00;  20,9
01.07.1963 12:00:00;  3,85
31.08.1963 12:00:00;  12,2
01.09.1963 12:00:00;  8,63
05.10.1963 12:00:00;  2,92
17.11.1963 12:00:00;  12,6
01.12.1963 12:00:00;  2,55
27.01.1964 12:00:00;  2,92
19.02.1964 12:00:00;  4,79
23.03.1964 12:00:00;  21,7
05.04.1964 12:00:00;  15,5
15.05.1964 12:00:00;  10,5
23.06.1964 12:00:00;  3,11
23.07.1964 12:00:00;  2,36
21.08.1964 12:00:00;  1,42
21.09.1964 12:00:00;  1,60
25.10.1964 12:00:00;  34,0
01.11.1964 12:00:00;  5,17
20.12.1964 12:00:00;  18,5
20.01.1965 12:00:00;  2,74
02.02.1965 12:00:00;  4,60
06.03.1965 12:00:00;  17,1
22.04.1965 12:00:00;  49,0
23.05.1965 12:00:00;  31,4
01.06.1965 12:00:00;  41,4
22.07.1965 12:00:00;  22,9
03.08.1965 12:00:00;  40,3
08.09.1965 12:00:00;  8,15
01.10.1965 12:00:00;  4,44
28.11.1965 12:00:00;  7,75
08.12.1965 12:00:00;  19,2
03.01.1966 12:00:00;  2,54
24.02.1966 12:00:00;  9,15
01.03.1966 12:00:00;  2,73
17.04.1966 12:00:00;  3,49
26.05.1966 12:00:00;  4,63
20.06.1966 12:00:00;  18,5
24.07.1966 12:00:00;  26,8
23.08.1966 12:00:00;  33,0
01.09.1966 12:00:00;  16,3
22.10.1966 12:00:00;  14,2
24.11.1966 12:00:00;  6,55
03.12.1966 12:00:00;  12,4
15.01.1967 12:00:00;  3,75
05.02.1967 12:00:00;  4,95
29.03.1967 12:00:00;  6,15
07.04.1967 12:00:00;  6,55
31.05.1967 12:00:00;  27,6
01.06.1967 12:00:00;  29,0
18.07.1967 12:00:00;  2,92
08.08.1967 12:00:00;  2,17
17.09.1967 12:00:00;  4,79
05.10.1967 12:00:00;  24,1
08.11.1967 12:00:00;  13,3
21.12.1967 12:00:00;  2,22
17.01.1968 12:00:00;  2,98
16.02.1968 12:00:00;  3,11
23.03.1968 12:00:00;  2,54
14.04.1968 12:00:00;  1,45
22.05.1968 12:00:00;  3,49
22.06.1968 12:00:00;  5,20
22.07.1968 12:00:00;  1,81
07.08.1968 12:00:00;  27,0
01.09.1968 12:00:00;  4,50
10.10.1968 12:00:00;  5,90
20.11.1968 12:00:00;  3,85
19.12.1968 12:00:00;  3,85
17.01.1969 12:00:00;  6,68
21.02.1969 12:00:00;  16,7
16.03.1969 12:00:00;  23,1
01.04.1969 12:00:00;  5,95
20.05.1969 12:00:00;  2,98
08.06.1969 12:00:00;  29,0
31.07.1969 12:00:00;  4,95
01.08.1969 12:00:00;  5,75
11.09.1969 12:00:00;  5,75
25.10.1969 12:00:00;  2,17
26.11.1969 12:00:00;  12,2
04.12.1969 12:00:00;  2,92
06.01.1970 12:00:00;  3,30
24.02.1970 12:00:00;  5,20
18.03.1970 12:00:00;  15,2
03.04.1970 12:00:00;  15,3
22.05.1970 12:00:00;  10,7
10.06.1970 12:00:00;  18,6
16.07.1970 12:00:00;  21,8
10.08.1970 12:00:00;  11,9
02.09.1970 12:00:00;  14,9
22.10.1970 12:00:00;  2,20
22.11.1970 12:00:00;  22,0
01.12.1970 12:00:00;  2,65
23.01.1971 12:00:00;  3,05
01.02.1971 12:00:00;  2,65
23.03.1971 12:00:00;  6,70
18.04.1971 12:00:00;  5,65
20.05.1971 12:00:00;  4,15
24.06.1971 12:00:00;  1,60
19.07.1971 12:00:00;  5,35
27.08.1971 12:00:00;  2,37
30.09.1971 12:00:00;  4,55
17.10.1971 12:00:00;  1,99
28.11.1971 12:00:00;  2,18
04.12.1971 12:00:00;  3,35
05.01.1972 12:00:00;  2,18
13.02.1972 12:00:00;  18,7
04.03.1972 12:00:00;  8,15
22.04.1972 12:00:00;  19,4
28.05.1972 12:00:00;  42,0
02.06.1972 12:00:00;  31,1
31.07.1972 12:00:00;  31,1
01.08.1972 12:00:00;  30,8
18.09.1972 12:00:00;  3,55
11.10.1972 12:00:00;  3,75
24.11.1972 12:00:00;  8,15
09.12.1972 12:00:00;  4,35
14.01.1973 12:00:00;  3,35
10.02.1973 12:00:00;  5,15
14.03.1973 12:00:00;  3,15
26.04.1973 12:00:00;  2,96
07.05.1973 12:00:00;  2,96
23.06.1973 12:00:00;  8,23
22.07.1973 12:00:00;  3,29
05.08.1973 12:00:00;  2,08
25.09.1973 12:00:00;  16,5
25.10.1973 12:00:00;  1,71
07.11.1973 12:00:00;  4,60
22.12.1973 12:00:00;  1,57
20.01.1974 12:00:00;  6,92
07.02.1974 12:00:00;  9,56
06.03.1974 12:00:00;  12,2
02.04.1974 12:00:00;  2,13
15.05.1974 12:00:00;  10,9
07.06.1974 12:00:00;  7,36
31.07.1974 12:00:00;  2,60
11.08.1974 12:00:00;  7,80
25.09.1974 12:00:00;  7,58
21.10.1974 12:00:00;  18,0
26.11.1974 12:00:00;  6,26
12.12.1974 12:00:00;  3,20
10.01.1975 12:00:00;  2,13
01.02.1975 12:00:00;  1,85
31.03.1975 12:00:00;  4,60
05.04.1975 12:00:00;  3,60
28.05.1975 12:00:00;  1,71
30.06.1975 12:00:00;  21,0
12.07.1975 12:00:00;  20,6
25.08.1975 12:00:00;  2,80
12.09.1975 12:00:00;  4,00
18.10.1975 12:00:00;  8,90
19.11.1975 12:00:00;  3,40
18.12.1975 12:00:00;  4,60
14.01.1976 08:00:00;  4,97
17.02.1976 08:00:00;  4,55
04.03.1976 08:00:00;  4,55
25.04.1976 08:00:00;  7,04
14.05.1976 08:00:00;  8,50
02.06.1976 08:00:00;  1,82
29.07.1976 08:00:00;  1,54
16.08.1976 08:00:00;  1,82
11.09.1976 08:00:00;  2,42
17.10.1976 08:00:00;  1,74
01.11.1976 00:00:00;  1,74
03.12.1976 00:00:00;  18,9
30.01.1977 08:00:00;  20,2
12.02.1977 18:00:00;  26,4
04.03.1977 08:00:00;  5,58
01.04.1977 02:00:00;  2,94
15.05.1977 08:00:00;  2,58
22.06.1977 12:00:00;  10,6
01.07.1977 02:00:00;  5,60
01.08.1977 00:00:00;  1,82
10.09.1977 08:00:00;  1,68
05.10.1977 08:00:00;  1,29
10.11.1977 08:00:00;  1,17
13.12.1977 08:00:00;  1,29
19.01.1978 08:00:00;  1,54
27.02.1978 08:00:00;  3,56
01.03.1978 00:00:00;  2,79
14.04.1978 08:00:00;  1,54
20.05.1978 12:00:00;  13,5
25.06.1978 12:00:00;  24,9
15.07.1978 00:00:00;  25,4
03.08.1978 08:00:00;  6,62
28.09.1978 08:00:00;  1,40
01.10.1978 02:00:00;  2,76
03.11.1978 08:00:00;  1,40
03.12.1978 08:00:00;  1,52
29.01.1979 08:00:00;  8,08
17.02.1979 12:00:00;  21,4
30.03.1979 08:00:00;  6,63
06.04.1979 22:00:00;  32,2
03.05.1979 08:00:00;  29,7
28.06.1979 22:00:00;  22,1
31.07.1979 06:00:00;  32,2
04.08.1979 08:00:00;  21,6
25.09.1979 08:00:00;  2,65
12.10.1979 08:00:00;  1,76
16.11.1979 08:00:00;  11,3
25.12.1979 08:00:00;  3,30
01.01.1980 00:00:00;  1,99
02.02.1980 08:00:00;  4,24
02.03.1980 08:00:00;  1,76
03.04.1980 08:00:00;  1,76
09.05.1980 20:00:00;  15,6
24.06.1980 14:00:00;  7,66
11.07.1980 20:00:00;  13,1
13.08.1980 08:00:00;  2,81
10.09.1980 08:00:00;  2,11
14.10.1980 00:00:00;  42,4
07.11.1980 08:00:00;  15,4
01.12.1980 00:00:00;  2,91
01.01.1981 02:00:00;  1,48
10.02.1981 08:00:00;  1,37
10.03.1981 08:00:00;  2,43
01.04.1981 02:00:00;  1,16
18.05.1981 08:00:00;  2,75
18.06.1981 08:00:00;  8,33
20.07.1981 08:00:00;  3,13
01.08.1981 02:00:00;  1,13
25.09.1981 16:00:00;  7,66
23.10.1981 08:00:00;  23,1
01.11.1981 00:00:00;  2,11
30.12.1981 08:00:00;  1,87
02.01.1982 10:00:00;  26,3
01.02.1982 02:00:00;  2,65
19.03.1982 14:00:00;  6,63
01.04.1982 02:00:00;  1,66
12.05.1982 08:00:00;  9,99
27.06.1982 08:00:00;  14,9
03.07.1982 20:00:00;  7,45
08.08.1982 08:00:00;  30,9
08.09.1982 08:00:00;  10,4
02.10.1982 22:00:00;  44,1
15.11.1982 08:00:00;  6,42
11.12.1982 14:00:00;  32,2
17.01.1983 08:00:00;  5,61
02.02.1983 08:00:00;  2,65
30.03.1983 08:00:00;  4,24
23.04.1983 08:00:00;  7,04
25.05.1983 08:00:00;  2,13
23.06.1983 08:00:00;  1,60
25.07.1983 08:00:00;  1,48
03.08.1983 08:00:00;  1,73
17.09.1983 14:00:00;  3,13
12.10.1983 08:00:00;  3,13
28.11.1983 08:00:00;  2,37
21.12.1983 08:00:00;  1,66
06.01.1984 08:00:00;  1,21
29.02.1984 08:00:00;  2,37
03.03.1984 08:00:00;  4,05
03.04.1984 16:00:00;  8,29
29.05.1984 20:00:00;  5,22
22.06.1984 08:00:00;  8,68
01.07.1984 00:00:00;  2,65
10.08.1984 08:00:00;  6,42
08.09.1984 08:00:00;  5,22
04.10.1984 08:00:00;  4,83
21.11.1984 08:00:00;  3,15
04.12.1984 08:00:00;  1,50
03.01.1985 00:00:00;  1,44
10.02.1985 08:00:00;  1,50
23.03.1985 00:00:00;  29,2
01.04.1985 00:00:00;  6,65
07.05.1985 22:00:00;  22,6
08.06.1985 08:00:00;  4,53
09.07.1985 08:00:00;  17,1
07.08.1985 12:00:00;  21,2
02.09.1985 08:00:00;  2,32
07.10.1985 08:00:00; 0,860
25.11.1985 08:00:00;  2,51
30.12.1985 08:00:00;  11,5
25.01.1986 08:00:00;  5,02
02.02.1986 08:00:00;  1,93
25.03.1986 18:00:00;  20,0
04.04.1986 08:00:00;  6,06
29.05.1986 08:00:00;  8,90
20.06.1986 08:00:00;  20,7
01.07.1986 00:00:00;  2,75
20.08.1986 08:00:00;  7,46
01.09.1986 00:00:00;  1,29
24.10.1986 08:00:00; 0,955
24.11.1986 08:00:00;  5,02
31.12.1986 23:59:55;  1,25
03.01.1987 08:00:00;  1,78
20.02.1987 22:00:00;  22,4
29.03.1987 08:00:00;  13,1
01.04.1987 00:00:00;  4,12
28.05.1987 08:00:00;  6,85
05.06.1987 08:00:00;  8,12
04.07.1987 08:00:00;  4,90
05.08.1987 00:00:00;  25,3
03.09.1987 08:00:00;  3,17
27.10.1987 08:00:00;  2,71
15.11.1987 08:00:00;  2,62
01.12.1987 02:00:00;  4,22
30.01.1988 20:00:00;  11,8
13.02.1988 06:00:00;  6,33
31.03.1988 23:59:55;  3,26
01.04.1988 00:00:00;  3,26
19.05.1988 20:00:00;  6,93
07.06.1988 06:00:00;  7,10
19.07.1988 02:00:00;  3,54
10.08.1988 00:00:00;  7,74
14.09.1988 04:00:00;  11,2
08.10.1988 08:00:00;  2,49
07.11.1988 10:00:00;  1,69
03.12.1988 04:00:00;  4,02
06.01.1989 08:30:00;  1,63
26.02.1989 22:00:00;  4,51
01.03.1989 13:45:00;  2,36
02.04.1989 07:45:00;  5,30
21.05.1989 03:00:00;  6,12
05.06.1989 03:45:00;  8,72
31.07.1989 23:59:55;  22,5
01.08.1989 01:00:00;  23,6
28.09.1989 09:30:00;  16,4
21.10.1989 09:45:00;  2,98
07.11.1989 06:45:00;  5,10
12.12.1989 12:00:00;  1,86
27.01.1990 00:01:00;  1,87
15.02.1990 10:15:00;  1,64
28.03.1990 09:45:00;  1,95
23.04.1990 22:45:00;  5,98
25.05.1990 22:15:00;  7,75
19.06.1990 00:15:00;  28,5
02.07.1990 00:00:00;  12,0
21.08.1990 16:45:00;  5,00
24.09.1990 23:15:00;  5,38
30.10.1990 04:45:00;  6,49
01.11.1990 19:45:00;  16,9
10.12.1990 20:15:00;  8,99
09.01.1991 02:30:00;  2,89
25.02.1991 02:30:00;  5,20
08.03.1991 10:15:00;  4,78
19.04.1991 14:15:00;  3,32
18.05.1991 02:00:00;  16,0
28.06.1991 09:15:00;  29,7
29.07.1991 03:30:00;  14,7
01.08.1991 22:00:00;  8,93
23.09.1991 21:30:00;  12,1
09.10.1991 03:30:00;  7,96
21.11.1991 07:15:00;  25,4
01.12.1991 02:00:00;  6,19
11.01.1992 06:15:00;  3,44
28.02.1992 13:00:00;  2,62
27.03.1992 08:45:00;  14,6
16.04.1992 16:00:00;  3,72
11.05.1992 10:00:00;  4,20
13.06.1992 02:45:00;  15,9
07.07.1992 18:00:00;  4,20
02.08.1992 09:00:00;  2,80
30.09.1992 03:15:00;  4,00
08.10.1992 00:30:00;  6,19
18.11.1992 05:15:00;  14,4
06.12.1992 09:45:00;  29,7
18.01.1993 10:15:00;  1,78
15.02.1993 15:15:00;  1,48
19.03.1993 10:00:00;  2,03
12.04.1993 11:30:00;  1,87
05.05.1993 17:45:00;  1,87
24.06.1993 11:45:00;  7,64
20.07.1993 07:30:00;  2,71
25.08.1993 17:00:00;  3,35
11.09.1993 09:00:00;  3,63
24.10.1993 09:30:00;  13,0
07.11.1993 15:30:00;  3,72
25.12.1993 07:45:00;  9,76
05.01.1994 17:00:00;  6,43
02.02.1994 10:45:00;  2,28
07.03.1994 11:30:00;  1,56
12.04.1994 19:30:00;  7,43
29.05.1994 22:00:00;  3,25
21.06.1994 01:45:00;  5,38
20.07.1994 03:30:00;  12,6
14.08.1994 03:00:00;  5,27
03.09.1994 18:15:00;  5,88
29.10.1994 11:30:00;  5,81
12.11.1994 08:45:00;  6,53
31.12.1994 21:15:00;  2,03
27.01.1995 11:00:00;  2,54
27.02.1995 05:15:00;  10,9
05.03.1995 04:30:00;  30,2
30.04.1995 21:00:00;  12,5
01.05.1995 00:00:00;  8,84
07.06.1995 15:15:00;  16,8
17.07.1995 11:15:00;  9,93
28.08.1995 23:00:00;  12,9
20.09.1995 15:45:00;  11,6
29.10.1995 09:15:00;  2,54
01.11.1995 23:45:00;  2,89
27.12.1995 00:30:00;  2,70
09.01.1996 10:00:00;  8,10
03.02.1996 00:01:00;  1,70
19.03.1996 21:15:00;  14,1
05.04.1996 06:15:00;  36,8
28.05.1996 00:30:00;  26,3
23.06.1996 03:00:00;  12,9
03.07.1996 09:45:00;  15,2
29.08.1996 12:30:00;  14,5
24.09.1996 02:15:00;  35,8
22.10.1996 14:30:00;  23,2
19.11.1996 00:15:00;  3,75
21.12.1996 06:30:00;  3,10
31.01.1997 09:04:05;  3,36
14.02.1997 04:17:55;  4,87
18.03.1997 03:02:00;  3,58
20.04.1997 01:01:35;  3,84
22.05.1997 11:50:25;  7,87
19.06.1997 03:56:20;  12,1
25.07.1997 10:13:15;  21,9
01.08.1997 14:05:00;  32,0
08.09.1997 02:48:55;  18,4
02.10.1997 18:54:45;  2,17
18.11.1997 11:45:35;  2,53
21.12.1997 04:30:50;  9,48
01.01.1998 00:00:00;  2,04
03.02.1998 21:16:50;  1,62
18.03.1998 14:11:25;  6,74
17.04.1998 03:59:25;  3,28
31.05.1998 23:07:45;  8,91
27.06.1998 12:41:30;  42,2
08.07.1998 01:01:15;  20,8
01.08.1998 04:20:20;  20,0
06.09.1998 16:19:40;  44,5
20.10.1998 10:10:55;  16,8
05.11.1998 03:20:25;  17,1
17.12.1998 07:32:35;  4,80
13.01.1999 02:23:45;  4,09
24.02.1999 11:27:45;  1,96
08.03.1999 10:03:05;  2,78
24.04.1999 01:21:40;  12,1
21.05.1999 22:26:20;  54,0
16.06.1999 23:44:15;  12,2
10.07.1999 19:53:15;  13,7
21.08.1999 04:01:50;  17,8
08.09.1999 02:20:00;  11,5
04.10.1999 19:24:55;  2,95
10.11.1999 20:03:35;  2,81
11.12.1999 14:10:35;  8,00
31.01.2000 23:59:55;  3,96
02.02.2000 04:13:10;  6,84
30.03.2000 07:47:35;  9,83
02.04.2000 14:01:25;  7,59
13.05.2000 07:32:45;  4,44
06.06.2000 22:30:35;  6,93
08.07.2000 07:04:55;  4,08
06.08.2000 15:53:35;  13,2
17.09.2000 02:42:05;  4,94
27.10.2000 11:27:10;  4,32
05.11.2000 03:02:55;  10,4
28.12.2000 15:45:50;  14,5
09.01.2001 04:08:45;  6,22
01.02.2001 03:07:20;  1,78
26.03.2001 07:44:50;  5,22
08.04.2001 20:18:25;  6,65
05.05.2001 10:46:55;  2,75
17.06.2001 22:29:25;  3,00
20.07.2001 22:17:10;  7,75
11.08.2001 11:43:10;  1,53
15.09.2001 08:42:25;  5,08
22.10.2001 12:00:00;  1,72
16.11.2001 11:00:00;  1,24
07.12.2001 13:04:05; 0,918
31.01.2002 23:15:00; 0,800
04.02.2002 12:15:00;  1,47
27.03.2002 17:30:00;  1,22
12.04.2002 22:00:00;  1,60
26.05.2002 11:00:00;  2,55
07.06.2002 10:00:00;  4,93
16.07.2002 22:45:00;  5,77
12.08.2002 13:45:00;  13,2
06.09.2002 11:00:00;  3,77
18.10.2002 14:00:00;  7,80
23.11.2002 06:00:00;  6,38
05.12.2002 19:30:00;  6,34
01.01.2003 00:15:00;  2,14
01.02.2003 00:30:00;  1,43
14.03.2003 02:00:00;  1,65
11.04.2003 13:45:00;  2,06
26.05.2003 21:45:00;  3,67
13.06.2003 21:30:00;  7,43
04.07.2003 23:00:00;  5,17
31.08.2003 20:30:00;  5,36
01.09.2003 00:00:00;  4,42
04.10.2003 13:00:00;  5,75
02.11.2003 21:45:00;  2,76
10.12.2003 09:00:00;  1,58
25.01.2004 11:42:00; 0,940
04.02.2004 13:38:00;  1,43
24.03.2004 22:00:00;  10,2
07.04.2004 03:00:00;  3,03
29.05.2004 00:00:00;  6,05
13.06.2004 05:15:00;  36,7
02.07.2004 01:30:00;  9,95
07.08.2004 17:30:00;  8,53
15.09.2004 22:45:00;  3,21
22.10.2004 19:00:00;  7,63
09.11.2004 23:45:00;  2,10
27.12.2004 15:45:00;  9,85
01.01.2005 03:45:00;  1,59
26.02.2005 00:45:00;  1,75
19.03.2005 00:30:00;  13,0
20.04.2005 21:00:00;  8,63
19.05.2005 03:30:00;  4,99
13.06.2005 03:30:00;  7,13
12.07.2005 01:00:00;  8,23
15.08.2005 08:00:00;  11,4
11.09.2005 09:00:00;  4,40
04.10.2005 17:45:00;  2,54
27.11.2005 17:30:00;  9,75
06.12.2005 22:15:00;  5,09
03.01.2006 02:15:00;  3,40
21.02.2006 00:45:00;  14,8
29.03.2006 11:30:00;  5,75
30.04.2006 02:45:00;  12,8
01.05.2006 11:00:00;  9,65
03.06.2006 10:45:00;  17,7
08.07.2006 23:00:00;  6,85
04.08.2006 05:30:00;  9,44
17.09.2006 07:45:00;  4,14
24.10.2006 20:45:00;  4,42
22.11.2006 17:30:00;  4,05
10.12.2006 12:45:00;  1,89
20.01.2007 05:00:00;  2,14
26.02.2007 10:00:00;  4,90
19.03.2007 19:00:00;  5,96
21.04.2007 16:30:00;  2,94
12.05.2007 10:00:00;  5,57
17.06.2007 06:30:00;  7,03
10.07.2007 08:00:00;  10,2
20.08.2007 23:45:00;  5,55
07.09.2007 22:15:00;  18,9
29.10.2007 01:45:00;  12,9
12.11.2007 14:00:00;  3,58
10.12.2007 15:45:00;  5,66
14.01.2008 00:00:00;  2,19
17.02.2008 10:30:00;  2,38
17.03.2008 02:45:00;  4,61
22.04.2008 03:15:00;  2,19
25.05.2008 03:30:00;  2,67
27.06.2008 09:00:00;  13,8
21.07.2008 08:45:00;  19,9
16.08.2008 10:45:00;  17,7
12.09.2008 13:00:00;  3,77
10.10.2008 02:15:00;  4,61
08.11.2008 18:30:00;  5,47
19.12.2008 08:15:00;  7,83
22.01.2009 08:15:00;  11,8
08.02.2009 21:30:00;  20,2
06.03.2009 20:15:00;  14,0
03.04.2009 12:15:00;  4,51
30.05.2009 19:15:00;  8,50
25.06.2009 03:30:00;  47,8
07.07.2009 00:45:00;  20,3
04.08.2009 16:30:00;  14,4
05.09.2009 07:30:00;  10,3
12.10.2009 17:00:00;  4,51
09.11.2009 09:15:00;  5,08
25.12.2009 23:15:00;  11,5
09.01.2010 23:15:00;  7,73
27.02.2010 02:45:00;  12,1
01.03.2010 13:15:00;  5,18
02.04.2010 10:30:00;  3,31
27.05.2010 00:30:00;  3,67
16.06.2010 19:15:00;  28,2
13.07.2010 18:45:00;  6,95
15.08.2010 11:00:00;  23,6
26.09.2010 17:30:00;  44,5
18.10.2010 08:15:00;  5,37
22.11.2010 13:15:00;  14,2
09.12.2010 01:15:00;  15,0
19.01.2011 23:30:00;  9,60
14.02.2011 18:00:00;  3,40
17.03.2011 10:45:00;  11,5
04.04.2011 20:00:00;  5,37
14.05.2011 23:45:00;  12,0
24.06.2011 04:45:00;  19,3
15.07.2011 03:30:00;  7,49
04.08.2011 11:15:00;  22,3
20.09.2011 05:00:00;  6,02
07.10.2011 18:00:00;  8,84
03.11.2011 20:45:00;  1,66
17.12.2011 14:30:00;  2,58
24.01.2012 16:00:00;  1,72
29.02.2012 14:15:00;  1,80
03.03.2012 13:30:00;  1,52
12.04.2012 11:45:00;  6,39
04.05.2012 18:45:00;  22,9
22.06.2012 05:15:00;  8,00
25.07.2012 15:45:00;  18,8
04.08.2012 01:45:00;  5,02
13.09.2012 07:00:00;  11,5
16.10.2012 10:45:00;  7,53
05.11.2012 22:30:00;  38,9
02.12.2012 21:45:00;  1,94
31.01.2013 20:00:00;  3,66
26.02.2013 22:00:00;  46,2
31.03.2013 10:15:00;  29,0
13.04.2013 02:45:00;  15,2
11.05.2013 03:30:00;  14,8
11.06.2013 14:00:00;  9,96
11.07.2013 20:30:00;  3,09
