Messstelle:                ;Nötsch
18.08.1968 12:00:00;  80,7
16.09.1968 12:00:00;   250
09.10.1968 12:00:00;  30,9
03.11.1968 12:00:00;   194
01.12.1968 12:00:00;  26,0
15.01.1969 12:00:00;  21,6
27.02.1969 12:00:00;  13,6
20.03.1969 12:00:00;  31,4
28.04.1969 12:00:00;   111
07.05.1969 12:00:00;   111
19.06.1969 12:00:00;   108
08.07.1969 12:00:00;  56,2
24.08.1969 12:00:00;  73,7
15.09.1969 12:00:00;  60,1
02.10.1969 12:00:00;  19,4
14.11.1969 12:00:00;   170
01.12.1969 12:00:00;  21,7
16.01.1970 12:00:00;  24,5
06.02.1970 12:00:00;  13,4
28.03.1970 12:00:00;  27,6
27.04.1970 12:00:00;   227
22.05.1970 12:00:00;   101
19.06.1970 12:00:00;  93,8
15.07.1970 12:00:00;   240
22.08.1970 12:00:00;  87,1
12.09.1970 12:00:00;  59,3
21.10.1970 12:00:00;  23,5
14.11.1970 12:00:00;   162
01.12.1970 12:00:00;  28,1
31.01.1971 12:00:00;  15,0
02.02.1971 12:00:00;  19,8
22.03.1971 12:00:00;  51,5
25.04.1971 12:00:00;  65,9
02.05.1971 12:00:00;   125
11.06.1971 12:00:00;  65,9
01.07.1971 12:00:00;  41,9
09.08.1971 12:00:00;  33,2
25.09.1971 12:00:00;  19,5
15.10.1971 12:00:00;  41,9
11.11.1971 12:00:00;  85,3
02.12.1971 12:00:00;  15,5
03.01.1972 12:00:00;  15,1
29.02.1972 12:00:00;  19,5
10.03.1972 12:00:00;  71,1
05.04.1972 12:00:00;   115
28.05.1972 12:00:00;   164
13.06.1972 12:00:00;   480
12.07.1972 12:00:00;   123
02.08.1972 12:00:00;  39,7
19.09.1972 12:00:00;  22,0
29.10.1972 12:00:00;  27,9
18.11.1972 12:00:00;  43,3
10.12.1972 12:00:00;  44,3
01.01.1973 12:00:00;  12,9
01.02.1973 12:00:00;  12,4
29.03.1973 12:00:00;  15,9
10.04.1973 12:00:00;  65,0
07.05.1973 12:00:00;   119
23.06.1973 12:00:00;   160
18.07.1973 12:00:00;  75,4
01.08.1973 12:00:00;  23,0
26.09.1973 12:00:00;   254
01.10.1973 12:00:00;   270
06.11.1973 12:00:00;  34,1
21.12.1973 12:00:00;  59,6
01.01.1974 12:00:00;  14,9
17.02.1974 12:00:00;  21,7
23.03.1974 12:00:00;  51,8
30.04.1974 12:00:00;  50,0
15.05.1974 12:00:00;  58,0
29.06.1974 12:00:00;   120
18.07.1974 12:00:00;   114
29.08.1974 12:00:00;  35,4
25.09.1974 12:00:00;  47,6
08.10.1974 12:00:00;  34,7
19.11.1974 12:00:00;  50,8
01.12.1974 12:00:00;  15,2
01.01.1975 12:00:00;  11,4
15.02.1975 12:00:00;  9,70
29.03.1975 12:00:00;  24,7
07.04.1975 12:00:00;   340
08.05.1975 12:00:00;   192
30.06.1975 12:00:00;   177
01.07.1975 12:00:00;   143
25.08.1975 12:00:00;  42,3
16.09.1975 12:00:00;  30,4
18.10.1975 12:00:00;  31,0
03.11.1975 12:00:00;  17,6
17.12.1975 12:00:00;  37,5
01.01.1976 01:00:00;  14,1
15.02.1976 03:00:00;  11,8
31.03.1976 23:59:55;  23,4
08.04.1976 05:00:00;  50,8
14.05.1976 02:00:00;  97,5
02.06.1976 16:00:00;  55,4
28.07.1976 10:00:00;  29,2
01.08.1976 22:00:00;  24,2
14.09.1976 14:00:00;   233
30.10.1976 22:00:00;   253
08.11.1976 00:00:00;   181
02.12.1976 08:00:00;  45,5
12.01.1977 16:00:00;  27,6
25.02.1977 20:00:00;   105
29.03.1977 08:00:00;   101
09.04.1977 04:00:00;  99,1
14.05.1977 07:00:00;   236
01.06.1977 00:00:00;  78,8
26.07.1977 12:00:00;  80,4
22.08.1977 08:00:00;  78,1
02.09.1977 09:00:00;  37,4
11.10.1977 13:00:00;  15,5
14.11.1977 07:00:00;  12,8
09.12.1977 23:00:00;  11,0
29.01.1978 21:00:00;  9,20
28.02.1978 23:59:55;  13,2
31.03.1978 23:59:55;  33,2
30.04.1978 23:59:55;  66,7
22.05.1978 20:00:00;   375
24.06.1978 22:00:00;   162
05.07.1978 11:00:00;   179
08.08.1978 10:00:00;   129
28.09.1978 03:00:00;  33,2
04.10.1978 13:00:00;   307
01.11.1978 00:00:00;  25,3
31.12.1978 17:00:00;  19,0
28.01.1979 13:00:00;   145
01.02.1979 00:00:00;  32,4
16.03.1979 18:00:00;   149
25.04.1979 01:00:00;   102
03.05.1979 01:00:00;   171
16.06.1979 23:00:00;   181
02.07.1979 23:00:00;   131
25.08.1979 15:00:00;  37,0
24.09.1979 17:00:00;   127
15.10.1979 15:00:00;   419
10.11.1979 11:00:00;   112
07.12.1979 20:00:00;  34,0
02.01.1980 11:00:00;  19,0
01.02.1980 19:00:00;  18,3
30.03.1980 11:00:00;  28,1
20.04.1980 09:00:00;  32,8
05.05.1980 14:00:00;  50,6
24.06.1980 06:00:00;   126
09.07.1980 22:00:00;   289
31.08.1980 13:00:00;  55,5
10.09.1980 13:00:00;  45,6
18.10.1980 03:00:00;   436
01.11.1980 00:00:00;  38,6
01.12.1980 04:00:00;  25,9
01.01.1981 00:00:00;  15,1
05.02.1981 15:00:00;  12,1
31.03.1981 10:00:00;  51,4
01.04.1981 00:00:00;  44,3
27.05.1981 12:00:00;   441
18.06.1981 07:00:00;  55,7
19.07.1981 09:00:00;   327
21.08.1981 12:00:00;  35,6
25.09.1981 07:00:00;  93,8
22.10.1981 20:00:00;   104
04.11.1981 04:00:00;  33,2
31.12.1981 23:59:55;  16,8
02.01.1982 01:00:00;  29,5
01.02.1982 08:00:00;  13,1
30.03.1982 14:00:00;  18,2
08.04.1982 01:00:00;  35,8
24.05.1982 16:00:00;   145
27.06.1982 15:00:00;  66,7
17.07.1982 10:00:00;  36,4
29.08.1982 20:00:00;  30,3
08.09.1982 08:00:00;  29,7
23.10.1982 23:00:00;   107
14.11.1982 09:00:00;   195
18.12.1982 13:00:00;  77,4
01.01.1983 20:00:00;  22,2
01.02.1983 00:00:00;  15,7
26.03.1983 09:00:00;  24,0
12.04.1983 16:00:00;  37,0
24.05.1983 18:00:00;  81,7
01.06.1983 00:00:00;  38,9
06.07.1983 12:00:00;  20,5
04.08.1983 07:00:00;  16,6
11.09.1983 15:00:00;   459
17.10.1983 12:00:00;  86,7
01.11.1983 00:00:00;  15,9
20.12.1983 07:00:00;  29,6
04.01.1984 18:00:00;  13,5
01.02.1984 00:00:00;  9,24
30.03.1984 10:00:00;  23,2
25.04.1984 05:00:00;  52,8
21.05.1984 20:00:00;   308
06.06.1984 03:00:00;   155
03.07.1984 03:00:00;  51,2
07.08.1984 22:00:00;  27,7
24.09.1984 11:00:00;   131
05.10.1984 11:00:00;   314
01.11.1984 00:00:00;  22,5
03.12.1984 04:00:00;  32,8
24.01.1985 12:00:00;  43,4
03.02.1985 16:00:00;  18,4
28.03.1985 20:00:00;  23,6
10.04.1985 23:00:00;  67,5
09.05.1985 00:00:00;   116
15.06.1985 17:00:00;   155
31.07.1985 04:00:00;   147
06.08.1985 23:00:00;   150
01.09.1985 00:00:00;  25,9
31.10.1985 23:59:55;  16,5
02.11.1985 09:00:00;  27,3
29.12.1985 21:00:00;  40,9
01.01.1986 00:00:00;  26,0
01.02.1986 00:00:00;  13,5
31.03.1986 23:59:55;  20,2
29.04.1986 01:30:00;  95,9
30.05.1986 00:30:00;  95,7
05.06.1986 03:00:00;  78,4
01.07.1986 00:00:00;  23,5
28.08.1986 23:45:00;  46,7
10.09.1986 16:30:00;  73,6
24.10.1986 02:00:00;  23,9
23.11.1986 23:15:00;  19,7
01.12.1986 00:00:00;  12,9
01.01.1987 18:45:00;  11,6
16.02.1987 00:10:00;  28,2
29.03.1987 03:30:00;  21,7
21.04.1987 11:15:00;  70,2
04.05.1987 08:00:00;   146
09.06.1987 12:00:00;   160
20.07.1987 01:30:00;   144
25.08.1987 18:30:00;   336
06.09.1987 17:30:00;  62,7
12.10.1987 08:00:00;   262
14.11.1987 14:15:00;  36,7
01.12.1987 00:00:00;  26,8
30.01.1988 09:45:00;  36,5
08.02.1988 00:45:00;  71,9
16.03.1988 23:45:00;  26,3
24.04.1988 09:45:00;  53,9
03.05.1988 20:30:00;   113
06.06.1988 09:00:00;  79,6
15.07.1988 22:00:00;  96,0
21.08.1988 14:00:00;  68,2
14.09.1988 05:00:00;  55,7
13.10.1988 11:00:00;   184
01.11.1988 00:00:00;  22,8
03.12.1988 04:00:00;  21,3
01.01.1989 00:00:00;  14,8
25.02.1989 20:45:00;  26,1
19.03.1989 06:15:00;  28,3
05.04.1989 15:15:00;   199
14.05.1989 18:00:00;  57,0
05.06.1989 01:30:00;  48,2
05.07.1989 04:00:00;   103
09.08.1989 08:45:00;  34,4
28.09.1989 07:45:00;  30,5
01.10.1989 00:00:00;  21,2
04.11.1989 18:30:00;  63,1
19.12.1989 15:00:00;   166
29.01.1990 10:30:00;  29,2
01.02.1990 00:00:00;  16,3
31.03.1990 23:59:55;  19,0
08.04.1990 05:15:00;  43,5
18.05.1990 07:15:00;  32,9
08.06.1990 23:30:00;  60,7
11.07.1990 02:00:00;  63,2
18.08.1990 03:30:00;  29,8
24.09.1990 12:45:00;  80,8
29.10.1990 20:00:00;  45,9
23.11.1990 09:45:00;   329
01.12.1990 00:00:00;  60,9
01.01.1991 13:00:00;  20,4
03.02.1991 00:00:00;  15,0
26.03.1991 04:45:00;  86,4
06.04.1991 01:15:00;  45,0
11.05.1991 02:45:00;  88,6
18.06.1991 01:45:00;   119
26.07.1991 08:45:00;  79,4
15.08.1991 05:15:00;  40,1
30.09.1991 22:00:00;   195
01.10.1991 00:00:00;   150
14.11.1991 19:30:00;  75,9
01.12.1991 00:00:00;  25,0
01.01.1992 00:00:00;  15,1
29.02.1992 23:59:55;  12,7
24.03.1992 22:15:00;  32,9
29.04.1992 19:30:00;   131
04.05.1992 03:45:00;   102
20.06.1992 17:00:00;  78,0
12.07.1992 07:00:00;  45,9
02.08.1992 09:15:00;  25,0
01.09.1992 10:45:00;  79,4
06.10.1992 02:00:00;   268
16.11.1992 22:45:00;   108
05.12.1992 17:45:00;   244
01.01.1993 00:00:00;  19,5
01.02.1993 00:00:00;  13,4
25.03.1993 07:45:00;  18,1
30.04.1993 23:45:00;  19,9
29.05.1993 01:30:00;  23,1
23.06.1993 14:45:00;  24,0
20.07.1993 21:30:00;   144
26.08.1993 02:15:00;  52,5
14.09.1993 12:30:00;   177
09.10.1993 01:15:00;   388
08.11.1993 20:30:00;  76,6
01.12.1993 00:00:00;  29,8
08.01.1994 12:45:00;  80,8
07.02.1994 00:30:00;  20,9
02.03.1994 08:30:00;  28,7
18.04.1994 07:00:00;  41,2
20.05.1994 18:00:00;  58,7
05.06.1994 08:45:00;  38,9
19.07.1994 16:00:00;  42,0
26.08.1994 02:00:00;  25,6
15.09.1994 00:00:00;   348
05.10.1994 08:00:00;  47,6
11.11.1994 11:45:00;  50,0
01.12.1994 00:00:00;  17,6
27.01.1995 10:00:00;  16,7
18.02.1995 13:15:00;  16,3
28.03.1995 04:30:00;  27,7
21.04.1995 18:15:00;  40,8
13.05.1995 07:00:00;  74,2
11.06.1995 14:30:00;   111
04.07.1995 03:15:00;  42,4
09.08.1995 14:45:00;  26,1
14.09.1995 19:15:00;  72,5
01.10.1995 00:00:00;  22,4
18.11.1995 04:45:00;  11,9
23.12.1995 18:30:00;  19,0
14.01.1996 00:00:00;  13,0
19.02.1996 18:00:00;  9,50
26.03.1996 04:00:00;  17,2
26.04.1996 18:30:00;  31,4
03.05.1996 22:45:00;  64,0
22.06.1996 17:00:00;   248
08.07.1996 14:00:00;   193
29.08.1996 06:00:00;  46,8
01.09.1996 00:00:00;  26,7
17.10.1996 00:10:00;   270
15.11.1996 02:30:00;   367
01.12.1996 00:00:00;  46,8
01.01.1997 07:31:00;  23,4
27.02.1997 07:40:00;  18,8
06.03.1997 21:53:00;  22,4
30.04.1997 05:06:00;  15,9
07.05.1997 02:21:00;  53,6
28.06.1997 05:02:00;   180
01.07.1997 00:00:00;  61,3
29.08.1997 06:12:00;  72,1
08.09.1997 01:59:00;  33,5
01.10.1997 00:00:00;  13,0
13.11.1997 01:14:00;   140
20.12.1997 18:22:00;  72,8
03.01.1998 13:17:00;  21,4
18.02.1998 00:22:00;  14,6
05.03.1998 20:02:00;  13,4
29.04.1998 17:28:00;  53,6
01.05.1998 00:03:00;  44,4
12.06.1998 01:36:00;  77,0
04.07.1998 00:03:00;   137
28.08.1998 03:29:00;  45,0
12.09.1998 18:16:00;   178
08.10.1998 02:40:00;   388
05.11.1998 07:16:00;  43,8
02.12.1998 06:06:30;  18,5
12.01.1999 19:52:55;  13,4
28.02.1999 16:13:10;  8,77
05.03.1999 12:12:00;  23,9
17.04.1999 00:33:00;   180
21.05.1999 19:53:00;   101
04.06.1999 22:43:00;  55,0
23.07.1999 01:57:00;   107
17.08.1999 00:46:00;   149
21.09.1999 07:11:00;   257
25.10.1999 22:22:00;   255
01.11.1999 00:00:00;  33,5
11.12.1999 03:48:00;  15,1
19.01.2000 01:01:00;  13,1
07.02.2000 08:18:00;  14,6
30.03.2000 01:02:00;  27,2
19.04.2000 10:41:00;  73,9
08.05.2000 20:36:00;  50,7
25.06.2000 13:52:00;  35,1
12.07.2000 04:49:00;  91,4
06.08.2000 06:51:55;  88,3
21.09.2000 10:37:00;   105
13.10.2000 06:46:00;   388
14.11.2000 23:23:10;   386
09.12.2000 15:07:35;  80,3
08.01.2001 06:26:00;   288
09.02.2001 19:32:25;  23,9
13.03.2001 16:22:45;  60,7
26.04.2001 16:14:00;  44,1
19.05.2001 00:41:00;  61,3
11.06.2001 13:18:05;   162
20.07.2001 14:44:20;  97,1
31.08.2001 23:59:55;  26,0
01.09.2001 10:00:00;  60,0
01.10.2001 00:00:00;  20,9
12.11.2001 06:17:50;  21,6
16.12.2001 09:44:05;  11,4
31.01.2002 23:59:55;  7,04
08.02.2002 00:15:25;  9,37
22.03.2002 15:38:00;  11,3
27.04.2002 22:22:40;  18,6
04.05.2002 23:12:05;   145
07.06.2002 05:39:00;   213
04.07.2002 15:06:00;  70,3
11.08.2002 21:08:00;   102
24.09.2002 22:52:00;  57,5
17.10.2002 23:50:00;   202
27.11.2002 04:41:00;   382
01.12.2002 02:40:00;   131
01.01.2003 00:02:30;  29,4
07.02.2003 02:46:15;  15,6
14.03.2003 07:14:40;  15,2
30.04.2003 23:59:55;  29,8
21.05.2003 02:07:55;  84,7
15.06.2003 07:29:10;  30,5
04.07.2003 02:07:05;  34,1
29.08.2003 18:59:30;   234
01.09.2003 00:00:00;   103
05.10.2003 14:32:05;  97,3
01.11.2003 20:46:30;   340
01.12.2003 00:00:00;  57,4
01.01.2004 00:00:00;  18,9
24.02.2004 01:39:45;  16,8
22.03.2004 12:38:55;  49,5
05.04.2004 21:54:15;  63,0
06.05.2004 00:55:00;   113
20.06.2004 18:25:00;   123
03.07.2004 00:39:00;  79,4
21.08.2004 14:18:00;  50,0
16.09.2004 00:18:00;  71,2
31.10.2004 18:03:00;   287
01.11.2004 00:00:00;   219
01.12.2004 06:52:30;  27,2
01.01.2005 00:00:00;  15,9
02.02.2005 22:37:30;  10,8
31.03.2005 23:59:55;  30,9
19.04.2005 15:37:30;  46,5
18.05.2005 16:37:30;  51,9
01.06.2005 00:00:00;  23,4
08.07.2005 13:22:30;  54,3
22.08.2005 00:07:30;  60,7
18.09.2005 03:15:00;  62,8
06.10.2005 01:37:30;   155
06.11.2005 15:52:30;  22,9
04.12.2005 00:52:30;  15,9
01.01.2006 18:52:30;  10,8
23.02.2006 04:52:30;  11,5
29.03.2006 06:07:30;  58,7
30.04.2006 11:07:30;  68,5
20.05.2006 09:22:30;   111
01.06.2006 00:00:00;  38,4
01.07.2006 02:37:30;  22,4
03.08.2006 21:22:30;  60,0
16.09.2006 00:52:30;  73,2
04.10.2006 04:07:30;   147
01.11.2006 00:37:30;  15,4
09.12.2006 16:52:30;   111
01.01.2007 00:00:00;  13,4
27.02.2007 01:37:30;  15,9
08.03.2007 04:07:30;  39,7
15.04.2007 02:07:30;  42,4
29.05.2007 11:52:30;  47,0
28.06.2007 07:52:30;  27,7
10.07.2007 08:52:30;  75,3
30.08.2007 19:22:30;  65,2
28.09.2007 13:22:30;  56,2
28.10.2007 14:52:30;  33,3
25.11.2007 03:37:30;   184
01.12.2007 00:00:00;  28,7
13.01.2008 00:37:30;  50,7
02.02.2008 21:07:30;  16,3
17.03.2008 02:22:30;  21,9
12.04.2008 04:52:30;  55,6
18.05.2008 17:22:30;   138
13.06.2008 18:37:30;  57,5
07.07.2008 22:07:30;  45,9
15.08.2008 19:22:30;   278
07.09.2008 23:22:30;  28,8
30.10.2008 10:52:30;   342
01.11.2008 01:52:30;   230
02.12.2008 04:52:30;  42,6
21.01.2009 01:52:30;  42,6
07.02.2009 17:22:30;  51,1
29.03.2009 23:07:30;  61,3
29.04.2009 17:07:30;   120
14.05.2009 01:22:30;   138
06.06.2009 22:22:30;   268
18.07.2009 12:52:30;  82,0
29.08.2009 21:52:30;  44,4
15.09.2009 02:15:00;  64,6
22.10.2009 22:45:05;  58,7
30.11.2009 23:59:55;   128
25.12.2009 09:00:00;   263
01.01.2010 00:00:00;  39,7
27.02.2010 02:45:05;  18,5
27.03.2010 07:15:05;  75,6
27.04.2010 08:07:30;  46,8
06.05.2010 13:37:30;   215
20.06.2010 16:52:30;  56,1
05.07.2010 03:07:30;  25,6
15.08.2010 13:37:30;   102
25.09.2010 15:37:30;   124
31.10.2010 23:59:55;   109
01.11.2010 19:07:30;   294
24.12.2010 10:07:30;   146
11.01.2011 05:22:30;  39,7
01.02.2011 07:22:30;  18,5
17.03.2011 07:22:30;  64,0
05.04.2011 02:37:30;  45,0
28.05.2011 03:45:00;   102
19.06.2011 01:00:00;   235
24.07.2011 16:33:15;  56,3
09.08.2011 04:00:00;  51,1
19.09.2011 19:00:05;   232
26.10.2011 16:15:00;   237
08.11.2011 20:30:05;  49,8
17.12.2011 06:45:00;  18,1
03.01.2012 18:15:05;  12,7
29.02.2012 23:59:55;  11,9
01.03.2012 23:15:00;  13,8
07.04.2012 23:15:00;  39,1
07.05.2012 00:15:00;  40,3
12.06.2012 20:15:05;  47,4
15.07.2012 11:00:05;   202
31.08.2012 23:59:55;  90,7
27.09.2012 12:45:00;   320
01.10.2012 14:00:05;   193
05.11.2012 16:30:05;   388
01.12.2012 00:03:15;  81,0
01.01.2013 00:48:15;  26,0
02.02.2013 14:30:05;  17,7
10.03.2013 21:15:05;  30,3
28.04.2013 08:30:00;   127
17.05.2013 22:00:00;   145
01.06.2013 00:00:00;  70,7
01.07.2013 05:30:05;  28,5
25.08.2013 17:45:00;  62,6
11.09.2013 10:15:00;  29,3
11.10.2013 05:00:05;   155
09.11.2013 17:45:00;   101
26.12.2013 10:42:15;  70,7
19.01.2014 18:00:05;   108
20.02.2014 01:15:00;  99,4
23.03.2014 16:45:00;   170
09.04.2014 04:15:00;   145
12.05.2014 00:15:00;   140
30.06.2014 08:00:00;   102
01.07.2014 00:00:00;  60,7
13.08.2014 20:15:05;   230
01.09.2014 07:00:00;   154
14.10.2014 07:15:00;  33,0
07.11.2014 00:15:00;   386
01.12.2014 15:00:00;   108
17.01.2015 19:00:05;  86,4
01.02.2015 22:15:00;  19,6
27.03.2015 12:45:00;  26,5
28.04.2015 09:30:00;  31,3
21.05.2015 10:15:00;  84,0
24.06.2015 04:15:00;  48,0
30.07.2015 04:30:00;  40,8
05.08.2015 08:00:00;  51,7
