Messstelle:                ;Engelhartstetten
06.04.1984 05:00:00; 0,653
15.05.1984 07:00:00; 0,564
05.06.1984 06:00:00; 0,387
01.07.1984 15:00:00; 0,286
21.08.1984 00:30:00; 0,303
25.09.1984 16:00:00; 0,327
26.10.1984 00:00:00; 0,433
23.11.1984 21:00:00; 0,793
16.12.1984 19:00:00; 0,576
01.01.1985 00:00:00; 0,481
04.02.1985 03:06:10;  3,52
23.03.1985 15:00:00; 0,884
08.04.1985 13:15:00;  1,35
09.05.1985 03:15:00; 0,580
30.06.1985 22:45:00;  1,19
03.07.1985 23:45:00;  1,44
09.08.1985 12:00:00;  4,61
01.09.1985 00:00:00; 0,721
31.10.1985 20:30:00; 0,694
26.11.1985 01:00:00;  1,31
14.12.1985 02:15:00;  1,49
20.01.1986 09:30:00;  1,61
03.02.1986 07:45:00; 0,943
13.03.1986 00:45:00;  1,36
13.04.1986 21:15:00;  3,70
01.05.1986 03:30:00; 0,848
21.06.1986 13:30:00;  1,16
26.07.1986 06:45:00; 0,743
19.08.1986 17:15:00; 0,857
12.09.1986 21:00:00; 0,476
24.10.1986 08:00:00; 0,564
25.11.1986 16:45:00; 0,726
01.12.1986 21:30:00; 0,462
27.01.1987 14:30:00; 0,335
22.02.1987 03:45:00;  1,29
23.03.1987 13:00:00;  2,41
12.04.1987 01:15:00;  1,31
23.05.1987 15:30:00;  1,54
17.06.1987 12:30:00;  1,71
30.07.1987 09:15:00;  1,79
04.08.1987 14:15:00;  1,52
10.09.1987 07:30:00;  1,13
27.10.1987 00:00:00; 0,904
29.11.1987 02:00:00;  1,03
22.12.1987 02:15:00;  2,00
23.01.1988 08:00:00;  1,12
29.02.1988 22:00:00;  1,16
26.03.1988 21:30:00;  1,86
14.04.1988 18:45:00;  5,12
01.05.1988 16:15:00;  1,01
07.06.1988 20:30:00;  1,62
03.07.1988 13:15:00;  2,13
09.08.1988 15:45:00; 0,404
18.09.1988 06:30:00; 0,519
15.10.1988 07:00:00; 0,555
18.11.1988 14:30:00; 0,626
20.12.1988 06:00:00; 0,733
10.01.1989 03:30:00; 0,626
07.02.1989 11:00:00; 0,555
14.03.1989 21:45:00; 0,555
24.04.1989 15:15:00; 0,939
28.05.1989 18:45:00;  1,11
03.06.1989 21:30:00; 0,662
31.07.1989 03:00:00; 0,519
13.08.1989 01:15:00;  1,23
18.09.1989 01:30:00;  1,34
12.10.1989 09:00:00;  1,59
10.11.1989 03:15:00; 0,857
22.12.1989 04:30:00; 0,733
03.01.1990 20:15:00; 0,698
16.02.1990 18:00:00; 0,898
30.03.1990 18:00:00; 0,698
20.04.1990 19:30:00;  1,25
18.05.1990 17:15:00;  1,44
25.06.1990 01:15:00; 0,857
21.07.1990 03:45:00; 0,698
07.08.1990 06:15:00; 0,489
19.09.1990 23:45:00; 0,626
26.10.1990 06:45:00; 0,263
13.11.1990 08:15:00; 0,263
17.12.1990 12:15:00; 0,428
29.01.1991 01:15:00; 0,626
01.02.1991 09:30:00; 0,459
17.03.1991 01:45:00; 0,367
10.04.1991 00:00:00; 0,214
20.05.1991 16:45:00; 0,815
29.06.1991 11:45:00;  3,74
29.07.1991 11:45:00;  3,03
03.08.1991 19:15:00;  6,45
01.09.1991 00:00:00; Lücke
01.10.1991 00:00:00; Lücke
01.11.1991 00:00:00; Lücke
01.12.1991 00:00:00; Lücke
01.01.1992 00:00:00; Lücke
01.02.1992 00:00:00; Lücke
01.03.1992 00:00:00; Lücke
01.04.1992 00:00:00; Lücke
15.05.1992 00:00:00; 0,000
22.06.1992 21:45:00; 0,054
20.07.1992 04:30:00;  4,13
21.08.1992 19:45:00;  5,22
04.09.1992 15:45:00;  4,32
31.10.1992 02:45:00;  3,76
24.11.1992 21:15:00;  6,90
07.12.1992 13:00:00;  3,76
11.01.1993 19:15:00;  3,06
06.02.1993 12:30:00;  3,06
13.03.1993 04:15:00;  3,23
23.04.1993 12:30:00;  3,40
06.05.1993 02:15:00;  4,42
25.06.1993 21:45:00;  4,61
17.07.1993 01:30:00;  7,02
07.08.1993 20:30:00;  5,65
01.09.1993 14:00:00;  5,32
23.10.1993 11:45:00;  2,97
02.11.1993 20:45:00;  3,58
29.12.1993 03:30:00;  3,14
01.01.1994 00:00:00; Lücke
01.02.1994 00:00:00; Lücke
01.03.1994 00:00:00; Lücke
01.04.1994 00:00:00; Lücke
01.05.1994 00:00:00; Lücke
01.06.1994 00:00:00; Lücke
01.07.1994 00:00:00; Lücke
01.08.1994 00:00:00; Lücke
01.09.1994 00:00:00; Lücke
01.10.1994 00:00:00; Lücke
01.11.1994 00:00:00; Lücke
01.12.1994 00:00:00; Lücke
01.01.1995 00:00:00; Lücke
01.02.1995 00:00:00; Lücke
01.03.1995 00:00:00; Lücke
01.04.1995 00:00:00; Lücke
01.05.1995 00:00:00; Lücke
01.06.1995 00:00:00; Lücke
01.07.1995 00:00:00; Lücke
01.08.1995 00:00:00; Lücke
01.09.1995 00:00:00; Lücke
01.10.1995 00:00:00; Lücke
01.11.1995 00:00:00; Lücke
01.12.1995 00:00:00; Lücke
07.01.1996 06:15:00;  4,71
22.02.1996 12:00:00;  2,56
24.03.1996 02:30:00;  3,67
06.04.1996 15:00:00;  4,90
15.05.1996 17:00:00;  5,98
06.06.1996 06:45:00;  5,43
12.07.1996 15:45:00;  7,37
26.08.1996 08:30:00;  4,13
06.09.1996 14:00:00;  5,11
23.10.1996 12:00:00;  12,0
15.11.1996 13:00:00;  4,32
03.12.1996 20:15:00;  4,61
13.01.1997 15:29:45;  3,36
13.02.1997 22:59:55;  5,67
17.03.1997 17:34:30;  3,84
06.04.1997 18:23:40;  3,83
22.05.1997 08:54:05;  5,66
23.06.1997 13:28:55;  5,77
06.07.1997 22:34:15;  5,12
02.08.1997 06:27:30;  5,29
30.09.1997 23:59:55;  2,96
04.10.1997 08:51:40;  5,61
28.11.1997 14:04:10;  4,30
01.12.1997 18:05:25;  4,12
22.01.1998 19:36:00;  4,34
02.02.1998 23:54:10;  4,42
18.03.1998 01:34:45;  4,33
25.04.1998 05:28:00;  4,83
19.05.1998 03:51:05;  5,18
04.06.1998 08:35:35;  5,73
08.07.1998 12:55:45;  5,90
31.08.1998 23:35:40;  5,28
30.09.1998 20:33:35;  6,24
30.10.1998 03:03:40;  8,59
02.11.1998 00:27:30;  5,91
17.12.1998 00:03:15;  5,48
28.01.1999 03:46:40;  4,57
23.02.1999 07:50:50;  5,60
25.03.1999 02:43:20;  5,85
22.04.1999 18:19:10;  5,11
21.05.1999 13:04:50;  6,10
22.06.1999 21:04:45;  6,33
08.07.1999 22:41:00;  5,18
17.08.1999 12:33:25;  5,17
27.09.1999 13:45:25;  6,48
01.10.1999 10:54:25;  5,89
01.11.1999 13:18:45;  4,87
27.12.1999 23:29:20;  5,35
18.01.2000 07:52:35;  4,30
20.02.2000 01:34:00;  3,45
30.03.2000 12:34:15;  4,50
16.04.2000 13:41:25;  4,32
19.05.2000 10:26:00;  4,75
26.06.2000 12:33:00;  5,27
12.07.2000 02:02:10;  5,24
06.08.2000 14:58:30;  5,56
29.09.2000 13:10:35;  7,65
04.10.2000 07:16:20;  8,82
05.11.2000 11:56:05;  4,89
28.12.2000 22:02:00;  5,30
09.01.2001 13:45:00;  4,53
05.02.2001 08:00:00;  2,59
23.03.2001 08:55:50;  3,97
09.04.2001 01:45:00;  3,50
06.05.2001 22:15:00;  3,46
25.06.2001 14:30:00;  3,74
27.07.2001 03:45:00;  4,12
24.08.2001 23:00:00;  3,95
27.09.2001 18:30:00;  6,12
05.10.2001 18:15:00;  6,15
30.11.2001 19:45:00;  4,81
07.12.2001 09:00:00;  4,83
03.01.2002 05:15:00;  4,05
27.02.2002 16:45:00;  5,83
06.03.2002 22:00:00;  8,83
15.04.2002 04:15:00;  5,05
06.05.2002 09:00:00;  5,49
10.06.2002 20:45:00;  4,41
17.07.2002 02:45:00;  4,03
02.08.2002 20:45:00;  4,03
25.09.2002 09:45:00;  8,54
04.10.2002 19:00:00;  6,29
14.11.2002 15:15:00;  4,58
31.12.2002 20:00:00;  5,30
01.01.2003 00:00:00;  5,06
01.02.2003 01:15:00;  3,46
24.03.2003 13:00:10;  6,76
11.04.2003 18:01:40;  7,08
14.05.2003 08:41:55;  7,64
02.06.2003 16:32:00;  5,76
02.07.2003 13:37:40;  5,44
20.08.2003 10:13:45;  5,44
24.09.2003 13:00:00;  5,34
08.10.2003 16:45:00;  9,18
29.11.2003 13:15:00;  3,62
06.12.2003 09:45:00;  3,44
14.01.2004 14:15:00;  3,87
04.02.2004 09:00:00;  3,47
31.03.2004 10:15:00;  4,44
06.04.2004 06:30:00;  4,56
16.05.2004 17:45:00;  4,79
04.06.2004 15:45:00;  5,53
02.07.2004 07:45:00;  5,38
10.08.2004 07:15:00;  4,42
24.09.2004 12:45:00;  4,68
20.10.2004 21:47:45;  9,22
10.11.2004 05:04:00;  6,85
03.12.2004 02:52:50;  7,24
21.01.2005 23:15:00;  6,03
13.02.2005 12:45:00;  6,71
02.03.2005 10:00:00;  6,34
06.04.2005 15:45:00;  9,22
04.05.2005 23:00:00;  6,77
05.06.2005 13:30:00;  6,38
02.07.2005 07:30:00;  6,06
15.08.2005 19:15:00;  6,42
30.09.2005 21:45:00;  7,16
05.10.2005 17:45:00;  11,1
22.11.2005 16:30:00;  7,26
07.12.2005 21:45:00;  5,00
01.01.2006 17:30:00;  3,94
20.02.2006 15:30:00;  4,97
12.03.2006 16:00:00;  5,42
29.04.2006 23:00:00;  6,94
29.05.2006 08:15:00;  6,86
03.06.2006 20:14:00;  7,00
24.07.2006 20:30:00;  6,23
05.08.2006 01:15:00;  6,52
22.09.2006 15:15:00;  6,41
11.10.2006 19:00:00;  10,5
30.11.2006 21:15:00;  7,44
08.12.2006 04:15:00;  7,55
19.01.2007 21:00:00;  3,89
28.02.2007 23:59:55;  5,39
30.03.2007 20:00:00;  7,22
12.04.2007 14:15:00;  5,66
29.05.2007 19:45:00;  6,82
23.06.2007 15:30:00;  5,28
30.07.2007 19:45:00;  5,33
11.08.2007 20:00:00;  5,40
29.09.2007 13:00:00;  6,14
10.10.2007 19:30:00;  10,7
12.11.2007 17:45:00;  4,35
13.12.2007 02:51:25;  4,76
20.01.2008 04:15:00;  6,84
23.02.2008 14:45:00;  6,55
24.03.2008 20:45:00;  5,48
23.04.2008 16:45:00;  7,59
19.05.2008 15:30:00;  7,13
26.06.2008 21:00:00;  7,47
25.07.2008 01:15:00;  7,99
17.08.2008 09:15:00;  7,74
16.09.2008 20:45:00;  7,11
22.10.2008 15:30:00;  10,2
14.11.2008 22:15:00;  7,26
19.12.2008 12:34:35;  5,63
24.01.2009 20:30:00;  5,71
28.02.2009 15:00:00;  8,92
30.03.2009 17:45:00;  9,44
01.04.2009 07:15:00;  6,30
31.05.2009 03:00:00;  4,86
23.06.2009 17:28:30;  6,11
24.07.2009 17:30:00;  7,88
05.08.2009 16:00:00;  8,38
10.09.2009 00:00:00;  11,1
01.10.2009 15:30:00;  7,17
29.11.2009 19:00:00;  7,10
09.12.2009 18:00:00;  7,87
19.01.2010 19:30:00;  7,43
26.02.2010 19:00:00;  7,90
25.03.2010 11:30:00;  7,71
01.04.2010 15:15:00;  7,27
14.05.2010 17:30:00;  8,38
17.06.2010 08:30:00;  7,42
30.07.2010 19:00:00;  6,64
08.08.2010 16:30:00;  7,24
28.09.2010 02:30:00;  8,92
01.10.2010 07:00:00;  6,73
30.11.2010 01:45:00;  5,98
13.12.2010 15:30:00;  6,45
15.01.2011 04:09:55;  6,88
28.02.2011 00:45:00;  6,05
19.03.2011 06:30:00;  8,93
02.04.2011 14:15:00;  7,64
22.05.2011 20:15:00;  7,53
24.06.2011 16:00:00;  7,76
22.07.2011 09:15:00;  6,76
28.08.2011 12:45:00;  6,47
09.09.2011 00:45:00;  7,56
08.10.2011 07:45:00;  7,00
29.11.2011 12:00:00;  6,65
04.12.2011 00:15:00;  6,57
22.01.2012 23:00:00;  7,33
01.02.2012 02:15:00;  5,90
31.03.2012 05:00:00;  6,68
21.04.2012 16:15:00;  6,38
25.05.2012 01:30:00;  6,35
09.06.2012 19:45:00;  6,20
21.07.2012 21:30:00;  6,37
06.08.2012 00:15:00;  5,95
02.09.2012 22:00:00;  7,17
08.10.2012 15:30:00;  6,67
05.11.2012 19:30:00;  5,13
24.12.2012 13:15:00;  5,84
31.01.2013 00:15:00;  7,49
27.02.2013 18:00:00;  7,43
31.03.2013 20:30:00;  5,95
01.04.2013 00:00:00;  5,85
29.05.2013 16:45:00;  6,33
11.06.2013 19:15:00;  7,61
26.07.2013 02:30:00;  5,57
11.08.2013 03:45:00;  5,56
17.09.2013 19:45:00;  8,36
12.10.2013 05:15:00;  5,07
11.11.2013 13:30:00;  4,79
10.12.2013 03:30:00;  4,79
20.01.2014 13:30:00;  5,31
13.02.2014 04:30:00;  5,25
07.03.2014 05:15:00;  4,96
25.04.2014 16:15:00;  5,56
17.05.2014 05:30:00;  6,51
30.06.2014 18:45:00;  4,70
31.07.2014 15:45:00;  5,59
31.08.2014 18:45:00;  6,17
14.09.2014 23:00:00;  8,86
02.10.2014 09:00:00;  5,43
19.11.2014 10:15:00;  5,46
02.12.2014 15:15:00;  5,64
05.01.2015 22:00:00;  6,86
25.02.2015 17:00:00;  5,67
03.03.2015 14:00:00;  5,58
01.04.2015 08:00:00;  5,36
24.05.2015 09:45:00;  5,92
01.06.2015 08:00:00;  4,61
09.07.2015 19:00:00;  4,68
31.08.2015 23:59:55;  4,74
14.09.2015 19:15:00;  6,52
20.10.2015 21:45:00;  6,19
21.11.2015 21:45:00;  5,38
02.12.2015 17:45:00;  5,21
26.01.2016 09:00:00;  5,10
20.02.2016 01:00:00;  5,78
01.03.2016 09:45:00;  5,17
09.04.2016 13:30:00;  5,43
14.05.2016 04:30:00;  6,02
20.06.2016 19:30:00;  5,44
03.07.2016 12:45:00;  5,31
11.08.2016 21:15:00;  5,25
09.09.2016 21:45:00;  7,09
05.10.2016 12:30:00;  5,69
18.11.2016 03:30:00;  5,05
29.12.2016 23:00:00;  4,83
12.01.2017 23:00:00;  5,58
07.02.2017 13:45:00;  6,25
19.03.2017 01:30:00;  5,64
18.04.2017 16:45:00;  5,60
02.05.2017 16:30:00;  5,33
05.06.2017 04:30:00;  4,56
11.07.2017 00:15:00;  4,90
11.08.2017 23:45:00;  5,50
18.09.2017 00:15:00;  7,53
04.10.2017 13:15:00;  5,58
30.11.2017 21:45:00;  4,64
31.12.2017 23:59:55;  5,08
01.01.2018 03:45:00;  5,21
02.02.2018 17:15:00;  4,72
17.03.2018 07:45:00;  5,01
01.04.2018 15:45:00;  4,63
25.05.2018 21:15:00;  5,46
29.06.2018 07:45:00;  4,96
22.07.2018 12:55:00;  5,28
25.08.2018 14:20:00;  4,53
02.09.2018 11:00:00;  6,54
10.10.2018 12:30:00;  7,65
27.11.2018 09:15:00;  5,25
24.12.2018 22:22:00;  6,60
10.01.2019 07:10:00;  5,73
23.02.2019 19:45:00;  6,00
02.03.2019 12:15:00;  6,07
30.04.2019 22:55:00;  4,58
30.05.2019 22:15:00;  9,07
02.06.2019 02:25:00;  7,07
28.07.2019 10:50:00;  5,01
13.08.2019 10:10:00;  5,58
23.09.2019 05:45:00;  6,13
03.10.2019 22:40:00;  6,92
14.11.2019 17:50:00;  5,33
24.12.2019 05:20:00;  6,43
20.01.2020 10:30:00;  4,77
04.02.2020 10:50:00;  7,50
03.03.2020 04:00:00;  5,97
21.04.2020 11:00:00;  6,17
24.05.2020 09:20:00;  5,82
21.06.2020 22:40:00;  6,76
19.07.2020 17:10:00;  5,22
24.08.2020 15:00:00;  6,37
26.09.2020 14:55:00;  6,03
15.10.2020 12:15:00;  8,88
03.11.2020 00:20:00;  6,46
25.12.2020 14:35:00;  5,41
30.01.2021 10:20:00;  7,13
01.02.2021 12:10:00;  6,00
05.03.2021 21:10:00;  5,07
14.04.2021 22:25:00;  5,40
25.05.2021 19:55:00;  6,05
13.06.2021 22:45:00;  4,92
18.07.2021 14:05:30;  6,84
17.08.2021 13:35:00;  6,42
27.09.2021 22:05:00;  5,11
07.10.2021 22:00:00;  6,94
27.11.2021 09:30:00;  5,41
30.12.2021 21:30:00;  5,49
