Messstelle:                ;St. Veit
07.11.2014 06:00:00;  19,7
01.12.2014 17:30:00;  13,7
18.01.2015 03:45:00;  5,54
24.02.2015 20:30:00;  4,52
27.03.2015 11:45:00;  4,31
01.04.2015 12:45:00;  2,82
23.05.2015 06:45:00;  9,51
24.06.2015 01:30:00;  8,05
17.07.2015 01:00:00;  7,74
02.08.2015 15:45:00;  7,44
24.09.2015 03:15:00;  12,2
15.10.2015 13:00:00;  13,0
21.11.2015 21:45:00;  4,77
01.12.2015 00:45:00;  2,73
12.01.2016 03:30:00;  10,2
29.02.2016 16:30:00;  10,2
01.03.2016 00:00:00;  8,68
08.04.2016 21:45:00;  4,01
01.05.2016 23:45:00;  6,85
27.06.2016 11:15:00;  6,95
14.07.2016 06:00:00;  13,5
10.08.2016 19:45:00;  20,7
01.09.2016 08:45:00;  5,67
20.10.2016 10:45:00;  9,02
19.11.2016 19:45:00;  11,5
01.12.2016 00:00:00;  3,53
01.01.2017 00:00:05;  2,08
25.02.2017 00:45:00;  3,82
01.03.2017 09:00:00;  5,80
28.04.2017 09:15:00;  12,9
23.05.2017 00:30:00;  3,92
01.06.2017 23:30:00;  5,41
24.07.2017 16:30:00;  12,7
20.08.2017 08:45:00;  15,2
20.09.2017 21:00:00;  22,0
22.10.2017 22:00:00;  5,80
06.11.2017 14:00:00;  10,2
12.12.2017 13:15:00;  12,9
10.01.2018 00:30:00;  10,8
02.02.2018 08:45:00;  3,92
31.03.2018 23:45:00;  10,8
01.04.2018 02:30:00;  11,9
15.05.2018 19:15:00;  14,2
01.06.2018 00:00:00;  9,54
05.07.2018 18:15:00;  11,9
26.08.2018 07:00:00;  6,80
01.09.2018 17:30:00;  6,80
30.10.2018 20:15:00;  7,56
26.11.2018 16:30:00;  7,10
08.12.2018 13:00:00;  2,65
04.01.2019 15:00:00;  1,87
03.02.2019 07:45:00;  14,2
05.03.2019 08:30:00;  3,92
11.04.2019 18:00:00;  4,89
30.05.2019 08:15:00;  7,56
19.06.2019 16:45:00;  6,37
17.07.2019 19:30:00;  9,02
03.08.2019 02:30:00;  4,31
09.09.2019 01:15:00;  10,4
02.10.2019 11:45:00;  2,90
18.11.2019 23:30:00;  22,5
21.12.2019 20:15:00;  13,3
01.01.2020 00:00:00;  4,64
04.02.2020 09:15:00;  3,17
03.03.2020 20:45:05;  3,92
20.04.2020 07:30:00;  3,26
20.05.2020 04:15:00;  3,17
09.06.2020 17:30:00;  6,29
29.07.2020 19:00:00;  10,4
04.08.2020 14:30:00;  13,8
26.09.2020 04:45:00;  15,5
11.10.2020 20:00:00;  16,5
16.11.2020 22:30:00;  6,68
07.12.2020 09:00:00;  15,0
23.01.2021 21:30:00;  9,24
08.02.2021 18:00:00;  11,1
01.03.2021 00:00:00;  6,96
13.04.2021 00:15:00;  5,02
25.05.2021 22:00:00;  11,1
08.06.2021 01:15:00;  5,11
05.07.2021 07:30:00;  4,99
23.08.2021 10:30:00;  7,14
20.09.2021 09:45:00;  3,82
07.10.2021 03:00:00;  4,31
02.11.2021 09:45:00;  5,11
02.12.2021 18:15:00;  2,65
