Messstelle:                ;Vent (oberh. Niedertalbach)
   01.01.2005    31.12.2005;OWF-WT/Im Aug,Okt nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Mai nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Aug,Sep,Okt,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im J‰n,Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im J‰n,Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im J‰n,Okt nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im J‰n,Feb,Mrz,Jun,Jul,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im J‰n,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2009    31.12.2009;OWF-W/am 5. Mai Gerinnesanierung abgeschlossen
   01.01.2009    31.12.2009;OWF-Q/im Mai, Sep und Okt nach erg‰nzten Daten ermittelt | vom 1. J‰n bis 27. Apr und 19. Okt bis 31. Dez Sonde auﬂer Betrieb
   01.01.2010    31.12.2010;OWF-Q/Im Apr nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im J‰n,Feb,Mrz,Jun,Jul,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2010    31.12.2010;OWF-W/im Apr und Mai NW durch Lawine beeinflusst
   01.01.2010    31.12.2010;OWF-Q/im Apr und Mai NW durch Lawine beeinflusst
   01.01.2010    31.12.2010;OWF-Q/bis 8. Apr und ab 3. Nov Sonde auﬂer Betrieb | im Mai, Jun, Sep und Okt nach erg‰nzten Daten ermittelt | am 17. Jul Spitze durch heftige Gewitter
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2011    31.12.2011;OWF-W/NW im Apr durch Lawine beeinflusst
   01.01.2011    31.12.2011;OWF-Q/NQ im Apr durch Lawine beeinflusst
   01.01.2011    31.12.2011;OWF-Q/im Mai und Okt nach erg‰nzten Daten ermittelt | bis 30. Mrz und ab 14. Nov Sonde auﬂer Betrieb | am 4. Sep Spitze durch starke Niederschl‰ge
   01.01.2012    31.12.2012;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2012    31.12.2012;OWF-Q/im Mai, Sep und Okt nach erg‰nzten Daten ermittelt | bis 28. Mrz und ab 7. Nov Sonde auﬂer Betrieb | am 22. Aug Spitze durch starke Gletscherschmelze und Gewitter
   01.01.2013    31.12.2013;OWF-Q/Im J‰n,Feb,Jun,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im J‰n,Feb,Jun,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2013    31.12.2013;OWF-Q/bis 24. Apr und ab 7. Nov Sonde auﬂer Betrieb | im Mai, Aug, Sep, Okt zeitweise nach erg‰nzten Daten ermittelt | am 19. Aug Spitze durch starke Gletscherschmelze und Gewitter
   01.01.2014    31.12.2014;OWF-Q/Im J‰n,Feb,Jun,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im J‰n,Feb,Jun,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2014    31.12.2014;OWF-Q/bis 18. Mrz und ab 5. Nov Sonde auﬂer Betrieb | am 13. Aug Spitze durch starke Niederschl‰ge im EG
   01.01.2015    31.12.2015;OWF-Q/Im Mai,Aug,Sep,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Mai,Aug,Sep,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2015    31.12.2015;OWF-W/NW im Mai durch Lawine beeinflusst
   01.01.2015    31.12.2015;OWF-Q/NQ im Mai durch Lawine beeinflusst
   01.01.2015    31.12.2015;OWF-Q/bis 26. Mrz und ab 28. Okt Sonde auﬂer Betrieb | am 22. Jul Spitze durch starke Gewitter | im Okt zeitweise nach erg‰nzten Daten ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im J‰n,Feb,Mrz,Jun,Jul,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2016    31.12.2016;OWF-W/HW im Mai durch Lawine beeinflusst
   01.01.2016    31.12.2016;OWF-Q/HQ im Mai durch Lawine beeinflusst
   01.01.2016    31.12.2016;OWF-Q/bis 7. Apr und ab 9. Nov Sonde ausser Betrieb | im Sep und Okt zeitweise nach erg‰nzten Daten ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im J‰n,Feb,Mrz,Jun,Jul,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2017    31.12.2017;OWF-Q/bis 23. Mrz und ab 27. Nov Sonde auﬂer Betrieb | im Mai, Sep und Okt zeitweise nach erg‰nzten Daten ermittelt | am 10. Aug Spitze durch Hochwasser
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/im Apr NW durch Lawine beeinflusst
   01.01.2018    31.12.2018;OWF-Q/im Apr NQ durch Lawine beeinflusst
   01.01.2018    31.12.2018;OWF-Q/bis 4. Apr und ab 23. Nov Sonde auﬂer Betrieb | im Sep und Okt  zeitweise nach erg‰nzten Daten ermittelt | am 1. und 6. Aug Spitzen durch Murg‰nge im Einzugsgebiet
   01.01.2018    31.12.2018;OWF-Q/Geschiebetransportberechnung mittels Geophon-Geschiebetransport-Beziehung
   01.01.2019              ;OWF-Q/Geschiebedaten nach Erhebungen des Institutes f¸r Wasserbau, Hydraulik und Flieﬂgew‰sserforschung (IWA) BOKU
   01.01.2019              ;OWF-Q/Geschiebetransportberechnung mittels Geophon-Geschiebetransport-Beziehung
   01.01.2019    31.12.2019;OWF-Q/Im J‰n,Feb,Mrz,Apr,Jun,Jul,Aug,Sep,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2019    31.12.2019;OWF-W/im Apr NW und im Mai NW und HW durch Lawine beeinflusst | im Juni NW durch starkes Schnee-/ Regenereignis beeinflusst
   01.01.2019    31.12.2019;OWF-Q/im Apr NQ und im Mai NQ und HQ durch Lawine beeinflusst | im Juni NQ durch starkes Schnee-/ Regenereignis beeinflusst
   01.01.2019    31.12.2019;OWF-Q/bis 18.Mrz und ab 21. Nov Sonde auﬂer Betrieb | im Jun, Sep und Okt zeitweise nach erg‰nzten Daten ermittelt
   01.01.2019    31.12.2019;OWF-Q/im Mai und Jun zweitweise nach erg‰nzten Daten ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Sep,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2020    31.12.2020;OWF-Q/bis 27. Apr und ab 16. Nov Sonde auﬂer Betrieb | im Mai, Jun, Aug und Sep zeitweise nach erg‰nzten Daten ermittelt | am 29. Aug und 3. Okt Spitzen infolge starker Niederschl‰ge am Alpenhauptkamm
   01.01.2021    31.12.2021;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2021    31.12.2021;OWF-W/im Feb NW und HW durch Lawine beeinflusst
   01.01.2021    31.12.2021;OWF-Q/im Feb NQ und HQ durch Lawine beeinflusst
   01.01.2021    31.12.2021;OWF-Q/bis 26. Apr und ab 27. Okt Sonde auﬂer Betrieb | im Okt zeitweise nach erg‰nzten Daten ermittelt | am 8. Aug Spitze infolge starker Niederschl‰ge am Alpenhauptkamm

