Messstelle:                ;Kössen-Hütte
   01.01.2008    31.12.2008;OWF-Q/vom 14. Jän bis 19. Feb Bauarbeiten oberhalb des Pegels | vom 8. Okt bis 20. Nov Bauarbeiten oberhalb des Pegels | im Jän, Feb, Apr, Jun, Sep, Okt, Nov n. erg. Daten erm.
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/im Okt nach ergänzten Daten ermittelt | am 24. Aug Spitze durch Gewitter mit Starkregen
   01.01.2011    31.12.2011;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/im Mrz, Apr, Okt, Nov und Dez n. erg. Daten ermittelt | am 10. Okt Spitze durch Niederschläge entlang Alpennordseite | vom 17. bis 27. Jän durch Bauarbeiten beeinflusst | am 13. Jän Spitze durch Tauwetter und starke Niederschläge
   01.01.2012    31.12.2012;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/HQ-Wert 1995 geändert
   01.01.2012    31.12.2012;OWF-Q/im Okt nach ergänzten Daten ermittelt | am 4. Aug Spitze durch starke Gewitter (HW Fieberbrunner Ache)
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/im Jun, Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/bis 6. Apr aufgrund Profilaufweitung rekonstruiert
   01.01.2014    31.12.2014;OWF-Q/ab 12. Nov aufgrund Profilaufweitung rekonstruiert
   01.01.2014    31.12.2014;OWF-Q/im Jän, Feb, Mrz, Mai und Jun zw nach erg Daten erm (Pegelneubau im Winter) | am 31. Jul Spitze durch Hochwasser
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Sep zeitweise nach ergänzten Daten ermittelt | im Jän, Feb, Mrz, Nov und Dez zw durch Bauarbeiten beeinflusst | am 5. Aug Spitze durch Unwetter
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2016    31.12.2016;OWF-Q/im Mrz und Apr Ganglinie zeitweise durch Bauarbeiten beeiflusst
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Mai, Jun, Jul, Okt zeitweise nach ergänzten Daten ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/im Aug zeitweise nach ergänzten Daten ermittelt | am 8. Jun und 23. Aug Spitzen durch Unwetter im Einzugsgebiet der Fieberbrunner Ache
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/am 27. und 29. Jul  Spitzen durch Hochwasser | am 17. Nov Spitze durch starke Niederschläge
   01.01.2020    31.12.2020;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/im Sommer Spitzen durch Gewitter
   01.01.2021    31.12.2021;OWF-Q/am 6. Jun Spitze durch starke Gewitter im Einzugsgebiet | am 17. Jul Spitze durch Hochwasser

