Messstelle:                ;Kapfenberg-Diemlach
   01.01.2016    31.12.2016;OWF-Q/im Jän und Dez zeitweise nach ergänzten Daten ermittelt | am 25. Jul Spitze durch Unwetter
   01.01.2017    31.12.2017;OWF-Q/im Jän, Feb zeitweise nach ergänzten Daten ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/im Feb und Mrz zeitweise nach ergänzten Daten ermittelt
   01.01.2019              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.2019              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/im Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/im Mrz, Apr, Mai, Jul und Aug zeitweise nach ergänzten Daten ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

