Messstelle:                ;Lilienfeld-Marktl
29.12.1979 11:00:00;  6,68
19.01.1980 13:00:00;  5,05
29.02.1980 06:00:00;  5,97
25.03.1980 16:00:00;  4,51
07.04.1980 21:00:00;  6,05
22.05.1980 08:00:00;  9,97
22.06.1980 12:00:00;  6,72
30.07.1980 14:00:00;  5,42
23.08.1980 18:00:00;  4,98
22.09.1980 10:00:00;  4,53
24.10.1980 06:00:00;  4,64
04.11.1980 09:00:00;  3,91
01.12.1980 14:00:00;  4,17
26.01.1981 05:00:00;  5,47
02.02.1981 13:30:00;  5,83
06.03.1981 16:30:00;  5,88
25.04.1981 18:00:00;  6,07
13.05.1981 17:30:00;  4,63
10.06.1981 13:30:00;  4,75
19.07.1981 00:00:00;  5,09
22.08.1981 15:00:00;  4,21
12.09.1981 18:00:00;  3,22
13.10.1981 09:30:00;  3,76
06.11.1981 12:30:00;  4,49
22.12.1981 11:30:00;  3,47
24.01.1982 14:00:00;  5,14
24.02.1982 12:00:00;  6,62
16.03.1982 13:30:00;  6,69
26.04.1982 16:30:00;  5,88
27.05.1982 16:00:00;  6,72
25.06.1982 19:30:00;  5,95
22.07.1982 19:00:00;  3,87
30.08.1982 09:00:00;  4,63
15.09.1982 14:00:00;  4,19
22.10.1982 16:00:00;  4,01
08.11.1982 12:30:00;  2,94
04.12.1982 09:00:00;  3,31
03.01.1983 06:30:00;  4,62
25.02.1983 15:30:00;  5,58
15.03.1983 09:30:00;  6,49
24.04.1983 16:00:00;  5,51
28.05.1983 11:30:00;  3,22
09.06.1983 10:00:00;  2,57
15.07.1983 22:00:00;  2,06
23.08.1983 08:00:00;  2,56
26.09.1983 15:00:00;  2,70
02.10.1983 10:30:00;  2,68
28.11.1983 10:30:00;  1,93
22.12.1983 03:30:00;  2,19
30.01.1984 10:00:00;  3,35
24.02.1984 15:30:00;  2,41
12.03.1984 10:00:00;  3,10
04.04.1984 15:00:00;  5,90
06.05.1984 17:30:00;  5,35
17.06.1984 05:00:00;  3,29
13.07.1984 04:30:00;  3,80
30.08.1984 12:30:00;  3,60
19.09.1984 15:30:00;  1,96
12.10.1984 07:00:00;  3,60
15.11.1984 11:30:00;  2,92
09.12.1984 11:00:00;  3,36
22.01.1985 03:45:00;  2,23
23.02.1985 11:00:00;  3,87
11.03.1985 12:45:00;  4,84
30.04.1985 07:45:00;  7,82
28.05.1985 17:30:00;  4,39
07.06.1985 07:30:00;  5,38
15.07.1985 10:30:00;  3,74
03.08.1985 08:30:00;  4,49
30.09.1985 13:15:00;  5,29
01.10.1985 11:30:00;  3,97
26.11.1985 20:45:00;  3,74
01.12.1985 00:00:00;  4,77
10.01.1986 18:45:00;  5,23
22.02.1986 15:45:00;  3,91
05.03.1986 17:00:00;  4,81
25.04.1986 07:15:00;  6,75
22.05.1986 02:00:00;  5,29
04.06.1986 16:00:00;  5,55
24.07.1986 07:45:00;  4,96
26.08.1986 22:00:00;  4,05
19.09.1986 07:15:00;  3,29
13.10.1986 13:45:00;  2,92
21.11.1986 20:00:00;  3,52
12.12.1986 17:15:00;  3,40
23.01.1987 11:30:00;  2,78
02.02.1987 09:00:00;  3,29
20.03.1987 10:00:00;  6,03
03.04.1987 09:15:00;  10,1
12.05.1987 17:15:00;  11,4
29.06.1987 11:15:00;  6,00
27.07.1987 18:00:00;  4,03
29.08.1987 07:30:00;  4,43
29.09.1987 08:45:00;  4,03
01.10.1987 18:30:00;  3,47
18.11.1987 10:45:00;  3,47
04.12.1987 14:15:00;  4,43
22.01.1988 15:45:00;  4,23
09.02.1988 12:15:00;  4,23
03.03.1988 21:15:00;  4,64
30.04.1988 20:45:00;  11,3
30.05.1988 12:15:00;  5,52
26.06.1988 20:45:00;  5,15
07.07.1988 18:45:00;  3,48
29.08.1988 09:00:00;  2,47
02.09.1988 03:45:00;  3,86
12.10.1988 17:30:00;  4,00
02.11.1988 19:15:00;  4,59
04.12.1988 12:00:00;  4,39
29.01.1989 14:15:00;  7,43
06.02.1989 10:15:00;  6,90
03.03.1989 14:45:00;  8,34
01.04.1989 12:15:00;  7,79
29.05.1989 23:45:00;  8,06
03.06.1989 00:30:00;  6,75
23.07.1989 20:30:00;  7,52
17.08.1989 11:45:00;  5,57
26.09.1989 12:15:00;  8,06
27.10.1989 10:15:00;  6,26
30.11.1989 15:45:00;  4,85
12.12.1989 15:45:00;  4,85
14.01.1990 13:30:00;  4,03
06.02.1990 17:15:00;  3,84
27.03.1990 14:45:00;  5,29
11.04.1990 13:15:00;  5,07
31.05.1990 18:30:00;  4,85
06.06.1990 08:15:00;  4,43
30.07.1990 13:15:00;  4,79
20.08.1990 11:45:00;  4,39
14.09.1990 08:30:00;  4,15
11.10.1990 17:00:00;  3,12
14.11.1990 10:00:00;  2,79
06.12.1990 15:30:00;  4,23
25.01.1991 05:00:00;  5,22
15.02.1991 10:45:00;  3,82
01.03.1991 11:15:00;  4,85
15.04.1991 11:30:00;  4,64
13.05.1991 10:45:00;  4,03
27.06.1991 08:15:00;  5,35
10.07.1991 14:30:00;  5,57
30.08.1991 18:00:00;  8,64
17.09.1991 07:45:00;  6,63
31.10.1991 11:15:00;  5,07
01.11.1991 13:30:00;  5,28
10.12.1991 09:00:00;  3,69
23.01.1992 00:45:00;  6,40
05.02.1992 13:15:00;  6,40
18.03.1992 00:15:00;  9,92
17.04.1992 11:15:00;  8,11
24.05.1992 01:00:00;  6,87
30.06.1992 06:45:00;  5,43
24.07.1992 14:00:00;  4,02
26.08.1992 12:15:00;  1,94
01.09.1992 05:15:00;  3,13
21.10.1992 03:00:00;  3,30
02.11.1992 20:45:00;  4,02
29.12.1992 04:30:00;  6,63
02.01.1993 19:15:00;  6,17
26.02.1993 15:30:00;  5,28
03.03.1993 05:30:00;  4,86
30.04.1993 23:59:55;  9,46
31.05.1993 13:00:00;  4,40
07.06.1993 19:15:00;  4,80
12.07.1993 12:15:00;  4,80
19.08.1993 07:00:00;  4,80
28.09.1993 18:45:00;  3,30
18.10.1993 19:30:00;  4,40
05.11.1993 23:00:00;  2,81
01.12.1993 14:00:00;  4,02
24.01.1994 15:45:00;  6,63
08.02.1994 14:00:00;  4,66
04.03.1994 18:15:00;  5,72
12.04.1994 14:30:00;  6,63
01.05.1994 08:15:00;  6,87
29.06.1994 12:45:00;  6,17
24.07.1994 19:30:00;  3,64
01.08.1994 09:00:00;  3,12
09.09.1994 03:15:00;  2,80
07.10.1994 22:30:00;  1,82
09.11.1994 04:00:00;  3,12
18.12.1994 11:00:00;  3,81
23.01.1995 09:00:00;  4,19
27.02.1995 07:30:00;  7,61
16.03.1995 11:00:00;  6,40
30.04.1995 21:00:00;  10,0
29.05.1995 10:30:00;  6,33
06.06.1995 10:00:00;  5,22
31.07.1995 12:00:00;  4,60
23.08.1995 23:45:00;  4,21
29.09.1995 16:00:00;  4,80
30.10.1995 19:45:00;  4,40
01.11.1995 00:00:00;  4,80
12.12.1995 12:15:00;  6,40
31.01.1996 10:15:00;  4,40
08.02.1996 11:15:00;  4,40
05.03.1996 12:15:00;  4,60
05.04.1996 02:15:00;  5,88
08.05.1996 09:30:00;  11,0
11.06.1996 01:45:00;  7,61
19.07.1996 05:00:00;  7,36
30.08.1996 02:00:00;  5,07
01.09.1996 00:00:00;  6,57
19.10.1996 04:45:00;  8,11
30.11.1996 08:45:00;  6,63
28.12.1996 12:30:00;  4,86
24.01.1997 10:14:50;  3,61
11.02.1997 12:23:00;  4,46
10.03.1997 12:04:55;  3,83
23.04.1997 13:47:30;  9,65
20.05.1997 19:09:30;  6,22
16.06.1997 11:01:15;  4,89
02.07.1997 11:20:45;  5,80
31.08.1997 14:33:15;  4,65
16.09.1997 20:36:00;  2,79
20.10.1997 12:13:50;  3,17
29.11.1997 09:36:30;  3,76
04.12.1997 17:22:25;  6,01
05.01.1998 01:14:05;  4,44
01.02.1998 11:59:40;  4,71
04.03.1998 15:54:35;  5,48
30.04.1998 23:59:55;  7,86
31.05.1998 15:06:25;  5,51
10.06.1998 22:18:55;  3,71
02.07.1998 07:26:20;  5,46
13.08.1998 22:14:40;  4,91
03.09.1998 23:34:00;  5,79
28.10.1998 13:30:05;  6,11
04.11.1998 14:14:15;  5,81
12.12.1998 08:39:05;  6,41
31.01.1999 13:09:10;  6,32
01.02.1999 15:33:20;  7,13
22.03.1999 09:06:35;  10,3
19.04.1999 12:31:00;  9,11
31.05.1999 13:10:15;  7,69
16.06.1999 01:16:40;  6,25
07.07.1999 01:29:20;  5,68
24.08.1999 16:31:30;  6,35
30.09.1999 16:32:45;  5,49
22.10.1999 08:28:55;  4,94
24.11.1999 12:14:15;  4,47
06.12.1999 11:44:50;  4,22
02.01.2000 21:00:15;  3,50
24.02.2000 23:10:50;  9,85
06.03.2000 12:19:55;  11,8
30.04.2000 22:55:40;  11,0
26.05.2000 12:23:00;  6,53
30.06.2000 15:17:55;  4,91
22.07.2000 21:16:20;  4,19
30.08.2000 16:40:20;  3,30
27.09.2000 12:18:30;  2,71
27.10.2000 05:06:40;  2,93
06.11.2000 20:33:05;  3,49
04.12.2000 21:37:40;  3,33
21.01.2001 12:56:00;  3,97
02.02.2001 12:06:00;  4,52
01.03.2001 17:01:00;  4,80
06.04.2001 18:09:25;  5,68
31.05.2001 12:31:20;  4,46
10.06.2001 12:03:25;  4,24
06.07.2001 13:48:00;  3,75
18.08.2001 16:03:05;  4,20
04.09.2001 05:20:20;  4,43
23.10.2001 16:09:40;  3,37
20.11.2001 15:45:45;  3,68
26.12.2001 05:45:20;  4,09
15.01.2002 10:18:35;  3,68
19.02.2002 13:09:05;  6,64
14.03.2002 15:14:55;  8,21
22.04.2002 17:43:00;  9,22
10.05.2002 18:11:35;  6,97
27.06.2002 09:22:00;  5,11
06.07.2002 20:25:25;  3,96
01.08.2002 04:45:25;  4,94
19.09.2002 14:20:10;  4,74
28.10.2002 08:56:40;  5,24
30.11.2002 08:29:40;  9,18
20.12.2002 13:35:05;  6,24
20.01.2003 13:36:10;  6,59
27.02.2003 01:55:30;  5,69
01.03.2003 11:34:30;  6,84
27.04.2003 18:15:40;  4,87
10.05.2003 00:06:50;  3,47
06.06.2003 20:47:00;  3,12
23.07.2003 11:08:00;  3,16
18.08.2003 12:08:40;  3,05
11.09.2003 07:14:20;  2,44
30.10.2003 12:52:00;  3,02
10.11.2003 16:12:20;  2,22
09.12.2003 13:10:45;  3,07
09.01.2004 07:39:35;  3,38
01.02.2004 14:00:20;  3,79
10.03.2004 09:57:35;  6,20
10.04.2004 15:22:45;  8,46
11.05.2004 17:06:10;  6,73
17.06.2004 13:05:30;  6,72
19.07.2004 10:26:20;  4,95
25.08.2004 22:47:20;  2,76
09.09.2004 08:06:00;  3,05
05.10.2004 12:05:25;  3,08
09.11.2004 11:56:45;  1,91
17.12.2004 14:19:40;  1,82
01.01.2005 00:00:00;  3,79
07.02.2005 13:05:40;  4,51
14.03.2005 13:06:30;  4,73
11.04.2005 09:05:05;  10,6
27.05.2005 17:20:55;  7,87
23.06.2005 11:48:05;  4,16
06.07.2005 03:49:10;  5,39
03.08.2005 13:30:00;  4,52
11.09.2005 18:00:00;  4,94
11.10.2005 11:00:00;  3,45
21.11.2005 01:30:00;  2,23
06.12.2005 08:10:00;  1,74
30.01.2006 08:50:00; 0,777
08.02.2006 12:15:00; 0,659
09.03.2006 11:45:00;  3,16
14.04.2006 00:25:00;  6,73
09.05.2006 07:25:00;  6,11
21.06.2006 12:10:00;  4,27
30.07.2006 22:50:00;  2,90
14.08.2006 23:10:00;  1,46
11.09.2006 18:40:00; 0,701
18.10.2006 17:35:00; 0,372
21.11.2006 08:55:00; 0,499
25.12.2006 17:30:00;  1,94
19.01.2007 05:45:00;  2,80
23.02.2007 09:25:00;  5,33
19.03.2007 00:05:00;  3,52
23.04.2007 06:50:00;  3,04
04.05.2007 07:00:00;  1,38
14.06.2007 16:30:00;  1,92
14.07.2007 14:10:00;  2,35
01.08.2007 08:00:00;  2,43
03.09.2007 14:45:00;  2,46
15.10.2007 10:00:00;  4,16
03.11.2007 05:45:00;  6,26
29.12.2007 11:50:00;  5,56
23.01.2008 20:25:00;  8,23
22.02.2008 09:00:00;  6,51
30.03.2008 18:30:00;  7,35
29.04.2008 08:05:00;  7,24
15.05.2008 11:30:00;  4,27
25.06.2008 22:05:00;  3,09
10.07.2008 15:10:00;  5,56
07.08.2008 18:30:00;  2,85
05.09.2008 07:20:00;  4,82
22.10.2008 15:00:00;  3,64
06.11.2008 12:40:00;  3,41
19.12.2008 02:40:00;  4,84
20.01.2009 12:55:00;  3,35
15.02.2009 17:30:00;  3,96
08.03.2009 23:00:00;  8,21
28.04.2009 19:55:00;  8,86
19.05.2009 22:30:00;  6,30
19.06.2009 08:10:00;  6,70
31.07.2009 08:00:00;  7,21
28.08.2009 17:55:00;  7,64
28.09.2009 14:50:00;  3,70
07.10.2009 13:30:00;  3,73
06.11.2009 13:30:00;  2,74
16.12.2009 12:55:00;  2,72
15.01.2010 15:30:00;  2,87
16.02.2010 21:35:00;  2,93
10.03.2010 10:55:00;  4,71
07.04.2010 09:55:00;  2,84
09.05.2010 22:45:00;  3,16
30.06.2010 20:15:00;  6,53
22.07.2010 17:40:00;  2,90
25.08.2010 09:00:00;  3,82
24.09.2010 10:45:00;  4,98
03.10.2010 19:45:00;  4,21
30.11.2010 10:30:00;  2,74
11.12.2010 11:30:00;  3,10
04.01.2011 15:40:00;  5,05
01.02.2011 22:45:00;  5,20
27.03.2011 06:35:00;  4,34
10.04.2011 02:30:00;  3,12
27.05.2011 11:40:00;  4,13
02.06.2011 15:10:00;  3,28
05.07.2011 07:30:00;  3,20
18.08.2011 18:15:00;  2,19
21.09.2011 14:05:00;  2,40
04.10.2011 15:15:00;  2,37
28.11.2011 22:10:00;  1,79
07.12.2011 11:30:00;  1,83
01.01.2012 11:00:00;  3,89
15.02.2012 21:15:00;  2,02
31.03.2012 13:50:00;  3,98
01.04.2012 19:20:00;  3,34
15.05.2012 23:00:00;  4,58
28.06.2012 11:45:00;  3,23
05.07.2012 19:20:00;  3,10
20.08.2012 21:20:00;  1,75
27.09.2012 05:25:00;  3,40
29.10.2012 10:30:00;  2,56
20.11.2012 21:25:00;  2,49
12.12.2012 15:25:00;  2,02
02.01.2013 18:30:00;  5,34
25.02.2013 08:00:00;  5,65
31.03.2013 10:25:00;  4,96
25.04.2013 09:10:00;  3,89
11.05.2013 13:25:00;  4,16
21.06.2013 12:30:00;  6,29
28.07.2013 19:30:00;  3,85
30.08.2013 08:35:00;  2,58
10.09.2013 17:15:00;  3,59
07.10.2013 14:30:00;  3,26
22.11.2013 08:30:00;  3,97
12.12.2013 11:55:00;  3,92
08.01.2014 14:35:00;  4,28
12.02.2014 13:40:00;  4,04
22.03.2014 09:25:00;  3,10
01.04.2014 09:35:00;  3,59
01.05.2014 10:05:00;  3,72
27.06.2014 10:05:00;  4,48
21.07.2014 17:45:00;  4,58
25.08.2014 16:30:00;  3,00
05.09.2014 22:15:00;  3,91
31.10.2014 14:40:00;  4,70
22.11.2014 19:25:00;  4,99
12.12.2014 11:45:00;  5,41
03.01.2015 11:05:00;  2,80
23.02.2015 13:40:00;  4,51
23.03.2015 06:00:00;  5,57
27.04.2015 08:20:00;  6,32
21.05.2015 14:25:00;  3,40
09.06.2015 17:30:00;  3,51
06.07.2015 09:30:00;  3,01
11.08.2015 10:10:00;  2,91
07.09.2015 13:55:00;  2,65
29.10.2015 12:05:00;  1,10
10.11.2015 16:20:00;  2,97
31.12.2015 09:50:00;  3,23
22.01.2016 08:55:00;  3,60
18.02.2016 23:35:00;  3,46
11.03.2016 10:49:55;  4,07
03.04.2016 05:40:00;  1,14
28.05.2016 00:05:00;  2,60
18.06.2016 09:25:00; 0,890
08.07.2016 18:10:00;  3,88
02.08.2016 15:15:00;  1,80
22.09.2016 10:50:00;  3,45
02.10.2016 02:30:00;  4,59
27.11.2016 14:25:00;  3,96
21.12.2016 03:55:00;  3,51
29.01.2017 12:25:00;  2,51
15.02.2017 10:40:00;  2,69
17.03.2017 13:10:00;  5,06
21.04.2017 08:00:00;  2,20
11.05.2017 12:50:00;  4,50
14.06.2017 09:25:00;  4,49
31.07.2017 23:30:00;  1,88
01.08.2017 00:05:00;  1,74
17.09.2017 00:25:00;  3,68
11.10.2017 11:05:00;  2,43
30.11.2017 19:35:00;  3,64
12.12.2017 08:35:00;  5,95
17.01.2018 12:55:00;  4,39
20.02.2018 15:55:00;  2,35
05.03.2018 10:45:00;  3,31
30.04.2018 00:25:00;  2,10
22.05.2018 17:15:00;  3,14
25.06.2018 22:15:00;  1,37
02.07.2018 13:55:00;  1,99
30.08.2018 09:55:00;  2,53
24.09.2018 00:05:00;  2,80
29.10.2018 22:00:00;  1,48
14.11.2018 17:00:00;  2,54
07.12.2018 10:50:00;  2,58
30.01.2019 08:55:00;  2,78
09.02.2019 17:05:00;  2,49
24.03.2019 05:20:00;  4,13
03.04.2019 17:35:00;  1,71
21.05.2019 15:50:00;  1,29
17.06.2019 09:50:00;  5,36
16.07.2019 13:55:00;  3,03
12.08.2019 09:00:00;  2,49
24.09.2019 13:40:00;  2,02
17.10.2019 14:00:00;  1,24
24.11.2019 14:50:00;  2,50
27.12.2019 01:05:00; 0,943
02.01.2020 13:50:00; 0,605
09.02.2020 14:15:00;  2,52
25.03.2020 15:35:00;  4,77
27.04.2020 08:10:00;  3,27
25.05.2020 10:10:00;  2,51
17.06.2020 06:55:00;  3,10
15.07.2020 08:30:00;  3,30
22.08.2020 16:05:00;  2,92
28.09.2020 05:50:00;  1,53
13.10.2020 13:44:55;  3,31
26.11.2020 16:45:00;  4,08
28.12.2020 19:30:00;  2,11
15.01.2021 07:35:00;  1,19
01.02.2021 08:10:00;  6,59
15.03.2021 08:35:00;  4,35
09.04.2021 17:00:00;  4,47
