Messstelle:                ;Weißbach
27.06.1964 12:00:00;  11,7
26.07.1964 12:00:00;  8,20
01.08.1964 12:00:00;  8,76
06.09.1964 12:00:00;  9,88
07.10.1964 12:00:00;  10,4
14.11.1964 12:00:00;  14,3
31.12.1964 12:00:00;  8,12
30.01.1965 12:00:00;  5,36
26.02.1965 12:00:00;  4,48
11.03.1965 12:00:00;  4,74
30.04.1965 12:00:00;  20,1
01.05.1965 12:00:00;  20,1
30.06.1965 12:00:00;  50,7
23.07.1965 12:00:00;  25,8
24.08.1965 12:00:00;  15,1
26.09.1965 12:00:00;  11,0
26.10.1965 12:00:00;  6,70
17.11.1965 12:00:00;  5,58
10.12.1965 12:00:00;  5,58
20.01.1966 12:00:00;  4,42
01.02.1966 12:00:00;  6,70
22.03.1966 12:00:00;  10,5
01.04.1966 12:00:00;  12,4
12.05.1966 12:00:00;  28,5
23.06.1966 12:00:00;  27,0
13.07.1966 12:00:00;  25,4
15.08.1966 12:00:00;  17,1
28.09.1966 12:00:00;  9,96
31.10.1966 12:00:00;  6,30
26.11.1966 12:00:00;  5,02
16.12.1966 12:00:00;  4,70
11.01.1967 12:00:00;  3,74
15.02.1967 12:00:00;  4,70
22.03.1967 12:00:00;  12,4
03.04.1967 12:00:00;  14,1
27.05.1967 12:00:00;  35,9
30.06.1967 12:00:00;  32,5
31.07.1967 12:00:00;  17,1
31.08.1967 12:00:00;  9,96
30.09.1967 12:00:00;  8,20
31.10.1967 12:00:00;  5,02
27.11.1967 12:00:00;  4,22
13.12.1967 12:00:00;  2,90
14.01.1968 12:00:00;  3,30
20.02.1968 12:00:00;  4,46
17.03.1968 12:00:00;  5,02
13.04.1968 12:00:00;  20,4
24.05.1968 12:00:00;  20,4
30.06.1968 12:00:00;  15,2
09.07.1968 12:00:00;  10,9
30.08.1968 12:00:00;  15,8
04.09.1968 12:00:00;  14,1
31.10.1968 12:00:00;  9,96
24.11.1968 12:00:00;  5,98
13.12.1968 12:00:00;  2,70
03.01.1969 12:00:00;  2,50
14.02.1969 12:00:00;  3,50
01.03.1969 12:00:00;  5,02
01.04.1969 12:00:00;  7,06
31.05.1969 12:00:00;  14,6
25.06.1969 12:00:00;  12,9
29.07.1969 12:00:00;  11,4
13.08.1969 12:00:00;  9,08
30.09.1969 12:00:00;  8,12
31.10.1969 12:00:00;  5,00
12.11.1969 12:00:00;  4,22
31.12.1969 12:00:00;  2,86
08.01.1970 12:00:00;  2,86
02.02.1970 12:00:00;  3,07
17.03.1970 12:00:00;  3,96
06.04.1970 12:00:00;  8,56
03.05.1970 12:00:00;  25,1
28.06.1970 12:00:00;  40,2
12.07.1970 12:00:00;  25,8
31.08.1970 12:00:00;  18,1
28.09.1970 12:00:00;  12,1
19.10.1970 12:00:00;  12,1
17.11.1970 12:00:00;  11,5
27.12.1970 12:00:00;  5,00
30.01.1971 12:00:00;  3,70
06.02.1971 12:00:00;  3,28
08.03.1971 12:00:00;  3,07
01.04.1971 12:00:00;  10,0
30.05.1971 12:00:00;  10,0
03.06.1971 12:00:00;  11,5
31.07.1971 12:00:00;  7,44
21.08.1971 12:00:00;  5,02
24.09.1971 12:00:00;  5,98
31.10.1971 12:00:00;  4,70
21.11.1971 12:00:00;  4,22
19.12.1971 12:00:00;  3,98
31.01.1972 12:00:00;  3,30
04.02.1972 12:00:00;  3,10
05.03.1972 12:00:00;  5,02
01.04.1972 12:00:00;  7,44
01.05.1972 12:00:00;  12,9
30.06.1972 12:00:00;  11,7
25.07.1972 12:00:00;  9,88
16.08.1972 12:00:00;  8,20
30.09.1972 12:00:00;  5,66
19.10.1972 12:00:00;  4,70
11.11.1972 12:00:00;  9,52
31.12.1972 12:00:00;  4,22
26.01.1973 12:00:00;  2,70
20.02.1973 12:00:00;  2,34
01.03.1973 12:00:00;  2,50
22.04.1973 12:00:00;  9,08
29.05.1973 12:00:00;  32,5
17.06.1973 12:00:00;  18,4
20.07.1973 12:00:00;  9,50
22.08.1973 12:00:00;  6,08
10.09.1973 12:00:00;  5,00
16.10.1973 12:00:00;  6,08
13.11.1973 12:00:00;  6,80
31.12.1973 12:00:00;  6,44
14.01.1974 12:00:00;  5,72
28.02.1974 12:00:00;  6,44
01.03.1974 12:00:00;  6,44
27.04.1974 12:00:00;  16,2
09.05.1974 12:00:00;  24,4
10.06.1974 12:00:00;  23,6
16.07.1974 12:00:00;  24,4
25.08.1974 12:00:00;  13,9
20.09.1974 12:00:00;  8,90
19.10.1974 12:00:00;  11,7
09.11.1974 12:00:00;  9,78
23.12.1974 12:00:00;  11,2
25.01.1975 12:00:00;  11,9
24.02.1975 12:00:00;  8,20
01.03.1975 12:00:00;  9,08
02.04.1975 12:00:00;  11,4
05.05.1975 12:00:00;  44,8
08.06.1975 12:00:00;  23,4
30.07.1975 12:00:00;  20,5
15.08.1975 12:00:00;  9,88
30.09.1975 12:00:00;  7,82
28.10.1975 12:00:00;  5,34
14.11.1975 12:00:00;  4,46
21.12.1975 12:00:00;  3,50
01.01.1976 15:00:00;  2,98
16.02.1976 09:00:00;  4,06
11.03.1976 08:30:00;  4,34
13.04.1976 15:30:00;  13,0
01.05.1976 17:30:00;  13,3
30.06.1976 19:00:00;  9,60
17.07.1976 16:30:00;  4,89
31.08.1976 10:00:00;  10,3
29.09.1976 13:00:00;  10,0
28.10.1976 11:30:00;  5,12
14.11.1976 21:00:00;  4,97
31.12.1976 10:00:00;  3,70
01.01.1977 11:30:00;  3,63
03.02.1977 23:00:00;  3,91
02.03.1977 08:00:00;  8,50
13.04.1977 09:00:00;  14,8
31.05.1977 23:59:55;  22,4
25.06.1977 14:30:00;  14,1
13.07.1977 11:30:00;  8,94
31.08.1977 23:59:55;  11,5
29.09.1977 07:30:00;  7,71
24.10.1977 00:30:00;  4,79
13.11.1977 09:30:00;  4,68
21.12.1977 08:00:00;  4,24
08.01.1978 10:00:00;  4,70
16.02.1978 09:00:00;  3,97
27.03.1978 08:00:00;  9,45
18.04.1978 08:00:00;  15,0
16.05.1978 17:00:00;  23,9
22.06.1978 22:00:00;  16,2
30.07.1978 12:00:00;  15,1
27.08.1978 22:30:00;  6,24
01.09.1978 19:30:00;  9,44
22.10.1978 05:00:00;  8,60
30.11.1978 09:00:00;  4,73
08.12.1978 10:00:00;  3,14
19.01.1979 08:30:00;  2,57
28.02.1979 09:30:00;  3,26
01.03.1979 09:30:00;  3,56
08.04.1979 15:30:00;  8,22
04.05.1979 10:30:00;  15,4
10.06.1979 13:30:00;  18,9
07.07.1979 00:30:00;  14,9
24.08.1979 09:30:00;  13,7
21.09.1979 05:00:00;  7,27
30.10.1979 11:30:00;  5,64
01.11.1979 12:30:00;  5,51
31.12.1979 02:00:00;  9,54
31.01.1980 01:30:00;  4,97
01.02.1980 02:30:00;  5,00
05.03.1980 09:00:00;  6,51
12.04.1980 15:00:00;  12,1
01.05.1980 15:00:00;  29,6
22.06.1980 05:30:00;  31,8
31.07.1980 23:59:55;  24,0
28.08.1980 23:00:00;  8,50
21.09.1980 00:09:55;  6,19
06.10.1980 12:30:00;  6,35
30.11.1980 23:59:55;  8,49
09.12.1980 06:30:00;  5,85
31.01.1981 09:30:00;  5,09
28.02.1981 11:00:00;  4,97
02.03.1981 08:00:00;  5,00
30.04.1981 18:30:00;  12,7
03.05.1981 22:30:00;  12,8
18.06.1981 22:00:00;  10,3
11.07.1981 15:00:00;  5,56
16.08.1981 21:30:00;  7,30
23.09.1981 13:30:00;  10,4
10.10.1981 09:00:00;  10,6
17.11.1981 12:00:00;  10,3
28.12.1981 09:00:00;  4,98
26.01.1982 09:00:00;  5,43
27.02.1982 08:30:00;  6,20
01.03.1982 06:30:00;  6,46
26.04.1982 08:30:00;  18,6
02.05.1982 15:00:00;  16,8
26.06.1982 11:30:00;  28,1
21.07.1982 22:00:00;  14,4
27.08.1982 19:30:00;  10,3
21.09.1982 11:00:00;  5,81
31.10.1982 18:00:00;  5,47
13.11.1982 14:30:00;  4,45
05.12.1982 18:30:00;  4,27
01.01.1983 09:30:00;  4,45
24.02.1983 08:00:00;  4,93
06.03.1983 10:00:00;  6,33
06.04.1983 07:30:00;  13,2
29.05.1983 19:30:00;  17,9
13.06.1983 14:00:00;  18,6
28.07.1983 18:00:00;  6,86
01.08.1983 19:00:00;  6,17
30.09.1983 17:00:00;  7,83
08.10.1983 20:30:00;  6,60
26.11.1983 04:30:00;  4,22
15.12.1983 22:30:00;  4,93
27.01.1984 09:00:00;  5,13
19.02.1984 12:00:00;  4,32
10.03.1984 09:30:00;  5,40
07.04.1984 09:00:00;  11,6
01.05.1984 15:30:00;  19,6
17.06.1984 17:00:00;  22,9
23.07.1984 07:00:00;  12,5
25.08.1984 02:00:00;  12,3
02.09.1984 19:00:00;  12,3
31.10.1984 23:59:55;  9,52
19.11.1984 09:00:00;  6,28
25.12.1984 13:30:00;  2,88
05.01.1985 12:00:00;  3,01
21.02.1985 08:15:00;  3,33
20.03.1985 09:00:00;  4,32
01.04.1985 12:45:00;  12,8
01.05.1985 00:00:00;  15,1
06.06.1985 12:00:00;  16,8
27.07.1985 19:00:00;  7,27
25.08.1985 17:45:00;  10,6
29.09.1985 20:00:00;  9,43
31.10.1985 10:00:00;  6,23
18.11.1985 09:00:00;  6,00
14.12.1985 20:00:00;  6,33
05.01.1986 23:00:00;  4,79
27.02.1986 10:45:00;  3,71
01.03.1986 13:15:00;  4,71
15.04.1986 09:15:00;  18,5
27.05.1986 05:45:00;  27,8
30.06.1986 23:15:00;  13,6
23.07.1986 00:00:00;  8,19
08.08.1986 11:15:00;  7,14
30.09.1986 23:59:55;  6,71
19.10.1986 23:45:00;  4,58
30.11.1986 23:59:55;  4,38
26.12.1986 08:30:00;  3,10
13.01.1987 09:15:00;  3,19
01.02.1987 07:30:00;  3,39
22.03.1987 09:15:00;  4,98
03.04.1987 08:15:00;  9,45
24.05.1987 14:00:00;  35,7
23.06.1987 06:45:00;  37,8
19.07.1987 13:00:00;  23,1
31.08.1987 23:59:55;  13,5
22.09.1987 23:00:00;  6,76
30.10.1987 11:15:00;  5,99
01.11.1987 09:15:00;  5,64
14.12.1987 08:45:00;  5,31
24.01.1988 05:15:00;  7,79
14.02.1988 01:45:00;  6,36
06.03.1988 02:15:00;  5,38
02.04.1988 15:45:00;  13,6
29.05.1988 14:45:00;  27,5
26.06.1988 00:00:00;  14,9
29.07.1988 07:30:00;  11,2
20.08.1988 00:15:00;  7,97
29.09.1988 22:45:00;  10,9
20.10.1988 18:15:00;  5,24
09.11.1988 10:30:00;  4,88
17.12.1988 09:15:00;  8,74
25.01.1989 05:00:00;  7,29
18.02.1989 10:15:00;  6,85
03.03.1989 18:00:00;  11,5
30.04.1989 23:59:55;  13,6
01.05.1989 07:45:00;  13,0
10.06.1989 21:00:00;  14,3
30.07.1989 18:30:00;  13,0
27.08.1989 16:00:00;  11,2
24.09.1989 02:00:00;  7,97
28.10.1989 10:00:00;  8,24
30.11.1989 12:45:00;  3,90
11.12.1989 08:15:00;  3,32
14.01.1990 10:30:00;  2,56
01.02.1990 19:45:00;  3,60
06.03.1990 00:00:00;  10,1
22.04.1990 18:30:00;  11,2
31.05.1990 02:15:00;  13,6
01.06.1990 12:15:00;  11,2
29.07.1990 17:30:00;  9,26
12.08.1990 21:00:00;  5,24
01.09.1990 18:15:00;  4,88
25.10.1990 01:15:00;  6,30
10.11.1990 12:15:00;  7,65
29.12.1990 05:30:00;  5,50
31.01.1991 09:15:00;  3,19
25.02.1991 08:45:00;  2,65
01.03.1991 11:00:00;  4,08
25.04.1991 09:45:00;  6,01
01.05.1991 00:00:00;  8,24
06.06.1991 08:15:00;  25,9
14.07.1991 08:30:00;  12,8
31.08.1991 23:59:55;  9,89
15.09.1991 06:30:00;  6,45
14.10.1991 10:15:00;  4,77
01.11.1991 00:00:00;  4,77
12.12.1991 08:30:00;  3,43
29.01.1992 07:45:00;  5,59
02.02.1992 11:45:00;  5,59
30.03.1992 06:30:00;  9,16
03.04.1992 12:45:00;  12,5
31.05.1992 09:45:00;  28,2
30.06.1992 03:00:00;  9,16
29.07.1992 02:00:00;  7,90
31.08.1992 17:45:00;  5,40
01.09.1992 00:00:00;  5,40
15.10.1992 22:30:00;  5,74
15.11.1992 04:15:00;  9,82
29.12.1992 06:15:00;  5,31
03.01.1993 08:45:00;  4,70
27.02.1993 07:15:00;  5,64
09.03.1993 09:45:00;  4,70
01.04.1993 00:00:00;  12,6
30.05.1993 17:45:00;  14,9
15.06.1993 06:00:00;  9,43
11.07.1993 04:15:00;  11,3
23.08.1993 02:00:00;  8,28
29.09.1993 07:45:00;  12,0
18.10.1993 17:45:00;  7,72
28.11.1993 18:15:00;  5,91
13.12.1993 12:00:00;  5,59
22.01.1994 09:00:00;  4,43
22.02.1994 23:15:00;  3,24
01.03.1994 16:45:00;  7,57
12.04.1994 06:45:00;  12,1
12.05.1994 11:15:00;  30,9
30.06.1994 20:15:00;  18,6
31.07.1994 16:45:00;  6,24
06.08.1994 20:45:00;  5,28
30.09.1994 07:30:00;  5,68
19.10.1994 23:45:00;  4,81
08.11.1994 22:15:00;  5,09
09.12.1994 00:45:00;  6,33
16.01.1995 08:30:00;  4,43
01.02.1995 07:15:00;  4,70
11.03.1995 08:30:00;  5,91
01.04.1995 00:00:00;  10,4
23.05.1995 05:45:00;  26,3
18.06.1995 12:00:00;  24,0
27.07.1995 02:00:00;  13,0
12.08.1995 20:00:00;  9,64
28.09.1995 01:45:00;  14,8
30.10.1995 05:00:00;  6,33
01.11.1995 19:45:00;  6,33
15.12.1995 05:45:00;  6,28
22.01.1996 09:15:00;  4,31
24.02.1996 05:30:00;  3,41
05.03.1996 08:30:00;  3,21
05.04.1996 07:15:00;  6,67
25.05.1996 13:45:00;  15,6
18.06.1996 21:30:00;  9,45
27.07.1996 16:15:00;  9,45
21.08.1996 18:15:00;  6,96
04.09.1996 15:30:00;  9,92
14.10.1996 20:30:00;  15,4
29.11.1996 07:30:00;  9,64
28.12.1996 07:15:00;  3,84
13.01.1997 09:17:30;  3,75
03.02.1997 11:29:25;  3,75
31.03.1997 23:43:30;  10,0
01.04.1997 04:32:10;  9,81
31.05.1997 15:01:10;  13,4
01.06.1997 14:56:30;  13,0
05.07.1997 06:15:25;  11,4
28.08.1997 20:48:10;  8,61
28.09.1997 02:38:00;  5,43
01.10.1997 04:39:15;  5,84
30.11.1997 01:19:00;  5,01
07.12.1997 09:40:40;  3,92
28.01.1998 04:50:45;  5,32
03.02.1998 14:03:30;  3,95
26.03.1998 05:25:25;  6,25
20.04.1998 18:36:00;  11,8
26.05.1998 01:55:10;  14,2
26.06.1998 16:44:50;  12,3
02.07.1998 05:18:30;  17,4
18.08.1998 00:31:35;  9,69
02.09.1998 23:22:30;  8,87
11.10.1998 22:11:30;  12,0
29.11.1998 20:48:40;  9,66
10.12.1998 13:17:35;  7,54
30.01.1999 13:06:45;  4,40
01.02.1999 09:43:45;  3,68
01.03.1999 00:00:00;  8,10
21.04.1999 06:23:00;  21,7
17.05.1999 05:53:15;  39,1
13.06.1999 15:07:10;  19,1
31.07.1999 23:59:55;  13,8
09.08.1999 16:32:25;  8,02
24.09.1999 01:19:50;  8,05
31.10.1999 19:26:05;  6,48
27.11.1999 10:05:15;  5,12
23.12.1999 11:57:10;  4,05
09.01.2000 09:15:00;  4,82
22.02.2000 06:00:00;  8,02
04.03.2000 00:45:00;  10,5
02.04.2000 11:45:00;  19,9
30.05.2000 23:00:00;  24,8
29.06.2000 04:00:00;  12,7
23.07.2000 17:45:00;  11,0
27.08.2000 09:45:00;  8,76
20.09.2000 21:30:00;  9,64
30.10.2000 23:30:00;  8,02
28.11.2000 08:15:00;  8,02
22.12.2000 13:00:00;  5,26
17.01.2001 06:10:35;  4,64
04.02.2001 00:05:05;  4,55
03.03.2001 15:36:10;  5,47
23.04.2001 06:22:55;  13,9
27.05.2001 08:29:50;  19,2
10.06.2001 13:17:40;  13,8
15.07.2001 10:41:25;  9,05
27.08.2001 22:44:30;  5,24
04.09.2001 05:39:55;  15,8
31.10.2001 12:41:50;  7,21
22.11.2001 16:46:50;  4,68
24.12.2001 20:00:00;  5,26
19.01.2002 07:15:00;  4,07
25.02.2002 12:15:00;  9,15
04.03.2002 09:45:00;  11,8
18.04.2002 14:15:00;  13,5
31.05.2002 15:45:00;  19,0
27.06.2002 19:15:00;  11,3
12.07.2002 15:00:00;  10,0
31.08.2002 16:30:00;  11,6
15.09.2002 01:45:00;  9,12
31.10.2002 05:00:00;  13,5
01.11.2002 23:15:00;  14,0
20.12.2002 10:45:00;  7,32
22.01.2003 20:15:00;  6,99
18.02.2003 08:45:00;  4,68
01.03.2003 06:45:00;  6,99
11.04.2003 11:00:00;  9,91
19.05.2003 06:30:00;  15,6
30.06.2003 23:59:55;  9,33
16.07.2003 19:15:00;  7,66
28.08.2003 11:30:00;  5,48
08.09.2003 06:00:00;  6,67
02.10.2003 14:15:00;  8,37
30.11.2003 12:30:00;  7,68
24.12.2003 08:30:00;  4,78
04.01.2004 13:00:00;  4,78
01.02.2004 09:45:00;  5,76
10.03.2004 11:15:00;  6,05
15.04.2004 10:00:00;  16,1
11.05.2004 11:15:00;  18,4
19.06.2004 06:45:00;  21,0
31.07.2004 20:30:00;  14,5
10.08.2004 17:45:00;  9,12
22.09.2004 10:15:00;  9,51
30.10.2004 18:30:00;  9,12
21.11.2004 10:45:00;  8,74
31.12.2004 07:45:00;  5,06
20.01.2005 10:00:00;  5,76
10.02.2005 09:30:00;  5,48
10.03.2005 07:45:00;  3,89
12.04.2005 09:15:00;  25,3
26.05.2005 11:35:10;  24,0
25.06.2005 16:00:00;  9,73
01.07.2005 06:30:00;  9,73
01.08.2005 22:30:00;  10,3
16.09.2005 14:44:15;  10,5
31.10.2005 16:00:00;  6,99
25.11.2005 11:45:00;  5,20
30.12.2005 07:30:00;  4,19
14.01.2006 11:55:30;  4,22
28.02.2006 10:45:00;  4,68
01.03.2006 00:00:00;  4,91
08.04.2006 11:30:00;  16,1
26.05.2006 03:45:00;  24,3
27.06.2006 16:45:00;  20,7
28.07.2006 02:00:00;  5,80
01.08.2006 10:00:00;  9,97
30.09.2006 18:15:00;  7,32
28.10.2006 23:00:00;  5,20
01.11.2006 01:45:00;  6,99
31.12.2006 23:59:55;  5,83
05.01.2007 02:45:00;  5,76
08.02.2007 17:00:00;  8,01
25.03.2007 11:15:00;  11,6
06.04.2007 12:00:00;  12,5
05.05.2007 17:00:00;  14,5
20.06.2007 08:45:00;  12,1
31.07.2007 18:15:00;  8,01
28.08.2007 00:30:00;  5,76
30.09.2007 23:59:55;  14,9
18.10.2007 02:45:00;  7,32
02.11.2007 15:30:00;  9,91
28.12.2007 12:15:00;  7,32
03.01.2008 02:00:00;  6,05
17.02.2008 08:30:00;  6,67
26.03.2008 17:15:00;  12,1
08.04.2008 05:30:00;  14,5
03.05.2008 11:30:00;  40,3
29.06.2008 12:45:00;  16,1
11.07.2008 10:45:00;  12,1
31.08.2008 23:59:55;  10,2
25.09.2008 02:30:00;  6,99
27.10.2008 15:00:00;  6,67
19.11.2008 08:15:00;  5,48
11.12.2008 08:45:00;  5,76
12.01.2009 02:00:00;  3,96
19.02.2009 09:45:00;  2,23
01.03.2009 06:00:00;  6,05
01.04.2009 07:00:00;  16,7
28.05.2009 20:15:00;  22,9
05.06.2009 06:00:00;  16,1
31.07.2009 23:59:55;  11,1
26.08.2009 08:15:00;  6,35
01.09.2009 22:30:00;  9,51
07.10.2009 21:30:00;  7,66
30.11.2009 09:00:00;  8,37
20.12.2009 06:00:00;  5,20
25.01.2010 11:15:00;  4,94
16.02.2010 04:30:00;  4,19
14.03.2010 12:00:00;  5,76
16.04.2010 04:00:00;  13,5
12.05.2010 19:30:00;  15,6
30.06.2010 16:15:00;  12,5
15.07.2010 20:30:00;  9,91
22.08.2010 15:45:00;  15,6
24.09.2010 15:00:00;  12,5
16.10.2010 09:00:00;  8,01
30.11.2010 12:00:00;  6,35
05.12.2010 06:15:00;  5,76
04.01.2011 09:45:00;  5,96
26.02.2011 09:45:00;  6,05
03.03.2011 10:00:00;  5,20
29.04.2011 16:00:00;  12,1
05.05.2011 12:30:00;  9,12
07.06.2011 09:00:00;  11,2
17.07.2011 19:30:00;  7,66
31.08.2011 20:15:00;  7,66
16.09.2011 07:15:00;  6,67
03.10.2011 20:30:00;  7,32
25.11.2011 18:45:00;  4,43
20.12.2011 08:45:00;  4,43
17.01.2012 11:15:00;  4,99
17.02.2012 00:30:00;  4,24
12.03.2012 01:15:00;  10,3
25.04.2012 12:30:00;  17,2
18.05.2012 12:45:00;  21,6
29.06.2012 12:15:00;  22,2
08.07.2012 17:15:00;  12,1
22.08.2012 16:30:00;  8,01
30.09.2012 19:15:00;  7,66
06.10.2012 19:15:00;  6,99
26.11.2012 05:15:00;  8,01
09.12.2012 11:15:00;  5,76
29.01.2013 09:15:00;  6,99
26.02.2013 08:00:00;  6,05
01.03.2013 10:00:00;  6,67
08.04.2013 12:30:00;  11,2
26.05.2013 19:30:00;  16,1
23.06.2013 05:45:00;  15,0
29.07.2013 01:00:00;  8,74
12.08.2013 15:15:00;  6,67
08.09.2013 22:45:00;  8,74
28.10.2013 23:45:00;  12,1
28.11.2013 07:30:00;  9,91
23.12.2013 08:45:00;  7,66
29.01.2014 12:30:00;  6,35
28.02.2014 12:15:00;  7,32
03.03.2014 15:15:00;  6,99
01.04.2014 17:30:00;  13,0
07.05.2014 12:45:00;  17,8
29.06.2014 09:15:00;  9,91
30.07.2014 00:00:00;  9,51
09.08.2014 16:15:00;  14,0
30.09.2014 20:45:00;  9,91
20.10.2014 09:45:00;  7,32
30.11.2014 23:59:55;  8,89
29.12.2014 12:45:00;  5,20
02.01.2015 16:30:00;  6,05
26.02.2015 14:00:00;  6,67
07.03.2015 14:45:00;  6,35
08.04.2015 13:00:00;  14,0
18.05.2015 11:30:00;  20,3
18.06.2015 12:45:00;  10,7
22.07.2015 12:30:00;  8,37
31.08.2015 23:45:00;  6,67
01.09.2015 00:00:00;  6,67
30.10.2015 09:45:00;  6,67
27.11.2015 15:45:00;  3,96
31.12.2015 09:00:00;  3,73
06.01.2016 17:30:00;  3,73
20.02.2016 10:45:00;  9,12
17.03.2016 10:00:00;  9,12
29.04.2016 15:00:00;  12,5
01.05.2016 09:45:00;  13,5
26.06.2016 11:30:00;  19,0
11.07.2016 16:15:00;  9,12
28.08.2016 20:00:00;  8,37
30.09.2016 23:59:55;  6,63
13.10.2016 07:15:00;  5,76
05.11.2016 16:30:00;  5,20
17.12.2016 13:15:00;  3,52
27.01.2017 16:54:30;  2,98
12.02.2017 18:57:55;  3,63
04.03.2017 13:45:00;  8,74
21.04.2017 12:00:00;  11,6
28.05.2017 13:15:00;  18,4
20.06.2017 14:30:00;  7,66
07.07.2017 22:15:00;  8,74
19.08.2017 01:15:00;  9,51
01.09.2017 03:00:00;  11,2
20.10.2017 17:45:00;  8,01
30.11.2017 23:59:55;  11,7
10.12.2017 07:15:00;  7,66
21.01.2018 23:30:00;  9,51
28.02.2018 10:00:00;  4,68
01.03.2018 07:45:00;  5,20
02.04.2018 11:30:00;  20,9
31.05.2018 15:00:00;  13,5
21.06.2018 12:45:00;  6,67
31.07.2018 23:59:55;  4,90
22.08.2018 13:27:00;  3,30
21.09.2018 20:45:00;  8,31
22.10.2018 11:45:00;  4,43
29.11.2018 15:00:00;  4,40
02.12.2018 22:00:00;  4,43
31.01.2019 22:45:00;  3,31
01.02.2019 04:00:00;  3,52
14.03.2019 09:30:00;  14,0
15.04.2019 15:15:00;  25,0
16.05.2019 07:45:00;  28,0
30.06.2019 11:45:00;  8,74
27.07.2019 13:30:00;  2,92
20.08.2019 17:45:00;  8,01
22.09.2019 07:30:00;  6,99
28.10.2019 09:00:00;  6,67
04.11.2019 01:15:00;  8,03
16.12.2019 09:30:00;  6,35
21.01.2020 06:00:00;  5,76
22.02.2020 17:15:00;  8,01
10.03.2020 16:15:00;  9,91
02.04.2020 14:45:00;  8,74
31.05.2020 21:15:00;  10,7
01.06.2020 09:45:00;  10,3
31.07.2020 04:45:00;  12,1
22.08.2020 06:00:00;  7,32
20.09.2020 15:30:00;  5,76
06.10.2020 20:15:00;  10,7
30.11.2020 07:00:00;  4,43
03.12.2020 11:30:00;  3,96
11.01.2021 08:45:00;  5,20
15.02.2021 06:15:00;  6,05
23.03.2021 13:30:00;  7,66
19.04.2021 18:00:00;  8,37
06.05.2021 21:00:00;  14,0
30.06.2021 14:00:00;  9,51
04.07.2021 18:15:00;  8,01
15.08.2021 00:15:00;  11,6
09.09.2021 03:30:00;  7,89
31.10.2021 08:45:00;  6,35
30.11.2021 08:00:00;  6,05
