Messstelle:                ;Innsbruck-Reichenau
01.05.1965 12:00:00;  10,2
01.06.1965 12:00:00;  33,6
12.07.1965 12:00:00;  58,2
31.08.1965 12:00:00;  36,2
26.09.1965 12:00:00;  30,4
31.10.1965 12:00:00;  16,1
14.11.1965 12:00:00;  10,9
31.12.1965 12:00:00;  10,1
29.01.1966 12:00:00;  8,20
18.02.1966 12:00:00;  7,53
20.03.1966 12:00:00;  6,00
04.04.1966 12:00:00;  8,55
01.05.1966 12:00:00;  26,1
02.06.1966 12:00:00;  35,0
03.07.1966 12:00:00;  39,9
30.08.1966 12:00:00;  42,3
29.09.1966 12:00:00;  21,0
18.10.1966 12:00:00;  12,1
27.11.1966 12:00:00;  10,2
27.12.1966 12:00:00;  10,2
31.01.1967 12:00:00;  7,63
13.02.1967 12:00:00;  7,09
05.03.1967 12:00:00;  6,11
16.04.1967 12:00:00;  9,30
05.05.1967 12:00:00;  14,4
16.06.1967 12:00:00;  30,7
29.07.1967 12:00:00;  35,0
16.08.1967 12:00:00;  25,5
24.09.1967 12:00:00;  6,33
22.10.1967 12:00:00;  8,54
19.11.1967 12:00:00;  6,11
16.12.1967 12:00:00;  8,86
13.01.1968 12:00:00;  7,36
03.02.1968 12:00:00;  7,10
05.03.1968 12:00:00;  7,38
04.04.1968 12:00:00;  14,4
03.05.1968 12:00:00;  24,8
19.06.1968 12:00:00;  34,8
23.07.1968 12:00:00;  23,3
21.08.1968 12:00:00;  20,4
15.09.1968 12:00:00;  12,1
20.10.1968 12:00:00;  7,96
30.11.1968 12:00:00;  8,24
30.12.1968 12:00:00;  7,96
20.01.1969 12:00:00;  6,92
24.02.1969 12:00:00;  5,80
24.03.1969 12:00:00;  5,80
21.04.1969 12:00:00;  6,20
09.05.1969 12:00:00;  17,6
03.06.1969 12:00:00;  25,9
12.07.1969 12:00:00;  22,2
20.08.1969 12:00:00;  22,2
13.09.1969 12:00:00;  11,1
27.10.1969 12:00:00;  8,72
22.11.1969 12:00:00;  7,28
24.12.1969 12:00:00;  7,28
08.01.1970 12:00:00;  6,20
09.02.1970 12:00:00;  5,60
02.03.1970 12:00:00;  5,40
06.04.1970 12:00:00;  5,40
04.05.1970 12:00:00;  12,1
01.06.1970 12:00:00;  32,6
18.07.1970 12:00:00;  35,9
27.08.1970 12:00:00;  42,3
30.09.1970 12:00:00;  23,8
24.10.1970 12:00:00;  12,5
15.11.1970 12:00:00;  10,9
27.12.1970 12:00:00;  7,59
30.01.1971 12:00:00;  7,81
28.02.1971 12:00:00;  7,38
05.03.1971 12:00:00;  5,80
03.04.1971 12:00:00;  7,38
01.05.1971 12:00:00;  16,7
02.06.1971 12:00:00;  16,6
22.07.1971 12:00:00;  24,5
13.08.1971 12:00:00;  21,9
17.09.1971 12:00:00;  8,13
19.10.1971 12:00:00;  7,81
25.11.1971 12:00:00;  7,38
31.12.1971 12:00:00;  6,95
30.01.1972 12:00:00;  6,17
26.02.1972 12:00:00;  5,00
30.03.1972 12:00:00;  3,92
12.04.1972 12:00:00;  5,12
05.05.1972 12:00:00;  9,45
03.06.1972 12:00:00;  30,8
04.07.1972 12:00:00;  33,8
27.08.1972 12:00:00;  24,7
25.09.1972 12:00:00;  8,81
04.10.1972 12:00:00;  5,78
19.11.1972 12:00:00;  6,81
27.12.1972 12:00:00;  6,61
09.01.1973 12:00:00;  6,10
19.02.1973 12:00:00;  3,85
28.03.1973 12:00:00;  5,49
03.04.1973 12:00:00;  4,33
01.05.1973 12:00:00;  16,6
28.06.1973 12:00:00;  33,7
30.07.1973 12:00:00;  23,7
20.08.1973 12:00:00;  24,4
13.09.1973 12:00:00;  11,3
25.10.1973 12:00:00;  15,5
29.11.1973 12:00:00;  13,0
31.12.1973 12:00:00;  9,90
12.01.1974 12:00:00;  6,40
23.02.1974 12:00:00;  6,00
16.03.1974 12:00:00;  6,40
01.04.1974 12:00:00;  12,3
07.05.1974 12:00:00;  13,3
14.06.1974 12:00:00;  27,5
27.07.1974 12:00:00;  31,2
24.08.1974 12:00:00;  25,4
03.09.1974 12:00:00;  14,8
31.10.1974 12:00:00;  10,3
24.11.1974 12:00:00;  5,45
16.12.1974 12:00:00;  7,20
30.01.1975 12:00:00;  7,39
10.02.1975 12:00:00;  5,45
24.03.1975 12:00:00;  4,08
02.04.1975 12:00:00;  4,60
06.05.1975 12:00:00;  24,7
10.06.1975 12:00:00;  41,1
31.07.1975 12:00:00;  43,9
07.08.1975 12:00:00;  33,1
29.09.1975 12:00:00;  18,8
30.10.1975 12:00:00;  12,1
24.11.1975 12:00:00;  7,71
11.12.1975 12:00:00;  6,82
27.01.1976 05:15:00;  6,72
23.02.1976 04:45:00;  3,58
05.03.1976 12:45:00;  3,82
30.04.1976 21:30:00;  4,43
03.05.1976 12:45:00;  6,42
11.06.1976 15:00:00;  20,9
24.07.1976 16:30:00;  15,9
26.08.1976 16:45:00;  11,8
28.09.1976 15:00:00;  14,8
28.10.1976 14:15:00;  11,0
30.11.1976 14:15:00;  12,2
15.12.1976 21:15:00;  6,69
10.01.1977 14:00:00;  6,72
02.02.1977 14:00:00;  6,66
02.03.1977 13:00:00;  7,19
09.04.1977 17:00:00;  9,56
13.05.1977 13:45:00;  34,0
05.06.1977 07:00:00;  39,2
29.07.1977 19:15:00;  39,2
28.08.1977 15:00:00;  37,0
11.09.1977 14:45:00;  8,49
31.10.1977 04:30:00;  10,8
19.11.1977 16:15:00;  7,00
19.12.1977 12:00:00;  6,66
23.01.1978 04:30:00;  5,81
06.02.1978 04:00:00;  3,95
28.03.1978 05:00:00;  5,69
14.04.1978 15:15:00;  1,52
17.05.1978 13:45:00;  12,5
22.06.1978 14:00:00;  34,2
01.07.1978 00:00:00;  40,1
29.08.1978 20:00:00;  22,5
28.09.1978 13:00:00;  16,3
30.10.1978 03:30:00;  13,5
22.11.1978 15:00:00;  1,02
04.12.1978 21:00:00;  4,91
04.01.1979 11:45:00;  5,31
20.02.1979 16:15:00; 0,559
08.03.1979 16:45:00; 0,673
19.04.1979 14:45:00;  1,06
02.05.1979 16:15:00;  4,38
20.06.1979 11:15:00;  48,6
08.07.1979 09:45:00;  32,8
22.08.1979 18:15:00;  27,3
19.09.1979 06:30:00;  21,6
31.10.1979 15:00:00;  19,5
25.11.1979 03:30:00;  6,42
05.12.1979 11:30:00;  11,8
26.01.1980 07:30:00;  2,66
02.02.1980 07:45:00;  4,16
02.03.1980 06:15:00;  2,57
08.04.1980 16:15:00;  5,56
02.05.1980 03:45:00;  11,6
03.06.1980 16:15:00;  20,1
06.07.1980 07:30:00;  31,3
27.08.1980 09:15:00;  38,0
29.09.1980 06:00:00;  15,0
07.10.1980 11:00:00;  12,0
29.11.1980 15:00:00;  6,53
29.12.1980 06:15:00;  7,18
19.01.1981 04:00:00;  6,40
04.02.1981 14:45:00;  5,22
05.03.1981 14:15:00;  5,75
21.04.1981 12:15:00;  20,1
04.05.1981 12:00:00;  17,6
28.06.1981 14:45:00;  35,9
16.07.1981 09:00:00;  42,5
30.08.1981 12:30:00;  24,6
23.09.1981 15:15:00;  15,9
17.10.1981 07:30:00;  18,4
26.11.1981 19:15:00;  17,2
14.12.1981 13:00:00;  12,5
25.01.1982 13:15:00;  6,69
04.02.1982 12:45:00;  7,05
25.03.1982 17:15:00;  6,69
28.04.1982 12:30:00;  9,20
03.05.1982 13:00:00;  9,26
16.06.1982 15:30:00;  41,4
15.07.1982 16:15:00;  38,2
26.08.1982 10:15:00;  27,9
23.09.1982 14:00:00;  21,5
22.10.1982 12:00:00;  13,0
29.11.1982 13:30:00;  10,9
15.12.1982 16:00:00;  6,56
17.01.1983 14:00:00;  4,96
09.02.1983 15:30:00;  1,93
07.03.1983 17:45:00;  5,02
06.04.1983 12:00:00;  5,17
04.05.1983 16:15:00;  22,5
19.06.1983 20:15:00;  37,1
31.07.1983 12:30:00;  32,4
30.08.1983 11:15:00;  19,2
01.09.1983 16:30:00;  12,4
21.10.1983 10:30:00;  7,93
26.11.1983 14:00:00;  5,57
12.12.1983 15:15:00;  4,34
12.01.1984 13:30:00;  2,80
14.02.1984 13:15:00;  3,31
04.03.1984 15:45:00;  3,49
02.04.1984 15:45:00;  2,90
02.05.1984 11:45:00;  11,1
09.06.1984 13:30:00;  27,1
30.07.1984 14:45:00;  19,9
31.08.1984 08:45:00;  18,1
14.09.1984 21:45:00;  17,1
05.10.1984 13:30:00;  10,7
29.11.1984 20:15:00;  6,84
11.12.1984 13:15:00;  4,04
07.01.1985 13:15:00;  4,06
20.02.1985 13:30:00;  3,39
18.03.1985 16:45:00;  1,83
01.04.1985 12:30:00;  3,54
07.05.1985 21:45:00;  8,05
18.06.1985 16:45:00;  20,5
28.07.1985 12:00:00;  32,4
03.08.1985 13:45:00;  30,7
07.09.1985 12:15:00;  5,35
29.10.1985 19:45:00;  7,13
27.11.1985 23:00:00;  2,63
04.12.1985 22:00:00;  2,82
08.01.1986 11:15:00;  2,57
06.02.1986 15:30:00;  2,94
25.03.1986 13:00:00;  3,13
20.04.1986 12:45:00;  3,86
01.05.1986 12:45:00;  16,4
08.06.1986 02:15:00;  25,0
23.07.1986 16:00:00;  18,3
10.08.1986 16:15:00;  23,3
20.09.1986 12:45:00;  8,67
21.10.1986 16:15:00;  6,74
06.11.1986 15:15:00;  5,45
06.12.1986 17:15:00;  5,43
08.01.1987 14:30:00;  5,67
28.02.1987 10:15:00;  3,11
06.03.1987 13:30:00;  2,83
25.04.1987 12:30:00;  2,80
06.05.1987 16:00:00;  15,9
02.06.1987 03:15:00;  39,3
30.07.1987 03:15:00;  45,9
05.08.1987 13:30:00;  31,3
30.09.1987 17:00:00;  19,3
20.10.1987 18:15:00;  12,8
30.11.1987 16:30:00;  6,80
17.12.1987 16:15:00;  3,39
16.01.1988 13:30:00;  4,95
01.02.1988 21:45:00;  3,46
10.03.1988 03:15:00;  4,43
23.04.1988 13:15:00;  3,40
02.05.1988 12:15:00;  15,9
03.06.1988 11:30:00;  31,4
31.07.1988 13:30:00;  31,4
19.08.1988 12:00:00;  20,8
21.09.1988 16:00:00;  14,2
20.10.1988 10:30:00;  13,8
26.11.1988 02:15:00;  10,0
31.12.1988 15:15:00;  9,67
31.01.1989 03:00:00;  5,48
06.02.1989 03:15:00;  5,55
11.03.1989 14:30:00;  5,33
29.04.1989 14:15:00;  1,90
02.05.1989 04:15:00;  12,2
10.06.1989 13:45:00;  20,8
31.07.1989 00:45:00;  33,4
31.08.1989 16:30:00;  20,8
25.09.1989 12:45:00;  14,1
25.10.1989 15:15:00;  10,4
27.11.1989 15:45:00;  4,71
12.12.1989 12:45:00;  4,71
09.01.1990 13:30:00;  4,46
13.02.1990 17:00:00;  3,62
05.03.1990 03:00:00;  5,71
28.04.1990 13:00:00;  2,87
01.05.1990 10:00:00;  12,6
01.06.1990 11:15:00;  20,5
20.07.1990 22:00:00;  26,8
30.08.1990 13:30:00;  14,4
27.09.1990 18:30:00;  4,97
06.10.1990 13:45:00;  2,68
21.11.1990 13:30:00;  5,18
12.12.1990 19:45:00;  5,12
17.01.1991 13:15:00;  2,73
05.02.1991 13:15:00;  4,32
03.03.1991 08:45:00;  3,62
23.04.1991 16:30:00;  4,27
02.05.1991 17:00:00;  4,48
02.06.1991 17:30:00;  23,9
29.07.1991 17:00:00;  39,0
29.08.1991 15:45:00;  18,9
24.09.1991 18:30:00;  12,1
21.10.1991 16:45:00;  10,0
25.11.1991 16:00:00;  3,01
17.12.1991 20:15:00;  2,59
14.01.1992 03:45:00;  3,47
19.02.1992 02:00:00;  3,70
13.03.1992 03:15:00;  3,94
02.04.1992 01:45:00;  6,46
02.05.1992 14:00:00;  24,8
12.06.1992 11:00:00;  37,5
31.07.1992 09:45:00;  26,1
26.08.1992 12:00:00;  19,5
29.09.1992 03:15:00;  11,6
14.10.1992 15:00:00;  6,77
14.11.1992 14:15:00;  3,35
16.12.1992 19:45:00;  3,47
07.01.1993 19:30:00;  3,06
28.02.1993 13:00:00;  1,15
03.03.1993 17:45:00;  2,86
06.04.1993 05:15:00;  5,26
01.05.1993 16:15:00;  23,1
30.06.1993 14:45:00;  28,9
14.07.1993 14:15:00;  26,7
16.08.1993 09:45:00;  20,7
18.09.1993 13:00:00;  10,0
02.10.1993 13:30:00;  2,93
24.11.1993 13:00:00;  7,10
27.12.1993 14:45:00;  3,47
19.01.1994 03:00:00;  2,10
21.02.1994 03:30:00;  1,70
20.03.1994 12:00:00;  2,15
06.04.1994 16:30:00;  2,26
03.05.1994 14:00:00;  18,9
15.06.1994 16:30:00;  30,8
16.07.1994 18:30:00;  28,1
15.08.1994 09:15:00;  21,4
22.09.1994 09:00:00;  14,1
15.10.1994 07:45:00;  1,84
28.11.1994 13:00:00;  1,89
12.12.1994 15:00:00;  1,28
09.01.1995 13:30:00;  1,86
06.02.1995 05:15:00; 0,729
22.03.1995 04:45:00; 0,594
01.04.1995 01:15:00;  3,91
22.05.1995 12:00:00;  20,0
04.06.1995 11:00:00;  38,2
31.07.1995 14:15:00;  38,5
08.08.1995 17:30:00;  23,9
23.09.1995 04:30:00;  9,23
25.10.1995 10:00:00;  5,84
21.11.1995 20:15:00;  2,67
13.12.1995 20:30:00; 0,729
30.01.1996 17:15:00; 0,692
01.02.1996 13:15:00; 0,746
02.03.1996 02:00:00; 0,692
09.04.1996 12:45:00; 0,844
07.05.1996 03:00:00;  10,5
28.06.1996 08:45:00;  19,8
27.07.1996 05:30:00;  3,94
01.08.1996 10:15:00;  19,9
28.09.1996 14:30:00;  8,86
01.10.1996 14:00:00;  16,3
25.11.1996 20:15:00;  15,3
27.12.1996 02:15:00;  3,70
11.01.1997 14:15:00;  2,39
03.02.1997 12:00:00;  3,01
22.03.1997 07:45:00; 0,823
14.04.1997 20:30:00;  2,69
01.05.1997 01:30:00;  9,61
03.06.1997 18:45:00;  24,2
22.07.1997 23:45:00;  33,7
25.08.1997 14:15:00;  26,7
17.09.1997 18:15:00;  12,5
27.10.1997 20:15:00;  2,95
15.11.1997 15:15:00;  2,73
29.12.1997 09:00:00;  1,55
26.01.1998 20:00:00;  2,77
16.02.1998 04:30:00; 0,925
23.03.1998 05:45:00;  2,67
21.04.1998 16:30:00;  4,98
05.05.1998 07:15:00;  16,3
17.06.1998 16:30:00;  27,8
16.07.1998 13:00:00;  12,5
31.08.1998 11:15:00;  14,1
18.09.1998 02:30:00;  9,83
31.10.1998 08:15:00;  8,65
03.11.1998 13:45:00;  8,84
18.12.1998 00:45:00;  2,41
12.01.1999 01:15:00; 0,795
15.02.1999 08:15:00;  1,41
09.03.1999 13:15:00;  3,94
02.04.1999 23:30:00;  8,49
02.05.1999 18:15:00;  35,9
25.06.1999 15:00:00;  40,6
26.07.1999 14:30:00;  33,5
14.08.1999 20:30:00;  30,2
23.09.1999 14:15:00;  13,0
23.10.1999 11:00:00;  8,85
22.11.1999 20:30:00;  7,78
22.12.1999 01:00:00;  3,75
15.01.2000 09:30:00;  3,26
22.02.2000 21:00:00;  3,77
01.03.2000 01:45:00;  3,75
08.04.2000 13:00:00;  7,64
24.05.2000 00:00:00;  37,9
29.06.2000 17:32:35;  30,3
06.07.2000 11:15:00;  27,9
29.08.2000 15:30:00;  21,1
28.09.2000 06:15:00;  15,6
04.10.2000 18:30:00;  22,4
29.11.2000 17:00:00;  23,3
30.12.2000 00:30:00;  7,40
24.01.2001 05:21:00;  6,11
21.02.2001 15:07:00;  4,70
08.03.2001 14:59:00;  6,24
23.04.2001 14:45:00;  8,57
26.05.2001 12:37:00;  34,4
07.06.2001 13:45:00;  35,9
11.07.2001 13:08:00;  41,9
30.08.2001 13:00:00;  26,0
11.09.2001 06:15:00;  18,3
31.10.2001 10:15:00;  13,6
06.11.2001 06:43:00;  1,91
17.12.2001 18:37:00;  3,33
09.01.2002 15:46:00;  2,97
21.02.2002 20:20:00;  3,29
18.03.2002 17:21:00;  3,26
16.04.2002 18:28:00;  5,93
01.05.2002 10:00:00;  18,0
30.06.2002 17:00:00;  33,0
31.07.2002 15:00:00;  22,4
30.08.2002 16:15:00;  24,5
30.09.2002 02:12:00;  12,7
16.10.2002 20:19:00;  13,0
14.11.2002 13:51:00;  13,2
24.12.2002 13:22:00;  13,7
13.01.2003 19:26:00;  5,04
19.02.2003 13:09:00;  3,75
04.03.2003 12:41:00;  4,90
07.04.2003 16:07:00;  3,96
19.05.2003 17:30:00;  24,3
30.06.2003 14:15:00;  25,6
31.07.2003 11:13:00;  19,7
20.08.2003 11:15:00;  14,0
28.09.2003 03:07:00;  3,89
03.10.2003 16:15:00;  7,20
30.11.2003 14:00:00;  5,90
20.12.2003 05:39:00;  2,99
30.01.2004 15:45:00;  2,75
03.02.2004 17:00:00;  2,99
03.03.2004 18:31:00;  3,26
07.04.2004 13:46:00;  8,80
08.05.2004 16:48:00;  17,9
23.06.2004 17:18:00;  26,3
29.07.2004 16:38:00;  32,1
27.08.2004 21:30:00;  18,4
21.09.2004 12:04:00;  13,2
22.10.2004 09:36:00;  11,4
29.11.2004 19:34:00;  7,34
30.12.2004 12:06:00;  3,91
20.01.2005 18:46:00;  2,82
02.02.2005 19:35:00;  2,93
09.03.2005 17:37:00;  2,99
04.04.2005 00:43:00; 0,925
14.05.2005 13:25:00;  13,4
18.06.2005 05:36:00;  8,06
02.07.2005 05:30:00;  14,7
11.08.2005 12:08:00;  16,5
26.09.2005 11:46:00;  14,2
25.10.2005 11:57:00;  7,63
23.11.2005 19:44:00;  3,22
01.12.2005 21:08:25;  3,70
12.01.2006 22:11:55;  3,43
23.02.2006 13:41:35;  3,98
15.03.2006 02:41:50;  3,93
08.04.2006 08:30:00;  5,66
31.05.2006 14:26:00;  18,2
07.06.2006 14:35:00;  22,1
26.07.2006 12:58:00;  25,6
31.08.2006 16:51:00;  19,2
29.09.2006 14:10:00;  15,4
20.10.2006 22:55:00;  9,35
21.11.2006 20:58:50;  3,69
12.12.2006 00:00:00;  3,77
26.01.2007 13:15:00;  3,67
02.02.2007 13:00:00;  3,69
01.03.2007 15:30:00;  4,00
02.04.2007 15:13:50;  4,86
05.05.2007 15:59:20;  19,0
14.06.2007 16:15:00;  34,6
31.07.2007 16:15:00;  23,7
06.08.2007 15:00:00;  20,4
25.09.2007 14:04:45;  18,8
31.10.2007 19:35:00;  12,0
10.11.2007 20:00:00;  3,75
19.12.2007 23:49:00;  4,33
09.01.2008 20:50:00;  4,33
06.02.2008 19:42:00;  4,45
05.03.2008 14:44:00;  4,33
07.04.2008 13:24:00;  4,22
02.05.2008 17:41:40;  18,2
16.06.2008 04:27:00;  38,3
10.07.2008 10:50:00;  38,7
30.08.2008 17:11:00;  29,9
30.09.2008 15:19:00;  18,6
25.10.2008 06:06:00;  6,60
30.11.2008 01:45:00;  13,4
18.12.2008 08:46:00;  8,27
07.01.2009 19:49:00;  4,89
04.02.2009 17:00:00;  5,06
09.03.2009 13:15:00;  4,95
01.04.2009 01:00:00;  7,93
06.05.2009 15:00:00;  28,4
23.06.2009 13:15:00;  39,2
12.07.2009 18:30:00;  31,3
15.08.2009 05:15:00;  18,9
30.09.2009 17:45:00;  15,2
19.10.2009 17:00:00;  12,3
05.11.2009 16:00:00;  8,69
18.12.2009 11:45:00;  6,88
12.01.2010 20:45:00;  5,03
16.02.2010 11:45:00;  5,21
09.03.2010 04:45:00;  4,69
01.04.2010 16:00:00;  7,05
21.05.2010 08:45:00;  22,9
23.06.2010 15:00:00;  40,8
31.07.2010 15:30:00;  27,5
01.08.2010 17:00:00;  29,3
30.09.2010 10:00:00;  24,0
22.10.2010 16:45:00;  15,5
20.11.2010 06:15:00;  6,77
16.12.2010 23:30:00;  8,21
31.01.2011 19:45:00;  6,79
24.02.2011 07:45:00;  6,92
26.03.2011 20:30:00;  4,01
01.04.2011 18:00:00;  9,03
05.05.2011 18:30:00;  16,1
27.06.2011 16:45:00;  36,8
04.07.2011 16:00:00;  29,5
31.08.2011 11:45:00;  25,5
16.09.2011 11:45:00;  23,1
31.10.2011 23:15:00;  20,1
26.11.2011 06:45:00;  5,88
20.12.2011 14:45:00;  7,24
23.01.2012 02:15:00;  4,15
23.02.2012 12:15:00; 0,842
24.03.2012 06:15:00;  6,99
23.04.2012 14:00:00;  15,3
18.05.2012 14:15:00;  32,3
28.06.2012 05:00:00;  45,5
27.07.2012 15:30:00;  36,5
29.08.2012 13:30:00;  25,5
09.09.2012 11:00:00;  26,5
30.10.2012 17:45:00;  18,9
30.11.2012 09:15:00;  16,4
13.12.2012 03:45:00;  12,2
19.01.2013 05:00:00;  8,48
21.02.2013 21:30:00;  5,37
22.03.2013 17:15:00;  7,34
02.04.2013 16:30:00;  6,82
