Messstelle:                ;Leibnitz
31.10.1968 12:00:00;  5,60
01.11.1968 12:00:00;  5,00
31.12.1968 12:00:00;  3,65
01.01.1969 12:00:00;  4,40
10.02.1969 12:00:00;  3,65
08.03.1969 12:00:00;  21,5
23.04.1969 12:00:00;  13,8
30.05.1969 12:00:00;  5,00
01.06.1969 12:00:00;  5,80
30.07.1969 12:00:00;  5,40
15.08.1969 12:00:00;  3,80
14.09.1969 12:00:00;  8,10
18.10.1969 12:00:00;  4,85
05.11.1969 12:00:00;  3,90
22.12.1969 12:00:00;  5,42
03.01.1970 12:00:00;  6,55
03.02.1970 12:00:00;  8,60
05.03.1970 12:00:00;  8,05
17.04.1970 12:00:00;  19,8
30.05.1970 12:00:00;  11,8
29.06.1970 12:00:00;  6,85
29.07.1970 12:00:00;  8,70
07.08.1970 12:00:00;  8,15
26.09.1970 12:00:00;  6,29
20.10.1970 12:00:00;  4,78
14.11.1970 12:00:00;  5,21
25.12.1970 12:00:00;  5,43
20.01.1971 12:00:00;  5,43
28.02.1971 12:00:00;  6,29
13.03.1971 12:00:00;  6,07
26.04.1971 12:00:00;  7,05
28.05.1971 12:00:00;  4,03
08.06.1971 12:00:00;  3,71
30.07.1971 12:00:00;  2,38
21.08.1971 12:00:00;  3,05
24.09.1971 12:00:00;  2,90
12.10.1971 12:00:00;  2,90
23.11.1971 12:00:00;  3,05
28.12.1971 12:00:00;  4,20
18.01.1972 12:00:00;  4,40
04.02.1972 12:00:00;  5,40
31.03.1972 12:00:00;  10,2
04.04.1972 12:00:00;  11,2
27.05.1972 12:00:00;  17,8
15.06.1972 12:00:00;  5,00
05.07.1972 12:00:00;  9,70
25.08.1972 12:00:00;  8,05
09.09.1972 12:00:00;  8,05
26.10.1972 12:00:00;  7,30
11.11.1972 12:00:00;  6,80
30.12.1972 12:00:00;  4,28
16.01.1973 12:00:00;  3,60
28.02.1973 12:00:00;  5,42
01.03.1973 12:00:00;  7,30
24.04.1973 12:00:00;  11,1
28.05.1973 12:00:00;  5,43
05.06.1973 12:00:00; 0,970
21.07.1973 12:00:00;  8,90
21.08.1973 12:00:00;  6,05
15.09.1973 12:00:00;  5,04
28.10.1973 12:00:00;  12,0
30.11.1973 12:00:00;  8,05
05.12.1973 12:00:00;  8,05
02.01.1974 12:00:00;  8,90
27.02.1974 12:00:00;  8,10
02.03.1974 12:00:00;  8,10
25.04.1974 12:00:00;  9,20
31.05.1974 12:00:00;  4,72
28.06.1974 12:00:00;  4,50
30.07.1974 12:00:00;  4,72
21.08.1974 12:00:00;  4,14
20.09.1974 12:00:00;  11,2
19.10.1974 12:00:00;  13,4
25.11.1974 12:00:00;  9,80
24.12.1974 12:00:00;  7,55
27.01.1975 12:00:00;  4,94
13.02.1975 12:00:00;  3,60
01.03.1975 12:00:00;  4,32
30.04.1975 12:00:00;  9,45
20.05.1975 12:00:00;  7,97
23.06.1975 12:00:00;  7,97
29.07.1975 12:00:00;  9,15
23.08.1975 12:00:00;  7,14
29.09.1975 12:00:00;  7,42
03.10.1975 12:00:00;  5,85
03.11.1975 12:00:00;  7,14
20.12.1975 12:00:00;  6,36
28.01.1976 10:30:00;  3,88
09.02.1976 06:30:00;  3,94
11.03.1976 07:30:00;  4,49
22.04.1976 11:00:00;  5,46
25.05.1976 16:30:00;  6,45
30.06.1976 23:59:55;  3,50
20.07.1976 11:30:00;  2,03
10.08.1976 15:00:00;  3,45
03.09.1976 09:30:00;  3,79
01.10.1976 00:00:00;  5,07
12.11.1976 15:30:00;  12,1
31.12.1976 17:30:00;  6,95
01.01.1977 00:00:05;  7,90
21.02.1977 01:30:00;  15,2
26.03.1977 16:00:00;  7,43
01.04.1977 01:00:00;  9,50
30.05.1977 20:00:00;  7,63
19.06.1977 18:00:00;  5,63
13.07.1977 18:00:00;  5,21
08.08.1977 07:30:00;  5,49
05.09.1977 10:00:00;  5,23
27.10.1977 14:00:00;  4,40
30.11.1977 19:30:00;  3,82
03.12.1977 11:30:00;  3,87
07.01.1978 13:30:00;  4,03
15.02.1978 09:00:00;  3,55
30.03.1978 01:30:00;  6,61
10.04.1978 03:00:00;  6,54
22.05.1978 02:00:00;  8,83
03.06.1978 19:00:00;  8,11
04.07.1978 11:30:00;  7,05
29.08.1978 02:30:00;  5,82
27.09.1978 10:30:00;  4,25
30.10.1978 17:00:00;  5,18
20.11.1978 14:30:00;  2,17
09.12.1978 04:30:00;  3,56
08.01.1979 16:00:00;  4,32
28.02.1979 13:30:00;  8,95
03.03.1979 19:00:00;  8,78
24.04.1979 13:30:00;  9,96
31.05.1979 23:59:55;  8,23
11.06.1979 18:00:00;  5,94
12.07.1979 15:30:00;  15,0
31.08.1979 23:59:55;  10,8
21.09.1979 13:00:00;  6,71
27.10.1979 21:30:00;  7,01
08.11.1979 16:30:00;  8,04
19.12.1979 23:30:00;  4,95
03.01.1980 12:00:00;  3,04
29.02.1980 23:59:55;  10,1
05.03.1980 16:30:00;  8,69
30.04.1980 20:00:00;  9,37
30.05.1980 21:00:00;  4,90
29.06.1980 20:00:00;  3,86
28.07.1980 09:30:00;  7,34
01.08.1980 06:00:00;  9,83
30.09.1980 23:59:55;  9,41
03.10.1980 17:00:00;  7,68
02.11.1980 22:30:00;  20,6
09.12.1980 11:00:00;  14,3
08.01.1981 08:30:00;  10,8
21.02.1981 04:00:00;  10,5
30.03.1981 09:30:00;  8,31
30.04.1981 18:00:00;  6,04
01.05.1981 09:00:00;  5,92
13.06.1981 03:00:00;  4,89
25.07.1981 08:00:00;  7,06
28.08.1981 19:00:00;  5,11
23.09.1981 07:30:00;  5,09
21.10.1981 22:30:00;  9,17
30.11.1981 23:59:55;  6,95
22.12.1981 03:00:00;  5,27
23.01.1982 12:00:00;  6,88
28.02.1982 07:30:00;  4,50
01.03.1982 16:30:00;  5,82
29.04.1982 12:00:00;  7,86
03.05.1982 10:00:00;  7,23
27.06.1982 20:00:00;  6,56
17.07.1982 14:00:00;  6,17
15.08.1982 01:00:00;  7,34
07.09.1982 10:30:00;  8,51
01.10.1982 12:30:00;  9,88
13.11.1982 16:30:00;  11,5
10.12.1982 23:00:00;  16,9
24.01.1983 18:00:00;  11,8
23.02.1983 11:00:00;  6,48
21.03.1983 18:30:00;  10,2
28.04.1983 02:30:00;  8,58
23.05.1983 02:00:00;  5,46
18.06.1983 01:30:00;  6,17
31.07.1983 23:59:55;  5,01
02.08.1983 15:00:00;  4,56
03.09.1983 14:00:00;  5,66
11.10.1983 08:00:00;  5,28
20.11.1983 07:30:00;  4,95
09.12.1983 18:00:00;  5,78
24.01.1984 11:00:00;  6,28
21.02.1984 13:30:00;  7,65
01.03.1984 13:30:00;  12,6
28.04.1984 17:00:00;  13,9
31.05.1984 23:59:55;  14,0
29.06.1984 04:30:00;  6,04
14.07.1984 12:30:00;  5,48
06.08.1984 04:00:00;  5,92
15.09.1984 07:30:00;  5,39
31.10.1984 19:00:00;  7,27
16.11.1984 21:00:00;  5,33
17.12.1984 13:30:00;  5,66
17.01.1985 01:30:00;  7,63
20.02.1985 09:45:00;  10,1
01.03.1985 04:45:00;  11,6
22.04.1985 19:15:00;  15,6
31.05.1985 22:45:00;  12,9
07.06.1985 21:15:00;  10,6
27.07.1985 17:15:00;  9,12
31.08.1985 21:15:00;  7,90
30.09.1985 18:00:00;  6,97
24.10.1985 15:45:00;  6,42
10.11.1985 12:00:00;  6,75
01.12.1985 12:30:00;  10,3
13.01.1986 07:45:00;  6,51
10.02.1986 10:15:00;  4,25
04.03.1986 08:15:00;  6,34
21.04.1986 23:15:00;  14,0
28.05.1986 21:15:00;  9,03
29.06.1986 08:30:00;  18,0
30.07.1986 05:30:00;  8,78
10.08.1986 08:00:00;  7,47
30.09.1986 13:15:00;  6,69
19.10.1986 13:00:00;  5,66
19.11.1986 13:00:00;  5,60
18.12.1986 07:15:00;  4,28
08.01.1987 11:30:00;  6,17
01.02.1987 00:00:00;  8,61
14.03.1987 13:00:00;  7,67
30.04.1987 23:15:00;  20,0
31.05.1987 23:59:55;  13,0
15.06.1987 04:00:00;  10,2
23.07.1987 20:00:00;  7,93
02.08.1987 07:30:00;  9,71
22.09.1987 13:30:00;  6,59
08.10.1987 16:45:00;  6,75
10.11.1987 01:15:00;  7,58
31.12.1987 23:59:55;  10,8
13.01.1988 14:45:00;  9,93
26.02.1988 17:15:00;  10,8
03.03.1988 20:30:00;  9,93
03.04.1988 23:15:00;  10,2
26.05.1988 00:15:00;  10,8
05.06.1988 08:30:00;  10,4
28.07.1988 22:00:00;  8,49
20.08.1988 18:00:00;  7,07
10.09.1988 13:30:00;  8,88
06.10.1988 06:00:00;  10,2
23.11.1988 08:30:00;  7,40
17.12.1988 10:30:00;  7,24
27.01.1989 15:15:00;  4,93
01.02.1989 11:45:00;  5,70
17.03.1989 00:45:00;  6,55
02.04.1989 00:45:00;  8,30
13.05.1989 20:15:00;  8,88
30.06.1989 23:59:55;  10,1
02.07.1989 06:15:00;  9,10
17.08.1989 04:30:00;  11,2
25.09.1989 14:00:00;  9,93
31.10.1989 23:59:55;  10,4
30.11.1989 08:30:00;  7,07
27.12.1989 09:00:00;  6,73
07.01.1990 01:00:00;  4,24
06.02.1990 09:00:00;  3,99
17.03.1990 05:00:00;  4,30
01.04.1990 00:00:00;  8,01
24.05.1990 10:00:00;  9,71
03.06.1990 08:45:00;  8,88
31.07.1990 17:15:00;  8,49
30.08.1990 10:45:00;  7,07
20.09.1990 15:30:00;  6,59
04.10.1990 09:00:00;  7,24
20.11.1990 23:15:00;  15,7
30.12.1990 12:00:00;  11,2
29.01.1991 11:15:00;  8,97
01.02.1991 12:30:00;  6,20
02.03.1991 12:15:00;  9,35
17.04.1991 04:15:00;  13,5
02.05.1991 20:45:00;  14,9
26.06.1991 02:00:00;  10,5
12.07.1991 23:30:00;  10,5
12.08.1991 21:30:00;  11,4
12.09.1991 07:30:00;  8,23
17.10.1991 22:00:00;  6,52
02.11.1991 20:15:00;  7,87
29.12.1991 13:30:00;  8,97
22.01.1992 01:15:00;  6,52
27.02.1992 12:30:00;  7,52
18.03.1992 21:00:00;  6,52
21.04.1992 12:15:00;  7,52
31.05.1992 16:15:00;  7,18
01.06.1992 00:00:00;  7,20
30.07.1992 10:15:00;  5,89
30.08.1992 21:45:00;  3,67
25.09.1992 00:00:00;  3,67
01.10.1992 23:15:00;  4,72
30.11.1992 13:30:00;  11,8
31.12.1992 00:01:00;  8,23
31.01.1993 13:45:00;  7,18
24.02.1993 00:30:00;  5,00
06.03.1993 15:00:00;  5,00
29.04.1993 13:00:00;  5,89
22.05.1993 23:30:00;  4,72
27.06.1993 21:15:00;  5,00
18.07.1993 17:00:00;  3,42
04.08.1993 21:45:00;  4,18
18.09.1993 02:00:00;  4,72
18.10.1993 15:00:00;  8,23
30.11.1993 05:45:00;  13,5
01.12.1993 20:30:00;  14,5
30.01.1994 17:45:00;  10,9
18.02.1994 11:45:00;  7,52
31.03.1994 06:00:00;  8,60
01.04.1994 23:30:00;  8,60
29.05.1994 13:15:00;  7,87
07.06.1994 17:30:00;  7,18
18.07.1994 07:30:00;  6,85
07.08.1994 18:00:00;  6,20
14.09.1994 05:30:00;  8,23
17.10.1994 21:15:00;  8,23
09.11.1994 11:15:00;  10,5
21.12.1994 10:15:00;  6,85
15.01.1995 12:15:00;  8,23
12.02.1995 18:00:00;  12,6
31.03.1995 18:45:00;  14,5
22.04.1995 11:30:00;  10,1
29.05.1995 12:30:00;  8,23
04.06.1995 09:45:00;  9,73
27.07.1995 03:45:00;  8,60
05.08.1995 09:00:00;  7,52
13.09.1995 02:45:00;  9,73
25.10.1995 03:15:00;  8,23
23.11.1995 10:45:00;  5,58
02.12.1995 17:15:00;  6,52
31.01.1996 23:59:55;  10,5
01.02.1996 11:00:00;  7,18
05.03.1996 10:30:00;  6,85
20.04.1996 19:00:00;  24,7
08.05.1996 05:45:00;  16,9
19.06.1996 20:00:00;  9,35
29.07.1996 14:15:00;  8,60
03.08.1996 04:45:00;  8,60
02.09.1996 00:00:00;  11,8
31.10.1996 12:45:00;  17,4
16.11.1996 17:45:00;  10,9
26.12.1996 13:30:00;  7,18
29.01.1997 13:10:55;  7,31
03.02.1997 11:13:55;  5,46
18.03.1997 08:55:15;  6,03
17.04.1997 00:44:05;  4,79
31.05.1997 23:21:30;  3,84
02.06.1997 02:22:00;  3,81
10.07.1997 01:01:55;  5,87
17.08.1997 08:48:35;  6,87
27.09.1997 12:11:10;  6,65
30.10.1997 20:48:05;  4,89
05.11.1997 16:58:05;  4,85
18.12.1997 12:46:50;  11,0
28.01.1998 16:01:25;  4,98
03.02.1998 18:02:30;  5,00
23.03.1998 22:27:20;  5,33
02.04.1998 13:16:15;  5,21
17.05.1998 05:16:30;  4,92
11.06.1998 08:16:40;  4,91
31.07.1998 21:02:25;  6,71
22.08.1998 01:17:25;  4,75
01.09.1998 15:10:20;  8,43
05.10.1998 12:17:45;  14,1
03.11.1998 04:55:55;  13,9
26.12.1998 12:49:15;  8,29
30.01.1999 13:13:00;  5,25
16.02.1999 11:12:50;  4,85
22.03.1999 01:57:15;  7,44
07.04.1999 09:46:45;  7,80
11.05.1999 21:36:25;  9,23
11.06.1999 15:08:20;  8,76
09.07.1999 10:30:10;  6,58
16.08.1999 07:11:50;  12,8
23.09.1999 19:36:20;  11,7
31.10.1999 15:00:00;  8,01
02.11.1999 13:00:00;  6,94
23.12.1999 13:30:00;  7,29
25.01.2000 13:00:00;  4,38
22.02.2000 16:00:00;  6,27
23.03.2000 05:30:00;  4,08
08.04.2000 14:30:00;  5,32
18.05.2000 06:00:00;  4,73
23.06.2000 00:00:00;  4,73
07.07.2000 05:30:00;  3,65
26.08.2000 11:00:00;  3,65
13.09.2000 01:30:00;  3,65
01.10.2000 02:00:00;  5,02
01.11.2000 00:00:00;  8,76
24.12.2000 11:30:00;  5,19
22.01.2001 20:00:00;  9,26
27.02.2001 15:30:00;  5,02
11.03.2001 05:00:00;  5,63
07.04.2001 05:30:00;  9,15
30.05.2001 08:30:00;  4,73
28.06.2001 05:30:00;  4,45
29.07.2001 21:01:40;  2,89
10.08.2001 00:49:20;  2,15
14.09.2001 09:30:00;  1,90
20.10.2001 19:30:00;  3,39
16.11.2001 15:27:10;  2,57
10.12.2001 09:30:00;  2,08
05.01.2002 00:00:00;  2,08
05.02.2002 03:00:00;  2,55
31.03.2002 12:30:00;  2,35
08.04.2002 23:00:00;  1,79
18.05.2002 06:30:00;  3,65
24.06.2002 22:30:00;  2,69
12.07.2002 01:30:00;  2,27
01.08.2002 00:00:00;  2,91
20.09.2002 09:00:00;  5,64
08.10.2002 23:30:00;  7,29
13.11.2002 02:30:00;  6,94
02.12.2002 07:00:00;  8,38
12.01.2003 13:30:00;  6,62
15.02.2003 12:00:00;  4,17
23.03.2003 23:45:00;  7,57
23.04.2003 18:30:00;  6,32
26.05.2003 12:45:00;  4,17
13.06.2003 16:00:00;  3,39
21.07.2003 20:45:00;  3,01
14.08.2003 12:30:00;  2,07
06.09.2003 19:15:00;  3,53
03.10.2003 22:15:00;  3,39
25.11.2003 10:45:00;  5,99
25.12.2003 13:15:00;  4,73
23.01.2004 12:00:00;  4,73
25.02.2004 16:30:00;  5,02
01.03.2004 12:45:00;  5,02
30.04.2004 23:59:55;  13,2
22.05.2004 04:30:40;  9,60
10.06.2004 07:54:55;  14,7
31.07.2004 21:30:00;  10,9
19.08.2004 20:00:00;  6,66
23.09.2004 22:00:00;  4,45
09.10.2004 04:30:00;  5,62
30.11.2004 20:15:00;  6,99
21.12.2004 11:45:00;  4,21
30.01.2005 14:00:00;  3,90
05.02.2005 12:30:00;  3,65
01.03.2005 11:45:00;  3,39
07.04.2005 05:15:00;  10,6
31.05.2005 11:00:00;  4,49
21.06.2005 11:15:00;  2,43
01.07.2005 05:32:40;  4,20
11.08.2005 16:00:00;  7,37
16.09.2005 00:15:00;  10,5
31.10.2005 08:30:00;  10,9
20.11.2005 19:45:00;  7,73
31.12.2005 13:15:00;  6,66
17.01.2006 12:54:30;  5,95
12.02.2006 10:45:00;  5,02
03.03.2006 11:15:00;  10,5
10.04.2006 15:45:00;  16,9
18.05.2006 08:00:00;  13,1
27.06.2006 20:15:00;  7,37
30.07.2006 12:00:00;  4,45
01.08.2006 00:00:00;  4,45
10.09.2006 04:00:00;  3,90
30.10.2006 12:15:00;  5,02
17.11.2006 21:30:00;  4,17
15.12.2006 21:00:00;  4,17
17.01.2007 20:30:00;  3,90
25.02.2007 00:45:00;  5,64
05.03.2007 08:15:00;  5,33
29.04.2007 12:15:00;  5,95
02.05.2007 03:30:00;  5,63
26.06.2007 04:30:00;  5,33
24.07.2007 11:45:00;  4,46
07.08.2007 22:15:00;  4,46
17.09.2007 02:45:00;  6,60
16.10.2007 15:45:00;  6,94
16.11.2007 05:30:00;  7,65
31.12.2007 05:30:00;  5,64
09.01.2008 09:00:00;  5,33
18.02.2008 05:30:00;  3,90
01.03.2008 00:00:00;  5,02
30.04.2008 21:15:00;  5,95
31.05.2008 09:15:00;  4,45
02.06.2008 18:45:00;  4,17
13.07.2008 00:30:00;  7,87
14.08.2008 02:15:00;  6,60
11.09.2008 21:00:00;  5,63
27.10.2008 02:00:00;  5,19
27.11.2008 22:00:00;  5,33
10.12.2008 06:30:00;  8,80
11.01.2009 10:30:00;  5,95
25.02.2009 18:45:00;  11,5
27.03.2009 15:30:00;  10,2
28.04.2009 05:15:00;  12,2
12.05.2009 13:30:00;  11,5
16.06.2009 13:00:00;  8,14
28.07.2009 00:15:00;  11,4
03.08.2009 03:30:00;  10,9
04.09.2009 03:30:00;  11,5
30.10.2009 18:15:00;  9,74
02.11.2009 12:30:00;  9,74
18.12.2009 08:30:00;  7,87
27.01.2010 12:30:00;  5,63
01.02.2010 12:30:00;  6,63
29.03.2010 20:45:00;  12,7
26.04.2010 13:00:00;  9,25
26.05.2010 05:00:00;  7,71
13.06.2010 09:45:00;  5,31
23.07.2010 02:30:00;  4,40
03.08.2010 10:00:00;  4,40
15.09.2010 22:30:00;  8,08
17.10.2010 07:20:00;  10,7
16.11.2010 10:50:00;  11,0
17.12.2010 06:45:00;  12,4
31.01.2011 21:45:00;  8,42
24.02.2011 14:00:00;  5,32
08.03.2011 17:00:00;  5,32
24.04.2011 03:00:00;  5,96
26.05.2011 05:30:00;  5,00
30.06.2011 01:30:00;  6,27
22.07.2011 01:30:00;  4,45
27.08.2011 17:00:00;  4,75
11.09.2011 13:45:00;  4,18
04.10.2011 00:15:00;  4,75
28.11.2011 23:30:00;  5,02
31.12.2011 17:30:00;  4,42
16.01.2012 12:45:00;  3,13
03.02.2012 09:45:00;  2,25
28.03.2012 23:15:00;  3,12
05.04.2012 14:45:00;  2,66
12.05.2012 01:30:00;  2,45
25.06.2012 06:15:00;  5,28
09.07.2012 22:00:00;  4,35
25.08.2012 14:00:00;  5,95
12.09.2012 07:15:00;  7,84
15.10.2012 04:00:50;  9,31
28.11.2012 11:45:00;  12,8
12.12.2012 04:14:40;  9,41
12.01.2013 15:45:00;  8,44
11.02.2013 13:15:00;  12,7
28.03.2013 16:15:00;  22,3
30.04.2013 23:30:00;  22,6
29.05.2013 20:30:00;  10,7
29.06.2013 01:15:00;  7,25
30.07.2013 02:15:00;  3,34
