Messstelle:                ;Feistritz am Wechsel (Summenpegel)
06.09.1995 18:45:00; 0,500
23.10.1995 14:30:00; 0,237
18.11.1995 13:15:00; 0,268
09.12.1995 05:15:00; 0,390
31.01.1996 06:30:00; 0,441
10.02.1996 04:45:00; 0,268
04.03.1996 23:30:00; 0,268
04.04.1996 18:00:00; 0,565
12.05.1996 16:45:00;  2,71
26.06.1996 08:30:00; 0,863
28.07.1996 18:45:00; 0,863
11.08.1996 17:45:00;  1,04
02.09.1996 13:00:00;  1,04
13.10.1996 07:15:00;  1,13
14.11.1996 13:30:00;  1,04
26.12.1996 17:00:00; 0,500
27.01.1997 06:01:55; 0,590
03.02.1997 05:54:15; 0,455
14.03.1997 03:44:40; 0,375
15.04.1997 11:39:40;  1,18
21.05.1997 21:57:20; 0,957
11.06.1997 21:20:55; 0,965
08.07.1997 14:41:15; 0,553
09.08.1997 09:33:15; 0,836
15.09.1997 12:52:20; 0,304
13.10.1997 13:26:20; 0,288
05.11.1997 13:52:40; 0,344
18.12.1997 13:50:05; 0,530
31.01.1998 23:59:55; 0,320
01.02.1998 05:33:00; 0,228
12.03.1998 05:33:15; 0,344
16.04.1998 13:44:25; 0,610
27.05.1998 14:10:25; 0,496
03.06.1998 18:03:05; 0,441
01.07.1998 18:55:40;  1,38
27.08.1998 11:25:50; 0,834
30.09.1998 08:24:05; 0,753
01.10.1998 12:43:05; 0,448
02.11.1998 14:56:40; 0,512
03.12.1998 09:57:20; 0,474
31.01.1999 07:48:10; 0,500
16.02.1999 03:58:35; 0,393
05.03.1999 13:33:10; 0,376
27.04.1999 15:54:05; 0,363
10.05.1999 08:24:05; 0,528
08.06.1999 13:06:40; 0,531
18.07.1999 15:42:50; 0,799
15.08.1999 05:44:20;  1,59
29.09.1999 13:37:50;  1,66
25.10.1999 07:47:10; 0,390
05.11.1999 16:47:50; 0,226
29.12.1999 01:02:50; 0,278
12.01.2000 09:24:05; 0,422
28.02.2000 13:45:20; 0,653
09.03.2000 15:15:25; 0,490
21.04.2000 13:35:15; 0,967
25.05.2000 16:16:20; 0,502
21.06.2000 14:24:05; 0,419
10.07.2000 14:12:00; 0,257
02.08.2000 20:59:30; 0,385
24.09.2000 16:22:25; 0,404
13.10.2000 12:41:55; 0,380
02.11.2000 08:29:05; 0,486
11.12.2000 07:33:40; 0,500
16.01.2001 08:49:10; 0,690
25.02.2001 10:18:45; 0,577
04.03.2001 15:25:50; 0,379
01.04.2001 15:40:10; 0,466
13.05.2001 16:45:15; 0,362
18.06.2001 16:08:40; 0,270
31.07.2001 19:24:40; 0,306
09.08.2001 07:01:25; 0,195
10.09.2001 13:43:35; 0,166
31.10.2001 14:18:55; 0,247
12.11.2001 13:42:25; 0,209
24.12.2001 10:36:00; 0,209
04.01.2002 11:50:05; 0,120
07.02.2002 15:24:35; 0,215
13.03.2002 08:25:35; 0,384
14.04.2002 15:57:05; 0,391
08.05.2002 15:26:00; 0,321
06.06.2002 08:41:45; 0,283
31.07.2002 16:10:00; 0,564
05.08.2002 23:16:50; 0,533
09.09.2002 15:57:10; 0,609
09.10.2002 14:34:55; 0,708
21.11.2002 10:22:05; 0,700
01.12.2002 00:00:00;  1,15
28.01.2003 02:46:15; 0,624
02.02.2003 03:41:15; 0,687
17.03.2003 15:49:10; 0,732
30.04.2003 23:59:55; 0,753
11.05.2003 01:24:10; 0,596
12.06.2003 07:16:25; 0,738
22.07.2003 23:21:25; 0,530
13.08.2003 20:41:25; 0,415
28.09.2003 09:31:15; 0,402
22.10.2003 07:39:15; 0,390
01.11.2003 00:00:00; 0,500
25.12.2003 16:17:25; 0,410
24.01.2004 21:10:45; 0,495
02.02.2004 18:48:00; 0,646
06.03.2004 12:35:55; 0,684
30.04.2004 21:39:10; 0,985
01.05.2004 15:39:10; 0,887
19.06.2004 06:49:10;  2,02
29.07.2004 03:56:05; 0,453
06.08.2004 07:20:10; 0,237
23.09.2004 09:43:40; 0,300
31.10.2004 09:35:45; 0,257
19.11.2004 14:16:35; 0,241
26.12.2004 13:19:50; 0,337
28.01.2005 05:19:20; 0,286
28.02.2005 06:27:00; 0,309
11.03.2005 05:48:50; 0,243
04.04.2005 04:11:20;  1,12
30.05.2005 10:01:55; 0,518
23.06.2005 08:07:00; 0,563
30.07.2005 12:56:30; 0,555
19.08.2005 09:32:00; 0,503
13.09.2005 17:10:05; 0,704
26.10.2005 14:28:20; 0,596
20.11.2005 14:23:20; 0,599
07.12.2005 14:33:20; 0,811
14.01.2006 23:59:55; 0,215
07.02.2006 04:17:00; 0,469
20.03.2006 16:07:00; 0,945
25.04.2006 13:43:00; 0,834
31.05.2006 14:28:00; 0,521
01.06.2006 09:38:00; 0,456
15.07.2006 19:18:00; 0,517
30.08.2006 17:35:00; 0,434
05.09.2006 17:05:00; 0,434
23.10.2006 09:51:35; 0,270
01.11.2006 03:28:45; 0,275
16.12.2006 03:37:40; 0,270
24.01.2007 13:52:30; 0,281
14.02.2007 11:17:30; 0,511
08.03.2007 15:07:30; 0,407
29.04.2007 10:03:00; 0,576
17.05.2007 13:43:05; 0,352
23.06.2007 06:53:05; 0,325
18.07.2007 12:28:40; 0,235
14.08.2007 14:03:30; 0,232
02.09.2007 08:43:30; 0,400
14.10.2007 15:13:30; 0,314
07.11.2007 08:08:30; 0,603
31.12.2007 09:52:30;  1,11
30.01.2008 15:27:35; 0,485
18.02.2008 09:52:35; 0,400
13.03.2008 08:02:35; 0,410
22.04.2008 06:56:45; 0,453
30.05.2008 17:08:30; 0,551
24.06.2008 16:08:30; 0,493
11.07.2008 12:29:25; 0,583
04.08.2008 15:54:25;  1,08
14.09.2008 07:34:25; 0,612
17.10.2008 13:57:35; 0,437
30.11.2008 09:22:05; 0,464
11.12.2008 06:55:15; 0,646
28.01.2009 04:24:15; 0,438
04.02.2009 13:17:30; 0,438
20.03.2009 05:11:10; 0,767
27.04.2009 14:41:40;  1,29
13.05.2009 06:26:15;  1,02
06.06.2009 18:44:40; 0,532
29.07.2009 18:34:05;  1,95
27.08.2009 19:44:05;  1,39
30.09.2009 23:59:55;  1,19
30.10.2009 04:06:45; 0,931
30.11.2009 23:59:55; 0,687
01.12.2009 07:21:45; 0,671
27.01.2010 11:21:15; 0,602
05.02.2010 11:41:15; 0,611
08.03.2010 01:56:15; 0,913
26.04.2010 14:16:00; 0,930
01.05.2010 00:00:00;  1,03
13.06.2010 23:21:00;  1,30
27.07.2010 09:04:55; 0,838
11.08.2010 15:54:55; 0,689
13.09.2010 09:34:55; 0,685
29.10.2010 16:07:10; 0,381
09.11.2010 08:37:05; 0,506
23.12.2010 10:22:05; 0,645
08.01.2011 12:07:05; 0,421
22.02.2011 01:53:10; 0,339
10.03.2011 10:23:10; 0,269
23.04.2011 06:51:00; 0,371
03.05.2011 13:41:00; 0,301
22.06.2011 12:01:05; 0,340
14.07.2011 13:01:00; 0,339
03.08.2011 15:53:15; 0,385
28.09.2011 02:47:50; 0,246
19.10.2011 14:22:40; 0,261
11.11.2011 13:42:05; 0,278
21.12.2011 14:33:40; 0,301
31.01.2012 21:43:25; 0,295
04.02.2012 21:23:25; 0,185
14.03.2012 17:45:00; 0,547
30.04.2012 17:30:00; 0,517
23.05.2012 14:08:15; 0,241
25.06.2012 19:35:00; 0,272
03.07.2012 18:45:00; 0,272
27.08.2012 06:45:00; 0,301
29.09.2012 09:35:00; 0,275
07.10.2012 21:00:00; 0,285
03.11.2012 10:00:00; 0,314
12.12.2012 21:00:00; 0,894
27.01.2013 01:30:00; 0,779
19.02.2013 08:50:00; 0,896
02.03.2013 12:05:00;  1,32
04.04.2013 10:40:00;  1,56
29.05.2013 15:15:00;  2,63
30.06.2013 19:00:00;  1,84
30.07.2013 06:15:00; 0,530
04.08.2013 16:15:00; 0,405
01.09.2013 05:30:00; 0,487
04.10.2013 09:00:00; 0,321
11.11.2013 08:45:00; 0,650
25.12.2013 08:25:00;  1,04
17.01.2014 07:55:00; 0,694
06.02.2014 09:40:00; 0,325
21.03.2014 10:20:00; 0,376
17.04.2014 12:25:00; 0,350
04.05.2014 09:05:00; 0,403
03.06.2014 01:10:00; 0,513
15.07.2014 06:50:00; 0,753
09.08.2014 14:30:00;  1,44
30.09.2014 06:40:00;  2,03
30.10.2014 08:05:00; 0,611
04.11.2014 13:45:00; 0,438
03.12.2014 10:55:00; 0,444
04.01.2015 21:40:00; 0,427
22.02.2015 16:00:00; 0,369
05.03.2015 08:00:00; 0,385
10.04.2015 07:05:00; 0,343
15.05.2015 07:50:00; 0,396
15.06.2015 11:50:00; 0,362
08.07.2015 07:30:00; 0,344
30.08.2015 07:50:00; 0,360
01.09.2015 10:40:00; 0,279
01.10.2015 14:19:15; 0,230
30.11.2015 09:45:00; 0,251
22.12.2015 14:35:00; 0,376
22.01.2016 07:55:00; 0,294
22.02.2016 09:05:00; 0,312
30.03.2016 13:25:00; 0,300
25.04.2016 13:05:00; 0,345
23.05.2016 19:25:00; 0,378
29.06.2016 01:05:00;  1,08
09.07.2016 06:20:00; 0,483
08.08.2016 14:10:00; 0,987
25.09.2016 13:05:00; 0,647
18.10.2016 23:50:00; 0,332
02.11.2016 14:10:00; 0,351
28.12.2016 18:30:00; 0,332
27.01.2017 03:46:25; 0,132
16.02.2017 14:40:00; 0,212
24.03.2017 10:10:00; 0,310
21.04.2017 09:45:00; 0,212
29.05.2017 03:00:10; 0,199
27.06.2017 07:25:00; 0,199
03.07.2017 07:50:00; 0,183
02.08.2017 20:35:00; 0,180
12.09.2017 05:55:00; 0,329
21.10.2017 08:20:00; 0,152
13.11.2017 10:18:45; 0,199
27.12.2017 09:30:00; 0,273
17.01.2018 14:20:00; 0,362
26.02.2018 06:00:00; 0,217
01.03.2018 00:00:00; 0,300
17.04.2018 12:55:00; 0,407
09.05.2018 14:10:00; 0,226
01.06.2018 09:25:00; 0,650
10.07.2018 09:55:00; 0,624
10.08.2018 11:45:00; 0,343
01.09.2018 03:00:00; 0,397
17.10.2018 14:05:00; 0,192
05.11.2018 09:35:00; 0,194
03.12.2018 13:40:00; 0,325
28.01.2019 15:05:00; 0,263
22.02.2019 09:55:00; 0,313
28.03.2019 14:30:00; 0,170
15.04.2019 07:20:00; 0,463
04.05.2019 08:55:00; 0,219
03.06.2019 10:35:00; 0,231
23.07.2019 09:30:00; 0,169
19.08.2019 14:20:00; 0,067
18.09.2019 08:45:00; 0,187
01.10.2019 11:55:00; 0,161
04.11.2019 11:20:00; 0,143
17.12.2019 13:30:00; 0,124
14.01.2020 09:05:00; 0,171
24.02.2020 04:45:00; 0,152
30.03.2020 14:50:00; 0,148
06.04.2020 03:20:00; 0,120
04.05.2020 15:05:00; 0,169
17.06.2020 14:55:00; 0,123
09.07.2020 07:15:00; 0,236
24.08.2020 04:20:00; 0,196
17.09.2020 08:30:00; 0,360
31.10.2020 10:50:00; 0,918
20.11.2020 00:55:00; 0,290
02.12.2020 14:50:00; 0,273
04.01.2021 19:30:00; 0,334
02.02.2021 13:10:00; 0,481
05.03.2021 08:15:00; 0,310
28.04.2021 14:00:00; 0,315
13.05.2021 05:00:00; 0,203
29.06.2021 07:25:00; 0,127
26.07.2021 09:45:00; 0,135
06.08.2021 10:05:00; 0,121
15.09.2021 08:20:00; 0,085
04.10.2021 09:40:00; 0,082
28.11.2021 22:35:00; 0,195
27.12.2021 09:15:00; 0,189
