Messstelle:                ;Bruckhäusl
03.10.1956 12:00:00;  5,02
23.11.1956 12:00:00;  3,84
31.12.1956 12:00:00;  3,46
03.01.1957 12:00:00;  3,09
20.02.1957 12:00:00;  3,28
04.03.1957 12:00:00;  5,02
16.04.1957 12:00:00;  8,80
09.05.1957 12:00:00;  8,80
30.06.1957 12:00:00;  9,45
08.07.1957 12:00:00;  6,35
07.08.1957 12:00:00;  7,83
21.09.1957 12:00:00;  7,83
30.10.1957 12:00:00;  4,55
24.11.1957 12:00:00;  2,74
23.12.1957 12:00:00;  1,82
29.01.1958 12:00:00;  1,54
03.02.1958 12:00:00;  1,82
25.03.1958 12:00:00;  2,10
13.04.1958 12:00:00;  5,82
31.05.1958 12:00:00;  8,80
07.06.1958 12:00:00;  6,35
16.07.1958 12:00:00;  6,35
30.08.1958 12:00:00;  5,82
30.09.1958 12:00:00;  3,84
11.10.1958 12:00:00;  3,84
16.11.1958 12:00:00;  3,84
08.12.1958 12:00:00;  2,74
31.01.1959 12:00:00;  2,90
13.02.1959 12:00:00;  2,42
02.03.1959 12:00:00;  3,84
01.04.1959 12:00:00;  6,35
28.05.1959 12:00:00;  9,45
07.06.1959 12:00:00;  10,2
31.07.1959 12:00:00;  12,2
31.08.1959 12:00:00;  7,50
26.09.1959 12:00:00;  3,60
19.10.1959 12:00:00;  2,42
26.11.1959 12:00:00;  2,42
11.12.1959 12:00:00;  1,70
24.01.1960 12:00:00; 0,900
21.02.1960 12:00:00;  2,90
26.03.1960 12:00:00;  4,20
30.04.1960 12:00:00;  5,32
08.05.1960 12:00:00;  6,10
23.06.1960 12:00:00;  7,10
06.07.1960 12:00:00;  7,70
28.08.1960 12:00:00;  7,70
29.09.1960 12:00:00;  7,90
28.10.1960 12:00:00;  6,30
29.11.1960 12:00:00;  5,72
31.12.1960 12:00:00;  3,23
27.01.1961 12:00:00;  2,12
06.02.1961 12:00:00;  2,60
06.03.1961 12:00:00;  5,72
07.04.1961 12:00:00;  7,90
03.05.1961 12:00:00;  9,70
30.06.1961 12:00:00;  9,70
11.07.1961 12:00:00;  6,30
09.08.1961 12:00:00;  6,30
30.09.1961 12:00:00;  3,23
17.10.1961 12:00:00;  2,60
23.11.1961 12:00:00;  2,81
31.12.1961 12:00:00;  2,70
21.01.1962 12:00:00;  1,80
02.02.1962 12:00:00;  1,80
28.03.1962 12:00:00;  2,92
09.04.1962 12:00:00;  5,20
03.05.1962 12:00:00;  10,0
09.06.1962 12:00:00;  10,8
26.07.1962 12:00:00;  10,0
29.08.1962 12:00:00;  5,20
15.09.1962 12:00:00;  3,80
27.10.1962 12:00:00;  2,70
30.11.1962 12:00:00;  1,98
31.12.1962 12:00:00;  1,47
31.01.1963 12:00:00;  1,18
05.02.1963 12:00:00;  1,18
01.03.1963 12:00:00;  2,55
02.04.1963 12:00:00;  6,74
07.05.1963 12:00:00;  9,95
30.06.1963 12:00:00;  11,5
31.07.1963 12:00:00;  6,40
04.08.1963 12:00:00;  4,90
23.09.1963 12:00:00;  6,40
25.10.1963 12:00:00;  2,92
09.11.1963 12:00:00;  2,92
26.12.1963 12:00:00;  2,70
20.01.1964 12:00:00;  1,98
24.02.1964 12:00:00;  1,58
19.03.1964 12:00:00;  2,70
01.04.1964 12:00:00;  4,36
03.05.1964 12:00:00;  10,0
06.06.1964 12:00:00;  8,10
31.07.1964 12:00:00;  5,20
07.08.1964 12:00:00;  5,20
16.09.1964 12:00:00;  4,90
04.10.1964 12:00:00;  3,60
11.11.1964 12:00:00;  4,38
30.12.1964 12:00:00;  3,60
02.01.1965 12:00:00;  3,60
24.02.1965 12:00:00;  4,12
09.03.1965 12:00:00;  3,60
30.04.1965 12:00:00;  11,2
01.05.1965 12:00:00;  11,6
04.06.1965 12:00:00;  20,7
24.07.1965 12:00:00;  12,8
21.08.1965 12:00:00;  7,26
26.09.1965 12:00:00;  6,94
28.10.1965 12:00:00;  2,40
03.11.1965 12:00:00;  2,25
04.12.1965 12:00:00;  2,76
23.01.1966 12:00:00;  2,25
05.02.1966 12:00:00;  3,60
21.03.1966 12:00:00;  4,38
02.04.1966 12:00:00;  4,38
12.05.1966 12:00:00;  17,6
05.06.1966 12:00:00;  14,4
05.07.1966 12:00:00;  16,7
14.08.1966 12:00:00;  12,0
30.09.1966 12:00:00;  6,40
26.10.1966 12:00:00;  3,39
28.11.1966 12:00:00;  4,38
16.12.1966 12:00:00;  4,38
13.01.1967 12:00:00;  2,55
02.02.1967 12:00:00;  4,64
25.03.1967 12:00:00;  6,22
09.04.1967 12:00:00;  6,90
05.05.1967 12:00:00;  12,9
05.06.1967 12:00:00;  19,2
20.07.1967 12:00:00;  8,42
24.08.1967 12:00:00;  8,04
30.09.1967 12:00:00;  4,90
31.10.1967 12:00:00;  3,60
29.11.1967 12:00:00;  3,18
21.12.1967 12:00:00;  2,25
04.01.1968 12:00:00;  2,25
23.02.1968 12:00:00;  2,25
14.03.1968 12:00:00;  2,55
13.04.1968 12:00:00;  10,5
10.05.1968 12:00:00;  11,2
27.06.1968 12:00:00;  8,10
09.07.1968 12:00:00;  4,12
29.08.1968 12:00:00;  8,10
20.09.1968 12:00:00;  5,50
31.10.1968 12:00:00;  4,38
23.11.1968 12:00:00;  2,40
27.12.1968 12:00:00;  1,26
06.01.1969 12:00:00;  1,18
17.02.1969 12:00:00;  1,52
26.03.1969 12:00:00;  1,80
03.04.1969 12:00:00;  2,16
30.05.1969 12:00:00;  9,20
30.06.1969 12:00:00;  8,84
25.07.1969 12:00:00;  5,50
31.08.1969 12:00:00;  3,30
29.09.1969 12:00:00;  4,68
20.10.1969 12:00:00;  2,90
22.11.1969 12:00:00;  3,30
31.12.1969 12:00:00;  1,50
01.01.1970 12:00:00;  1,70
15.02.1970 12:00:00;  3,90
18.03.1970 12:00:00;  4,68
30.04.1970 12:00:00;  8,40
05.05.1970 12:00:00;  8,40
01.06.1970 12:00:00;  17,5
12.07.1970 12:00:00;  9,95
06.08.1970 12:00:00;  8,10
30.09.1970 12:00:00;  7,04
19.10.1970 12:00:00;  5,20
12.11.1970 12:00:00;  6,70
27.12.1970 12:00:00;  4,16
19.01.1971 12:00:00;  3,90
08.02.1971 12:00:00;  3,30
14.03.1971 12:00:00;  3,30
01.04.1971 12:00:00;  5,80
27.05.1971 12:00:00;  9,16
28.06.1971 12:00:00;  8,40
28.07.1971 12:00:00;  6,70
21.08.1971 12:00:00;  4,68
24.09.1971 12:00:00;  4,42
31.10.1971 12:00:00;  5,50
07.11.1971 12:00:00;  4,68
20.12.1971 12:00:00;  4,42
17.01.1972 12:00:00;  3,20
16.02.1972 12:00:00;  2,84
04.03.1972 12:00:00;  3,83
01.04.1972 12:00:00;  4,25
01.05.1972 12:00:00;  7,70
15.06.1972 12:00:00;  9,63
25.07.1972 12:00:00;  9,24
31.08.1972 12:00:00;  6,00
29.09.1972 12:00:00;  3,41
22.10.1972 12:00:00;  3,41
10.11.1972 12:00:00;  4,52
26.12.1972 12:00:00;  2,48
25.01.1973 12:00:00;  1,82
16.02.1973 12:00:00;  1,66
01.03.1973 12:00:00;  1,66
21.04.1973 12:00:00;  5,06
29.05.1973 12:00:00;  16,5
17.06.1973 12:00:00;  11,5
06.07.1973 12:00:00;  8,35
24.08.1973 12:00:00;  5,58
21.09.1973 12:00:00;  5,86
15.10.1973 12:00:00;  6,70
01.11.1973 12:00:00;  6,14
03.12.1973 12:00:00;  4,42
07.01.1974 12:00:00;  4,64
28.02.1974 12:00:00;  4,42
09.03.1974 12:00:00;  4,64
23.04.1974 12:00:00;  6,14
03.05.1974 12:00:00;  8,02
09.06.1974 12:00:00;  13,9
17.07.1974 12:00:00;  10,2
17.08.1974 12:00:00;  6,70
19.09.1974 12:00:00;  6,14
31.10.1974 12:00:00;  6,00
30.11.1974 12:00:00;  4,64
01.12.1974 12:00:00;  5,86
29.01.1975 12:00:00;  5,58
17.02.1975 12:00:00;  4,20
01.03.1975 12:00:00;  5,08
02.04.1975 12:00:00;  5,58
05.05.1975 12:00:00;  13,4
08.06.1975 12:00:00;  14,9
31.07.1975 12:00:00;  12,1
10.08.1975 12:00:00;  7,70
30.09.1975 12:00:00;  4,68
31.10.1975 12:00:00;  3,52
12.11.1975 12:00:00;  2,27
12.12.1975 12:00:00;  2,14
05.01.1976 07:30:00;  2,20
18.02.1976 13:00:00;  2,12
11.03.1976 10:00:00;  2,16
14.04.1976 08:30:00;  5,19
01.05.1976 09:00:00;  6,21
30.06.1976 18:00:00;  5,64
20.07.1976 12:00:00;  3,48
09.08.1976 14:00:00;  7,98
29.09.1976 08:00:00;  6,30
30.10.1976 06:00:00;  3,20
13.11.1976 07:00:00;  3,02
30.12.1976 13:00:00;  2,79
14.01.1977 07:00:00;  2,30
01.02.1977 09:30:00;  3,09
02.03.1977 09:30:00;  5,22
17.04.1977 08:30:00;  7,51
31.05.1977 23:59:55;  15,8
05.06.1977 11:30:00;  12,3
13.07.1977 13:30:00;  9,76
08.08.1977 15:00:00;  11,3
30.09.1977 08:00:00;  5,55
28.10.1977 07:30:00;  4,66
30.11.1977 07:00:00;  4,19
21.12.1977 09:00:00;  3,80
28.01.1978 07:30:00;  3,48
16.02.1978 07:30:00;  2,86
11.03.1978 08:30:00;  5,78
18.04.1978 08:00:00;  8,73
03.05.1978 13:00:00;  12,7
22.06.1978 15:30:00;  9,41
31.07.1978 21:30:00;  9,26
16.08.1978 19:30:00;  6,33
05.09.1978 18:30:00;  4,94
22.10.1978 15:30:00;  5,94
29.11.1978 08:00:00;  2,65
21.12.1978 07:30:00;  2,47
04.01.1979 07:30:00;  1,74
27.02.1979 10:00:00;  1,18
02.03.1979 08:00:00;  2,15
05.04.1979 09:30:00;  5,19
04.05.1979 09:30:00;  9,10
09.06.1979 13:30:00;  12,3
31.07.1979 07:00:00;  10,1
16.08.1979 15:30:00;  8,72
20.09.1979 18:00:00;  6,03
28.10.1979 09:00:00;  4,55
01.11.1979 09:00:00;  4,40
27.12.1979 09:00:00;  4,19
26.01.1980 09:00:00;  2,77
22.02.1980 08:30:00;  3,56
05.03.1980 07:30:00;  2,91
12.04.1980 07:30:00;  6,33
19.05.1980 06:00:00;  11,7
03.06.1980 15:30:00;  17,1
29.07.1980 17:30:00;  10,9
28.08.1980 18:00:00;  6,80
22.09.1980 07:00:00;  4,93
07.10.1980 07:00:00;  4,37
26.11.1980 08:30:00;  4,90
29.12.1980 09:00:00;  3,43
28.01.1981 07:30:00;  3,25
23.02.1981 21:30:00;  2,39
01.03.1981 05:30:00;  2,39
30.04.1981 11:30:00;  8,08
03.05.1981 12:00:00;  8,29
17.06.1981 16:00:00;  7,64
11.07.1981 09:30:00;  4,87
20.08.1981 14:30:00;  6,87
12.09.1981 16:00:00;  6,90
10.10.1981 08:30:00;  6,98
17.11.1981 09:30:00;  6,66
27.12.1981 11:00:00;  4,96
26.01.1982 07:30:00;  4,94
22.02.1982 10:00:00;  4,86
15.03.1982 09:30:00;  4,96
26.04.1982 06:30:00;  7,71
02.05.1982 06:30:00;  7,71
22.06.1982 15:00:00;  13,9
22.07.1982 14:00:00;  7,60
27.08.1982 12:30:00;  7,31
18.09.1982 05:30:00;  5,49
30.10.1982 07:30:00;  5,39
04.11.1982 17:30:00;  4,81
06.12.1982 09:00:00;  4,60
15.01.1983 10:30:00;  4,40
23.02.1983 10:00:00;  3,66
04.03.1983 09:30:00;  4,15
06.04.1983 07:00:00;  6,19
31.05.1983 13:00:00;  11,9
13.06.1983 13:00:00;  11,2
31.07.1983 17:00:00;  5,62
01.08.1983 21:30:00;  5,79
29.09.1983 15:00:00;  6,87
29.10.1983 17:30:00;  3,66
22.11.1983 09:00:00;  2,59
13.12.1983 14:00:00;  2,59
30.01.1984 10:00:00;  3,96
19.02.1984 09:30:00;  3,92
10.03.1984 11:45:00;  3,88
05.04.1984 08:15:00;  6,58
01.05.1984 13:45:00;  9,08
20.06.1984 13:15:00;  13,5
23.07.1984 16:15:00;  8,80
23.08.1984 22:30:00;  7,73
03.09.1984 16:30:00;  8,19
31.10.1984 23:59:55;  5,11
30.11.1984 07:45:00;  3,73
31.12.1984 23:59:55;  3,30
20.01.1985 00:00:00;  3,09
23.02.1985 09:45:00;  3,08
16.03.1985 05:15:00;  3,16
01.04.1985 11:30:00;  5,62
04.05.1985 07:00:00;  7,86
06.06.1985 13:45:00;  11,6
29.07.1985 17:30:00;  8,21
25.08.1985 02:15:00;  9,34
30.09.1985 22:15:00;  5,80
30.10.1985 06:00:00;  3,76
28.11.1985 08:00:00;  3,02
01.12.1985 00:00:00;  3,83
05.01.1986 09:00:00;  3,48
27.02.1986 07:00:00;  2,75
01.03.1986 08:30:00;  3,39
14.04.1986 06:30:00;  8,86
10.05.1986 14:30:00;  13,2
30.06.1986 21:45:00;  8,35
23.07.1986 12:15:00;  6,20
08.08.1986 04:45:00;  6,09
30.09.1986 23:59:55;  5,83
20.10.1986 17:30:00;  4,12
30.11.1986 06:45:00;  3,28
13.12.1986 10:45:00;  2,37
30.01.1987 09:30:00;  3,12
06.02.1987 12:15:00;  3,04
21.03.1987 09:00:00;  4,28
03.04.1987 07:30:00;  6,96
24.05.1987 16:15:00;  14,8
23.06.1987 13:30:00;  15,9
23.07.1987 16:00:00;  8,35
23.08.1987 16:15:00;  8,86
23.09.1987 15:45:00;  5,51
29.10.1987 14:30:00;  4,45
10.11.1987 04:15:00;  3,83
13.12.1987 13:45:00;  3,74
10.01.1988 11:30:00;  3,16
14.02.1988 08:30:00;  2,34
10.03.1988 08:00:00;  2,09
01.04.1988 05:45:00;  8,95
31.05.1988 15:45:00;  15,0
30.06.1988 11:30:00;  9,49
29.07.1988 15:00:00;  6,62
19.08.1988 13:45:00;  6,09
30.09.1988 16:45:00;  6,90
29.10.1988 07:00:00;  4,89
28.11.1988 22:30:00;  4,45
31.12.1988 23:59:55;  4,77
27.01.1989 09:45:00;  3,24
16.02.1989 19:00:00;  3,51
03.03.1989 07:00:00;  4,54
30.04.1989 23:59:55;  8,02
01.05.1989 11:00:00;  7,65
18.06.1989 14:15:00;  11,1
30.07.1989 16:45:00;  11,5
27.08.1989 09:30:00;  7,80
25.09.1989 17:30:00;  6,92
28.10.1989 12:00:00;  5,49
24.11.1989 07:00:00;  3,63
13.12.1989 08:15:00;  3,65
23.01.1990 13:45:00;  3,54
02.02.1990 13:00:00;  3,67
06.03.1990 07:15:00;  6,33
07.04.1990 06:30:00;  6,84
31.05.1990 17:45:00;  8,95
01.06.1990 14:45:00;  8,70
29.07.1990 19:30:00;  7,48
12.08.1990 19:15:00;  5,97
03.09.1990 03:45:00;  6,40
25.10.1990 08:15:00;  6,02
09.11.1990 07:45:00;  5,54
18.12.1990 06:45:00;  4,32
28.01.1991 13:45:00;  3,54
22.02.1991 16:45:00;  3,04
01.03.1991 02:30:00;  4,37
23.04.1991 16:45:00;  5,09
01.05.1991 14:45:00;  6,49
06.06.1991 10:00:00;  13,5
23.07.1991 16:30:00;  10,0
31.08.1991 23:59:55;  6,37
27.09.1991 06:00:00;  4,44
28.10.1991 07:30:00;  3,12
04.11.1991 07:30:00;  2,83
10.12.1991 07:15:00;  2,32
22.01.1992 08:00:00;  3,50
03.02.1992 11:15:00;  3,83
01.03.1992 18:30:00;  4,99
09.04.1992 05:00:00;  9,22
30.05.1992 11:15:00;  17,4
30.06.1992 23:59:55;  8,27
30.07.1992 20:00:00;  6,98
31.08.1992 23:59:55;  4,81
29.09.1992 06:45:00;  4,53
14.10.1992 15:00:00;  3,51
14.11.1992 07:15:00;  5,33
29.12.1992 03:45:00;  3,92
02.01.1993 12:00:00;  3,49
16.02.1993 06:45:00;  3,24
09.03.1993 08:00:00;  3,00
01.04.1993 07:30:00;  6,29
30.05.1993 13:15:00;  10,6
02.06.1993 12:00:00;  10,5
05.07.1993 13:30:00;  9,85
22.08.1993 20:45:00;  6,19
25.09.1993 16:30:00;  7,97
13.10.1993 06:30:00;  5,77
30.11.1993 09:15:00;  4,73
01.12.1993 03:45:00;  4,60
22.01.1994 12:45:00; 0,409
15.02.1994 13:15:00; 0,441
01.03.1994 04:15:00;  5,39
12.04.1994 12:30:00;  7,64
22.05.1994 13:30:00;  12,2
19.06.1994 13:45:00;  9,13
31.07.1994 13:30:00; 0,393
06.08.1994 01:00:00; 0,086
29.09.1994 13:15:00;  1,78
30.10.1994 13:45:00; 0,412
29.11.1994 04:15:00; 0,685
26.12.1994 06:30:00;  3,33
09.01.1995 13:00:00; 0,252
13.02.1995 08:30:00;  1,39
08.03.1995 08:00:00;  4,40
01.04.1995 09:15:00;  7,02
22.05.1995 06:15:00;  11,7
04.06.1995 12:15:00;  16,8
27.07.1995 18:15:00;  6,24
06.08.1995 09:15:00;  2,55
24.09.1995 15:00:00;  5,05
29.10.1995 08:00:00; 0,117
21.11.1995 12:30:00; 0,209
15.12.1995 12:15:00; 0,095
05.01.1996 13:00:00; 0,155
24.02.1996 13:15:00; 0,044
13.03.1996 11:30:00; 0,041
04.04.1996 16:30:00;  3,10
05.05.1996 13:15:00;  5,77
20.06.1996 09:30:00;  2,40
28.07.1996 07:45:00;  3,55
10.08.1996 20:00:00;  4,85
05.09.1996 03:00:00;  7,02
13.10.1996 13:30:00;  7,43
10.11.1996 14:15:00;  4,45
31.12.1996 23:59:55;  4,34
13.01.1997 13:00:00; 0,083
13.02.1997 15:45:00; 0,180
31.03.1997 14:15:00;  2,84
21.04.1997 06:45:00;  3,75
01.05.1997 23:30:00;  8,86
01.06.1997 14:00:00;  5,93
04.07.1997 21:30:00;  5,93
17.08.1997 09:00:00;  1,95
24.09.1997 06:30:05; 0,109
05.10.1997 15:30:05; 0,051
02.11.1997 16:00:00; 0,051
07.12.1997 14:30:00; 0,069
28.01.1998 13:45:00; 0,060
05.02.1998 12:45:00; 0,043
13.03.1998 07:00:00;  2,43
19.04.1998 14:15:00;  2,80
24.05.1998 11:45:00;  5,38
21.06.1998 12:30:00;  6,59
22.07.1998 18:30:00;  7,12
29.08.1998 18:00:00;  4,05
03.09.1998 01:15:00;  6,82
11.10.1998 13:30:00;  2,49
09.11.1998 04:15:00;  1,88
09.12.1998 06:15:00; 0,148
31.01.1999 15:00:00; 0,152
18.02.1999 10:30:00; 0,148
21.03.1999 04:15:00;  5,29
20.04.1999 06:30:00;  8,02
30.05.1999 13:15:00;  24,1
13.06.1999 14:15:00;  11,1
31.07.1999 23:00:00;  6,05
06.08.1999 02:45:00;  3,75
26.09.1999 06:30:00; 0,206
31.10.1999 16:00:05; 0,189
21.11.1999 13:00:00; 0,165
02.12.1999 11:00:00; 0,233
20.01.2000 13:00:00; 0,148
20.02.2000 14:45:00;  1,58
05.03.2000 11:00:00; 0,915
02.04.2000 13:45:00;  7,78
28.05.2000 12:45:00;  13,9
20.06.2000 12:00:00;  6,11
01.07.2000 17:53:00;  2,33
27.08.2000 07:26:00;  1,35
16.09.2000 02:23:00;  2,71
29.10.2000 15:36:00;  1,44
12.11.2000 02:31:00;  1,06
28.12.2000 02:32:00;  2,78
14.01.2001 13:02:05; 0,603
03.02.2001 05:12:00; 0,545
05.03.2001 11:07:00;  2,13
06.04.2001 14:44:00;  4,88
31.05.2001 07:36:00;  15,9
08.06.2001 12:04:00;  10,6
27.07.2001 06:31:00;  4,43
03.08.2001 06:43:00; 0,904
03.09.2001 07:11:00;  5,96
18.10.2001 07:45:00;  2,82
25.11.2001 17:07:00; 0,206
24.12.2001 08:10:05; 0,107
17.01.2002 13:50:00; 0,064
18.02.2002 08:32:00; 0,177
13.03.2002 13:15:00;  2,75
19.04.2002 07:27:00;  2,95
31.05.2002 06:20:00;  10,6
21.06.2002 11:20:00;  3,97
11.07.2002 14:34:00;  5,47
27.08.2002 06:38:00;  6,02
03.09.2002 14:15:20;  1,58
31.10.2002 15:40:00;  5,68
29.11.2002 07:37:00;  4,51
09.12.2002 11:54:00;  2,07
30.01.2003 15:26:00; 0,402
02.02.2003 14:47:00; 0,200
06.03.2003 09:47:00;  3,19
09.04.2003 10:36:00;  1,83
16.05.2003 06:29:00;  7,19
26.06.2003 21:51:00;  2,15
11.07.2003 08:18:00;  1,15
08.08.2003 06:50:00; 0,371
05.09.2003 06:56:00; 0,322
01.10.2003 15:10:00;  1,83
21.11.2003 08:09:00;  2,95
26.12.2003 17:07:00; 0,754
23.01.2004 11:19:00; 0,288
02.02.2004 12:46:00;  1,19
01.03.2004 08:33:00; 0,595
15.04.2004 09:35:00;  5,08
07.05.2004 08:46:00;  9,52
18.06.2004 11:36:00;  13,5
23.07.2004 09:12:00;  7,36
20.08.2004 07:11:00;  3,36
20.09.2004 08:58:00;  2,82
28.10.2004 13:30:00;  2,63
19.11.2004 12:52:00; 0,881
22.12.2004 11:07:00; 0,616
18.01.2005 16:00:00; 0,072
28.02.2005 12:36:00;  1,29
01.03.2005 14:15:00; 0,258
15.04.2005 16:15:00;  7,69
13.05.2005 08:15:00;  11,0
22.06.2005 23:30:00;  5,02
25.07.2005 14:30:00;  6,21
12.08.2005 06:45:00;  7,22
26.09.2005 08:00:00;  4,46
21.10.2005 09:30:00;  3,45
24.11.2005 05:25:30;  3,37
17.12.2005 07:30:00; 0,922
27.01.2006 13:00:00; 0,801
28.02.2006 08:45:00; 0,447
01.03.2006 07:30:00;  2,26
13.04.2006 13:15:00;  6,64
26.05.2006 08:15:00;  11,2
27.06.2006 15:45:00;  8,54
28.07.2006 10:30:00;  1,40
19.08.2006 09:15:00;  8,13
29.09.2006 07:45:00;  3,48
23.10.2006 07:15:00; 0,517
01.11.2006 00:15:00;  4,87
12.12.2006 16:00:00;  1,58
10.01.2007 14:15:00;  1,44
21.02.2007 08:30:00;  3,23
16.03.2007 08:30:00;  3,41
05.04.2007 13:45:00;  4,20
13.05.2007 19:30:00;  5,14
18.06.2007 07:00:00;  3,99
27.07.2007 10:00:00;  2,55
02.08.2007 15:15:00; 0,694
03.09.2007 07:15:00;  10,2
11.10.2007 19:30:00;  3,08
21.11.2007 08:45:00;  2,75
18.12.2007 04:45:00;  2,04
02.01.2008 21:45:00;  1,06
17.02.2008 10:15:00;  1,95
01.03.2008 12:30:00;  2,73
18.04.2008 09:45:00;  6,37
02.05.2008 09:30:00;  15,2
23.06.2008 16:45:00;  8,93
10.07.2008 15:45:00;  8,44
31.08.2008 19:30:00;  7,51
05.09.2008 08:15:00;  1,75
02.10.2008 07:30:00;  3,40
06.11.2008 08:45:00;  1,73
11.12.2008 14:15:00;  2,60
04.01.2009 08:45:00; 0,740
17.02.2009 21:15:00;  1,67
11.03.2009 19:00:00;  3,52
01.04.2009 08:00:00;  6,91
01.05.2009 14:45:00;  14,2
18.06.2009 18:30:00;  7,70
31.07.2009 08:00:00;  4,52
21.08.2009 07:45:00;  1,36
30.09.2009 08:00:00;  1,47
20.10.2009 20:15:00;  3,88
16.11.2009 08:00:00;  1,94
20.12.2009 11:15:00; 0,480
04.01.2010 21:45:00;  1,00
09.02.2010 11:30:00; 0,693
09.03.2010 08:15:00;  2,26
13.04.2010 12:30:00;  5,48
10.05.2010 12:45:00;  8,05
29.06.2010 18:30:00;  7,55
16.07.2010 19:30:00;  5,00
22.08.2010 19:15:00;  7,98
28.09.2010 14:15:00;  8,44
19.10.2010 18:15:00;  5,26
23.11.2010 18:30:00;  4,05
19.12.2010 03:00:00;  2,77
04.01.2011 02:30:00;  2,27
24.02.2011 06:00:00;  1,95
08.03.2011 09:45:00;  2,68
19.04.2011 16:45:00;  5,32
06.05.2011 15:15:00;  5,03
15.06.2011 10:00:00;  6,03
08.07.2011 08:15:00;  4,38
31.08.2011 17:15:00;  3,99
13.09.2011 19:30:00;  2,51
27.10.2011 09:00:00;  1,78
26.11.2011 10:15:00; 0,782
12.12.2011 15:30:00;  1,08
06.01.2012 06:00:00; 0,450
04.02.2012 03:00:00;  1,01
01.03.2012 06:45:00;  1,87
17.04.2012 08:00:00;  3,29
08.05.2012 12:00:00;  6,31
29.06.2012 20:45:00;  6,18
08.07.2012 22:15:00;  5,48
25.08.2012 17:45:00;  5,24
27.09.2012 06:30:00;  5,52
30.10.2012 09:45:00;  1,97
28.11.2012 11:45:00;  4,44
04.12.2012 09:00:00;  1,41
27.01.2013 05:00:00;  4,52
26.02.2013 13:45:05;  1,99
15.03.2013 09:30:00;  2,70
11.04.2013 08:45:00;  2,13
06.05.2013 10:46:00;  8,85
