Messstelle:                ;Mellau
01.06.1959 12:00:00;  10,0
24.07.1959 12:00:00;  2,76
31.08.1959 12:00:00;  4,24
22.09.1959 12:00:00;  2,28
21.10.1959 12:00:00;  1,60
13.11.1959 12:00:00;  3,00
17.12.1959 12:00:00;  1,80
19.01.1960 12:00:00;  2,52
08.02.1960 12:00:00;  2,04
21.03.1960 12:00:00;  4,91
30.04.1960 12:00:00;  7,99
03.05.1960 12:00:00;  7,17
23.06.1960 12:00:00;  7,58
06.07.1960 12:00:00;  7,17
28.08.1960 12:00:00;  3,00
04.09.1960 12:00:00;  3,93
06.10.1960 12:00:00;  5,63
30.11.1960 12:00:00;  5,63
31.12.1960 12:00:00;  2,04
26.01.1961 12:00:00;  1,22
09.02.1961 12:00:00;  4,55
06.03.1961 12:00:00;  6,35
29.04.1961 12:00:00;  15,6
23.05.1961 12:00:00;  9,34
02.06.1961 12:00:00;  10,8
09.07.1961 12:00:00;  6,70
31.08.1961 12:00:00;  5,50
30.09.1961 12:00:00;  2,00
17.10.1961 12:00:00;  1,60
30.11.1961 12:00:00;  2,20
31.12.1961 12:00:00;  1,80
11.01.1962 12:00:00;  1,40
28.02.1962 12:00:00;  2,40
04.03.1962 12:00:00;  1,80
16.04.1962 12:00:00;  4,82
03.05.1962 12:00:00;  9,55
29.06.1962 12:00:00;  9,55
31.07.1962 12:00:00;  5,70
31.08.1962 12:00:00;  3,52
05.09.1962 12:00:00;  2,68
30.10.1962 12:00:00;  1,20
25.11.1962 12:00:00;  1,40
15.12.1962 12:00:00;  1,20
27.01.1963 12:00:00;  1,60
28.02.1963 12:00:00;  1,07
02.03.1963 12:00:00;  1,07
03.04.1963 12:00:00;  4,24
21.05.1963 12:00:00;  15,6
18.06.1963 12:00:00;  16,2
25.07.1963 12:00:00;  4,55
07.08.1963 12:00:00;  4,91
18.09.1963 12:00:00;  4,48
30.10.1963 12:00:00;  2,96
12.11.1963 12:00:00;  2,00
31.12.1963 12:00:00;  1,80
31.01.1964 12:00:00;  1,80
22.02.1964 12:00:00;  1,80
13.03.1964 12:00:00;  2,40
09.04.1964 12:00:00;  6,70
27.05.1964 12:00:00;  8,42
13.06.1964 12:00:00;  4,48
17.07.1964 12:00:00;  2,40
07.08.1964 12:00:00;  3,52
30.09.1964 12:00:00;  5,16
04.10.1964 12:00:00;  2,68
12.11.1964 12:00:00;  4,48
31.12.1964 12:00:00;  2,00
05.01.1965 12:00:00;  1,80
22.02.1965 12:00:00;  2,00
12.03.1965 12:00:00;  2,20
30.04.1965 12:00:00;  8,88
01.05.1965 12:00:00;  12,3
02.06.1965 12:00:00;  24,0
15.07.1965 12:00:00;  10,3
20.08.1965 12:00:00;  3,52
27.09.1965 12:00:00;  5,90
29.10.1965 12:00:00;  2,68
09.11.1965 12:00:00;  2,40
31.12.1965 12:00:00;  5,16
29.01.1966 12:00:00;  2,40
20.02.1966 12:00:00;  5,50
21.03.1966 12:00:00;  4,14
01.04.1966 12:00:00;  5,50
11.05.1966 12:00:00;  18,2
22.06.1966 12:00:00;  17,0
31.07.1966 12:00:00;  15,7
25.08.1966 12:00:00;  9,80
30.09.1966 12:00:00;  4,48
12.10.1966 12:00:00;  2,20
26.11.1966 12:00:00;  2,96
07.12.1966 12:00:00;  4,14
22.01.1967 12:00:00;  2,40
20.02.1967 12:00:00;  3,80
21.03.1967 12:00:00;  4,48
03.04.1967 12:00:00;  5,16
05.05.1967 12:00:00;  15,1
14.06.1967 12:00:00;  14,0
31.07.1967 12:00:00;  9,80
31.08.1967 12:00:00;  4,48
30.09.1967 12:00:00;  4,48
30.10.1967 12:00:00;  2,40
02.11.1967 12:00:00;  2,96
18.12.1967 12:00:00;  2,20
31.01.1968 12:00:00;  2,96
13.02.1968 12:00:00;  2,96
14.03.1968 12:00:00;  3,24
14.04.1968 12:00:00;  9,34
09.05.1968 12:00:00;  10,3
30.06.1968 12:00:00;  12,9
11.07.1968 12:00:00;  6,70
30.08.1968 12:00:00;  5,90
15.09.1968 12:00:00;  5,16
31.10.1968 12:00:00;  4,14
23.11.1968 12:00:00;  1,30
19.12.1968 12:00:00; 0,960
17.01.1969 12:00:00;  1,30
22.02.1969 12:00:00;  1,60
01.03.1969 12:00:00;  2,40
01.04.1969 12:00:00;  4,48
21.05.1969 12:00:00;  12,9
01.06.1969 12:00:00;  11,8
29.07.1969 12:00:00;  4,48
13.08.1969 12:00:00;  3,52
30.09.1969 12:00:00;  4,14
31.10.1969 12:00:00;  1,60
07.11.1969 12:00:00;  1,40
31.12.1969 12:00:00;  2,40
08.01.1970 12:00:00;  2,20
20.02.1970 12:00:00;  3,24
11.03.1970 12:00:00;  3,24
10.04.1970 12:00:00;  4,82
03.05.1970 12:00:00;  13,4
30.06.1970 12:00:00;  30,6
07.07.1970 12:00:00;  15,1
07.08.1970 12:00:00;  8,42
30.09.1970 12:00:00;  3,14
25.10.1970 12:00:00;  2,87
17.11.1970 12:00:00;  5,70
31.12.1970 12:00:00;  2,17
31.01.1971 12:00:00;  2,16
23.02.1971 12:00:00;  1,50
10.03.1971 12:00:00;  1,50
01.04.1971 12:00:00;  13,1
28.05.1971 12:00:00;  12,7
27.06.1971 12:00:00;  14,4
30.07.1971 12:00:00;  2,29
05.08.1971 12:00:00;  1,83
27.09.1971 12:00:00;  2,06
31.10.1971 12:00:00;  1,43
02.11.1971 12:00:00;  1,26
15.12.1971 12:00:00;  2,52
17.01.1972 12:00:00;  2,00
05.02.1972 12:00:00;  2,20
12.03.1972 12:00:00;  3,08
29.04.1972 12:00:00;  6,56
18.05.1972 12:00:00;  9,85
28.06.1972 12:00:00;  6,93
19.07.1972 12:00:00;  7,94
18.08.1972 12:00:00;  4,36
10.09.1972 12:00:00;  3,32
13.10.1972 12:00:00;  1,80
30.11.1972 12:00:00;  4,36
20.12.1972 12:00:00;  2,20
15.01.1973 12:00:00;  1,60
28.02.1973 12:00:00;  1,83
03.03.1973 12:00:00;  1,43
23.04.1973 12:00:00;  3,60
30.05.1973 12:00:00;  19,5
17.06.1973 12:00:00;  10,3
06.07.1973 12:00:00;  6,56
23.08.1973 12:00:00;  2,75
18.09.1973 12:00:00;  2,96
06.10.1973 12:00:00;  5,16
30.11.1973 12:00:00;  3,80
04.12.1973 12:00:00;  3,24
08.01.1974 12:00:00;  3,24
28.02.1974 12:00:00;  3,52
07.03.1974 12:00:00;  2,96
20.04.1974 12:00:00;  5,90
03.05.1974 12:00:00;  10,8
10.06.1974 12:00:00;  16,2
31.07.1974 12:00:00;  10,3
27.08.1974 12:00:00;  5,16
18.09.1974 12:00:00;  4,48
18.10.1974 12:00:00;  6,70
10.11.1974 12:00:00;  5,90
26.12.1974 12:00:00;  4,82
16.01.1975 12:00:00;  4,82
17.02.1975 12:00:00;  2,96
31.03.1975 12:00:00;  3,52
07.04.1975 12:00:00;  3,24
05.05.1975 12:00:00;  12,9
06.06.1975 12:00:00;  15,0
31.07.1975 12:00:00;  10,3
10.08.1975 12:00:00;  5,90
30.09.1975 12:00:00;  4,14
16.10.1975 12:00:00;  2,68
11.11.1975 12:00:00;  2,20
19.12.1975 12:00:00;  1,20
02.01.1976 11:00:00;  1,46
23.02.1976 18:00:00;  2,05
11.03.1976 14:30:00;  2,46
30.04.1976 09:30:00;  5,51
01.05.1976 13:30:00;  5,77
30.06.1976 17:30:00;  3,53
09.07.1976 17:00:00;  1,95
29.08.1976 21:00:00;  3,29
27.09.1976 05:30:00;  3,01
31.10.1976 23:59:55;  2,06
25.11.1976 19:30:00;  1,86
12.12.1976 18:30:00;  2,34
31.01.1977 10:30:00;  2,19
03.02.1977 13:00:00;  1,95
02.03.1977 04:00:00;  3,69
13.04.1977 09:00:00;  5,53
10.05.1977 13:00:00;  10,7
18.06.1977 10:30:00;  12,0
20.07.1977 19:00:00;  6,42
31.08.1977 23:59:55;  7,27
29.09.1977 13:30:00;  2,42
31.10.1977 13:00:00;  2,15
01.11.1977 00:00:00;  2,30
07.12.1977 12:30:00;  3,08
22.01.1978 10:00:00;  2,51
04.02.1978 23:00:00;  1,89
20.03.1978 04:30:00;  5,95
18.04.1978 08:30:00;  5,84
03.05.1978 11:00:00;  17,0
22.06.1978 11:00:00;  14,0
31.07.1978 16:00:00;  9,23
28.08.1978 17:30:00;  2,63
26.09.1978 21:30:00;  3,29
16.10.1978 18:00:00;  5,01
30.11.1978 23:59:55;  2,09
03.12.1978 17:30:00;  1,98
18.01.1979 09:30:00;  1,87
26.02.1979 09:30:00;  2,40
03.03.1979 12:30:00;  2,65
08.04.1979 05:00:00;  4,56
07.05.1979 10:00:00;  8,29
30.06.1979 23:59:55;  14,5
31.07.1979 08:30:00;  5,75
23.08.1979 14:30:00;  5,39
20.09.1979 18:00:00;  2,40
17.10.1979 05:30:00;  2,47
01.11.1979 17:00:00;  2,82
31.12.1979 23:59:55;  2,67
24.01.1980 15:30:00;  1,99
03.02.1980 20:30:00;  2,63
13.03.1980 13:00:00;  2,77
11.04.1980 12:30:00;  5,60
01.05.1980 12:00:00;  17,2
26.06.1980 12:00:00;  23,2
31.07.1980 16:00:00;  10,8
25.08.1980 19:00:00;  5,86
30.09.1980 21:00:00;  3,69
06.10.1980 19:00:00;  2,19
14.11.1980 12:00:00;  2,60
02.12.1980 11:00:00;  2,38
28.01.1981 13:00:00;  2,00
24.02.1981 05:00:00;  2,04
05.03.1981 10:30:00;  2,15
30.04.1981 11:30:00;  7,81
06.05.1981 10:30:00;  11,2
30.06.1981 20:30:00;  8,51
17.07.1981 16:00:00;  7,52
16.08.1981 18:30:00;  4,33
08.09.1981 21:00:00;  4,14
09.10.1981 23:59:55;  6,63
17.11.1981 18:30:00;  4,94
29.12.1981 00:30:00;  4,44
29.01.1982 10:00:00;  6,07
27.02.1982 11:00:00;  2,51
12.03.1982 05:30:00;  2,63
15.04.1982 12:30:00;  8,15
02.05.1982 11:30:00;  9,14
21.06.1982 14:00:00;  22,1
26.07.1982 00:00:00;  4,64
15.08.1982 16:30:00;  5,08
18.09.1982 18:00:00;  3,56
31.10.1982 23:59:55;  3,95
09.11.1982 03:00:00;  1,97
05.12.1982 16:30:00;  2,04
24.01.1983 11:30:00;  2,82
22.02.1983 22:00:00;  2,34
04.03.1983 17:30:00;  2,42
05.04.1983 20:00:00;  6,54
28.05.1983 10:30:00;  11,8
27.06.1983 11:30:00;  11,0
29.07.1983 16:00:00;  2,60
01.08.1983 15:00:00;  2,51
30.09.1983 21:00:00;  3,51
09.10.1983 05:30:00;  2,48
24.11.1983 07:00:00;  1,08
15.12.1983 13:00:00;  2,96
30.01.1984 15:00:00;  2,65
17.02.1984 11:00:00;  2,23
12.03.1984 10:00:00;  1,79
07.04.1984 12:30:00;  4,42
12.05.1984 13:30:00;  10,4
19.06.1984 11:30:00;  18,9
24.07.1984 10:00:00;  6,75
24.08.1984 17:00:00;  6,11
04.09.1984 08:30:00;  5,41
31.10.1984 23:59:55;  2,95
16.11.1984 23:00:00;  1,82
31.12.1984 23:59:55;  2,01
15.01.1985 11:00:00;  1,59
23.02.1985 08:30:00;  1,96
18.03.1985 15:00:00;  1,53
01.04.1985 11:00:00;  7,22
04.05.1985 08:30:00;  11,5
19.06.1985 13:00:00;  13,7
29.07.1985 16:30:00;  6,32
25.08.1985 02:00:00;  7,90
30.09.1985 22:00:00;  3,02
29.10.1985 12:00:00;  1,93
28.11.1985 11:30:00;  2,26
31.12.1985 23:59:55;  1,94
08.01.1986 06:45:00;  1,21
27.02.1986 10:15:00;  1,58
01.03.1986 15:00:00;  1,75
15.04.1986 11:00:00;  7,58
10.05.1986 11:00:00;  16,7
30.06.1986 15:00:00;  9,15
31.07.1986 14:30:00;  6,72
11.08.1986 18:30:00;  4,88
30.09.1986 23:59:55;  2,91
08.10.1986 17:00:00;  1,93
17.11.1986 15:30:00;  3,06
16.12.1986 03:45:00;  2,23
31.01.1987 12:45:00;  1,76
07.02.1987 09:30:00;  1,30
21.03.1987 07:15:00;  2,16
02.04.1987 08:30:00;  4,91
08.05.1987 09:30:00;  14,1
23.06.1987 13:00:00;  21,7
15.07.1987 12:00:00;  12,2
23.08.1987 15:45:00;  6,78
23.09.1987 22:00:00;  4,15
31.10.1987 08:15:00;  2,79
10.11.1987 18:15:00;  2,30
03.12.1987 09:45:00;  2,52
25.01.1988 09:15:00;  1,97
29.02.1988 23:59:55;  1,86
10.03.1988 12:30:00;  1,49
02.04.1988 10:00:00;  6,00
29.05.1988 10:00:00;  19,2
27.06.1988 11:45:00;  11,7
27.07.1988 07:00:00;  8,35
19.08.1988 21:30:00;  3,12
30.09.1988 17:30:00;  2,67
03.10.1988 01:45:00;  2,45
09.11.1988 18:00:00;  2,50
19.12.1988 04:45:00;  5,59
24.01.1989 10:15:00;  2,46
06.02.1989 08:45:00;  2,68
02.03.1989 01:00:00;  4,29
30.04.1989 23:59:55;  8,70
02.05.1989 13:00:00;  7,24
21.06.1989 10:45:00;  7,71
23.07.1989 15:30:00;  4,96
23.08.1989 11:30:00;  2,92
24.09.1989 23:45:00;  3,47
06.10.1989 09:45:00;  3,47
29.11.1989 07:30:00;  2,20
10.12.1989 11:00:00; 0,965
20.01.1990 01:45:00;  1,21
02.02.1990 04:30:00;  2,24
30.03.1990 03:30:00;  4,82
11.04.1990 06:15:00;  5,16
31.05.1990 11:00:00;  7,05
01.06.1990 13:15:00;  6,65
28.07.1990 19:00:00;  2,68
25.08.1990 13:45:00;  1,99
03.09.1990 06:15:00;  2,92
24.10.1990 23:30:00;  1,79
30.11.1990 23:59:55;  4,33
18.12.1990 04:00:00;  1,42
28.01.1991 11:00:00;  1,99
14.02.1991 10:30:00;  1,11
16.03.1991 11:45:00;  4,63
22.04.1991 07:15:00;  2,86
05.05.1991 11:45:00;  6,54
05.06.1991 14:30:00;  13,4
23.07.1991 15:00:00;  5,65
31.08.1991 18:30:00;  1,11
10.09.1991 02:30:00; 0,718
15.10.1991 22:45:00; 0,839
01.11.1991 22:30:00;  2,61
11.12.1991 12:15:00; 0,839
22.01.1992 06:00:00;  1,25
01.02.1992 22:30:00;  1,76
03.03.1992 13:15:00;  4,98
02.04.1992 12:15:00;  6,54
01.05.1992 12:00:00;  18,2
24.06.1992 13:00:00;  8,77
31.07.1992 17:15:00;  4,49
28.08.1992 09:00:00;  3,01
27.09.1992 21:15:00;  2,05
15.10.1992 18:15:00;  3,01
10.11.1992 14:30:00;  7,87
29.12.1992 12:00:00;  2,04
03.01.1993 06:00:00;  1,35
21.02.1993 19:45:00;  1,23
09.03.1993 06:15:00;  1,07
05.04.1993 12:45:00;  6,22
22.05.1993 10:45:00;  11,1
11.06.1993 11:15:00;  6,99
05.07.1993 13:00:00;  5,50
22.08.1993 18:45:00;  3,08
25.09.1993 05:00:00;  4,32
21.10.1993 06:15:00;  5,21
30.11.1993 03:45:00;  2,61
01.12.1993 10:00:00;  2,61
22.01.1994 03:00:00;  3,05
23.02.1994 13:00:00;  2,29
01.03.1994 12:45:00;  7,34
11.04.1994 07:15:00;  5,20
07.05.1994 10:15:00;  13,9
29.06.1994 10:30:00;  6,95
17.07.1994 16:15:00;  4,57
10.08.1994 19:30:00;  3,72
30.09.1994 23:59:55;  3,73
22.10.1994 08:00:00;  2,08
09.11.1994 02:45:00;  2,72
25.12.1994 07:45:00;  2,72
21.01.1995 23:45:00;  2,72
28.02.1995 02:00:00;  5,85
10.03.1995 04:45:00;  3,53
01.04.1995 04:00:00;  6,53
22.05.1995 11:00:00;  16,8
30.06.1995 12:45:00;  15,0
31.07.1995 15:15:00;  3,72
07.08.1995 13:30:00;  2,29
27.09.1995 10:15:00;  6,58
26.10.1995 23:15:00;  2,29
01.11.1995 05:15:00;  2,08
14.12.1995 19:45:00;  2,29
31.01.1996 07:45:00;  1,71
14.02.1996 04:45:00;  1,08
04.03.1996 03:30:00;  1,38
05.04.1996 04:15:00;  4,28
05.05.1996 10:30:00;  10,8
18.06.1996 06:00:00;  4,51
27.07.1996 00:00:00;  4,60
01.08.1996 22:00:00;  4,60
11.09.1996 16:30:00;  3,45
16.10.1996 03:45:00;  4,88
24.11.1996 12:45:00;  5,20
31.12.1996 23:59:55;  4,31
20.01.1997 08:48:15;  2,03
04.02.1997 11:42:05;  2,52
22.03.1997 13:12:15;  6,44
23.04.1997 11:51:15;  6,49
31.05.1997 13:30:00;  12,4
16.06.1997 14:25:35;  8,88
17.07.1997 17:23:05;  6,64
25.08.1997 19:14:00;  2,50
30.09.1997 23:43:20;  1,64
10.10.1997 19:15:25;  1,32
24.11.1997 15:10:55;  1,82
06.12.1997 21:34:25;  1,68
30.01.1998 10:59:55;  2,16
04.02.1998 10:32:00;  2,06
26.03.1998 12:26:15;  3,31
20.04.1998 09:51:00;  5,92
26.05.1998 12:20:50;  7,30
30.06.1998 15:57:05;  5,42
27.07.1998 10:15:00;  3,40
20.08.1998 09:48:30;  1,85
02.09.1998 19:43:35;  4,39
24.10.1998 01:30:00;  8,42
30.11.1998 23:59:55;  3,86
09.12.1998 07:30:00;  2,53
31.01.1999 23:59:55;  2,28
18.02.1999 15:00:00;  1,72
24.03.1999 08:45:00;  5,90
19.04.1999 13:45:00;  6,66
20.05.1999 14:45:00;  34,0
29.06.1999 13:49:00;  14,5
31.07.1999 15:45:00;  5,76
09.08.1999 17:15:00;  3,32
23.09.1999 23:00:00;  1,10
27.10.1999 10:00:00;  1,16
03.11.1999 00:30:00;  2,16
01.12.1999 10:45:00;  2,60
25.01.2000 07:45:00;  1,90
24.02.2000 09:45:00;  3,80
06.03.2000 10:00:00;  5,20
02.04.2000 09:45:00;  7,98
21.05.2000 12:00:00;  20,3
30.06.2000 15:00:00;  6,12
01.07.2000 14:00:00;  6,20
30.08.2000 15:00:00;  3,81
20.09.2000 16:15:00;  4,02
26.10.2000 06:30:00;  2,32
12.11.2000 10:15:00;  4,23
29.12.2000 03:45:00;  1,88
01.01.2001 12:15:00;  1,88
01.02.2001 07:00:00;  2,38
02.03.2001 11:30:00;  2,48
23.04.2001 09:30:00;  5,69
30.05.2001 10:15:00;  18,0
30.06.2001 14:15:00;  9,35
14.07.2001 15:15:00;  3,52
29.08.2001 20:30:00;  2,11
04.09.2001 03:30:00;  5,02
20.10.2001 21:00:00;  2,52
22.11.2001 08:45:00;  3,05
28.12.2001 15:45:00;  2,06
18.01.2002 00:34:00;  2,02
22.02.2002 09:33:25;  3,99
04.03.2002 11:03:15;  5,59
21.04.2002 11:32:30;  4,73
25.05.2002 13:46:55;  11,8
27.06.2002 16:31:20;  4,53
31.07.2002 15:00:50;  3,49
03.08.2002 21:45:45;  3,66
18.09.2002 10:15:00;  1,94
31.10.2002 23:59:20;  4,82
02.11.2002 04:59:15;  4,26
16.12.2002 11:43:35;  2,54
26.01.2003 23:45:00;  1,94
19.02.2003 06:30:00;  1,44
04.03.2003 12:15:00;  3,62
11.04.2003 08:30:00;  4,52
17.05.2003 14:30:00;  7,67
30.06.2003 19:00:00;  2,56
16.07.2003 16:00:00;  2,20
25.08.2003 09:45:00;  1,68
09.09.2003 16:00:00;  2,25
03.10.2003 09:30:00;  2,63
12.11.2003 13:45:00;  2,77
13.12.2003 10:45:00;  2,16
04.01.2004 10:45:00;  1,69
01.02.2004 13:00:00;  2,71
10.03.2004 09:15:00;  2,09
14.04.2004 12:45:00;  6,80
11.05.2004 12:45:00;  13,2
30.06.2004 14:00:00;  8,81
31.07.2004 18:15:00;  6,22
12.08.2004 17:00:00;  4,09
11.09.2004 19:45:00;  2,93
31.10.2004 23:30:00;  4,12
16.11.2004 08:00:00;  2,78
21.12.2004 10:00:00;  1,54
30.01.2005 08:30:00;  1,64
01.02.2005 10:15:00;  1,56
01.03.2005 05:45:00;  1,46
12.04.2005 11:30:00;  9,34
12.05.2005 11:30:00;  16,8
29.06.2005 14:00:00;  5,77
31.07.2005 23:15:00;  5,03
01.08.2005 21:00:00;  4,42
29.09.2005 00:15:00;  3,14
31.10.2005 12:45:00;  1,67
24.11.2005 11:30:00;  1,14
01.12.2005 12:45:00;  1,08
29.01.2006 12:45:00;  1,62
15.02.2006 17:00:00;  1,58
08.03.2006 00:15:00;  1,98
13.04.2006 10:30:00;  7,01
01.05.2006 12:45:00;  16,3
30.06.2006 14:45:00;  4,90
27.07.2006 15:05:15;  1,71
01.08.2006 00:00:00;  7,17
30.09.2006 22:55:00;  4,93
28.10.2006 23:25:00;  2,62
30.11.2006 23:30:00;  3,30
30.12.2006 14:15:00;  2,04
01.01.2007 01:47:00;  2,66
08.02.2007 12:11:20;  2,62
25.03.2007 10:25:30;  4,18
01.04.2007 12:25:20;  7,56
27.05.2007 16:09:20;  5,31
20.06.2007 15:33:50;  6,72
21.07.2007 20:38:15;  5,00
28.08.2007 15:32:35;  4,21
17.09.2007 23:22:10;  4,90
17.10.2007 21:55:00;  2,00
04.11.2007 07:15:00;  1,88
31.12.2007 23:45:00;  2,09
02.01.2008 11:30:00;  1,14
17.02.2008 09:00:00;  2,02
28.03.2008 09:00:00;  3,04
08.04.2008 07:15:00;  5,19
22.05.2008 13:40:00;  21,5
29.06.2008 12:35:00;  10,5
11.07.2008 13:55:00;  7,65
31.08.2008 23:59:55;  6,02
29.09.2008 23:45:00;  2,12
27.10.2008 22:45:00;  2,12
11.11.2008 21:49:40;  1,95
13.12.2008 11:00:00;  2,20
17.01.2009 13:15:00;  1,91
18.02.2009 01:15:00;  1,71
01.03.2009 00:00:00;  2,56
01.04.2009 10:00:00;  7,44
31.05.2009 12:45:00;  10,5
05.06.2009 11:15:00;  7,05
17.07.2009 05:15:00;  7,85
31.08.2009 23:10:00;  2,96
30.09.2009 15:00:00;  2,41
08.10.2009 22:05:00;  1,78
12.11.2009 10:05:00;  4,63
20.12.2009 11:10:00;  3,11
30.01.2010 12:45:00;  1,51
01.02.2010 12:15:00;  1,04
17.03.2010 08:10:00;  1,90
15.04.2010 14:25:00;  6,82
09.05.2010 13:05:00;  14,2
30.06.2010 14:50:00;  5,29
16.07.2010 08:20:00;  1,96
27.08.2010 05:45:00;  5,09
24.09.2010 17:55:00;  3,10
15.10.2010 18:05:00;  2,19
30.11.2010 11:30:00;  3,00
05.12.2010 01:15:00;  2,63
31.01.2011 08:45:00;  1,62
03.02.2011 11:25:00;  1,22
04.03.2011 14:50:00;  2,33
28.04.2011 13:55:00;  6,76
06.05.2011 12:55:00;  6,06
29.06.2011 16:30:00;  6,31
12.07.2011 19:40:00;  3,76
27.08.2011 03:05:00;  2,71
03.09.2011 16:05:05;  2,60
05.10.2011 19:35:00;  2,10
26.11.2011 16:00:00;  1,08
02.12.2011 14:15:00; 0,918
18.01.2012 10:45:00;  3,06
21.02.2012 12:25:00;  1,77
12.03.2012 07:30:00;  5,39
19.04.2012 12:35:00;  8,42
17.05.2012 09:55:00;  14,6
30.06.2012 13:50:00;  10,6
27.07.2012 17:05:00;  5,33
20.08.2012 18:20:00;  3,62
11.09.2012 18:00:00;  3,28
30.10.2012 13:45:00;  2,86
30.11.2012 23:59:55;  2,32
01.12.2012 15:30:00;  1,85
26.01.2013 11:15:00;  2,08
23.02.2013 10:40:00;  1,94
01.03.2013 14:20:00;  2,71
01.04.2013 10:25:00;  4,27
25.05.2013 11:45:00;  12,2
23.06.2013 00:45:00;  6,90
28.07.2013 17:40:00;  3,00
18.08.2013 17:15:00;  2,07
08.09.2013 16:10:00;  2,88
