Messstelle:                ;Stuhlfelden
22.09.2001 23:50:20; 0,338
31.10.2001 23:59:55; 0,138
30.11.2001 18:09:35; 0,096
14.12.2001 08:46:10; 0,099
13.01.2002 09:27:25; 0,089
26.02.2002 02:42:55; 0,119
01.03.2002 00:00:00; 0,154
19.04.2002 13:46:35; 0,221
25.05.2002 06:41:20; 0,770
27.06.2002 16:19:20; 0,392
10.07.2002 18:59:30; 0,303
31.08.2002 12:19:20; 0,357
19.09.2002 00:18:30; 0,205
01.10.2002 00:12:35; 0,376
01.11.2002 09:31:20; 0,388
31.12.2002 23:59:55; 0,182
29.01.2003 22:45:35; 0,110
18.02.2003 17:58:25; 0,103
02.03.2003 20:40:10; 0,122
13.04.2003 20:59:30; 0,244
19.05.2003 04:22:50; 0,416
26.06.2003 15:45:15; 0,244
28.07.2003 00:28:45; 0,204
27.08.2003 20:04:40; 0,188
09.09.2003 17:12:00; 0,193
04.10.2003 19:14:30; 0,243
28.11.2003 17:10:40; 0,196
24.12.2003 04:10:15; 0,144
26.01.2004 11:15:00; 0,064
20.02.2004 13:45:00; 0,033
08.03.2004 09:45:00; 0,083
15.04.2004 05:15:00; 0,292
11.05.2004 08:45:00; 0,556
30.06.2004 13:15:00; 0,510
08.07.2004 12:15:00; 0,355
25.08.2004 12:15:00; 0,192
17.09.2004 07:15:00; 0,168
29.10.2004 16:30:00; 0,184
30.11.2004 14:45:00; 0,173
30.12.2004 07:58:10; 0,071
18.01.2005 14:30:00; 0,093
18.02.2005 09:00:00; 0,038
14.03.2005 14:00:00; 0,060
12.04.2005 01:00:00; 0,427
13.05.2005 12:15:00; 0,637
28.06.2005 12:45:00; 0,264
01.07.2005 00:00:00; 0,293
01.08.2005 07:00:00; 0,510
26.09.2005 09:15:00; 0,188
31.10.2005 19:15:00; 0,116
21.11.2005 11:45:00; 0,068
31.12.2005 23:59:55; 0,128
31.01.2006 23:59:55; 0,111
28.02.2006 23:59:55; 0,095
14.03.2006 16:00:00; 0,044
01.04.2006 00:15:00; 0,322
03.05.2006 06:00:00; 0,658
27.06.2006 14:00:00; 0,355
27.07.2006 13:15:00; 0,215
01.08.2006 03:15:00; 0,355
15.09.2006 14:15:00; 0,192
24.10.2006 04:00:00; 0,172
30.11.2006 23:59:55; 0,270
22.12.2006 07:00:00; 0,137
08.01.2007 10:15:00; 0,107
07.02.2007 12:15:00; 0,093
30.03.2007 12:15:00; 0,071
02.04.2007 09:15:00; 0,153
07.05.2007 13:45:00; 0,238
20.06.2007 16:15:00; 0,322
31.07.2007 11:00:00; 0,264
02.08.2007 15:00:00; 0,215
03.09.2007 06:30:00; 0,427
22.10.2007 16:30:00; 0,172
03.11.2007 16:45:00; 0,192
22.12.2007 16:30:00; 0,137
10.01.2008 15:00:00; 0,121
16.02.2008 21:15:00; 0,093
04.03.2008 13:00:00; 0,093
04.04.2008 12:15:00; 0,107
03.05.2008 06:45:00; 0,606
27.06.2008 16:15:00; 0,390
05.07.2008 16:15:00; 0,292
28.08.2008 07:00:00; 0,238
30.09.2008 06:00:00; 0,121
16.10.2008 20:15:00; 0,137
23.11.2008 13:00:00; 0,120
20.12.2008 09:15:00; 0,071
12.01.2009 07:00:00; 0,047
02.02.2009 15:30:00; 0,047
05.03.2009 07:00:00; 0,047
01.04.2009 12:28:20; 0,053
01.05.2009 00:00:00; 0,606
18.06.2009 09:00:00; 0,467
15.07.2009 15:30:00; 0,172
22.08.2009 14:30:00; 0,082
02.09.2009 12:30:00; 0,093
15.10.2009 06:30:00; 0,062
25.11.2009 08:15:00; 0,071
07.12.2009 10:15:00; 0,053
28.01.2010 18:00:00; 0,061
08.02.2010 13:45:00; 0,033
05.03.2010 13:45:00; 0,033
16.04.2010 12:15:00; 0,044
17.05.2010 06:15:00; 0,510
29.06.2010 12:00:00; 0,093
07.07.2010 15:30:00; 0,071
24.08.2010 06:15:00; 0,153
22.09.2010 08:15:00; 0,292
28.10.2010 07:30:00; 0,071
28.11.2010 12:15:35; 0,071
10.12.2010 07:15:40; 0,071
05.01.2011 04:15:00; 0,105
15.02.2011 07:00:00; 0,053
03.03.2011 09:15:00; 0,053
30.04.2011 09:00:00; 0,355
04.05.2011 04:15:00; 0,322
17.06.2011 15:00:00; 0,107
10.07.2011 21:15:00; 0,093
19.08.2011 09:45:00; 0,153
19.09.2011 08:45:00; 0,107
06.10.2011 05:00:00; 0,107
29.11.2011 06:15:00; 0,089
13.12.2011 23:45:00; 0,038
05.01.2012 17:30:00; 0,038
04.02.2012 17:00:00; 0,033
16.03.2012 13:00:00; 0,071
23.04.2012 09:15:00; 0,322
19.05.2012 08:15:00; 0,658
30.06.2012 13:15:00; 0,467
10.07.2012 19:00:00; 0,082
30.08.2012 15:15:00; 0,264
11.09.2012 13:30:00; 0,292
12.10.2012 18:00:00; 0,172
06.11.2012 12:30:00; 0,082
19.12.2012 09:45:00; 0,053
03.01.2013 11:30:00; 0,093
11.02.2013 10:30:00; 0,047
04.03.2013 13:15:00; 0,047
09.04.2013 08:15:00; 0,137
28.05.2013 00:45:00; 0,606
23.06.2013 13:45:00; 0,344
26.07.2013 09:30:00; 0,033
09.08.2013 16:45:00; 0,052
10.09.2013 04:15:00; 0,292
29.10.2013 10:45:00; 0,173
01.11.2013 20:45:00; 0,215
02.12.2013 16:00:00; 0,137
28.01.2014 07:30:00; 0,060
10.02.2014 07:45:00; 0,052
21.03.2014 08:45:00; 0,102
03.04.2014 03:45:00; 0,211
06.05.2014 15:15:00; 0,510
20.06.2014 09:45:00; 0,322
06.07.2014 13:00:00; 0,322
28.08.2014 15:00:00; 0,292
20.09.2014 23:30:00; 0,238
21.10.2014 23:30:00; 0,071
24.11.2014 10:15:00; 0,082
16.12.2014 08:30:00; 0,033
12.01.2015 16:30:00; 0,068
28.02.2015 23:59:55; 0,126
08.03.2015 22:11:00; 0,122
08.04.2015 12:45:00; 0,148
01.05.2015 07:30:00; 0,510
11.06.2015 05:30:00; 0,390
14.07.2015 11:00:00; 0,238
22.08.2015 13:30:00; 0,038
01.09.2015 21:30:00; 0,132
15.10.2015 10:00:00; 0,044
13.11.2015 21:15:00; 0,102
10.12.2015 06:00:00; 0,068
03.01.2016 17:15:00; 0,078
04.02.2016 10:30:00; 0,033
14.03.2016 14:45:00; 0,116
01.04.2016 08:00:00; 0,148
19.05.2016 08:00:00; 0,355
24.06.2016 20:45:00; 0,427
10.07.2016 13:00:00; 0,322
30.08.2016 09:15:00; 0,264
02.09.2016 12:30:00; 0,238
31.10.2016 17:15:00; 0,153
02.11.2016 17:15:00; 0,153
19.12.2016 06:15:00; 0,107
19.01.2017 05:12:15; 0,121
21.02.2017 08:45:00; 0,053
17.03.2017 07:30:00; 0,062
22.04.2017 06:30:00; 0,053
02.05.2017 08:30:00; 0,172
21.06.2017 12:45:00; 0,173
09.07.2017 17:00:00; 0,093
26.08.2017 18:15:00; 0,107
28.09.2017 15:15:00; 0,292
12.10.2017 05:00:00; 0,062
15.11.2017 06:15:00; 0,211
18.12.2017 06:15:00; 0,052
09.01.2018 07:45:00; 0,047
08.02.2018 06:45:00; 0,068
26.03.2018 05:45:00; 0,068
06.04.2018 05:45:00; 0,079
31.05.2018 18:15:00; 0,292
01.06.2018 16:00:00; 0,071
24.07.2018 16:00:00; 0,215
03.08.2018 16:30:00; 0,093
15.09.2018 07:00:00; 0,238
17.10.2018 06:15:00; 0,053
19.11.2018 06:15:00; 0,093
20.12.2018 10:17:30; 0,049
31.01.2019 07:15:00; 0,141
14.02.2019 17:15:00; 0,125
29.03.2019 07:45:00; 0,224
07.04.2019 20:30:00; 0,097
15.05.2019 08:15:00; 0,422
30.06.2019 13:30:00; 0,311
20.07.2019 18:15:00; 0,057
26.08.2019 10:30:00; 0,216
21.09.2019 11:45:00; 0,216
02.10.2019 05:00:00; 0,121
13.11.2019 04:00:00; 0,083
05.12.2019 06:00:00; 0,110
21.01.2020 06:15:00; 0,074
01.02.2020 00:00:00; 0,179
08.03.2020 00:00:00; 0,201
28.04.2020 14:45:00; 0,265
21.05.2020 04:30:00; 0,325
16.06.2020 01:15:00; 0,243
28.07.2020 17:30:00; 0,125
14.08.2020 07:15:00; 0,193
22.09.2020 19:45:00; 0,179
08.10.2020 12:30:00; 0,279
30.11.2020 06:15:00; 0,065
04.12.2020 12:00:00; 0,065
26.01.2021 06:15:00; 0,065
05.02.2021 07:15:00; 0,075
23.03.2021 10:45:00; 0,085
02.04.2021 13:15:00; 0,250
11.05.2021 17:15:00; 0,382
26.06.2021 13:45:00; 0,178
06.07.2021 12:30:00; 0,171
01.08.2021 08:00:00; 0,228
24.09.2021 08:00:00; 0,189
01.10.2021 12:00:00; 0,260
28.11.2021 11:00:00; 0,135
28.12.2021 09:28:20; 0,057
