Messstelle:                ;Miklauzhof
29.03.1958 12:00:00;  6,12
30.04.1958 12:00:00;  6,94
31.05.1958 12:00:00;  6,12
21.06.1958 12:00:00;  6,12
15.07.1958 12:00:00;  3,90
19.08.1958 12:00:00;  5,32
23.09.1958 12:00:00;  4,96
31.10.1958 12:00:00;  5,32
01.11.1958 12:00:00;  5,32
14.12.1958 12:00:00;  4,60
31.01.1959 12:00:00;  5,32
28.02.1959 12:00:00;  1,90
07.03.1959 12:00:00;  1,66
06.04.1959 12:00:00;  5,32
23.05.1959 12:00:00;  5,32
09.06.1959 12:00:00;  5,32
30.07.1959 12:00:00;  4,96
29.08.1959 12:00:00;  5,32
26.09.1959 12:00:00;  3,60
27.10.1959 12:00:00;  2,86
13.11.1959 12:00:00;  4,96
21.12.1959 12:00:00;  5,32
27.01.1960 12:00:00;  6,80
12.02.1960 12:00:00;  7,20
13.03.1960 12:00:00;  7,20
30.04.1960 12:00:00;  6,04
31.05.1960 12:00:00;  4,96
28.06.1960 12:00:00;  4,60
12.07.1960 12:00:00;  5,32
30.08.1960 12:00:00;  7,20
17.09.1960 12:00:00;  7,20
26.10.1960 12:00:00;  8,00
29.11.1960 12:00:00;  8,00
31.12.1960 12:00:00;  4,55
31.01.1961 12:00:00;  5,71
14.02.1961 12:00:00;  5,71
31.03.1961 12:00:00;  6,12
14.04.1961 12:00:00;  6,53
15.05.1961 12:00:00;  5,71
27.06.1961 12:00:00;  5,71
25.07.1961 12:00:00;  3,18
14.08.1961 12:00:00;  2,92
30.09.1961 12:00:00;  2,92
17.10.1961 12:00:00;  2,92
15.11.1961 12:00:00;  6,12
31.12.1961 12:00:00;  4,66
31.01.1962 12:00:00;  4,60
28.02.1962 12:00:00;  3,35
30.03.1962 12:00:00;  2,86
03.04.1962 12:00:00;  5,32
10.05.1962 12:00:00;  7,20
25.06.1962 12:00:00;  6,40
27.07.1962 12:00:00;  6,40
31.08.1962 12:00:00;  5,12
05.09.1962 12:00:00;  4,55
28.10.1962 12:00:00;  3,55
30.11.1962 12:00:00;  6,40
31.12.1962 12:00:00;  5,12
31.01.1963 12:00:00;  4,05
28.02.1963 12:00:00;  3,17
02.03.1963 12:00:00;  3,17
11.04.1963 12:00:00;  7,20
30.05.1963 12:00:00;  6,40
30.06.1963 12:00:00;  5,44
31.07.1963 12:00:00;  4,55
08.08.1963 12:00:00;  3,55
24.09.1963 12:00:00;  4,05
31.10.1963 12:00:00;  4,05
01.11.1963 12:00:00;  4,05
31.12.1963 12:00:00;  4,05
31.01.1964 12:00:00;  4,05
24.02.1964 12:00:00;  4,05
14.03.1964 12:00:00;  4,55
30.04.1964 12:00:00;  4,55
29.05.1964 12:00:00;  2,79
15.06.1964 12:00:00;  2,46
31.07.1964 12:00:00;  1,90
18.08.1964 12:00:00;  2,46
30.09.1964 12:00:00;  3,17
08.10.1964 12:00:00;  2,79
27.11.1964 12:00:00;  3,36
31.12.1964 12:00:00;  3,55
28.01.1965 12:00:00;  2,94
28.02.1965 12:00:00;  2,75
01.03.1965 12:00:00;  2,75
03.04.1965 12:00:00;  8,34
14.05.1965 12:00:00;  8,78
30.06.1965 12:00:00;  4,06
25.07.1965 12:00:00;  3,36
18.08.1965 12:00:00;  3,36
26.09.1965 12:00:00;  4,62
31.10.1965 12:00:00;  2,94
05.11.1965 12:00:00;  2,38
27.12.1965 12:00:00;  4,94
30.01.1966 12:00:00;  2,38
02.02.1966 12:00:00;  2,57
22.03.1966 12:00:00;  2,94
03.04.1966 12:00:00;  4,30
01.05.1966 12:00:00;  3,33
19.06.1966 12:00:00;  2,94
05.07.1966 12:00:00;  2,75
06.08.1966 12:00:00;  3,36
22.09.1966 12:00:00;  2,38
23.10.1966 12:00:00;  2,57
28.11.1966 12:00:00;  3,83
01.12.1966 12:00:00;  3,36
12.01.1967 12:00:00;  2,62
18.02.1967 12:00:00;  3,09
28.03.1967 12:00:00;  4,48
01.04.1967 12:00:00;  6,07
31.05.1967 12:00:00;  4,22
30.06.1967 12:00:00;  4,22
21.07.1967 12:00:00;  3,46
22.08.1967 12:00:00;  2,81
07.09.1967 12:00:00;  2,81
31.10.1967 12:00:00;  1,78
01.11.1967 12:00:00;  2,25
13.12.1967 12:00:00;  3,39
19.01.1968 12:00:00;  2,73
03.02.1968 12:00:00;  2,91
13.03.1968 12:00:00;  3,09
26.04.1968 12:00:00;  3,09
12.05.1968 12:00:00;  2,91
26.06.1968 12:00:00;  5,12
16.07.1968 12:00:00;  1,65
17.08.1968 12:00:00;  3,46
21.09.1968 12:00:00;  3,97
17.10.1968 12:00:00;  2,86
02.11.1968 12:00:00;  3,09
13.12.1968 12:00:00;  2,34
11.01.1969 12:00:00;  2,52
21.02.1969 12:00:00;  2,17
08.03.1969 12:00:00;  3,76
21.04.1969 12:00:00;  5,77
31.05.1969 12:00:00;  5,42
30.06.1969 12:00:00;  4,56
29.07.1969 12:00:00;  3,31
14.08.1969 12:00:00;  2,86
20.09.1969 12:00:00;  3,62
07.10.1969 12:00:00;  2,76
12.11.1969 12:00:00;  2,38
29.12.1969 12:00:00;  2,98
04.01.1970 12:00:00;  2,98
17.02.1970 12:00:00;  3,19
16.03.1970 12:00:00;  2,76
07.04.1970 12:00:00;  6,36
03.05.1970 12:00:00;  7,25
06.06.1970 12:00:00;  3,90
11.07.1970 12:00:00;  3,62
20.08.1970 12:00:00;  4,17
29.09.1970 12:00:00;  2,55
14.10.1970 12:00:00;  2,55
08.11.1970 12:00:00;  2,98
31.12.1970 12:00:00;  4,32
18.01.1971 12:00:00;  2,84
28.02.1971 12:00:00;  3,08
07.03.1971 12:00:00;  2,66
01.04.1971 12:00:00;  6,20
14.05.1971 12:00:00;  3,79
22.06.1971 12:00:00;  3,08
08.07.1971 12:00:00;  1,82
06.08.1971 12:00:00;  2,13
24.09.1971 12:00:00;  1,80
07.10.1971 12:00:00;  2,09
18.11.1971 12:00:00;  1,68
15.12.1971 12:00:00;  2,98
15.01.1972 12:00:00;  1,56
04.02.1972 12:00:00;  2,03
21.03.1972 12:00:00;  5,00
04.04.1972 12:00:00;  4,45
09.05.1972 12:00:00;  8,22
30.06.1972 12:00:00;  6,36
06.07.1972 12:00:00;  5,34
17.08.1972 12:00:00;  3,76
30.09.1972 12:00:00;  3,90
20.10.1972 12:00:00;  2,76
11.11.1972 12:00:00;  2,76
31.12.1972 12:00:00;  3,62
24.01.1973 12:00:00;  2,03
28.02.1973 12:00:00;  1,85
18.03.1973 12:00:00;  1,85
15.04.1973 12:00:00;  4,48
29.05.1973 12:00:00;  3,46
05.06.1973 12:00:00;  2,42
30.07.1973 12:00:00;  3,90
23.08.1973 12:00:00;  2,38
20.09.1973 12:00:00;  1,68
31.10.1973 12:00:00;  5,12
30.11.1973 12:00:00;  3,19
20.12.1973 12:00:00;  2,55
30.01.1974 12:00:00;  2,76
28.02.1974 12:00:00;  2,76
04.03.1974 12:00:00;  2,76
27.04.1974 12:00:00;  2,62
31.05.1974 12:00:00;  3,19
05.06.1974 12:00:00;  2,76
15.07.1974 12:00:00;  3,62
06.08.1974 12:00:00;  2,20
19.09.1974 12:00:00;  4,17
31.10.1974 12:00:00;  7,25
15.11.1974 12:00:00;  4,91
31.12.1974 12:00:00;  3,08
31.01.1975 12:00:00;  2,31
18.02.1975 12:00:00;  1,56
02.03.1975 12:00:00;  1,95
01.04.1975 12:00:00;  4,32
30.05.1975 12:00:00;  4,80
23.06.1975 12:00:00;  3,71
24.07.1975 12:00:00;  4,72
24.08.1975 12:00:00;  2,20
26.09.1975 12:00:00;  2,38
07.10.1975 12:00:00;  2,03
25.11.1975 12:00:00;  1,85
30.12.1975 12:00:00;  2,09
28.01.1976 11:00:00;  1,59
17.02.1976 09:00:00; 0,991
26.03.1976 08:00:00;  1,34
21.04.1976 18:00:00;  2,50
27.05.1976 06:00:00;  4,26
24.06.1976 21:00:00;  2,70
06.07.1976 20:00:00;  1,46
28.08.1976 20:00:00;  2,00
01.09.1976 13:00:00;  1,95
11.10.1976 08:00:00;  2,57
30.11.1976 23:59:55;  4,23
31.12.1976 11:00:00;  3,45
22.01.1977 10:00:00;  3,67
06.02.1977 09:00:00;  5,09
17.03.1977 15:00:00;  6,37
22.04.1977 17:00:00;  6,80
30.05.1977 16:00:00;  4,00
23.06.1977 21:00:00;  1,92
13.07.1977 07:00:00;  1,65
09.08.1977 00:00:00;  1,85
11.09.1977 20:00:00;  1,74
18.10.1977 12:00:00;  1,31
20.11.1977 07:00:00;  1,11
05.12.1977 02:00:00;  1,54
06.01.1978 08:00:00;  1,74
16.02.1978 08:00:00;  1,50
26.03.1978 04:00:00;  2,90
11.04.1978 19:00:00;  3,29
17.05.1978 10:00:00;  5,07
10.06.1978 17:00:00;  4,40
18.07.1978 22:00:00;  3,34
30.08.1978 03:00:00;  2,09
01.09.1978 22:00:00;  1,75
29.10.1978 18:00:00;  2,31
30.11.1978 10:00:00;  1,50
04.12.1978 03:00:00;  1,29
20.01.1979 03:00:00;  1,53
24.02.1979 08:00:00;  2,61
01.03.1979 07:00:00;  2,64
23.04.1979 15:00:00;  5,51
31.05.1979 15:00:00;  6,09
26.06.1979 19:00:00;  3,36
17.07.1979 11:00:00;  2,99
14.08.1979 01:00:00;  2,55
13.09.1979 12:00:00;  2,16
26.10.1979 17:00:00;  2,80
08.11.1979 06:00:00;  3,19
22.12.1979 16:00:00;  5,06
30.01.1980 03:00:00;  2,72
25.02.1980 13:00:00;  2,66
05.03.1980 14:00:00;  2,51
12.04.1980 20:00:00;  2,76
27.05.1980 18:00:00;  5,16
20.06.1980 11:00:00;  2,95
31.07.1980 23:00:00;  4,67
28.08.1980 12:00:00;  2,33
19.09.1980 10:00:00;  2,82
05.10.1980 08:00:00;  2,91
07.11.1980 12:00:00;  4,22
29.12.1980 07:00:00;  3,80
30.01.1981 11:30:00;  1,71
24.02.1981 19:00:00;  2,59
01.03.1981 00:00:00;  2,66
26.04.1981 21:30:00;  3,39
21.05.1981 17:30:00;  4,00
09.06.1981 22:00:00;  3,30
17.07.1981 21:30:00;  3,68
05.08.1981 13:30:00;  2,23
15.09.1981 11:30:00;  1,92
18.10.1981 07:00:00;  2,04
30.11.1981 15:00:00;  2,17
21.12.1981 06:00:00;  1,21
25.01.1982 10:30:00;  2,24
22.02.1982 22:00:00;  1,98
16.03.1982 13:30:00;  1,19
27.04.1982 21:30:00;  2,12
02.05.1982 14:00:00;  2,05
07.06.1982 11:00:00;  2,31
21.07.1982 23:00:00;  2,24
17.08.1982 10:00:00;  2,04
25.09.1982 06:30:00;  2,05
02.10.1982 09:00:00;  1,72
08.11.1982 13:00:00;  3,37
08.12.1982 18:00:00;  4,17
25.01.1983 18:30:00;  3,93
16.02.1983 11:00:00;  1,88
07.03.1983 09:00:00;  1,85
17.04.1983 12:30:00;  3,22
24.05.1983 07:00:00;  2,25
17.06.1983 17:00:00;  2,21
30.07.1983 09:30:00;  1,34
26.08.1983 07:30:00;  1,57
11.09.1983 12:00:00;  1,58
07.10.1983 15:00:00;  1,93
23.11.1983 16:30:00;  1,88
09.12.1983 20:30:00;  1,20
18.01.1984 11:30:00;  1,44
26.02.1984 09:00:00;  1,69
05.03.1984 03:30:00;  1,55
30.04.1984 23:59:55;  8,91
01.05.1984 15:00:00;  7,91
26.06.1984 16:00:00;  3,62
31.07.1984 14:30:00;  2,89
05.08.1984 00:30:00;  2,29
07.09.1984 21:00:00;  1,53
31.10.1984 10:00:00;  3,51
15.11.1984 05:00:00;  2,28
13.12.1984 13:00:00;  2,29
07.01.1985 13:00:00;  2,22
25.02.1985 13:30:00;  2,92
04.03.1985 09:00:00;  3,32
01.04.1985 11:30:00;  7,70
31.05.1985 18:30:00;  6,03
07.06.1985 13:00:00;  4,43
15.07.1985 22:30:00;  3,22
25.08.1985 15:00:00;  2,91
20.09.1985 16:00:00;  2,04
29.10.1985 17:00:00;  1,79
10.11.1985 21:00:00;  1,63
17.12.1985 00:00:00;  1,22
31.01.1986 23:59:55;  2,96
28.02.1986 23:59:55;  2,22
07.03.1986 01:30:00;  2,18
16.04.1986 09:30:00;  9,96
28.05.1986 22:00:00;  4,38
03.06.1986 20:00:00;  5,48
31.07.1986 23:59:55;  2,76
18.08.1986 14:30:00;  1,75
30.09.1986 19:45:00;  3,71
17.10.1986 00:00:00;  3,12
17.11.1986 16:45:00;  2,93
23.12.1986 14:15:00;  1,97
28.01.1987 16:15:00; 0,374
03.02.1987 15:00:00; 0,700
14.03.1987 09:15:00;  1,78
03.04.1987 07:00:00;  5,50
12.05.1987 12:30:00;  4,96
30.06.1987 20:00:00;  4,21
21.07.1987 21:15:00;  2,07
29.08.1987 21:45:00;  2,93
15.09.1987 10:00:00;  1,92
10.10.1987 11:45:00;  1,64
12.11.1987 21:30:00;  3,75
23.12.1987 11:45:00;  4,96
19.01.1988 18:30:00;  3,53
28.02.1988 08:00:00;  3,32
01.03.1988 04:15:00;  2,39
19.04.1988 18:15:00;  4,96
29.05.1988 14:15:00;  3,97
30.06.1988 19:30:00;  2,39
09.07.1988 05:45:00;  1,92
17.08.1988 17:15:00;  1,39
09.09.1988 13:30:00;  2,23
05.10.1988 06:00:00;  2,56
29.11.1988 21:00:00;  1,78
13.12.1988 10:30:00;  1,64
11.01.1989 12:15:00;  1,64
21.02.1989 16:00:00;  1,78
08.03.1989 09:30:00;  1,92
01.04.1989 15:00:00;  3,97
31.05.1989 09:15:00;  2,74
26.06.1989 15:15:00;  2,39
01.07.1989 14:15:00;  2,65
16.08.1989 21:30:00;  2,93
25.09.1989 14:45:00;  2,74
31.10.1989 11:30:00;  1,78
30.11.1989 03:30:00;  1,51
07.12.1989 09:30:00;  1,64
18.01.1990 11:30:00;  1,78
12.02.1990 07:00:00;  2,23
19.03.1990 20:15:00;  1,92
17.04.1990 20:30:00;  3,75
15.05.1990 11:00:00;  1,92
02.06.1990 22:00:00;  2,23
01.07.1990 00:00:00;  2,93
28.08.1990 10:30:00;  2,23
13.09.1990 22:30:00;  2,07
04.10.1990 06:45:00;  2,93
15.11.1990 07:15:00;  3,13
30.12.1990 08:30:00;  3,75
31.01.1991 02:30:00;  2,08
03.02.1991 06:15:00;  1,92
04.03.1991 21:30:00;  1,78
15.04.1991 11:30:00;  4,45
31.05.1991 23:59:55;  6,68
26.06.1991 00:30:00;  5,23
07.07.1991 14:00:00;  3,53
12.08.1991 10:45:00;  2,56
06.09.1991 10:30:00;  2,39
06.10.1991 02:45:00;  2,56
04.11.1991 15:00:00;  3,12
12.12.1991 02:15:00;  2,39
01.01.1992 08:00:00;  1,64
21.02.1992 05:45:00;  1,16
18.03.1992 06:30:00;  1,64
15.04.1992 14:00:00;  5,50
21.05.1992 11:45:00;  2,23
03.06.1992 18:45:00;  1,51
29.07.1992 16:00:00;  1,16
10.08.1992 17:15:00;  1,64
04.09.1992 11:15:00;  1,16
09.10.1992 10:15:00;  1,64
30.11.1992 23:59:55;  4,47
29.12.1992 23:15:00;  1,78
07.01.1993 14:00:00;  1,78
24.02.1993 14:00:00;  1,48
06.03.1993 08:15:00;  2,16
01.04.1993 19:00:00;  2,48
25.05.1993 17:45:00;  1,87
30.06.1993 23:59:55;  1,73
03.07.1993 02:00:00;  1,48
04.08.1993 15:30:00;  1,37
06.09.1993 13:30:00;  1,87
20.10.1993 22:15:00;  3,88
27.11.1993 23:00:00;  3,03
07.12.1993 07:45:00;  3,05
31.01.1994 23:59:55;  3,42
18.02.1994 07:45:00;  2,33
01.03.1994 00:00:00;  3,22
01.04.1994 00:00:00;  3,34
30.05.1994 00:00:00;  3,75
28.06.1994 08:30:00;  2,90
31.07.1994 23:59:55;  2,01
06.08.1994 07:45:00;  1,87
08.09.1994 09:15:00;  2,01
18.10.1994 20:15:00;  2,08
10.11.1994 20:15:00;  2,00
12.12.1994 08:00:00;  1,23
14.01.1995 07:45:00;  2,09
07.02.1995 20:30:00;  2,61
18.03.1995 11:45:00;  4,18
19.04.1995 06:30:00;  4,18
30.05.1995 21:30:00;  2,78
10.06.1995 20:00:00;  2,59
14.07.1995 09:30:00;  2,08
31.08.1995 23:59:55;  1,93
04.09.1995 00:00:00;  1,41
29.10.1995 15:45:00;  2,38
07.11.1995 17:30:00;  2,21
17.12.1995 00:10:00; 0,970
31.01.1996 06:45:00;  2,96
23.02.1996 07:45:00;  1,03
05.03.1996 10:30:00;  1,68
05.04.1996 05:30:00;  3,18
25.05.1996 00:00:00;  3,00
19.06.1996 08:00:00;  1,66
26.07.1996 00:10:00; 0,771
02.08.1996 06:30:00;  2,05
14.09.1996 00:10:00; 0,772
02.10.1996 06:00:00;  3,34
10.11.1996 00:00:00;  3,14
19.12.1996 15:45:00;  4,26
17.01.1997 14:52:30;  2,85
12.02.1997 05:09:10;  2,50
31.03.1997 23:59:55;  2,37
23.04.1997 19:40:15;  2,03
30.05.1997 23:44:25;  2,56
13.06.1997 20:03:50;  1,09
31.07.1997 23:59:55;  2,41
29.08.1997 03:16:45;  2,00
13.09.1997 20:00:15;  1,92
31.10.1997 13:56:30;  1,47
03.11.1997 03:03:05;  1,54
10.12.1997 19:16:20;  1,90
28.01.1998 08:37:10;  2,42
05.02.1998 10:59:50;  1,37
06.03.1998 16:46:50;  1,24
01.04.1998 18:42:25;  2,40
13.05.1998 19:12:35;  1,53
27.06.1998 08:53:40;  1,29
22.07.1998 20:05:30;  2,14
11.08.1998 06:51:25;  1,28
05.09.1998 04:36:45;  1,75
28.10.1998 02:37:35;  3,40
25.11.1998 07:30:30;  2,59
09.12.1998 16:35:50;  1,65
22.01.1999 09:47:45;  1,91
10.02.1999 00:14:05;  1,73
01.03.1999 09:29:55;  1,87
04.04.1999 14:31:10;  1,87
31.05.1999 18:46:40;  4,15
17.06.1999 18:00:50;  2,49
08.07.1999 09:30:25;  2,06
11.08.1999 05:31:55;  2,29
17.09.1999 06:54:05;  1,58
17.10.1999 10:09:20;  2,41
29.11.1999 18:59:40;  2,96
31.12.1999 04:18:15;  1,73
24.01.2000 18:23:25;  1,76
11.02.2000 09:44:15;  2,02
06.03.2000 14:05:20;  1,79
24.04.2000 15:31:15;  3,37
18.05.2000 13:17:25;  2,23
23.06.2000 00:07:25;  2,24
28.07.2000 12:51:45;  2,12
23.08.2000 23:38:30;  1,95
10.09.2000 17:52:00;  2,02
30.10.2000 07:16:50;  2,48
30.11.2000 23:59:55;  7,93
22.12.2000 10:32:10;  2,36
04.01.2001 12:49:15;  3,58
26.02.2001 10:55:05;  3,12
02.03.2001 23:29:20;  3,38
19.04.2001 06:41:45;  5,21
30.05.2001 18:04:35;  3,16
07.06.2001 16:20:10;  2,40
29.07.2001 21:52:15;  2,49
31.08.2001 23:59:55;  2,18
01.09.2001 00:10:00;  2,18
31.10.2001 23:59:55;  2,46
08.11.2001 09:30:25;  2,18
31.12.2001 19:14:25;  1,96
26.01.2002 08:06:10;  1,93
26.02.2002 13:23:45;  1,97
29.03.2002 23:56:40;  2,09
12.04.2002 03:49:45;  2,10
19.05.2002 12:45:20;  2,68
23.06.2002 20:34:40;  2,41
10.07.2002 02:35:30;  2,35
04.08.2002 05:21:10;  2,68
18.09.2002 15:55:00;  2,39
06.10.2002 18:25:50;  2,46
11.11.2002 08:46:20;  1,54
26.12.2002 07:06:15;  3,62
20.01.2003 23:49:15;  3,19
15.02.2003 06:32:45;  2,50
24.03.2003 19:27:35;  2,79
09.04.2003 12:02:00;  3,14
19.05.2003 20:23:00;  2,57
30.06.2003 23:59:55;  2,09
28.07.2003 16:23:20;  1,25
20.08.2003 13:46:50;  1,80
09.09.2003 16:32:10;  2,00
03.10.2003 18:31:15;  1,94
26.11.2003 11:36:35;  3,02
25.12.2003 16:21:45;  2,56
24.01.2004 11:32:55;  2,61
22.02.2004 07:49:10;  2,65
12.03.2004 21:10:40;  2,50
01.04.2004 14:45:10;  6,35
27.05.2004 15:42:00;  3,57
11.06.2004 22:21:05;  4,02
31.07.2004 23:59:55;  3,87
18.08.2004 14:11:50;  2,14
23.09.2004 16:21:30;  2,79
08.10.2004 14:03:40;  2,69
11.11.2004 19:27:35;  2,31
22.12.2004 11:06:55;  2,56
30.01.2005 09:35:10;  2,02
28.02.2005 08:43:50;  1,78
01.03.2005 11:44:20;  1,69
09.04.2005 01:41:20;  2,71
17.05.2005 23:43:45;  3,07
08.06.2005 10:22:05;  2,24
04.07.2005 23:22:30;  2,67
03.08.2005 06:52:30;  2,67
07.09.2005 15:22:30;  2,43
31.10.2005 16:22:30;  2,95
24.11.2005 08:22:30;  2,42
30.12.2005 21:52:30;  1,99
25.01.2006 09:07:30;  1,71
12.02.2006 06:22:30;  1,80
03.03.2006 03:52:30;  1,71
08.04.2006 13:52:30;  7,91
23.05.2006 10:37:30;  3,79
29.06.2006 16:22:30;  2,82
27.07.2006 14:37:30;  1,69
25.08.2006 02:07:30;  2,43
14.09.2006 11:07:30;  2,09
14.10.2006 00:07:30;  2,31
17.11.2006 12:37:30;  1,99
06.12.2006 13:07:30;  2,09
19.01.2007 09:37:30;  2,09
05.02.2007 10:07:30;  2,20
17.03.2007 11:52:30;  3,10
29.04.2007 22:22:30;  1,89
31.05.2007 04:22:30;  2,20
23.06.2007 07:52:30;  1,44
02.07.2007 22:52:30;  1,69
07.08.2007 16:37:30;  1,80
18.09.2007 10:52:30;  2,20
06.10.2007 00:52:30;  2,81
23.11.2007 02:07:30;  2,20
29.12.2007 02:52:30;  1,71
01.01.2008 00:37:30;  2,42
17.02.2008 03:07:30;  1,73
01.03.2008 00:00:00;  2,54
03.04.2008 12:37:30;  4,30
30.05.2008 18:22:30;  2,20
01.06.2008 14:52:30;  2,69
06.07.2008 21:37:30;  2,28
11.08.2008 12:52:30;  2,81
22.09.2008 10:52:30;  1,62
09.10.2008 16:07:30;  1,25
10.11.2008 11:37:30;  2,40
30.12.2008 11:52:30;  5,49
09.01.2009 02:07:30;  2,42
27.02.2009 16:37:30;  1,62
02.03.2009 17:52:30;  1,71
17.04.2009 09:37:30;  8,00
23.05.2009 07:37:30;  3,10
02.06.2009 15:52:30;  2,31
24.07.2009 06:52:30;  3,12
18.08.2009 13:22:30;  1,73
01.09.2009 14:52:30;  2,54
12.10.2009 10:07:30;  2,54
02.11.2009 00:52:30;  2,97
20.12.2009 09:37:30;  3,12
27.01.2010 05:00:05;  3,55
09.02.2010 13:00:00;  1,68
19.03.2010 16:15:00;  2,56
30.04.2010 09:07:30;  4,78
12.05.2010 09:37:30;  3,55
11.06.2010 10:22:30;  3,02
17.07.2010 17:37:30;  2,28
10.08.2010 18:07:30;  2,28
15.09.2010 06:37:30;  2,42
16.10.2010 09:45:05;  2,40
30.11.2010 16:07:30;  4,62
03.12.2010 10:07:30;  3,81
23.01.2011 12:52:30;  2,87
03.02.2011 13:52:30;  2,71
08.03.2011 07:37:30;  2,87
01.04.2011 10:22:30;  1,58
03.05.2011 10:22:30;  1,48
16.06.2011 12:45:05;  3,02
07.07.2011 07:15:00;  2,67
29.08.2011 09:15:00;  1,44
12.09.2011 09:45:00;  2,13
05.10.2011 08:30:00;  2,25
24.11.2011 18:00:00;  1,24
07.12.2011 07:15:00;  1,88
16.01.2012 05:30:05;  1,24
01.02.2012 04:00:05;  1,24
27.03.2012 03:15:00;  2,25
05.04.2012 11:15:00;  2,00
12.05.2012 13:45:05;  2,00
21.06.2012 08:15:05;  2,39
30.07.2012 09:15:05;  1,65
02.08.2012 10:45:05;  1,54
12.09.2012 14:15:00;  2,25
08.10.2012 07:30:05;  2,39
26.11.2012 11:45:05;  4,13
13.12.2012 07:45:05;  3,28
29.01.2013 02:00:05;  2,39
11.02.2013 07:45:05;  2,67
05.03.2013 09:30:00;  2,97
03.04.2013 14:00:00;  4,90
