Messstelle:                ;Mittersill
05.02.1956 12:00:00;  3,70
19.03.1956 12:00:00;  3,34
09.04.1956 12:00:00;  6,95
02.05.1956 12:00:00;  9,92
11.06.1956 12:00:00;  28,7
01.07.1956 12:00:00;  36,6
14.08.1956 12:00:00;  28,4
30.09.1956 12:00:00;  17,7
26.10.1956 12:00:00;  11,8
25.11.1956 12:00:00;  7,87
26.12.1956 12:00:00;  7,18
30.01.1957 12:00:00;  7,41
24.02.1957 12:00:00;  6,95
03.03.1957 12:00:00;  7,87
16.04.1957 12:00:00;  10,4
09.05.1957 12:00:00;  15,0
01.06.1957 12:00:00;  29,9
31.07.1957 12:00:00;  36,6
06.08.1957 12:00:00;  28,6
22.09.1957 12:00:00;  18,5
31.10.1957 12:00:00;  10,6
28.11.1957 12:00:00;  6,58
30.12.1957 12:00:00;  6,16
19.01.1958 12:00:00;  5,11
09.02.1958 12:00:00;  5,11
24.03.1958 12:00:00;  6,16
14.04.1958 12:00:00;  8,00
01.05.1958 12:00:00;  13,3
06.06.1958 12:00:00;  24,7
19.07.1958 12:00:00;  33,7
28.08.1958 12:00:00;  21,0
30.09.1958 12:00:00;  15,9
10.10.1958 12:00:00;  15,0
30.11.1958 12:00:00;  9,25
18.12.1958 12:00:00;  6,79
25.01.1959 12:00:00;  6,16
18.02.1959 12:00:00;  5,95
19.03.1959 12:00:00;  6,58
02.04.1959 12:00:00;  8,75
04.05.1959 12:00:00;  15,7
03.06.1959 12:00:00;  25,5
28.07.1959 12:00:00;  42,5
31.08.1959 12:00:00;  24,3
30.09.1959 12:00:00;  12,9
19.10.1959 12:00:00;  6,00
27.11.1959 12:00:00;  5,00
27.12.1959 12:00:00;  5,25
29.01.1960 12:00:00;  3,40
02.02.1960 12:00:00;  3,60
10.03.1960 12:00:00;  6,00
30.04.1960 12:00:00;  8,90
01.05.1960 12:00:00;  7,78
17.06.1960 12:00:00;  33,6
05.07.1960 12:00:00;  23,5
30.08.1960 12:00:00;  31,3
29.09.1960 12:00:00;  16,4
29.10.1960 12:00:00;  10,6
30.11.1960 12:00:00;  7,25
31.12.1960 12:00:00;  4,80
30.01.1961 12:00:00;  4,20
03.02.1961 12:00:00;  4,00
06.03.1961 12:00:00;  6,08
01.04.1961 12:00:00;  7,71
02.05.1961 12:00:00;  16,7
05.06.1961 12:00:00;  35,3
11.07.1961 12:00:00;  27,4
31.08.1961 12:00:00;  27,8
28.09.1961 12:00:00;  14,8
23.10.1961 12:00:00;  6,76
24.11.1961 12:00:00;  4,80
30.12.1961 12:00:00;  4,60
26.01.1962 12:00:00;  4,60
18.02.1962 12:00:00;  4,20
04.03.1962 12:00:00;  4,40
13.04.1962 12:00:00;  6,53
03.05.1962 12:00:00;  13,1
09.06.1962 12:00:00;  29,7
06.07.1962 12:00:00;  33,4
31.08.1962 12:00:00;  32,5
30.09.1962 12:00:00;  12,5
28.10.1962 12:00:00;  6,30
18.11.1962 12:00:00;  5,20
14.12.1962 12:00:00;  5,00
13.01.1963 12:00:00;  4,19
27.02.1963 12:00:00;  3,98
07.03.1963 12:00:00;  3,39
04.04.1963 12:00:00;  3,78
07.05.1963 12:00:00;  13,5
18.06.1963 12:00:00;  29,7
30.07.1963 12:00:00;  32,5
11.08.1963 12:00:00;  28,8
30.09.1963 12:00:00;  17,7
31.10.1963 12:00:00;  5,97
03.11.1963 12:00:00;  5,74
28.12.1963 12:00:00;  3,39
18.01.1964 12:00:00;  2,62
22.02.1964 12:00:00;  2,81
08.03.1964 12:00:00;  3,78
01.04.1964 12:00:00;  5,05
03.05.1964 12:00:00;  14,9
11.06.1964 12:00:00;  29,7
16.07.1964 12:00:00;  28,8
15.08.1964 12:00:00;  22,8
30.09.1964 12:00:00;  14,9
08.10.1964 12:00:00;  11,4
13.11.1964 12:00:00;  9,08
27.12.1964 12:00:00;  6,20
28.01.1965 12:00:00;  4,41
13.02.1965 12:00:00;  3,20
01.03.1965 12:00:00;  3,98
15.04.1965 12:00:00;  8,26
01.05.1965 12:00:00;  8,80
03.06.1965 12:00:00;  42,0
11.07.1965 12:00:00;  47,5
18.08.1965 12:00:00;  38,9
24.09.1965 12:00:00;  18,9
31.10.1965 12:00:00;  8,45
24.11.1965 12:00:00;  6,53
16.12.1965 12:00:00;  6,53
22.01.1966 12:00:00;  5,42
01.02.1966 12:00:00;  6,53
20.03.1966 12:00:00;  6,30
02.04.1966 12:00:00;  7,00
12.05.1966 12:00:00;  27,8
03.06.1966 12:00:00;  33,4
02.07.1966 12:00:00;  45,3
30.08.1966 12:00:00;  43,1
29.09.1966 12:00:00;  18,1
31.10.1966 12:00:00;  10,3
29.11.1966 12:00:00;  6,40
17.12.1966 12:00:00;  4,54
23.01.1967 12:00:00;  4,12
07.02.1967 12:00:00;  4,75
22.03.1967 12:00:00;  6,65
02.04.1967 12:00:00;  6,65
06.05.1967 12:00:00;  14,9
17.06.1967 12:00:00;  31,0
11.07.1967 12:00:00;  48,0
31.08.1967 12:00:00;  33,4
30.09.1967 12:00:00;  16,5
31.10.1967 12:00:00;  7,15
26.11.1967 12:00:00;  4,75
31.12.1967 12:00:00;  3,50
27.01.1968 12:00:00;  2,93
19.02.1968 12:00:00;  2,58
13.03.1968 12:00:00;  2,25
14.04.1968 12:00:00;  8,72
02.05.1968 12:00:00;  15,5
13.06.1968 12:00:00;  26,3
29.07.1968 12:00:00;  26,3
28.08.1968 12:00:00;  28,4
21.09.1968 12:00:00;  17,5
31.10.1968 12:00:00;  9,53
30.11.1968 12:00:00;  5,21
13.12.1968 12:00:00;  3,12
19.01.1969 12:00:00;  3,70
14.02.1969 12:00:00;  3,12
07.03.1969 12:00:00;  3,50
05.04.1969 12:00:00;  3,91
11.05.1969 12:00:00;  16,8
30.06.1969 12:00:00;  23,1
01.07.1969 12:00:00;  22,3
31.08.1969 12:00:00;  22,7
28.09.1969 12:00:00;  13,9
31.10.1969 12:00:00;  6,65
28.11.1969 12:00:00;  5,21
24.12.1969 12:00:00;  3,91
24.01.1970 12:00:00;  2,93
07.02.1970 12:00:00;  2,41
08.03.1970 12:00:00;  3,12
05.04.1970 12:00:00;  4,33
04.05.1970 12:00:00;  9,26
01.06.1970 12:00:00;  32,4
06.07.1970 12:00:00;  35,7
30.08.1970 12:00:00;  35,2
30.09.1970 12:00:00;  13,3
29.10.1970 12:00:00;  11,2
29.11.1970 12:00:00;  8,45
27.12.1970 12:00:00;  5,67
26.01.1971 12:00:00;  4,54
27.02.1971 12:00:00;  3,50
09.03.1971 12:00:00;  2,93
01.04.1971 12:00:00;  4,54
01.05.1971 12:00:00;  11,5
15.06.1971 12:00:00;  23,5
23.07.1971 12:00:00;  23,5
30.08.1971 12:00:00;  26,3
22.09.1971 12:00:00;  10,9
30.10.1971 12:00:00;  7,41
30.11.1971 12:00:00;  4,75
29.12.1971 12:00:00;  4,12
16.01.1972 12:00:00;  2,93
24.02.1972 12:00:00;  2,93
14.03.1972 12:00:00;  3,12
01.04.1972 12:00:00;  4,33
02.05.1972 12:00:00;  8,72
03.06.1972 12:00:00;  24,3
03.07.1972 12:00:00;  30,1
27.08.1972 12:00:00;  20,5
30.09.1972 12:00:00;  7,67
20.10.1972 12:00:00;  5,67
30.11.1972 12:00:00;  6,65
31.12.1972 12:00:00;  3,31
29.01.1973 12:00:00;  2,58
12.02.1973 12:00:00;  2,75
05.03.1973 12:00:00;  3,12
16.04.1973 12:00:00;  3,70
01.05.1973 12:00:00;  16,5
10.06.1973 12:00:00;  31,0
31.07.1973 12:00:00;  25,1
31.08.1973 12:00:00;  23,9
14.09.1973 12:00:00;  15,8
31.10.1973 12:00:00;  10,6
29.11.1973 12:00:00;  7,15
11.12.1973 12:00:00;  5,44
29.01.1974 12:00:00;  4,75
28.02.1974 12:00:00;  3,70
12.03.1974 12:00:00;  3,70
27.04.1974 12:00:00;  7,41
03.05.1974 12:00:00;  9,80
14.06.1974 12:00:00;  23,9
09.07.1974 12:00:00;  40,9
27.08.1974 12:00:00;  34,1
19.09.1974 12:00:00;  20,2
31.10.1974 12:00:00;  9,18
29.11.1974 12:00:00;  6,50
24.12.1974 12:00:00;  6,25
28.01.1975 12:00:00;  5,21
22.02.1975 12:00:00;  3,70
03.03.1975 12:00:00;  3,91
01.04.1975 12:00:00;  4,33
05.05.1975 12:00:00;  15,8
06.06.1975 12:00:00;  26,7
30.07.1975 12:00:00;  39,3
31.08.1975 12:00:00;  34,8
27.09.1975 12:00:00;  18,8
31.10.1975 12:00:00;  5,65
13.11.1975 12:00:00;  4,00
26.12.1975 12:00:00;  2,38
05.01.1976 07:00:00;  2,54
15.02.1976 23:30:00;  2,18
13.03.1976 07:30:00;  2,29
12.04.1976 07:00:00;  4,60
01.05.1976 19:00:00;  6,34
07.06.1976 16:00:00;  19,4
15.07.1976 12:30:00;  28,1
04.08.1976 19:00:00;  23,9
26.09.1976 17:00:00;  17,4
30.10.1976 11:00:00;  9,06
28.11.1976 22:00:00;  5,93
31.12.1976 04:00:00;  2,78
02.01.1977 05:00:00;  2,99
16.02.1977 07:30:00;  3,86
02.03.1977 06:00:00;  5,17
17.04.1977 08:30:00;  7,02
10.05.1977 10:30:00;  20,1
05.06.1977 14:30:00;  23,9
29.07.1977 08:00:00;  31,9
28.08.1977 01:00:00;  24,8
29.09.1977 15:30:00;  10,4
31.10.1977 07:00:00;  8,19
20.11.1977 07:00:00;  4,13
31.12.1977 15:30:00;  4,32
21.01.1978 08:00:00;  2,86
11.02.1978 06:00:00;  3,08
28.03.1978 21:00:00;  2,14
18.04.1978 09:00:00;  5,88
16.05.1978 21:00:00;  12,7
29.06.1978 13:30:00;  25,5
09.07.1978 13:30:00;  35,1
29.08.1978 10:30:00;  20,2
05.09.1978 15:30:00;  15,9
22.10.1978 05:00:00;  12,3
28.11.1978 01:30:00;  6,82
29.12.1978 02:00:00;  4,57
31.01.1979 04:30:00;  3,59
01.02.1979 07:30:00;  3,53
03.03.1979 06:30:00;  3,45
03.04.1979 07:00:00;  2,99
04.05.1979 07:30:00;  5,81
20.06.1979 09:30:00;  39,8
06.07.1979 14:30:00;  28,7
31.08.1979 17:00:00;  25,3
30.09.1979 16:30:00;  17,1
31.10.1979 23:59:55;  8,77
26.11.1979 07:30:00;  6,69
31.12.1979 14:30:00;  5,75
28.01.1980 07:30:00;  3,61
27.02.1980 08:00:00;  3,42
04.03.1980 07:00:00;  3,50
12.04.1980 07:00:00;  4,35
01.05.1980 07:30:00;  8,42
03.06.1980 15:30:00;  23,5
03.07.1980 10:30:00;  27,9
26.08.1980 15:30:00;  21,8
30.09.1980 11:30:00;  12,8
07.10.1980 08:30:00;  10,4
29.11.1980 20:30:00;  8,27
29.12.1980 07:00:00;  4,88
22.01.1981 08:00:00;  4,25
24.02.1981 03:30:00;  3,78
01.03.1981 17:30:00;  3,69
30.04.1981 14:30:00;  12,3
05.05.1981 07:00:00;  11,4
23.06.1981 10:30:00;  22,5
07.07.1981 14:00:00;  33,7
31.08.1981 11:00:00;  22,3
08.09.1981 14:00:00;  21,5
29.10.1981 12:00:00;  11,1
29.11.1981 10:30:00;  7,87
27.12.1981 08:00:00;  4,21
28.01.1982 21:30:00;  3,29
28.02.1982 06:30:00;  3,04
15.03.1982 09:00:00;  3,01
30.04.1982 23:00:00;  5,98
02.05.1982 08:00:00;  5,80
16.06.1982 16:30:00;  27,3
19.07.1982 13:30:00;  35,7
26.08.1982 13:30:00;  20,7
30.09.1982 16:00:00;  16,2
31.10.1982 22:30:00;  8,77
30.11.1982 20:30:00;  4,10
30.12.1982 09:00:00;  2,90
02.01.1983 20:00:00;  3,69
26.02.1983 04:30:00;  3,62
04.03.1983 12:30:00;  3,62
06.04.1983 08:30:00;  4,89
04.05.1983 14:00:00;  15,1
19.06.1983 16:30:00;  26,5
17.07.1983 12:30:00;  35,4
15.08.1983 14:00:00;  21,7
30.09.1983 14:00:00;  15,1
31.10.1983 18:00:00;  8,99
23.11.1983 09:00:00;  3,43
02.12.1983 08:30:00;  3,62
30.01.1984 07:30:00;  3,14
19.02.1984 08:30:00;  2,91
05.03.1984 08:45:00;  3,26
10.04.1984 07:45:00;  4,11
01.05.1984 07:45:00;  7,93
10.06.1984 11:30:00;  19,1
07.07.1984 16:30:00;  21,0
20.08.1984 14:15:00;  21,0
21.09.1984 16:45:00;  19,3
31.10.1984 21:30:00;  9,37
28.11.1984 08:00:00;  5,23
31.12.1984 19:45:00;  3,26
22.01.1985 09:15:00;  2,86
22.02.1985 21:00:00;  1,99
05.03.1985 07:00:00;  2,46
01.04.1985 09:15:00;  3,88
01.05.1985 00:15:00;  6,88
19.06.1985 13:30:00;  24,1
03.07.1985 11:30:00;  30,1
31.08.1985 16:45:00;  29,6
30.09.1985 16:30:00;  15,6
30.10.1985 07:30:00;  6,38
28.11.1985 08:30:00;  4,24
28.12.1985 08:30:00;  4,42
30.01.1986 06:45:00;  2,88
27.02.1986 08:45:00;  2,24
01.03.1986 07:15:00;  2,31
01.04.1986 06:45:00;  5,40
11.05.1986 12:30:00;  20,1
07.06.1986 13:00:00;  23,8
16.07.1986 12:45:00;  22,8
31.08.1986 23:59:55;  24,6
30.09.1986 17:15:00;  14,1
25.10.1986 21:15:00;  7,26
13.11.1986 00:30:00;  3,80
27.12.1986 08:00:00;  2,97
20.01.1987 18:15:00;  2,78
06.02.1987 21:30:00;  2,48
22.03.1987 03:30:00;  2,53
03.04.1987 04:45:00;  3,60
09.05.1987 13:00:00;  15,7
23.06.1987 17:30:00;  26,5
29.07.1987 17:00:00;  38,3
09.08.1987 15:00:00;  29,6
30.09.1987 23:59:55;  15,6
09.10.1987 11:00:00;  9,12
30.11.1987 23:59:55;  4,96
13.12.1987 23:00:00;  4,00
24.01.1988 08:45:00;  3,86
14.02.1988 05:00:00;  3,06
10.03.1988 04:45:00;  3,36
02.04.1988 05:45:00;  5,75
01.05.1988 12:30:00;  17,8
03.06.1988 12:30:00;  26,0
21.07.1988 12:45:00;  32,4
18.08.1988 12:00:00;  27,3
27.09.1988 17:15:00;  19,3
31.10.1988 18:30:00;  5,80
29.11.1988 08:30:00;  4,16
17.12.1988 04:15:00;  3,67
31.01.1989 03:15:00;  3,38
01.02.1989 08:00:00;  3,38
01.03.1989 08:45:00;  3,71
24.04.1989 10:15:00;  7,16
01.05.1989 13:00:00;  7,65
18.06.1989 10:30:00;  15,9
21.07.1989 09:00:00;  32,7
05.08.1989 19:30:00;  19,0
25.09.1989 06:00:00;  12,7
30.10.1989 08:45:00;  6,28
28.11.1989 08:15:00;  4,48
15.12.1989 01:30:00;  3,32
25.01.1990 17:30:00;  2,70
01.02.1990 20:15:00;  2,79
06.03.1990 07:00:00;  4,33
11.04.1990 09:15:00;  5,17
01.05.1990 13:30:00;  9,09
01.06.1990 09:45:00;  14,5
28.07.1990 13:00:00;  21,1
23.08.1990 15:30:00;  12,8
17.09.1990 19:45:00;  9,73
25.10.1990 13:45:00;  6,42
08.11.1990 12:00:00;  5,78
31.12.1990 23:59:55;  4,95
28.01.1991 16:15:00;  3,30
19.02.1991 14:45:00;  2,71
03.03.1991 16:15:00;  3,48
10.04.1991 16:00:00;  3,91
03.05.1991 11:45:00;  5,14
06.06.1991 07:00:00;  18,4
01.07.1991 15:45:00;  22,9
31.08.1991 08:45:00;  14,4
25.09.1991 15:15:00;  10,9
31.10.1991 17:00:00;  4,61
03.11.1991 13:00:00;  4,40
15.12.1991 19:30:00;  2,94
28.01.1992 12:15:00;  3,53
20.02.1992 06:00:00;  3,29
01.03.1992 06:45:00;  4,21
02.04.1992 11:45:00;  5,25
01.05.1992 03:30:00;  15,6
10.06.1992 05:15:00;  24,3
14.07.1992 15:30:00;  23,4
25.08.1992 13:15:00;  17,7
27.09.1992 17:45:00;  8,79
28.10.1992 13:15:00;  5,31
15.11.1992 02:45:00;  5,28
26.12.1992 12:15:00;  5,23
07.01.1993 07:15:00;  4,34
24.02.1993 11:45:00;  3,61
05.03.1993 07:15:00;  3,28
01.04.1993 12:00:00;  5,20
02.05.1993 09:30:00;  17,5
15.06.1993 14:00:00;  17,0
14.07.1993 13:30:00;  19,4
20.08.1993 11:30:00;  21,1
30.09.1993 09:30:00;  13,6
17.10.1993 15:30:00;  11,8
30.11.1993 16:30:00;  6,93
29.12.1993 06:45:00;  4,61
21.01.1994 11:15:00;  3,65
19.02.1994 14:15:00;  1,98
01.03.1994 13:00:00;  4,91
12.04.1994 14:00:00;  5,83
07.05.1994 11:15:00;  12,4
08.06.1994 12:45:00;  18,0
31.07.1994 10:15:00;  18,7
16.08.1994 10:30:00;  13,2
30.09.1994 12:15:00;  12,5
22.10.1994 20:00:00;  6,64
10.11.1994 11:00:00;  5,50
20.12.1994 14:30:00;  4,23
18.01.1995 20:15:00;  3,35
13.02.1995 12:15:00;  3,55
08.03.1995 09:15:00;  3,20
01.04.1995 03:00:00;  4,70
23.05.1995 11:45:00;  13,7
04.06.1995 14:45:00;  25,4
31.07.1995 16:15:00;  31,7
20.08.1995 09:15:00;  18,4
30.09.1995 02:15:00;  11,8
21.10.1995 11:00:00;  5,89
30.11.1995 07:30:00;  5,11
30.12.1995 12:00:00;  3,44
31.01.1996 13:30:00;  2,79
29.02.1996 21:00:00;  2,47
05.03.1996 12:15:00;  2,63
04.04.1996 08:45:00;  3,31
04.05.1996 16:45:00;  8,12
28.06.1996 07:15:00;  17,0
22.07.1996 13:30:00;  16,5
21.08.1996 13:30:00;  15,7
30.09.1996 03:45:00;  14,6
14.10.1996 15:30:00;  13,1
29.11.1996 17:15:00;  7,61
26.12.1996 16:15:00;  4,04
30.01.1997 13:16:40;  3,39
03.02.1997 12:51:50;  2,76
02.03.1997 13:15:05;  3,37
23.04.1997 08:34:15;  5,25
09.05.1997 09:48:55;  7,32
01.06.1997 10:39:35;  16,6
13.07.1997 14:20:25;  26,9
22.08.1997 12:45:25;  18,3
30.09.1997 16:24:40;  8,35
29.10.1997 10:30:50;  5,54
24.11.1997 07:30:00;  4,58
31.12.1997 10:27:20;  4,06
27.01.1998 01:01:10;  3,57
11.02.1998 10:42:20;  3,21
03.03.1998 09:27:25;  3,83
17.04.1998 02:24:00;  5,68
01.05.1998 07:07:00;  10,9
18.06.1998 16:05:35;  18,6
18.07.1998 03:32:20;  25,2
31.08.1998 11:11:45;  13,8
30.09.1998 09:10:50;  13,2
28.10.1998 08:29:15;  8,66
30.11.1998 17:26:50;  6,98
08.12.1998 21:30:30;  5,97
28.01.1999 14:32:45;  1,79
01.02.1999 06:41:45;  2,79
01.03.1999 07:36:30;  5,28
01.04.1999 10:34:40;  6,73
02.05.1999 10:46:30;  25,6
21.06.1999 07:32:45;  24,1
31.07.1999 15:37:50;  24,2
24.08.1999 08:01:55;  20,8
16.09.1999 12:02:00;  11,5
19.10.1999 04:27:25;  9,09
30.11.1999 16:27:00;  5,30
22.12.1999 00:40:00;  4,59
22.01.2000 08:15:00;  3,13
22.02.2000 10:45:00;  2,96
06.03.2000 05:45:00;  3,13
01.04.2000 00:30:00;  7,85
24.05.2000 12:36:05;  24,3
28.06.2000 13:54:30;  18,6
01.07.2000 11:09:20;  18,8
30.08.2000 13:17:15;  17,4
30.09.2000 12:50:15;  12,8
31.10.2000 13:51:25;  10,3
12.11.2000 13:52:35;  10,1
31.12.2000 10:17:15;  5,87
31.01.2001 02:20:30;  4,26
27.02.2001 10:15:45;  4,01
03.03.2001 06:11:15;  4,12
23.04.2001 10:17:25;  4,26
07.05.2001 12:35:45;  25,6
06.06.2001 11:48:35;  19,3
30.07.2001 12:35:55;  27,7
30.08.2001 08:24:05;  16,5
23.09.2001 10:52:50;  13,4
31.10.2001 20:00:00;  5,93
22.11.2001 02:45:00;  4,04
10.12.2001 17:30:00;  3,83
27.01.2002 09:15:00;  3,62
22.02.2002 14:30:00;  3,97
04.03.2002 08:45:00;  4,51
19.04.2002 21:15:00;  7,59
01.05.2002 12:45:00;  15,7
30.06.2002 09:45:00;  24,8
01.07.2002 09:45:00;  22,9
31.08.2002 13:00:00;  18,3
19.09.2002 17:45:00;  10,9
31.10.2002 19:15:00;  9,54
14.11.2002 13:45:00;  9,48
20.12.2002 15:00:00;  7,08
31.01.2003 23:59:55;  5,22
18.02.2003 15:15:00;  3,66
01.03.2003 10:45:00;  4,25
08.04.2003 04:15:00;  4,97
16.05.2003 11:45:00;  17,8
30.06.2003 11:15:00;  31,0
14.07.2003 11:00:00;  19,8
27.08.2003 12:00:00;  13,7
28.09.2003 16:45:00;  9,78
31.10.2003 05:15:00;  8,95
30.11.2003 04:15:00;  6,58
31.12.2003 02:30:00;  4,66
31.01.2004 14:30:00;  3,87
18.02.2004 05:22:25;  3,67
13.03.2004 07:58:55;  3,54
15.04.2004 12:00:00;  5,63
11.05.2004 16:00:00;  12,0
03.06.2004 09:15:00;  26,5
15.07.2004 06:30:00;  30,1
23.08.2004 11:15:00;  18,3
22.09.2004 13:15:00;  12,2
25.10.2004 17:15:00;  9,03
29.11.2004 06:15:00;  6,47
29.12.2004 10:00:00;  4,52
31.01.2005 23:59:55;  3,29
17.02.2005 11:15:00;  3,13
07.03.2005 10:15:00;  2,79
11.04.2005 17:00:00;  6,74
12.05.2005 07:45:00;  11,6
11.06.2005 08:00:00;  14,9
03.07.2005 14:45:00;  27,5
14.08.2005 13:45:00;  17,0
16.09.2005 15:15:00;  11,1
31.10.2005 12:45:00;  8,44
28.11.2005 19:45:00;  5,70
30.12.2005 01:52:55;  4,35
29.01.2006 10:51:15;  2,49
13.02.2006 04:05:25;  2,66
13.03.2006 03:00:00;  2,87
07.04.2006 09:45:00;  7,62
01.05.2006 09:30:00;  11,3
08.06.2006 10:45:00;  12,7
18.07.2006 12:45:00;  22,6
24.08.2006 12:15:00;  19,4
30.09.2006 11:45:00;  11,7
22.10.2006 21:30:00;  7,22
29.11.2006 16:45:00;  5,36
28.12.2006 13:45:00;  3,53
27.01.2007 02:15:00;  3,36
06.02.2007 16:45:00;  3,19
23.03.2007 03:45:00;  3,89
01.04.2007 06:15:00;  4,48
08.05.2007 08:00:00;  12,0
01.06.2007 08:30:00;  19,4
31.07.2007 14:45:00;  14,9
02.08.2007 13:30:00;  12,3
03.09.2007 16:00:00;  15,6
26.10.2007 13:15:00;  7,51
19.11.2007 09:15:00;  4,08
31.12.2007 23:59:55;  5,24
09.01.2008 14:45:00;  4,08
14.02.2008 06:00:00;  3,37
06.03.2008 06:30:00;  4,12
08.04.2008 12:15:00;  4,76
02.05.2008 11:15:00;  12,7
16.06.2008 07:45:00;  24,3
10.07.2008 13:45:00;  30,8
30.08.2008 10:00:00;  22,1
28.09.2008 08:30:00;  11,9
27.10.2008 10:00:00;  10,2
28.11.2008 17:00:00;  4,92
31.12.2008 23:59:55;  4,64
27.01.2009 21:45:00;  3,54
19.02.2009 02:45:00;  3,13
01.03.2009 17:30:00;  4,00
01.04.2009 05:15:00;  6,73
01.05.2009 05:30:00;  15,3
02.06.2009 07:30:00;  20,2
12.07.2009 23:45:00;  35,0
31.08.2009 07:45:00;  26,3
29.09.2009 12:15:00;  12,8
31.10.2009 19:45:00;  9,49
30.11.2009 09:30:00;  7,04
12.12.2009 11:30:00;  5,93
27.01.2010 03:15:00;  5,11
16.02.2010 09:00:00;  3,83
09.03.2010 08:00:00;  3,83
06.04.2010 11:00:00;  5,86
20.05.2010 05:30:00;  16,9
02.06.2010 05:30:00;  27,7
28.07.2010 15:30:00;  29,3
29.08.2010 18:30:00;  30,3
28.09.2010 14:45:00;  18,4
22.10.2010 02:15:00;  6,58
30.11.2010 10:00:00;  5,11
05.12.2010 03:15:00;  4,54
30.01.2011 08:00:00;  4,18
24.02.2011 07:45:00;  3,50
08.03.2011 08:15:00;  3,66
01.04.2011 01:15:00;  7,18
01.05.2011 06:30:00;  12,5
07.06.2011 15:00:00;  34,4
04.07.2011 12:00:00;  27,8
30.08.2011 16:00:00;  24,6
17.09.2011 10:30:00;  22,0
31.10.2011 23:30:00;  12,3
26.11.2011 12:45:00;  3,83
29.12.2011 09:30:00;  3,50
16.01.2012 06:15:00;  2,88
07.02.2012 05:15:00;  2,46
01.03.2012 05:45:00;  6,19
18.04.2012 08:15:00;  7,75
18.05.2012 13:30:00;  26,9
15.06.2012 14:45:00;  39,9
18.07.2012 13:00:00;  38,2
30.08.2012 14:00:00;  27,8
22.09.2012 01:45:00;  18,8
31.10.2012 05:45:00;  14,1
28.11.2012 13:15:00;  7,27
20.12.2012 17:45:00;  5,93
03.01.2013 21:30:00;  5,93
26.02.2013 19:15:00;  5,11
01.03.2013 09:30:00;  5,31
01.04.2013 12:45:00;  5,72
26.05.2013 14:15:00;  23,3
01.06.2013 13:30:00;  32,3
31.07.2013 17:30:00;  31,8
31.08.2013 09:30:00;  21,2
25.09.2013 17:15:00;  18,8
