Messstelle:                ;Huben
29.02.1984 23:59:55;  2,18
02.03.1984 00:15:00;  2,16
01.04.1984 00:00:00;  2,16
02.05.1984 13:15:00;  4,95
01.06.1984 11:45:00;  11,4
29.07.1984 13:15:00;  22,7
18.08.1984 13:15:00;  21,1
30.09.1984 18:30:00;  13,3
29.10.1984 11:15:00;  6,63
28.11.1984 03:30:00;  4,23
31.12.1984 23:59:55;  3,23
31.01.1985 23:59:55;  2,44
12.02.1985 10:15:00;  2,11
22.03.1985 22:45:00;  1,10
01.04.1985 14:30:00;  2,39
04.05.1985 14:45:00;  3,54
21.06.1985 16:30:00;  17,0
03.07.1985 13:00:00;  33,1
31.08.1985 14:00:00;  25,8
17.09.1985 13:00:00;  17,1
29.10.1985 12:45:00;  5,04
25.11.1985 09:45:00;  3,14
12.12.1985 10:30:00;  2,15
31.01.1986 23:59:55;  2,11
02.02.1986 00:15:00;  2,09
23.03.1986 06:00:00;  2,07
14.04.1986 09:30:00;  2,69
01.05.1986 13:30:00;  8,78
08.06.1986 11:15:00;  14,1
14.07.1986 13:00:00;  25,9
31.08.1986 19:30:00;  20,8
29.09.1986 13:30:00;  11,9
31.10.1986 07:30:00;  4,98
25.11.1986 01:00:00;  3,22
31.12.1986 23:59:55;  2,50
31.01.1987 23:59:55;  2,20
28.02.1987 23:59:55;  2,11
21.03.1987 12:00:00;  1,54
02.04.1987 12:15:00;  1,64
08.05.1987 12:30:00;  7,58
06.06.1987 14:30:00;  17,0
29.07.1987 11:30:00;  31,8
07.08.1987 12:00:00;  23,3
30.09.1987 11:30:00;  15,6
31.10.1987 23:59:55;  8,07
30.11.1987 23:59:55;  4,15
26.12.1987 09:15:00;  3,03
31.01.1988 23:59:55;  2,27
09.02.1988 07:00:00;  1,75
24.03.1988 10:15:00; 0,792
01.04.1988 03:15:00;  1,37
05.05.1988 10:00:00;  8,75
03.06.1988 16:30:00;  18,1
17.07.1988 10:45:00;  34,8
26.08.1988 13:45:00;  20,3
19.09.1988 13:00:00;  11,8
31.10.1988 23:59:55;  6,85
23.11.1988 07:15:00;  3,62
16.12.1988 12:45:00;  3,08
31.01.1989 23:59:55;  2,88
15.02.1989 14:45:00;  2,12
01.03.1989 11:45:00;  2,43
23.04.1989 08:15:00;  4,23
02.05.1989 04:45:00;  3,94
08.06.1989 11:30:00;  15,6
19.07.1989 12:00:00;  35,5
31.08.1989 14:15:00;  19,3
30.09.1989 13:15:00;  10,6
16.10.1989 10:45:00;  5,28
24.11.1989 04:30:00;  3,21
31.12.1989 23:59:55;  2,43
27.01.1990 11:30:00;  2,18
15.02.1990 01:00:00;  1,44
03.03.1990 08:00:00;  2,41
13.04.1990 13:30:00;  3,26
01.05.1990 14:00:00;  7,69
01.06.1990 15:15:00;  17,4
05.07.1990 13:00:00;  36,0
22.08.1990 12:15:00;  21,2
29.09.1990 16:45:00;  7,81
28.10.1990 11:15:00;  4,81
29.11.1990 15:45:00;  3,34
31.12.1990 08:15:00;  2,62
10.01.1991 00:00:00;  2,45
26.02.1991 07:00:00;  2,12
02.03.1991 09:00:00;  1,95
01.04.1991 12:30:00;  3,03
05.05.1991 08:00:00;  3,45
09.06.1991 14:00:00;  12,1
29.07.1991 11:45:00;  25,3
31.08.1991 12:00:00;  20,6
29.09.1991 14:15:00;  13,2
31.10.1991 16:30:00;  5,16
30.11.1991 07:30:00;  3,12
11.12.1991 15:15:00;  2,14
29.01.1992 06:15:00;  1,70
19.02.1992 14:00:00;  1,25
01.03.1992 11:00:00;  1,60
01.04.1992 17:45:00;  2,03
01.05.1992 13:45:00;  7,59
09.06.1992 15:45:00;  24,6
14.07.1992 14:15:00;  33,2
16.08.1992 12:15:00;  28,6
26.09.1992 13:30:00;  12,9
19.10.1992 14:00:00;  6,22
19.11.1992 04:00:00;  4,68
31.12.1992 23:59:55;  3,23
31.01.1993 04:00:00;  2,30
25.02.1993 08:30:00;  1,30
07.03.1993 14:30:00;  1,50
13.04.1993 21:30:00;  2,43
02.05.1993 14:45:00;  10,5
05.06.1993 11:15:00;  26,3
14.07.1993 17:45:00;  25,3
31.08.1993 17:30:00;  19,3
06.09.1993 12:00:00;  11,8
31.10.1993 10:15:00;  10,7
30.11.1993 07:15:00;  4,71
28.12.1993 13:30:00;  2,85
29.01.1994 08:30:00;  1,06
14.02.1994 09:00:00;  1,08
05.03.1994 12:00:00;  1,95
13.04.1994 14:15:00;  2,36
07.05.1994 12:00:00;  9,66
14.06.1994 15:30:00;  18,7
31.07.1994 10:00:00;  41,2
19.08.1994 12:15:00;  20,8
22.09.1994 14:30:00;  13,0
25.10.1994 17:15:00;  5,38
30.11.1994 12:45:00;  4,43
15.12.1994 21:45:00;  2,36
30.01.1995 00:00:00;  2,43
28.02.1995 07:00:00;  1,90
07.03.1995 08:00:00;  1,73
01.04.1995 10:15:00;  2,17
22.05.1995 11:45:00;  7,61
04.06.1995 13:45:00;  22,6
30.07.1995 10:45:00;  50,5
31.08.1995 23:59:55;  18,0
30.09.1995 11:45:00;  10,8
31.10.1995 11:45:00;  6,30
30.11.1995 05:30:00;  3,60
27.12.1995 11:15:00;  2,82
29.01.1996 05:00:00;  2,41
29.02.1996 23:59:55;  1,99
16.03.1996 13:00:00;  1,92
01.04.1996 15:00:00;  1,86
06.05.1996 14:45:00;  5,95
28.06.1996 14:45:00;  15,1
02.07.1996 12:30:00;  21,6
17.08.1996 13:30:00;  22,4
30.09.1996 17:00:00;  9,34
14.10.1996 14:45:00;  8,70
30.11.1996 14:15:00;  5,65
27.12.1996 06:30:00;  3,57
28.01.1997 17:45:00;  3,10
15.02.1997 12:15:00;  2,55
02.03.1997 13:45:00;  3,02
08.04.1997 11:00:00;  3,22
01.05.1997 18:15:00;  4,90
03.06.1997 13:30:00;  21,4
08.07.1997 12:00:00;  29,0
22.08.1997 11:45:00;  31,2
30.09.1997 15:30:00;  14,1
29.10.1997 12:30:00;  4,54
27.11.1997 08:00:00;  4,41
30.12.1997 08:30:00;  2,79
18.01.1998 06:45:00;  3,16
18.02.1998 15:45:00;  3,10
26.03.1998 09:30:00;  2,62
11.04.1998 09:00:00;  3,37
03.05.1998 11:15:00;  7,38
19.06.1998 12:30:00;  21,2
10.07.1998 11:15:00;  28,3
31.08.1998 13:45:00;  16,9
30.09.1998 15:15:00;  12,2
30.10.1998 07:30:00; 10,00
29.11.1998 01:15:00;  5,34
31.12.1998 23:59:55;  3,78
29.01.1999 16:15:00;  2,99
12.02.1999 00:00:00;  3,08
10.03.1999 01:45:00;  2,51
01.04.1999 09:45:00;  4,24
01.05.1999 14:30:00;  14,1
24.06.1999 15:00:00;  26,2
25.07.1999 10:30:00;  37,0
14.08.1999 11:00:00;  28,3
19.09.1999 13:45:00;  18,8
19.10.1999 13:00:00;  8,98
30.11.1999 23:59:55;  5,10
31.12.1999 23:59:55;  4,00
31.01.2000 23:59:55;  3,54
20.02.2000 22:30:00;  2,70
06.03.2000 10:00:00;  2,76
05.04.2000 23:30:00;  3,98
01.05.2000 10:30:00;  18,4
01.06.2000 14:30:00;  23,5
20.07.2000 14:15:00;  19,2
30.08.2000 12:45:00;  22,9
19.09.2000 14:30:00;  12,8
30.10.2000 15:45:00;  11,7
21.11.2000 11:15:00;  8,02
31.12.2000 23:59:55;  5,00
31.01.2001 08:57:55;  3,49
23.02.2001 14:48:05;  2,37
03.03.2001 07:04:45;  2,87
01.04.2001 17:39:45;  3,71
01.05.2001 00:00:00;  12,2
07.06.2001 14:18:00;  21,1
22.07.2001 13:48:20;  35,0
29.08.2001 12:36:00;  32,9
23.09.2001 00:07:25;  12,6
31.10.2001 13:20:35;  7,96
24.11.2001 07:44:05;  4,79
31.12.2001 23:59:55;  3,35
27.01.2002 15:50:10;  2,78
22.02.2002 07:19:00;  2,64
04.03.2002 23:10:45;  2,37
10.04.2002 13:44:50;  3,66
01.05.2002 12:14:30;  7,35
11.06.2002 15:01:20;  27,0
26.07.2002 15:24:50;  29,0
31.08.2002 11:59:55;  23,7
30.09.2002 11:40:15;  8,43
29.10.2002 11:41:40;  7,16
13.11.2002 07:05:25;  6,29
19.12.2002 11:31:30;  4,31
31.01.2003 23:59:55;  3,00
28.02.2003 11:00:00;  2,63
17.03.2003 09:15:00;  2,52
08.04.2003 08:22:15;  2,95
04.05.2003 14:00:00;  16,7
30.06.2003 10:45:00;  44,5
06.07.2003 11:45:00;  21,0
23.08.2003 10:45:00;  22,0
30.09.2003 12:47:30;  8,33
28.10.2003 07:45:00;  5,68
28.11.2003 14:15:00;  4,13
31.12.2003 23:59:55;  2,95
31.01.2004 23:59:55;  2,54
29.02.2004 23:59:55;  2,27
12.03.2004 05:15:00;  1,86
12.04.2004 13:30:00;  3,49
11.05.2004 12:30:00;  7,50
04.06.2004 14:45:00;  15,7
14.07.2004 15:45:00;  27,7
28.08.2004 14:15:00;  17,6
30.09.2004 15:15:00;  10,6
17.10.2004 11:00:00;  7,02
30.11.2004 11:02:15;  5,55
31.12.2004 23:59:55;  3,55
31.01.2005 23:59:55;  2,78
28.02.2005 23:59:55;  2,11
15.03.2005 08:15:00;  1,80
12.04.2005 14:00:00;  3,58
11.05.2005 14:30:00;  6,49
11.06.2005 09:15:00;  12,8
24.07.2005 10:45:50;  20,4
10.08.2005 13:45:00;  13,8
30.09.2005 11:45:00;  10,5
31.10.2005 15:15:00;  7,45
18.11.2005 11:45:00;  4,10
31.12.2005 23:59:55;  3,39
31.01.2006 23:59:55;  2,79
28.02.2006 23:59:55;  2,55
25.03.2006 10:15:00;  2,52
07.04.2006 11:00:00;  2,93
01.05.2006 15:00:00;  8,37
07.06.2006 14:15:00;  11,0
18.07.2006 10:30:00;  29,5
31.08.2006 09:45:00;  12,8
29.09.2006 15:27:30;  10,8
17.10.2006 13:15:00;  7,14
30.11.2006 10:00:00;  3,80
31.12.2006 23:59:55;  2,98
25.01.2007 12:55:40;  2,09
27.02.2007 08:10:40;  2,13
22.03.2007 08:30:00;  1,84
02.04.2007 13:45:00;  2,37
07.05.2007 13:15:00;  8,78
03.06.2007 12:45:00;  17,6
31.07.2007 13:30:00;  20,0
25.08.2007 11:30:00;  16,5
30.09.2007 11:45:00;  11,4
29.10.2007 10:45:00;  6,43
27.11.2007 07:01:15;  4,02
29.12.2007 10:25:05;  2,28
02.01.2008 12:25:05;  2,09
09.02.2008 09:21:00;  1,88
06.03.2008 11:06:00;  1,87
08.04.2008 10:00:00;  1,94
02.05.2008 14:00:00;  6,66
17.06.2008 12:30:00;  21,5
24.07.2008 13:00:00;  20,9
25.08.2008 12:45:00;  18,9
30.09.2008 12:30:00;  7,79
27.10.2008 13:30:00;  5,84
30.11.2008 08:45:00;  3,62
21.12.2008 21:45:00;  2,58
31.01.2009 23:59:55;  2,56
28.02.2009 23:37:50;  2,12
09.03.2009 21:00:00;  1,81
01.04.2009 00:00:00;  3,14
01.05.2009 13:45:00;  7,73
04.06.2009 15:45:00;  24,4
12.07.2009 13:45:00;  30,3
31.08.2009 12:15:00;  22,3
29.09.2009 13:15:00;  10,9
19.10.2009 14:45:00;  5,09
12.11.2009 07:30:00;  3,65
14.12.2009 05:30:00;  2,93
31.01.2010 23:59:55;  2,48
28.02.2010 23:59:55;  2,06
17.03.2010 09:45:00;  1,83
02.04.2010 00:30:00;  1,84
21.05.2010 12:45:00;  8,93
02.06.2010 19:45:00;  18,4
31.07.2010 14:15:00;  18,8
01.08.2010 12:45:00;  20,3
30.09.2010 12:30:00;  13,2
28.10.2010 09:30:00;  7,55
29.11.2010 09:30:00;  4,62
27.12.2010 10:59:50;  2,55
23.01.2011 11:14:50;  2,19
24.02.2011 10:14:50;  1,53
06.03.2011 12:15:00;  1,82
01.04.2011 10:45:00;  4,45
05.05.2011 11:00:00;  8,04
10.06.2011 12:15:00;  30,3
26.07.2011 11:00:00;  17,5
31.08.2011 10:45:00;  19,3
30.09.2011 11:45:00;  14,3
31.10.2011 12:45:00;  8,10
24.11.2011 10:43:20;  4,62
20.12.2011 13:47:50;  2,90
06.01.2012 18:39:50;  1,79
29.02.2012 16:30:00;  1,91
10.03.2012 09:45:00;  2,10
24.04.2012 20:00:00;  3,23
18.05.2012 15:15:00;  11,6
15.06.2012 13:30:00;  34,5
23.07.2012 11:00:00;  23,3
28.08.2012 12:00:00;  20,2
22.09.2012 15:15:00;  12,3
30.10.2012 02:30:00;  8,73
29.11.2012 14:45:00;  5,64
31.12.2012 04:00:00;  3,34
26.01.2013 09:05:15;  2,64
10.02.2013 08:35:15;  2,19
16.03.2013 08:15:00;  1,98
01.04.2013 11:30:00;  2,15
28.05.2013 08:30:00;  10,8
01.06.2013 10:00:00;  12,8
01.07.2013 12:30:00;  23,4
22.08.2013 13:15:00;  20,0
24.09.2013 12:00:00;  11,5
19.10.2013 09:00:00;  12,0
30.11.2013 23:59:55;  6,77
31.12.2013 05:00:00;  3,36
31.01.2014 20:00:00;  2,44
25.02.2014 10:45:00;  1,59
02.03.2014 12:30:00;  2,22
01.04.2014 10:00:00;  4,87
18.05.2014 14:15:00;  8,98
01.06.2014 14:30:00;  20,9
03.07.2014 15:30:00;  32,0
25.08.2014 13:00:00;  21,4
26.09.2014 10:00:00;  13,3
31.10.2014 12:15:00;  8,10
30.11.2014 15:15:00;  7,21
29.12.2014 06:35:15;  3,68
31.01.2015 23:59:55;  2,72
27.02.2015 02:24:40;  2,42
07.03.2015 04:00:00;  1,89
07.04.2015 09:00:00;  2,27
01.05.2015 13:30:00;  8,61
01.06.2015 13:30:00;  24,6
31.07.2015 11:45:00;  33,2
22.08.2015 12:00:00;  21,9
30.09.2015 12:00:00;  10,1
28.10.2015 11:45:00;  7,61
24.11.2015 07:03:20;  4,13
30.12.2015 03:45:00;  2,54
18.01.2016 22:23:45;  1,51
20.02.2016 09:03:50;  1,96
10.03.2016 05:45:00;  1,54
28.04.2016 07:15:00;  4,86
01.05.2016 21:45:00;  5,25
01.06.2016 14:00:00;  28,8
17.07.2016 13:45:00;  25,4
23.08.2016 11:45:00;  22,5
29.09.2016 14:45:00;  8,32
13.10.2016 09:30:00;  5,12
29.11.2016 12:30:00;  3,10
30.12.2016 09:57:20;  1,28
19.01.2017 03:09:20; 0,952
19.02.2017 09:00:00;  1,54
10.03.2017 17:00:00;  1,38
21.04.2017 10:00:00;  2,62
02.05.2017 11:00:00;  3,86
08.06.2017 10:45:00;  26,9
27.07.2017 10:30:00;  20,2
22.08.2017 12:45:00;  24,3
30.09.2017 12:45:00;  12,3
31.10.2017 09:30:00;  7,74
30.11.2017 23:59:55;  5,23
30.12.2017 10:38:25;  2,97
23.01.2018 16:00:00;  2,37
28.02.2018 05:11:40;  1,64
22.03.2018 12:14:35;  1,80
01.04.2018 20:45:00;  2,60
18.05.2018 12:30:00;  19,7
29.06.2018 13:00:00;  25,2
18.07.2018 10:45:00;  24,1
29.08.2018 13:00:00;  18,6
30.09.2018 14:00:00;  11,8
22.10.2018 11:45:00;  5,34
28.11.2018 12:30:00;  4,26
14.12.2018 08:55:50;  3,55
14.01.2019 16:00:00;  1,89
13.02.2019 06:45:00;  2,50
21.03.2019 09:30:00;  3,14
05.04.2019 23:15:00;  4,76
16.05.2019 13:45:00;  7,73
01.06.2019 12:45:00;  19,5
14.07.2019 15:00:00;  36,9
30.08.2019 11:30:00;  24,2
30.09.2019 16:15:00;  12,2
28.10.2019 10:30:00;  8,96
17.11.2019 16:45:00;  5,23
29.12.2019 05:45:00;  3,82
21.01.2020 04:44:35;  2,64
15.02.2020 10:00:00;  3,10
08.03.2020 12:00:00;  2,87
01.04.2020 10:45:00;  3,86
04.05.2020 14:30:00;  10,3
01.06.2020 13:45:00;  21,6
19.07.2020 12:00:00;  25,3
27.08.2020 12:30:00;  18,6
29.09.2020 09:00:00;  13,0
19.10.2020 09:45:00;  11,2
30.11.2020 12:30:00;  5,39
31.12.2020 10:48:10;  3,88
28.01.2021 20:15:00;  1,07
14.02.2021 08:00:40;  1,60
20.03.2021 23:00:00;  2,66
17.04.2021 11:00:00;  3,70
08.05.2021 11:30:00;  7,61
01.06.2021 14:45:00;  15,3
30.07.2021 11:00:00;  42,2
29.08.2021 14:00:00;  16,2
30.09.2021 15:45:00;  11,5
30.10.2021 11:30:00;  6,13
24.11.2021 06:15:00;  4,46
22.12.2021 07:55:25;  2,42
