Messstelle:                ;Kainisch
11.02.1973 12:00:00; 0,440
21.03.1973 12:00:00; 0,440
22.04.1973 12:00:00;  1,02
13.05.1973 12:00:00;  5,10
22.06.1973 12:00:00;  3,01
21.07.1973 12:00:00;  1,58
20.08.1973 12:00:00; 0,760
22.09.1973 12:00:00; 0,540
16.10.1973 12:00:00;  1,39
30.11.1973 12:00:00;  1,45
31.12.1973 12:00:00;  1,13
12.01.1974 12:00:00; 0,820
28.02.1974 12:00:00;  1,02
12.03.1974 12:00:00; 0,920
27.04.1974 12:00:00;  2,24
08.05.1974 12:00:00;  4,42
10.06.1974 12:00:00;  6,52
31.07.1974 12:00:00;  1,89
31.08.1974 12:00:00;  1,10
18.09.1974 12:00:00; 0,840
19.10.1974 12:00:00;  1,00
30.11.1974 12:00:00;  1,20
26.12.1974 12:00:00;  1,00
26.01.1975 12:00:00;  1,58
28.02.1975 12:00:00;  1,23
02.03.1975 12:00:00;  1,23
03.04.1975 12:00:00;  1,33
05.05.1975 12:00:00;  7,38
06.06.1975 12:00:00;  5,01
31.07.1975 12:00:00;  2,10
10.08.1975 12:00:00;  1,33
30.09.1975 12:00:00; 0,920
31.10.1975 12:00:00; 0,740
18.11.1975 12:00:00; 0,590
31.12.1975 12:00:00; 0,590
02.01.1976 12:00:00; 0,509
22.02.1976 20:00:00; 0,663
26.03.1976 02:00:00; 0,680
14.04.1976 14:00:00;  2,02
01.05.1976 10:00:00;  2,58
30.06.1976 16:00:00;  1,54
19.07.1976 04:00:00;  1,02
30.08.1976 02:00:00;  1,60
29.09.1976 18:00:00;  1,24
15.10.1976 12:00:00; 0,872
22.11.1976 04:00:00; 0,995
30.12.1976 16:00:00; 0,680
10.01.1977 04:00:00; 0,647
03.02.1977 12:00:00; 0,881
03.03.1977 00:00:00;  1,42
17.04.1977 12:00:00;  2,04
10.05.1977 16:00:00;  4,86
25.06.1977 14:00:00;  2,06
31.07.1977 06:00:00;  1,35
28.08.1977 22:00:00;  1,34
26.09.1977 14:00:00;  1,17
28.10.1977 06:00:00; 0,817
13.11.1977 02:00:00; 0,755
24.12.1977 06:00:00; 0,853
19.01.1978 20:00:00; 0,918
19.02.1978 06:00:00; 0,808
26.03.1978 02:00:00;  1,19
22.04.1978 16:00:00;  1,07
15.05.1978 08:00:00;  2,51
24.06.1978 16:00:00;  2,54
31.07.1978 23:59:55;  1,49
29.08.1978 14:00:00;  1,10
05.09.1978 20:00:00;  1,42
22.10.1978 06:00:00;  1,82
29.11.1978 14:00:00;  1,22
29.12.1978 02:00:00; 0,937
23.01.1979 10:00:00; 0,927
01.02.1979 18:00:00;  1,20
01.03.1979 16:00:00;  1,31
05.04.1979 20:00:00;  1,34
08.05.1979 16:00:00;  2,04
30.06.1979 23:59:55;  2,51
01.07.1979 18:00:00;  2,38
24.08.1979 14:00:00;  1,94
12.09.1979 18:00:00;  1,31
31.10.1979 23:59:55;  1,02
01.11.1979 20:00:00; 0,947
31.12.1979 16:00:00;  1,73
30.01.1980 18:00:00; 0,859
10.02.1980 20:00:00; 0,821
03.03.1980 06:00:00; 0,799
12.04.1980 12:00:00;  1,40
01.05.1980 12:00:00;  4,11
23.06.1980 12:00:00;  7,11
31.07.1980 16:00:00;  2,48
22.08.1980 00:00:00;  1,61
30.09.1980 14:00:00; 0,577
01.10.1980 00:00:00; 0,577
15.11.1980 02:00:00;  1,11
31.12.1980 23:59:55; 0,942
18.01.1981 00:00:00; 0,418
01.02.1981 00:00:00; 0,513
07.03.1981 04:00:00; 0,418
30.04.1981 12:00:00;  2,69
06.05.1981 14:00:00;  2,94
30.06.1981 23:59:55;  1,85
12.07.1981 22:00:00;  1,14
16.08.1981 20:00:00;  1,33
13.09.1981 18:00:00;  1,29
10.10.1981 12:00:00;  1,47
12.11.1981 06:00:00;  1,45
29.12.1981 02:00:00; 0,741
22.01.1982 06:00:00; 0,976
28.02.1982 12:00:00; 0,862
03.03.1982 23:00:00; 0,647
15.04.1982 11:00:00;  2,11
02.05.1982 18:00:00;  2,25
26.06.1982 17:00:00;  4,32
17.07.1982 16:00:00;  1,64
28.08.1982 12:00:00;  1,64
20.09.1982 08:00:00;  1,05
11.10.1982 18:00:00; 0,440
13.11.1982 09:00:00; 0,844
04.12.1982 12:00:00; 0,746
03.01.1983 21:00:00; 0,966
25.02.1983 01:00:00; 0,692
06.03.1983 12:00:00; 0,741
06.04.1983 14:00:00;  1,48
27.05.1983 14:00:00;  3,37
27.06.1983 00:00:00;  2,90
11.07.1983 08:00:00; 0,477
29.08.1983 09:00:00; 0,652
02.09.1983 09:00:00; 0,533
08.10.1983 17:00:00; 0,941
24.11.1983 13:00:00; 0,512
18.12.1983 15:00:00; 0,591
28.01.1984 16:00:00;  1,05
23.02.1984 19:00:00; 0,784
14.03.1984 14:00:00; 0,878
05.04.1984 10:00:00;  2,02
01.05.1984 14:00:00;  2,79
21.06.1984 15:00:00;  3,29
25.07.1984 19:00:00;  1,18
23.08.1984 18:00:00;  1,57
03.09.1984 20:00:00;  1,49
24.10.1984 20:00:00; 0,978
30.11.1984 17:00:00; 0,621
31.12.1984 20:00:00; 0,471
17.01.1985 11:30:00; 0,289
23.02.1985 20:00:00; 0,512
19.03.1985 12:30:00; 0,660
19.04.1985 09:00:00;  1,76
01.05.1985 00:00:00;  2,32
30.06.1985 21:30:00;  2,88
30.07.1985 13:00:00;  1,60
17.08.1985 20:30:00;  1,96
30.09.1985 16:30:00;  1,32
07.10.1985 18:00:00; 0,927
28.11.1985 16:00:00; 0,623
01.12.1985 00:00:00; 0,838
13.01.1986 12:00:00; 0,713
28.02.1986 14:30:00; 0,639
05.03.1986 13:15:00; 0,502
15.04.1986 09:45:00;  2,30
28.05.1986 14:30:00;  4,59
29.06.1986 16:45:00;  1,19
18.07.1986 12:15:00; 0,851
09.08.1986 14:30:00;  1,09
28.09.1986 18:45:00; 0,985
17.10.1986 09:00:00; 0,576
23.11.1986 15:15:00; 0,668
17.12.1986 17:15:00; 0,334
29.01.1987 10:45:00; 0,629
01.02.1987 00:00:00; 0,710
23.03.1987 11:00:00; 0,418
02.04.1987 08:30:00;  1,06
09.05.1987 10:15:00;  5,02
19.06.1987 15:30:00;  7,60
24.07.1987 11:15:00;  1,37
18.08.1987 14:45:00;  1,84
15.09.1987 21:30:00; 0,969
16.10.1987 14:00:00; 0,707
11.11.1987 10:45:00; 0,629
15.12.1987 11:45:00; 0,629
21.01.1988 11:45:00; 0,554
29.02.1988 17:15:00; 0,484
01.03.1988 12:15:00; 0,484
02.04.1988 11:30:00;  1,72
23.05.1988 11:15:00;  5,07
30.06.1988 12:00:00;  2,67
28.07.1988 01:00:00;  1,13
21.08.1988 00:30:00;  1,06
28.09.1988 18:45:00;  1,16
20.10.1988 17:00:00; 0,707
09.11.1988 19:45:00; 0,707
22.12.1988 16:30:00;  1,57
27.01.1989 12:45:00; 0,790
01.02.1989 17:15:00; 0,790
03.03.1989 10:15:00;  1,37
30.04.1989 23:59:55;  2,26
01.05.1989 09:45:00;  2,10
15.06.1989 17:15:00;  3,32
24.07.1989 06:45:00;  2,09
26.08.1989 15:15:00;  1,82
25.09.1989 12:00:00;  1,16
28.10.1989 12:30:00;  1,27
21.11.1989 03:00:00; 0,357
14.12.1989 13:15:00; 0,357
16.01.1990 13:30:00; 0,584
06.02.1990 12:45:00; 0,584
31.03.1990 11:00:00;  1,32
13.04.1990 04:15:00;  1,23
31.05.1990 18:00:00;  1,80
28.06.1990 16:45:00;  1,32
30.07.1990 11:15:00; 0,691
14.08.1990 08:45:00; 0,691
02.09.1990 12:00:00; 0,760
26.10.1990 12:00:00; 0,625
09.11.1990 10:30:00; 0,563
21.12.1990 18:00:00; 0,503
30.01.1991 08:15:00; 0,484
19.02.1991 12:45:00; 0,357
01.03.1991 16:45:00; 0,484
24.04.1991 14:15:00; 0,969
08.05.1991 04:30:00;  1,84
26.06.1991 11:30:00;  2,37
14.07.1991 11:15:00;  1,37
31.08.1991 16:45:00; 0,969
04.09.1991 13:00:00; 0,877
31.10.1991 12:30:00; 0,563
02.11.1991 15:45:00; 0,503
10.12.1991 09:30:00; 0,563
23.01.1992 13:15:00; 0,625
28.02.1992 17:00:00; 0,563
01.03.1992 00:00:00; 0,714
19.04.1992 04:30:00;  2,37
01.05.1992 13:45:00;  6,13
29.06.1992 15:45:00;  1,72
30.07.1992 10:30:00; 0,969
31.08.1992 23:59:55; 0,907
25.09.1992 10:00:00; 0,790
16.10.1992 19:30:00; 0,877
17.11.1992 23:45:00;  1,60
29.12.1992 19:15:00; 0,831
05.01.1993 00:00:00; 0,760
26.02.1993 20:30:00; 0,563
01.03.1993 00:00:00; 0,563
01.04.1993 08:30:00;  1,32
30.05.1993 14:15:00;  3,78
15.06.1993 15:30:00;  1,27
11.07.1993 05:15:00;  1,60
21.08.1993 13:00:00;  1,60
24.09.1993 12:45:00;  1,84
19.10.1993 10:30:00;  1,27
24.11.1993 00:45:00; 0,767
04.12.1993 12:45:00; 0,760
20.01.1994 11:30:00; 0,760
23.02.1994 15:30:00; 0,563
01.03.1994 12:30:00; 0,983
13.04.1994 09:45:00;  1,50
31.05.1994 15:00:00;  3,64
28.06.1994 15:00:00;  1,84
17.07.1994 23:00:00;  1,27
02.08.1994 17:00:00;  1,27
28.09.1994 21:45:00; 0,969
02.10.1994 18:45:00; 0,969
09.11.1994 06:30:00;  1,07
27.12.1994 12:30:00; 0,906
16.01.1995 16:00:00; 0,563
03.02.1995 10:15:00; 0,831
15.03.1995 17:15:00; 0,760
01.04.1995 00:00:00;  1,23
22.05.1995 17:00:00;  2,83
30.06.1995 17:30:00;  2,83
31.07.1995 23:59:55;  1,14
14.08.1995 12:00:00; 0,906
27.09.1995 10:45:00;  1,32
31.10.1995 23:59:55; 0,825
01.11.1995 21:15:00; 0,760
15.12.1995 02:45:00; 0,831
27.01.1996 11:00:00; 0,625
10.02.1996 00:15:00; 0,503
01.03.1996 13:15:00; 0,658
04.04.1996 13:45:00;  1,36
25.05.1996 13:45:00;  3,35
19.06.1996 03:00:00;  1,26
24.07.1996 18:45:00;  1,46
12.08.1996 15:15:00;  1,36
01.09.1996 14:45:00;  1,66
17.10.1996 20:00:00;  1,66
30.11.1996 07:15:00;  1,26
31.12.1996 18:30:00; 0,903
15.01.1997 18:50:20; 0,615
06.02.1997 12:46:50; 0,475
02.03.1997 15:59:30;  1,02
24.04.1997 19:28:15;  1,93
10.05.1997 17:25:00;  4,24
30.06.1997 23:59:55;  2,35
31.07.1997 17:28:10;  1,96
26.08.1997 11:03:45; 0,809
29.09.1997 20:04:25; 0,462
01.10.1997 05:31:05; 0,457
06.11.1997 09:58:25; 0,615
08.12.1997 11:07:10; 0,708
27.01.1998 16:49:00; 0,672
10.02.1998 09:39:40; 0,464
04.03.1998 04:34:35; 0,936
20.04.1998 16:29:30;  1,71
18.05.1998 11:40:40;  3,36
25.06.1998 14:01:55;  1,98
25.07.1998 00:41:55;  2,04
17.08.1998 20:34:00;  1,23
03.09.1998 17:01:15;  1,57
12.10.1998 12:52:15;  1,59
30.11.1998 23:59:55;  1,30
12.12.1998 23:39:30; 0,968
31.01.1999 23:59:55; 0,596
19.02.1999 21:00:50; 0,514
01.03.1999 13:03:15; 0,788
01.04.1999 12:16:35;  2,72
17.05.1999 12:04:25;  8,22
30.06.1999 12:52:45;  1,85
20.07.1999 23:33:30;  1,38
09.08.1999 12:38:15;  1,28
26.09.1999 16:50:05; 0,753
27.10.1999 17:51:55; 0,572
07.11.1999 15:09:05; 0,626
31.12.1999 23:59:55; 0,613
13.01.2000 00:59:50; 0,563
25.02.2000 00:16:30; 0,867
08.03.2000 08:13:45; 0,992
09.04.2000 09:12:00;  2,09
30.05.2000 14:24:35;  4,93
22.06.2000 13:09:35;  1,99
03.07.2000 07:31:15;  1,68
30.08.2000 18:05:45;  1,67
27.09.2000 14:25:50;  1,80
31.10.2000 23:46:10;  1,38
01.11.2000 00:00:00;  1,39
27.12.2000 12:30:10;  1,30
24.01.2001 20:53:35; 0,913
05.02.2001 08:00:15; 0,949
01.03.2001 05:42:35;  1,03
23.04.2001 18:47:35;  2,25
31.05.2001 13:30:40;  4,69
30.06.2001 23:59:55;  2,05
10.07.2001 08:31:00;  1,57
20.08.2001 06:13:45;  1,18
30.09.2001 16:43:05;  1,98
14.10.2001 23:27:40;  1,28
24.11.2001 22:15:00;  1,21
26.12.2001 02:30:00;  1,17
15.01.2002 12:15:00;  1,05
25.02.2002 22:30:00;  1,76
05.03.2002 15:00:00;  1,85
11.04.2002 15:30:00;  2,26
25.05.2002 14:15:00;  6,17
27.06.2002 20:30:00;  2,90
11.07.2002 01:30:00;  2,50
31.08.2002 21:15:00;  1,73
15.09.2002 04:45:00;  1,54
31.10.2002 10:45:00;  1,95
30.11.2002 23:59:55;  2,06
20.12.2002 09:42:20;  1,13
27.01.2003 17:15:00;  1,08
10.02.2003 15:00:00; 0,746
01.03.2003 12:00:00; 0,854
11.04.2003 16:00:00;  1,74
31.05.2003 13:00:00;  2,36
30.06.2003 23:59:55;  1,40
16.07.2003 16:30:00;  1,12
28.08.2003 06:30:00; 0,614
09.09.2003 07:30:00; 0,904
03.10.2003 09:55:55;  1,21
17.11.2003 08:16:35;  1,11
30.12.2003 10:47:20; 0,807
09.01.2004 10:55:15; 0,783
02.02.2004 06:46:35; 0,779
13.03.2004 15:45:00;  1,05
14.04.2004 11:15:00;  2,48
25.05.2004 13:30:00;  3,62
19.06.2004 13:15:00;  2,88
23.07.2004 01:15:00;  1,67
10.08.2004 23:00:00;  1,32
15.09.2004 03:45:00;  1,37
31.10.2004 02:15:00;  1,47
05.11.2004 20:45:00;  1,46
31.12.2004 23:59:55;  1,17
01.01.2005 14:15:00;  1,15
10.02.2005 07:30:00;  1,03
15.03.2005 15:00:00; 0,897
12.04.2005 09:30:00;  3,78
12.05.2005 13:23:20;  4,69
29.06.2005 16:28:50;  2,61
31.07.2005 17:30:00;  1,72
03.08.2005 08:30:00;  1,60
16.09.2005 23:00:00;  1,15
31.10.2005 11:00:00;  1,20
16.11.2005 10:30:00;  1,12
01.12.2005 12:30:00;  1,14
31.01.2006 23:59:55;  1,04
08.02.2006 08:45:00; 0,949
08.03.2006 07:15:00;  1,09
08.04.2006 10:45:00;  3,25
25.05.2006 13:30:00;  5,66
27.06.2006 14:15:00;  2,52
28.07.2006 17:00:00;  1,26
03.08.2006 10:45:00;  1,91
30.09.2006 23:59:55;  1,32
23.10.2006 02:30:00;  1,10
04.11.2006 23:00:00;  2,51
30.12.2006 14:15:00;  1,20
01.01.2007 00:00:00;  1,26
08.02.2007 10:45:00;  1,42
25.03.2007 08:15:00;  1,66
05.04.2007 16:30:00;  2,33
28.05.2007 15:38:00;  1,82
11.06.2007 16:15:00;  1,14
23.07.2007 05:30:00;  1,19
28.08.2007 16:45:00; 0,928
30.09.2007 23:59:55;  1,80
17.10.2007 18:50:05;  1,04
21.11.2007 09:52:15;  2,07
31.12.2007 23:59:55;  1,15
10.01.2008 18:15:00; 0,928
21.02.2008 01:15:00; 0,873
28.03.2008 10:15:00;  1,34
08.04.2008 16:15:10;  1,89
02.05.2008 14:33:40;  7,65
30.06.2008 10:00:00;  2,15
07.07.2008 17:15:00;  1,56
07.08.2008 09:00:00;  1,50
10.09.2008 20:00:00;  1,25
30.10.2008 00:30:00;  1,06
13.11.2008 17:45:00; 0,836
15.12.2008 17:00:00; 0,957
31.01.2009 23:59:55; 0,589
03.02.2009 22:34:55; 0,543
10.03.2009 21:33:40; 0,818
01.04.2009 07:36:25;  2,75
28.05.2009 21:02:00;  6,14
19.06.2009 12:54:50;  2,44
31.07.2009 23:59:55;  1,13
02.08.2009 12:43:40;  1,04
03.09.2009 06:27:45;  1,16
01.10.2009 00:00:00;  2,05
01.11.2009 00:00:00; Lücke
01.12.2009 00:00:00; Lücke
01.01.2010 00:00:00; Lücke
01.02.2010 00:00:00; Lücke
01.03.2010 00:00:00; Lücke
01.04.2010 00:00:00; Lücke
20.05.2010 07:30:00;  4,08
26.06.2010 22:00:00;  1,37
02.07.2010 17:00:00;  1,53
23.08.2010 11:15:00;  1,53
24.09.2010 19:30:00;  1,53
16.10.2010 16:00:00;  1,15
30.11.2010 09:45:00;  1,15
07.12.2010 09:00:00;  1,08
04.01.2011 22:45:00;  1,08
02.02.2011 20:30:00;  1,22
02.03.2011 13:30:00;  1,15
17.04.2011 12:00:00;  2,27
22.05.2011 12:30:00;  2,07
07.06.2011 14:45:00;  1,70
17.07.2011 11:09:00;  1,19
25.08.2011 20:45:00;  1,44
05.09.2011 01:15:00;  1,29
25.10.2011 11:00:00;  1,28
28.11.2011 01:15:00; 0,623
21.12.2011 03:15:00; 0,578
01.01.2012 00:00:00; 0,826
02.02.2012 04:45:00; 0,826
11.03.2012 03:15:00;  1,28
18.04.2012 13:00:00;  2,41
18.05.2012 12:30:00;  3,14
30.06.2012 10:30:00;  2,27
08.07.2012 08:45:00;  1,61
18.08.2012 12:45:00;  1,37
30.09.2012 08:45:00;  1,79
26.10.2012 13:00:00;  1,14
26.11.2012 12:15:00; 0,943
07.12.2012 23:45:00; 0,826
02.01.2013 08:30:00;  1,01
24.02.2013 04:45:00;  1,01
03.03.2013 06:00:00;  1,01
04.04.2013 03:45:00;  1,37
26.05.2013 12:45:00;  2,97
23.06.2013 16:00:00;  1,88
18.07.2013 12:15:00;  1,07
02.08.2013 11:15:00;  1,07
