Messstelle:                ;Kienberg (Neuhaus)
19.09.2009 13:54:40;  3,07
07.10.2009 19:24:35;  3,16
17.11.2009 18:29:20;  3,31
22.12.2009 00:41:00;  3,15
27.01.2010 01:32:25;  2,02
15.02.2010 09:47:25;  1,94
13.03.2010 15:30:00;  2,75
30.04.2010 15:25:00;  7,25
13.05.2010 12:35:00;  4,82
15.06.2010 16:45:00;  5,21
23.07.2010 16:00:00;  3,52
23.08.2010 16:35:00;  4,57
25.09.2010 18:00:00;  3,58
14.10.2010 13:20:00;  2,50
30.11.2010 23:35:00;  2,34
02.12.2010 11:50:00;  2,31
07.01.2011 23:32:40;  3,01
28.02.2011 16:15:00;  3,75
08.03.2011 12:00:00;  3,43
29.04.2011 13:05:00;  3,57
20.05.2011 22:20:00;  2,33
30.06.2011 23:59:55;  3,17
18.07.2011 15:25:00;  2,82
23.08.2011 08:35:00;  2,92
18.09.2011 21:50:00;  2,41
05.10.2011 17:30:00;  2,52
28.11.2011 16:10:00;  1,94
01.12.2011 00:00:00;  1,98
01.01.2012 00:35:00;  2,81
21.02.2012 03:50:00;  2,95
10.03.2012 14:20:00;  7,78
13.04.2012 20:20:00;  8,25
31.05.2012 23:59:55;  3,41
01.06.2012 02:55:00;  3,40
07.07.2012 12:45:00;  3,56
29.08.2012 09:30:00;  2,84
05.09.2012 17:30:00;  2,83
31.10.2012 16:35:15;  2,16
29.11.2012 03:06:30;  2,40
10.12.2012 02:50:20;  2,13
03.01.2013 22:45:00;  5,11
18.02.2013 17:10:00;  4,32
27.03.2013 09:40:00;  4,75
04.04.2013 16:10:00;  5,20
24.05.2013 21:40:00;  5,19
22.06.2013 16:10:00;  5,88
31.07.2013 14:50:00;  3,28
25.08.2013 02:45:00;  3,26
16.09.2013 18:10:00;  2,91
25.10.2013 10:05:00;  2,69
02.11.2013 22:15:00;  3,01
08.12.2013 03:45:00;  3,58
29.01.2014 18:50:00;  3,02
15.02.2014 23:05:00;  2,69
15.03.2014 14:20:00;  2,32
08.04.2014 17:15:00;  2,86
08.05.2014 18:52:50;  4,20
29.06.2014 12:50:00;  3,64
27.07.2014 12:25:00;  3,02
30.08.2014 09:40:00;  3,93
10.09.2014 15:00:00;  5,39
16.10.2014 11:10:00;  3,22
28.11.2014 16:40:00;  2,82
30.12.2014 14:35:00;  2,31
01.01.2015 02:40:00;  2,87
14.02.2015 09:40:00;  3,50
01.03.2015 17:00:00;  4,61
08.04.2015 12:45:00;  5,60
10.05.2015 21:05:00;  4,07
11.06.2015 21:05:00;  2,59
31.07.2015 23:45:00;  2,45
15.08.2015 16:25:00;  1,85
02.09.2015 07:10:00;  1,98
06.10.2015 19:45:00;  2,39
12.11.2015 11:30:00;  2,44
28.12.2015 03:27:25;  3,04
09.01.2016 17:35:00;  2,34
20.02.2016 16:00:00;  4,95
17.03.2016 11:15:00;  4,89
29.04.2016 15:05:00;  3,78
01.05.2016 00:05:00;  3,78
30.06.2016 09:35:00;  3,30
09.07.2016 09:50:00;  3,52
05.08.2016 03:35:00;  3,30
30.09.2016 23:45:00;  3,19
02.10.2016 16:50:00;  3,15
30.11.2016 23:30:00;  4,01
10.12.2016 04:45:00;  3,53
30.01.2017 14:55:00;  2,94
02.02.2017 13:17:45;  2,80
08.03.2017 18:20:00;  8,20
20.04.2017 20:15:00;  4,98
31.05.2017 19:45:00;  6,08
30.06.2017 16:10:00;  3,23
20.07.2017 18:20:00;  2,84
31.08.2017 15:45:00;  3,03
17.09.2017 06:45:00;  3,48
05.10.2017 17:10:00;  3,65
18.11.2017 18:10:00;  4,92
10.12.2017 13:35:00;  4,00
22.01.2018 08:50:00;  6,70
28.02.2018 22:15:00;  3,46
01.03.2018 20:20:00;  3,42
30.04.2018 17:20:00;  5,23
31.05.2018 18:20:00;  2,67
04.06.2018 04:10:00;  2,52
27.07.2018 17:45:00;  2,91
24.08.2018 16:05:00;  2,03
22.09.2018 18:15:00;  2,19
14.10.2018 16:20:00;  1,71
29.11.2018 17:45:00;  1,64
01.12.2018 01:05:00;  1,69
31.01.2019 21:05:00;  3,87
01.02.2019 01:30:00;  3,85
29.03.2019 10:05:00;  10,0
15.04.2019 14:00:00;  9,39
04.05.2019 16:30:00;  9,98
30.06.2019 16:20:00;  3,81
26.07.2019 19:30:00;  2,84
31.08.2019 14:30:00;  2,04
07.09.2019 14:00:00;  1,93
28.10.2019 03:50:00;  1,77
04.11.2019 22:15:00;  1,64
20.12.2019 19:00:00;  1,75
23.01.2020 07:15:00;  2,45
23.02.2020 10:50:00;  5,44
31.03.2020 08:30:00;  3,86
30.04.2020 17:30:00;  2,93
22.05.2020 17:00:00;  2,42
05.06.2020 01:40:00;  5,20
25.07.2020 14:40:00;  3,83
13.08.2020 16:55:00;  3,73
24.09.2020 14:10:00;  3,85
03.10.2020 18:45:00;  3,99
30.11.2020 11:55:00;  3,56
21.12.2020 22:15:00;  2,88
12.01.2021 02:50:00;  2,31
15.02.2021 23:55:00;  4,51
23.03.2021 11:05:00;  3,97
08.04.2021 21:30:00;  5,53
31.05.2021 23:59:55;  4,81
30.06.2021 01:10:00;  2,49
14.07.2021 02:35:00;  2,05
16.08.2021 12:10:00;  3,58
30.09.2021 10:50:00;  2,72
05.10.2021 02:15:00;  2,62
30.11.2021 15:30:00;  2,43
01.12.2021 00:00:00;  3,35
