Messstelle:                ;Lech (Tannbergbrücke)
17.12.1954 12:00:00; 0,950
11.01.1955 12:00:00;  1,13
28.02.1955 12:00:00; 0,950
15.03.1955 12:00:00; 0,900
19.04.1955 12:00:00;  1,52
23.05.1955 12:00:00;  4,46
12.06.1955 12:00:00;  9,20
28.07.1955 12:00:00;  8,44
30.08.1955 12:00:00;  4,18
30.09.1955 12:00:00;  2,48
31.10.1955 12:00:00;  1,88
30.11.1955 12:00:00;  1,22
25.12.1955 12:00:00; 0,950
25.01.1956 12:00:00; 0,900
29.02.1956 12:00:00; 0,790
02.03.1956 12:00:00; 0,790
09.04.1956 12:00:00;  1,52
03.05.1956 12:00:00;  3,02
10.06.1956 12:00:00;  8,08
27.07.1956 12:00:00;  8,08
17.08.1956 12:00:00;  5,98
30.09.1956 12:00:00;  2,80
31.10.1956 12:00:00;  2,48
30.11.1956 12:00:00;  1,64
31.12.1956 12:00:00;  1,31
31.01.1957 12:00:00;  1,04
24.02.1957 12:00:00; 0,950
12.03.1957 12:00:00;  1,22
16.04.1957 12:00:00;  1,88
09.05.1957 12:00:00;  2,80
01.06.1957 12:00:00;  7,36
31.07.1957 12:00:00;  7,00
09.08.1957 12:00:00;  4,46
17.09.1957 12:00:00;  2,64
31.10.1957 12:00:00;  1,64
30.11.1957 12:00:00;  1,04
31.12.1957 12:00:00; 0,900
31.01.1958 12:00:00; 0,840
09.02.1958 12:00:00; 0,840
25.03.1958 12:00:00; 0,900
20.04.1958 12:00:00;  1,64
01.05.1958 12:00:00;  3,46
15.06.1958 12:00:00;  6,32
20.07.1958 12:00:00;  5,02
31.08.1958 12:00:00;  2,80
17.09.1958 12:00:00;  2,16
12.10.1958 12:00:00;  1,88
22.11.1958 12:00:00;  1,64
27.12.1958 12:00:00;  1,13
24.01.1959 12:00:00; 0,700
16.02.1959 12:00:00; 0,790
15.03.1959 12:00:00;  1,18
01.04.1959 12:00:00;  1,87
04.05.1959 12:00:00;  3,92
01.06.1959 12:00:00;  6,15
28.07.1959 12:00:00;  2,96
31.08.1959 12:00:00;  2,10
22.09.1959 12:00:00;  1,40
31.10.1959 12:00:00;  1,19
17.11.1959 12:00:00; 0,880
13.12.1959 12:00:00; 0,790
31.01.1960 12:00:00; 0,880
17.02.1960 12:00:00; 0,620
14.03.1960 12:00:00; 0,780
02.04.1960 12:00:00;  2,10
02.05.1960 12:00:00;  2,40
30.06.1960 12:00:00;  6,72
05.07.1960 12:00:00;  3,72
28.08.1960 12:00:00;  3,96
30.09.1960 12:00:00;  2,64
01.10.1960 12:00:00;  2,64
30.11.1960 12:00:00;  1,82
31.12.1960 12:00:00;  1,30
30.01.1961 12:00:00; 0,980
17.02.1961 12:00:00; 0,880
05.03.1961 12:00:00;  1,19
01.04.1961 12:00:00;  2,10
13.05.1961 12:00:00;  3,12
05.06.1961 12:00:00;  6,52
27.07.1961 12:00:00;  4,68
31.08.1961 12:00:00;  2,93
30.09.1961 12:00:00;  1,57
25.10.1961 12:00:00;  1,13
30.11.1961 12:00:00; 0,960
04.12.1961 12:00:00; 0,960
31.01.1962 12:00:00; 0,710
02.02.1962 12:00:00; 0,710
30.03.1962 12:00:00; 0,470
15.04.1962 12:00:00; 0,890
27.05.1962 12:00:00;  5,10
30.06.1962 12:00:00;  4,60
02.07.1962 12:00:00;  3,85
31.08.1962 12:00:00;  2,49
16.09.1962 12:00:00;  1,52
31.10.1962 12:00:00; 0,950
30.11.1962 12:00:00; 0,770
31.12.1962 12:00:00; 0,650
31.01.1963 12:00:00; 0,580
28.02.1963 12:00:00; 0,470
02.03.1963 12:00:00; 0,470
02.04.1963 12:00:00; 0,640
06.05.1963 12:00:00;  3,97
17.06.1963 12:00:00;  7,21
31.07.1963 12:00:00;  3,12
14.08.1963 12:00:00;  2,74
17.09.1963 12:00:00;  2,25
31.10.1963 12:00:00;  1,68
10.11.1963 12:00:00;  1,45
31.12.1963 12:00:00;  1,04
31.01.1964 12:00:00; 0,780
12.02.1964 12:00:00; 0,710
20.03.1964 12:00:00; 0,780
02.04.1964 12:00:00; 0,960
02.05.1964 12:00:00;  4,21
27.06.1964 12:00:00;  3,97
19.07.1964 12:00:00;  2,74
29.08.1964 12:00:00;  2,91
06.09.1964 12:00:00;  2,15
31.10.1964 12:00:00;  2,53
09.11.1964 12:00:00;  1,86
31.12.1964 12:00:00;  1,10
31.01.1965 12:00:00; 0,880
28.02.1965 12:00:00; 0,690
10.03.1965 12:00:00; 0,690
25.04.1965 12:00:00;  1,31
01.05.1965 12:00:00;  1,71
02.06.1965 12:00:00;  6,63
29.07.1965 12:00:00;  8,64
25.08.1965 12:00:00;  3,10
09.09.1965 12:00:00;  2,53
31.10.1965 12:00:00;  1,54
30.11.1965 12:00:00;  1,09
31.12.1965 12:00:00;  1,09
31.01.1966 12:00:00; 0,620
04.02.1966 12:00:00; 0,620
31.03.1966 12:00:00; 0,880
03.04.1966 12:00:00; 0,880
11.05.1966 12:00:00;  4,50
01.06.1966 12:00:00;  7,02
22.07.1966 12:00:00;  9,04
30.08.1966 12:00:00;  6,18
30.09.1966 12:00:00;  2,25
26.10.1966 12:00:00;  1,45
30.11.1966 12:00:00;  1,04
26.12.1966 12:00:00; 0,640
31.01.1967 12:00:00; 0,580
21.02.1967 12:00:00; 0,470
21.03.1967 12:00:00; 0,640
03.04.1967 12:00:00; 0,870
05.05.1967 12:00:00;  2,74
02.06.1967 12:00:00;  6,18
31.07.1967 12:00:00;  8,66
31.08.1967 12:00:00;  3,97
30.09.1967 12:00:00;  3,31
31.10.1967 12:00:00;  1,57
30.11.1967 12:00:00; 0,960
22.12.1967 12:00:00; 0,780
31.01.1968 12:00:00; 0,560
26.02.1968 12:00:00; 0,460
24.03.1968 12:00:00; 0,460
14.04.1968 12:00:00;  1,40
02.05.1968 12:00:00;  4,80
13.06.1968 12:00:00;  7,40
31.07.1968 12:00:00;  5,10
30.08.1968 12:00:00;  4,20
15.09.1968 12:00:00;  2,82
31.10.1968 12:00:00;  2,25
30.11.1968 12:00:00;  1,22
30.12.1968 12:00:00; 0,870
29.01.1969 12:00:00; 0,640
23.02.1969 12:00:00; 0,520
05.03.1969 12:00:00; 0,520
02.04.1969 12:00:00; 0,780
21.05.1969 12:00:00;  3,82
08.06.1969 12:00:00;  3,34
23.07.1969 12:00:00;  3,10
12.08.1969 12:00:00;  1,71
30.09.1969 12:00:00;  1,86
31.10.1969 12:00:00;  1,20
12.11.1969 12:00:00; 0,880
29.12.1969 12:00:00; 0,880
28.01.1970 12:00:00; 0,610
13.02.1970 12:00:00; 0,530
03.03.1970 12:00:00; 0,450
15.04.1970 12:00:00; 0,780
04.05.1970 12:00:00;  1,71
01.06.1970 12:00:00;  7,80
05.07.1970 12:00:00;  9,20
30.08.1970 12:00:00;  4,92
30.09.1970 12:00:00;  2,53
27.10.1970 12:00:00;  2,53
29.11.1970 12:00:00;  1,86
31.12.1970 12:00:00; 0,780
31.01.1971 12:00:00; 0,530
22.02.1971 12:00:00; 0,400
19.03.1971 12:00:00; 0,400
01.04.1971 12:00:00; 0,690
01.05.1971 12:00:00;  3,82
01.06.1971 12:00:00;  5,85
31.07.1971 12:00:00;  3,23
22.08.1971 12:00:00;  2,93
27.09.1971 12:00:00;  1,80
31.10.1971 12:00:00;  1,45
15.11.1971 12:00:00;  1,04
31.12.1971 12:00:00;  1,04
23.01.1972 12:00:00; 0,710
29.02.1972 12:00:00; 0,640
11.03.1972 12:00:00; 0,640
29.04.1972 12:00:00;  1,68
01.05.1972 12:00:00;  2,55
14.06.1972 12:00:00;  5,88
19.07.1972 12:00:00;  3,85
27.08.1972 12:00:00;  2,33
30.09.1972 12:00:00;  1,40
22.10.1972 12:00:00; 0,950
30.11.1972 12:00:00; 0,940
31.12.1972 12:00:00; 0,460
31.01.1973 12:00:00; 0,770
26.02.1973 12:00:00; 0,610
23.03.1973 12:00:00; 0,570
22.04.1973 12:00:00; 0,770
02.05.1973 12:00:00;  5,10
27.06.1973 12:00:00;  9,80
11.07.1973 12:00:00;  6,62
27.08.1973 12:00:00;  2,08
14.09.1973 12:00:00;  1,72
07.10.1973 12:00:00;  2,20
30.11.1973 12:00:00;  1,20
14.12.1973 12:00:00; 0,700
15.01.1974 12:00:00; 0,860
28.02.1974 12:00:00; 0,700
17.03.1974 12:00:00; 0,620
28.04.1974 12:00:00;  1,96
03.05.1974 12:00:00;  2,38
14.06.1974 12:00:00;  5,54
23.07.1974 12:00:00;  9,95
31.08.1974 12:00:00;  4,79
19.09.1974 12:00:00;  2,76
31.10.1974 12:00:00;  2,58
12.11.1974 12:00:00;  1,84
24.12.1974 12:00:00;  1,54
31.01.1975 12:00:00;  1,62
25.02.1975 12:00:00;  1,46
31.03.1975 12:00:00;  1,30
14.04.1975 12:00:00;  1,22
05.05.1975 12:00:00;  4,94
06.06.1975 12:00:00;  6,45
31.07.1975 12:00:00;  9,14
17.08.1975 12:00:00;  5,45
30.09.1975 12:00:00;  2,86
31.10.1975 12:00:00;  1,86
30.11.1975 12:00:00;  1,26
31.12.1975 12:00:00;  1,05
11.01.1976 15:00:00; 0,986
17.02.1976 14:00:00; 0,964
26.03.1976 15:00:00; 0,993
01.04.1976 12:00:00;  2,10
01.05.1976 14:00:00;  3,44
30.06.1976 12:00:00;  4,63
08.07.1976 13:00:00;  3,05
29.08.1976 14:00:00;  2,31
27.09.1976 16:00:00;  2,79
25.10.1976 15:00:00;  1,86
30.11.1976 23:59:55;  1,67
22.12.1976 15:00:00;  1,51
27.01.1977 12:00:00;  1,44
05.02.1977 13:00:00;  1,44
16.03.1977 10:00:00;  1,50
13.04.1977 15:00:00;  1,55
11.05.1977 01:00:00;  3,20
05.06.1977 17:00:00;  6,49
31.07.1977 09:00:00;  6,04
31.08.1977 23:59:55;  3,65
29.09.1977 05:00:00;  1,72
31.10.1977 05:00:00;  1,31
14.11.1977 10:00:00;  1,02
19.12.1977 08:00:00;  1,18
25.01.1978 15:00:00;  1,20
22.02.1978 18:00:00;  1,18
27.03.1978 12:00:00;  1,13
16.04.1978 23:00:00;  1,30
15.05.1978 11:00:00;  2,06
29.06.1978 11:00:00;  5,65
26.07.1978 14:00:00;  7,72
29.08.1978 15:00:00;  3,26
26.09.1978 12:00:00;  2,44
22.10.1978 16:00:00;  2,01
30.11.1978 23:59:55;  1,22
01.12.1978 14:00:00;  1,20
08.01.1979 09:00:00; 0,763
05.02.1979 08:00:00; 0,696
01.03.1979 00:00:00; 0,851
10.04.1979 11:00:00; 0,788
05.05.1979 12:00:00; 0,887
20.06.1979 10:00:00;  8,80
28.07.1979 20:00:00;  4,73
31.08.1979 14:00:00;  3,64
17.09.1979 15:00:00;  2,11
30.10.1979 14:00:00;  1,76
04.11.1979 11:00:00;  1,68
31.12.1979 19:00:00;  1,21
25.01.1980 00:00:00; 0,766
04.02.1980 03:00:00; 0,798
17.03.1980 16:00:00; 0,759
11.04.1980 23:00:00;  1,64
01.05.1980 17:00:00;  2,80
03.06.1980 13:00:00;  7,12
01.07.1980 15:00:00;  9,61
26.08.1980 16:00:00;  3,22
30.09.1980 23:59:55;  2,60
07.10.1980 21:00:00;  2,11
14.11.1980 11:00:00;  1,49
29.12.1980 14:00:00;  1,09
27.01.1981 00:00:00; 0,951
21.02.1981 04:00:00; 0,782
09.03.1981 18:00:00; 0,714
30.04.1981 23:59:55;  2,71
07.05.1981 13:00:00;  2,19
25.06.1981 15:00:00;  5,56
16.07.1981 15:00:00;  6,11
31.08.1981 19:00:00;  3,49
01.09.1981 00:00:00;  3,70
30.10.1981 13:00:00;  1,24
30.11.1981 23:59:55; 0,908
31.12.1981 23:59:55; 0,803
20.01.1982 00:00:00; 0,795
25.02.1982 08:00:00; 0,780
20.03.1982 22:00:00; 0,624
01.04.1982 16:00:00;  1,23
02.05.1982 10:00:00;  1,71
16.06.1982 09:00:00;  8,15
25.07.1982 18:00:00;  4,58
28.08.1982 00:00:00;  2,23
13.09.1982 17:00:00;  2,04
29.10.1982 13:00:00;  1,44
29.11.1982 10:00:00;  1,20
29.12.1982 15:00:00;  1,06
03.01.1983 11:00:00;  1,01
24.02.1983 21:30:00; 0,748
03.03.1983 21:00:00; 0,748
06.04.1983 18:00:00; 0,899
27.05.1983 14:00:00;  2,04
21.06.1983 11:00:00;  6,34
31.07.1983 13:00:00;  2,91
28.08.1983 14:00:00;  2,74
30.09.1983 14:00:00;  1,47
05.10.1983 16:00:00;  1,19
22.11.1983 10:00:00;  1,18
19.12.1983 09:00:00;  1,13
28.01.1984 07:45:00; 0,892
09.02.1984 00:45:00; 0,608
16.03.1984 00:30:00; 0,565
02.04.1984 06:30:00; 0,758
02.05.1984 03:00:00;  1,93
01.06.1984 05:15:00;  4,85
19.07.1984 12:30:00;  4,18
31.08.1984 20:30:00;  4,12
04.09.1984 18:30:00;  2,55
31.10.1984 14:30:00;  1,86
19.11.1984 14:15:00;  1,44
31.12.1984 23:59:55; 1,000
23.01.1985 01:15:00; 0,698
19.02.1985 01:15:00; 0,716
25.03.1985 18:00:00; 0,662
01.04.1985 00:00:00; 0,846
04.05.1985 05:00:00;  1,49
19.06.1985 14:00:00;  8,38
26.07.1985 10:30:00;  4,46
19.08.1985 16:45:00;  3,02
29.09.1985 22:45:00;  1,88
24.10.1985 11:15:00; 0,950
29.11.1985 17:00:00; 0,957
31.12.1985 20:30:00; 0,777
13.01.1986 18:30:00; 0,398
24.02.1986 00:15:00; 0,549
01.03.1986 13:45:00; 0,498
02.04.1986 17:30:00;  1,33
10.05.1986 11:30:00;  4,14
08.06.1986 11:30:00;  5,34
31.07.1986 13:45:00;  3,87
10.08.1986 13:45:00;  2,69
30.09.1986 17:30:00;  1,80
18.10.1986 17:00:00;  1,26
28.11.1986 07:15:00;  1,33
28.12.1986 10:30:00; 0,648
30.01.1987 02:30:00; 0,758
28.02.1987 10:15:00; 0,620
16.03.1987 09:00:00; 0,543
02.04.1987 10:00:00; 0,644
08.05.1987 06:00:00;  2,86
23.06.1987 13:15:00;  7,66
23.07.1987 08:45:00;  12,8
14.08.1987 02:00:00;  4,15
30.09.1987 23:59:55;  3,13
20.10.1987 19:45:00;  1,14
08.11.1987 14:30:00;  1,01
16.12.1987 10:15:00; 0,827
25.01.1988 10:00:00; 0,669
08.02.1988 19:45:00; 0,348
02.03.1988 13:45:00; 0,370
04.04.1988 05:30:00; 0,721
30.05.1988 07:00:00;  6,79
08.06.1988 08:00:00;  4,43
31.07.1988 15:15:00;  5,38
19.08.1988 13:00:00;  3,10
28.09.1988 16:00:00;  2,29
28.10.1988 16:45:00;  1,69
29.11.1988 10:00:00;  1,37
19.12.1988 23:30:00;  1,14
31.01.1989 00:00:00; 0,833
19.02.1989 13:45:00; 0,721
05.03.1989 05:45:00; 0,894
09.04.1989 15:00:00;  2,80
02.05.1989 09:00:00;  1,23
09.06.1989 16:15:00;  3,42
21.07.1989 12:15:00;  5,60
24.08.1989 12:45:00;  3,41
24.09.1989 12:00:00;  2,66
05.10.1989 18:15:00;  2,39
30.11.1989 23:59:55;  1,40
15.12.1989 12:00:00;  1,10
31.01.1990 23:59:55; 0,775
13.02.1990 15:15:00; 0,669
10.03.1990 13:15:00;  1,10
20.04.1990 22:00:00;  1,33
01.05.1990 14:15:00;  3,86
01.06.1990 11:15:00;  4,24
28.07.1990 16:30:00;  2,80
10.08.1990 14:15:00;  2,14
02.09.1990 15:45:00;  2,95
23.10.1990 17:30:00;  1,51
30.11.1990 23:59:55;  1,41
25.12.1990 17:30:00; 0,833
31.01.1991 23:59:55; 0,773
16.02.1991 01:45:00; 0,574
03.03.1991 11:30:00; 0,894
26.04.1991 03:30:00;  1,25
07.05.1991 21:00:00;  1,42
01.06.1991 10:15:00;  4,47
22.07.1991 03:45:00;  4,30
31.08.1991 14:15:00;  1,60
11.09.1991 12:45:00;  1,17
31.10.1991 23:59:55;  1,33
18.11.1991 03:30:00; 0,958
19.12.1991 14:45:00; 0,620
31.01.1992 23:59:55; 0,565
08.02.1992 22:15:00; 0,397
17.03.1992 10:30:00; 0,478
03.04.1992 21:45:00; 0,570
01.05.1992 12:15:00;  3,06
30.06.1992 12:30:00;  7,73
31.07.1992 15:15:00;  3,72
20.08.1992 15:00:00;  1,77
26.09.1992 14:30:00;  1,77
19.10.1992 12:15:00;  1,37
01.11.1992 09:00:00;  2,24
31.12.1992 23:59:55;  1,06
03.01.1993 00:30:00; 0,851
21.02.1993 06:15:00; 0,523
09.03.1993 00:30:00; 0,523
09.04.1993 06:15:00; 0,916
23.05.1993 10:45:00;  6,62
14.06.1993 23:30:00;  5,21
03.07.1993 11:45:00;  5,65
22.08.1993 12:00:00;  3,63
25.09.1993 07:15:00;  2,62
31.10.1993 23:59:55;  1,85
30.11.1993 23:59:55;  1,22
16.12.1993 07:45:00; 0,523
18.01.1994 18:30:00; 0,729
11.02.1994 07:00:00; 0,523
04.03.1994 03:30:00; 0,478
13.04.1994 05:45:00; 0,892
07.05.1994 12:15:00;  5,65
13.06.1994 11:45:00;  6,67
31.07.1994 12:45:00;  3,76
09.08.1994 14:30:00;  2,94
30.09.1994 23:59:55;  2,52
22.10.1994 08:15:00;  1,57
09.11.1994 15:15:00;  1,67
24.12.1994 00:30:00;  1,12
18.01.1995 23:45:00; 0,825
27.02.1995 06:45:00; 0,761
10.03.1995 10:00:00; 0,761
01.04.1995 17:15:00; 0,892
22.05.1995 07:45:00;  4,30
25.06.1995 12:30:00;  6,09
31.07.1995 10:00:00;  5,60
22.08.1995 20:15:00;  3,41
27.09.1995 20:00:00;  3,53
30.10.1995 20:30:00;  1,45
30.11.1995 16:45:00;  1,22
20.12.1995 16:45:00; 0,854
29.01.1996 16:45:00; 0,675
18.02.1996 07:45:00; 0,600
04.03.1996 02:45:00; 0,535
05.04.1996 10:15:00;  1,06
05.05.1996 04:30:00;  2,24
17.06.1996 18:00:00;  2,68
27.07.1996 20:00:00;  2,75
22.08.1996 14:00:00;  2,32
11.09.1996 21:45:00;  1,83
14.10.1996 12:45:00;  1,95
30.11.1996 00:00:00; 0,961
29.12.1996 00:01:00; 0,906
29.01.1997 01:12:05; 0,704
06.02.1997 17:17:15; 0,628
01.03.1997 17:52:15; 0,762
08.04.1997 07:01:15;  1,44
01.05.1997 13:17:25;  2,57
26.06.1997 14:20:15;  7,64
31.07.1997 16:50:05;  5,71
26.08.1997 00:26:15;  2,94
30.09.1997 22:16:40;  1,42
10.10.1997 03:09:05;  1,29
30.11.1997 21:45:35;  1,03
05.12.1997 19:31:30; 0,990
23.01.1998 10:59:25; 0,839
11.02.1998 20:19:20; 0,723
28.03.1998 08:13:10; 0,904
20.04.1998 10:06:15;  1,33
01.05.1998 02:34:30;  3,54
25.06.1998 12:20:35;  5,35
26.07.1998 21:18:20;  3,27
31.08.1998 19:17:00;  1,82
01.09.1998 00:00:00;  1,85
24.10.1998 00:43:10;  2,92
30.11.1998 21:24:10;  1,70
31.12.1998 08:44:15;  1,12
22.01.1999 03:20:15; 0,975
20.02.1999 12:17:25; 0,733
09.03.1999 01:01:25; 0,681
20.04.1999 16:40:05;  1,50
01.05.1999 12:19:05;  9,20
24.06.1999 09:53:50;  10,1
31.07.1999 15:13:15;  6,63
31.08.1999 23:59:55;  4,50
24.09.1999 00:10:25;  2,24
31.10.1999 23:59:55;  1,67
27.11.1999 11:51:30;  1,22
17.12.1999 12:35:05; 0,889
30.01.2000 21:33:35; 0,677
28.02.2000 00:41:00; 0,728
01.03.2000 14:08:20; 0,616
02.04.2000 18:21:55;  1,31
21.05.2000 12:20:40;  5,81
27.06.2000 13:22:00;  5,08
01.07.2000 12:32:10;  6,02
25.08.2000 01:07:30;  2,91
19.09.2000 16:54:10;  2,34
31.10.2000 23:51:30;  1,94
13.11.2000 09:51:15;  1,47
31.12.2000 23:59:55; 0,765
01.01.2001 00:10:10; 0,764
04.02.2001 05:01:45; 0,559
06.03.2001 16:35:25; 0,738
23.04.2001 20:12:20;  1,19
02.05.2001 11:12:15;  7,52
05.06.2001 12:38:40;  6,53
31.07.2001 15:31:05;  3,84
29.08.2001 20:46:55;  2,57
04.09.2001 06:00:25;  3,54
19.10.2001 01:47:55;  2,55
30.11.2001 07:06:20;  1,51
28.12.2001 10:44:05; 0,951
27.01.2002 00:54:35; 0,764
24.02.2002 07:23:05; 0,696
05.03.2002 11:03:05; 0,745
19.04.2002 01:36:05;  2,33
07.05.2002 13:01:30;  4,98
27.06.2002 11:49:05;  5,38
29.07.2002 18:34:55;  3,99
31.08.2002 07:37:45;  3,18
09.09.2002 14:39:25;  2,62
31.10.2002 23:59:55;  2,65
01.11.2002 17:34:10;  2,18
17.12.2002 21:29:35;  1,21
24.01.2003 12:06:00;  1,16
12.02.2003 12:00:00; 0,912
01.03.2003 00:00:00; 0,985
13.04.2003 10:29:25;  1,58
22.05.2003 13:31:50;  5,05
30.06.2003 15:52:10;  2,76
20.07.2003 20:38:20;  2,33
28.08.2003 02:45:25;  1,36
30.09.2003 07:25:05;  1,70
03.10.2003 09:00:25;  1,76
30.11.2003 01:43:25;  1,37
31.12.2003 23:59:55;  1,02
03.01.2004 00:29:35; 0,813
13.02.2004 16:58:40; 0,644
10.03.2004 09:45:00; 0,599
13.04.2004 03:01:00;  1,31
10.05.2004 08:33:05;  3,07
01.06.2004 13:01:00;  6,22
30.07.2004 14:04:50;  4,42
09.08.2004 15:30:55;  2,49
11.09.2004 16:09:45;  2,04
31.10.2004 23:59:55;  1,87
28.11.2004 08:10:05;  1,08
31.12.2004 23:59:55; 0,706
04.01.2005 18:11:25; 0,558
28.02.2005 23:05:55; 0,448
11.03.2005 03:44:45; 0,426
12.04.2005 08:45:00;  1,77
11.05.2005 03:45:00;  3,51
11.06.2005 09:45:00;  4,33
31.07.2005 21:00:00;  3,14
01.08.2005 09:30:00;  2,96
28.09.2005 23:33:25;  3,78
29.10.2005 11:00:00;  1,16
24.11.2005 06:00:00; 0,528
28.12.2005 20:45:00; 0,335
04.01.2006 21:15:00; 0,335
11.02.2006 21:30:00; 0,555
14.03.2006 10:00:00; 0,510
14.04.2006 10:15:00;  1,14
01.05.2006 10:30:00;  4,30
03.06.2006 07:30:00;  6,13
25.07.2006 07:15:00;  1,75
21.08.2006 23:30:00;  3,61
16.09.2006 10:45:00;  2,55
29.10.2006 09:00:00;  1,69
30.11.2006 21:00:00;  1,53
30.12.2006 10:15:00; 0,863
01.01.2007 00:00:00; 0,960
16.02.2007 07:30:00; 0,859
11.03.2007 04:15:00;  1,06
01.04.2007 00:00:00;  1,65
04.05.2007 14:45:00;  4,51
30.06.2007 09:30:00;  5,04
29.07.2007 13:15:00;  4,14
27.08.2007 00:45:00;  3,73
25.09.2007 12:15:00;  3,27
31.10.2007 06:30:00;  1,52
11.11.2007 02:15:00;  1,06
15.12.2007 10:15:00;  1,06
01.01.2008 23:00:00; 0,859
03.02.2008 05:30:00; 0,790
25.03.2008 07:00:00; 0,955
08.04.2008 02:45:00; 0,859
02.05.2008 16:00:00;  7,87
16.06.2008 06:15:00;  8,07
30.07.2008 10:45:00;  4,45
30.08.2008 23:30:00;  2,44
30.09.2008 20:45:00;  1,58
26.10.2008 06:30:00;  1,49
22.11.2008 10:00:00; 0,700
28.12.2008 07:30:00; 0,686
31.01.2009 07:46:45; 0,459
01.02.2009 01:01:50; 0,459
26.03.2009 03:05:00; 0,394
01.04.2009 01:50:20; 0,863
01.05.2009 08:30:00;  4,00
27.06.2009 01:00:00;  7,05
31.07.2009 03:15:00;  4,63
31.08.2009 09:00:00;  2,40
28.09.2009 22:45:00;  1,52
08.10.2009 01:45:00;  1,17
12.11.2009 00:45:00;  1,52
15.12.2009 03:00:00; 0,863
27.01.2010 07:15:00; 0,706
13.02.2010 03:45:00; 0,546
06.03.2010 02:45:00; 0,546
06.04.2010 04:30:00; 0,863
17.05.2010 20:00:00;  4,12
24.06.2010 07:00:00;  5,91
22.07.2010 04:00:00;  3,15
26.08.2010 07:45:00;  3,15
23.09.2010 02:15:00;  2,17
26.10.2010 23:30:00;  1,19
30.11.2010 04:30:00; 0,977
27.12.2010 04:50:00; 0,634
03.01.2011 19:50:00; 0,564
24.02.2011 01:50:00; 0,546
01.03.2011 09:00:00; 0,623
17.04.2011 06:40:00;  2,53
05.05.2011 05:10:00;  3,15
29.06.2011 20:55:00;  4,02
12.07.2011 15:55:00;  2,79
26.08.2011 19:20:00;  1,73
04.09.2011 12:55:00;  1,74
06.10.2011 16:30:00;  1,47
30.11.2011 10:15:00;  1,03
20.12.2011 19:10:00; 0,719
01.01.2012 09:45:00; 0,743
23.02.2012 08:55:00; 0,637
01.03.2012 10:10:00; 0,873
25.04.2012 10:25:00;  2,09
18.05.2012 10:00:00;  6,32
28.06.2012 11:45:00;  9,70
31.07.2012 14:55:00;  4,94
22.08.2012 19:25:00;  2,31
10.09.2012 13:45:00;  2,39
31.10.2012 10:20:00;  1,88
30.11.2012 23:15:00;  1,17
21.12.2012 09:25:00; 0,945
25.01.2013 23:05:00; 0,792
25.02.2013 02:55:00; 0,757
01.03.2013 09:00:00; 0,757
01.04.2013 07:55:00; 0,765
27.05.2013 12:00:00;  3,90
29.06.2013 07:25:00;  5,23
31.07.2013 22:30:00;  4,26
18.08.2013 16:15:00;  2,02
07.09.2013 20:30:00;  2,36
