Messstelle:                ;Rabland
06.08.1960 12:00:00;  9,25
04.09.1960 12:00:00;  8,79
09.10.1960 12:00:00;  11,7
30.11.1960 12:00:00;  8,79
31.12.1960 12:00:00;  5,40
11.01.1961 12:00:00;  4,10
16.02.1961 12:00:00;  4,65
14.03.1961 12:00:00;  4,80
05.04.1961 12:00:00;  5,40
24.05.1961 12:00:00;  9,25
01.06.1961 12:00:00;  10,2
11.07.1961 12:00:00;  14,1
31.08.1961 12:00:00;  7,70
29.09.1961 12:00:00;  5,25
31.10.1961 12:00:00;  5,10
26.11.1961 12:00:00;  4,95
31.12.1961 12:00:00;  5,10
02.01.1962 12:00:00;  5,10
28.02.1962 12:00:00;  3,90
10.03.1962 12:00:00;  3,44
13.04.1962 12:00:00;  3,52
05.05.1962 12:00:00;  9,71
14.06.1962 12:00:00;  18,2
05.07.1962 12:00:00;  12,9
31.08.1962 12:00:00;  7,10
29.09.1962 12:00:00;  4,80
26.10.1962 12:00:00;  4,32
30.11.1962 12:00:00;  4,32
14.12.1962 12:00:00;  3,70
31.01.1963 12:00:00;  3,52
09.02.1963 12:00:00;  3,52
03.03.1963 12:00:00;  3,36
09.04.1963 12:00:00;  3,36
12.05.1963 12:00:00;  7,10
21.06.1963 12:00:00;  20,5
31.07.1963 12:00:00;  14,1
14.08.1963 12:00:00;  7,90
28.09.1963 12:00:00;  8,56
27.10.1963 12:00:00;  5,74
01.11.1963 12:00:00;  8,79
31.12.1963 12:00:00;  5,40
31.01.1964 12:00:00;  3,52
28.02.1964 12:00:00;  3,52
20.03.1964 12:00:00;  3,44
02.04.1964 12:00:00;  3,90
02.05.1964 12:00:00;  6,59
30.06.1964 12:00:00;  7,70
04.07.1964 12:00:00;  7,70
18.08.1964 12:00:00;  6,42
30.09.1964 12:00:00;  4,80
03.10.1964 12:00:00;  4,32
28.11.1964 12:00:00;  5,25
31.12.1964 12:00:00;  4,10
25.01.1965 12:00:00;  3,60
18.02.1965 12:00:00;  3,20
12.03.1965 12:00:00;  2,96
25.04.1965 12:00:00;  4,80
01.05.1965 12:00:00;  4,95
08.06.1965 12:00:00;  17,9
17.07.1965 12:00:00;  14,7
22.08.1965 12:00:00;  10,2
25.09.1965 12:00:00;  11,5
31.10.1965 12:00:00;  7,00
29.11.1965 12:00:00;  4,48
31.12.1965 12:00:00;  3,85
18.01.1966 12:00:00;  2,92
13.02.1966 12:00:00;  3,03
31.03.1966 12:00:00;  3,03
01.04.1966 12:00:00;  3,03
01.05.1966 12:00:00;  8,26
04.06.1966 12:00:00;  11,7
11.07.1966 12:00:00;  9,56
02.08.1966 12:00:00;  12,8
30.09.1966 12:00:00;  9,66
09.10.1966 12:00:00;  7,82
30.11.1966 12:00:00;  8,48
31.12.1966 12:00:00;  5,46
06.01.1967 12:00:00;  3,20
16.02.1967 12:00:00;  3,08
01.03.1967 12:00:00;  3,59
04.04.1967 12:00:00;  3,85
08.05.1967 12:00:00;  7,10
07.06.1967 12:00:00;  13,6
21.07.1967 12:00:00;  12,5
23.08.1967 12:00:00;  11,1
30.09.1967 12:00:00;  11,1
31.10.1967 12:00:00;  6,50
26.11.1967 12:00:00;  6,50
26.12.1967 12:00:00;  5,60
31.01.1968 12:00:00;  4,20
07.02.1968 12:00:00;  3,77
01.03.1968 12:00:00;  4,35
16.04.1968 12:00:00;  5,50
03.05.1968 12:00:00;  8,96
03.06.1968 12:00:00;  14,8
31.07.1968 12:00:00;  8,50
06.08.1968 12:00:00;  7,87
29.09.1968 12:00:00;  7,66
31.10.1968 12:00:00;  5,69
02.11.1968 12:00:00;  4,82
31.12.1968 12:00:00;  4,20
26.01.1969 12:00:00;  3,77
02.02.1969 12:00:00;  3,77
01.03.1969 12:00:00;  3,77
08.04.1969 12:00:00;  3,90
03.05.1969 12:00:00;  11,7
13.05.1969 11:54:25;  16,7
01.06.1969 00:00:00; Lücke
01.07.1969 00:00:00; Lücke
01.08.1969 00:00:00; Lücke
01.09.1969 00:00:00; Lücke
01.10.1969 00:00:00; Lücke
01.11.1969 00:00:00; Lücke
01.12.1969 00:00:00; Lücke
01.01.1970 00:00:00; Lücke
01.02.1970 00:00:00; Lücke
01.03.1970 00:00:00; Lücke
01.04.1970 00:00:00; Lücke
01.05.1970 00:00:00; Lücke
14.06.1970 14:06:10;  19,7
24.07.1970 16:43:05;  12,6
01.08.1970 00:00:00; Lücke
01.09.1970 00:00:00; Lücke
01.10.1970 00:00:00; Lücke
01.11.1970 00:00:00; Lücke
01.12.1970 00:00:00; Lücke
01.01.1971 00:00:00; Lücke
01.02.1971 00:00:00; Lücke
01.03.1971 00:00:00; Lücke
01.04.1971 00:00:00; Lücke
26.05.1971 00:00:00;  14,9
22.06.1971 15:07:30;  13,8
14.07.1971 20:08:15;  10,2
26.08.1971 04:46:10;  6,07
01.09.1971 00:00:00; Lücke
01.10.1971 00:00:00; Lücke
01.11.1971 00:00:00; Lücke
01.12.1971 00:00:00; Lücke
01.01.1972 00:00:00; Lücke
01.02.1972 00:00:00; Lücke
01.03.1972 00:00:00; Lücke
01.04.1972 00:00:00; Lücke
01.05.1972 00:00:00; Lücke
12.06.1972 00:02:50;  16,0
10.07.1972 14:49:40;  19,8
01.08.1972 00:00:00; Lücke
01.09.1972 00:00:00; Lücke
01.10.1972 00:00:00; Lücke
01.11.1972 00:00:00; Lücke
01.12.1972 00:00:00; Lücke
01.01.1973 00:00:00; Lücke
01.02.1973 00:00:00; Lücke
01.03.1973 00:00:00; Lücke
01.04.1973 00:00:00; Lücke
04.05.1973 10:28:50;  6,86
01.06.1973 00:00:00; Lücke
01.07.1973 00:00:00; Lücke
01.08.1973 00:00:00; Lücke
01.09.1973 00:00:00; Lücke
01.10.1973 00:00:00; Lücke
01.11.1973 00:00:00; Lücke
01.12.1973 00:00:00; Lücke
01.01.1974 00:00:00; Lücke
01.02.1974 00:00:00; Lücke
01.03.1974 00:00:00; Lücke
01.04.1974 00:00:00; Lücke
01.05.1974 00:00:00; Lücke
24.06.1974 00:00:00;  12,0
16.07.1974 17:42:25;  12,1
01.08.1974 00:00:00; Lücke
01.09.1974 00:00:00; Lücke
01.10.1974 00:00:00; Lücke
01.11.1974 00:00:00; Lücke
01.12.1974 00:00:00; Lücke
01.01.1975 00:00:00; Lücke
01.02.1975 00:00:00; Lücke
01.03.1975 00:00:00; Lücke
01.04.1975 00:00:00; Lücke
26.05.1975 12:39:55;  31,7
01.06.1975 00:00:00; Lücke
01.07.1975 00:00:00; Lücke
01.08.1975 00:00:00; Lücke
01.09.1975 00:00:00; Lücke
01.10.1975 00:00:00; Lücke
01.11.1975 00:00:00; Lücke
01.12.1975 00:00:00; Lücke
26.01.1976 08:00:00;  2,32
13.02.1976 06:00:00;  2,67
11.03.1976 08:00:00;  2,48
01.04.1976 09:30:00;  3,98
03.05.1976 08:00:00;  4,96
30.06.1976 08:00:00;  7,42
19.07.1976 08:30:00;  5,45
30.08.1976 04:00:00;  5,24
03.09.1976 07:00:00;  6,05
11.10.1976 23:30:00;  8,32
30.11.1976 19:30:00;  7,68
28.12.1976 13:00:00;  4,17
12.01.1977 10:30:00;  3,26
16.02.1977 19:00:00;  3,42
01.03.1977 06:00:00;  3,94
16.04.1977 12:00:00;  5,98
12.05.1977 08:00:00;  13,3
30.06.1977 08:00:00;  20,2
29.07.1977 18:30:00;  11,8
28.08.1977 03:00:00;  12,1
29.09.1977 10:30:00;  7,05
26.10.1977 01:30:00;  4,60
22.11.1977 15:30:00;  4,02
05.12.1977 16:00:00;  4,17
25.01.1978 17:30:00;  3,20
11.02.1978 09:30:00;  2,97
27.03.1978 12:00:00;  3,55
17.04.1978 09:30:00;  4,02
18.05.1978 15:00:00;  7,54
28.06.1978 15:30:00;  15,7
30.07.1978 08:30:00;  12,5
30.08.1978 14:00:00;  8,61
11.09.1978 15:30:00;  6,73
31.10.1978 17:30:00;  6,32
29.11.1978 17:00:00;  4,55
13.12.1978 16:30:00;  4,52
29.01.1979 16:30:00;  3,43
28.02.1979 09:00:00;  2,74
12.03.1979 14:30:00;  3,32
09.04.1979 15:30:00;  4,74
06.05.1979 21:30:00;  6,16
30.06.1979 12:30:00;  22,5
29.07.1979 20:00:00;  9,63
23.08.1979 18:00:00;  7,15
18.09.1979 22:30:00;  5,73
12.10.1979 16:30:00;  9,48
20.11.1979 18:00:00;  7,26
31.12.1979 18:30:00;  6,37
15.01.1980 22:30:00;  4,18
29.02.1980 15:30:00;  3,98
24.03.1980 01:30:00;  4,18
08.04.1980 12:30:00;  4,86
04.05.1980 10:00:00;  6,24
02.06.1980 13:30:00;  10,9
06.07.1980 10:00:00;  13,5
29.08.1980 16:30:00;  7,26
30.09.1980 00:00:00;  5,49
02.10.1980 20:30:00;  6,12
30.11.1980 10:30:00;  5,26
29.12.1980 11:00:00;  4,41
10.01.1981 09:00:00;  3,80
20.02.1981 17:00:00;  3,00
14.03.1981 09:00:00;  3,48
24.04.1981 19:00:00;  3,89
01.05.1981 00:00:00;  3,92
26.06.1981 13:00:00;  8,52
10.07.1981 16:00:00;  7,49
25.08.1981 15:00:00;  5,95
20.09.1981 12:00:00;  5,97
27.10.1981 03:00:00;  5,02
29.11.1981 06:30:00;  5,21
29.12.1981 21:30:00;  4,52
31.01.1982 23:59:55;  3,88
02.02.1982 11:00:00;  3,75
25.03.1982 15:30:00;  3,51
01.04.1982 11:30:00;  3,90
02.05.1982 17:30:00;  4,58
30.06.1982 00:00:00;  10,8
15.07.1982 15:00:00;  5,72
12.08.1982 16:30:00;  6,88
30.09.1982 11:30:00;  4,82
04.10.1982 11:00:00;  5,98
25.11.1982 10:30:00;  6,33
31.12.1982 05:00:00;  4,65
24.01.1983 07:30:00;  3,81
23.02.1983 05:30:00;  2,98
04.03.1983 05:00:00;  3,24
04.04.1983 21:30:00;  3,37
07.05.1983 13:30:00;  7,15
23.06.1983 12:30:00;  11,5
29.07.1983 15:30:00;  4,84
20.08.1983 16:00:00;  4,38
09.09.1983 08:30:00;  3,98
27.10.1983 16:00:00;  3,75
18.11.1983 18:30:00;  3,23
24.12.1983 18:00:00;  2,83
06.01.1984 07:00:00;  2,61
17.02.1984 07:30:00;  2,36
10.03.1984 06:30:00;  2,72
06.04.1984 19:30:00;  2,96
01.05.1984 18:00:00;  5,97
01.06.1984 12:30:00;  16,3
31.07.1984 16:30:00;  7,54
31.08.1984 18:00:00;  5,26
04.09.1984 08:30:00;  5,51
26.10.1984 23:30:00;  6,13
24.11.1984 18:00:00;  4,42
25.12.1984 11:30:00;  3,47
26.01.1985 02:00:00;  3,00
18.02.1985 08:00:00;  2,76
18.03.1985 08:00:00;  3,20
01.04.1985 14:00:00;  3,74
02.05.1985 10:15:00;  5,48
25.06.1985 15:45:00;  15,2
30.07.1985 14:45:00;  8,25
24.08.1985 11:45:00;  6,54
24.09.1985 20:30:00;  4,71
29.10.1985 12:00:00;  3,85
15.11.1985 04:30:00;  3,45
06.12.1985 02:00:00;  3,40
21.01.1986 05:45:00;  2,26
27.02.1986 07:45:00;  2,08
04.03.1986 20:30:00;  2,63
01.04.1986 09:15:00;  3,90
02.05.1986 12:00:00;  15,4
29.06.1986 08:45:00;  13,5
31.07.1986 16:15:00;  6,17
07.08.1986 17:30:00;  6,38
07.09.1986 13:00:00;  6,25
13.10.1986 17:00:00;  4,26
19.11.1986 20:30:00;  3,25
25.12.1986 22:30:00;  2,86
31.01.1987 06:45:00;  2,36
01.02.1987 07:15:00;  2,70
05.03.1987 08:00:00;  2,16
01.04.1987 11:15:00;  3,05
18.05.1987 17:30:00;  9,61
23.06.1987 18:00:00;  13,4
14.07.1987 18:45:00;  16,0
22.08.1987 13:15:00;  6,69
26.09.1987 11:45:00;  7,23
10.10.1987 14:15:00;  5,90
25.11.1987 00:00:00;  4,64
11.12.1987 16:45:00;  3,39
26.01.1988 16:00:00;  3,19
14.02.1988 09:45:00;  2,41
02.03.1988 08:30:00;  2,26
01.04.1988 04:30:00;  2,75
01.05.1988 14:45:00;  8,44
03.06.1988 12:15:00;  7,07
31.07.1988 12:15:00;  8,39
25.08.1988 09:30:00;  3,57
06.09.1988 13:15:00;  2,27
27.10.1988 17:15:00;  4,95
22.11.1988 20:30:00;  2,64
17.12.1988 07:15:00;  2,16
30.01.1989 09:15:00;  1,72
21.02.1989 17:15:00;  1,77
01.03.1989 05:00:00;  1,97
03.04.1989 05:00:00;  4,01
02.05.1989 03:00:00;  6,89
18.06.1989 08:15:00;  10,8
30.07.1989 15:00:00;  10,5
08.08.1989 10:00:00;  7,67
23.09.1989 15:45:00;  5,20
30.10.1989 18:15:00;  3,82
26.11.1989 07:45:00;  2,93
15.12.1989 10:15:00;  2,02
26.01.1990 09:30:00;  2,15
05.02.1990 17:30:00;  2,30
04.03.1990 08:00:00;  2,15
04.04.1990 07:45:00;  3,63
01.05.1990 11:15:00;  5,20
02.06.1990 11:45:00;  6,86
24.07.1990 15:15:00;  4,01
28.08.1990 13:15:00;  3,63
11.09.1990 09:15:00;  3,27
22.10.1990 11:30:00;  2,77
10.11.1990 11:30:00;  3,27
06.12.1990 08:15:00;  2,45
17.01.1991 06:00:00;  2,45
14.02.1991 07:45:00;  2,15
01.03.1991 12:00:00;  3,09
12.04.1991 07:45:00;  3,82
01.05.1991 01:45:00;  4,80
01.06.1991 00:00:00;  6,43
12.07.1991 21:15:00;  12,5
30.08.1991 07:30:00;  6,52
27.09.1991 08:30:00;  3,69
08.10.1991 08:45:00;  3,30
19.11.1991 09:30:00;  2,93
18.12.1991 14:30:00;  2,25
28.01.1992 09:15:00;  2,25
19.02.1992 09:00:00;  1,67
11.03.1992 15:15:00;  1,81
02.04.1992 14:30:00;  2,75
25.05.1992 13:00:00;  7,52
17.06.1992 14:45:00;  4,34
31.07.1992 15:30:00;  5,68
29.08.1992 10:45:00;  4,11
18.09.1992 21:45:00;  4,78
01.10.1992 18:45:00;  5,45
23.11.1992 09:15:00;  4,46
22.12.1992 14:15:00;  3,72
12.01.1993 16:45:00;  3,18
23.02.1993 06:00:00;  2,00
05.03.1993 06:00:00;  2,19
02.04.1993 09:00:00;  2,78
01.05.1993 06:15:00;  4,92
21.06.1993 13:00:00;  4,16
13.07.1993 13:30:00;  4,35
24.08.1993 06:00:00;  3,84
02.09.1993 09:45:00;  3,79
01.10.1993 18:00:00;  7,25
17.11.1993 14:15:00;  6,53
28.12.1993 19:15:00;  4,22
30.01.1994 11:00:00;  3,86
25.02.1994 12:00:00;  3,05
05.03.1994 08:00:00;  3,03
11.04.1994 19:45:00;  2,43
04.05.1994 07:45:00;  5,21
21.06.1994 07:30:00;  8,60
31.07.1994 19:15:00;  6,12
02.08.1994 19:15:00;  3,89
03.09.1994 13:15:00;  6,29
25.10.1994 13:00:00;  5,69
17.11.1994 12:30:00;  3,20
21.12.1994 09:15:00;  3,50
27.01.1995 13:45:00;  2,52
28.02.1995 06:15:00;  2,55
10.03.1995 09:45:00;  1,97
01.04.1995 10:00:00;  3,03
02.05.1995 10:15:00;  4,70
30.06.1995 14:30:00;  12,1
31.07.1995 23:00:00;  8,09
29.08.1995 07:30:00;  5,46
11.09.1995 16:30:00;  5,92
25.10.1995 13:30:00;  3,03
14.11.1995 14:45:00;  2,81
21.12.1995 12:15:00;  2,28
31.01.1996 12:00:00;  2,14
08.02.1996 06:45:00;  1,74
05.03.1996 06:00:00;  1,28
01.04.1996 03:30:00;  2,41
01.05.1996 00:45:00;  4,08
18.06.1996 17:30:00;  5,06
24.07.1996 12:30:00;  4,46
13.08.1996 12:45:00;  4,08
13.09.1996 18:30:00;  3,72
01.10.1996 23:45:00;  5,27
13.11.1996 12:30:00;  7,45
27.12.1996 07:30:00;  3,35
30.01.1997 18:00:00;  3,56
17.02.1997 11:30:00;  2,57
26.03.1997 15:00:00;  3,35
04.04.1997 14:45:00;  2,42
09.05.1997 09:30:00;  3,53
03.06.1997 16:00:00;  7,96
31.07.1997 12:30:00;  10,6
28.08.1997 18:30:00;  5,27
30.09.1997 22:30:00;  5,27
20.10.1997 13:15:00;  3,03
28.11.1997 18:15:00;  3,54
15.12.1997 17:15:00;  3,03
27.01.1998 02:00:00;  2,00
02.02.1998 06:15:00;  2,00
11.03.1998 06:30:00;  2,00
01.04.1998 04:00:00;  2,72
02.05.1998 19:15:00;  5,60
03.06.1998 19:30:00;  6,55
20.07.1998 15:30:00;  7,91
30.08.1998 02:15:00;  5,69
02.09.1998 07:45:00;  5,27
02.10.1998 19:45:00;  6,77
29.11.1998 13:45:00;  4,86
23.12.1998 07:30:00;  3,20
31.01.1999 09:00:00;  2,14
13.02.1999 03:30:00;  2,28
08.03.1999 04:00:00;  2,57
21.04.1999 07:30:00;  3,72
01.05.1999 11:45:00;  7,67
27.06.1999 12:45:00;  11,1
08.07.1999 13:15:00;  8,14
12.08.1999 16:30:00;  7,67
06.09.1999 08:00:00;  6,34
22.10.1999 07:45:00;  4,86
26.11.1999 09:45:00;  4,27
17.12.1999 00:45:00;  3,20
25.01.2000 09:00:00;  1,62
24.02.2000 03:00:00;  2,28
29.03.2000 15:59:35;  2,03
01.04.2000 02:00:00;  3,20
31.05.2000 16:45:00;  7,22
12.06.2000 09:45:00;  5,90
04.07.2000 12:45:00;  3,89
01.08.2000 17:15:00;  6,77
25.09.2000 14:00:00;  4,08
01.10.2000 20:15:00;  7,91
02.11.2000 15:00:00;  11,6
31.12.2000 23:59:55;  5,97
31.01.2001 23:49:00;  5,25
26.02.2001 01:25:00;  3,36
07.03.2001 06:47:00;  3,68
26.04.2001 06:44:00;  5,50
01.05.2001 02:00:00;  8,18
30.06.2001 15:40:00;  10,6
31.07.2001 23:40:00;  10,7
30.08.2001 08:26:00;  4,22
17.09.2001 13:00:00;  3,91
31.10.2001 07:55:00;  4,60
27.11.2001 03:03:00;  3,10
14.12.2001 03:01:00;  2,35
04.01.2002 09:45:00;  2,23
22.02.2002 08:45:00;  1,89
02.03.2002 03:30:00;  2,66
05.04.2002 07:00:00;  2,84
01.05.2002 00:00:00;  5,50
25.06.2002 13:30:00;  7,00
11.07.2002 12:45:00;  6,34
08.08.2002 07:30:00;  5,48
21.09.2002 07:45:00;  5,42
11.10.2002 14:30:00;  5,34
14.11.2002 13:15:00;  3,56
18.12.2002 15:30:00;  6,43
28.01.2003 11:00:00;  3,44
19.02.2003 06:30:00;  3,14
10.03.2003 14:21:00;  2,96
23.04.2003 00:20:00;  3,04
02.05.2003 02:01:00;  5,41
11.06.2003 13:56:00;  5,65
17.07.2003 15:49:00;  4,01
29.08.2003 08:18:00;  3,49
28.09.2003 03:30:00;  2,84
29.10.2003 15:00:00;  2,72
08.11.2003 21:30:00;  4,07
26.12.2003 16:45:00;  3,19
24.01.2004 06:30:00;  2,57
18.02.2004 20:28:00;  2,48
01.03.2004 08:09:00;  2,55
08.04.2004 13:14:00;  4,18
03.05.2004 11:29:00;  7,18
08.06.2004 02:31:00;  9,92
24.07.2004 13:20:00;  8,96
24.08.2004 16:17:00;  5,34
13.09.2004 10:01:00;  4,14
27.10.2004 00:28:00;  3,23
28.11.2004 11:27:00;  3,34
19.12.2004 10:42:00;  2,69
26.01.2005 05:15:00;  3,11
24.02.2005 14:00:00;  2,28
01.03.2005 08:45:00;  1,69
04.04.2005 12:45:00;  2,87
24.05.2005 12:45:00;  4,80
19.06.2005 04:14:00;  4,05
26.07.2005 16:30:00;  5,78
11.08.2005 16:07:00;  3,89
12.09.2005 09:15:00;  4,54
27.10.2005 13:30:00;  5,44
30.11.2005 15:00:00;  3,07
06.12.2005 11:15:00;  3,23
24.01.2006 09:30:00;  2,61
12.02.2006 08:00:00;  2,73
08.03.2006 09:15:00;  2,37
11.04.2006 12:30:00;  3,80
02.05.2006 12:00:00;  7,36
13.06.2006 08:00:00;  5,19
25.07.2006 15:30:00;  6,25
01.08.2006 11:00:00;  7,95
13.09.2006 14:00:00;  6,27
25.10.2006 04:30:00;  3,15
23.11.2006 14:15:00;  2,63
22.12.2006 08:00:00;  3,00
06.01.2007 05:30:00;  2,41
27.02.2007 14:45:00;  2,63
17.03.2007 01:15:00;  2,38
01.04.2007 01:30:00;  3,48
23.05.2007 14:45:00;  6,25
21.06.2007 18:45:00;  4,91
25.07.2007 01:30:00;  6,41
07.08.2007 16:00:00;  6,39
11.09.2007 13:15:00;  5,29
31.10.2007 15:00:00;  4,07
16.11.2007 08:00:00;  3,91
18.12.2007 06:15:00;  3,23
10.01.2008 18:30:00;  2,50
16.02.2008 05:45:00;  2,73
06.03.2008 06:15:00;  2,72
18.04.2008 17:45:00;  3,12
13.05.2008 01:30:00;  5,19
09.06.2008 13:15:00;  9,64
09.07.2008 12:00:00;  9,19
06.08.2008 03:45:00;  6,97
24.09.2008 09:15:00;  4,66
11.10.2008 05:30:00;  3,73
26.11.2008 08:30:00;  6,08
27.12.2008 00:15:00;  3,88
29.01.2009 22:00:00;  4,02
13.02.2009 06:45:00;  2,57
12.03.2009 00:30:00;  3,73
01.04.2009 02:00:00;  5,36
08.05.2009 00:30:00;  11,3
19.06.2009 09:00:00;  9,05
31.07.2009 08:00:00;  6,00
11.08.2009 12:45:00;  5,84
02.09.2009 11:15:00;  6,31
20.10.2009 01:00:00;  4,76
13.11.2009 11:15:00;  3,35
15.12.2009 08:30:00;  3,53
04.01.2010 07:30:00;  3,70
25.02.2010 11:30:00;  2,80
15.03.2010 14:30:00;  2,69
13.04.2010 21:45:00;  4,60
03.05.2010 12:30:00;  7,59
02.06.2010 12:45:00;  9,12
31.07.2010 22:30:00;  6,49
05.08.2010 14:00:00;  5,44
07.09.2010 12:45:00;  5,38
16.10.2010 19:15:00;  5,13
11.11.2010 14:45:00;  6,10
27.12.2010 16:45:00;  5,42
31.01.2011 23:15:00;  4,06
24.02.2011 05:45:00;  3,05
03.03.2011 12:25:40;  3,12
01.04.2011 05:30:00;  4,87
12.05.2011 12:45:00;  6,60
04.06.2011 10:00:00;  10,5
20.07.2011 23:15:00;  9,10
31.08.2011 21:45:00;  6,33
13.09.2011 12:45:00;  4,43
25.10.2011 01:15:00;  6,86
30.11.2011 11:00:00;  5,39
20.12.2011 08:30:00;  3,46
26.01.2012 08:00:00;  2,80
04.02.2012 03:00:00;  2,24
02.03.2012 06:45:00;  3,03
01.04.2012 00:15:00;  3,37
08.05.2012 13:00:00;  5,74
24.06.2012 19:45:00;  6,73
09.07.2012 09:45:00;  5,19
27.08.2012 11:45:00;  7,05
19.09.2012 08:30:00;  7,16
24.10.2012 10:00:00;  7,65
01.11.2012 07:15:00;  7,65
26.12.2012 04:00:00;  5,27
18.01.2013 16:45:00;  4,32
11.02.2013 13:45:00;  3,53
05.03.2013 14:45:00;  3,48
04.04.2013 18:30:00;  3,75
30.05.2013 09:00:00;  14,7
27.06.2013 13:15:00;  14,3
31.07.2013 13:45:00;  7,73
