Messstelle:                ;Niederndorf
09.08.1961 12:00:00;  3,50
20.09.1961 12:00:00;  2,70
05.10.1961 12:00:00;  3,10
03.11.1961 12:00:00;  3,26
01.12.1961 12:00:00;  3,26
09.01.1962 12:00:00;  3,89
12.02.1962 12:00:00;  5,68
04.03.1962 12:00:00;  6,34
13.04.1962 12:00:00;  13,1
23.05.1962 12:00:00;  9,18
24.06.1962 12:00:00;  5,68
22.07.1962 12:00:00;  4,54
31.08.1962 12:00:00;  4,02
15.09.1962 12:00:00;  3,42
12.10.1962 12:00:00;  3,76
26.11.1962 12:00:00;  4,15
04.12.1962 12:00:00;  3,76
31.01.1963 12:00:00;  5,74
28.02.1963 12:00:00;  3,88
08.03.1963 12:00:00;  3,70
23.04.1963 12:00:00;  8,20
25.05.1963 12:00:00;  11,0
14.06.1963 12:00:00;  5,56
31.07.1963 12:00:00;  4,64
04.08.1963 12:00:00;  4,20
25.09.1963 12:00:00;  4,64
31.10.1963 12:00:00;  5,20
13.11.1963 12:00:00;  4,20
17.12.1963 12:00:00;  4,92
27.01.1964 12:00:00;  3,94
02.02.1964 12:00:00;  4,20
19.03.1964 12:00:00;  4,64
19.04.1964 12:00:00;  7,60
18.05.1964 12:00:00;  6,58
29.06.1964 12:00:00;  4,64
29.07.1964 12:00:00;  4,16
30.08.1964 12:00:00;  4,00
28.09.1964 12:00:00;  4,00
08.10.1964 12:00:00;  3,94
06.11.1964 12:00:00;  5,40
14.12.1964 12:00:00;  6,52
24.01.1965 12:00:00;  7,56
24.02.1965 12:00:00;  4,32
10.03.1965 12:00:00;  3,82
21.04.1965 12:00:00;  18,6
27.05.1965 12:00:00;  18,6
19.06.1965 12:00:00;  13,1
18.07.1965 12:00:00;  9,18
09.08.1965 12:00:00;  7,00
27.09.1965 12:00:00;  6,76
21.10.1965 12:00:00;  3,70
15.11.1965 12:00:00;  3,76
03.12.1965 12:00:00;  3,70
21.01.1966 12:00:00;  7,50
26.02.1966 12:00:00;  9,90
10.03.1966 12:00:00;  9,52
24.04.1966 12:00:00;  13,8
19.05.1966 12:00:00;  11,0
12.06.1966 12:00:00;  7,06
12.07.1966 12:00:00;  9,88
15.08.1966 12:00:00;  9,52
29.09.1966 12:00:00;  6,10
10.10.1966 12:00:00;  5,38
08.11.1966 12:00:00;  8,20
29.12.1966 12:00:00;  11,0
22.01.1967 12:00:00;  12,3
12.02.1967 12:00:00;  13,2
31.03.1967 12:00:00;  17,5
03.04.1967 12:00:00;  14,3
30.05.1967 12:00:00;  13,7
18.06.1967 12:00:00;  8,90
21.07.1967 12:00:00;  8,40
18.08.1967 12:00:00;  7,50
27.09.1967 12:00:00;  6,28
17.10.1967 12:00:00;  4,16
28.11.1967 12:00:00;  4,64
16.12.1967 12:00:00;  3,82
23.01.1968 12:00:00;  7,00
04.02.1968 12:00:00;  9,42
10.03.1968 12:00:00;  8,40
29.04.1968 12:00:00;  8,40
31.05.1968 12:00:00;  4,00
06.06.1968 12:00:00;  3,94
09.07.1968 12:00:00;  3,34
10.08.1968 12:00:00;  5,24
23.09.1968 12:00:00;  4,80
01.10.1968 12:00:00;  7,00
17.11.1968 12:00:00;  5,90
29.12.1968 12:00:00;  4,32
13.01.1969 12:00:00;  4,48
18.02.1969 12:00:00;  3,84
09.03.1969 12:00:00;  6,46
10.04.1969 12:00:00;  6,56
31.05.1969 12:00:00;  5,90
01.06.1969 12:00:00;  5,68
04.07.1969 12:00:00;  6,12
16.08.1969 12:00:00;  4,80
26.09.1969 12:00:00;  4,10
04.10.1969 12:00:00;  4,50
10.11.1969 12:00:00;  5,74
07.12.1969 12:00:00;  4,16
25.01.1970 12:00:00;  4,16
01.02.1970 12:00:00;  4,48
08.03.1970 12:00:00;  7,84
12.04.1970 12:00:00;  17,4
25.05.1970 12:00:00;  15,0
30.06.1970 12:00:00;  6,28
13.07.1970 12:00:00;  6,28
08.08.1970 12:00:00;  7,00
28.09.1970 12:00:00;  5,40
01.10.1970 12:00:00;  6,52
14.11.1970 12:00:00;  8,40
19.12.1970 12:00:00;  6,74
21.01.1971 12:00:00;  6,18
28.02.1971 12:00:00;  7,30
09.03.1971 12:00:00;  7,56
16.04.1971 12:00:00;  7,56
30.05.1971 12:00:00;  7,84
04.06.1971 12:00:00;  7,84
31.07.1971 12:00:00;  5,80
16.08.1971 12:00:00;  3,25
28.09.1971 12:00:00;  4,00
31.10.1971 12:00:00;  5,20
15.11.1971 12:00:00;  4,64
15.12.1971 12:00:00;  6,76
28.01.1972 12:00:00;  5,20
09.02.1972 12:00:00;  4,48
25.03.1972 12:00:00;  4,41
01.04.1972 12:00:00;  5,83
19.05.1972 12:00:00;  10,3
29.06.1972 12:00:00;  5,11
07.07.1972 12:00:00;  4,06
31.08.1972 12:00:00;  8,90
23.09.1972 12:00:00;  4,48
18.10.1972 12:00:00;  4,64
05.11.1972 12:00:00;  9,42
15.12.1972 12:00:00;  3,88
19.01.1973 12:00:00;  3,01
21.02.1973 12:00:00;  3,74
03.03.1973 12:00:00;  3,42
14.04.1973 12:00:00;  12,7
31.05.1973 12:00:00;  10,1
20.06.1973 12:00:00;  6,28
14.07.1973 12:00:00;  3,71
28.08.1973 12:00:00;  4,16
30.09.1973 12:00:00;  3,71
07.10.1973 12:00:00;  3,36
09.11.1973 12:00:00;  5,40
21.12.1973 12:00:00;  8,40
26.01.1974 12:00:00;  8,20
08.02.1974 12:00:00;  6,76
16.03.1974 12:00:00;  8,40
19.04.1974 12:00:00;  6,04
31.05.1974 12:00:00;  10,1
27.06.1974 12:00:00;  11,1
11.07.1974 12:00:00;  8,38
30.08.1974 12:00:00;  4,64
16.09.1974 12:00:00;  4,00
07.10.1974 12:00:00;  3,59
16.11.1974 12:00:00;  6,28
21.12.1974 12:00:00;  8,80
16.01.1975 12:00:00;  10,6
25.02.1975 12:00:00;  9,76
19.03.1975 12:00:00;  6,10
10.04.1975 12:00:00;  10,6
12.05.1975 12:00:00;  6,76
12.06.1975 12:00:00;  6,52
11.07.1975 12:00:00;  4,80
17.08.1975 12:00:00;  8,12
26.09.1975 12:00:00;  4,16
31.10.1975 12:00:00;  4,16
14.11.1975 12:00:00;  3,58
18.12.1975 12:00:00;  3,42
05.01.1976 12:00:00;  5,53
05.02.1976 12:00:00;  6,41
15.03.1976 12:00:00;  4,74
30.04.1976 12:00:00;  8,86
21.05.1976 12:00:00;  6,75
28.06.1976 12:00:00;  5,29
19.07.1976 12:00:00;  3,35
18.08.1976 12:00:00;  4,09
15.09.1976 12:00:00;  4,66
15.10.1976 12:00:00;  2,98
12.11.1976 12:00:00;  4,75
18.12.1976 12:00:00;  7,88
31.12.1976 23:59:55;  11,8
23.01.1977 12:30:00;  7,44
18.02.1977 09:30:00;  9,13
02.03.1977 10:00:00;  15,5
07.04.1977 22:00:00;  14,8
31.05.1977 04:00:00;  6,24
17.06.1977 12:00:00;  5,27
08.07.1977 06:00:00;  5,55
08.08.1977 08:30:00;  6,24
03.09.1977 14:00:00;  4,48
27.10.1977 15:00:00;  4,64
09.11.1977 14:30:00;  5,02
06.12.1977 14:00:00;  4,71
27.01.1978 14:30:00;  5,17
06.02.1978 03:00:00;  2,42
20.03.1978 03:30:00;  8,04
09.04.1978 12:00:00;  5,90
27.05.1978 12:30:00;  6,89
20.06.1978 08:30:00;  3,92
30.07.1978 18:30:00;  4,04
28.08.1978 08:30:00;  2,27
18.09.1978 02:30:00;  2,00
16.10.1978 22:00:00;  4,02
25.11.1978 13:30:00;  3,20
03.12.1978 07:30:00;  3,73
18.01.1979 08:00:00;  3,22
27.02.1979 14:30:00;  4,25
01.03.1979 08:00:00;  4,38
30.04.1979 18:00:00;  13,4
09.05.1979 09:30:00;  9,87
11.06.1979 04:00:00;  3,91
02.07.1979 11:00:00;  7,89
29.08.1979 21:00:00;  4,64
21.09.1979 14:00:00;  3,67
16.10.1979 04:30:00;  2,70
02.11.1979 13:00:00;  3,16
27.12.1979 18:00:00;  6,17
23.01.1980 23:30:00;  5,03
26.02.1980 19:30:00;  7,93
02.03.1980 06:30:00;  7,07
11.04.1980 13:00:00;  17,0
31.05.1980 17:00:00;  13,5
20.06.1980 14:30:00;  9,24
18.07.1980 14:30:00;  9,10
23.08.1980 14:30:00;  4,50
29.09.1980 09:00:00;  4,52
07.10.1980 02:00:00;  4,35
14.11.1980 15:30:00;  4,38
09.12.1980 08:00:00;  7,87
23.01.1981 05:30:00;  7,28
28.02.1981 12:00:00;  7,28
03.03.1981 13:30:00;  2,99
25.04.1981 15:00:00;  4,67
29.05.1981 13:30:00;  5,00
09.06.1981 20:00:00;  3,32
11.07.1981 07:00:00;  3,75
16.08.1981 22:30:00;  4,49
12.09.1981 06:30:00;  4,83
08.10.1981 19:00:00;  8,86
17.11.1981 08:00:00;  9,17
15.12.1981 09:30:00;  9,69
28.01.1982 13:30:00;  9,85
27.02.1982 16:30:00;  7,56
01.03.1982 05:00:00;  9,81
25.04.1982 02:00:00;  12,0
31.05.1982 18:00:00;  15,6
26.06.1982 06:00:00;  3,61
10.07.1982 06:00:00;  5,67
28.08.1982 06:30:00;  4,51
30.09.1982 16:30:00;  3,57
01.10.1982 08:30:00;  3,34
12.11.1982 17:30:00;  2,94
08.12.1982 03:00:00;  3,12
02.01.1983 13:00:00;  7,46
26.02.1983 08:30:00;  7,32
31.03.1983 16:00:00;  10,8
02.04.1983 07:30:00;  10,6
31.05.1983 18:00:00;  6,34
26.06.1983 12:00:00;  5,04
10.07.1983 17:30:00;  3,85
03.08.1983 08:30:00;  4,02
24.09.1983 10:00:00;  3,27
08.10.1983 03:30:00;  3,09
15.11.1983 10:00:00;  2,70
09.12.1983 12:30:00;  3,33
12.01.1984 07:30:00;  5,46
01.02.1984 12:00:00;  5,12
14.03.1984 01:00:00;  7,02
30.04.1984 14:30:00;  12,1
31.05.1984 20:00:00;  10,4
22.06.1984 14:00:00;  4,75
13.07.1984 19:00:00;  4,61
23.08.1984 13:30:00;  5,92
11.09.1984 03:00:00;  5,21
27.10.1984 04:30:00;  4,29
15.11.1984 07:30:00;  2,96
07.12.1984 20:00:00;  3,66
07.01.1985 08:30:00;  2,92
23.02.1985 17:30:00;  5,27
01.03.1985 09:30:00;  7,67
30.04.1985 18:30:00;  13,3
29.05.1985 15:30:00;  8,59
07.06.1985 14:00:00;  8,71
30.07.1985 08:00:00;  5,30
01.08.1985 12:30:00;  6,11
26.09.1985 14:00:00;  6,37
29.10.1985 22:00:00;  5,70
02.11.1985 03:00:00;  5,66
01.12.1985 00:00:00;  7,16
08.01.1986 17:15:00;  7,67
28.02.1986 08:30:00;  4,84
01.03.1986 07:30:00;  6,04
15.04.1986 14:15:00;  12,7
28.05.1986 12:15:00;  7,13
27.06.1986 13:15:00;  5,70
29.07.1986 18:15:00;  4,73
08.08.1986 17:30:00;  3,45
29.09.1986 13:00:00;  3,45
12.10.1986 15:15:00;  3,93
22.11.1986 14:30:00;  3,83
14.12.1986 03:00:00;  2,61
31.01.1987 10:45:00;  4,45
06.02.1987 08:00:00;  4,45
15.03.1987 14:30:00;  10,3
03.04.1987 11:45:00;  18,5
31.05.1987 09:30:00;  19,4
30.06.1987 21:15:00;  12,7
24.07.1987 10:45:00;  6,24
27.08.1987 21:45:00;  6,92
22.09.1987 14:00:00;  4,73
08.10.1987 13:15:00;  4,19
11.11.1987 17:30:00;  5,00
15.12.1987 07:30:00;  6,57
17.01.1988 16:00:00;  7,27
11.02.1988 15:15:00;  7,64
04.03.1988 13:30:00;  7,64
27.04.1988 18:00:00;  20,9
30.05.1988 14:45:00;  10,3
30.06.1988 16:45:00;  6,57
25.07.1988 00:15:00;  4,59
19.08.1988 08:30:00;  5,00
10.09.1988 10:30:00;  5,76
18.10.1988 09:15:00;  4,45
07.11.1988 15:30:00;  6,24
02.12.1988 12:15:00;  14,1
31.01.1989 23:59:55;  11,1
03.02.1989 08:30:00;  9,79
11.03.1989 12:30:00;  14,4
30.04.1989 10:45:00;  12,2
29.05.1989 16:00:00;  11,8
12.06.1989 10:00:00;  9,40
10.07.1989 10:45:00;  8,25
25.08.1989 09:15:00;  9,79
26.09.1989 14:30:00;  10,2
29.10.1989 12:30:00;  7,54
23.11.1989 15:15:00;  8,63
11.12.1989 06:45:00;  6,87
21.01.1990 01:15:00;  5,63
02.02.1990 23:15:00;  6,87
19.03.1990 19:45:00;  6,00
06.04.1990 20:45:00;  8,50
29.05.1990 15:30:00;  4,64
08.06.1990 08:00:00;  4,96
02.07.1990 00:45:00;  5,64
28.08.1990 14:15:00;  3,78
02.09.1990 01:15:00;  3,78
23.10.1990 17:00:00;  4,64
09.11.1990 09:15:00;  6,00
19.12.1990 00:30:00;  7,60
31.01.1991 12:15:00;  6,37
21.02.1991 07:45:00;  3,52
01.03.1991 14:15:00;  5,64
13.04.1991 11:15:00;  6,77
10.05.1991 19:00:00;  11,0
30.06.1991 11:45:00;  7,60
10.07.1991 16:30:00;  4,96
31.08.1991 13:00:00;  9,96
09.09.1991 15:45:00;  2,81
19.10.1991 04:30:00;  3,78
05.11.1991 11:00:00;  3,52
14.12.1991 14:15:00;  4,64
28.01.1992 18:15:00;  8,04
01.02.1992 00:00:00;  8,06
13.03.1992 00:30:00;  13,6
18.04.1992 18:00:00;  12,5
30.05.1992 23:15:00;  7,17
30.06.1992 06:00:00;  6,37
30.07.1992 20:30:00;  3,03
21.08.1992 00:15:00;  2,39
01.09.1992 00:00:00;  2,39
16.10.1992 12:00:00;  3,78
01.11.1992 15:00:00;  6,37
29.12.1992 14:15:00;  8,04
04.01.1993 02:15:00;  6,00
28.02.1993 23:59:55;  9,50
05.03.1993 08:00:00;  8,16
30.04.1993 15:00:00;  19,7
29.05.1993 20:45:00;  6,90
19.06.1993 10:45:00;  5,00
10.07.1993 06:15:00;  6,90
17.08.1993 19:45:00;  5,35
24.09.1993 13:00:00;  3,96
11.10.1993 08:00:00;  2,00
27.11.1993 08:30:00;  4,30
01.12.1993 19:00:00;  6,11
22.01.1994 19:30:00;  9,50
22.02.1994 19:00:00;  7,73
06.03.1994 10:00:00;  11,4
09.04.1994 17:15:00;  13,4
19.05.1994 12:45:00;  10,4
27.06.1994 23:15:00;  9,50
16.07.1994 04:15:00;  4,30
09.08.1994 17:30:00;  2,47
30.09.1994 23:59:55;  3,96
01.10.1994 08:00:00;  3,64
07.11.1994 14:45:00;  3,64
24.12.1994 20:30:00;  6,90
19.01.1995 14:00:00;  6,51
13.02.1995 15:00:00;  12,9
17.03.1995 00:15:00;  11,4
01.04.1995 08:15:00;  19,1
30.05.1995 16:30:00;  10,4
21.06.1995 02:30:00;  9,05
31.07.1995 09:00:00;  6,90
22.08.1995 16:45:00;  5,35
29.09.1995 12:15:00;  8,16
20.10.1995 09:00:00;  5,00
01.11.1995 00:00:00;  7,32
16.12.1995 15:45:00;  7,32
31.01.1996 23:59:55;  7,35
10.02.1996 18:30:00;  5,35
01.03.1996 08:15:00;  6,51
05.04.1996 06:45:00;  14,0
08.05.1996 09:00:00;  17,9
18.06.1996 00:00:00;  9,97
27.07.1996 06:30:00;  9,50
30.08.1996 10:30:00;  4,30
01.09.1996 00:00:00;  6,90
15.10.1996 22:15:00;  11,4
24.11.1996 07:00:00;  10,4
30.12.1996 01:00:00;  6,11
31.01.1997 23:59:55;  4,51
02.02.1997 19:18:20;  3,95
13.03.1997 14:02:55;  10,2
26.04.1997 07:48:40;  16,3
31.05.1997 22:11:20;  12,8
30.06.1997 16:09:15;  7,06
04.07.1997 09:34:05;  4,64
26.08.1997 22:01:05;  9,09
30.09.1997 14:59:00;  4,49
01.10.1997 00:00:00;  4,80
05.11.1997 07:58:50;  5,29
08.12.1997 15:23:55;  11,2
30.01.1998 12:04:25;  3,91
02.02.1998 11:46:25;  4,59
04.03.1998 16:16:35;  7,37
12.04.1998 10:07:50;  14,0
16.05.1998 13:49:00;  8,09
05.06.1998 19:25:55;  5,55
01.07.1998 19:46:35;  6,45
30.08.1998 02:24:50;  6,07
03.09.1998 19:07:10;  5,76
05.10.1998 11:11:10;  9,70
30.11.1998 23:59:55;  11,5
10.12.1998 13:22:15;  8,52
25.01.1999 17:02:25;  8,34
03.02.1999 05:15:50;  8,61
22.03.1999 16:33:40;  15,6
24.04.1999 09:04:35;  18,6
31.05.1999 12:32:20;  9,92
15.06.1999 07:16:35;  7,15
07.07.1999 14:33:45;  5,49
09.08.1999 20:27:00;  5,42
21.09.1999 12:09:20;  5,66
29.10.1999 08:23:45;  3,59
21.11.1999 05:35:30;  4,17
17.12.1999 13:01:00;  8,53
14.01.2000 11:08:25;  6,21
24.02.2000 17:33:10;  15,9
06.03.2000 16:28:30;  18,9
30.04.2000 18:36:15;  21,6
27.05.2000 05:16:05;  8,15
15.06.2000 08:11:45;  4,95
27.07.2000 16:54:25;  4,33
18.08.2000 09:15:35;  5,00
12.09.2000 09:34:40;  4,89
06.10.2000 15:00:15;  3,67
24.11.2000 08:52:35;  4,41
06.12.2000 10:00:05;  4,76
23.01.2001 14:00:00;  4,81
03.02.2001 05:00:00;  6,22
03.03.2001 09:30:00;  7,39
07.04.2001 12:15:00;  10,6
26.05.2001 02:30:00;  6,06
29.06.2001 08:15:00;  4,55
20.07.2001 07:15:00;  3,70
21.08.2001 06:45:00;  3,62
04.09.2001 10:00:00;  5,03
29.10.2001 14:45:00;  4,76
07.11.2001 15:45:00;  4,72
25.12.2001 04:00:00;  8,42
20.01.2002 04:00:00;  5,36
07.02.2002 06:45:00;  16,3
19.03.2002 17:30:00;  12,6
21.04.2002 22:45:00;  10,3
23.05.2002 13:30:00;  5,90
27.06.2002 05:30:00;  4,54
31.07.2002 23:59:55;  4,68
01.08.2002 00:00:00;  4,68
13.09.2002 13:00:00;  6,49
10.10.2002 09:45:00;  10,2
30.11.2002 22:30:00;  14,0
19.12.2002 19:45:00;  8,67
13.01.2003 10:30:00;  12,4
26.02.2003 21:55:05;  9,18
01.03.2003 00:00:00;  9,99
26.04.2003 07:07:55;  12,0
31.05.2003 09:16:15;  6,32
30.06.2003 05:36:50;  4,08
17.07.2003 14:28:25;  3,02
27.08.2003 18:55:00;  2,45
08.09.2003 08:10:00;  3,65
04.10.2003 20:40:00;  4,03
22.11.2003 23:50:00;  2,24
02.12.2003 01:20:00;  3,63
06.01.2004 11:01:35;  5,03
01.02.2004 00:45:00;  6,75
06.03.2004 18:30:00;  8,74
15.04.2004 18:45:00;  14,8
12.05.2004 13:00:00;  8,96
17.06.2004 11:45:00;  8,33
23.07.2004 20:35:00;  6,66
20.08.2004 18:10:00;  2,49
17.09.2004 08:40:00;  3,11
25.10.2004 15:00:00;  4,62
05.11.2004 04:15:00;  4,54
23.12.2004 04:05:00;  4,54
01.01.2005 01:30:00;  5,19
09.02.2005 06:35:00;  6,58
11.03.2005 05:45:00;  7,06
11.04.2005 09:40:00;  20,4
28.05.2005 13:55:00;  14,8
24.06.2005 08:00:00;  7,48
01.07.2005 00:15:00;  8,36
12.08.2005 10:15:00;  5,81
26.09.2005 09:50:00;  7,61
20.10.2005 14:10:00;  3,89
15.11.2005 11:59:55;  5,02
01.12.2005 04:15:00;  6,43
25.01.2006 12:45:00;  6,43
04.02.2006 08:30:00;  5,70
08.03.2006 02:20:00;  8,97
14.04.2006 08:40:00;  25,2
26.05.2006 06:30:00;  12,6
27.06.2006 13:50:00;  9,93
29.07.2006 03:05:00;  7,63
03.08.2006 09:45:00;  7,35
15.09.2006 11:10:00;  6,43
16.10.2006 11:15:00;  4,24
02.11.2006 15:05:00;  4,60
28.12.2006 08:25:00;  4,71
01.01.2007 00:00:00;  5,04
12.02.2007 10:00:00;  9,88
18.03.2007 07:50:00;  12,9
25.04.2007 23:30:00;  6,81
28.05.2007 07:40:00;  6,40
09.06.2007 09:15:00;  4,15
23.07.2007 14:55:00;  2,20
21.08.2007 21:15:00;  3,06
03.09.2007 08:05:00;  4,18
08.10.2007 14:55:00;  5,92
03.11.2007 17:35:00;  14,5
29.12.2007 05:00:00;  8,23
07.01.2008 07:15:00;  8,54
27.02.2008 13:55:00;  6,43
10.03.2008 10:20:00;  13,3
17.04.2008 21:35:00;  13,1
31.05.2008 07:30:00;  4,11
26.06.2008 21:00:00;  4,40
03.07.2008 10:25:00;  3,83
29.08.2008 17:35:00;  6,55
11.09.2008 04:25:00;  5,65
31.10.2008 12:35:00;  5,89
04.11.2008 05:25:00;  5,38
11.12.2008 20:10:00;  9,35
19.01.2009 11:15:00;  4,69
02.02.2009 08:35:00;  6,44
22.03.2009 17:50:00;  23,1
30.04.2009 19:00:00;  28,9
27.05.2009 11:15:00;  12,3
19.06.2009 12:50:00;  8,32
29.07.2009 23:00:00;  9,04
19.08.2009 18:05:00;  8,15
14.09.2009 05:50:00;  6,73
10.10.2009 18:50:00;  6,87
30.11.2009 11:45:00;  6,77
04.12.2009 18:05:00;  6,53
27.01.2010 08:00:00;  5,29
02.02.2010 08:25:00;  5,98
13.03.2010 11:40:00;  8,21
30.04.2010 23:05:00;  12,3
08.05.2010 07:55:00;  8,37
30.06.2010 21:05:00;  13,0
10.07.2010 05:10:00;  6,97
20.08.2010 08:38:55;  9,18
15.09.2010 15:00:00;  3,94
20.10.2010 04:15:00;  5,29
11.11.2010 06:30:00;  5,00
01.12.2010 20:00:00;  5,40
06.01.2011 11:20:00;  6,99
27.02.2011 11:30:00;  8,01
07.03.2011 08:55:00;  7,05
29.04.2011 05:00:00;  6,95
26.05.2011 15:10:00;  4,39
30.06.2011 18:35:00;  4,86
18.07.2011 11:30:00;  5,50
31.08.2011 04:55:00;  5,36
19.09.2011 00:40:00;  4,56
05.10.2011 19:45:00;  4,26
27.11.2011 23:40:00;  1,70
01.12.2011 15:50:00;  3,70
01.01.2012 00:50:00;  7,26
13.02.2012 08:45:30;  5,70
11.03.2012 12:00:00;  14,9
14.04.2012 00:55:00;  13,6
31.05.2012 23:05:00;  6,76
01.06.2012 01:25:00;  6,87
06.07.2012 16:30:00;  4,40
28.08.2012 10:45:00;  3,28
04.09.2012 19:45:00;  3,04
04.10.2012 22:05:00;  4,14
19.11.2012 09:45:00;  4,93
12.12.2012 09:10:00;  2,86
27.01.2013 09:25:00;  12,5
28.02.2013 08:30:00;  11,4
25.03.2013 08:00:00;  11,0
04.04.2013 13:45:00;  13,6
21.05.2013 19:40:00;  10,7
21.06.2013 10:30:00;  13,8
27.07.2013 09:00:00;  7,27
