Messstelle:                ;Hopfgarten im Def. Zwenewald
30.09.1958 12:00:00;  4,95
31.10.1958 12:00:00;  6,20
12.11.1958 12:00:00;  4,11
31.12.1958 12:00:00;  2,80
28.01.1959 12:00:00;  1,93
16.02.1959 12:00:00;  1,93
23.03.1959 12:00:00;  2,50
02.04.1959 12:00:00;  3,90
05.05.1959 12:00:00;  5,20
02.06.1959 12:00:00;  10,4
27.07.1959 12:00:00;  11,8
31.08.1959 12:00:00;  6,20
30.09.1959 12:00:00;  3,71
25.10.1959 12:00:00;  2,07
24.11.1959 12:00:00;  1,28
16.12.1959 12:00:00;  1,28
18.01.1960 12:00:00;  1,04
10.02.1960 12:00:00;  1,12
23.03.1960 12:00:00;  1,60
03.04.1960 12:00:00;  3,21
03.05.1960 12:00:00;  4,41
23.06.1960 12:00:00;  18,8
05.07.1960 12:00:00;  13,6
31.08.1960 12:00:00;  10,5
16.09.1960 12:00:00;  7,74
20.10.1960 12:00:00;  7,42
30.11.1960 12:00:00;  4,63
26.12.1960 12:00:00;  1,35
19.01.1961 12:00:00;  1,71
14.02.1961 12:00:00;  1,95
04.03.1961 12:00:00;  2,25
01.04.1961 12:00:00;  2,87
03.05.1961 12:00:00;  7,16
05.06.1961 12:00:00;  14,1
31.07.1961 12:00:00;  14,0
31.08.1961 12:00:00;  6,54
30.09.1961 12:00:00;  4,41
17.10.1961 12:00:00;  3,55
21.11.1961 12:00:00;  2,87
09.12.1961 12:00:00;  2,25
31.01.1962 12:00:00;  1,47
24.02.1962 12:00:00;  1,35
20.03.1962 12:00:00;  1,35
16.04.1962 12:00:00;  1,70
04.05.1962 12:00:00;  5,56
11.06.1962 12:00:00;  12,8
09.07.1962 12:00:00;  15,1
31.08.1962 12:00:00;  9,80
29.09.1962 12:00:00;  3,85
26.10.1962 12:00:00;  2,74
04.11.1962 12:00:00;  1,65
04.12.1962 12:00:00;  1,05
14.01.1963 12:00:00; 0,650
27.02.1963 12:00:00; 0,810
02.03.1963 12:00:00; 0,970
04.04.1963 12:00:00;  1,41
07.05.1963 12:00:00;  5,45
17.06.1963 12:00:00;  15,1
31.07.1963 12:00:00;  12,4
12.08.1963 12:00:00;  10,2
30.09.1963 12:00:00;  6,82
30.10.1963 12:00:00;  3,98
01.11.1963 12:00:00;  4,41
31.12.1963 12:00:00;  2,70
19.01.1964 12:00:00;  1,71
22.02.1964 12:00:00;  1,27
19.03.1964 12:00:00;  1,47
09.04.1964 12:00:00;  1,83
03.05.1964 12:00:00;  4,41
30.06.1964 12:00:00;  14,1
31.07.1964 12:00:00;  7,16
16.08.1964 12:00:00;  6,27
30.09.1964 12:00:00;  3,85
27.10.1964 12:00:00;  3,65
11.11.1964 12:00:00;  4,05
25.12.1964 12:00:00;  1,95
24.01.1965 12:00:00;  1,65
27.02.1965 12:00:00;  1,41
11.03.1965 12:00:00;  1,17
29.04.1965 12:00:00;  2,40
01.05.1965 12:00:00;  2,40
03.06.1965 12:00:00;  11,8
12.07.1965 12:00:00;  19,7
31.08.1965 12:00:00;  13,6
25.09.1965 12:00:00;  13,1
31.10.1965 12:00:00;  6,20
30.11.1965 12:00:00;  2,67
31.12.1965 12:00:00;  2,09
05.01.1971 12:00:00;  1,59
28.02.1971 12:00:00;  1,86
08.03.1971 12:00:00;  1,86
05.04.1971 12:00:00;  2,08
01.05.1971 12:00:00;  5,06
01.06.1971 12:00:00;  10,5
23.07.1971 12:00:00;  11,5
24.08.1971 12:00:00;  9,12
23.09.1971 12:00:00;  4,62
31.10.1971 12:00:00;  2,92
30.11.1971 12:00:00;  2,21
31.12.1971 12:00:00;  2,21
31.01.1972 12:00:00;  1,76
29.02.1972 12:00:00;  1,35
03.03.1972 12:00:00;  1,35
01.04.1972 12:00:00;  2,64
02.05.1972 12:00:00;  3,60
04.06.1972 12:00:00;  16,8
30.07.1972 12:00:00;  16,9
31.08.1972 12:00:00;  6,62
30.09.1972 12:00:00;  3,62
08.10.1972 12:00:00;  3,11
30.11.1972 12:00:00;  2,40
15.12.1972 12:00:00;  1,59
31.01.1973 12:00:00;  1,68
06.02.1973 12:00:00;  1,55
21.03.1973 12:00:00;  1,56
01.04.1973 12:00:00;  1,81
01.05.1973 12:00:00;  2,18
26.06.1973 12:00:00;  14,3
31.07.1973 12:00:00;  10,5
30.08.1973 12:00:00;  5,50
21.09.1973 12:00:00;  5,63
31.10.1973 12:00:00;  4,81
27.11.1973 12:00:00;  2,72
11.12.1973 12:00:00;  1,55
23.01.1974 12:00:00;  1,77
19.02.1974 12:00:00;  1,68
06.03.1974 12:00:00;  1,22
30.04.1974 12:00:00;  3,64
01.05.1974 12:00:00;  3,82
15.06.1974 12:00:00;  11,3
23.07.1974 12:00:00;  14,9
27.08.1974 12:00:00;  9,92
28.09.1974 12:00:00;  7,40
31.10.1974 12:00:00;  3,11
26.11.1974 12:00:00;  2,53
26.12.1974 12:00:00;  2,21
25.01.1975 12:00:00;  1,96
10.02.1975 12:00:00;  1,20
20.03.1975 12:00:00;  1,56
10.04.1975 12:00:00; 0,970
06.05.1975 12:00:00;  8,17
07.06.1975 12:00:00;  17,0
03.07.1975 12:00:00;  16,8
31.08.1975 12:00:00;  11,2
30.09.1975 12:00:00;  6,55
31.10.1975 12:00:00;  3,06
30.11.1975 12:00:00;  1,72
11.12.1975 12:00:00;  1,53
24.01.1976 00:00:00;  1,63
06.02.1976 20:00:00;  1,43
16.03.1976 21:00:00;  1,52
02.04.1976 12:00:00;  2,44
03.05.1976 17:00:00;  3,43
06.06.1976 20:00:00;  10,1
15.07.1976 18:00:00;  7,82
25.08.1976 16:00:00;  5,48
08.09.1976 18:00:00;  7,18
28.10.1976 08:00:00;  5,93
26.11.1976 12:00:00;  4,12
26.12.1976 05:00:00;  2,34
31.01.1977 23:59:55;  2,16
17.02.1977 00:00:00;  1,40
02.03.1977 14:00:00;  1,89
17.04.1977 10:00:00;  3,13
11.05.1977 15:00:00;  9,92
06.06.1977 14:00:00;  20,9
30.07.1977 22:00:00;  13,3
28.08.1977 06:00:00;  13,7
30.09.1977 23:59:55;  6,34
30.10.1977 14:00:00;  3,16
23.11.1977 05:00:00;  1,98
22.12.1977 01:00:00;  1,30
31.01.1978 23:59:55;  1,38
28.02.1978 23:59:55;  1,21
02.03.1978 01:00:00;  1,05
18.04.1978 13:00:00;  1,82
01.05.1978 00:00:00;  3,82
30.06.1978 15:00:00;  13,1
23.07.1978 18:00:00;  14,0
31.08.1978 22:00:00;  9,16
22.09.1978 18:00:00;  5,48
31.10.1978 22:00:00;  5,81
30.11.1978 21:00:00;  2,02
08.12.1978 07:00:00;  1,52
31.01.1979 23:59:55;  1,80
26.02.1979 09:30:00;  1,51
01.03.1979 00:00:00;  1,76
05.04.1979 08:30:00;  2,05
01.05.1979 00:00:00;  3,07
21.06.1979 16:30:00;  22,4
29.07.1979 12:30:00;  14,0
31.08.1979 17:00:00;  11,2
18.09.1979 14:00:00;  7,15
31.10.1979 15:30:00;  6,49
25.11.1979 13:00:00;  3,75
28.12.1979 10:30:00;  3,35
12.01.1980 03:30:00;  1,68
24.02.1980 09:30:00;  1,71
05.03.1980 09:00:00;  1,77
09.04.1980 12:30:00;  2,25
01.05.1980 00:00:00;  3,08
02.06.1980 13:00:00;  9,75
05.07.1980 12:00:00;  15,4
27.08.1980 14:30:00;  8,09
30.09.1980 23:59:55;  4,69
07.10.1980 01:30:00;  3,62
30.11.1980 23:59:55;  3,99
30.12.1980 02:30:00;  1,87
05.01.1981 14:30:00;  1,84
28.02.1981 23:59:55;  1,75
04.03.1981 06:00:00;  1,74
30.04.1981 03:00:00;  4,28
01.05.1981 15:30:00;  4,18
24.06.1981 20:00:00;  9,44
16.07.1981 19:30:00;  13,1
30.08.1981 16:30:00;  6,65
07.09.1981 16:30:00;  6,10
30.10.1981 18:00:00;  4,27
30.11.1981 13:30:00;  3,21
25.12.1981 08:30:00;  2,47
03.01.1982 00:30:00;  1,79
25.02.1982 17:30:00;  1,67
15.03.1982 10:30:00;  1,58
06.04.1982 12:00:00;  2,29
02.05.1982 20:30:00;  2,43
17.06.1982 16:30:00;  14,9
20.07.1982 11:30:00;  12,1
27.08.1982 13:00:00;  11,3
22.09.1982 15:30:00;  6,52
04.10.1982 13:30:00;  6,65
29.11.1982 14:00:00;  4,66
31.12.1982 23:59:55;  2,91
12.01.1983 05:00:00;  2,30
18.02.1983 08:30:00;  1,45
04.03.1983 12:00:00;  1,67
01.04.1983 00:30:00;  2,14
05.05.1983 14:00:00;  6,51
19.06.1983 14:30:00;  13,4
31.07.1983 13:30:00;  11,2
31.08.1983 14:30:00;  7,34
09.09.1983 15:30:00;  5,76
27.10.1983 13:00:00;  4,14
23.11.1983 10:30:00;  2,46
15.12.1983 12:00:00;  1,80
25.01.1984 00:00:00;  1,53
15.02.1984 00:15:00;  1,25
08.03.1984 20:00:00; 0,960
04.04.1984 15:45:00;  1,21
01.05.1984 15:30:00;  2,54
01.06.1984 15:00:00;  9,50
29.07.1984 18:45:00;  9,14
31.08.1984 18:15:00;  6,46
02.09.1984 18:15:00;  5,99
29.10.1984 14:30:00;  5,05
28.11.1984 12:45:00;  2,66
31.12.1984 23:59:55;  1,98
08.01.1985 13:45:00;  1,36
19.02.1985 13:00:00; 0,648
20.03.1985 13:15:00;  1,31
01.04.1985 00:15:00;  1,75
01.05.1985 19:15:00;  3,05
12.06.1985 22:45:00;  14,0
30.07.1985 15:45:00;  14,1
31.08.1985 16:30:00;  12,6
29.09.1985 18:30:00;  5,24
29.10.1985 10:30:00;  2,89
28.11.1985 11:15:00;  1,61
25.12.1985 13:30:00;  1,32
31.01.1986 05:00:00; 0,730
01.02.1986 15:30:00; 0,637
27.03.1986 11:30:00;  1,39
03.04.1986 17:45:00;  1,95
01.05.1986 11:00:00;  11,1
09.06.1986 14:00:00;  12,3
15.07.1986 16:30:00;  8,74
07.08.1986 13:30:00;  7,41
30.09.1986 17:00:00;  5,53
31.10.1986 23:59:55;  3,36
30.11.1986 14:00:00;  1,74
24.12.1986 06:00:00;  1,41
31.01.1987 16:00:00; 0,772
01.02.1987 00:00:00; 0,838
17.03.1987 17:45:00;  1,30
02.04.1987 14:15:00;  1,28
24.05.1987 02:45:00;  5,98
23.06.1987 15:30:00;  10,9
29.07.1987 17:30:00;  16,2
23.08.1987 12:30:00;  9,05
25.09.1987 14:30:00;  7,33
11.10.1987 01:15:00;  6,46
30.11.1987 23:45:00;  3,80
14.12.1987 04:45:00;  2,20
10.01.1988 01:30:00;  2,16
15.02.1988 09:00:00;  1,42
29.03.1988 00:00:00;  1,27
01.04.1988 00:00:00;  1,77
01.05.1988 00:00:00;  6,52
24.06.1988 09:00:00;  14,3
27.07.1988 09:30:00;  14,3
19.08.1988 10:15:00;  8,59
28.09.1988 06:00:00;  6,91
30.10.1988 16:15:00;  4,77
22.11.1988 08:00:00;  2,82
17.12.1988 07:00:00;  1,59
03.01.1989 08:45:00;  1,59
27.02.1989 12:45:00;  1,52
01.03.1989 10:00:00;  1,42
04.04.1989 07:30:00;  3,32
03.05.1989 10:30:00;  3,73
10.06.1989 15:00:00;  11,8
30.07.1989 16:45:00;  10,8
31.08.1989 18:15:00;  6,56
10.09.1989 22:00:00;  4,49
27.10.1989 00:00:00;  3,02
30.11.1989 18:45:00;  1,47
30.12.1989 09:15:00;  1,22
01.01.1990 00:30:00;  1,36
07.02.1990 06:00:00;  1,07
04.03.1990 08:15:00;  1,36
20.04.1990 13:15:00;  2,26
01.05.1990 00:00:00;  3,43
01.06.1990 09:15:00;  9,99
29.07.1990 13:00:00;  8,20
31.08.1990 12:00:00;  5,44
16.09.1990 19:00:00;  4,25
27.10.1990 05:15:00;  4,25
30.11.1990 08:15:00;  3,70
29.12.1990 00:30:00;  2,50
23.01.1991 14:00:00;  1,07
13.02.1991 08:00:00;  1,59
01.03.1991 00:00:00;  2,16
02.04.1991 11:00:00;  2,92
01.05.1991 00:00:00;  3,43
01.06.1991 09:00:00;  11,0
23.07.1991 18:30:00;  17,0
31.08.1991 17:15:00;  5,81
29.09.1991 23:00:00;  4,11
30.10.1991 14:30:00;  3,24
11.11.1991 12:30:00;  2,29
23.12.1991 01:15:00;  1,16
28.01.1992 12:15:00;  1,32
20.02.1992 09:30:00; 0,928
02.03.1992 11:15:00;  1,54
04.04.1992 00:00:00;  1,57
02.05.1992 23:30:00;  6,00
10.06.1992 15:45:00;  14,5
31.07.1992 12:45:00;  9,36
25.08.1992 13:15:00;  5,74
27.09.1992 17:30:00;  4,78
02.10.1992 15:00:00;  4,72
30.11.1992 18:15:00;  4,62
29.12.1992 09:00:00;  1,99
31.01.1993 12:00:00;  1,74
24.02.1993 07:15:00;  1,19
05.03.1993 10:15:00;  1,25
09.04.1993 16:45:00;  1,84
01.05.1993 11:45:00;  5,39
16.06.1993 14:30:00;  11,0
14.07.1993 18:00:00;  9,27
20.08.1993 13:30:00;  7,08
08.09.1993 08:45:00;  5,82
01.10.1993 22:15:00;  9,27
30.11.1993 08:45:00;  4,25
29.12.1993 00:00:00;  2,20
19.01.1994 10:30:00;  1,48
20.02.1994 06:45:00;  1,36
05.03.1994 10:45:00;  1,62
12.04.1994 09:00:00;  2,24
07.05.1994 15:00:00;  7,74
15.06.1994 15:30:00;  12,6
31.07.1994 14:30:00;  8,35
17.08.1994 14:15:00;  7,00
08.09.1994 13:45:00;  8,81
30.10.1994 15:30:00;  4,48
30.11.1994 12:30:00;  3,16
16.12.1994 08:15:00;  1,94
28.01.1995 06:30:00;  1,42
28.02.1995 09:00:00;  1,13
08.03.1995 09:30:00;  1,09
01.04.1995 04:15:00;  1,66
22.05.1995 14:45:00;  5,21
04.06.1995 16:15:00;  14,0
31.07.1995 13:45:00;  9,80
27.08.1995 18:15:00;  6,42
02.09.1995 12:00:00;  6,11
31.10.1995 23:59:55;  3,45
21.11.1995 13:15:00;  2,18
20.12.1995 13:00:00;  1,64
21.01.1996 13:45:00;  1,09
24.02.1996 09:45:00; 0,752
05.03.1996 08:15:00; 0,684
01.04.1996 10:30:00;  1,25
06.05.1996 14:15:00;  4,64
18.06.1996 16:15:00;  8,40
26.07.1996 13:45:00;  8,19
10.08.1996 14:00:00;  7,43
30.09.1996 17:00:00;  5,99
01.10.1996 16:45:00;  5,99
30.11.1996 09:00:00;  4,45
31.12.1996 09:45:00;  2,35
30.01.1997 12:00:00;  1,75
03.02.1997 10:15:00;  1,61
02.03.1997 08:00:00;  2,02
08.04.1997 10:00:00;  1,92
01.05.1997 11:45:00;  3,11
03.06.1997 13:30:00;  12,0
27.07.1997 16:15:00;  14,0
28.08.1997 15:45:00;  9,60
28.09.1997 18:00:00;  4,39
29.10.1997 08:30:00;  2,51
20.11.1997 12:00:00;  2,62
29.12.1997 11:30:00;  1,55
28.01.1998 08:30:00; 0,775
03.02.1998 13:45:00; 0,855
11.03.1998 10:00:00;  1,16
20.04.1998 13:30:00;  2,02
04.05.1998 14:15:00;  4,32
20.06.1998 14:15:00;  11,7
27.07.1998 11:30:00;  11,1
31.08.1998 15:30:00;  5,87
01.09.1998 15:00:00;  5,61
31.10.1998 08:15:00;  6,41
29.11.1998 11:30:00;  3,31
24.12.1998 08:15:00;  1,90
31.01.1999 08:30:00;  1,30
13.02.1999 06:45:00;  1,15
08.03.1999 11:45:00;  1,16
01.04.1999 12:15:00;  2,11
02.05.1999 13:00:00;  7,56
24.06.1999 15:15:00;  12,7
27.07.1999 16:00:00;  12,0
15.08.1999 15:30:00;  9,15
16.09.1999 16:45:00;  7,08
23.10.1999 02:45:00;  5,95
29.11.1999 09:30:00;  3,32
31.12.1999 23:59:55;  2,58
25.01.2000 09:45:00;  1,27
22.02.2000 04:45:00;  1,44
06.03.2000 08:45:00;  1,27
01.04.2000 00:00:00;  2,21
01.05.2000 11:30:00;  13,1
30.06.2000 11:45:00;  11,4
21.07.2000 14:45:00;  9,84
25.08.2000 16:15:00;  8,44
13.09.2000 16:15:00;  6,00
01.10.2000 10:45:00;  7,58
11.11.2000 09:45:00;  7,16
31.12.2000 23:59:55;  3,44
08.01.2001 12:16:25;  2,25
26.02.2001 10:13:35;  1,69
02.03.2001 12:08:00;  2,15
23.04.2001 08:53:40;  3,39
01.05.2001 00:00:00;  7,05
07.06.2001 15:10:55;  17,6
31.07.2001 14:45:00;  15,2
30.08.2001 09:45:00;  7,34
20.09.2001 17:30:00;  5,39
31.10.2001 04:45:00;  4,36
24.11.2001 11:15:00;  2,48
31.12.2001 23:59:55;  1,55
31.01.2002 00:32:00;  1,51
22.02.2002 12:45:00;  1,01
04.03.2002 09:30:00;  1,39
11.04.2002 12:00:00;  1,84
01.05.2002 14:15:00;  4,51
30.06.2002 17:30:00;  12,4
28.07.2002 14:45:00;  7,62
03.08.2002 15:30:00;  7,75
30.09.2002 23:59:55;  4,74
10.10.2002 09:45:00;  4,28
13.11.2002 19:45:00;  3,86
31.12.2002 23:59:55;  3,46
12.01.2003 21:02:25;  2,12
18.02.2003 14:45:00;  1,50
16.03.2003 11:15:00;  1,53
08.04.2003 09:15:00;  1,67
19.05.2003 15:45:00;  11,6
30.06.2003 11:30:00;  9,88
14.07.2003 15:45:00;  6,98
27.08.2003 17:15:00;  4,42
28.09.2003 06:30:00;  3,72
03.10.2003 01:00:00;  3,64
30.11.2003 11:45:00;  3,72
24.12.2003 22:15:00;  1,74
23.01.2004 12:30:00; 0,969
25.02.2004 07:30:00;  1,11
10.03.2004 09:45:00;  1,16
01.04.2004 00:00:00;  2,43
11.05.2004 15:15:00;  5,60
04.06.2004 12:30:00;  13,5
31.07.2004 16:00:00;  11,2
29.08.2004 17:30:00;  6,38
30.09.2004 23:59:55;  5,15
08.10.2004 11:00:00;  4,42
30.11.2004 00:00:00;  3,86
22.12.2004 14:45:00;  1,62
30.01.2005 11:45:00;  1,35
28.02.2005 10:30:00;  1,11
02.03.2005 07:30:00; 0,820
11.04.2005 13:00:00;  2,24
11.05.2005 18:15:00;  4,65
11.06.2005 21:30:00;  6,96
03.07.2005 18:00:00;  8,35
14.08.2005 17:00:00;  6,22
16.09.2005 11:30:00;  6,26
31.10.2005 23:59:55;  5,28
29.11.2005 08:45:00;  2,62
30.12.2005 13:00:00;  1,67
10.01.2006 10:15:00;  1,35
12.02.2006 10:15:00;  1,12
13.03.2006 10:45:00;  1,04
07.04.2006 10:15:00;  1,82
01.05.2006 14:15:00;  5,89
08.06.2006 16:30:00;  7,79
25.07.2006 05:00:00;  8,13
24.08.2006 11:45:00;  10,1
30.09.2006 20:00:00;  4,91
18.10.2006 05:45:00;  3,47
30.11.2006 23:59:55;  2,37
22.12.2006 14:45:00;  1,38
27.01.2007 10:15:00;  1,35
19.02.2007 09:30:00;  1,05
12.03.2007 12:15:00;  1,32
03.04.2007 17:00:00;  1,70
07.05.2007 18:30:00;  7,18
01.06.2007 00:00:00;  8,82
31.07.2007 18:00:00;  7,45
19.08.2007 14:45:00;  6,37
30.09.2007 14:15:00;  6,68
31.10.2007 23:59:55;  4,08
16.11.2007 08:15:00;  2,35
15.12.2007 16:00:00;  1,67
24.01.2008 05:15:00;  1,36
17.02.2008 12:00:00;  1,11
06.03.2008 10:15:00;  1,27
05.04.2008 13:45:00;  1,69
02.05.2008 17:30:00;  4,16
17.06.2008 00:00:00;  15,2
29.07.2008 10:45:00;  13,5
31.08.2008 15:30:00;  8,15
30.09.2008 02:45:00;  4,78
28.10.2008 08:15:00;  4,28
26.11.2008 10:00:00;  3,76
01.12.2008 13:00:00; 0,987
31.01.2009 14:30:00;  1,70
20.02.2009 05:30:00;  1,30
06.03.2009 15:00:00;  1,51
01.04.2009 00:00:00;  2,11
01.05.2009 14:15:00;  6,26
04.06.2009 17:00:00;  14,2
12.07.2009 23:00:00;  11,4
31.08.2009 18:15:00;  6,11
01.09.2009 17:15:00;  5,86
31.10.2009 18:15:00;  3,84
29.11.2009 04:15:00;  2,82
20.12.2009 11:00:00;  1,65
04.01.2010 10:00:00;  1,49
09.02.2010 10:45:00;  1,24
07.03.2010 13:30:00;  1,11
03.04.2010 09:28:25;  2,46
21.05.2010 16:30:00;  8,10
04.06.2010 14:00:00;  13,8
31.07.2010 20:00:00;  9,22
01.08.2010 19:00:00;  8,90
16.09.2010 15:45:00;  9,22
27.10.2010 12:15:00;  5,04
30.11.2010 11:00:00;  4,04
27.12.2010 12:30:00;  2,28
23.01.2011 14:00:00;  1,66
24.02.2011 09:00:00;  1,22
08.03.2011 11:45:00;  1,35
01.04.2011 00:00:00;  2,62
06.05.2011 14:45:00;  5,84
30.06.2011 23:59:55;  18,0
31.07.2011 16:30:00;  10,2
30.08.2011 18:45:00;  7,26
16.09.2011 18:00:00;  5,73
31.10.2011 23:59:55;  5,81
30.11.2011 23:59:55;  3,30
20.12.2011 14:15:00;  2,04
26.01.2012 15:15:00;  1,30
22.02.2012 13:30:00;  1,48
10.03.2012 11:30:00;  1,83
21.04.2012 15:15:00;  2,24
18.05.2012 04:15:00;  8,41
07.06.2012 12:15:00;  14,4
09.07.2012 17:15:00;  11,6
30.08.2012 10:15:00;  8,66
26.09.2012 09:00:00;  8,21
30.10.2012 10:00:00;  7,47
30.11.2012 23:59:55;  6,70
31.12.2012 12:15:00;  3,30
26.01.2013 15:30:00;  1,81
19.02.2013 10:45:00;  1,81
16.03.2013 08:15:00;  1,44
01.04.2013 14:15:00;  1,92
27.05.2013 12:00:00;  12,2
01.06.2013 13:00:00;  13,3
01.07.2013 14:45:00;  12,8
22.08.2013 13:45:00;  7,30
16.09.2013 16:45:00;  7,02
07.10.2013 05:30:00;  6,28
28.11.2013 11:45:00;  5,04
31.12.2013 12:15:00;  2,52
31.01.2014 23:30:00; 0,309
01.02.2014 00:00:00; 0,290
01.03.2014 00:00:00;  2,14
01.04.2014 15:45:00;  5,31
18.05.2014 19:45:00;  11,1
21.06.2014 15:15:00;  14,2
28.07.2014 17:15:00;  13,7
11.08.2014 16:15:00;  12,9
30.09.2014 15:15:00;  5,45
10.10.2014 23:00:00;  4,75
04.11.2014 20:15:00;  5,21
29.12.2014 12:15:00;  2,66
26.01.2015 08:15:00;  1,94
19.02.2015 12:30:00;  1,75
06.03.2015 12:15:00;  1,56
08.04.2015 10:00:00;  1,70
01.05.2015 00:00:00;  7,10
26.06.2015 17:48:50;  12,4
17.07.2015 15:15:00;  9,03
31.08.2015 18:15:00;  7,20
01.09.2015 17:30:00;  6,96
29.10.2015 06:45:00;  6,32
24.11.2015 11:00:00;  2,85
31.12.2015 11:30:00;  1,51
19.01.2016 11:45:00;  1,18
20.02.2016 13:15:00;  1,25
17.03.2016 11:45:00;  1,21
01.04.2016 12:00:00;  3,19
05.05.2016 14:30:00;  4,79
21.06.2016 13:30:00;  22,0
30.07.2016 15:15:00;  11,0
28.08.2016 16:30:00;  8,26
30.09.2016 18:45:00;  4,57
13.10.2016 10:45:00;  3,50
29.11.2016 09:45:00;  2,48
30.12.2016 08:15:00;  1,52
16.01.2017 09:15:00;  1,30
19.02.2017 13:00:00;  1,20
03.03.2017 18:30:00;  1,44
21.04.2017 07:00:00;  2,48
01.05.2017 18:15:00;  3,79
19.06.2017 16:00:00;  12,0
09.07.2017 14:00:00;  10,6
31.08.2017 16:00:00;  8,68
30.09.2017 17:30:00;  8,37
31.10.2017 03:45:00;  4,01
28.11.2017 02:45:00;  2,83
19.12.2017 12:00:00;  1,84
22.01.2018 03:45:00;  1,72
26.02.2018 12:45:00;  1,18
22.03.2018 12:15:00;  1,04
01.04.2018 11:45:00;  1,98
21.05.2018 14:45:00;  16,1
