Messstelle:                ;Kennelbach
29.11.1959 12:00:00;  7,83
16.12.1959 12:00:00;  3,90
10.01.1960 12:00:00;  12,4
18.02.1960 12:00:00;  6,01
22.03.1960 12:00:00;  12,2
18.04.1960 12:00:00;  20,4
01.05.1960 12:00:00;  15,9
24.06.1960 12:00:00;  11,9
05.07.1960 12:00:00;  10,2
30.08.1960 12:00:00;  28,4
29.09.1960 12:00:00;  8,95
06.10.1960 12:00:00;  9,65
16.11.1960 12:00:00;  12,4
31.12.1960 12:00:00;  6,96
28.01.1961 12:00:00;  5,25
06.02.1961 12:00:00;  14,8
23.03.1961 12:00:00;  24,4
16.04.1961 12:00:00;  29,5
20.05.1961 12:00:00;  33,8
25.06.1961 12:00:00;  21,1
28.07.1961 12:00:00;  10,9
31.08.1961 12:00:00;  9,40
30.09.1961 12:00:00;  5,63
17.10.1961 12:00:00;  5,25
03.11.1961 12:00:00;  6,01
01.12.1961 12:00:00;  6,39
24.01.1962 12:00:00;  9,40
24.02.1962 12:00:00;  11,2
19.03.1962 12:00:00;  10,7
16.04.1962 12:00:00;  24,4
03.05.1962 12:00:00;  24,4
29.06.1962 12:00:00;  12,9
26.07.1962 12:00:00;  7,60
31.08.1962 12:00:00;  5,10
16.09.1962 12:00:00;  4,65
25.10.1962 12:00:00;  3,54
17.11.1962 12:00:00;  3,33
01.12.1962 12:00:00;  4,95
31.01.1963 12:00:00;  4,57
17.02.1963 12:00:00;  4,57
04.03.1963 12:00:00;  5,76
04.04.1963 12:00:00;  34,6
21.05.1963 12:00:00;  47,5
30.06.1963 12:00:00;  20,8
25.07.1963 12:00:00;  6,50
06.08.1963 12:00:00;  3,88
24.09.1963 12:00:00;  5,76
31.10.1963 12:00:00;  6,39
06.11.1963 12:00:00;  5,63
31.12.1963 12:00:00;  6,20
01.01.1964 12:00:00;  6,20
01.02.1964 12:00:00;  7,15
09.03.1964 12:00:00;  5,82
08.04.1964 12:00:00;  23,9
27.05.1964 12:00:00;  21,2
13.06.1964 12:00:00;  8,51
20.07.1964 12:00:00;  4,80
01.08.1964 12:00:00;  5,44
16.09.1964 12:00:00;  8,03
07.10.1964 12:00:00;  6,92
12.11.1964 12:00:00;  8,03
27.12.1964 12:00:00;  9,65
08.01.1965 12:00:00;  9,65
28.02.1965 12:00:00;  10,2
10.03.1965 12:00:00;  9,90
15.04.1965 12:00:00;  33,8
01.05.1965 12:00:00;  62,0
30.06.1965 12:00:00;  43,3
30.07.1965 12:00:00;  36,9
20.08.1965 12:00:00;  7,34
09.09.1965 12:00:00;  9,56
29.10.1965 12:00:00;  5,12
01.11.1965 12:00:00;  5,28
03.12.1965 12:00:00;  13,5
29.01.1966 12:00:00;  20,1
20.02.1966 12:00:00;  23,4
17.03.1966 12:00:00;  19,8
01.04.1966 12:00:00;  23,4
31.05.1966 12:00:00;  47,2
23.06.1966 12:00:00;  37,1
14.07.1966 12:00:00;  34,9
19.08.1966 12:00:00;  18,6
30.09.1966 12:00:00;  6,01
12.10.1966 12:00:00;  5,10
26.11.1966 12:00:00;  7,15
09.12.1966 12:00:00;  9,65
24.01.1967 12:00:00;  8,73
18.02.1967 12:00:00;  15,5
18.03.1967 12:00:00;  23,4
01.04.1967 12:00:00;  22,4
04.05.1967 12:00:00;  49,7
29.06.1967 12:00:00;  40,9
31.07.1967 12:00:00;  10,7
31.08.1967 12:00:00;  5,59
01.09.1967 12:00:00;  5,25
17.10.1967 12:00:00;  5,42
27.11.1967 12:00:00;  6,50
06.12.1967 12:00:00;  5,59
05.01.1968 12:00:00;  9,25
05.02.1968 12:00:00;  9,02
13.03.1968 12:00:00;  7,70
13.04.1968 12:00:00;  29,8
20.05.1968 12:00:00;  43,4
30.06.1968 12:00:00;  19,8
11.07.1968 12:00:00;  8,50
30.08.1968 12:00:00;  8,05
15.09.1968 12:00:00;  7,60
29.10.1968 12:00:00;  5,54
30.11.1968 12:00:00;  4,09
09.12.1968 12:00:00;  3,04
17.01.1969 12:00:00;  3,70
04.02.1969 12:00:00;  4,22
30.03.1969 12:00:00;  6,65
19.04.1969 12:00:00;  15,2
22.05.1969 12:00:00;  32,6
16.06.1969 12:00:00;  29,8
29.07.1969 12:00:00;  5,80
12.08.1969 12:00:00;  6,96
25.09.1969 12:00:00;  7,14
31.10.1969 12:00:00;  4,79
04.11.1969 12:00:00;  4,42
02.12.1969 12:00:00;  6,32
09.01.1970 12:00:00;  7,73
17.02.1970 12:00:00;  9,02
10.03.1970 12:00:00;  8,56
07.04.1970 12:00:00;  14,5
03.05.1970 12:00:00;  44,8
27.06.1970 12:00:00;  48,8
14.07.1970 12:00:00;  27,8
07.08.1970 12:00:00;  8,56
26.09.1970 12:00:00;  6,16
18.10.1970 12:00:00;  6,65
28.11.1970 12:00:00;  26,2
20.12.1970 12:00:00;  7,94
31.01.1971 12:00:00;  6,16
28.02.1971 12:00:00;  4,35
02.03.1971 12:00:00;  6,49
03.04.1971 12:00:00;  36,8
22.05.1971 12:00:00;  13,8
24.06.1971 12:00:00;  27,8
28.07.1971 12:00:00;  6,28
07.08.1971 12:00:00;  5,41
26.09.1971 12:00:00;  5,15
12.10.1971 12:00:00;  5,41
08.11.1971 12:00:00;  5,15
10.12.1971 12:00:00;  6,96
31.01.1972 12:00:00;  4,67
03.02.1972 12:00:00;  4,67
05.03.1972 12:00:00;  5,80
27.04.1972 12:00:00;  29,3
19.05.1972 12:00:00;  21,7
28.06.1972 12:00:00;  11,5
19.07.1972 12:00:00;  8,56
31.08.1972 12:00:00;  10,2
05.09.1972 12:00:00;  3,62
20.10.1972 12:00:00;  2,50
10.11.1972 12:00:00;  11,5
31.12.1972 12:00:00;  11,6
31.01.1973 12:00:00;  3,70
28.02.1973 12:00:00;  3,32
01.03.1973 12:00:00;  3,32
14.04.1973 12:00:00;  9,94
31.05.1973 12:00:00;  47,5
10.06.1973 12:00:00;  19,7
06.07.1973 12:00:00;  11,5
21.08.1973 12:00:00;  3,04
16.09.1973 12:00:00;  3,88
07.10.1973 12:00:00;  4,01
04.11.1973 12:00:00;  12,4
31.12.1973 12:00:00;  9,02
04.01.1974 12:00:00;  4,74
28.02.1974 12:00:00;  7,10
03.03.1974 12:00:00;  5,42
19.04.1974 12:00:00;  18,7
09.05.1974 12:00:00;  35,8
09.06.1974 12:00:00;  35,8
16.07.1974 12:00:00;  16,3
22.08.1974 12:00:00;  5,08
18.09.1974 12:00:00;  5,83
17.10.1974 12:00:00;  25,4
09.11.1974 12:00:00;  15,2
24.12.1974 12:00:00;  23,9
23.01.1975 12:00:00;  17,6
22.02.1975 12:00:00;  4,87
26.03.1975 12:00:00;  7,68
02.04.1975 12:00:00;  10,6
05.05.1975 12:00:00;  41,9
06.06.1975 12:00:00;  39,6
30.07.1975 12:00:00;  16,6
09.08.1975 12:00:00;  10,9
30.09.1975 12:00:00;  3,70
17.10.1975 12:00:00;  3,13
12.11.1975 12:00:00;  2,94
19.12.1975 12:00:00;  2,50
29.01.1976 12:05:00;  4,36
06.02.1976 12:45:00;  3,47
11.03.1976 14:15:00;  2,89
30.04.1976 05:30:00;  18,7
01.05.1976 10:15:00;  14,2
30.06.1976 12:15:00;  3,70
08.07.1976 11:45:00;  3,43
28.08.1976 11:30:00;  3,58
28.09.1976 11:30:10;  3,56
30.10.1976 13:00:00;  2,69
03.11.1976 11:45:00;  3,28
07.12.1976 10:15:00;  8,77
18.01.1977 12:15:00;  2,89
03.02.1977 11:30:00;  4,73
01.03.1977 09:15:00;  24,0
01.04.1977 08:45:00;  25,3
31.05.1977 07:45:00;  36,7
05.06.1977 09:45:00;  25,9
25.07.1977 10:00:00;  17,1
09.08.1977 07:00:00;  10,6
29.09.1977 11:15:00;  3,93
24.10.1977 10:00:00;  2,85
01.11.1977 07:30:00;  2,97
21.12.1977 11:15:00;  5,12
24.01.1978 07:30:00;  6,00
16.02.1978 11:30:00;  5,48
08.03.1978 19:00:00;  31,1
16.04.1978 15:15:00;  14,0
16.05.1978 03:15:00;  48,4
23.06.1978 08:45:00;  36,9
31.07.1978 23:59:55;  16,5
30.08.1978 10:15:00;  5,88
26.09.1978 13:30:15;  2,64
17.10.1978 10:00:00;  3,24
25.11.1978 11:30:00;  4,88
24.12.1978 12:01:55;  3,68
05.01.1979 10:00:00;  3,99
28.02.1979 11:15:00;  3,05
03.03.1979 10:15:00;  3,38
08.04.1979 04:15:00;  15,5
07.05.1979 06:30:00;  14,6
30.06.1979 06:30:00;  17,3
24.07.1979 07:15:00;  2,16
06.08.1979 06:59:00;  2,28
02.09.1979 08:00:00;  2,21
27.10.1979 11:45:00;  3,83
04.11.1979 11:00:00;  3,90
29.12.1979 08:45:00;  5,70
05.01.1980 08:45:00;  5,22
28.02.1980 20:30:00;  10,8
05.03.1980 11:30:00;  4,57
10.04.1980 06:45:00;  26,8
17.05.1980 05:15:00;  30,7
22.06.1980 00:30:00;  37,0
31.07.1980 05:45:00;  13,0
27.08.1980 09:45:00;  4,04
21.09.1980 10:45:00;  4,40
07.10.1980 09:30:00;  4,37
15.11.1980 12:30:00;  3,86
02.12.1980 08:15:15;  4,45
14.01.1981 10:30:00;  5,15
28.02.1981 11:46:25;  4,34
01.03.1981 10:15:00;  4,57
25.04.1981 23:00:00;  6,94
24.05.1981 09:30:00;  29,6
28.06.1981 07:15:00;  5,92
11.07.1981 08:00:00;  4,50
16.08.1981 08:30:00;  3,54
09.09.1981 06:00:00;  3,67
09.10.1981 05:30:00;  9,74
17.11.1981 09:45:15;  8,20
29.12.1981 09:15:00;  7,82
26.01.1982 08:45:00;  6,67
07.02.1982 08:15:00;  10,8
01.03.1982 00:45:00;  14,0
28.04.1982 06:00:00;  26,6
02.05.1982 05:30:00;  19,7
22.06.1982 04:45:00;  40,1
23.07.1982 06:45:00;  3,91
02.08.1982 07:00:00;  5,42
26.09.1982 08:15:00;  3,44
30.10.1982 06:15:00;  3,68
05.11.1982 05:30:00;  3,50
05.12.1982 07:15:00;  3,65
25.01.1983 06:00:00;  8,18
20.02.1983 09:00:00;  4,12
06.03.1983 07:00:00;  13,1
01.04.1983 05:15:00;  29,5
21.05.1983 07:30:00;  34,3
12.06.1983 20:00:00;  13,3
29.07.1983 07:30:00;  2,65
23.08.1983 05:00:00;  3,90
10.09.1983 11:45:00;  4,97
05.10.1983 02:45:00;  3,70
23.11.1983 06:00:00;  3,22
18.12.1983 07:17:05;  4,82
29.01.1984 10:00:00;  5,85
21.02.1984 15:45:00;  4,36
02.03.1984 08:00:00;  4,38
05.04.1984 07:30:10;  16,2
14.05.1984 04:30:00;  22,6
17.06.1984 19:00:00;  27,8
25.07.1984 21:45:00;  5,53
24.08.1984 03:00:00;  6,59
04.09.1984 05:30:00;  3,70
28.10.1984 13:00:05;  3,70
18.11.1984 15:45:00;  3,10
29.12.1984 07:30:00;  3,41
05.01.1985 07:30:00;  3,21
16.02.1985 10:15:00;  4,94
09.03.1985 13:15:00;  5,46
29.04.1985 06:45:00;  23,6
26.05.1985 14:15:00;  39,9
02.06.1985 09:30:00;  18,1
25.07.1985 08:15:00;  5,77
25.08.1985 03:45:00;  8,24
27.09.1985 13:15:00;  3,09
27.10.1985 16:15:10;  2,10
01.11.1985 05:30:00;  2,13
29.12.1985 04:15:00;  3,96
08.01.1986 03:30:00;  3,31
09.02.1986 13:00:00;  3,45
05.03.1986 09:15:00;  4,79
07.04.1986 06:30:00;  30,7
26.05.1986 03:45:00;  49,4
30.06.1986 03:15:00;  9,19
06.07.1986 10:30:00;  6,89
04.08.1986 05:30:00;  5,84
12.09.1986 08:45:00;  3,44
14.10.1986 04:00:00;  2,89
15.11.1986 08:31:15;  4,94
09.12.1986 22:30:00;  4,47
30.01.1987 11:00:10;  3,07
06.02.1987 08:45:00;  3,58
17.03.1987 21:00:00;  5,47
02.04.1987 07:00:00;  9,23
17.05.1987 19:15:00;  45,5
28.06.1987 16:30:00;  51,6
12.07.1987 19:00:00;  21,3
23.08.1987 08:45:00;  15,0
20.09.1987 07:15:00;  4,87
21.10.1987 08:00:00;  5,43
09.11.1987 23:30:00;  5,53
14.12.1987 02:15:00;  6,01
24.01.1988 08:00:00;  7,00
21.02.1988 15:15:00;  6,81
06.03.1988 07:45:00;  6,44
03.04.1988 09:00:00;  34,3
29.05.1988 11:45:00;  32,8
26.06.1988 01:30:00;  15,6
29.07.1988 06:15:00;  5,50
11.08.1988 02:00:00;  6,03
28.09.1988 10:30:00;  7,24
29.10.1988 14:30:00;  5,63
05.11.1988 18:00:00;  5,63
18.12.1988 11:00:00;  7,80
22.01.1989 09:00:00;  7,07
05.02.1989 06:00:00;  4,11
11.03.1989 04:00:00;  19,8
30.04.1989 04:30:00;  27,5
01.05.1989 22:00:00;  22,0
18.06.1989 15:30:00;  9,49
31.07.1989 04:45:00;  6,75
25.08.1989 05:45:00;  7,90
24.09.1989 10:15:00;  8,40
07.10.1989 04:15:00;  6,23
30.11.1989 08:30:00;  9,72
08.12.1989 11:45:00;  7,61
08.01.1990 16:15:00;  6,39
06.02.1990 10:00:00;  9,72
19.03.1990 04:15:00;  16,2
07.04.1990 03:00:00;  22,6
31.05.1990 11:00:00;  18,0
02.06.1990 15:00:00;  13,5
25.07.1990 08:15:00;  4,19
03.08.1990 09:00:00;  5,30
03.09.1990 09:00:00;  11,2
13.10.1990 09:30:00;  7,61
30.11.1990 08:30:00;  23,2
16.12.1990 18:30:00;  9,04
30.01.1991 07:00:00;  5,10
08.02.1991 09:30:00;  3,66
29.03.1991 16:00:00;  9,89
20.04.1991 11:00:00;  6,13
30.05.1991 11:30:00;  10,6
06.06.1991 01:45:00;  25,8
23.07.1991 23:00:00;  10,5
30.08.1991 11:15:00;  3,80
19.09.1991 22:15:00;  3,13
10.10.1991 09:30:00;  3,63
02.11.1991 23:00:00;  5,04
11.12.1991 07:30:00;  3,90
18.01.1992 10:30:00;  4,92
22.02.1992 15:45:00;  4,57
29.03.1992 10:00:00;  19,2
18.04.1992 15:15:00;  22,3
31.05.1992 12:45:00;  8,83
15.06.1992 04:00:00;  9,16
30.07.1992 20:00:00;  5,70
26.08.1992 15:30:00;  2,74
25.09.1992 12:15:00;  4,57
13.10.1992 14:45:00;  5,29
10.11.1992 09:15:00;  12,3
19.12.1992 14:15:00;  5,29
20.01.1993 16:00:00;  6,62
28.02.1993 01:45:00;  5,15
07.03.1993 02:15:00;  5,29
04.04.1993 20:00:00;  17,1
27.05.1993 17:15:00;  5,18
02.06.1993 15:00:00;  8,51
04.07.1993 13:15:00;  9,13
22.08.1993 11:30:00;  14,0
24.09.1993 07:15:00;  15,5
31.10.1993 23:59:55;  13,9
28.11.1993 01:00:00;  5,94
04.12.1993 07:30:00;  5,94
22.01.1994 00:15:00;  10,9
19.02.1994 06:45:00;  5,52
20.03.1994 01:00:00;  20,8
12.04.1994 05:00:00;  25,9
08.05.1994 19:45:00;  25,5
28.06.1994 03:00:00;  13,7
17.07.1994 14:30:00;  6,78
08.08.1994 15:30:00;  5,83
30.09.1994 23:59:55;  10,0
19.10.1994 11:45:00;  6,35
06.11.1994 16:00:00;  8,49
04.12.1994 11:00:00;  7,71
22.01.1995 11:00:00;  13,3
24.02.1995 06:30:00;  23,5
11.03.1995 10:45:00;  3,31
12.04.1995 01:30:00;  21,2
12.05.1995 10:30:00;  13,7
30.06.1995 09:30:00;  18,3
30.07.1995 17:00:00;  8,40
09.08.1995 07:15:00;  2,28
27.09.1995 08:00:00;  15,0
27.10.1995 10:00:00;  4,28
01.11.1995 13:15:00;  5,33
17.12.1995 04:30:00;  5,52
28.01.1996 17:30:00;  4,28
16.02.1996 15:45:00;  3,66
03.03.1996 12:00:00;  3,95
05.04.1996 07:15:00;  15,2
19.05.1996 22:30:00;  11,6
16.06.1996 21:00:00;  7,00
28.07.1996 14:15:00;  4,77
01.08.1996 21:15:00;  9,07
12.09.1996 15:45:00;  4,65
15.10.1996 09:00:00;  5,26
25.11.1996 07:45:00;  14,2
31.12.1996 09:15:00;  9,93
15.01.1997 02:15:00;  4,06
02.02.1997 11:15:00;  4,25
11.03.1997 01:00:00;  13,1
23.04.1997 07:00:00; 10,00
31.05.1997 00:45:00;  12,5
13.06.1997 05:30:00;  7,79
17.07.1997 06:30:00;  13,2
24.08.1997 04:15:00;  4,12
21.09.1997 02:15:00;  4,97
05.10.1997 17:00:00;  7,35
27.11.1997 15:30:00;  1,32
01.12.1997 02:45:00;  5,57
28.01.1998 09:45:00;  2,61
07.02.1998 02:15:00;  3,36
25.03.1998 08:45:00;  15,0
10.04.1998 06:15:00;  16,4
24.05.1998 22:30:00;  5,37
07.06.1998 17:00:00;  4,91
27.07.1998 07:00:00;  3,10
16.08.1998 15:00:00;  2,61
01.09.1998 00:15:00;  5,96
24.10.1998 02:00:00;  13,6
28.11.1998 12:00:00;  4,89
08.12.1998 10:45:00;  4,12
24.01.1999 06:15:00;  5,93
13.02.1999 11:45:00;  2,59
21.03.1999 09:45:00;  18,6
17.04.1999 00:30:00;  23,4
30.05.1999 16:30:00;  59,6
15.06.1999 06:15:00;  30,6
28.07.1999 07:30:00;  10,5
05.08.1999 02:00:00;  9,19
19.09.1999 22:30:00;  8,80
24.10.1999 01:15:00;  4,56
01.11.1999 23:15:00;  6,20
22.12.1999 06:00:00;  8,87
16.01.2000 15:00:00;  7,59
25.02.2000 07:45:00;  20,3
07.03.2000 06:45:00;  24,4
08.04.2000 04:30:00;  25,4
28.05.2000 05:45:00;  23,2
22.06.2000 06:45:00;  12,4
01.07.2000 15:00:00;  9,52
02.08.2000 03:30:00;  14,1
17.09.2000 21:00:00;  14,4
22.10.2000 23:00:00;  12,9
09.11.2000 08:00:00;  17,4
31.12.2000 18:00:00;  11,9
01.01.2001 09:30:00;  10,6
18.02.2001 17:45:00;  6,85
03.03.2001 00:00:00;  9,22
15.04.2001 07:30:00;  21,3
30.05.2001 06:15:00;  15,2
24.06.2001 21:30:00;  12,2
15.07.2001 04:45:00;  8,68
26.08.2001 09:00:00;  11,3
04.09.2001 03:15:00;  14,2
21.10.2001 00:30:00;  7,48
22.11.2001 04:30:00;  8,08
24.12.2001 11:04:45;  3,28
19.01.2002 00:30:00;  3,71
17.02.2002 10:45:00;  7,70
17.03.2002 10:30:00;  9,08
11.04.2002 01:15:00;  5,09
18.05.2002 08:45:00;  9,03
23.06.2002 08:30:00;  6,21
31.07.2002 07:05:00;  5,74
04.08.2002 02:15:00;  5,49
19.09.2002 00:00:00;  3,83
30.10.2002 16:00:00;  4,60
02.11.2002 01:30:00;  3,82
14.12.2002 16:45:00;  2,45
16.01.2003 23:00:00;  3,48
23.02.2003 01:00:00;  3,08
26.03.2003 18:00:00;  12,8
12.04.2003 11:00:00;  7,80
18.05.2003 07:15:00;  8,73
29.06.2003 10:45:00;  4,12
13.07.2003 12:00:00;  4,23
27.08.2003 15:45:00;  3,28
21.09.2003 06:45:00;  4,54
29.10.2003 13:00:00;  4,93
09.11.2003 20:15:00;  5,22
13.12.2003 17:30:00;  4,87
04.01.2004 06:36:15;  5,79
01.02.2004 15:26:25;  7,18
13.03.2004 12:30:00;  8,17
14.04.2004 17:30:00;  12,8
27.05.2004 03:00:00;  16,7
27.06.2004 20:30:00;  9,24
31.07.2004 23:59:55;  3,14
01.08.2004 11:45:00;  2,69
11.09.2004 08:30:00;  2,44
31.10.2004 09:30:00;  7,84
21.11.2004 15:15:00;  6,85
23.12.2004 12:00:00;  5,14
20.01.2005 05:30:00;  6,71
08.02.2005 12:30:00;  5,54
12.03.2005 10:30:00;  5,92
05.04.2005 06:15:00;  24,5
20.05.2005 02:30:00;  24,8
25.06.2005 04:00:00;  14,6
01.07.2005 01:45:00;  15,4
29.08.2005 05:42:45;  8,61
27.09.2005 09:30:00;  5,30
31.10.2005 10:15:00;  1,77
26.11.2005 08:30:00;  1,61
02.12.2005 10:00:00;  1,07
14.01.2006 14:48:00;  3,45
04.02.2006 08:45:00;  3,21
02.03.2006 07:45:00;  5,01
10.04.2006 05:15:00;  21,1
26.05.2006 05:30:00;  16,2
30.06.2006 07:55:00;  6,40
23.07.2006 23:05:00;  5,89
20.08.2006 04:20:00;  7,71
16.09.2006 07:35:00;  7,39
28.10.2006 13:05:00;  4,00
01.11.2006 04:25:00;  4,66
30.12.2006 09:20:00;  5,34
31.01.2007 12:20:00;  7,36
03.02.2007 10:50:00;  5,70
18.03.2007 11:20:00;  12,1
30.04.2007 08:50:00;  10,4
04.05.2007 07:35:00;  9,85
11.06.2007 00:50:00;  13,1
21.07.2007 22:22:30;  16,9
26.08.2007 11:15:00;  19,2
23.09.2007 08:00:00;  15,4
14.10.2007 08:00:00;  10,2
04.11.2007 10:50:00;  9,38
31.12.2007 10:00:00;  12,1
30.01.2008 08:00:00;  12,0
17.02.2008 13:05:00;  7,78
09.03.2008 13:20:00;  15,9
06.04.2008 00:20:00;  28,9
23.05.2008 06:20:00;  22,0
29.06.2008 08:30:00;  11,4
06.07.2008 05:35:00;  10,8
31.08.2008 23:59:55;  11,0
28.09.2008 21:25:00;  8,60
26.10.2008 15:55:00;  8,38
09.11.2008 11:50:00;  7,72
14.12.2008 08:25:00;  10,4
11.01.2009 14:20:00;  7,46
01.02.2009 15:05:00;  7,14
08.03.2009 09:40:00;  16,2
30.04.2009 05:15:00;  28,5
30.05.2009 19:40:00;  15,7
06.06.2009 02:50:00;  11,5
17.07.2009 03:10:00;  12,8
30.08.2009 20:50:00;  6,23
01.09.2009 11:15:00;  6,12
04.10.2009 04:50:00;  4,50
01.11.2009 10:35:00;  12,7
22.12.2009 08:30:00;  11,7
30.01.2010 13:30:00;  4,37
01.02.2010 01:20:00;  4,81
14.03.2010 13:40:00;  6,72
17.04.2010 02:05:00;  13,2
24.05.2010 06:50:00;  17,0
29.06.2010 20:00:00;  15,3
10.07.2010 05:45:00;  5,70
27.08.2010 02:15:00;  10,1
24.09.2010 00:55:00;  8,99
14.10.2010 12:30:00;  7,32
21.11.2010 23:50:00;  10,6
04.12.2010 18:55:00;  11,0
30.01.2011 11:05:00;  9,05
26.02.2011 15:00:00;  6,73
06.03.2011 07:35:00;  8,77
27.04.2011 05:35:00;  6,76
07.05.2011 04:35:00;  5,38
04.06.2011 06:40:00;  8,08
13.07.2011 00:25:00;  9,35
26.08.2011 19:50:00;  5,59
03.09.2011 11:35:00;  4,56
01.10.2011 12:50:00;  3,90
30.11.2011 11:35:00;  3,71
01.12.2011 08:30:00;  3,72
17.01.2012 05:40:00;  9,95
15.02.2012 10:06:00;  4,15
12.03.2012 02:30:00;  14,8
19.04.2012 02:50:00;  13,9
31.05.2012 04:05:00;  14,8
24.06.2012 09:05:00;  7,78
31.07.2012 16:35:00;  6,86
19.08.2012 22:40:00;  4,42
11.09.2012 01:50:00;  6,57
27.10.2012 05:15:00;  6,29
24.11.2012 23:00:00;  5,75
02.12.2012 08:15:00;  8,55
27.01.2013 04:25:50;  4,78
24.02.2013 12:45:00;  7,08
02.03.2013 19:10:00;  10,6
07.04.2013 18:10:00;  21,4
20.05.2013 14:30:00;  23,6
23.06.2013 03:45:00;  19,3
28.07.2013 22:50:00;  7,84
18.08.2013 01:40:45;  7,66
