Messstelle:                ;Bad Hofgastein
27.08.1960 12:00:00;  10,7
16.09.1960 12:00:00;  9,22
20.10.1960 12:00:00;  7,58
30.11.1960 12:00:00;  4,45
31.12.1960 12:00:00;  4,04
31.01.1961 12:00:00;  2,50
07.02.1961 12:00:00;  1,80
07.03.1961 12:00:00;  2,50
02.04.1961 12:00:00;  3,42
23.05.1961 12:00:00;  8,94
06.06.1961 12:00:00;  12,3
20.07.1961 12:00:00;  11,7
31.08.1961 12:00:00;  9,50
26.09.1961 12:00:00;  5,82
18.10.1961 12:00:00;  4,24
30.11.1961 12:00:00;  4,04
31.12.1961 12:00:00;  3,05
31.01.1962 12:00:00;  1,80
21.02.1962 12:00:00;  1,80
25.03.1962 12:00:00;  2,08
13.04.1962 12:00:00;  2,36
04.05.1962 12:00:00;  6,31
10.06.1962 12:00:00;  10,1
08.07.1962 12:00:00;  14,3
31.08.1962 12:00:00;  10,4
30.09.1962 12:00:00;  5,58
31.10.1962 12:00:00;  3,34
30.11.1962 12:00:00;  2,50
31.12.1962 12:00:00;  1,94
31.01.1963 12:00:00;  1,72
28.02.1963 12:00:00;  1,34
02.03.1963 12:00:00;  1,34
07.04.1963 12:00:00;  1,83
09.05.1963 12:00:00;  5,58
18.06.1963 12:00:00;  10,4
31.07.1963 12:00:00;  10,4
02.08.1963 12:00:00;  9,20
24.09.1963 12:00:00;  6,75
31.10.1963 12:00:00;  4,05
01.11.1963 12:00:00;  4,05
31.12.1963 12:00:00;  2,77
30.01.1964 12:00:00;  1,90
26.02.1964 12:00:00;  1,77
14.03.1964 12:00:00;  1,90
04.04.1964 12:00:00;  2,44
03.05.1964 12:00:00;  5,58
28.06.1964 12:00:00;  11,0
31.07.1964 12:00:00;  7,52
09.08.1964 12:00:00;  7,52
16.09.1964 12:00:00;  5,14
10.10.1964 12:00:00;  4,10
16.11.1964 12:00:00;  5,14
31.12.1964 12:00:00;  2,98
29.01.1965 12:00:00;  2,05
28.02.1965 12:00:00;  1,83
08.03.1965 12:00:00;  1,83
26.04.1965 12:00:00;  3,34
03.05.1965 12:00:00;  3,70
01.06.1965 12:00:00;  14,3
30.07.1965 12:00:00;  19,3
20.08.1965 12:00:00;  13,9
19.09.1965 12:00:00;  13,6
31.10.1965 12:00:00;  4,27
29.11.1965 12:00:00;  2,41
31.12.1965 12:00:00;  2,13
31.01.1966 12:00:00;  1,86
17.02.1966 12:00:00;  1,86
30.03.1966 12:00:00;  2,00
03.04.1966 12:00:00;  2,13
31.05.1966 12:00:00;  9,07
05.06.1966 12:00:00;  7,93
13.07.1966 12:00:00;  11,6
02.08.1966 12:00:00;  17,3
30.09.1966 12:00:00;  7,40
31.10.1966 12:00:00;  5,39
02.11.1966 12:00:00;  4,72
31.12.1966 12:00:00;  4,07
31.01.1967 12:00:00;  3,09
16.02.1967 12:00:00;  2,27
05.03.1967 12:00:00;  2,99
08.04.1967 12:00:00;  2,38
01.05.1967 12:00:00;  7,53
14.06.1967 12:00:00;  13,9
28.07.1967 12:00:00;  14,2
31.08.1967 12:00:00;  8,02
30.09.1967 12:00:00;  7,09
27.10.1967 12:00:00;  3,55
26.11.1967 12:00:00;  3,26
28.12.1967 12:00:00;  2,12
29.01.1968 12:00:00;  1,70
01.02.1968 12:00:00;  1,70
13.03.1968 12:00:00;  1,80
14.04.1968 12:00:00;  4,03
02.05.1968 12:00:00;  6,65
13.06.1968 12:00:00;  10,1
31.07.1968 12:00:00;  9,69
28.08.1968 12:00:00;  10,2
29.09.1968 12:00:00;  8,17
31.10.1968 12:00:00;  5,16
26.11.1968 12:00:00;  3,76
30.12.1968 12:00:00;  2,72
31.01.1969 12:00:00;  2,33
19.02.1969 12:00:00;  2,00
02.03.1969 12:00:00;  2,20
04.04.1969 12:00:00;  2,00
21.05.1969 12:00:00;  9,69
30.06.1969 12:00:00;  10,2
02.07.1969 12:00:00;  9,69
12.08.1969 12:00:00;  7,45
30.09.1969 12:00:00;  5,74
30.10.1969 12:00:00;  3,00
10.11.1969 12:00:00;  3,00
31.12.1969 12:00:00;  2,20
23.01.1970 12:00:00;  1,90
23.02.1970 12:00:00;  1,80
01.03.1970 12:00:00;  1,90
03.04.1970 12:00:00;  2,00
03.05.1970 12:00:00;  4,79
01.06.1970 12:00:00;  12,6
19.07.1970 12:00:00;  13,9
29.08.1970 12:00:00;  11,6
29.09.1970 12:00:00;  6,23
25.10.1970 12:00:00;  5,07
29.11.1970 12:00:00;  4,36
27.12.1970 12:00:00;  2,72
26.01.1971 12:00:00;  2,00
28.02.1971 12:00:00;  1,80
12.03.1971 12:00:00;  1,70
02.04.1971 12:00:00;  2,23
01.05.1971 12:00:00;  5,83
14.06.1971 12:00:00;  8,51
30.07.1971 12:00:00;  7,31
04.08.1971 12:00:00;  7,31
24.09.1971 12:00:00;  4,36
31.10.1971 12:00:00;  3,26
21.11.1971 12:00:00;  2,47
09.12.1971 12:00:00;  2,12
08.01.1972 12:00:00;  1,90
16.02.1972 12:00:00;  1,90
03.03.1972 12:00:00;  1,90
01.04.1972 12:00:00;  2,59
01.05.1972 12:00:00;  4,70
03.06.1972 12:00:00;  12,9
31.07.1972 12:00:00;  15,6
27.08.1972 12:00:00;  7,53
30.09.1972 12:00:00;  4,36
23.10.1972 12:00:00;  3,41
28.11.1972 12:00:00;  2,84
30.12.1972 12:00:00;  2,34
31.01.1973 12:00:00;  1,90
03.02.1973 12:00:00;  1,90
19.03.1973 12:00:00;  1,80
21.04.1973 12:00:00;  2,23
01.05.1973 12:00:00;  6,43
10.06.1973 12:00:00;  13,5
31.07.1973 12:00:00;  8,75
20.08.1973 12:00:00;  6,65
16.09.1973 12:00:00;  5,43
31.10.1973 12:00:00;  5,43
30.11.1973 12:00:00;  3,41
20.12.1973 12:00:00;  2,59
19.01.1974 12:00:00;  2,34
28.02.1974 12:00:00;  2,12
04.03.1974 12:00:00;  1,90
23.04.1974 12:00:00;  3,86
03.05.1974 12:00:00;  5,25
14.06.1974 12:00:00;  10,1
09.07.1974 12:00:00;  17,5
26.08.1974 12:00:00;  9,29
20.09.1974 12:00:00;  6,87
31.10.1974 12:00:00;  4,52
30.11.1974 12:00:00;  3,70
23.12.1974 12:00:00;  2,97
30.01.1975 12:00:00;  2,72
23.02.1975 12:00:00;  2,47
31.03.1975 12:00:00;  2,34
01.04.1975 12:00:00;  2,34
02.05.1975 12:00:00;  8,26
09.06.1975 12:00:00;  10,7
29.07.1975 12:00:00;  18,7
31.08.1975 12:00:00;  12,4
27.09.1975 12:00:00;  5,68
31.10.1975 12:00:00;  2,86
24.11.1975 12:00:00;  1,96
21.12.1975 12:00:00;  1,69
25.01.1976 14:00:00;  1,43
21.02.1976 22:00:00;  1,27
22.03.1976 11:00:00;  1,16
01.04.1976 14:00:00;  2,04
01.05.1976 08:00:00;  3,18
07.06.1976 16:00:00;  9,33
16.07.1976 15:00:00;  8,59
29.08.1976 14:00:00;  7,92
27.09.1976 02:00:00;  7,46
29.10.1976 20:00:00;  5,19
25.11.1976 15:00:00;  3,72
28.12.1976 09:00:00;  2,78
19.01.1977 04:00:00;  2,49
03.02.1977 12:00:00;  2,36
01.03.1977 08:00:00;  2,91
17.04.1977 15:00:00;  3,67
11.05.1977 13:00:00;  9,25
05.06.1977 14:00:00;  9,85
24.07.1977 14:00:00;  11,3
28.08.1977 19:00:00;  8,75
30.09.1977 21:00:00;  4,90
30.10.1977 23:00:00;  3,63
30.11.1977 23:59:55;  2,77
22.12.1977 11:00:00;  2,29
28.01.1978 16:00:00;  2,01
10.02.1978 05:00:00;  1,91
26.03.1978 04:00:00;  2,23
18.04.1978 13:00:00;  2,99
17.05.1978 16:00:00;  6,55
30.06.1978 12:00:00;  11,7
01.07.1978 07:00:00;  15,2
29.08.1978 18:00:00;  7,51
06.09.1978 21:00:00;  7,23
22.10.1978 15:00:00;  7,32
26.11.1978 11:00:00;  4,43
27.12.1978 12:00:00;  3,98
23.01.1979 13:00:00;  3,22
28.02.1979 10:00:00;  2,97
03.03.1979 01:00:00;  2,86
09.04.1979 09:00:00;  2,73
04.05.1979 06:00:00;  3,88
20.06.1979 05:00:00;  22,8
26.07.1979 13:00:00;  13,4
31.08.1979 16:00:00;  9,80
19.09.1979 18:00:00;  6,18
31.10.1979 23:59:55;  4,81
26.11.1979 01:00:00;  3,67
28.12.1979 12:00:00;  3,21
31.01.1980 08:00:00;  2,52
07.02.1980 14:00:00;  2,33
04.03.1980 05:00:00;  2,34
11.04.1980 17:00:00;  2,58
01.05.1980 16:00:00;  3,78
04.06.1980 09:00:00;  10,9
05.07.1980 16:00:00;  16,4
27.08.1980 20:00:00;  9,91
30.09.1980 23:59:55;  6,22
07.10.1980 17:00:00;  4,94
30.11.1980 23:59:55;  4,36
30.12.1980 20:00:00;  4,17
26.01.1981 09:00:00;  3,05
17.02.1981 07:00:00;  2,64
03.03.1981 18:00:00;  2,33
26.04.1981 15:00:00;  4,98
07.05.1981 05:00:00;  4,07
21.06.1981 03:00:00;  8,00
09.07.1981 03:00:00;  8,64
31.08.1981 06:00:00;  4,46
09.09.1981 05:00:00;  4,36
26.10.1981 08:00:00;  3,32
01.11.1981 06:00:00;  4,34
10.12.1981 17:00:00;  1,78
27.01.1982 07:00:00;  1,63
11.02.1982 18:00:00;  1,44
03.03.1982 11:00:00;  1,39
30.04.1982 19:00:00;  2,02
01.05.1982 19:00:00;  1,99
16.06.1982 13:00:00;  9,47
19.07.1982 23:00:00;  7,91
27.08.1982 11:00:00;  5,71
20.09.1982 06:00:00;  2,57
22.10.1982 06:00:00;  3,13
27.11.1982 07:00:00;  1,28
31.12.1982 08:00:00; 0,866
01.01.1983 11:00:00; 0,997
12.02.1983 16:00:00; 0,752
08.03.1983 11:00:00; 0,804
08.04.1983 10:00:00;  1,26
06.05.1983 13:00:00;  6,17
19.06.1983 08:00:00;  8,41
28.07.1983 11:00:00;  8,59
31.08.1983 06:00:00;  4,07
30.09.1983 13:00:00;  3,78
31.10.1983 06:00:00;  2,70
23.11.1983 10:00:00;  1,15
13.12.1983 09:00:00; 0,582
09.01.1984 04:15:00; 0,735
23.02.1984 08:30:00; 0,753
19.03.1984 10:15:00; 0,912
01.04.1984 05:15:00;  1,17
01.05.1984 12:45:00;  2,88
07.06.1984 06:45:00;  5,36
29.07.1984 07:15:00;  4,43
30.08.1984 14:00:00;  5,70
15.09.1984 00:15:00;  5,88
31.10.1984 15:30:00;  2,41
28.11.1984 01:00:00;  1,74
24.12.1984 09:45:00;  1,41
28.01.1985 15:00:00;  1,16
24.02.1985 21:15:00; 0,900
18.03.1985 22:00:00;  1,06
01.04.1985 07:15:00;  1,68
01.05.1985 07:00:00;  2,90
19.06.1985 12:00:00;  10,5
26.07.1985 13:00:00;  12,0
17.08.1985 14:30:00;  7,99
30.09.1985 09:45:00;  5,34
30.10.1985 17:30:00;  2,50
04.11.1985 14:15:00;  2,29
09.12.1985 10:00:00;  2,55
26.01.1986 15:30:00;  1,56
28.02.1986 22:45:00;  1,38
02.03.1986 03:30:00; 0,983
02.04.1986 11:00:00;  2,57
11.05.1986 10:15:00;  10,3
09.06.1986 12:00:00;  8,12
17.07.1986 13:15:00;  6,95
10.08.1986 06:00:00;  5,87
30.09.1986 04:00:00;  3,76
22.10.1986 15:30:00;  2,07
30.11.1986 13:15:00;  1,24
25.12.1986 23:30:00; 0,854
25.01.1987 07:00:00; 0,872
22.02.1987 13:00:00; 0,784
23.03.1987 06:45:00; 0,702
02.04.1987 21:00:00;  1,38
09.05.1987 09:45:00;  7,11
23.06.1987 09:45:00;  11,6
30.07.1987 16:45:00;  13,0
09.08.1987 10:15:00;  9,19
26.09.1987 02:00:00;  4,87
06.10.1987 08:30:00;  3,10
24.11.1987 09:00:00;  2,89
17.12.1987 11:00:00;  2,17
14.01.1988 13:45:00;  1,91
14.02.1988 06:45:00;  2,11
05.03.1988 19:45:00;  1,79
01.04.1988 11:45:00;  2,04
01.05.1988 08:00:00;  5,77
23.06.1988 01:45:00;  11,0
27.07.1988 05:30:00;  9,48
20.08.1988 04:30:00;  5,54
11.09.1988 02:30:00;  6,01
31.10.1988 23:30:00;  3,78
23.11.1988 06:15:00;  2,00
17.12.1988 11:30:00;  1,74
02.01.1989 02:30:00;  1,49
17.02.1989 07:00:00;  1,34
05.03.1989 23:00:00;  1,46
19.04.1989 19:45:00;  2,60
02.05.1989 05:30:00;  3,28
10.06.1989 08:00:00;  6,53
20.07.1989 15:15:00;  8,97
30.08.1989 23:30:00;  6,50
25.09.1989 13:00:00;  4,24
18.10.1989 18:30:00;  2,93
29.11.1989 13:15:00;  2,17
14.12.1989 11:15:00;  1,68
23.01.1990 07:30:00;  1,30
19.02.1990 17:45:00;  1,10
04.03.1990 08:15:00;  1,10
22.04.1990 15:45:00;  2,14
01.05.1990 06:00:00;  3,10
01.06.1990 11:30:00;  5,20
27.07.1990 14:00:00;  6,75
31.08.1990 07:45:00;  3,84
03.09.1990 06:00:00;  3,84
27.10.1990 03:45:00;  2,76
08.11.1990 08:30:00;  2,76
29.12.1990 11:45:00;  1,54
17.01.1991 03:15:00;  1,09
10.02.1991 09:00:00;  1,16
02.03.1991 10:30:00;  1,49
05.04.1991 11:15:00;  2,28
01.05.1991 05:45:00;  2,90
01.06.1991 10:00:00;  7,96
01.07.1991 07:00:00;  12,1
31.08.1991 11:15:00;  6,17
09.09.1991 10:15:00;  4,58
26.10.1991 01:45:00;  3,12
26.11.1991 17:30:00;  2,45
31.12.1991 02:00:00;  1,09
18.01.1992 04:00:00;  1,56
23.02.1992 15:45:00;  1,35
29.03.1992 04:00:00;  1,46
02.04.1992 09:45:00;  1,91
01.05.1992 05:00:00;  7,69
10.06.1992 15:45:00;  10,9
29.07.1992 03:15:00;  6,36
27.08.1992 14:15:00;  4,56
27.09.1992 08:15:00;  2,90
27.10.1992 15:00:00;  2,22
15.11.1992 16:00:00;  3,10
31.12.1992 05:00:00;  1,99
31.01.1993 12:15:00;  1,59
27.02.1993 08:45:00;  1,23
04.03.1993 02:00:00;  1,12
09.04.1993 07:45:00;  1,87
02.05.1993 14:30:00;  8,51
15.06.1993 05:15:00;  8,24
09.07.1993 11:00:00;  7,17
22.08.1993 10:00:00;  5,93
25.09.1993 02:00:00;  4,40
01.10.1993 06:15:00;  4,40
29.11.1993 05:00:00;  2,69
30.12.1993 02:15:00;  1,99
21.01.1994 08:45:00;  1,72
15.02.1994 13:15:00;  1,59
05.03.1994 14:15:00;  1,85
14.04.1994 15:45:00;  2,29
07.05.1994 14:15:00;  7,00
12.06.1994 00:15:00;  9,78
30.07.1994 12:00:00;  5,59
06.08.1994 09:30:00;  4,72
07.09.1994 16:30:00;  5,22
22.10.1994 18:30:00;  3,46
09.11.1994 13:00:00;  2,86
26.12.1994 05:00:00;  2,07
16.01.1995 08:15:00;  1,67
28.02.1995 09:00:00;  1,52
08.03.1995 10:00:00;  1,39
01.04.1995 00:45:00;  1,66
23.05.1995 04:45:00;  6,53
04.06.1995 08:00:00;  13,1
31.07.1995 16:00:00;  7,84
07.08.1995 10:30:00;  5,10
30.09.1995 07:00:00;  4,44
17.10.1995 12:45:00;  1,94
21.11.1995 09:15:00;  1,59
18.12.1995 10:15:00;  1,12
21.01.1996 07:00:00; 0,817
19.02.1996 00:00:00; 0,558
03.03.1996 11:15:00; 0,558
02.04.1996 08:15:00; 0,700
08.05.1996 13:00:00;  4,03
18.06.1996 13:30:00;  5,10
23.07.1996 17:45:00;  5,33
22.08.1996 10:45:00;  4,66
18.09.1996 11:15:00;  4,23
31.10.1996 06:00:00;  4,44
11.11.1996 17:45:00;  2,40
27.12.1996 13:00:00;  1,06
24.01.1997 14:53:05;  1,67
22.02.1997 01:27:30;  2,06
31.03.1997 11:42:35;  1,44
18.04.1997 04:32:40;  1,07
02.05.1997 06:58:10;  2,07
01.06.1997 13:10:20;  7,06
24.07.1997 13:56:45;  9,09
28.08.1997 12:33:25;  5,71
25.09.1997 10:24:45;  1,65
29.10.1997 09:37:25;  2,35
24.11.1997 11:35:15;  1,96
05.12.1997 12:02:30;  1,87
31.01.1998 11:09:25;  1,72
08.02.1998 19:35:30;  1,40
22.03.1998 18:46:50;  1,59
20.04.1998 08:05:15;  1,86
07.05.1998 14:37:20;  2,63
19.06.1998 09:40:10;  6,74
23.07.1998 05:23:30;  9,04
31.08.1998 23:59:55;  4,74
02.09.1998 00:43:30;  4,29
31.10.1998 05:25:10;  3,25
27.11.1998 13:14:45;  1,70
09.12.1998 18:33:30;  1,57
30.01.1999 21:44:10;  1,55
23.02.1999 23:02:20;  1,11
10.03.1999 06:33:20;  1,61
17.04.1999 06:55:05;  2,47
01.05.1999 13:29:50;  10,3
27.06.1999 09:01:50;  8,62
19.07.1999 12:07:25;  7,36
03.08.1999 11:30:00;  6,46
30.09.1999 07:41:10;  3,37
25.10.1999 04:07:55;  3,58
17.11.1999 20:40:20;  1,49
30.12.1999 14:09:05;  1,53
16.01.2000 22:48:35;  1,27
01.02.2000 13:12:20;  1,38
04.03.2000 01:05:30;  1,49
02.04.2000 13:31:30;  2,31
24.05.2000 12:05:40;  8,65
30.06.2000 10:53:30;  6,10
07.07.2000 11:02:40;  5,96
30.08.2000 11:35:55;  2,18
27.09.2000 09:15:00;  1,92
30.10.2000 20:15:00;  5,09
12.11.2000 00:04:35;  3,82
22.12.2000 08:26:20;  1,42
05.01.2001 03:09:05;  1,60
13.02.2001 12:25:15;  2,06
29.03.2001 14:18:45;  2,06
22.04.2001 10:19:40;  1,70
22.05.2001 03:51:25;  10,2
05.06.2001 02:09:00;  7,39
30.07.2001 02:31:55;  8,97
30.08.2001 09:49:30;  4,47
20.09.2001 14:22:40;  4,90
29.10.2001 01:38:40;  2,37
07.11.2001 17:32:40;  2,32
31.12.2001 19:15:55;  1,64
04.01.2002 07:16:35;  1,28
25.02.2002 07:21:50;  1,32
30.03.2002 08:18:50;  1,48
02.04.2002 10:08:40;  1,41
01.05.2002 11:31:05;  5,58
30.06.2002 23:59:55;  6,67
14.07.2002 13:26:00;  5,18
03.08.2002 04:57:45;  4,49
20.09.2002 06:12:20;  2,85
31.10.2002 09:22:50;  3,22
14.11.2002 14:32:10; 0,993
22.12.2002 17:11:30;  1,69
23.01.2003 10:06:55;  1,80
24.02.2003 03:44:45;  1,50
17.03.2003 12:50:45;  1,03
21.04.2003 11:25:05;  1,17
16.05.2003 03:36:40;  5,90
22.06.2003 14:28:50;  6,84
20.07.2003 15:11:50;  3,98
28.08.2003 09:10:00;  2,72
28.09.2003 08:29:45;  2,94
25.10.2003 03:37:00; 0,800
23.11.2003 03:17:00;  2,83
26.12.2003 18:02:25;  1,63
22.01.2004 23:30:00;  1,46
28.02.2004 09:30:40;  1,09
06.03.2004 07:00:00;  1,05
13.04.2004 08:30:00;  2,22
10.05.2004 10:00:00;  4,60
22.06.2004 05:15:00;  14,3
31.07.2004 05:00:00;  9,55
24.08.2004 03:30:00;  5,32
12.09.2004 09:45:00;  3,20
26.10.2004 06:30:00;  3,02
18.11.2004 09:00:00;  2,24
23.12.2004 13:30:00;  1,06
08.01.2005 02:15:00; 0,957
28.02.2005 09:00:00;  1,12
01.03.2005 10:30:00; 0,817
10.04.2005 18:45:00;  3,28
12.05.2005 06:15:00;  4,21
11.06.2005 06:00:00;  6,29
04.07.2005 05:45:00;  7,13
10.08.2005 15:15:00;  13,2
16.09.2005 05:15:00;  3,60
27.10.2005 16:43:15;  1,84
02.11.2005 08:26:10;  1,84
30.12.2005 21:45:00; 0,895
31.01.2006 22:00:00; 0,778
13.02.2006 02:45:00; 0,637
12.03.2006 22:45:00; 0,604
07.04.2006 05:30:00;  1,29
02.05.2006 03:45:00;  8,40
05.06.2006 07:30:00;  5,80
28.07.2006 02:30:00;  6,53
24.08.2006 07:00:00;  6,04
15.09.2006 04:00:00;  4,03
22.10.2006 21:00:00;  2,53
13.11.2006 13:30:00;  2,07
14.12.2006 11:45:00;  1,42
06.01.2007 11:30:00;  1,79
12.02.2007 11:15:00;  1,66
04.03.2007 22:14:00;  1,98
06.04.2007 12:38:05;  2,05
08.05.2007 07:33:05;  4,83
01.06.2007 02:14:10;  5,40
22.07.2007 08:45:00;  6,54
28.08.2007 03:00:00;  5,09
30.09.2007 18:45:00;  5,03
16.10.2007 13:30:00;  2,07
17.11.2007 21:15:00;  3,04
29.12.2007 10:45:00;  1,66
11.01.2008 20:45:00;  1,27
09.02.2008 02:45:00;  1,16
01.03.2008 01:15:00;  1,66
08.04.2008 04:30:00;  1,93
02.05.2008 10:15:00;  4,20
17.06.2008 03:45:00;  7,58
12.07.2008 07:06:05;  9,15
14.08.2008 15:11:35;  5,59
29.09.2008 07:53:30;  2,53
25.10.2008 00:00:00;  3,08
16.11.2008 18:15:00;  2,73
04.12.2008 13:15:00;  1,94
19.01.2009 08:45:00;  1,52
18.02.2009 09:00:00;  1,42
25.03.2009 08:15:00; 0,959
02.04.2009 12:00:00;  3,08
01.05.2009 13:00:00;  7,31
05.06.2009 05:45:00;  8,13
28.07.2009 06:00:00;  8,41
21.08.2009 07:15:00;  5,05
30.09.2009 23:59:55;  4,30
19.10.2009 07:45:00;  2,44
20.11.2009 07:15:00;  2,09
20.12.2009 01:15:00;  1,94
23.01.2010 02:15:00;  1,66
14.02.2010 22:15:00;  1,39
20.03.2010 07:30:00;  1,11
04.04.2010 06:15:00;  1,11
20.05.2010 05:45:00;  4,82
02.06.2010 05:45:00;  9,89
23.07.2010 05:15:00;  6,03
22.08.2010 13:30:00;  6,53
25.09.2010 02:00:00;  5,56
13.10.2010 18:15:00;  3,44
30.11.2010 14:30:00;  2,40
26.12.2010 19:15:00;  2,09
07.01.2011 20:00:00;  1,94
06.02.2011 09:30:00;  1,52
07.03.2011 15:30:00; 0,576
20.04.2011 14:30:00;  1,26
05.05.2011 15:45:00;  1,68
30.06.2011 01:30:00;  11,5
10.07.2011 13:45:00;  6,01
31.08.2011 09:15:00;  4,38
11.09.2011 09:30:00;  2,44
19.10.2011 14:30:00;  3,79
03.11.2011 11:00:00;  2,48
10.12.2011 20:15:00;  1,83
22.01.2012 22:30:00;  1,36
18.02.2012 20:45:00;  1,51
10.03.2012 09:15:00;  2,31
19.04.2012 16:30:00;  2,48
17.05.2012 23:15:00;  5,77
15.06.2012 05:00:00;  13,8
09.07.2012 05:15:00;  8,70
20.08.2012 07:15:00;  5,52
11.09.2012 06:45:00;  5,77
27.10.2012 02:00:00;  3,35
27.11.2012 11:30:00;  4,38
20.12.2012 18:00:00;  2,97
29.01.2013 18:15:00;  2,61
03.02.2013 21:30:00;  2,27
03.03.2013 22:30:00;  2,27
02.04.2013 08:00:00;  1,95
26.05.2013 09:15:00;  8,70
01.06.2013 07:00:00;  11,8
31.07.2013 05:00:00;  8,13
17.08.2013 10:30:00;  4,60
09.09.2013 06:45:00;  3,16
09.10.2013 08:15:00;  3,75
