Messstelle:                ;Tumpen
31.12.1955 12:00:00;  4,80
26.01.1956 12:00:00;  3,00
29.02.1956 12:00:00;  2,60
08.03.1956 12:00:00;  2,60
12.04.1956 12:00:00;  3,00
03.05.1956 12:00:00;  7,00
12.06.1956 12:00:00;  33,0
04.07.1956 12:00:00;  44,0
06.08.1956 12:00:00;  38,4
25.09.1956 12:00:00;  18,4
31.10.1956 12:00:00;  8,00
30.11.1956 12:00:00;  5,80
31.12.1956 12:00:00;  4,00
28.01.1957 12:00:00;  3,40
17.02.1957 12:00:00;  3,00
09.03.1957 12:00:00;  4,60
16.04.1957 12:00:00;  5,20
11.05.1957 12:00:00;  9,70
01.06.1957 12:00:00;  20,6
31.07.1957 12:00:00;  32,2
31.08.1957 12:00:00;  25,0
21.09.1957 12:00:00;  13,1
31.10.1957 12:00:00;  7,90
25.11.1957 12:00:00;  5,65
31.12.1957 12:00:00;  3,40
23.01.1958 12:00:00;  2,80
23.02.1958 12:00:00;  2,30
22.03.1958 12:00:00;  2,55
14.04.1958 12:00:00;  3,55
01.05.1958 12:00:00;  7,00
29.06.1958 12:00:00;  30,2
07.07.1958 12:00:00;  31,1
26.08.1958 12:00:00;  24,6
30.09.1958 12:00:00;  18,9
31.10.1958 12:00:00;  10,7
30.11.1958 12:00:00;  6,84
26.12.1958 12:00:00;  5,08
31.01.1959 12:00:00;  3,80
21.02.1959 12:00:00;  3,56
21.03.1959 12:00:00;  4,12
02.04.1959 12:00:00;  5,08
04.05.1959 12:00:00;  9,78
03.06.1959 12:00:00;  18,3
03.07.1959 12:00:00;  36,6
07.08.1959 12:00:00;  26,9
22.09.1959 12:00:00;  16,4
31.10.1959 12:00:00;  6,48
16.11.1959 12:00:00;  4,76
31.12.1959 12:00:00;  4,12
14.01.1960 12:00:00;  3,32
28.02.1960 12:00:00;  3,08
07.03.1960 12:00:00;  3,08
03.04.1960 12:00:00;  5,76
02.05.1960 12:00:00;  6,12
30.06.1960 12:00:00;  43,4
26.07.1960 12:00:00;  31,1
17.08.1960 12:00:00;  28,5
28.09.1960 12:00:00;  20,9
20.10.1960 12:00:00;  12,8
30.11.1960 12:00:00;  7,20
21.12.1960 12:00:00;  4,76
28.01.1961 12:00:00;  4,12
10.02.1961 12:00:00;  4,12
29.03.1961 12:00:00;  4,44
01.04.1961 12:00:00;  4,76
02.05.1961 12:00:00;  7,17
01.06.1961 12:00:00;  28,8
19.07.1961 12:00:00;  30,6
25.08.1961 12:00:00;  25,7
28.09.1961 12:00:00;  18,0
23.10.1961 12:00:00;  5,87
30.11.1961 12:00:00;  4,06
17.12.1961 12:00:00;  3,16
31.01.1962 12:00:00;  2,85
17.02.1962 12:00:00;  2,55
15.03.1962 12:00:00;  2,65
16.04.1962 12:00:00;  2,75
04.05.1962 12:00:00;  6,83
09.06.1962 12:00:00;  15,6
08.07.1962 12:00:00;  24,9
24.08.1962 12:00:00;  40,3
30.09.1962 12:00:00;  9,90
29.10.1962 12:00:00;  5,59
29.11.1962 12:00:00;  4,06
16.12.1962 12:00:00;  3,20
31.01.1963 12:00:00;  2,70
28.02.1963 12:00:00;  2,70
03.03.1963 12:00:00;  1,80
05.04.1963 12:00:00;  3,06
06.05.1963 12:00:00;  8,19
17.06.1963 12:00:00;  23,4
31.07.1963 12:00:00;  42,7
10.08.1963 12:00:00;  29,9
27.09.1963 12:00:00;  16,2
31.10.1963 12:00:00;  6,48
30.11.1963 12:00:00;  5,87
31.12.1963 12:00:00;  4,29
31.01.1964 12:00:00;  4,29
22.02.1964 12:00:00;  2,70
08.03.1964 12:00:00;  2,70
01.04.1964 12:00:00;  3,60
03.05.1964 12:00:00;  7,80
04.06.1964 12:00:00;  33,2
12.07.1964 12:00:00;  27,2
20.08.1964 12:00:00;  24,3
30.09.1964 12:00:00;  13,5
14.10.1964 12:00:00;  5,03
17.11.1964 12:00:00;  5,87
31.12.1964 12:00:00;  4,75
31.01.1965 12:00:00;  3,83
12.02.1965 12:00:00;  2,88
01.03.1965 12:00:00;  2,88
01.04.1965 12:00:00;  2,88
02.05.1965 12:00:00;  4,52
02.06.1965 12:00:00;  24,3
11.07.1965 12:00:00;  34,4
31.08.1965 12:00:00;  21,4
30.09.1965 12:00:00;  18,0
24.10.1965 12:00:00;  7,51
30.11.1965 12:00:00;  5,03
30.12.1965 12:00:00;  3,60
06.01.1966 12:00:00;  2,95
27.02.1966 12:00:00;  3,20
16.03.1966 12:00:00;  2,75
03.04.1966 12:00:00;  3,20
12.05.1966 12:00:00;  12,3
01.06.1966 12:00:00;  20,0
01.07.1966 12:00:00;  29,9
29.08.1966 12:00:00;  31,7
30.09.1966 12:00:00;  20,0
31.10.1966 12:00:00;  9,08
30.11.1966 12:00:00;  5,59
26.12.1966 12:00:00;  4,52
31.01.1967 12:00:00;  3,60
11.02.1967 12:00:00;  2,95
31.03.1967 12:00:00;  3,20
01.04.1967 12:00:00;  3,20
05.05.1967 12:00:00;  7,17
17.06.1967 12:00:00;  18,7
11.07.1967 12:00:00;  48,6
29.08.1967 12:00:00;  37,5
26.09.1967 12:00:00;  13,0
31.10.1967 12:00:00;  8,65
30.11.1967 12:00:00;  5,26
11.12.1967 12:00:00;  3,49
31.01.1968 12:00:00;  4,21
19.02.1968 12:00:00;  3,04
12.03.1968 12:00:00;  2,20
14.04.1968 12:00:00;  5,26
02.05.1968 12:00:00;  9,92
12.06.1968 12:00:00;  20,0
23.07.1968 12:00:00;  24,3
26.08.1968 12:00:00;  25,8
28.09.1968 12:00:00;  14,5
29.10.1968 12:00:00;  5,26
30.11.1968 12:00:00;  5,31
23.12.1968 12:00:00;  3,42
31.01.1969 12:00:00;  3,24
28.02.1969 12:00:00;  3,06
02.03.1969 12:00:00;  2,70
01.04.1969 12:00:00;  3,24
11.05.1969 12:00:00;  9,36
08.06.1969 12:00:00;  12,8
14.07.1969 12:00:00;  21,3
31.08.1969 12:00:00;  17,4
22.09.1969 12:00:00;  16,2
31.10.1969 12:00:00;  7,14
28.11.1969 12:00:00;  4,75
31.12.1969 12:00:00;  4,52
31.01.1970 12:00:00;  4,29
28.02.1970 12:00:00;  3,83
17.03.1970 12:00:00;  3,60
06.04.1970 12:00:00;  3,83
04.05.1970 12:00:00;  6,15
01.06.1970 12:00:00;  14,5
05.07.1970 12:00:00;  32,3
27.08.1970 12:00:00;  42,5
30.09.1970 12:00:00;  19,4
25.10.1970 12:00:00;  8,58
24.11.1970 12:00:00;  6,48
31.12.1970 12:00:00;  4,06
06.01.1971 12:00:00;  3,83
27.02.1971 12:00:00;  3,80
13.03.1971 12:00:00;  1,80
05.04.1971 12:00:00;  4,44
01.05.1971 12:00:00;  8,46
01.06.1971 12:00:00;  18,9
03.07.1971 12:00:00;  28,5
25.08.1971 12:00:00;  37,2
18.09.1971 12:00:00;  9,78
31.10.1971 12:00:00;  8,04
21.11.1971 12:00:00;  5,76
26.12.1971 12:00:00;  5,08
31.01.1972 12:00:00;  4,12
29.02.1972 12:00:00;  3,80
07.03.1972 12:00:00;  3,32
01.04.1972 12:00:00;  5,08
01.05.1972 12:00:00;  7,62
03.06.1972 12:00:00;  20,9
03.07.1972 12:00:00;  39,4
24.08.1972 12:00:00;  24,6
30.09.1972 12:00:00;  9,30
22.10.1972 12:00:00;  7,20
30.11.1972 12:00:00;  6,12
31.12.1972 12:00:00;  5,08
31.01.1973 12:00:00;  4,44
28.02.1973 12:00:00;  1,96
04.03.1973 12:00:00;  2,12
10.04.1973 12:00:00;  3,56
01.05.1973 12:00:00;  9,30
10.06.1973 12:00:00;  24,3
29.07.1973 12:00:00;  25,8
01.08.1973 12:00:00;  27,3
29.09.1973 12:00:00;  16,3
31.10.1973 12:00:00;  10,0
30.11.1973 12:00:00;  5,45
16.12.1973 12:00:00;  4,47
28.01.1974 12:00:00;  4,12
27.02.1974 12:00:00;  2,84
05.03.1974 12:00:00;  3,08
29.04.1974 12:00:00;  7,20
03.05.1974 12:00:00;  7,20
14.06.1974 12:00:00;  20,9
23.07.1974 12:00:00;  44,8
13.08.1974 12:00:00;  40,4
28.09.1974 12:00:00;  20,1
31.10.1974 12:00:00;  8,04
30.11.1974 12:00:00;  6,12
14.12.1974 12:00:00;  4,12
29.01.1975 12:00:00;  3,08
22.02.1975 12:00:00;  2,60
19.03.1975 12:00:00;  2,28
05.04.1975 12:00:00;  3,08
06.05.1975 12:00:00;  12,3
06.06.1975 12:00:00;  20,9
03.07.1975 12:00:00;  47,7
31.08.1975 12:00:00;  45,5
27.09.1975 12:00:00;  24,9
31.10.1975 12:00:00;  10,3
24.11.1975 12:00:00;  7,20
30.12.1975 12:00:00;  4,12
27.01.1976 12:00:00;  2,83
24.02.1976 09:00:00;  3,02
11.03.1976 15:00:00;  2,96
11.04.1976 17:00:00;  4,35
01.05.1976 21:00:00;  5,61
06.06.1976 18:00:00;  17,4
27.07.1976 13:00:00;  36,7
23.08.1976 16:00:00;  22,4
27.09.1976 18:00:00;  17,8
30.10.1976 02:00:00;  13,6
30.11.1976 11:00:00;  7,30
24.12.1976 12:00:00;  4,98
12.01.1977 21:00:00;  3,75
03.02.1977 12:00:00;  3,23
01.03.1977 10:00:00;  3,21
17.04.1977 12:00:00;  5,25
11.05.1977 17:00:00;  15,0
06.06.1977 13:00:00;  35,6
29.07.1977 13:00:00;  41,8
25.08.1977 13:00:00;  33,8
28.09.1977 15:00:00;  15,3
31.10.1977 17:00:00;  8,77
29.11.1977 08:00:00;  5,05
30.12.1977 15:00:00;  4,41
28.01.1978 13:00:00;  2,94
05.02.1978 14:00:00;  2,69
21.03.1978 16:00:00;  2,14
18.04.1978 13:00:00;  4,51
16.05.1978 17:00:00;  7,51
29.06.1978 20:00:00;  24,3
10.07.1978 16:00:00;  33,8
31.08.1978 23:59:55;  27,9
30.09.1978 13:00:00;  16,8
31.10.1978 14:00:00;  9,00
30.11.1978 23:00:00;  4,78
26.12.1978 13:00:00;  4,09
11.01.1979 08:00:00;  4,13
28.02.1979 11:00:00;  3,10
03.03.1979 13:00:00;  3,25
03.04.1979 17:00:00;  4,18
04.05.1979 13:00:00;  4,61
20.06.1979 11:00:00;  37,2
09.07.1979 18:00:00;  33,5
30.08.1979 14:00:00;  24,2
26.09.1979 14:00:00;  24,4
31.10.1979 23:59:55;  11,8
25.11.1979 19:00:00;  8,53
23.12.1979 08:00:00;  5,76
31.01.1980 23:59:55;  5,11
26.02.1980 23:00:00;  4,43
18.03.1980 01:00:00;  4,38
12.04.1980 01:00:00;  4,80
02.05.1980 18:00:00;  7,39
03.06.1980 15:00:00;  18,3
04.07.1980 17:00:00;  31,0
26.08.1980 14:00:00;  43,4
30.09.1980 18:00:00;  21,6
16.10.1980 12:00:00;  11,7
30.11.1980 23:59:55;  7,08
18.12.1980 13:00:00;  4,95
30.01.1981 17:00:00;  4,17
09.02.1981 03:00:00;  3,43
08.03.1981 04:00:00;  2,99
27.04.1981 14:00:00;  10,2
07.05.1981 17:00:00;  8,56
24.06.1981 17:00:00;  28,8
29.07.1981 14:00:00;  38,7
29.08.1981 14:00:00;  30,4
20.09.1981 06:00:00;  21,4
30.10.1981 09:00:00;  11,2
26.11.1981 09:00:00;  7,40
31.12.1981 23:59:55;  5,59
30.01.1982 11:00:00;  2,36
03.02.1982 04:00:00;  2,91
15.03.1982 02:00:00;  2,69
01.04.1982 09:00:00;  4,25
02.05.1982 12:00:00;  5,35
16.06.1982 15:00:00;  40,0
30.07.1982 12:00:00;  47,9
26.08.1982 13:00:00;  34,7
25.09.1982 14:00:00;  24,0
31.10.1982 19:00:00;  10,2
27.11.1982 11:00:00;  6,06
23.12.1982 00:00:00;  4,44
31.01.1983 17:00:00;  4,36
08.02.1983 09:00:00;  3,31
04.03.1983 09:00:00;  3,00
07.04.1983 19:00:00;  5,86
06.05.1983 18:00:00;  12,6
19.06.1983 15:30:00;  29,6
02.07.1983 14:00:00;  58,3
08.08.1983 14:00:00;  30,4
21.09.1983 18:00:00;  19,7
31.10.1983 15:00:00;  7,91
15.11.1983 14:00:00;  4,69
31.12.1983 23:59:55;  4,51
31.01.1984 23:59:55;  3,52
24.02.1984 00:00:00;  3,33
11.03.1984 11:45:00;  2,83
08.04.1984 08:30:00;  3,29
02.05.1984 13:00:00;  7,41
01.06.1984 15:00:00;  19,4
29.07.1984 14:15:00;  32,1
20.08.1984 13:30:00;  29,7
30.09.1984 19:00:00;  17,5
29.10.1984 12:45:00;  9,44
28.11.1984 08:00:00;  5,68
31.12.1984 23:59:55;  4,12
31.01.1985 23:59:55;  3,73
12.02.1985 11:00:00;  3,02
23.03.1985 04:45:00;  2,48
01.04.1985 12:15:00;  3,59
04.05.1985 10:45:00;  4,94
19.06.1985 17:15:00;  24,3
03.07.1985 14:45:00;  45,1
31.08.1985 15:15:00;  37,1
17.09.1985 16:15:00;  22,3
29.10.1985 14:15:00;  7,29
26.11.1985 11:00:00;  4,94
24.12.1985 13:00:00;  3,57
31.01.1986 00:15:00;  3,25
01.02.1986 00:30:00;  3,21
01.03.1986 00:00:00;  3,21
01.04.1986 17:45:00;  4,57
01.05.1986 14:15:00;  12,9
08.06.1986 06:15:00;  20,8
14.07.1986 14:30:00;  34,8
31.08.1986 23:59:55;  29,5
29.09.1986 15:30:00;  15,4
28.10.1986 08:45:00;  7,72
30.11.1986 09:15:00;  4,43
13.12.1986 07:45:00;  4,01
14.01.1987 00:15:00;  3,54
28.02.1987 23:59:55;  3,40
04.03.1987 10:45:00;  2,67
02.04.1987 06:45:00;  3,52
08.05.1987 14:15:00;  12,0
06.06.1987 14:45:00;  26,6
29.07.1987 13:15:00;  47,2
08.08.1987 15:00:00;  38,4
30.09.1987 12:00:00;  20,1
31.10.1987 19:15:00;  10,6
27.11.1987 13:00:00;  5,56
31.12.1987 14:45:00;  4,41
28.01.1988 00:00:00;  4,14
29.02.1988 23:59:55;  3,30
24.03.1988 15:15:00;  1,85
01.04.1988 14:00:00;  2,54
05.05.1988 12:00:00;  13,3
03.06.1988 16:00:00;  26,0
17.07.1988 13:15:00;  52,4
27.08.1988 03:30:00;  29,1
26.09.1988 15:45:00;  14,9
31.10.1988 15:30:00;  9,64
22.11.1988 10:45:00;  5,63
17.12.1988 08:15:00;  4,42
14.01.1989 09:15:00;  4,01
27.02.1989 12:15:00;  3,79
01.03.1989 11:45:00;  4,01
23.04.1989 15:45:00;  5,55
02.05.1989 12:15:00;  5,60
08.06.1989 07:45:00;  21,6
19.07.1989 12:45:00;  48,9
31.08.1989 15:15:00;  24,2
30.09.1989 13:45:00;  14,3
31.10.1989 15:45:00;  7,50
25.11.1989 23:45:00;  5,04
31.12.1989 23:59:55;  4,05
27.01.1990 12:45:00;  3,41
05.02.1990 12:00:00;  3,22
05.03.1990 13:00:00;  3,77
13.04.1990 11:15:00;  4,94
01.05.1990 15:00:00;  9,47
01.06.1990 15:30:00;  21,4
27.07.1990 11:45:00;  47,8
22.08.1990 15:15:00;  27,7
29.09.1990 19:45:00;  10,1
28.10.1990 09:45:00;  7,91
29.11.1990 14:30:00;  5,03
19.12.1990 04:45:00;  3,84
16.01.1991 12:30:00;  3,55
01.02.1991 00:15:00;  3,50
02.03.1991 13:00:00;  3,64
01.04.1991 06:15:00;  4,62
01.05.1991 06:45:00;  5,58
01.06.1991 12:45:00;  21,6
29.07.1991 14:45:00;  40,5
31.08.1991 12:15:00;  31,0
29.09.1991 16:15:00;  17,4
31.10.1991 12:45:00;  7,38
30.11.1991 11:15:00;  4,83
11.12.1991 13:00:00;  3,17
29.01.1992 08:15:00;  2,69
19.02.1992 14:15:00;  2,04
24.03.1992 21:45:00;  2,69
01.04.1992 17:45:00;  2,80
01.05.1992 09:15:00;  11,4
09.06.1992 16:30:00;  37,7
14.07.1992 14:30:00;  47,4
17.08.1992 13:00:00;  36,8
26.09.1992 16:30:00;  16,7
19.10.1992 09:30:00;  7,91
19.11.1992 05:00:00;  6,20
26.12.1992 13:30:00;  4,63
31.01.1993 15:15:00;  3,50
24.02.1993 12:30:00;  2,58
07.03.1993 15:15:00;  2,58
01.04.1993 16:15:00;  4,10
02.05.1993 13:00:00;  17,1
05.06.1993 12:45:00;  36,8
14.07.1993 06:00:00;  34,6
31.08.1993 18:00:00;  27,8
06.09.1993 07:15:00;  17,5
31.10.1993 08:30:00;  13,9
30.11.1993 10:30:00;  6,87
28.12.1993 12:30:00;  4,70
29.01.1994 16:00:00;  2,80
14.02.1994 12:15:00;  2,61
05.03.1994 04:15:00;  3,30
14.04.1994 12:00:00;  5,40
07.05.1994 15:15:00;  14,2
14.06.1994 20:15:00;  27,9
31.07.1994 11:30:00;  51,5
19.08.1994 12:00:00;  29,4
22.09.1994 19:45:00;  17,0
27.10.1994 17:45:00;  8,01
30.11.1994 20:00:00;  5,78
24.12.1994 12:45:00;  4,27
31.01.1995 23:59:55;  3,75
28.02.1995 12:15:00;  3,36
31.03.1995 12:45:00;  3,02
01.04.1995 22:15:00;  3,34
22.05.1995 13:15:00;  12,0
04.06.1995 16:15:00;  38,1
30.07.1995 11:15:00;  60,9
31.08.1995 23:00:00;  25,2
30.09.1995 13:30:00;  15,4
30.10.1995 19:30:00;  9,12
30.11.1995 23:59:55;  5,37
13.12.1995 05:30:00;  4,71
25.01.1996 12:15:00;  3,74
14.02.1996 00:00:00;  3,28
18.03.1996 11:45:00;  2,98
04.04.1996 07:15:00;  3,17
05.05.1996 19:00:00;  8,51
28.06.1996 07:15:00;  22,2
02.07.1996 14:00:00;  31,4
18.08.1996 13:00:00;  30,4
30.09.1996 16:00:00;  13,5
14.10.1996 11:45:00;  11,9
29.11.1996 17:30:00;  8,88
27.12.1996 05:45:00;  5,20
31.01.1997 23:59:55;  4,52
15.02.1997 10:00:00;  4,08
01.03.1997 10:15:00;  4,33
08.04.1997 17:30:00;  4,97
01.05.1997 21:30:00;  7,27
03.06.1997 14:15:00;  29,2
08.07.1997 13:30:00;  41,1
23.08.1997 12:15:00;  42,4
29.09.1997 17:00:00;  17,4
29.10.1997 12:00:00;  6,96
27.11.1997 14:00:00;  6,08
31.12.1997 00:00:00;  5,05
18.01.1998 14:15:00;  4,14
13.02.1998 13:15:00;  3,92
11.03.1998 11:15:00;  3,41
20.04.1998 15:15:00;  4,82
03.05.1998 17:45:00;  10,5
19.06.1998 15:45:00;  31,1
10.07.1998 12:15:00;  39,1
31.08.1998 15:30:00;  22,1
30.09.1998 18:45:00;  17,1
30.10.1998 10:15:00;  14,3
29.11.1998 12:00:00;  8,10
30.12.1998 12:30:00;  4,99
30.01.1999 20:00:00;  3,97
08.02.1999 22:00:00;  3,89
10.03.1999 07:00:00;  3,82
20.04.1999 13:30:00;  5,80
02.05.1999 13:45:00;  21,5
24.06.1999 15:15:00;  42,9
25.07.1999 13:30:00;  65,7
31.08.1999 13:30:00;  49,4
29.09.1999 12:00:00;  27,1
22.10.1999 16:45:00;  13,0
30.11.1999 23:59:55;  7,45
31.12.1999 23:59:55;  5,37
31.01.2000 23:59:55;  4,49
22.02.2000 13:15:00;  3,35
06.03.2000 12:15:00;  3,10
02.04.2000 16:45:00;  4,85
23.05.2000 15:30:00;  29,3
01.06.2000 16:00:00;  29,8
20.07.2000 15:45:00;  29,9
30.08.2000 13:30:00;  33,3
18.09.2000 17:00:00;  19,2
30.10.2000 10:30:00;  18,1
30.11.2000 23:59:55;  12,3
31.12.2000 23:59:55;  6,99
21.01.2001 12:45:00;  4,94
23.02.2001 21:00:00;  3,76
08.03.2001 10:45:00;  4,05
23.04.2001 12:15:00;  5,68
01.05.2001 11:45:00;  17,8
07.06.2001 15:15:00;  28,5
22.07.2001 13:30:00;  53,1
29.08.2001 12:45:00;  42,7
20.09.2001 11:15:00;  17,6
31.10.2001 16:30:00;  11,0
22.11.2001 11:15:00;  6,22
31.12.2001 23:59:55;  4,16
27.01.2002 07:12:00;  3,89
22.02.2002 10:04:25;  4,12
05.03.2002 04:45:00;  4,06
10.04.2002 15:00:00;  7,02
01.05.2002 15:45:00;  15,6
11.06.2002 15:00:00;  43,0
26.07.2002 14:45:00;  40,0
31.08.2002 12:15:00;  37,6
29.09.2002 12:00:00;  13,8
29.10.2002 06:22:55;  10,1
14.11.2002 15:30:00;  8,80
26.12.2002 16:30:00;  5,71
31.01.2003 23:59:55;  3,94
28.02.2003 22:45:00;  3,39
17.03.2003 16:30:00;  3,13
08.04.2003 12:26:35;  3,55
17.05.2003 16:15:00;  18,9
30.06.2003 11:45:00;  61,3
06.07.2003 12:45:00;  32,4
27.08.2003 13:00:00;  30,2
30.09.2003 18:00:00;  10,9
28.10.2003 09:45:00;  8,01
30.11.2003 09:30:00;  8,25
31.12.2003 23:59:55;  5,70
31.01.2004 23:59:55;  4,38
29.02.2004 23:59:55;  3,72
12.03.2004 06:15:00;  3,08
14.04.2004 19:15:00;  5,59
11.05.2004 15:15:00;  10,4
04.06.2004 19:00:00;  24,3
14.07.2004 15:15:00;  41,8
28.08.2004 14:45:00;  26,5
30.09.2004 16:15:00;  16,8
17.10.2004 13:00:00;  11,2
28.11.2004 15:25:10;  8,45
31.12.2004 23:59:55;  5,69
31.01.2005 23:59:55;  4,57
28.02.2005 23:59:55;  3,68
15.03.2005 10:30:45;  3,35
12.04.2005 16:51:50;  5,81
11.05.2005 18:30:00;  10,6
11.06.2005 14:45:00;  21,2
24.07.2005 12:00:00;  34,1
10.08.2005 17:15:00;  23,0
30.09.2005 13:53:45;  14,5
31.10.2005 16:00:00;  9,54
20.11.2005 10:45:00;  6,12
31.12.2005 23:59:55;  5,35
31.01.2006 23:59:55;  4,89
28.02.2006 23:59:55;  4,80
02.03.2006 09:00:00;  4,80
07.04.2006 08:30:00;  5,72
01.05.2006 19:45:00;  11,8
07.06.2006 12:15:00;  17,7
18.07.2006 12:00:00;  38,6
31.08.2006 14:45:00;  20,2
29.09.2006 16:45:00;  17,3
31.10.2006 19:15:00;  9,81
30.11.2006 11:45:55;  5,34
31.12.2006 23:59:55;  4,16
25.01.2007 14:45:00;  3,21
25.02.2007 10:15:55;  3,28
22.03.2007 09:06:20;  2,86
02.04.2007 17:45:00;  3,55
07.05.2007 16:00:00;  11,1
03.06.2007 17:30:00;  24,3
13.07.2007 12:28:10;  26,5
24.08.2007 14:15:00;  23,8
30.09.2007 08:45:00;  16,3
31.10.2007 18:30:00;  8,77
27.11.2007 09:00:00;  5,71
29.12.2007 11:23:35;  4,01
31.01.2008 23:15:00;  3,37
09.02.2008 10:45:00;  2,79
06.03.2008 12:30:00;  2,77
08.04.2008 11:02:00;  3,22
02.05.2008 21:00:00;  10,7
16.06.2008 21:45:00;  28,5
24.07.2008 13:15:00;  36,1
25.08.2008 15:00:00;  30,4
30.09.2008 17:15:00;  10,6
27.10.2008 15:45:00;  7,90
30.11.2008 12:45:00;  5,24
31.12.2008 23:59:55;  4,16
31.01.2009 23:59:55;  3,64
28.02.2009 19:09:25;  3,19
07.03.2009 19:45:00;  3,03
01.04.2009 07:45:00;  4,28
01.05.2009 14:30:00;  11,2
03.06.2009 15:45:00;  36,4
12.07.2009 15:15:00;  39,8
31.08.2009 12:30:00;  29,8
29.09.2009 14:45:00;  14,3
31.10.2009 14:15:00;  7,50
12.11.2009 09:00:00;  5,84
14.12.2009 07:13:05;  4,53
31.01.2010 23:59:55;  3,87
28.02.2010 23:59:55;  3,24
19.03.2010 08:15:00;  2,88
02.04.2010 04:45:00;  3,19
20.05.2010 22:00:00;  14,4
02.06.2010 21:00:00;  29,6
31.07.2010 15:15:00;  29,2
01.08.2010 13:30:00;  30,8
30.09.2010 14:30:00;  17,9
31.10.2010 13:15:00;  10,3
30.11.2010 08:45:00;  6,93
27.12.2010 14:30:00;  4,85
23.01.2011 14:45:00;  4,25
24.02.2011 13:45:00;  3,40
08.03.2011 12:15:00;  3,38
01.04.2011 17:00:00;  6,36
05.05.2011 16:00:00;  10,5
07.06.2011 14:45:00;  44,2
27.07.2011 07:00:00;  28,1
31.08.2011 14:00:00;  28,1
30.09.2011 16:45:00;  21,2
31.10.2011 17:00:00;  9,71
25.11.2011 13:00:00;  5,77
20.12.2011 10:45:00;  3,86
06.01.2012 19:15:00;  2,84
23.02.2012 09:45:00;  3,10
01.03.2012 09:30:00;  3,34
24.04.2012 23:15:00;  5,44
18.05.2012 17:30:00;  16,8
15.06.2012 14:15:00;  45,9
23.07.2012 16:00:00;  35,8
28.08.2012 14:15:00;  29,4
22.09.2012 17:15:00;  18,9
30.10.2012 05:15:00;  13,4
30.11.2012 23:59:55;  8,40
31.12.2012 07:00:00;  5,05
26.01.2013 13:00:00;  3,82
10.02.2013 12:30:00;  3,10
16.03.2013 11:45:00;  3,28
01.04.2013 10:00:00;  3,91
27.05.2013 07:15:00;  15,2
01.06.2013 07:30:00;  18,1
01.07.2013 13:45:00;  36,9
24.08.2013 13:00:00;  31,1
25.09.2013 13:30:00;  17,0
