Messstelle:                ;Hofstetten (Bad)
12.08.1959 12:00:00;  3,90
30.09.1959 12:00:00;  4,10
16.10.1959 12:00:00;  2,76
05.11.1959 12:00:00;  1,86
05.12.1959 12:00:00;  2,25
25.01.1960 12:00:00;  5,14
20.02.1960 12:00:00;  5,14
16.03.1960 12:00:00;  5,52
23.04.1960 12:00:00;  4,18
22.05.1960 12:00:00;  3,94
29.06.1960 12:00:00;  2,60
12.07.1960 12:00:00;  2,60
10.08.1960 12:00:00;  3,13
20.09.1960 12:00:00;  2,94
13.10.1960 12:00:00;  3,32
20.11.1960 12:00:00;  2,60
27.12.1960 12:00:00;  1,88
14.01.1961 12:00:00;  1,64
07.02.1961 12:00:00;  2,75
03.03.1961 12:00:00;  4,10
27.04.1961 12:00:00;  2,79
01.05.1961 12:00:00;  4,10
30.06.1961 12:00:00;  2,79
27.07.1961 12:00:00;  1,65
04.08.1961 12:00:00;  1,44
29.09.1961 12:00:00;  1,23
28.10.1961 12:00:00; 0,700
03.11.1961 12:00:00;  1,23
03.12.1961 12:00:00;  1,44
04.01.1962 12:00:00;  2,04
05.02.1962 12:00:00;  3,32
26.03.1962 12:00:00;  3,51
28.04.1962 12:00:00;  3,71
09.05.1962 12:00:00;  4,82
28.06.1962 12:00:00;  2,46
12.07.1962 12:00:00;  2,30
31.08.1962 12:00:00;  1,78
17.09.1962 12:00:00;  1,23
23.10.1962 12:00:00;  1,12
10.11.1962 12:00:00;  2,17
08.12.1962 12:00:00;  1,54
31.01.1963 12:00:00;  2,30
23.02.1963 12:00:00;  1,65
02.03.1963 12:00:00;  1,65
22.04.1963 12:00:00;  4,82
31.05.1963 12:00:00;  3,32
07.06.1963 12:00:00;  2,63
10.07.1963 12:00:00;  1,44
10.08.1963 12:00:00;  1,12
08.09.1963 12:00:00;  1,78
31.10.1963 12:00:00;  1,44
09.11.1963 12:00:00;  1,78
10.12.1963 12:00:00;  1,78
30.01.1964 12:00:00;  1,65
24.02.1964 12:00:00;  1,78
17.03.1964 12:00:00;  1,78
22.04.1964 12:00:00;  3,90
20.05.1964 12:00:00;  4,58
30.06.1964 12:00:00;  2,63
31.07.1964 12:00:00;  2,17
28.08.1964 12:00:00;  2,04
05.09.1964 12:00:00;  1,65
13.10.1964 12:00:00;  1,91
14.11.1964 12:00:00;  2,96
06.12.1964 12:00:00;  3,12
29.01.1965 12:00:00;  3,51
26.02.1965 12:00:00;  2,63
01.03.1965 12:00:00;  3,32
08.04.1965 12:00:00;  11,8
28.05.1965 12:00:00;  9,51
28.06.1965 12:00:00;  4,58
21.07.1965 12:00:00;  3,32
24.08.1965 12:00:00;  2,79
30.09.1965 12:00:00;  2,63
23.10.1965 12:00:00;  2,17
17.11.1965 12:00:00;  1,65
04.12.1965 12:00:00;  2,30
16.01.1966 12:00:00;  2,96
24.02.1966 12:00:00;  4,58
17.03.1966 12:00:00;  5,06
29.04.1966 12:00:00;  5,06
23.05.1966 12:00:00;  3,51
19.06.1966 12:00:00;  2,79
22.07.1966 12:00:00;  3,71
15.08.1966 12:00:00;  4,58
30.09.1966 12:00:00;  3,71
29.10.1966 12:00:00;  2,46
03.11.1966 12:00:00;  2,79
01.12.1966 12:00:00;  3,90
26.01.1967 12:00:00;  3,71
19.02.1967 12:00:00;  5,14
16.03.1967 12:00:00;  6,33
02.04.1967 12:00:00;  7,62
30.05.1967 12:00:00;  5,95
30.06.1967 12:00:00;  4,70
31.07.1967 12:00:00;  1,86
15.08.1967 12:00:00;  1,36
08.09.1967 12:00:00;  1,36
31.10.1967 12:00:00;  1,36
30.11.1967 12:00:00;  1,28
21.12.1967 12:00:00;  1,20
13.01.1968 12:00:00;  2,24
29.02.1968 12:00:00;  1,33
05.03.1968 12:00:00; 0,970
28.04.1968 12:00:00;  3,32
31.05.1968 12:00:00;  1,54
30.06.1968 12:00:00; 0,700
02.07.1968 12:00:00; 0,600
19.08.1968 12:00:00;  1,80
24.09.1968 12:00:00;  2,13
31.10.1968 12:00:00;  3,48
22.11.1968 12:00:00;  3,12
12.12.1968 12:00:00;  2,22
13.01.1969 12:00:00;  2,76
18.02.1969 12:00:00;  3,80
21.03.1969 12:00:00;  5,00
16.04.1969 12:00:00;  6,86
31.05.1969 12:00:00;  3,60
03.06.1969 12:00:00;  2,24
30.07.1969 12:00:00;  3,20
11.08.1969 12:00:00;  2,66
06.09.1969 12:00:00;  2,52
20.10.1969 12:00:00;  2,10
03.11.1969 12:00:00;  1,70
11.12.1969 12:00:00;  2,24
05.01.1970 12:00:00;  3,00
02.02.1970 12:00:00;  2,80
07.03.1970 12:00:00;  5,31
28.04.1970 12:00:00;  8,88
27.05.1970 12:00:00;  5,93
28.06.1970 12:00:00;  4,28
14.07.1970 12:00:00;  2,80
31.08.1970 12:00:00;  4,28
28.09.1970 12:00:00;  2,24
19.10.1970 12:00:00;  3,60
05.11.1970 12:00:00;  4,52
27.12.1970 12:00:00;  4,28
21.01.1971 12:00:00;  3,60
28.02.1971 12:00:00;  4,28
05.03.1971 12:00:00;  3,20
30.04.1971 12:00:00;  5,00
29.05.1971 12:00:00;  2,80
30.06.1971 12:00:00;  3,80
29.07.1971 12:00:00;  1,70
24.08.1971 12:00:00;  2,52
27.09.1971 12:00:00;  1,70
08.10.1971 12:00:00;  1,36
11.11.1971 12:00:00;  1,71
20.12.1971 12:00:00;  2,60
31.01.1972 12:00:00;  1,71
04.02.1972 12:00:00;  1,71
29.03.1972 12:00:00;  2,80
01.04.1972 12:00:00;  3,20
31.05.1972 12:00:00;  3,80
29.06.1972 12:00:00;  2,15
04.07.1972 12:00:00;  2,04
15.08.1972 12:00:00;  3,40
22.09.1972 12:00:00;  3,00
03.10.1972 12:00:00;  2,66
09.11.1972 12:00:00;  2,66
22.12.1972 12:00:00;  2,04
26.01.1973 12:00:00;  1,52
19.02.1973 12:00:00;  1,65
02.03.1973 12:00:00;  1,97
16.04.1973 12:00:00;  5,65
31.05.1973 12:00:00;  4,40
20.06.1973 12:00:00;  3,18
21.07.1973 12:00:00;  2,07
28.08.1973 12:00:00;  1,18
10.09.1973 12:00:00;  1,08
08.10.1973 12:00:00;  1,02
05.11.1973 12:00:00;  1,93
03.12.1973 12:00:00;  3,44
02.01.1974 12:00:00;  3,80
26.02.1974 12:00:00;  3,62
12.03.1974 12:00:00;  2,90
29.04.1974 12:00:00;  2,45
31.05.1974 12:00:00;  2,64
01.06.1974 12:00:00;  3,14
17.07.1974 12:00:00;  3,76
31.08.1974 12:00:00;  2,21
16.09.1974 12:00:00;  1,47
07.10.1974 12:00:00;  1,83
26.11.1974 12:00:00;  3,31
01.12.1974 12:00:00;  5,13
24.01.1975 12:00:00;  4,46
24.02.1975 12:00:00;  3,14
03.03.1975 12:00:00;  3,14
28.04.1975 12:00:00;  3,99
31.05.1975 12:00:00;  2,97
07.06.1975 12:00:00;  2,97
31.07.1975 12:00:00;  5,77
22.08.1975 12:00:00;  3,51
29.09.1975 12:00:00;  2,15
27.10.1975 12:00:00;  1,88
11.11.1975 12:00:00;  1,52
19.12.1975 12:00:00;  1,08
01.01.1976 00:00:00; Lücke
01.04.1976 00:00:00; Lücke
24.04.1976 12:00:00;  3,84
30.04.1976 18:00:00;  5,44
21.05.1976 09:00:00;  3,06
30.06.1976 06:00:00;  2,61
19.07.1976 07:00:00;  1,37
04.08.1976 07:00:00;  2,43
16.09.1976 11:00:00;  2,59
14.10.1976 07:00:00;  3,07
12.11.1976 05:00:00;  3,16
28.12.1976 07:00:00;  4,96
24.01.1977 07:00:00;  3,27
04.02.1977 09:00:00;  6,64
27.03.1977 17:00:00;  5,40
01.04.1977 08:00:00;  5,26
29.05.1977 17:00:00;  3,72
24.06.1977 16:00:00;  1,78
08.07.1977 06:00:00;  2,70
29.08.1977 09:00:00;  2,59
30.09.1977 07:00:00;  2,38
25.10.1977 12:00:00;  2,31
30.11.1977 07:00:00;  2,03
05.12.1977 03:00:00;  2,06
28.01.1978 10:00:00;  2,87
19.02.1978 07:00:00;  2,48
21.03.1978 01:00:00;  3,53
13.04.1978 07:00:00;  3,57
29.05.1978 08:00:00;  3,18
14.06.1978 06:00:00;  2,11
30.07.1978 10:00:00;  1,70
09.08.1978 11:00:00;  1,81
21.09.1978 08:00:00;  1,52
19.10.1978 08:00:00;  2,02
22.11.1978 16:00:00;  1,82
08.12.1978 14:00:00;  1,65
08.01.1979 00:01:00;  2,37
02.02.1979 05:00:00;  2,21
03.03.1979 09:00:00;  3,20
26.04.1979 05:00:00;  7,15
31.05.1979 16:00:00;  3,30
30.06.1979 01:00:00;  2,75
02.07.1979 00:00:00;  2,62
23.08.1979 23:00:00;  2,61
03.09.1979 18:00:00;  2,59
29.10.1979 20:00:00;  2,51
02.11.1979 15:00:00;  2,81
31.12.1979 17:00:00;  4,84
24.01.1980 08:00:00;  3,94
29.02.1980 00:00:00;  4,54
25.03.1980 17:00:00;  4,27
01.04.1980 12:00:00;  6,21
30.05.1980 15:00:00;  6,79
24.06.1980 07:00:00;  3,87
20.07.1980 23:00:00;  3,85
19.08.1980 18:00:00;  2,94
30.09.1980 04:00:00;  2,53
08.10.1980 05:00:00;  2,44
03.11.1980 03:00:00;  2,69
01.12.1980 04:00:00;  3,47
30.01.1981 00:00:05;  3,78
01.02.1981 00:00:00;  3,78
02.03.1981 20:00:00;  4,39
25.04.1981 23:00:00;  3,43
20.05.1981 09:00:00;  2,70
18.06.1981 04:00:00;  2,30
12.07.1981 10:00:00;  1,63
07.08.1981 18:00:00;  3,15
29.09.1981 06:00:00;  3,72
12.10.1981 11:00:00;  3,49
05.11.1981 11:00:00;  4,80
28.12.1981 00:00:00;  3,47
25.01.1982 01:00:00;  4,12
28.02.1982 12:00:00;  4,07
01.03.1982 02:00:00;  4,39
19.04.1982 09:00:00;  4,47
28.05.1982 19:00:00;  4,73
26.06.1982 00:00:00;  2,47
20.07.1982 17:00:00;  2,03
31.08.1982 23:00:00;  2,10
17.09.1982 14:00:00;  1,66
29.10.1982 20:00:00;  2,05
27.11.1982 09:00:00;  1,74
06.12.1982 14:00:00;  2,23
03.01.1983 07:00:00;  4,17
26.02.1983 20:00:00;  3,08
28.03.1983 07:00:00;  4,00
30.04.1983 23:00:00;  3,25
31.05.1983 19:00:00;  2,06
27.06.1983 11:00:00;  1,44
23.07.1983 23:00:00;  1,07
02.08.1983 01:00:00;  1,20
03.09.1983 01:00:00;  1,15
02.10.1983 23:00:00;  1,11
23.11.1983 10:00:00; 0,693
03.12.1983 04:00:00;  1,03
12.01.1984 12:00:00; 0,957
02.02.1984 20:00:00;  1,33
06.03.1984 04:00:00;  2,60
30.04.1984 02:00:00;  3,44
31.05.1984 17:00:00;  3,24
27.06.1984 13:00:00;  1,46
25.07.1984 09:00:00; 0,612
31.08.1984 23:00:00;  2,16
06.09.1984 02:00:00;  1,67
30.10.1984 13:00:00;  1,61
13.11.1984 18:00:00;  1,33
07.12.1984 16:00:00;  1,44
01.01.1985 15:00:00;  1,79
22.02.1985 09:00:00;  2,51
01.03.1985 00:00:00;  3,40
29.04.1985 11:45:00;  5,58
28.05.1985 20:45:00;  2,94
05.06.1985 18:45:00;  2,61
26.07.1985 17:00:00;  1,64
04.08.1985 02:00:00;  1,94
29.09.1985 19:45:00;  2,65
31.10.1985 11:15:00;  1,71
01.11.1985 20:00:00;  1,87
01.12.1985 00:00:00;  2,44
08.01.1986 09:15:00;  4,19
28.02.1986 23:59:55;  2,30
03.03.1986 09:00:00;  2,13
14.04.1986 11:45:00;  5,22
26.05.1986 07:00:00;  2,13
29.06.1986 14:15:00;  2,77
29.07.1986 00:30:00;  1,39
14.08.1986 20:00:00; 0,726
21.09.1986 14:30:00;  1,03
17.10.1986 17:00:00; 0,979
14.11.1986 08:30:00;  1,34
16.12.1986 14:00:00;  1,21
26.01.1987 09:00:00;  2,67
06.02.1987 23:45:00;  2,47
21.03.1987 15:00:00;  3,77
29.04.1987 19:00:00;  10,1
04.05.1987 20:30:00;  8,32
30.06.1987 23:59:55;  5,29
19.07.1987 08:15:00;  3,10
28.08.1987 00:45:00;  2,29
21.09.1987 03:15:00;  1,57
16.10.1987 15:30:00;  1,16
14.11.1987 02:00:00;  1,26
14.12.1987 12:15:00;  2,29
21.01.1988 01:45:00;  2,13
15.02.1988 11:30:00;  2,13
03.03.1988 08:15:00;  2,87
30.04.1988 16:00:00;  7,98
17.05.1988 17:45:00;  2,87
29.06.1988 15:00:00;  2,47
23.07.1988 20:15:00;  1,26
19.08.1988 22:30:00;  1,26
01.09.1988 22:30:00;  1,70
18.10.1988 22:45:00;  1,46
02.11.1988 07:45:00;  1,97
10.12.1988 14:15:00;  4,75
31.01.1989 23:59:55;  3,99
12.02.1989 21:30:00;  3,32
02.03.1989 22:15:00;  5,28
14.04.1989 14:30:00;  4,00
29.05.1989 16:15:00;  3,32
12.06.1989 01:00:00;  3,54
23.07.1989 16:00:00;  2,90
08.08.1989 10:30:00;  2,21
27.09.1989 12:45:00;  3,55
20.10.1989 08:15:00;  2,50
17.11.1989 23:45:00;  2,50
12.12.1989 07:45:00;  2,11
02.01.1990 13:15:00;  2,11
12.02.1990 07:15:00;  1,83
27.03.1990 23:45:00;  3,32
21.04.1990 12:45:00;  4,02
31.05.1990 23:59:55;  1,79
01.06.1990 06:30:00;  1,64
01.07.1990 03:00:00;  1,64
03.08.1990 15:30:00;  1,08
07.09.1990 16:45:00;  1,26
24.10.1990 22:15:00;  1,70
09.11.1990 21:15:00;  2,47
01.12.1990 11:15:00;  3,77
28.01.1991 08:30:00;  2,47
19.02.1991 03:45:00;  1,46
04.03.1991 19:45:00;  2,67
16.04.1991 18:00:00;  1,83
15.05.1991 04:30:00;  3,11
27.06.1991 18:00:00;  2,30
13.07.1991 07:00:00;  1,39
31.08.1991 23:59:55;  4,24
30.09.1991 04:15:00;  1,79
15.10.1991 18:00:00;  1,51
14.11.1991 06:00:00;  1,64
06.12.1991 18:15:00;  1,79
28.01.1992 09:15:00;  2,74
01.02.1992 00:00:00;  2,74
11.03.1992 07:30:00;  4,42
18.04.1992 00:15:00;  4,26
31.05.1992 23:59:55;  2,30
03.06.1992 00:15:00;  1,59
30.07.1992 16:30:00; 0,895
02.08.1992 02:45:00; 0,895
28.09.1992 20:00:00; 0,966
16.10.1992 12:00:00;  1,21
02.11.1992 14:15:00;  1,74
30.12.1992 01:00:00;  2,74
02.01.1993 02:45:00;  3,25
28.02.1993 23:59:55;  2,99
08.03.1993 15:30:00;  2,43
30.04.1993 23:59:55;  4,79
25.05.1993 10:45:00;  1,12
20.06.1993 01:45:00;  1,51
07.07.1993 17:45:00;  1,62
16.08.1993 00:00:00;  1,40
21.09.1993 14:00:00;  1,74
15.10.1993 16:15:00;  1,62
12.11.1993 14:45:00;  2,14
03.12.1993 00:00:00;  2,14
24.01.1994 00:00:00;  3,25
23.02.1994 11:45:00;  2,00
01.03.1994 21:00:00;  4,42
11.04.1994 05:00:00;  5,56
19.05.1994 10:30:00;  4,02
29.06.1994 00:45:00;  3,11
18.07.1994 07:30:00; 0,990
22.08.1994 01:15:00;  1,07
24.09.1994 07:00:00;  1,27
19.10.1994 19:15:00; 0,906
04.11.1994 04:00:00;  1,27
04.12.1994 14:00:00;  2,70
22.01.1995 03:15:00;  2,14
13.02.1995 04:30:00;  4,86
16.03.1995 07:45:00;  4,42
30.04.1995 04:45:00;  6,06
29.05.1995 11:00:00;  3,08
04.06.1995 19:15:00;  2,28
28.07.1995 00:15:00;  1,86
26.08.1995 13:15:00;  1,51
14.09.1995 09:45:00;  1,86
27.10.1995 16:00:00; 0,966
01.11.1995 02:00:00;  1,40
11.12.1995 19:30:00;  2,14
28.01.1996 16:45:00;  1,74
04.02.1996 19:45:00;  1,40
07.03.1996 14:45:00;  1,83
05.04.1996 13:15:00;  8,32
07.05.1996 17:15:00;  7,02
19.06.1996 02:00:00;  2,43
31.07.1996 23:59:55;  2,49
30.08.1996 20:00:00;  1,64
01.09.1996 00:00:00;  1,64
19.10.1996 02:45:00;  4,51
24.11.1996 13:30:00;  4,02
16.12.1996 12:00:00;  3,32
24.01.1997 22:25:15;  1,55
03.02.1997 05:27:10;  1,30
14.03.1997 03:35:50;  3,85
25.04.1997 12:24:35;  9,69
31.05.1997 23:59:55;  4,06
13.06.1997 22:43:10;  2,30
04.07.1997 18:22:55;  2,04
08.08.1997 14:49:35;  3,69
26.09.1997 23:52:45;  2,45
25.10.1997 13:36:00;  1,69
13.11.1997 16:41:50;  1,85
31.12.1997 12:49:25;  4,18
27.01.1998 13:07:55;  2,07
05.02.1998 04:03:35;  2,15
06.03.1998 23:02:25;  3,35
30.04.1998 23:59:55;  4,47
16.05.1998 12:53:10;  2,63
10.06.1998 21:25:45;  1,68
01.07.1998 00:00:00;  2,68
28.08.1998 01:37:40;  1,58
03.09.1998 21:25:15;  1,79
12.10.1998 13:36:00;  3,19
09.11.1998 10:47:05;  4,44
09.12.1998 15:05:00;  3,35
31.01.1999 23:59:55;  3,15
01.02.1999 17:56:25;  2,83
22.03.1999 20:02:20;  6,09
22.04.1999 08:44:05;  5,05
31.05.1999 23:59:55;  3,69
14.06.1999 11:55:25;  2,17
06.07.1999 19:19:30;  2,04
27.08.1999 05:59:35;  2,32
30.09.1999 21:13:55;  2,33
31.10.1999 17:56:40;  1,47
02.11.1999 15:57:30;  1,73
26.12.1999 18:04:25;  2,84
17.01.2000 12:11:40;  2,94
24.02.2000 11:52:40;  6,54
07.03.2000 04:58:10;  8,03
26.04.2000 16:08:05;  4,38
28.05.2000 02:26:05;  1,57
20.06.2000 19:19:30;  1,39
02.07.2000 07:51:15;  1,89
30.08.2000 23:57:15;  1,57
20.09.2000 15:12:15;  1,30
02.10.2000 16:59:55; 0,981
28.11.2000 02:37:35;  1,42
10.12.2000 08:14:55;  1,40
25.01.2001 16:43:55;  2,13
03.02.2001 04:53:05;  2,52
01.03.2001 22:46:45;  3,51
08.04.2001 05:42:55;  4,15
31.05.2001 12:44:05;  2,35
05.06.2001 18:32:40;  1,76
16.07.2001 19:33:50;  1,12
17.08.2001 12:05:45;  1,29
02.09.2001 14:25:30;  1,45
30.10.2001 15:53:20;  1,71
05.11.2001 19:07:15;  1,11
24.12.2001 20:53:40;  3,36
20.01.2002 04:07:40;  2,74
19.02.2002 23:17:10;  3,97
14.03.2002 04:12:10;  3,08
22.04.2002 22:22:15;  4,34
31.05.2002 23:59:55;  2,97
22.06.2002 15:43:10;  1,79
27.07.2002 14:23:45;  1,71
06.08.2002 13:14:50;  1,65
18.09.2002 16:55:20;  2,19
11.10.2002 22:53:05;  4,61
30.11.2002 23:59:55;  5,13
21.12.2002 09:48:30;  3,55
21.01.2003 12:39:00;  5,83
24.02.2003 14:03:45;  3,57
01.03.2003 17:29:35;  3,96
30.04.2003 23:59:55;  3,72
31.05.2003 23:59:55;  2,08
27.06.2003 00:24:30;  1,47
15.07.2003 02:00:00;  1,36
25.08.2003 07:00:25;  1,00
05.09.2003 03:02:35;  1,09
03.10.2003 17:01:45;  1,44
27.11.2003 19:06:45;  1,36
02.12.2003 21:16:05;  1,13
31.01.2004 08:32:25;  2,93
01.02.2004 00:00:00;  3,01
06.03.2004 10:11:10;  3,63
23.04.2004 18:40:00;  5,60
13.05.2004 04:15:00;  3,50
17.06.2004 16:15:00;  4,16
31.07.2004 14:05:00;  2,11
17.08.2004 17:45:00;  1,39
06.09.2004 17:40:00;  1,30
25.10.2004 17:00:00;  1,74
07.11.2004 07:30:00;  1,74
21.12.2004 02:35:00;  1,36
01.01.2005 09:35:05;  2,14
07.02.2005 02:00:00;  2,23
07.03.2005 10:30:00;  2,14
17.04.2005 23:10:00;  5,32
17.05.2005 20:25:00;  4,26
28.06.2005 13:45:00;  2,26
01.07.2005 00:00:00;  2,26
13.08.2005 21:50:00;  1,93
16.09.2005 22:05:00;  2,67
28.10.2005 02:35:00;  2,26
11.11.2005 11:50:00;  1,78
04.12.2005 15:55:00;  2,43
31.01.2006 23:59:55;  2,97
15.02.2006 14:30:00;  2,69
08.03.2006 07:50:00;  2,99
24.04.2006 17:10:00;  6,95
25.05.2006 20:25:00;  3,57
27.06.2006 18:35:00;  3,51
31.07.2006 23:40:00;  2,71
03.08.2006 05:20:00;  2,65
26.09.2006 23:50:00;  2,33
25.10.2006 11:05:00;  1,73
02.11.2006 16:25:00;  1,85
22.12.2006 16:20:00;  1,58
01.01.2007 00:05:00;  2,30
27.02.2007 16:35:00;  3,37
18.03.2007 22:00:00;  4,33
30.04.2007 23:40:00;  2,40
29.05.2007 01:25:00;  1,95
25.06.2007 21:15:00;  1,59
19.07.2007 15:35:00;  1,41
08.08.2007 10:00:00;  1,54
01.09.2007 05:10:00;  1,83
17.10.2007 13:50:40;  2,47
03.11.2007 20:30:00;  6,74
31.12.2007 09:00:00;  4,54
06.01.2008 03:10:00;  3,96
20.02.2008 21:10:00;  3,55
12.03.2008 10:30:00;  3,92
21.04.2008 15:35:00;  3,83
30.05.2008 13:50:00;  1,82
26.06.2008 20:35:00;  2,24
12.07.2008 17:35:00;  2,14
31.08.2008 06:15:00;  2,55
05.09.2008 06:35:00;  2,31
31.10.2008 12:25:00;  2,58
10.11.2008 10:15:00;  1,94
06.12.2008 12:15:00;  3,81
31.01.2009 18:10:00;  2,57
01.02.2009 09:15:00;  2,59
22.03.2009 13:10:00;  10,4
30.04.2009 22:50:00;  6,47
24.05.2009 20:40:00;  3,89
16.06.2009 08:25:00;  3,02
31.07.2009 21:25:00;  4,18
22.08.2009 09:20:00;  3,71
10.09.2009 06:45:00;  3,27
08.10.2009 23:10:00;  2,98
30.11.2009 23:30:00;  2,72
07.12.2009 10:30:00;  2,34
15.01.2010 12:15:00;  2,32
03.02.2010 03:10:00;  2,35
14.03.2010 10:50:00;  3,69
30.04.2010 15:30:00;  4,22
09.05.2010 10:50:00;  2,53
30.06.2010 19:00:00;  5,64
15.07.2010 18:30:00;  3,21
23.08.2010 10:05:00;  3,46
25.09.2010 01:20:00;  2,60
03.10.2010 08:45:00;  2,59
24.11.2010 15:15:00;  2,23
05.12.2010 04:05:00;  2,33
03.01.2011 15:20:00;  2,48
28.02.2011 21:15:00;  3,50
09.03.2011 16:20:00;  2,79
11.04.2011 12:05:00;  2,58
08.05.2011 10:25:00;  1,62
22.06.2011 14:45:00;  1,95
17.07.2011 02:20:00;  2,13
31.08.2011 10:55:00;  1,78
16.09.2011 20:00:00;  1,96
06.10.2011 05:50:00;  2,03
29.11.2011 12:15:00;  1,49
05.12.2011 00:30:00;  1,49
01.01.2012 00:50:00;  2,79
16.02.2012 00:05:00;  2,19
27.03.2012 22:20:00;  4,58
11.04.2012 00:40:00;  3,36
25.05.2012 17:51:10;  2,41
04.06.2012 08:26:00;  2,60
19.07.2012 23:30:50;  2,36
25.08.2012 20:20:00;  1,47
12.09.2012 06:00:00;  1,72
06.10.2012 17:20:00;  1,81
30.11.2012 08:00:00;  1,83
08.12.2012 11:40:00;  1,68
28.01.2013 10:25:00;  4,15
26.02.2013 01:45:00;  4,43
28.03.2013 15:15:00;  5,05
04.04.2013 11:25:00;  5,64
24.05.2013 16:55:00;  3,37
