Messstelle:                ;Penningersteg
22.07.1973 12:00:00;  7,22
29.08.1973 12:00:00;  5,03
23.09.1973 12:00:00;  4,00
18.10.1973 12:00:00;  4,30
05.11.1973 12:00:00;  6,65
04.12.1973 12:00:00;  7,02
12.01.1974 12:00:00;  7,56
27.02.1974 12:00:00;  7,02
03.03.1974 12:00:00;  6,48
12.04.1974 12:00:00;  7,56
01.05.1974 12:00:00;  10,2
10.06.1974 12:00:00;  21,7
31.07.1974 12:00:00;  17,2
26.08.1974 12:00:00;  6,24
19.09.1974 12:00:00;  5,03
07.10.1974 12:00:00;  5,84
10.11.1974 12:00:00;  7,22
25.12.1974 12:00:00;  11,7
25.01.1975 12:00:00;  10,9
28.02.1975 12:00:00;  7,22
02.03.1975 12:00:00;  4,62
06.04.1975 12:00:00;  9,50
06.05.1975 12:00:00;  16,4
15.06.1975 12:00:00;  14,7
31.07.1975 12:00:00;  18,2
24.08.1975 12:00:00;  7,56
30.09.1975 12:00:00;  5,01
29.10.1975 12:00:00;  3,84
12.11.1975 12:00:00;  2,97
21.12.1975 12:00:00;  2,98
01.01.1976 00:00:00; Lücke
01.01.1976 21:00:00;  3,40
26.02.1976 13:00:00;  5,61
24.03.1976 17:00:00;  3,87
11.04.1976 11:00:00;  6,27
02.05.1976 16:00:00;  9,59
30.06.1976 23:59:55;  8,62
19.07.1976 11:00:00;  4,87
31.08.1976 23:59:55;  10,5
29.09.1976 18:00:00;  7,04
30.10.1976 10:00:00;  5,54
07.11.1976 19:00:00;  4,81
26.12.1976 12:00:00;  7,09
20.01.1977 17:00:00;  5,23
05.02.1977 13:00:00;  8,95
23.03.1977 00:00:00;  12,5
01.04.1977 17:00:00;  13,0
30.05.1977 14:00:00;  13,1
25.06.1977 17:00:00;  7,94
09.07.1977 01:00:00;  7,40
31.08.1977 23:59:55;  11,0
30.09.1977 23:59:55;  7,50
31.10.1977 23:59:55;  5,87
10.11.1977 14:00:00;  5,33
05.12.1977 00:00:00;  6,83
31.01.1978 23:59:55;  5,53
22.02.1978 20:00:00;  3,98
20.03.1978 04:00:00;  9,73
17.04.1978 10:00:00;  9,38
07.05.1978 20:00:00;  12,4
23.06.1978 08:00:00;  8,44
31.07.1978 14:00:00;  8,81
30.08.1978 11:00:00;  4,73
01.09.1978 00:00:00;  5,21
21.10.1978 20:00:00;  6,66
24.11.1978 14:00:00;  5,18
03.12.1978 19:00:00;  4,88
27.01.1979 20:00:00;  3,97
02.02.1979 05:00:00;  4,92
01.03.1979 10:00:00;  6,17
05.04.1979 18:00:00;  10,6
08.05.1979 14:00:00;  14,8
11.06.1979 23:00:00;  11,6
08.07.1979 09:00:00;  11,0
24.08.1979 11:00:00;  8,11
19.09.1979 01:00:00;  5,22
25.10.1979 21:00:00;  3,86
02.11.1979 10:00:00;  3,93
31.12.1979 23:59:55;  6,20
22.01.1980 02:00:00;  4,20
29.02.1980 17:00:00;  6,22
06.03.1980 12:00:00;  5,31
01.04.1980 00:00:00;  11,8
26.05.1980 21:00:00;  15,1
23.06.1980 18:00:00;  15,5
31.07.1980 22:00:00;  13,3
28.08.1980 06:00:00;  8,17
23.09.1980 10:00:00;  10,3
07.10.1980 23:00:00;  8,17
13.11.1980 14:00:00;  5,85
02.12.1980 07:00:00;  6,17
31.01.1981 14:00:00;  6,13
28.02.1981 07:00:00;  5,80
03.03.1981 00:00:00;  5,67
30.04.1981 13:00:00;  7,42
01.05.1981 02:00:00;  8,28
15.06.1981 14:00:00;  8,89
11.07.1981 23:00:00;  7,85
16.08.1981 22:00:00;  8,00
13.09.1981 13:00:00;  9,55
09.10.1981 04:00:00;  9,33
11.11.1981 16:00:00;  12,1
29.12.1981 11:00:00;  8,38
29.01.1982 04:00:00;  7,89
28.02.1982 08:00:00;  8,44
01.03.1982 04:00:00;  8,66
24.04.1982 21:00:00;  12,3
01.05.1982 15:00:00;  14,4
26.06.1982 21:00:00;  17,3
22.07.1982 15:00:00;  11,2
31.08.1982 18:00:00;  6,15
13.09.1982 20:00:00;  3,40
06.10.1982 16:00:00;  4,16
09.11.1982 13:00:00;  3,79
06.12.1982 23:00:00;  3,29
03.01.1983 17:00:00;  6,27
25.02.1983 08:00:00;  4,85
18.03.1983 21:00:00;  6,80
01.04.1983 21:00:00;  7,58
31.05.1983 21:00:00;  9,15
02.06.1983 18:00:00;  7,40
29.07.1983 03:00:00;  4,61
01.08.1983 17:00:00;  4,07
10.09.1983 21:00:00;  3,49
09.10.1983 08:00:00;  3,57
26.11.1983 06:00:00;  2,58
15.12.1983 09:00:00;  3,61
31.01.1984 17:45:00;  4,65
02.02.1984 18:15:00;  4,47
14.03.1984 08:00:00;  4,29
30.04.1984 23:59:55;  10,4
01.05.1984 22:30:00;  9,57
28.06.1984 14:30:00;  9,15
26.07.1984 02:30:00;  7,04
23.08.1984 22:15:00;  6,07
10.09.1984 08:30:00;  4,75
30.10.1984 19:30:00;  4,94
19.11.1984 18:45:00;  3,04
09.12.1984 16:30:00;  2,96
19.01.1985 18:00:00;  2,52
24.02.1985 13:30:00;  4,65
21.03.1985 18:45:00;  5,18
27.04.1985 14:45:00;  9,22
01.05.1985 00:00:00;  9,88
06.06.1985 21:00:00;  10,6
30.07.1985 15:00:00;  6,98
01.08.1985 19:30:00;  8,48
30.09.1985 14:00:00;  7,52
31.10.1985 21:45:00;  4,61
30.11.1985 05:30:00;  3,22
14.12.1985 08:00:00;  5,80
11.01.1986 05:00:00;  7,16
28.02.1986 14:15:00;  3,93
04.03.1986 12:00:00;  3,70
17.04.1986 22:00:00;  8,93
13.05.1986 19:45:00;  11,4
29.06.1986 17:00:00;  6,50
18.07.1986 18:15:00;  5,03
18.08.1986 05:45:00;  3,97
30.09.1986 12:30:00;  3,89
18.10.1986 19:15:00;  2,98
22.11.1986 14:15:00;  4,13
14.12.1986 19:45:00;  2,81
31.01.1987 23:59:55;  3,74
04.02.1987 10:30:00;  2,71
18.03.1987 08:45:00;  7,04
03.04.1987 13:30:00;  11,5
05.05.1987 18:00:00;  18,8
04.06.1987 13:15:00;  22,1
24.07.1987 03:15:00;  10,0
31.08.1987 23:59:55;  7,58
01.09.1987 19:15:00;  7,04
31.10.1987 23:00:00;  4,88
11.11.1987 17:30:00;  4,65
16.12.1987 16:30:00;  3,77
21.01.1988 04:00:00;  5,64
24.02.1988 20:45:00;  5,64
09.03.1988 02:45:00;  5,13
26.04.1988 21:00:00;  18,2
30.05.1988 00:30:00;  13,8
30.06.1988 23:59:55;  9,97
29.07.1988 17:45:00;  6,18
11.08.1988 17:30:00;  7,33
29.09.1988 18:45:00;  9,29
16.10.1988 00:00:00;  4,65
09.11.1988 17:15:00;  6,74
18.12.1988 08:45:00;  15,5
31.01.1989 13:30:00;  6,50
16.02.1989 17:15:00;  3,77
04.03.1989 18:00:00;  7,95
30.04.1989 02:15:00;  10,4
01.05.1989 00:15:00;  11,2
12.06.1989 06:45:00;  9,12
24.07.1989 15:45:00;  6,71
27.08.1989 15:00:00;  8,55
25.09.1989 18:00:00;  8,13
29.10.1989 04:15:00;  7,26
29.11.1989 17:00:00;  4,29
11.12.1989 15:15:00;  4,25
15.01.1990 16:45:00;  2,71
09.02.1990 12:00:00;  2,78
27.03.1990 13:45:00;  6,19
06.04.1990 13:45:00;  6,66
31.05.1990 23:59:55;  8,18
07.06.1990 23:15:00;  7,32
31.07.1990 12:45:00;  6,07
14.08.1990 07:15:00;  3,73
03.09.1990 08:45:00;  4,29
27.10.1990 09:00:00;  5,64
11.11.1990 17:00:00;  7,52
20.12.1990 14:30:00;  5,17
31.01.1991 17:00:00;  3,81
05.02.1991 20:45:00;  3,08
01.03.1991 23:00:00;  3,93
16.04.1991 16:00:00;  5,59
01.05.1991 13:30:00;  7,72
06.06.1991 12:30:00;  13,5
14.07.1991 10:15:00;  9,64
31.08.1991 17:15:00;  7,37
28.09.1991 05:15:00;  4,09
17.10.1991 18:00:00;  3,73
01.11.1991 12:15:00;  3,81
09.12.1991 19:00:00;  3,43
28.01.1992 17:30:00;  2,88
02.02.1992 10:30:00;  3,43
13.03.1992 11:45:00;  7,43
19.04.1992 09:00:00;  8,80
31.05.1992 13:15:00;  12,3
30.06.1992 23:59:55;  8,37
27.07.1992 20:30:00;  3,73
28.08.1992 12:45:00;  3,36
28.09.1992 18:00:00;  3,40
18.10.1992 14:45:00;  3,19
02.11.1992 13:30:00;  7,66
31.12.1992 11:30:00;  6,71
04.01.1993 14:30:00;  3,58
27.02.1993 09:15:00;  4,90
01.03.1993 15:15:00;  3,70
01.04.1993 00:00:00;  13,1
27.05.1993 23:45:00;  9,97
02.06.1993 21:45:00;  10,0
11.07.1993 07:15:00;  8,86
20.08.1993 13:15:00;  4,65
22.09.1993 15:30:00;  5,34
20.10.1993 17:45:00;  4,25
10.11.1993 16:30:00;  3,41
02.12.1993 22:15:00;  4,03
23.01.1994 19:15:00;  6,57
20.02.1994 13:45:00;  5,09
02.03.1994 01:30:00;  10,5
09.04.1994 18:30:00;  14,9
17.05.1994 18:15:00;  12,5
28.06.1994 13:45:00;  12,5
31.07.1994 13:00:00;  4,54
15.08.1994 11:45:00;  3,40
29.09.1994 23:30:00;  3,81
02.10.1994 21:30:00;  3,70
08.11.1994 07:15:00;  3,62
09.12.1994 19:15:00;  7,37
18.01.1995 12:45:00;  6,18
05.02.1995 09:30:00;  10,8
12.03.1995 01:15:00;  8,61
01.04.1995 12:30:00;  13,2
26.05.1995 18:00:00;  16,6
21.06.1995 13:15:00;  14,2
31.07.1995 22:45:00;  6,98
13.08.1995 17:15:00;  4,47
30.09.1995 17:00:00;  10,1
25.10.1995 13:15:00;  4,29
01.11.1995 18:15:00;  7,16
16.12.1995 15:15:00;  5,91
31.01.1996 09:15:00;  3,36
08.02.1996 21:30:00;  3,08
16.03.1996 11:45:00;  3,08
04.04.1996 11:45:00;  8,86
08.05.1996 17:45:00;  15,0
21.06.1996 12:45:00;  8,99
28.07.1996 03:30:00;  8,31
24.08.1996 19:00:00;  7,37
01.09.1996 05:45:00;  10,0
18.10.1996 20:45:00;  11,7
24.11.1996 21:15:00;  8,62
31.12.1996 15:00:00;  4,65
26.01.1997 13:30:00;  3,02
10.02.1997 17:30:00;  3,02
15.03.1997 17:00:00;  7,15
24.04.1997 19:45:00;  11,2
31.05.1997 20:30:00;  14,4
30.06.1997 22:30:00;  8,85
04.07.1997 07:30:00;  6,39
27.08.1997 20:45:00;  6,54
27.09.1997 11:15:00;  3,40
01.10.1997 00:15:00;  3,85
07.11.1997 23:15:00;  5,23
08.12.1997 21:00:00;  8,26
31.01.1998 18:00:00;  4,57
10.02.1998 12:00:00;  3,85
05.03.1998 14:15:00;  4,69
30.04.1998 23:59:55;  11,7
03.05.1998 18:45:00;  10,5
30.06.1998 15:00:00;  9,03
01.07.1998 22:15:00;  9,46
21.08.1998 08:00:00;  6,51
03.09.1998 17:45:00;  6,57
12.10.1998 10:00:00;  7,04
30.11.1998 17:45:00;  9,18
10.12.1998 17:00:00;  6,82
26.01.1999 12:45:00;  4,17
01.02.1999 11:30:00;  5,17
23.03.1999 00:30:00;  11,5
18.04.1999 21:45:00;  13,8
03.05.1999 19:45:00;  17,5
30.06.1999 10:30:00;  8,79
07.07.1999 00:30:00;  7,10
09.08.1999 09:15:00;  5,54
23.09.1999 08:30:00;  3,97
29.10.1999 04:15:00;  3,85
02.11.1999 21:15:00;  3,70
01.12.1999 11:15:00;  3,97
29.01.2000 16:00:00;  5,74
24.02.2000 15:30:00;  11,9
08.03.2000 00:00:00;  13,8
14.04.2000 21:45:00;  14,7
31.05.2000 03:00:00;  15,8
23.06.2000 01:00:00;  10,2
28.07.2000 10:00:00;  7,09
25.08.2000 07:45:00;  5,24
01.09.2000 01:00:00;  6,25
31.10.2000 18:45:00;  5,27
27.11.2000 08:45:00;  3,58
10.12.2000 10:15:00;  3,51
20.01.2001 10:14:50;  4,12
01.02.2001 12:00:00;  3,55
02.03.2001 19:00:00;  6,04
03.04.2001 23:00:00;  11,2
30.05.2001 17:45:00;  9,97
01.06.2001 00:00:00;  11,1
20.07.2001 08:54:05;  5,23
31.08.2001 06:30:00;  4,67
01.09.2001 00:00:00;  6,75
18.10.2001 09:45:00;  4,71
04.11.2001 04:30:00;  4,42
28.12.2001 00:30:00;  4,76
18.01.2002 12:39:30;  5,33
21.02.2002 07:30:55;  9,55
12.03.2002 13:54:40;  7,99
19.04.2002 09:29:40;  8,60
30.05.2002 12:53:10;  10,4
24.06.2002 13:36:25;  6,21
10.07.2002 11:39:30;  4,77
02.08.2002 00:50:20;  9,20
19.09.2002 08:31:55;  7,81
29.10.2002 18:56:40;  11,5
30.11.2002 23:59:55;  11,1
14.12.2002 21:29:05;  6,30
22.01.2003 16:02:45;  9,66
21.02.2003 13:59:05;  4,89
02.03.2003 11:16:20;  5,41
13.04.2003 01:15:45;  7,78
31.05.2003 04:58:20;  8,90
30.06.2003 23:59:55;  4,64
28.07.2003 09:45:00;  3,51
29.08.2003 18:00:00;  3,72
10.09.2003 02:30:00;  3,88
04.10.2003 10:00:00;  3,26
24.11.2003 15:20:05;  2,82
05.12.2003 17:23:20;  3,30
07.01.2004 12:30:00;  3,40
01.02.2004 05:00:00;  5,36
06.03.2004 08:15:00;  6,16
15.04.2004 19:15:00;  10,1
13.05.2004 12:00:00;  11,4
30.06.2004 23:59:55;  13,1
12.07.2004 15:15:00;  8,09
12.08.2004 10:00:00;  4,63
22.09.2004 18:00:00;  6,34
30.10.2004 09:00:00;  5,28
05.11.2004 17:00:00;  3,85
23.12.2004 15:15:00;  3,05
01.01.2005 03:00:00;  4,65
06.02.2005 23:45:00;  4,81
04.03.2005 18:00:00;  4,36
13.04.2005 10:15:00;  14,9
14.05.2005 18:15:00;  14,7
30.06.2005 23:59:55;  13,3
30.07.2005 11:15:00;  8,55
05.08.2005 21:30:00;  7,53
16.09.2005 22:00:00;  6,37
24.10.2005 07:45:00;  4,84
23.11.2005 17:15:00;  3,20
02.12.2005 05:30:00;  4,40
30.01.2006 13:30:00;  4,27
15.02.2006 18:30:00;  3,27
08.03.2006 14:45:00;  5,15
13.04.2006 23:15:00;  20,2
12.05.2006 17:45:00;  16,6
27.06.2006 18:15:00;  13,3
28.07.2006 15:30:00;  4,62
01.08.2006 01:30:00;  5,21
18.09.2006 19:15:00;  4,81
27.10.2006 10:45:00;  2,62
04.11.2006 23:15:00;  4,77
29.12.2006 02:45:00;  3,42
01.01.2007 10:15:00;  3,71
23.02.2007 20:06:40;  6,87
21.03.2007 08:30:00;  6,45
17.04.2007 16:15:00;  6,24
05.05.2007 10:30:00;  7,77
21.06.2007 12:15:00;  4,70
27.07.2007 17:30:00;  5,38
09.08.2007 16:15:00;  4,70
01.09.2007 09:15:00;  7,96
17.10.2007 16:00:00;  8,30
21.11.2007 10:00:00;  12,6
30.12.2007 09:30:00;  8,69
06.01.2008 03:00:00;  7,83
18.02.2008 11:45:00;  6,97
27.03.2008 13:30:00;  9,55
09.04.2008 07:45:00;  11,2
24.05.2008 19:00:00;  12,5
19.06.2008 18:15:00;  8,64
13.07.2008 07:30:00;  8,16
31.08.2008 23:45:00;  7,40
12.09.2008 03:15:00;  5,45
27.10.2008 07:30:00;  4,52
16.11.2008 10:45:00;  4,06
14.12.2008 23:00:00;  5,62
20.01.2009 19:15:00;  3,36
20.02.2009 14:30:00;  3,04
03.03.2009 01:15:00;  13,8
26.04.2009 19:45:00;  18,1
01.05.2009 19:15:00;  19,8
18.06.2009 08:00:00;  13,9
31.07.2009 17:15:00;  10,3
28.08.2009 09:30:00;  7,09
30.09.2009 19:15:00;  5,46
07.10.2009 17:00:00;  5,23
27.11.2009 13:15:00;  5,74
07.12.2009 18:30:00;  5,30
29.01.2010 12:45:00;  3,77
12.02.2010 11:15:00;  3,77
15.03.2010 02:45:00;  5,46
29.04.2010 16:30:00;  8,21
01.05.2010 00:00:00;  9,17
30.06.2010 13:15:00;  14,6
16.07.2010 00:45:00;  10,6
22.08.2010 23:00:00;  9,77
25.09.2010 11:30:00;  6,63
17.10.2010 10:15:00;  5,78
29.11.2010 02:46:20;  4,64
03.12.2010 03:44:40;  3,95
06.01.2011 09:00:00;  5,42
21.02.2011 18:30:00;  5,02
09.03.2011 03:15:00;  3,68
30.04.2011 19:15:00;  6,33
12.05.2011 13:00:00;  4,84
07.06.2011 13:15:00;  5,44
20.07.2011 04:15:00;  4,88
31.08.2011 21:00:00;  6,16
27.09.2011 14:00:00;  4,62
06.10.2011 08:45:00;  3,68
17.11.2011 22:15:00;  3,34
04.12.2011 12:15:00;  3,40
01.01.2012 00:00:00;  7,74
23.02.2012 18:15:00;  5,56
11.03.2012 19:30:00;  14,2
25.04.2012 17:30:00;  13,5
27.05.2012 17:00:00;  14,6
30.06.2012 20:45:00;  14,6
19.07.2012 15:30:00;  9,42
20.08.2012 19:30:00;  5,45
05.09.2012 13:00:00;  7,99
26.10.2012 19:15:00;  6,62
28.11.2012 11:30:00;  5,25
04.12.2012 16:15:00;  4,19
28.01.2013 10:30:00;  8,14
25.02.2013 14:30:00;  8,09
01.03.2013 12:45:00;  7,47
04.04.2013 18:00:00;  9,36
20.05.2013 16:00:00;  14,4
20.06.2013 13:30:00;  10,8
29.07.2013 10:15:00;  5,95
19.08.2013 11:15:00;  4,70
12.09.2013 21:30:00;  8,95
29.10.2013 18:30:00;  6,51
03.11.2013 00:30:00;  6,19
31.12.2013 12:30:00;  6,19
09.01.2014 15:30:00;  4,42
28.02.2014 15:30:00;  5,20
15.03.2014 12:30:00;  4,42
08.04.2014 17:45:00;  6,95
10.05.2014 15:45:00;  8,64
28.06.2014 17:15:00;  7,18
20.07.2014 22:15:00;  5,82
21.08.2014 10:45:00;  7,87
30.09.2014 15:30:00;  13,1
20.10.2014 19:15:00;  6,57
28.11.2014 14:45:00;  5,00
15.12.2014 09:30:00;  2,73
02.01.2015 15:00:00;  4,28
10.02.2015 13:15:00;  4,66
16.03.2015 17:15:00;  6,13
25.04.2015 20:45:00;  10,3
08.05.2015 20:15:00;  10,0
15.06.2015 11:30:00;  8,95
24.07.2015 03:04:00;  4,98
22.08.2015 09:00:45;  3,10
14.09.2015 21:19:25;  3,04
06.10.2015 05:31:25;  3,17
03.11.2015 13:34:10;  2,54
27.12.2015 05:24:00;  2,64
22.01.2016 16:43:15;  2,44
19.02.2016 13:51:50;  6,64
25.03.2016 07:32:55;  4,80
06.04.2016 12:30:00;  6,38
01.05.2016 18:46:10;  9,51
30.06.2016 21:00:00;  9,90
02.07.2016 09:00:00;  8,95
29.08.2016 10:00:00;  8,48
05.09.2016 02:00:00;  7,65
02.10.2016 09:45:00;  7,42
30.11.2016 23:15:00;  7,59
23.12.2016 16:00:00;  4,57
27.01.2017 06:30:00;  3,86
16.02.2017 01:15:00;  6,79
17.03.2017 17:15:00;  11,1
15.04.2017 15:00:00;  11,1
30.05.2017 18:15:00;  12,4
30.06.2017 23:15:00;  5,86
23.07.2017 04:00:00;  4,59
19.08.2017 03:00:00;  6,46
01.09.2017 06:30:00;  5,65
22.10.2017 18:00:00;  8,60
29.11.2017 15:00:00;  12,2
21.12.2017 19:00:00;  8,90
16.01.2018 14:00:00;  11,1
23.02.2018 13:45:00;  6,08
06.03.2018 10:00:00;  5,35
10.04.2018 09:45:00;  9,20
28.05.2018 17:45:00;  5,92
12.06.2018 13:15:00;  6,74
30.07.2018 16:30:00;  4,83
23.08.2018 21:15:00;  2,70
17.09.2018 20:30:00;  2,66
24.10.2018 14:45:00;  2,91
15.11.2018 14:50:00;  2,72
01.12.2018 12:30:00;  2,91
31.01.2019 18:30:00;  8,32
07.02.2019 09:30:00;  7,81
29.03.2019 19:15:00;  10,1
16.04.2019 19:45:00;  11,8
08.05.2019 14:45:00;  17,4
30.06.2019 23:30:00;  11,0
27.07.2019 13:30:00;  5,74
29.08.2019 12:15:00;  4,17
01.09.2019 14:00:00;  4,08
29.10.2019 09:45:00;  4,18
04.11.2019 10:15:00;  4,42
11.12.2019 17:30:00;  2,76
29.01.2020 16:30:00;  4,70
22.02.2020 22:00:00;  7,94
27.03.2020 22:45:00;  5,96
01.04.2020 17:45:00;  4,99
22.05.2020 12:00:00;  5,24
14.06.2020 09:45:00;  7,77
10.07.2020 19:45:00;  7,81
27.08.2020 07:30:00;  9,73
19.09.2020 17:30:00;  8,66
10.10.2020 12:15:00;  7,97
30.11.2020 16:30:00;  5,70
09.12.2020 12:45:00;  4,82
18.01.2021 14:00:00;  4,67
15.02.2021 11:30:00;  6,46
09.03.2021 17:30:00;  5,85
27.04.2021 17:00:00;  8,84
11.05.2021 16:15:00;  8,15
30.06.2021 00:00:00;  3,84
07.07.2021 16:45:00;  4,57
14.08.2021 02:30:00;  9,67
13.09.2021 23:45:00;  6,24
30.10.2021 19:00:00;  4,91
25.11.2021 08:30:00;  4,65
22.12.2021 10:00:00;  6,64
