Messstelle:                ;Opponitz (Mirenau)
08.06.1983 20:00:00;  7,59
25.07.1983 00:00:00;  6,04
26.08.1983 21:00:00;  5,35
10.09.1983 15:00:00;  4,86
03.10.1983 21:00:00;  4,57
24.11.1983 14:00:00;  3,97
15.12.1983 12:00:00;  5,15
12.01.1984 10:00:00;  6,72
03.02.1984 17:00:00;  6,75
13.03.1984 15:00:00;  7,65
06.04.1984 23:00:00;  11,2
01.05.1984 18:00:00;  13,6
19.06.1984 11:00:00;  7,90
23.07.1984 01:00:00;  4,71
25.08.1984 00:00:00;  8,06
03.09.1984 13:00:00;  7,81
31.10.1984 23:59:55;  6,41
17.11.1984 16:00:00;  4,91
08.12.1984 00:00:00;  5,64
07.01.1985 04:15:00;  3,72
21.02.1985 07:00:00;  6,43
16.03.1985 12:00:00;  7,81
20.04.1985 00:30:00;  12,5
29.05.1985 17:45:00;  12,9
07.06.1985 11:45:00;  11,9
15.07.1985 06:00:00;  8,12
26.08.1985 02:30:00;  10,8
30.09.1985 22:45:00;  7,16
08.10.1985 12:45:00;  6,04
04.11.1985 13:30:00;  6,53
01.12.1985 00:00:00;  7,10
10.01.1986 21:00:00;  8,09
28.02.1986 06:15:00;  4,89
04.03.1986 04:30:00;  5,25
18.04.1986 23:30:00;  7,80
28.05.1986 10:00:00;  6,17
29.06.1986 06:15:00;  7,28
20.07.1986 21:15:00;  4,96
18.08.1986 07:00:00;  4,32
29.09.1986 16:30:00;  4,14
14.10.1986 09:15:00;  3,82
20.11.1986 13:00:00;  4,14
12.12.1986 05:30:00;  3,50
31.01.1987 08:30:00;  4,03
01.02.1987 08:00:00;  5,49
21.03.1987 23:45:00;  8,22
03.04.1987 21:30:00;  10,0
29.05.1987 21:30:00;  27,0
30.06.1987 23:59:55;  13,9
20.07.1987 00:30:00;  4,97
29.08.1987 20:30:00;  7,23
24.09.1987 02:15:00;  4,48
10.10.1987 15:00:00;  4,03
16.11.1987 08:15:00;  5,49
16.12.1987 04:45:00;  5,76
20.01.1988 19:30:00;  6,62
23.02.1988 16:30:00;  6,92
10.03.1988 15:30:00;  6,03
26.04.1988 22:00:00;  30,7
30.05.1988 21:00:00;  13,0
27.06.1988 12:30:00;  7,55
17.07.1988 20:30:00;  5,49
20.08.1988 09:30:00;  6,03
30.09.1988 14:45:00;  7,88
17.10.1988 06:45:00;  4,97
08.11.1988 06:30:00;  5,49
04.12.1988 20:00:00;  15,4
31.01.1989 21:15:00;  9,66
01.02.1989 00:00:00;  9,66
03.03.1989 07:15:00;  14,9
30.04.1989 20:30:00;  13,0
01.05.1989 00:00:00;  14,2
12.06.1989 01:30:00;  11,3
16.07.1989 19:00:00;  10,2
27.08.1989 15:45:00;  10,6
22.09.1989 16:45:00;  11,0
30.10.1989 07:30:00;  9,46
30.11.1989 14:45:00;  8,74
05.12.1989 11:30:00;  7,71
08.01.1990 09:15:00;  6,75
11.02.1990 16:00:00;  7,71
27.03.1990 13:00:00;  12,7
21.04.1990 02:30:00;  7,06
31.05.1990 23:59:55;  9,10
01.06.1990 05:00:00;  7,71
25.07.1990 09:00:00;  7,38
22.08.1990 04:15:00;  6,75
02.09.1990 19:45:00;  4,30
27.10.1990 02:15:00;  6,75
09.11.1990 22:00:00;  9,46
20.12.1990 04:30:00;  9,10
31.01.1991 23:59:55;  8,01
06.02.1991 09:30:00;  5,87
02.03.1991 03:00:00;  9,84
13.04.1991 01:30:00;  6,15
10.05.1991 00:00:00;  15,0
25.06.1991 13:15:00;  11,8
13.07.1991 18:15:00;  10,2
27.08.1991 20:00:00;  12,7
29.09.1991 19:15:00;  7,06
22.10.1991 13:45:00;  5,31
01.11.1991 00:00:00;  6,15
10.12.1991 08:15:00;  5,59
31.01.1992 23:59:55;  7,48
03.02.1992 06:45:00;  6,92
19.03.1992 11:15:00;  13,0
03.04.1992 22:00:00;  13,0
27.05.1992 10:45:00;  11,7
29.06.1992 07:30:00;  8,57
31.07.1992 14:00:00;  5,76
09.08.1992 23:45:00;  4,03
01.09.1992 02:45:00;  4,48
17.10.1992 18:45:00;  5,76
02.11.1992 06:00:00;  8,93
31.12.1992 13:15:00;  7,23
03.01.1993 11:45:00;  6,32
28.02.1993 23:59:55;  6,77
01.03.1993 07:45:00;  6,62
01.04.1993 00:15:00;  15,9
20.05.1993 05:30:00;  8,22
14.06.1993 07:00:00;  7,55
11.07.1993 11:00:00;  7,23
23.08.1993 20:15:00;  8,39
26.09.1993 06:45:00;  8,04
17.10.1993 02:15:00;  7,06
11.11.1993 12:45:00;  6,75
02.12.1993 13:15:00;  6,75
23.01.1994 20:30:00;  9,46
21.02.1994 00:45:00;  8,04
03.03.1994 17:45:00;  11,0
09.04.1994 15:15:00;  13,6
19.05.1994 08:30:00;  14,4
14.06.1994 08:15:00;  9,29
31.07.1994 23:59:55;  4,25
01.08.1994 00:00:00;  4,25
30.09.1994 23:59:55;  5,22
03.10.1994 22:15:00;  4,97
10.11.1994 22:30:00;  4,48
28.12.1994 07:15:00;  7,23
15.01.1995 00:00:00;  8,39
28.02.1995 20:45:00;  15,0
17.03.1995 08:00:00;  9,46
01.04.1995 00:00:00;  17,0
29.05.1995 21:00:00;  15,5
20.06.1995 09:45:00;  11,4
23.07.1995 02:45:00;  7,55
04.08.1995 00:00:00;  6,62
19.09.1995 12:15:00;  8,22
25.10.1995 04:00:00;  4,03
01.11.1995 02:00:00;  7,23
17.12.1995 03:00:00;  4,97
23.01.1996 14:30:00;  5,22
10.02.1996 06:00:00;  4,48
05.03.1996 11:30:00;  4,48
04.04.1996 07:00:00;  7,88
31.05.1996 23:59:55;  19,7
21.06.1996 15:00:00;  8,22
31.07.1996 23:59:55;  9,03
28.08.1996 13:45:00;  8,22
02.09.1996 00:00:00;  8,93
17.10.1996 06:15:00;  13,6
28.11.1996 06:00:00;  6,15
28.12.1996 06:15:00;  6,75
31.01.1997 23:59:55;  5,47
05.02.1997 19:42:05;  5,15
12.03.1997 12:12:20;  11,0
24.04.1997 16:08:15;  18,0
31.05.1997 23:59:55;  16,1
30.06.1997 23:59:55;  10,2
03.07.1997 19:08:05;  9,09
29.08.1997 06:04:50;  9,79
14.09.1997 21:50:30;  5,57
01.10.1997 00:00:00;  7,31
05.11.1997 08:19:20;  7,33
09.12.1997 08:12:35;  10,2
28.01.1998 08:02:10;  5,12
02.02.1998 09:06:10;  5,72
04.03.1998 14:24:35;  9,01
24.04.1998 22:38:20;  14,4
17.05.1998 09:00:20;  10,9
30.06.1998 20:47:30;  8,16
01.07.1998 00:00:00;  8,62
31.08.1998 23:59:55;  8,07
03.09.1998 08:33:35;  7,59
12.10.1998 21:15:45;  11,7
30.11.1998 23:59:55;  10,9
12.12.1998 08:54:55;  8,94
31.01.1999 23:59:55;  7,37
02.02.1999 12:09:40;  7,19
22.03.1999 14:39:30;  14,9
21.04.1999 19:30:45;  18,9
31.05.1999 23:59:55;  15,6
11.06.1999 16:02:20;  9,51
06.07.1999 17:51:00;  7,43
15.08.1999 18:43:20;  7,46
26.09.1999 18:16:45;  6,01
03.10.1999 22:00:40;  4,33
07.11.1999 00:38:55;  5,76
02.12.1999 02:37:55;  7,41
26.01.2000 10:30:00;  5,58
24.02.2000 20:45:00;  11,1
07.03.2000 17:45:00;  14,5
10.04.2000 18:30:00;  23,0
31.05.2000 16:30:00;  10,2
22.06.2000 18:00:00;  6,63
07.07.2000 17:00:00;  6,29
31.08.2000 00:30:00;  5,03
11.09.2000 00:00:00;  3,01
26.10.2000 19:30:00;  4,73
08.11.2000 11:30:00;  3,44
10.12.2000 23:00:00;  3,92
24.01.2001 03:15:00;  5,12
02.02.2001 12:45:00;  6,38
02.03.2001 18:45:00;  6,91
07.04.2001 12:45:00;  11,6
30.05.2001 23:45:00;  7,10
02.06.2001 17:15:00;  7,24
17.07.2001 09:00:00;  4,73
31.08.2001 07:15:00;  5,50
30.09.2001 22:45:00;  5,79
19.10.2001 16:30:00;  5,47
07.11.2001 02:45:00;  3,36
27.12.2001 23:45:00;  7,01
19.01.2002 08:45:00;  7,54
22.02.2002 21:00:00;  16,3
05.03.2002 15:15:00;  16,9
13.04.2002 02:45:00;  8,28
28.05.2002 11:30:00;  8,55
27.06.2002 20:45:00;  6,28
14.07.2002 01:15:00;  5,47
06.08.2002 16:15:00;  5,89
14.09.2002 23:00:00;  6,58
28.10.2002 06:00:00;  9,89
30.11.2002 23:30:00;  13,6
20.12.2002 20:00:00;  8,45
13.01.2003 09:00:00;  8,85
23.02.2003 19:00:00;  4,26
02.03.2003 01:45:00;  8,92
10.04.2003 09:15:00;  10,9
31.05.2003 15:35:00;  8,27
05.06.2003 01:20:00;  5,30
17.07.2003 17:40:00;  4,27
27.08.2003 08:35:00;  4,15
09.09.2003 21:55:00;  4,69
04.10.2003 04:25:00;  5,34
25.11.2003 01:40:00;  4,60
06.12.2003 08:45:00;  3,99
08.01.2004 10:10:00;  4,93
01.02.2004 20:55:00;  6,88
06.03.2004 06:40:00;  7,75
15.04.2004 12:10:00;  15,8
12.05.2004 00:20:00;  13,3
16.06.2004 03:10:00;  10,8
24.07.2004 12:05:00;  9,67
13.08.2004 02:00:00;  6,53
21.09.2004 22:50:00;  5,40
31.10.2004 01:50:00;  5,79
06.11.2004 09:25:00;  4,95
22.12.2004 07:10:00;  5,09
01.01.2005 02:40:00;  6,62
10.02.2005 12:55:00;  6,00
14.03.2005 10:40:00;  6,93
12.04.2005 16:50:00;  22,0
30.05.2005 17:55:00;  12,4
22.06.2005 07:00:00;  8,11
01.07.2005 11:15:00;  9,03
14.08.2005 15:40:00;  7,86
12.09.2005 03:35:00;  4,23
31.10.2005 23:25:00;  4,49
06.11.2005 10:35:00;  4,35
02.12.2005 19:00:00;  5,53
09.01.2006 12:45:00;  3,86
03.02.2006 10:25:00;  5,19
08.03.2006 21:45:00;  7,19
13.04.2006 17:30:00;  29,1
26.05.2006 02:35:00;  18,8
27.06.2006 16:50:00;  13,0
31.07.2006 18:15:00;  7,01
01.08.2006 02:25:00;  7,48
18.09.2006 00:30:00;  3,77
23.10.2006 11:20:00;  4,27
04.11.2006 22:35:00;  5,26
28.12.2006 12:45:00;  5,21
01.01.2007 18:20:00;  3,83
03.02.2007 05:25:00;  8,21
23.03.2007 11:50:00;  10,3
29.04.2007 17:50:00;  8,22
04.05.2007 21:35:00;  6,91
21.06.2007 11:50:00;  6,29
28.07.2007 10:15:00;  5,72
29.08.2007 19:40:00;  5,42
03.09.2007 20:15:00;  7,45
18.10.2007 06:00:00;  6,44
19.11.2007 17:25:00;  16,6
30.12.2007 09:25:00;  10,2
05.01.2008 23:25:00;  9,05
21.02.2008 19:30:00;  8,99
27.03.2008 04:40:00;  12,5
18.04.2008 02:50:00;  15,6
31.05.2008 18:10:00;  12,6
17.06.2008 23:45:00;  8,74
12.07.2008 15:10:00;  9,66
30.08.2008 10:30:00;  7,83
15.09.2008 01:05:00;  3,49
31.10.2008 21:40:00;  5,99
16.11.2008 15:50:00;  4,87
11.12.2008 15:50:00;  11,9
28.01.2009 07:40:00;  6,54
02.02.2009 05:50:00;  6,57
27.03.2009 09:55:00;  18,3
24.04.2009 18:30:00;  33,4
28.05.2009 21:00:00;  14,5
19.06.2009 16:45:00;  9,39
31.07.2009 23:15:00;  11,0
01.08.2009 18:25:00;  10,4
30.09.2009 18:20:00;  8,87
06.10.2009 19:50:00;  7,67
28.11.2009 22:50:00;  9,00
21.12.2009 02:25:00;  7,00
12.01.2010 23:40:00;  6,08
16.02.2010 09:15:00;  6,25
14.03.2010 21:30:00;  8,07
13.04.2010 17:45:00;  14,7
27.05.2010 00:15:00;  10,7
30.06.2010 14:10:00;  13,3
17.07.2010 13:50:00;  9,43
21.08.2010 02:10:00;  10,1
24.09.2010 23:20:00;  10,0
20.10.2010 09:10:00;  7,64
04.11.2010 03:10:00;  4,86
06.12.2010 08:35:00;  6,73
06.01.2011 05:40:00;  7,78
04.02.2011 09:00:00;  8,82
09.03.2011 14:40:00;  7,09
30.04.2011 21:10:00;  9,24
26.05.2011 16:05:00;  5,08
17.06.2011 08:10:00;  6,98
20.07.2011 06:55:00;  6,47
31.08.2011 07:00:00;  6,81
18.09.2011 12:20:00;  6,27
05.10.2011 20:45:00;  6,23
27.11.2011 22:10:00;  5,30
06.12.2011 12:15:00;  5,38
01.01.2012 04:55:00;  8,55
13.02.2012 10:20:00;  6,90
11.03.2012 07:50:00;  17,0
20.04.2012 20:00:00;  16,1
28.05.2012 17:05:00;  11,8
21.06.2012 16:30:00;  9,38
06.07.2012 08:40:00;  9,66
30.08.2012 14:40:00;  7,36
12.09.2012 04:35:00;  7,46
07.10.2012 20:58:10;  6,44
30.11.2012 23:59:55;  7,39
13.12.2012 11:27:35;  6,14
29.01.2013 11:37:05;  11,5
28.02.2013 18:11:55;  11,2
28.03.2013 13:26:05;  11,9
04.04.2013 18:18:05;  12,9
24.05.2013 20:05:00;  13,0
22.06.2013 13:20:00;  13,0
29.07.2013 03:25:00;  6,08
25.08.2013 23:45:00;  7,27
10.09.2013 12:35:00;  9,07
