Messstelle:                ;Au
10.09.1957 12:00:00;  2,70
31.10.1957 12:00:00;  1,40
25.11.1957 12:00:00; 0,770
31.12.1957 12:00:00; 0,530
05.01.1958 12:00:00; 0,350
06.02.1958 12:00:00; 0,740
23.03.1958 12:00:00;  1,20
13.04.1958 12:00:00;  3,47
01.05.1958 12:00:00;  9,87
18.06.1958 12:00:00;  5,90
22.07.1958 12:00:00;  4,62
22.08.1958 12:00:00;  3,75
07.09.1958 12:00:00;  2,02
11.10.1958 12:00:00;  2,25
30.11.1958 12:00:00;  3,47
13.12.1958 12:00:00;  1,40
19.01.1959 12:00:00;  1,80
05.02.1959 12:00:00;  1,80
17.03.1959 12:00:00;  4,02
01.04.1959 12:00:00;  4,30
31.05.1959 12:00:00;  5,90
02.06.1959 12:00:00;  5,58
28.07.1959 12:00:00;  3,12
31.08.1959 12:00:00;  2,59
22.09.1959 12:00:00;  1,44
16.10.1959 12:00:00; 0,750
01.11.1959 12:00:00;  1,26
25.12.1959 12:00:00; 0,750
14.01.1960 12:00:00;  1,26
08.02.1960 12:00:00; 0,750
22.03.1960 12:00:00;  2,86
27.04.1960 12:00:00;  4,07
02.05.1960 12:00:00;  4,38
24.06.1960 12:00:00;  3,75
06.07.1960 12:00:00;  5,78
26.08.1960 12:00:00;  4,38
28.09.1960 12:00:00;  3,44
06.10.1960 12:00:00;  3,44
15.11.1960 12:00:00;  3,20
31.12.1960 12:00:00;  1,40
28.01.1961 12:00:00;  1,00
06.02.1961 12:00:00;  2,02
05.03.1961 12:00:00;  3,20
25.04.1961 12:00:00;  9,14
23.05.1961 12:00:00;  8,65
30.06.1961 12:00:00;  7,79
27.07.1961 12:00:00;  4,07
31.08.1961 12:00:00;  3,12
30.09.1961 12:00:00;  1,47
15.10.1961 12:00:00; 0,900
26.11.1961 12:00:00;  1,27
02.12.1961 12:00:00;  1,47
26.01.1962 12:00:00;  1,50
28.02.1962 12:00:00;  1,90
19.03.1962 12:00:00;  1,50
16.04.1962 12:00:00;  2,63
03.05.1962 12:00:00;  6,14
04.06.1962 12:00:00;  6,14
21.07.1962 12:00:00;  2,88
31.08.1962 12:00:00;  1,50
04.09.1962 12:00:00;  1,50
30.10.1962 12:00:00; 0,760
17.11.1962 12:00:00; 0,680
15.12.1962 12:00:00; 0,500
31.01.1963 12:00:00; 0,760
28.02.1963 12:00:00; 0,760
01.03.1963 12:00:00; 0,760
03.04.1963 12:00:00;  1,90
06.05.1963 12:00:00;  10,1
29.06.1963 12:00:00;  5,42
21.07.1963 12:00:00;  1,10
04.08.1963 12:00:00;  2,14
25.09.1963 12:00:00;  2,88
31.10.1963 12:00:00;  1,70
07.11.1963 12:00:00;  1,34
31.12.1963 12:00:00;  1,10
31.01.1964 12:00:00; 0,760
23.02.1964 12:00:00; 0,600
18.03.1964 12:00:00; 0,980
01.04.1964 12:00:00;  2,88
28.05.1964 12:00:00;  6,50
28.06.1964 12:00:00;  1,70
24.07.1964 12:00:00;  2,14
02.08.1964 12:00:00;  2,39
16.09.1964 12:00:00;  3,12
04.10.1964 12:00:00;  1,22
09.11.1964 12:00:00;  3,12
31.12.1964 12:00:00;  1,50
15.01.1965 12:00:00;  1,10
28.02.1965 12:00:00;  1,22
11.03.1965 12:00:00;  1,10
30.04.1965 12:00:00;  5,06
01.05.1965 12:00:00;  8,22
02.06.1965 12:00:00;  15,1
30.07.1965 12:00:00;  11,7
20.08.1965 12:00:00;  3,44
28.09.1965 12:00:00;  3,12
29.10.1965 12:00:00; 0,980
05.11.1965 12:00:00; 0,860
30.12.1965 12:00:00;  1,70
30.01.1966 12:00:00;  1,10
17.02.1966 12:00:00;  3,12
31.03.1966 12:00:00;  2,14
01.04.1966 12:00:00;  1,90
11.05.1966 12:00:00;  13,9
22.06.1966 12:00:00;  11,1
21.07.1966 12:00:00;  9,14
15.08.1966 12:00:00;  7,79
29.09.1966 12:00:00;  2,14
26.10.1966 12:00:00;  1,34
26.11.1966 12:00:00;  1,10
30.12.1966 12:00:00;  2,14
26.01.1967 12:00:00;  1,22
20.02.1967 12:00:00;  1,90
21.03.1967 12:00:00;  1,90
03.04.1967 12:00:00;  2,63
05.05.1967 12:00:00;  10,6
14.06.1967 12:00:00;  11,1
24.07.1967 12:00:00;  6,93
31.08.1967 12:00:00;  2,88
30.09.1967 12:00:00;  2,63
30.10.1967 12:00:00;  1,34
30.11.1967 12:00:00;  1,34
22.12.1967 12:00:00; 0,760
31.01.1968 12:00:00;  1,22
01.02.1968 12:00:00;  1,10
08.03.1968 12:00:00;  1,10
14.04.1968 12:00:00;  4,70
21.05.1968 12:00:00;  9,63
13.06.1968 12:00:00;  8,65
14.07.1968 12:00:00;  4,70
30.08.1968 12:00:00;  3,44
15.09.1968 12:00:00;  2,88
31.10.1968 12:00:00;  1,50
30.11.1968 12:00:00; 0,860
21.12.1968 12:00:00; 0,550
22.01.1969 12:00:00; 0,600
22.02.1969 12:00:00; 0,600
01.03.1969 12:00:00; 0,860
01.04.1969 12:00:00;  1,90
22.05.1969 12:00:00;  9,63
25.06.1969 12:00:00;  6,93
29.07.1969 12:00:00;  2,63
12.08.1969 12:00:00;  1,90
30.09.1969 12:00:00;  1,70
31.10.1969 12:00:00; 0,860
07.11.1969 12:00:00; 0,680
31.12.1969 12:00:00;  1,22
04.01.1970 12:00:00; 0,980
02.02.1970 12:00:00; 0,860
17.03.1970 12:00:00;  1,22
11.04.1970 12:00:00;  1,90
03.05.1970 12:00:00;  5,42
28.06.1970 12:00:00;  22,3
30.07.1970 12:00:00;  11,1
20.08.1970 12:00:00;  6,93
30.09.1970 12:00:00;  1,50
23.10.1970 12:00:00;  1,90
17.11.1970 12:00:00;  4,70
31.12.1970 12:00:00;  1,38
19.01.1971 12:00:00;  1,10
23.02.1971 12:00:00;  1,00
01.03.1971 12:00:00;  1,10
01.04.1971 12:00:00;  4,50
30.05.1971 12:00:00;  9,36
06.06.1971 12:00:00;  11,6
31.07.1971 12:00:00;  2,39
07.08.1971 12:00:00;  1,70
10.09.1971 12:00:00;  1,25
31.10.1971 12:00:00;  1,13
07.11.1971 12:00:00; 0,890
10.12.1971 12:00:00;  1,25
31.01.1972 12:00:00; 0,600
02.02.1972 12:00:00; 0,600
02.03.1972 12:00:00; 0,860
01.04.1972 12:00:00;  3,75
18.05.1972 12:00:00;  6,28
29.06.1972 12:00:00;  4,94
19.07.1972 12:00:00;  5,42
18.08.1972 12:00:00;  2,88
30.09.1972 12:00:00;  2,14
16.10.1972 12:00:00; 0,980
12.11.1972 12:00:00;  3,44
31.12.1972 12:00:00; 0,870
31.01.1973 12:00:00; 0,620
28.02.1973 12:00:00; 0,500
05.03.1973 12:00:00; 0,400
22.04.1973 12:00:00;  2,02
13.05.1973 12:00:00;  14,7
23.06.1973 12:00:00;  7,41
06.07.1973 12:00:00;  5,26
24.08.1973 12:00:00;  1,60
14.09.1973 12:00:00;  1,79
07.10.1973 12:00:00;  2,65
30.11.1973 12:00:00;  2,25
04.12.1973 12:00:00;  1,60
08.01.1974 12:00:00;  1,40
28.02.1974 12:00:00;  1,68
07.03.1974 12:00:00;  1,27
20.04.1974 12:00:00;  3,75
03.05.1974 12:00:00;  7,79
10.06.1974 12:00:00;  10,3
31.07.1974 12:00:00;  6,66
27.08.1974 12:00:00;  2,92
18.09.1974 12:00:00;  2,25
18.10.1974 12:00:00;  4,02
10.11.1974 12:00:00;  3,47
26.12.1974 12:00:00;  2,47
16.01.1975 12:00:00;  2,47
17.02.1975 12:00:00;  1,20
31.03.1975 12:00:00;  1,60
07.04.1975 12:00:00;  1,40
05.05.1975 12:00:00;  8,62
06.06.1975 12:00:00;  9,63
31.07.1975 12:00:00;  7,36
10.08.1975 12:00:00;  3,75
30.09.1975 12:00:00;  2,14
16.10.1975 12:00:00;  1,08
13.11.1975 12:00:00; 0,750
31.12.1975 12:00:00; 0,760
05.01.1976 07:00:00; 0,781
16.02.1976 17:00:00; 0,986
11.03.1976 06:00:00;  1,13
30.04.1976 14:00:00;  4,09
01.05.1976 13:30:00;  4,21
30.06.1976 13:00:00;  3,09
09.07.1976 17:30:00;  2,04
30.08.1976 01:30:00;  3,16
28.09.1976 13:30:00;  3,22
27.10.1976 10:00:00;  1,98
25.11.1976 11:00:00;  1,44
31.12.1976 23:30:00; 0,894
17.01.1977 19:00:00; 0,853
03.02.1977 13:00:00;  1,48
01.03.1977 10:00:00;  2,91
13.04.1977 12:30:00;  4,01
10.05.1977 12:30:00;  8,84
18.06.1977 10:00:00;  9,41
25.07.1977 13:00:00;  5,17
31.08.1977 23:59:55;  5,63
28.09.1977 09:00:00;  2,27
31.10.1977 13:30:00;  1,58
01.11.1977 00:00:00;  1,71
07.12.1977 08:30:00;  1,78
20.01.1978 20:30:00;  1,46
17.02.1978 03:30:00; 0,650
27.03.1978 15:00:00;  2,92
18.04.1978 09:00:00;  3,36
16.05.1978 15:00:00;  9,18
22.06.1978 08:00:00;  13,0
31.07.1978 15:00:00;  5,92
30.08.1978 07:00:00;  1,74
25.09.1978 13:00:00;  1,84
17.10.1978 11:00:00;  2,27
30.11.1978 14:30:00; 0,637
06.12.1978 21:30:00; 0,427
16.01.1979 16:00:00; 0,825
26.02.1979 10:00:00; 0,782
03.03.1979 07:30:00;  1,04
08.04.1979 04:00:00;  2,27
07.05.1979 09:30:00;  3,75
30.06.1979 23:59:55;  11,0
28.07.1979 15:30:00;  3,24
02.08.1979 16:30:00;  3,81
20.09.1979 18:00:00;  2,02
31.10.1979 23:59:55;  1,45
02.11.1979 12:00:00;  1,33
31.12.1979 23:59:55;  2,22
28.01.1980 09:30:00;  1,29
20.02.1980 10:30:00;  1,70
11.03.1980 14:30:00;  1,25
11.04.1980 10:30:00;  2,77
01.05.1980 12:00:00;  9,09
03.06.1980 11:00:00;  16,2
31.07.1980 15:30:00;  5,92
27.08.1980 16:30:00;  2,50
30.09.1980 23:59:55;  1,80
06.10.1980 13:00:00;  1,23
14.11.1980 12:00:00;  1,42
31.12.1980 05:00:00; 0,976
23.01.1981 05:00:00; 0,853
04.02.1981 04:00:00; 0,976
03.03.1981 22:00:00;  1,14
30.04.1981 12:00:00;  5,89
06.05.1981 14:30:00;  6,98
30.06.1981 16:00:00;  5,30
01.07.1981 14:30:00;  4,94
31.08.1981 12:00:00;  2,08
01.09.1981 00:00:00;  2,68
29.10.1981 10:30:00;  5,48
16.11.1981 11:00:00;  2,53
28.12.1981 22:30:00;  1,76
30.01.1982 00:00:00;  1,89
27.02.1982 10:30:00;  1,59
22.03.1982 13:30:00;  1,37
15.04.1982 13:30:00;  4,34
02.05.1982 12:00:00;  5,51
21.06.1982 12:30:00;  14,9
25.07.1982 17:30:00;  3,37
15.08.1982 18:00:00;  3,48
18.09.1982 18:30:00;  2,16
31.10.1982 14:00:00;  2,27
17.11.1982 11:00:00;  1,11
30.12.1982 07:00:00;  1,46
02.01.1983 07:30:00;  1,39
17.02.1983 09:30:00;  1,23
04.03.1983 09:30:00;  1,74
06.04.1983 09:00:00;  3,86
28.05.1983 10:30:00;  7,53
30.06.1983 13:30:00;  7,72
28.07.1983 18:00:00;  2,01
01.08.1983 15:30:00;  1,87
30.09.1983 23:59:55;  2,65
08.10.1983 15:00:00;  1,72
23.11.1983 09:30:00; 0,688
12.12.1983 09:00:00;  1,48
26.01.1984 09:00:00;  1,61
29.02.1984 16:00:00;  1,09
10.03.1984 08:00:00; 0,754
07.04.1984 12:00:00;  2,16
01.05.1984 09:30:00;  6,46
09.06.1984 02:30:00;  13,0
24.07.1984 11:30:00;  4,81
24.08.1984 15:00:00;  3,74
03.09.1984 19:00:00;  2,84
31.10.1984 10:30:00;  1,65
16.11.1984 17:00:00; 0,831
13.12.1984 17:00:00; 0,765
15.01.1985 05:30:00; 0,668
24.02.1985 10:00:00;  1,37
18.03.1985 17:00:00; 0,888
01.04.1985 13:00:00;  3,94
04.05.1985 09:30:00;  6,43
19.06.1985 13:00:00;  10,8
29.07.1985 10:00:00;  3,46
19.08.1985 20:30:00;  3,85
26.09.1985 11:30:00;  2,05
29.10.1985 09:30:00; 0,941
04.11.1985 14:00:00;  1,16
31.12.1985 23:59:55;  1,36
08.01.1986 02:15:00; 0,811
27.02.1986 07:00:00; 0,496
01.03.1986 12:00:00; 0,690
20.04.1986 21:00:00;  4,29
10.05.1986 12:00:00;  12,7
30.06.1986 12:00:00;  6,32
31.07.1986 12:45:00;  4,54
11.08.1986 17:15:00;  3,10
30.09.1986 23:59:55;  1,72
17.10.1986 18:45:00; 0,915
20.11.1986 23:45:00;  1,83
17.12.1986 17:45:00;  1,05
25.01.1987 21:45:00;  1,09
01.02.1987 13:00:00;  1,32
21.03.1987 07:15:00;  1,37
02.04.1987 19:15:00;  2,82
08.05.1987 10:15:00;  9,39
23.06.1987 13:00:00;  14,8
15.07.1987 10:45:00;  9,67
23.08.1987 13:15:00;  4,01
22.09.1987 17:15:00;  2,20
10.10.1987 17:45:00;  1,44
10.11.1987 19:15:00;  1,08
03.12.1987 05:15:00;  1,84
23.01.1988 04:00:00;  1,59
28.02.1988 12:00:00;  1,06
08.03.1988 11:00:00; 0,586
02.04.1988 16:45:00;  3,32
23.05.1988 10:45:00;  15,6
26.06.1988 15:45:00;  7,81
27.07.1988 07:45:00;  5,52
20.08.1988 01:45:00;  2,53
28.09.1988 15:30:00;  2,18
28.10.1988 16:00:00;  1,57
09.11.1988 09:30:00;  1,57
17.12.1988 04:15:00;  2,89
24.01.1989 07:15:00;  1,10
17.02.1989 07:15:00;  1,27
03.03.1989 04:30:00;  3,32
30.04.1989 23:59:55;  6,22
02.05.1989 03:30:00;  5,52
21.06.1989 11:15:00;  5,88
24.07.1989 00:00:00;  3,41
27.08.1989 00:15:00;  1,96
25.09.1989 19:00:00;  3,05
05.10.1989 19:45:00;  2,79
26.11.1989 12:45:00;  1,88
10.12.1989 11:15:00;  1,15
19.01.1990 12:15:00; 1,000
07.02.1990 13:45:00;  1,15
08.03.1990 11:00:00;  3,64
13.04.1990 11:30:00;  3,60
31.05.1990 12:15:00;  5,88
01.06.1990 15:15:00;  5,58
30.07.1990 09:15:00;  1,76
24.08.1990 20:15:00;  1,39
01.09.1990 23:15:00;  2,18
24.10.1990 15:00:00;  1,22
30.11.1990 23:59:55;  2,45
17.12.1990 08:45:00;  1,22
31.01.1991 23:59:55; 0,993
07.02.1991 07:30:00; 0,528
02.03.1991 13:15:00;  2,40
22.04.1991 02:15:00;  2,89
05.05.1991 10:00:00;  4,91
05.06.1991 15:45:00;  8,99
12.07.1991 05:15:00;  3,41
30.08.1991 16:15:00;  1,06
20.09.1991 21:15:00; 0,528
15.10.1991 10:15:00;  1,22
02.11.1991 08:45:00;  1,76
10.12.1991 09:45:00; 0,770
22.01.1992 03:30:00; 0,643
04.02.1992 22:15:00;  1,06
03.03.1992 15:30:00;  2,45
02.04.1992 10:15:00;  3,41
01.05.1992 06:45:00;  13,2
30.06.1992 11:45:00;  6,39
31.07.1992 15:30:00;  3,06
20.08.1992 02:30:00;  1,85
29.09.1992 05:00:00;  1,85
17.10.1992 13:45:00;  2,06
01.11.1992 11:15:00;  6,00
28.12.1992 14:30:00;  1,68
05.01.1993 00:00:00;  1,06
21.02.1993 13:15:00;  1,06
09.03.1993 11:15:00; 0,908
06.04.1993 01:00:00;  4,19
23.05.1993 12:00:00;  7,63
30.06.1993 18:45:00;  2,92
02.07.1993 09:15:00;  2,45
21.08.1993 08:30:00;  2,63
23.09.1993 23:45:00;  2,81
20.10.1993 13:30:00;  3,67
30.11.1993 02:15:00;  1,89
03.12.1993 16:00:00;  1,89
19.01.1994 05:45:00;  2,09
14.02.1994 09:15:00;  1,52
01.03.1994 14:30:00;  4,30
13.04.1994 00:45:00;  3,32
07.05.1994 01:45:00;  9,58
26.06.1994 14:00:00;  6,62
28.07.1994 23:30:00;  3,05
08.08.1994 10:15:00;  2,32
30.09.1994 10:00:00;  2,32
21.10.1994 21:45:00;  1,66
10.11.1994 08:30:00;  2,06
26.12.1994 00:00:00;  1,85
21.01.1995 23:15:00;  1,85
06.02.1995 20:45:00;  2,37
09.03.1995 10:15:00;  1,70
01.04.1995 11:45:00;  2,62
22.05.1995 11:30:00;  9,52
25.06.1995 12:00:00;  8,98
31.07.1995 18:45:00;  2,89
05.08.1995 17:45:00;  1,91
27.09.1995 02:15:00;  3,72
30.10.1995 14:30:00;  1,01
01.11.1995 22:45:00;  1,16
15.12.1995 01:30:00;  1,32
31.01.1996 08:00:00; 0,877
24.02.1996 10:00:00; 0,541
05.03.1996 10:15:00; 0,641
05.04.1996 13:00:00;  2,33
04.05.1996 14:15:00;  7,33
18.06.1996 19:30:00;  3,47
28.07.1996 09:00:00;  2,62
01.08.1996 17:30:00;  2,89
12.09.1996 22:15:00;  1,88
16.10.1996 04:15:00;  2,33
24.11.1996 10:15:00;  3,47
03.12.1996 12:15:00;  2,92
22.01.1997 10:26:25;  1,54
07.02.1997 07:01:25;  1,50
01.03.1997 13:19:25;  3,43
24.04.1997 14:03:05;  3,71
10.05.1997 08:44:15;  7,69
16.06.1997 14:01:45;  6,33
16.07.1997 23:59:55;  3,57
25.08.1997 20:21:35;  2,09
30.09.1997 19:42:55;  1,41
10.10.1997 12:30:00;  1,06
29.11.1997 04:16:55;  1,42
05.12.1997 15:15:50;  1,35
30.01.1998 09:42:10;  1,80
01.02.1998 13:18:50;  1,74
25.03.1998 10:16:45;  2,31
20.04.1998 11:25:35;  4,19
26.05.1998 13:43:05;  6,02
30.06.1998 14:18:55;  4,53
27.07.1998 02:20:40;  2,81
21.08.1998 03:37:55;  1,60
02.09.1998 09:16:25;  2,62
01.10.1998 00:00:00;  5,75
30.11.1998 16:43:25;  2,51
12.12.1998 00:03:35;  2,06
31.01.1999 23:59:55;  1,47
18.02.1999 15:00:00;  1,26
24.03.1999 01:42:45;  3,78
20.04.1999 12:08:15;  5,24
17.05.1999 11:23:15;  22,1
29.06.1999 09:57:35;  12,7
31.07.1999 22:56:45;  4,78
09.08.1999 17:01:00;  3,02
24.09.1999 01:18:20;  2,06
31.10.1999 00:23:50;  2,05
23.11.1999 09:39:15;  1,12
17.12.1999 11:49:15;  2,02
29.01.2000 19:29:20;  1,28
23.02.2000 07:16:25;  2,36
06.03.2000 09:03:20;  2,86
01.04.2000 23:02:05;  3,89
21.05.2000 13:16:50;  13,6
27.06.2000 10:29:30;  5,76
01.07.2000 11:06:15;  6,21
30.08.2000 06:13:55;  1,67
20.09.2000 11:48:50;  2,23
31.10.2000 01:24:05;  2,05
02.11.2000 09:41:50;  2,70
31.12.2000 23:52:40;  1,47
21.01.2001 09:33:45;  1,25
02.02.2001 03:42:20;  1,23
03.03.2001 04:12:50;  1,50
23.04.2001 07:05:30;  3,22
20.05.2001 12:10:30;  12,1
27.06.2001 09:48:55;  6,95
31.07.2001 02:09:20;  3,32
30.08.2001 05:50:05;  1,76
04.09.2001 00:45:40;  3,46
20.10.2001 22:02:35;  1,72
25.11.2001 07:37:30;  1,77
21.12.2001 12:33:55;  1,45
16.01.2002 15:10:25;  1,30
08.02.2002 09:55:00;  2,52
04.03.2002 10:19:50;  3,45
21.04.2002 14:29:10;  4,42
25.05.2002 12:12:10;  7,98
27.06.2002 14:35:30;  3,69
31.07.2002 04:05:00;  3,18
31.08.2002 08:34:55;  3,51
19.09.2002 02:33:25;  1,47
31.10.2002 23:59:55;  3,75
02.11.2002 06:14:40;  3,34
16.12.2002 07:44:50;  1,55
27.01.2003 10:25:50;  1,72
18.02.2003 01:54:55;  1,17
05.03.2003 10:31:35;  3,06
11.04.2003 13:01:20;  3,37
17.05.2003 12:17:15;  6,46
30.06.2003 23:59:55;  1,69
21.07.2003 06:19:30;  1,40
26.08.2003 10:22:30; 0,552
09.09.2003 18:06:40;  1,21
03.10.2003 00:19:55;  1,41
12.11.2003 15:51:40;  2,13
14.12.2003 00:47:15;  1,85
04.01.2004 15:32:55;  1,60
04.02.2004 00:27:15;  1,66
04.03.2004 07:04:00;  1,43
14.04.2004 13:54:35;  3,92
10.05.2004 13:02:10;  8,97
30.06.2004 13:39:30;  5,66
23.07.2004 02:35:35;  2,98
11.08.2004 15:59:00;  2,29
22.09.2004 07:02:50;  2,00
31.10.2004 23:59:55;  2,71
17.11.2004 00:00:55;  1,88
22.12.2004 06:58:20; 0,702
30.01.2005 19:06:55; 0,942
28.02.2005 10:02:15; 0,699
01.03.2005 09:45:10; 0,641
12.04.2005 07:14:25;  5,88
12.05.2005 12:49:20;  10,1
29.06.2005 15:37:55;  3,78
29.07.2005 03:59:25;  2,79
01.08.2005 21:54:30;  2,82
27.09.2005 12:21:25;  1,79
31.10.2005 23:59:55;  1,28
24.11.2005 10:30:00; 0,875
11.12.2005 06:45:00; 0,779
27.01.2006 09:12:00; 0,619
15.02.2006 16:27:00; 0,603
07.03.2006 22:57:00; 0,754
13.04.2006 09:21:50;  5,03
01.05.2006 11:36:50;  10,0
30.06.2006 14:45:00;  3,23
27.07.2006 13:46:30;  1,71
01.08.2006 00:00:00;  5,22
30.09.2006 23:06:15;  4,54
28.10.2006 22:06:15;  2,25
30.11.2006 22:11:15;  2,58
30.12.2006 07:45:00;  1,73
01.01.2007 02:45:00;  2,15
08.02.2007 10:00:00;  1,54
25.03.2007 08:25:00;  2,84
01.04.2007 13:25:00;  4,80
27.05.2007 20:31:20;  4,43
11.06.2007 10:20:00;  5,16
21.07.2007 18:50:00;  3,95
28.08.2007 16:25:00;  3,16
18.09.2007 00:55:00;  4,06
17.10.2007 19:45:00;  1,72
05.11.2007 15:35:00;  1,50
31.12.2007 23:50:00;  1,60
02.01.2008 09:25:00;  1,03
03.02.2008 08:48:15;  1,33
28.03.2008 07:05:00;  2,38
08.04.2008 04:00:00;  3,22
22.05.2008 12:40:00;  14,0
29.06.2008 11:35:00;  6,72
30.07.2008 17:00:00;  4,97
31.08.2008 20:10:00;  3,01
30.09.2008 16:15:00;  1,54
02.10.2008 13:30:00;  1,60
19.11.2008 14:40:00;  1,23
11.12.2008 05:50:00;  1,47
31.01.2009 13:10:00; 0,916
27.02.2009 11:45:00; 0,798
12.03.2009 09:50:00;  1,33
01.04.2009 11:10:00;  4,83
31.05.2009 13:40:00;  5,90
05.06.2009 12:15:00;  4,08
17.07.2009 04:20:00;  4,96
31.08.2009 23:10:00;  1,84
30.09.2009 16:55:00;  1,40
10.10.2009 08:35:00;  1,00
12.11.2009 11:15:00;  2,39
22.12.2009 04:55:00;  1,68
30.01.2010 10:05:00;  1,11
13.02.2010 07:20:00; 0,887
17.03.2010 08:25:00;  1,42
06.04.2010 10:10:00;  4,84
21.05.2010 10:05:00;  8,81
30.06.2010 12:00:00;  4,19
16.07.2010 15:40:00;  1,78
27.08.2010 05:00:00;  4,99
24.09.2010 14:40:00;  2,65
19.10.2010 15:15:00;  1,66
30.11.2010 09:55:00;  1,98
04.12.2010 04:25:00;  1,72
04.01.2011 03:10:00;  1,32
23.02.2011 10:10:00; 0,925
03.03.2011 09:45:00;  1,36
28.04.2011 12:50:00;  4,12
06.05.2011 12:25:00;  3,70
29.06.2011 17:55:00;  4,31
12.07.2011 20:30:00;  2,44
26.08.2011 17:05:00;  2,14
04.09.2011 11:15:00;  1,87
31.10.2011 17:50:20;  1,43
26.11.2011 12:00:00; 0,763
01.12.2011 12:05:00; 0,843
18.01.2012 05:55:00;  1,68
21.02.2012 12:25:00;  1,25
12.03.2012 10:49:05;  2,90
19.04.2012 10:35:05;  5,54
17.05.2012 08:05:00;  10,9
30.06.2012 12:20:00;  6,68
28.07.2012 07:50:00;  3,52
20.08.2012 16:00:00;  2,09
11.09.2012 16:30:00;  2,89
31.10.2012 10:40:00;  2,80
30.11.2012 21:40:00;  1,97
11.12.2012 11:00:00;  1,47
26.01.2013 09:55:00;  1,36
23.02.2013 09:00:00;  1,38
01.03.2013 09:35:00;  1,87
01.04.2013 07:35:00;  2,53
25.05.2013 13:25:00;  7,30
23.06.2013 12:45:00;  5,89
28.07.2013 16:30:00;  2,19
