Messstelle:                ;Kniewas
25.01.1960 12:00:00;  1,40
16.02.1960 12:00:00;  1,40
27.03.1960 12:00:00;  4,25
04.04.1960 12:00:00;  4,77
03.05.1960 12:00:00;  4,51
27.06.1960 12:00:00;  10,8
06.07.1960 12:00:00;  7,78
30.08.1960 12:00:00;  6,85
30.09.1960 12:00:00;  4,54
08.10.1960 12:00:00;  5,02
28.11.1960 12:00:00;  3,25
30.12.1960 12:00:00;  1,92
30.01.1961 12:00:00;  1,50
01.02.1961 12:00:00;  1,60
06.03.1961 12:00:00;  5,02
03.04.1961 12:00:00;  10,8
02.05.1961 12:00:00;  8,40
02.06.1961 12:00:00;  11,9
27.07.1961 12:00:00;  7,78
15.08.1961 12:00:00;  8,40
30.09.1961 12:00:00;  4,30
30.10.1961 12:00:00;  3,08
30.11.1961 12:00:00;  2,57
04.12.1961 12:00:00;  2,40
21.01.1962 12:00:00;  3,08
07.02.1962 12:00:00;  3,25
27.03.1962 12:00:00;  4,07
16.04.1962 12:00:00;  6,30
06.05.1962 12:00:00;  11,5
10.06.1962 12:00:00;  12,4
02.07.1962 12:00:00;  12,9
31.08.1962 12:00:00;  6,67
16.09.1962 12:00:00;  4,31
27.10.1962 12:00:00;  2,43
30.11.1962 12:00:00;  2,58
15.12.1962 12:00:00;  2,43
26.01.1963 12:00:00;  2,24
23.02.1963 12:00:00;  2,24
07.03.1963 12:00:00;  2,24
05.04.1963 12:00:00;  4,78
08.05.1963 12:00:00;  8,16
18.06.1963 12:00:00;  12,9
26.07.1963 12:00:00;  5,39
04.08.1963 12:00:00;  4,78
25.09.1963 12:00:00;  2,84
31.10.1963 12:00:00;  4,01
07.11.1963 12:00:00;  3,06
31.12.1963 12:00:00;  2,08
31.01.1964 12:00:00;  1,76
24.02.1964 12:00:00;  1,76
10.03.1964 12:00:00;  2,08
09.04.1964 12:00:00;  7,42
02.05.1964 12:00:00;  10,2
29.06.1964 12:00:00;  7,60
01.07.1964 12:00:00;  8,40
30.08.1964 12:00:00;  7,60
06.09.1964 12:00:00;  4,35
08.10.1964 12:00:00;  4,35
14.11.1964 12:00:00;  4,35
31.12.1964 12:00:00;  4,35
31.01.1965 12:00:00;  2,89
28.02.1965 12:00:00;  1,90
11.03.1965 12:00:00;  1,60
20.04.1965 12:00:00;  10,5
02.05.1965 12:00:00;  10,5
03.06.1965 12:00:00;  16,9
15.07.1965 12:00:00;  13,9
23.08.1965 12:00:00;  11,5
26.09.1965 12:00:00;  8,90
31.10.1965 12:00:00;  3,48
19.11.1965 12:00:00;  3,36
05.12.1965 12:00:00;  3,48
22.01.1966 12:00:00;  2,80
01.02.1966 12:00:00;  3,60
09.03.1966 12:00:00;  4,32
01.04.1966 12:00:00;  4,94
16.05.1966 12:00:00;  12,4
01.06.1966 12:00:00;  14,5
31.07.1966 12:00:00;  16,1
15.08.1966 12:00:00;  12,9
30.09.1966 12:00:00;  10,6
31.10.1966 12:00:00;  5,38
30.11.1966 12:00:00;  3,78
17.12.1966 12:00:00;  3,60
24.01.1967 12:00:00;  3,48
19.02.1967 12:00:00;  3,48
19.03.1967 12:00:00;  8,18
04.04.1967 12:00:00;  8,18
23.05.1967 12:00:00;  13,4
19.06.1967 12:00:00;  12,4
08.07.1967 12:00:00;  14,5
20.08.1967 12:00:00;  11,0
30.09.1967 12:00:00;  3,14
31.10.1967 12:00:00;  2,50
05.11.1967 12:00:00;  2,30
22.12.1967 12:00:00;  1,98
14.01.1968 12:00:00;  2,91
07.02.1968 12:00:00;  3,32
07.03.1968 12:00:00;  3,32
14.04.1968 12:00:00;  7,30
25.05.1968 12:00:00;  9,78
12.06.1968 12:00:00;  9,78
11.07.1968 12:00:00;  8,20
06.08.1968 12:00:00;  12,4
18.09.1968 12:00:00;  8,16
31.10.1968 12:00:00;  6,00
24.11.1968 12:00:00;  2,43
20.12.1968 12:00:00;  2,43
14.01.1969 12:00:00;  2,42
20.02.1969 12:00:00;  1,88
09.03.1969 12:00:00;  2,60
01.04.1969 12:00:00;  3,48
22.05.1969 12:00:00;  8,20
26.06.1969 12:00:00;  7,52
31.07.1969 12:00:00;  5,34
13.08.1969 12:00:00;  3,70
30.09.1969 12:00:00;  3,04
24.10.1969 12:00:00;  1,70
10.11.1969 12:00:00;  1,70
30.12.1969 12:00:00;  1,22
10.01.1970 12:00:00;  1,22
02.02.1970 12:00:00;  1,54
17.03.1970 12:00:00;  1,88
06.04.1970 12:00:00;  3,97
29.05.1970 12:00:00;  9,28
05.06.1970 12:00:00;  16,9
07.07.1970 12:00:00;  12,8
30.08.1970 12:00:00;  10,0
30.09.1970 12:00:00;  5,34
01.10.1970 12:00:00;  5,34
08.11.1970 12:00:00;  6,21
31.12.1970 12:00:00;  3,47
31.01.1971 12:00:00;  2,20
08.02.1971 12:00:00;  1,94
13.03.1971 12:00:00;  1,81
01.04.1971 12:00:00;  4,62
01.05.1971 12:00:00;  7,69
17.06.1971 12:00:00;  9,01
31.07.1971 12:00:00;  5,14
21.08.1971 12:00:00;  3,89
28.09.1971 12:00:00;  3,68
29.10.1971 12:00:00;  2,88
16.11.1971 12:00:00;  2,07
05.12.1971 12:00:00;  2,20
31.01.1972 12:00:00;  1,68
07.02.1972 12:00:00;  1,55
07.03.1972 12:00:00;  1,94
01.04.1972 12:00:00;  3,26
02.05.1972 12:00:00;  5,66
29.06.1972 12:00:00;  9,34
03.07.1972 12:00:00;  7,69
31.08.1972 12:00:00;  5,92
23.09.1972 12:00:00;  3,47
22.10.1972 12:00:00;  2,71
13.11.1972 12:00:00;  3,89
29.12.1972 12:00:00;  1,68
29.01.1973 12:00:00;  1,00
19.02.1973 12:00:00;  1,22
16.03.1973 12:00:00;  1,44
17.04.1973 12:00:00;  4,10
17.05.1973 12:00:00;  11,3
17.06.1973 12:00:00;  16,4
21.07.1973 12:00:00;  6,70
20.08.1973 12:00:00;  4,12
21.09.1973 12:00:00;  3,16
16.10.1973 12:00:00;  3,34
13.11.1973 12:00:00;  3,91
04.12.1973 12:00:00;  4,33
11.01.1974 12:00:00;  3,70
28.02.1974 12:00:00;  4,54
11.03.1974 12:00:00;  4,33
27.04.1974 12:00:00;  5,83
08.05.1974 12:00:00;  7,50
10.06.1974 12:00:00;  14,4
31.07.1974 12:00:00;  14,9
31.08.1974 12:00:00;  6,66
18.09.1974 12:00:00;  4,54
16.10.1974 12:00:00;  3,91
14.11.1974 12:00:00;  3,70
26.12.1974 12:00:00;  5,83
24.01.1975 12:00:00;  4,90
27.02.1975 12:00:00;  3,18
01.03.1975 12:00:00;  3,56
02.04.1975 12:00:00;  4,19
05.05.1975 12:00:00;  11,9
08.06.1975 12:00:00;  11,4
31.07.1975 12:00:00;  15,8
31.08.1975 12:00:00;  9,92
30.09.1975 12:00:00;  4,54
31.10.1975 12:00:00;  2,84
28.11.1975 12:00:00;  1,68
15.12.1975 12:00:00;  1,55
01.01.1976 00:00:00; Lücke
01.01.1976 01:00:00;  2,24
31.01.1976 23:59:55;  3,81
20.02.1976 14:00:00;  2,15
12.03.1976 11:00:00;  2,14
01.04.1976 12:00:00;  4,42
01.05.1976 14:00:00;  5,01
29.06.1976 15:00:00;  10,7
19.07.1976 18:00:00;  7,66
31.08.1976 15:00:00;  6,42
29.09.1976 16:00:00;  4,72
29.10.1976 16:00:00;  2,92
11.11.1976 17:00:00;  2,85
31.12.1976 00:00:05;  2,81
21.01.1977 14:00:00;  2,22
03.02.1977 11:00:00;  3,04
02.03.1977 09:00:00;  4,09
13.04.1977 11:00:00;  5,26
10.05.1977 18:00:00;  10,8
04.06.1977 15:00:00;  9,48
29.07.1977 17:00:00;  6,19
31.08.1977 19:00:00;  5,32
29.09.1977 16:00:00;  3,97
31.10.1977 17:00:00;  2,61
02.11.1977 14:00:00;  2,59
05.12.1977 21:00:00;  2,57
24.01.1978 06:00:00;  2,51
19.02.1978 08:00:00;  1,84
25.03.1978 11:00:00;  3,88
16.04.1978 14:00:00;  4,81
15.05.1978 06:00:00;  7,72
30.06.1978 00:00:00;  8,41
31.07.1978 17:00:00;  8,48
30.08.1978 18:00:00;  4,59
22.09.1978 02:00:00;  5,84
22.10.1978 19:00:00;  4,10
27.11.1978 14:00:00;  2,35
09.12.1978 04:00:00;  2,20
25.01.1979 19:00:00;  2,02
27.02.1979 19:00:00;  2,31
01.03.1979 12:00:00;  2,24
02.04.1979 11:00:00;  4,96
08.05.1979 15:00:00;  6,05
09.06.1979 13:00:00;  13,3
07.07.1979 07:00:00;  10,3
31.08.1979 13:00:00;  5,63
20.09.1979 17:00:00;  3,60
31.10.1979 23:59:55;  2,51
01.11.1979 19:00:00;  2,47
31.12.1979 13:00:00;  2,47
17.01.1980 09:00:00;  2,00
01.02.1980 00:00:00;  2,31
11.03.1980 14:00:00;  2,25
01.04.1980 08:00:00;  5,20
19.05.1980 18:00:00;  7,71
03.06.1980 13:00:00;  10,1
01.07.1980 14:00:00;  13,3
28.08.1980 18:00:00;  7,93
30.09.1980 17:00:00;  5,35
07.10.1980 21:00:00;  3,88
14.11.1980 15:00:00;  3,23
11.12.1980 22:00:00;  2,90
28.01.1981 16:00:00;  2,90
23.02.1981 21:00:00;  2,22
03.03.1981 06:00:00;  2,62
30.04.1981 13:00:00;  5,62
01.05.1981 00:00:00;  6,08
21.06.1981 19:00:00;  8,59
13.07.1981 15:00:00;  7,51
16.08.1981 15:00:00;  6,25
13.09.1981 10:00:00;  5,43
09.10.1981 13:00:00;  4,49
18.11.1981 10:00:00;  5,32
27.12.1981 13:00:00;  3,08
29.01.1982 03:00:00;  2,55
28.02.1982 23:59:55;  2,64
01.03.1982 00:00:00;  2,64
24.04.1982 12:00:00;  4,44
01.05.1982 09:00:00;  5,15
16.06.1982 12:00:00;  13,6
18.07.1982 13:00:00;  11,5
28.08.1982 22:00:00;  4,57
21.09.1982 10:00:00;  2,19
31.10.1982 21:00:00;  2,76
13.11.1982 12:00:00;  1,84
07.12.1982 18:00:00;  1,71
25.01.1983 14:00:00;  2,29
24.02.1983 10:00:00;  3,00
07.03.1983 12:00:00;  3,15
06.04.1983 15:00:00;  4,86
28.05.1983 15:00:00;  8,53
19.06.1983 07:00:00;  11,5
28.07.1983 16:00:00;  6,37
31.08.1983 18:00:00;  3,47
02.09.1983 14:00:00;  3,36
31.10.1983 10:00:00;  3,40
24.11.1983 14:00:00;  1,41
16.12.1983 13:00:00;  2,27
30.01.1984 16:15:00;  2,31
02.02.1984 10:00:00;  2,29
12.03.1984 13:30:00;  2,29
10.04.1984 12:15:00;  4,52
01.05.1984 13:45:00;  5,10
08.06.1984 17:15:00;  11,1
23.07.1984 17:00:00;  8,60
31.08.1984 18:45:00;  6,25
10.09.1984 11:30:00;  4,34
31.10.1984 11:15:00;  2,42
15.11.1984 09:45:00;  1,48
10.12.1984 19:00:00;  1,16
21.01.1985 17:00:00; 0,993
25.02.1985 13:30:00;  1,74
19.03.1985 10:30:00;  1,90
29.04.1985 09:45:00;  4,60
01.05.1985 00:00:00;  6,40
19.06.1985 16:00:00;  10,5
30.07.1985 21:00:00;  6,84
26.08.1985 02:30:00;  7,90
30.09.1985 10:45:00;  4,24
28.10.1985 15:45:00;  2,12
05.11.1985 18:30:00;  1,58
01.12.1985 00:00:00;  2,20
10.01.1986 13:00:00;  2,07
17.02.1986 12:15:00;  1,70
03.03.1986 11:45:00;  1,59
21.04.1986 15:15:00;  5,27
10.05.1986 21:15:00;  9,18
09.06.1986 16:15:00;  8,09
31.07.1986 20:30:00;  4,88
07.08.1986 15:45:00;  3,59
29.09.1986 08:30:00;  2,27
07.10.1986 18:45:00;  1,47
30.11.1986 12:30:00;  1,87
09.12.1986 11:00:00;  1,47
29.01.1987 12:15:00;  1,99
05.02.1987 11:45:00;  2,01
23.03.1987 21:30:00;  2,20
03.04.1987 21:15:00;  4,50
24.05.1987 11:45:00;  10,2
19.06.1987 13:00:00;  14,6
24.07.1987 14:15:00;  12,9
27.08.1987 18:30:00;  8,30
23.09.1987 19:45:00;  4,19
17.10.1987 16:15:00;  3,10
16.11.1987 13:00:00;  2,57
14.12.1987 11:30:00;  2,56
25.01.1988 13:45:00;  2,17
28.02.1988 16:30:00;  2,31
10.03.1988 11:00:00;  2,02
02.04.1988 13:30:00;  8,18
23.05.1988 13:45:00;  12,4
30.06.1988 15:30:00;  12,4
29.07.1988 16:00:00;  9,53
11.08.1988 18:15:00;  7,20
30.09.1988 12:45:00;  5,22
20.10.1988 06:15:00;  2,78
12.11.1988 13:15:00;  3,31
04.12.1988 19:30:00;  4,69
25.01.1989 16:00:00;  2,05
01.02.1989 00:00:00;  2,50
02.03.1989 11:45:00;  3,63
24.04.1989 16:00:00;  5,98
01.05.1989 00:00:00;  5,98
07.06.1989 17:45:00;  9,34
22.07.1989 15:45:00;  10,9
27.08.1989 14:45:00;  6,28
25.09.1989 18:15:00;  5,13
13.10.1989 14:30:00;  4,86
29.11.1989 14:00:00;  2,40
10.12.1989 06:15:00;  1,73
22.01.1990 10:45:00;  1,17
06.02.1990 15:00:00;  1,58
05.03.1990 11:30:00;  4,34
06.04.1990 13:00:00;  4,34
01.05.1990 00:00:00;  6,62
01.06.1990 14:00:00;  7,56
30.07.1990 17:00:00;  4,34
14.08.1990 23:15:00;  3,19
02.09.1990 12:30:00;  3,40
26.10.1990 19:45:00;  2,22
09.11.1990 17:15:00;  2,58
07.12.1990 12:00:00;  2,22
28.01.1991 23:15:00;  1,58
23.02.1991 11:15:00;  1,17
01.03.1991 17:30:00;  2,40
25.04.1991 13:45:00;  3,19
01.05.1991 11:45:00;  4,34
06.06.1991 11:30:00;  10,9
13.07.1991 16:30:00;  10,1
31.08.1991 23:59:55;  3,36
13.09.1991 14:45:00;  2,32
29.10.1991 16:30:00;  2,02
01.11.1991 20:15:00;  2,17
08.12.1991 09:30:00;  1,61
29.01.1992 21:00:00;  2,82
24.02.1992 00:00:00;  2,65
01.03.1992 16:00:00;  3,78
18.04.1992 06:45:00;  5,57
21.05.1992 13:45:00;  13,6
30.06.1992 15:30:00;  11,5
30.07.1992 12:45:00;  5,57
31.08.1992 22:15:00;  3,28
27.09.1992 09:45:00;  2,56
16.10.1992 17:45:00;  2,91
19.11.1992 09:00:00;  4,34
28.12.1992 10:30:00;  4,04
03.01.1993 11:30:00;  3,23
25.02.1993 23:00:00;  2,51
09.03.1993 09:00:00;  2,34
01.04.1993 01:15:00;  5,71
24.05.1993 13:00:00;  13,0
15.06.1993 12:00:00;  11,8
12.07.1993 14:00:00;  9,30
22.08.1993 22:30:00;  4,49
24.09.1993 16:30:00;  3,83
15.10.1993 14:30:00;  2,86
30.11.1993 04:30:00;  1,89
01.12.1993 05:00:00;  2,03
23.01.1994 18:00:00;  2,53
20.02.1994 16:00:00;  1,75
05.03.1994 09:15:00;  3,42
13.04.1994 08:45:00;  5,20
12.05.1994 14:00:00; 10,00
30.06.1994 15:30:00;  11,5
31.07.1994 13:45:00;  4,04
08.08.1994 13:30:00;  3,23
28.09.1994 09:15:00;  2,34
01.10.1994 13:15:00;  2,03
10.11.1994 21:00:00;  2,34
27.12.1994 00:15:00;  3,04
22.01.1995 13:00:00;  2,19
04.02.1995 22:00:00;  4,49
17.03.1995 08:00:00;  2,51
01.04.1995 00:00:00;  4,72
23.05.1995 08:00:00; 10,00
18.06.1995 18:30:00;  13,9
31.07.1995 17:00:00;  7,69
13.08.1995 17:15:00;  4,49
30.09.1995 23:59:55;  5,72
27.10.1995 22:00:00;  2,19
01.11.1995 05:00:00;  3,23
14.12.1995 16:15:00;  2,19
30.01.1996 15:00:00;  1,61
07.02.1996 06:00:00;  1,48
01.03.1996 11:15:00;  1,48
04.04.1996 01:15:00;  3,42
06.05.1996 10:30:00;  11,5
17.06.1996 16:45:00;  5,97
23.07.1996 20:00:00;  5,45
12.08.1996 15:00:00;  4,96
01.09.1996 14:15:00;  4,72
14.10.1996 17:00:00;  8,00
29.11.1996 23:30:00;  5,38
31.12.1996 10:00:00;  3,04
31.01.1997 22:40:30;  1,98
10.02.1997 14:15:05;  1,69
01.03.1997 15:55:55;  4,59
24.04.1997 12:39:50;  6,13
02.05.1997 15:02:00;  9,20
01.06.1997 12:58:15;  9,95
31.07.1997 15:09:10;  13,7
27.08.1997 21:21:00;  6,12
30.09.1997 23:59:55;  2,99
01.10.1997 02:02:15;  2,94
26.11.1997 08:37:25;  3,09
09.12.1997 03:53:05;  4,04
28.01.1998 14:47:15;  3,07
04.02.1998 05:04:25;  3,07
28.03.1998 05:56:55;  4,37
21.04.1998 16:05:05;  5,88
07.05.1998 13:51:45;  7,91
30.06.1998 14:08:55;  10,6
27.07.1998 16:14:10;  9,50
18.08.1998 16:27:55;  4,78
03.09.1998 17:02:30;  4,93
11.10.1998 07:46:45;  5,67
30.11.1998 14:24:00;  4,64
12.12.1998 12:30:35;  2,81
29.01.1999 09:30:00;  2,42
15.02.1999 18:15:00;  2,12
22.03.1999 14:45:00;  5,49
21.04.1999 13:30:00;  5,88
01.05.1999 12:30:00;  18,8
25.06.1999 15:15:00;  11,9
31.07.1999 18:30:00;  9,55
26.08.1999 21:15:00;  5,57
24.09.1999 14:30:00;  3,63
27.10.1999 12:15:00;  3,35
05.11.1999 11:30:00;  3,07
24.12.1999 17:31:00;  2,71
15.01.2000 06:39:20;  2,09
23.02.2000 14:30:00;  3,82
06.03.2000 11:45:00;  4,48
09.04.2000 10:45:00;  7,33
24.05.2000 12:45:00;  12,3
30.06.2000 12:45:00;  9,64
21.07.2000 08:45:00;  7,64
26.08.2000 17:30:00;  4,75
30.09.2000 17:30:00;  4,50
31.10.2000 11:45:00;  3,60
12.11.2000 10:00:00;  3,60
10.12.2000 11:30:00;  2,62
22.01.2001 19:15:00;  2,44
02.02.2001 10:30:00;  2,44
03.03.2001 05:58:45;  2,34
23.04.2001 07:23:50;  5,13
20.05.2001 16:47:15;  10,8
05.06.2001 16:06:20;  8,77
18.07.2001 08:30:00;  4,63
26.08.2001 14:45:00;  3,95
04.09.2001 11:15:00;  8,61
20.10.2001 13:15:00;  2,67
23.11.2001 20:30:00;  2,34
28.12.2001 07:45:00;  2,99
19.01.2002 08:00:00;  2,99
25.02.2002 09:30:00;  5,26
05.03.2002 10:00:00;  6,35
11.04.2002 12:15:00;  3,39
01.05.2002 11:30:00;  15,7
27.06.2002 13:15:00;  9,64
31.07.2002 18:45:00;  6,17
05.08.2002 21:15:00;  4,87
14.09.2002 14:15:00;  4,27
29.10.2002 20:15:00;  6,27
30.11.2002 21:00:00;  5,70
21.12.2002 18:00:00;  3,97
18.01.2003 14:30:30;  2,64
20.02.2003 21:34:15;  2,02
02.03.2003 17:09:00;  2,84
16.04.2003 12:17:55;  2,74
18.05.2003 01:30:55;  8,80
30.06.2003 16:59:10;  5,56
21.07.2003 17:17:25;  3,97
29.08.2003 02:05:35;  1,92
10.09.2003 00:13:15;  2,70
28.10.2003 23:30:00;  3,07
16.11.2003 09:15:00;  2,52
08.12.2003 09:15:00;  1,85
03.01.2004 10:00:00;  2,18
01.02.2004 09:45:00;  3,09
06.03.2004 10:15:00;  2,78
15.04.2004 08:15:00;  5,38
11.05.2004 08:00:00;  8,50
15.06.2004 19:30:00;  14,4
31.07.2004 19:00:00;  8,44
12.08.2004 14:30:00;  5,66
14.09.2004 19:00:00;  4,51
31.10.2004 05:00:00;  3,66
05.11.2004 04:00:00;  3,41
22.12.2004 19:30:00;  2,13
01.01.2005 00:30:00;  2,31
05.02.2005 11:00:00;  2,86
11.03.2005 07:45:00;  2,86
12.04.2005 07:45:00;  7,99
13.05.2005 08:00:00;  8,63
11.06.2005 13:45:00;  9,47
31.07.2005 21:30:00;  8,25
06.08.2005 08:45:00;  7,11
27.09.2005 05:00:00;  4,37
31.10.2005 23:59:55;  2,65
29.11.2005 08:30:00;  2,12
31.12.2005 03:30:00;  1,89
30.01.2006 10:45:00;  1,35
10.02.2006 10:00:00;  1,29
08.03.2006 10:15:00;  1,63
13.04.2006 07:30:00;  10,3
08.05.2006 07:30:00;  12,6
09.06.2006 15:00:00;  13,5
28.07.2006 10:15:00;  7,58
27.08.2006 21:15:00;  5,73
30.09.2006 22:45:00;  3,38
23.10.2006 09:03:10;  2,69
30.11.2006 23:59:55;  4,22
27.12.2006 10:00:00;  2,01
01.01.2007 01:15:00;  2,60
08.02.2007 11:45:00;  4,14
23.03.2007 10:00:00;  4,97
05.04.2007 06:45:00;  5,16
31.05.2007 10:30:00;  9,05
10.06.2007 14:45:00;  8,29
27.07.2007 21:00:00;  6,30
28.08.2007 08:30:00;  5,54
30.09.2007 21:15:00;  6,75
17.10.2007 14:45:00;  3,72
02.11.2007 16:15:00;  5,89
30.12.2007 06:45:00;  4,30
03.01.2008 08:15:00;  4,04
17.02.2008 08:45:00;  2,78
09.03.2008 09:30:00;  5,44
08.04.2008 07:15:00;  5,78
02.05.2008 06:45:00;  9,45
15.06.2008 12:15:00;  9,73
17.07.2008 15:30:00;  9,48
28.08.2008 10:00:00;  6,10
11.09.2008 06:45:00;  5,06
24.10.2008 10:45:00;  3,33
15.11.2008 21:00:00;  2,34
13.12.2008 16:00:00;  3,35
31.01.2009 06:45:00;  2,31
24.02.2009 00:15:00;  1,97
02.03.2009 18:30:00;  3,44
01.04.2009 07:45:00;  8,12
06.05.2009 06:15:00;  12,1
05.06.2009 09:45:00;  17,5
31.07.2009 19:45:00;  10,4
26.08.2009 09:15:00;  8,88
30.09.2009 07:00:00;  5,33
08.10.2009 15:15:00;  4,79
30.11.2009 11:15:00;  4,03
20.12.2009 11:45:00;  2,78
28.01.2010 01:00:00;  2,32
16.02.2010 10:30:00;  2,17
15.03.2010 15:00:00;  2,79
13.04.2010 06:45:00;  6,24
19.05.2010 09:30:00;  8,13
29.06.2010 17:15:00;  12,3
22.07.2010 15:15:00;  8,83
17.08.2010 18:30:00;  6,55
25.09.2010 09:45:00;  4,09
20.10.2010 18:00:00;  2,78
30.11.2010 12:00:00;  2,58
07.12.2010 03:00:00;  2,26
05.01.2011 14:15:00;  2,17
03.02.2011 22:45:00;  2,74
08.03.2011 09:45:00;  2,56
17.04.2011 06:45:00;  5,73
06.05.2011 07:15:00;  5,37
30.06.2011 05:05:00;  5,86
20.07.2011 13:00:00;  4,68
26.08.2011 21:45:00;  4,53
30.09.2011 06:45:00;  4,30
06.10.2011 07:15:00;  3,40
30.11.2011 17:04:40;  2,41
20.12.2011 10:45:00;  2,07
01.01.2012 00:00:00;  2,45
13.02.2012 09:30:00;  3,02
10.03.2012 09:45:00;  6,76
25.04.2012 07:30:00;  7,70
18.05.2012 07:45:00;  10,2
28.06.2012 17:30:00;  17,0
13.07.2012 09:15:00;  10,4
20.08.2012 07:45:00;  4,92
30.09.2012 22:30:00;  5,44
31.10.2012 08:00:00;  3,61
30.11.2012 23:15:00;  3,01
13.12.2012 09:30:00;  2,19
27.01.2013 04:30:00;  2,99
26.02.2013 03:45:00;  3,33
02.03.2013 07:30:00;  3,61
04.04.2013 04:00:00;  4,38
26.05.2013 17:30:00;  8,68
29.06.2013 20:45:00;  15,2
31.07.2013 19:45:00;  9,65
19.08.2013 06:00:00;  7,76
