Messstelle:                ;Teufelmühle
31.07.1967 12:00:00;  2,86
01.08.1967 12:00:00;  1,72
27.09.1967 12:00:00;  1,80
10.10.1967 12:00:00;  1,64
15.11.1967 12:00:00;  2,00
04.12.1967 12:00:00;  1,64
05.01.1968 12:00:00;  5,71
20.02.1968 12:00:00;  5,14
12.03.1968 12:00:00;  2,72
29.04.1968 12:00:00;  11,3
29.05.1968 12:00:00;  2,44
29.06.1968 12:00:00;  1,80
07.07.1968 12:00:00;  1,64
06.08.1968 12:00:00;  1,32
19.09.1968 12:00:00;  1,36
26.10.1968 12:00:00;  6,02
28.11.1968 12:00:00;  2,86
11.12.1968 12:00:00;  1,32
07.01.1969 12:00:00;  2,00
15.02.1969 12:00:00;  1,32
05.03.1969 12:00:00;  1,40
11.04.1969 12:00:00;  6,02
30.05.1969 12:00:00;  2,72
02.06.1969 12:00:00;  2,86
25.07.1969 12:00:00;  1,20
03.08.1969 12:00:00;  1,00
15.09.1969 12:00:00;  2,02
24.10.1969 12:00:00;  1,50
05.11.1969 12:00:00;  1,50
20.12.1969 12:00:00;  1,80
31.01.1970 12:00:00;  1,80
02.02.1970 12:00:00;  1,24
10.03.1970 12:00:00;  3,66
06.04.1970 12:00:00;  16,3
30.05.1970 12:00:00;  15,9
27.06.1970 12:00:00;  4,36
26.07.1970 12:00:00;  1,48
31.08.1970 12:00:00;  2,10
26.09.1970 12:00:00;  2,44
01.10.1970 12:00:00;  2,44
05.11.1970 12:00:00;  6,02
27.12.1970 12:00:00;  6,02
02.01.1971 12:00:00;  1,80
28.02.1971 12:00:00;  1,36
12.03.1971 12:00:00;  1,72
22.04.1971 12:00:00;  3,00
20.05.1971 12:00:00;  2,30
06.06.1971 12:00:00;  1,80
31.07.1971 12:00:00;  1,40
21.08.1971 12:00:00;  1,20
10.09.1971 12:00:00;  1,80
08.10.1971 12:00:00;  1,48
08.11.1971 12:00:00;  1,80
06.12.1971 12:00:00;  3,88
17.01.1972 12:00:00;  1,80
01.02.1972 12:00:00;  1,24
13.03.1972 12:00:00;  1,36
01.04.1972 12:00:00;  3,00
02.05.1972 12:00:00;  3,44
28.06.1972 12:00:00;  3,00
10.07.1972 12:00:00;  2,58
30.08.1972 12:00:00;  2,86
19.09.1972 12:00:00;  1,72
21.10.1972 12:00:00;  1,28
06.11.1972 12:00:00;  1,48
21.12.1972 12:00:00;  1,28
04.01.1973 12:00:00;  2,20
17.02.1973 12:00:00;  1,24
17.03.1973 12:00:00;  1,40
18.04.1973 12:00:00;  9,70
29.05.1973 12:00:00;  3,60
21.06.1973 12:00:00;  2,96
15.07.1973 12:00:00;  3,12
23.08.1973 12:00:00;  2,44
10.09.1973 12:00:00;  1,80
14.10.1973 12:00:00;  2,00
06.11.1973 12:00:00;  2,68
01.12.1973 12:00:00;  4,56
05.01.1974 12:00:00;  3,84
05.02.1974 12:00:00;  9,30
11.03.1974 12:00:00;  8,37
30.04.1974 12:00:00;  3,28
10.05.1974 12:00:00;  4,32
08.06.1974 12:00:00;  4,80
08.07.1974 12:00:00;  10,9
18.08.1974 12:00:00;  5,92
22.09.1974 12:00:00;  2,80
21.10.1974 12:00:00;  3,60
10.11.1974 12:00:00;  4,80
01.12.1974 12:00:00;  14,6
22.01.1975 12:00:00;  12,1
17.02.1975 12:00:00;  4,80
01.03.1975 12:00:00;  5,64
06.04.1975 12:00:00;  6,82
29.05.1975 12:00:00;  2,96
13.06.1975 12:00:00;  3,28
14.07.1975 12:00:00;  5,92
07.08.1975 12:00:00;  3,28
27.09.1975 12:00:00;  2,96
26.10.1975 12:00:00;  2,44
09.11.1975 12:00:00;  2,10
19.12.1975 12:00:00;  1,46
01.01.1976 00:00:00; Lücke
02.01.1976 00:00:00;  3,87
26.02.1976 10:00:00;  6,44
22.03.1976 07:30:00;  3,20
30.04.1976 18:00:00;  5,62
30.05.1976 08:00:00;  3,08
30.06.1976 13:00:00;  1,74
09.07.1976 16:30:00;  1,49
12.08.1976 04:00:00;  2,98
24.09.1976 19:00:00;  1,77
14.10.1976 02:00:00;  1,81
11.11.1976 17:00:00;  1,49
26.12.1976 14:30:00;  2,81
20.01.1977 00:01:00;  3,22
04.02.1977 17:00:00;  4,97
31.03.1977 21:00:00;  8,64
06.04.1977 18:00:00;  6,24
30.05.1977 05:30:00;  3,80
24.06.1977 12:30:00;  2,64
23.07.1977 14:30:00;  1,87
09.08.1977 14:00:00;  3,02
28.09.1977 16:00:00;  2,98
22.10.1977 11:30:00;  1,33
02.11.1977 17:30:00;  1,54
18.12.1977 12:00:00;  3,58
20.01.1978 08:00:00;  4,07
16.02.1978 15:30:00;  2,65
01.03.1978 16:00:00;  8,98
20.04.1978 19:00:00;  7,69
19.05.1978 07:00:00;  4,85
12.06.1978 18:00:00;  1,82
03.07.1978 12:00:00;  5,57
05.08.1978 10:00:00;  3,40
22.09.1978 11:30:00;  2,61
10.10.1978 14:00:00;  1,89
19.11.1978 11:00:00; 0,449
06.12.1978 16:30:00;  2,61
24.01.1979 00:01:00;  5,86
27.02.1979 09:30:00;  3,90
01.03.1979 23:00:00;  4,99
01.04.1979 08:00:00;  12,6
31.05.1979 11:00:00;  4,57
13.06.1979 02:00:00;  2,70
28.07.1979 16:00:00;  2,96
03.08.1979 00:00:00;  3,92
18.09.1979 07:30:00;  4,07
18.10.1979 18:00:00;  2,21
01.11.1979 11:00:00;  3,21
05.12.1979 12:30:00;  9,89
02.01.1980 17:00:00;  4,34
24.02.1980 14:00:00;  7,78
03.03.1980 18:30:00;  6,35
14.04.1980 18:00:00;  10,9
30.05.1980 20:00:00;  6,53
14.06.1980 05:00:00;  3,89
08.07.1980 16:30:00;  12,4
28.08.1980 14:00:00;  3,64
30.09.1980 14:00:00;  1,33
07.10.1980 13:30:00; 0,408
12.11.1980 10:00:00; 0,670
01.12.1980 11:00:00; 0,790
23.01.1981 01:00:00;  2,88
27.02.1981 05:00:00;  1,76
02.03.1981 21:30:00;  4,21
26.04.1981 08:30:00;  4,99
20.05.1981 12:00:00;  2,61
29.06.1981 20:00:00;  2,30
09.07.1981 17:00:00; 0,809
09.08.1981 07:30:00;  2,05
05.09.1981 17:30:00; 0,369
10.10.1981 15:30:00;  1,49
12.11.1981 22:30:00;  8,95
31.12.1981 02:30:00;  7,82
27.01.1982 07:30:00;  5,18
20.02.1982 03:30:00;  1,03
01.03.1982 06:30:00;  3,58
26.04.1982 18:30:00;  8,00
31.05.1982 23:59:55;  5,19
11.06.1982 19:00:00;  1,63
31.07.1982 17:00:00; 0,655
15.08.1982 08:00:00; 0,486
06.09.1982 21:00:00;  1,53
13.10.1982 17:00:00; 0,628
16.11.1982 16:00:00; 0,946
06.12.1982 11:00:00;  1,95
01.01.1983 01:30:00; 0,891
27.02.1983 02:00:00;  5,68
05.03.1983 14:30:00;  7,19
05.04.1983 12:30:00;  9,08
30.05.1983 07:00:00;  4,74
13.06.1983 12:00:00;  3,02
28.07.1983 07:30:00; 0,871
10.08.1983 21:30:00; 0,871
08.09.1983 10:30:00; 0,576
17.10.1983 15:30:00; 0,478
14.11.1983 22:00:00; 0,567
03.12.1983 13:00:00;  1,53
11.01.1984 21:00:00; 0,628
02.02.1984 14:45:00;  2,86
14.03.1984 12:00:00;  2,86
30.04.1984 16:00:00;  7,16
27.05.1984 19:00:00;  5,12
28.06.1984 12:00:00;  2,53
12.07.1984 20:45:00;  1,59
24.08.1984 17:00:00; 0,957
03.09.1984 22:30:00;  1,41
27.10.1984 14:45:00;  4,33
10.11.1984 08:00:00;  1,71
24.12.1984 08:45:00;  1,12
03.01.1985 00:01:00;  2,83
24.02.1985 21:45:00;  2,60
12.03.1985 18:00:00;  2,79
30.04.1985 11:30:00;  5,90
30.05.1985 21:00:00;  5,28
06.06.1985 02:00:00;  3,71
27.07.1985 05:30:00;  2,08
24.08.1985 09:30:00;  3,34
19.09.1985 13:15:00; 0,610
12.10.1985 18:30:00;  1,09
18.11.1985 10:00:00;  1,68
14.12.1985 14:45:00;  2,73
10.01.1986 00:01:00;  4,82
28.02.1986 00:01:00;  7,03
05.03.1986 21:00:00;  5,98
17.04.1986 20:00:00;  13,5
27.05.1986 21:00:00;  2,00
21.06.1986 11:15:00;  3,18
31.07.1986 19:30:00;  1,45
08.08.1986 16:15:00; 0,871
23.09.1986 07:15:00;  1,09
09.10.1986 17:30:00; 0,749
22.11.1986 09:00:00; 0,584
02.12.1986 03:45:00; 0,567
11.01.1987 05:30:00;  7,06
24.02.1987 06:30:00;  3,00
19.03.1987 22:00:00;  4,20
29.04.1987 17:30:00;  13,8
30.05.1987 11:45:00;  6,04
29.06.1987 12:30:00;  4,86
17.07.1987 08:15:00;  3,19
30.08.1987 16:30:00;  3,90
22.09.1987 19:30:00;  2,78
16.10.1987 14:00:00;  2,33
09.11.1987 15:30:00;  1,67
09.12.1987 04:30:00;  1,91
25.01.1988 09:00:00;  4,53
12.02.1988 17:00:00;  3,57
04.03.1988 09:15:00;  2,97
27.04.1988 16:15:00;  15,4
31.05.1988 18:15:00;  4,60
28.06.1988 12:45:00;  3,21
11.07.1988 08:45:00;  1,76
14.08.1988 15:00:00;  2,60
26.09.1988 11:45:00; 0,963
15.10.1988 15:00:00; 0,876
23.11.1988 10:00:00;  1,46
04.12.1988 12:30:00;  5,60
30.01.1989 09:15:00;  4,17
07.02.1989 17:00:00;  3,17
28.03.1989 17:00:00;  9,95
04.04.1989 15:15:00;  6,26
28.05.1989 18:00:00;  3,90
15.06.1989 17:15:00;  2,75
07.07.1989 20:00:00;  1,83
25.08.1989 23:45:00;  3,71
25.09.1989 16:15:00;  1,81
29.10.1989 22:45:00;  2,90
30.11.1989 13:00:00;  2,35
11.12.1989 19:30:00;  1,84
04.01.1990 08:45:00;  3,45
14.02.1990 03:00:00;  3,84
27.03.1990 13:45:00;  9,01
19.04.1990 13:15:00;  5,82
24.05.1990 19:00:00;  2,24
20.06.1990 21:30:00;  1,99
29.07.1990 17:30:00;  2,28
26.08.1990 01:45:00; 0,888
29.09.1990 13:45:00; 0,848
23.10.1990 19:15:00; 0,768
14.11.1990 08:45:00;  2,77
25.12.1990 04:45:00;  2,77
29.01.1991 06:15:00;  2,81
18.02.1991 14:45:00;  3,80
06.03.1991 16:30:00;  3,88
28.04.1991 12:30:00;  2,60
31.05.1991 11:30:00;  3,63
16.06.1991 18:00:00;  2,55
22.07.1991 19:00:00;  3,12
20.08.1991 08:30:00;  2,16
30.09.1991 18:15:00;  1,57
06.10.1991 16:30:00;  1,09
16.11.1991 22:00:00;  1,51
11.12.1991 00:00:00;  1,04
21.01.1992 01:00:00; 0,738
01.02.1992 23:15:00;  3,25
01.03.1992 19:15:00;  6,85
23.04.1992 06:30:00;  8,57
25.05.1992 15:30:00;  3,48
03.06.1992 13:15:00;  1,37
30.07.1992 12:30:00; 0,906
26.08.1992 21:45:00; 0,951
28.09.1992 14:15:00;  1,10
04.10.1992 16:15:00; 0,985
11.11.1992 16:00:00;  5,78
31.12.1992 00:01:00;  6,55
22.01.1993 09:30:00;  4,31
21.02.1993 15:30:00;  4,35
10.03.1993 11:15:00;  2,89
30.04.1993 19:00:00;  6,32
18.05.1993 13:00:00;  2,60
07.06.1993 05:30:00;  1,96
03.07.1993 19:45:00;  3,03
22.08.1993 20:30:00;  1,92
24.09.1993 15:45:00;  2,91
07.10.1993 17:15:00;  3,42
24.11.1993 10:45:00;  1,90
01.12.1993 14:45:00;  3,12
22.01.1994 08:45:00;  7,89
14.02.1994 05:15:00;  7,06
01.03.1994 16:00:00;  11,3
13.04.1994 05:00:00;  9,13
16.05.1994 13:00:00;  4,90
30.06.1994 16:45:00;  1,93
05.07.1994 19:00:00;  1,90
29.08.1994 07:15:00;  1,27
06.09.1994 15:15:00; 0,649
20.10.1994 09:15:00; 0,985
11.11.1994 19:00:00; 0,620
22.12.1994 14:45:00; 0,809
16.01.1995 00:01:00;  5,83
05.02.1995 02:15:00;  13,3
11.03.1995 07:45:00;  7,14
28.04.1995 20:15:00;  12,8
31.05.1995 18:00:00;  2,08
21.06.1995 15:15:00;  1,96
10.07.1995 12:00:00;  1,02
04.08.1995 12:15:00;  1,42
26.09.1995 14:00:00;  3,19
22.10.1995 22:15:00;  3,00
01.11.1995 08:45:00;  3,72
19.12.1995 16:15:00;  2,79
05.01.1996 04:15:00;  3,50
13.02.1996 00:01:00;  3,00
05.03.1996 00:01:00;  2,64
01.04.1996 10:15:00;  4,22
08.05.1996 08:15:00;  5,13
26.06.1996 08:45:00;  3,29
28.07.1996 18:30:00;  1,37
21.08.1996 09:30:00;  1,34
04.09.1996 16:15:00;  2,89
08.10.1996 07:45:00;  1,26
06.11.1996 21:15:00;  5,32
09.12.1996 10:45:00;  1,40
27.01.1997 00:00:00;  3,58
18.02.1997 14:05:00;  2,65
15.03.1997 10:00:00;  10,1
22.04.1997 19:15:00;  3,78
28.05.1997 18:20:00;  1,83
17.06.1997 17:05:00;  1,26
05.07.1997 17:35:00; 0,812
18.08.1997 00:00:00;  1,36
23.09.1997 10:15:00;  1,37
01.10.1997 09:00:00; 0,398
07.11.1997 18:05:00; 0,790
09.12.1997 11:35:00;  1,83
26.01.1998 05:05:00;  1,36
14.02.1998 07:54:25;  1,80
04.03.1998 18:20:00;  1,40
27.04.1998 07:15:00; 0,635
05.05.1998 13:40:00; 0,512
05.06.1998 11:50:00; 0,246
23.07.1998 03:00:00;  1,08
20.08.1998 15:00:00; 0,707
11.09.1998 11:20:00; 0,686
03.10.1998 09:00:00;  1,46
30.11.1998 17:55:00;  7,70
07.12.1998 00:45:00;  1,98
23.01.1999 06:40:00;  2,03
04.02.1999 16:00:00;  1,90
01.03.1999 11:55:00;  9,24
24.04.1999 09:10:00;  9,54
26.05.1999 13:50:00;  3,58
11.06.1999 09:20:00;  1,29
08.07.1999 02:35:00; 0,667
09.08.1999 21:10:00;  1,06
28.09.1999 06:30:00;  1,11
12.10.1999 07:30:00; 0,663
02.11.1999 08:25:00; 0,922
16.12.1999 04:40:00; 0,396
10.01.2000 20:34:05;  2,52
24.02.2000 00:40:00;  8,98
01.03.2000 10:55:00;  12,2
30.04.2000 16:35:00;  8,16
12.05.2000 17:05:00;  3,51
21.06.2000 15:25:00;  1,30
04.07.2000 14:25:00;  1,21
30.08.2000 20:00:00;  1,12
26.09.2000 12:30:00; 0,512
01.10.2000 05:20:00;  1,05
12.11.2000 19:55:00;  1,25
07.12.2000 12:15:00;  1,87
09.01.2001 06:36:30; 0,770
26.02.2001 01:00:00;  1,11
01.03.2001 07:45:00; 0,586
30.04.2001 20:35:00;  8,92
31.05.2001 15:15:00;  2,87
07.06.2001 13:40:00;  2,63
19.07.2001 18:40:00; 0,561
16.08.2001 10:00:00; 0,598
01.09.2001 00:05:00;  2,73
31.10.2001 23:40:00;  4,05
25.11.2001 06:25:00;  2,19
27.12.2001 14:55:00;  1,70
18.01.2002 08:30:00; 0,963
19.02.2002 19:35:00;  17,0
11.03.2002 16:55:00;  13,9
14.04.2002 01:05:00;  5,80
18.05.2002 16:55:00;  3,21
20.06.2002 23:25:00;  1,10
10.07.2002 01:20:00;  1,09
02.08.2002 02:45:00;  1,80
13.09.2002 08:35:00;  2,32
17.10.2002 07:55:00;  5,21
08.11.2002 09:45:00;  10,7
09.12.2002 10:05:00;  3,83
16.01.2003 17:00:00;  6,62
12.02.2003 04:07:10;  1,85
01.03.2003 16:05:00;  5,79
14.04.2003 11:00:00;  2,49
09.05.2003 17:15:00; 0,881
26.06.2003 19:35:00;  1,56
09.07.2003 19:15:00;  1,56
27.08.2003 14:45:00; 0,354
27.09.2003 10:25:00;  1,09
04.10.2003 10:45:00; 0,455
09.11.2003 22:35:00; 0,688
08.12.2003 17:45:00; 0,335
02.01.2004 21:45:25;  2,51
26.02.2004 04:55:00;  2,73
02.03.2004 05:30:00;  1,18
28.04.2004 12:10:00;  3,23
11.05.2004 20:40:00;  2,44
28.06.2004 14:50:00; 0,586
18.07.2004 08:20:00; 0,586
06.08.2004 17:25:00; 0,753
14.09.2004 06:15:00;  1,51
30.10.2004 10:35:00;  2,07
17.11.2004 14:50:00;  2,69
14.12.2004 23:00:00;  2,44
01.01.2005 16:15:00;  4,55
28.02.2005 00:55:00;  4,42
17.03.2005 13:40:00;  6,81
25.04.2005 00:00:00;  12,5
30.05.2005 19:15:00;  2,23
14.06.2005 20:20:00; 0,674
17.07.2005 01:20:00;  1,46
31.08.2005 18:15:00;  1,52
27.09.2005 04:20:00;  1,44
29.10.2005 11:25:00;  1,17
24.11.2005 20:10:00;  1,17
01.12.2005 00:00:00;  2,68
01.01.2006 00:00:00;  2,77
01.02.2006 00:00:00;  2,86
10.03.2006 03:28:40;  2,91
30.04.2006 23:25:00;  23,7
16.05.2006 00:55:00;  3,85
25.06.2006 23:15:00;  1,25
12.07.2006 14:50:00;  1,41
14.08.2006 17:30:00;  2,75
16.09.2006 13:20:00;  1,55
05.10.2006 12:50:00; 0,984
04.11.2006 23:16:20;  1,33
27.12.2006 11:55:00;  1,84
03.01.2007 19:45:00;  3,23
01.02.2007 06:15:00;  9,58
31.03.2007 11:35:00;  9,06
27.04.2007 16:20:00;  3,41
01.05.2007 08:05:00;  2,10
15.06.2007 20:50:00;  1,73
19.07.2007 01:35:00;  2,36
22.08.2007 16:40:00;  1,67
22.09.2007 11:10:00;  1,19
22.10.2007 15:50:00;  2,19
07.11.2007 08:20:00;  2,29
31.12.2007 23:55:00;  7,98
03.01.2008 04:20:00;  2,40
17.02.2008 02:10:00;  2,57
11.03.2008 09:15:00;  9,98
21.04.2008 11:10:00;  8,08
22.05.2008 03:30:00;  3,93
27.06.2008 12:00:00;  1,25
15.07.2008 07:05:00;  1,13
27.08.2008 07:10:00;  1,16
06.09.2008 18:10:00;  1,45
16.10.2008 13:30:00;  1,02
05.11.2008 10:15:00; 0,632
08.12.2008 03:30:00;  1,25
22.01.2009 19:18:15;  2,72
03.02.2009 05:30:30;  2,75
01.03.2009 12:41:55;  4,96
28.04.2009 17:30:00;  5,94
26.05.2009 21:30:00;  1,78
13.06.2009 15:00:00;  1,49
22.07.2009 17:45:00;  5,94
13.08.2009 14:30:00;  1,74
28.09.2009 19:15:00; 0,608
05.10.2009 16:00:00;  1,72
23.11.2009 18:15:00;  2,33
28.12.2009 08:30:00;  1,77
24.01.2010 02:00:00;  1,02
12.02.2010 15:30:00;  1,47
07.03.2010 21:30:00;  2,91
30.04.2010 18:15:00;  4,68
13.05.2010 11:45:00;  4,35
09.06.2010 18:00:00;  3,15
15.07.2010 14:00:00;  2,76
24.08.2010 12:00:00;  3,77
22.09.2010 20:15:00;  3,35
11.10.2010 15:17:50;  2,76
10.11.2010 09:30:00;  2,23
14.12.2010 03:30:00;  2,40
29.01.2011 12:15:00;  2,40
08.02.2011 07:45:00;  1,91
08.03.2011 18:15:00;  1,64
27.04.2011 05:45:00;  2,58
21.05.2011 14:00:00; 0,771
22.06.2011 13:00:00;  1,20
17.07.2011 19:15:00;  1,45
27.08.2011 02:00:00;  3,49
14.09.2011 18:45:00;  2,07
05.10.2011 08:00:00;  2,07
30.11.2011 14:45:00;  3,17
01.12.2011 17:00:00;  2,03
01.01.2012 08:45:00;  9,10
23.02.2012 18:20:20;  7,48
10.03.2012 04:15:00;  10,1
19.04.2012 19:30:00;  6,49
22.05.2012 09:30:00;  1,27
08.06.2012 17:30:00;  2,58
01.07.2012 19:00:00;  1,43
22.08.2012 15:45:00;  1,25
27.09.2012 10:15:00;  1,47
19.10.2012 18:30:00;  1,80
07.11.2012 13:15:00;  1,47
07.12.2012 19:00:00;  1,83
26.01.2013 17:30:00;  2,91
