Messstelle:                ;Brühl
30.08.1953 12:00:00;  24,4
15.09.1953 12:00:00;  17,2
14.10.1953 12:00:00;  9,82
28.11.1953 12:00:00;  5,28
31.12.1953 12:00:00;  3,44
26.01.1954 12:00:00;  2,76
25.02.1954 12:00:00;  2,40
09.03.1954 12:00:00;  2,76
03.04.1954 12:00:00;  5,48
08.05.1954 12:00:00;  7,00
01.06.1954 12:00:00;  18,2
31.07.1954 12:00:00;  33,7
30.08.1954 12:00:00;  20,1
30.09.1954 12:00:00;  16,3
27.10.1954 12:00:00;  8,28
17.11.1954 12:00:00;  4,36
31.12.1954 12:00:00;  3,88
26.01.1955 12:00:00;  2,86
12.02.1955 12:00:00;  2,68
07.03.1955 12:00:00;  2,68
21.04.1955 12:00:00;  4,88
23.05.1955 12:00:00;  15,4
03.06.1955 12:00:00;  19,1
31.07.1955 12:00:00;  27,5
09.08.1955 12:00:00;  23,0
30.09.1955 12:00:00;  11,8
30.10.1955 12:00:00;  5,44
28.11.1955 12:00:00;  3,22
23.12.1955 12:00:00;  3,04
29.01.1956 12:00:00;  2,50
20.02.1956 12:00:00;  2,20
16.03.1956 12:00:00;  2,20
09.04.1956 12:00:00;  3,04
03.05.1956 12:00:00;  4,36
26.06.1956 12:00:00;  20,2
04.07.1956 12:00:00;  34,8
14.08.1956 12:00:00;  26,8
23.09.1956 12:00:00;  17,0
29.10.1956 12:00:00;  9,16
30.11.1956 12:00:00;  5,20
27.12.1956 12:00:00;  3,20
18.01.1957 12:00:00;  2,92
20.02.1957 12:00:00;  2,64
04.03.1957 12:00:00;  2,78
16.04.1957 12:00:00;  5,20
10.05.1957 12:00:00;  8,52
01.06.1957 12:00:00;  15,8
31.07.1957 12:00:00;  26,4
31.08.1957 12:00:00;  20,8
30.09.1957 12:00:00;  14,7
28.10.1957 12:00:00;  8,40
30.11.1957 12:00:00;  4,90
31.12.1957 12:00:00;  3,60
28.01.1958 12:00:00;  2,50
20.02.1958 12:00:00;  2,50
25.03.1958 12:00:00;  2,30
11.04.1958 12:00:00;  3,06
01.05.1958 12:00:00;  6,50
15.06.1958 12:00:00;  22,8
26.07.1958 12:00:00;  28,1
28.08.1958 12:00:00;  22,3
13.09.1958 12:00:00;  14,7
31.10.1958 12:00:00;  10,9
30.11.1958 12:00:00;  6,50
31.12.1958 12:00:00;  4,30
27.01.1959 12:00:00;  2,85
13.02.1959 12:00:00;  2,70
15.03.1959 12:00:00;  3,60
02.04.1959 12:00:00;  4,70
03.05.1959 12:00:00;  8,30
03.06.1959 12:00:00;  19,4
02.07.1959 12:00:00;  32,8
31.08.1959 12:00:00;  19,8
22.09.1959 12:00:00;  13,5
24.10.1959 12:00:00;  4,90
24.11.1959 12:00:00;  3,15
07.12.1959 12:00:00;  3,00
14.01.1960 12:00:00;  2,85
15.02.1960 12:00:00;  2,85
14.03.1960 12:00:00;  3,15
05.04.1960 12:00:00;  5,42
02.05.1960 12:00:00;  7,62
30.06.1960 12:00:00;  37,2
05.07.1960 12:00:00;  27,1
31.08.1960 12:00:00;  28,3
30.09.1960 12:00:00;  14,5
20.10.1960 12:00:00;  11,1
30.11.1960 12:00:00;  7,06
27.12.1960 12:00:00;  4,24
28.01.1961 12:00:00;  4,00
10.02.1961 12:00:00;  3,88
03.03.1961 12:00:00;  4,36
01.04.1961 12:00:00;  5,92
23.05.1961 12:00:00;  12,0
05.06.1961 12:00:00;  24,4
19.07.1961 12:00:00;  30,0
19.08.1961 12:00:00;  17,9
26.09.1961 12:00:00;  15,3
22.10.1961 12:00:00;  6,28
21.11.1961 12:00:00;  4,48
31.12.1961 12:00:00;  4,75
16.01.1962 12:00:00;  4,08
24.02.1962 12:00:00;  2,80
20.03.1962 12:00:00;  2,58
12.04.1962 12:00:00;  3,22
04.05.1962 12:00:00;  8,86
09.06.1962 12:00:00;  18,8
07.07.1962 12:00:00;  25,7
31.08.1962 12:00:00;  29,7
26.09.1962 12:00:00;  8,62
26.10.1962 12:00:00;  5,35
30.11.1962 12:00:00;  3,94
03.12.1962 12:00:00;  3,32
14.01.1963 12:00:00;  1,98
23.02.1963 12:00:00;  1,80
02.03.1963 12:00:00;  1,89
04.04.1963 12:00:00;  2,36
06.05.1963 12:00:00;  7,78
18.06.1963 12:00:00;  25,5
31.07.1963 12:00:00;  28,3
11.08.1963 12:00:00;  23,9
30.09.1963 12:00:00;  17,3
30.10.1963 12:00:00;  6,88
01.11.1963 12:00:00;  7,10
31.12.1963 12:00:00;  2,58
10.01.1964 12:00:00;  1,80
22.02.1964 12:00:00;  1,40
07.03.1964 12:00:00;  1,64
02.04.1964 12:00:00;  2,36
03.05.1964 12:00:00;  7,02
17.06.1964 12:00:00;  33,1
31.07.1964 12:00:00;  22,8
15.08.1964 12:00:00;  16,5
24.09.1964 12:00:00;  11,4
25.10.1964 12:00:00;  8,90
14.11.1964 12:00:00;  7,18
31.12.1964 12:00:00;  4,64
22.01.1965 12:00:00;  3,80
25.02.1965 12:00:00;  2,86
11.03.1965 12:00:00;  2,02
25.04.1965 12:00:00;  4,64
01.05.1965 12:00:00;  4,88
02.06.1965 12:00:00;  20,8
11.07.1965 12:00:00;  33,1
30.08.1965 12:00:00;  26,6
26.09.1965 12:00:00;  23,8
31.10.1965 12:00:00;  11,7
30.11.1965 12:00:00;  6,06
31.12.1965 12:00:00;  4,35
31.01.1966 12:00:00;  4,35
28.02.1966 12:00:00;  4,35
15.03.1966 12:00:00;  3,36
03.04.1966 12:00:00;  3,84
01.05.1966 12:00:00;  11,8
03.06.1966 12:00:00;  20,2
01.07.1966 12:00:00;  24,5
29.08.1966 12:00:00;  19,2
29.09.1966 12:00:00;  17,9
31.10.1966 12:00:00;  10,9
30.11.1966 12:00:00;  7,10
27.12.1966 12:00:00;  5,16
09.01.1967 12:00:00;  4,50
15.02.1967 12:00:00;  3,75
21.03.1967 12:00:00;  4,50
08.04.1967 12:00:00;  4,70
06.05.1967 12:00:00;  8,90
17.06.1967 12:00:00;  16,6
11.07.1967 12:00:00;  32,8
15.08.1967 12:00:00;  28,0
25.09.1967 12:00:00;  20,4
31.10.1967 12:00:00;  7,50
27.11.1967 12:00:00;  7,02
10.12.1967 12:00:00;  5,54
28.01.1968 12:00:00;  3,54
19.02.1968 12:00:00;  2,78
13.03.1968 12:00:00;  3,20
16.04.1968 12:00:00;  5,56
02.05.1968 12:00:00;  10,0
14.06.1968 12:00:00;  27,0
28.07.1968 12:00:00;  16,8
28.08.1968 12:00:00;  22,8
28.09.1968 12:00:00;  14,3
29.10.1968 12:00:00;  7,50
17.11.1968 12:00:00;  5,84
30.12.1968 12:00:00;  3,22
21.01.1969 12:00:00;  2,94
18.02.1969 12:00:00;  2,69
08.03.1969 12:00:00;  2,69
20.04.1969 12:00:00;  3,36
11.05.1969 12:00:00;  12,5
09.06.1969 12:00:00;  16,2
15.07.1969 12:00:00;  16,8
31.08.1969 12:00:00;  16,0
22.09.1969 12:00:00;  13,2
31.10.1969 12:00:00;  8,06
28.11.1969 12:00:00;  4,30
30.12.1969 12:00:00;  2,25
21.01.1970 12:00:00;  1,50
28.02.1970 12:00:00;  1,14
01.03.1970 12:00:00;  1,22
06.04.1970 12:00:00;  1,70
04.05.1970 12:00:00;  4,30
01.06.1970 12:00:00;  16,2
19.07.1970 12:00:00;  24,6
27.08.1970 12:00:00;  34,2
29.09.1970 12:00:00;  16,7
31.10.1970 12:00:00;  8,30
30.11.1970 12:00:00;  3,94
28.12.1970 12:00:00;  2,30
13.01.1971 12:00:00;  2,10
03.02.1971 12:00:00;  1,94
19.03.1971 12:00:00;  2,20
03.04.1971 12:00:00;  3,94
02.05.1971 12:00:00;  8,62
01.06.1971 12:00:00;  16,0
03.07.1971 12:00:00;  20,8
26.08.1971 12:00:00;  24,9
30.09.1971 12:00:00;  8,62
31.10.1971 12:00:00;  5,01
22.11.1971 12:00:00;  3,68
28.12.1971 12:00:00;  3,56
31.01.1972 12:00:00;  2,99
15.02.1972 12:00:00;  1,88
04.03.1972 12:00:00;  2,77
01.04.1972 12:00:00;  4,67
02.05.1972 12:00:00;  5,23
03.06.1972 12:00:00;  21,0
14.07.1972 12:00:00;  32,2
23.08.1972 12:00:00;  18,5
30.09.1972 12:00:00;  5,82
22.10.1972 12:00:00;  4,37
27.11.1972 12:00:00;  3,45
22.12.1972 12:00:00;  2,36
19.01.1973 12:00:00;  2,02
16.02.1973 12:00:00;  1,60
01.03.1973 12:00:00;  1,86
05.04.1973 12:00:00;  2,11
01.05.1973 12:00:00;  4,74
10.06.1973 12:00:00;  25,1
30.07.1973 12:00:00;  22,3
01.08.1973 12:00:00;  22,6
24.09.1973 12:00:00;  16,2
31.10.1973 12:00:00;  9,21
27.11.1973 12:00:00;  3,97
15.12.1973 12:00:00;  2,60
26.01.1974 12:00:00;  3,17
26.02.1974 12:00:00;  3,11
05.03.1974 12:00:00;  2,52
02.04.1974 12:00:00;  5,21
02.05.1974 12:00:00;  5,52
14.06.1974 12:00:00;  20,0
23.07.1974 12:00:00;  30,6
13.08.1974 12:00:00;  28,2
28.09.1974 12:00:00;  10,1
31.10.1974 12:00:00;  5,24
26.11.1974 12:00:00;  4,36
31.12.1974 12:00:00;  3,84
16.01.1975 12:00:00;  2,38
22.02.1975 12:00:00;  2,16
31.03.1975 12:00:00;  2,45
02.04.1975 12:00:00;  2,93
06.05.1975 12:00:00;  17,5
07.06.1975 12:00:00;  26,5
27.07.1975 12:00:00;  38,1
28.08.1975 12:00:00;  23,7
27.09.1975 12:00:00;  17,3
31.10.1975 12:00:00;  6,68
24.11.1975 12:00:00;  3,16
14.12.1975 12:00:00;  2,74
26.01.1976 02:00:00;  2,94
23.02.1976 02:00:00;  2,80
25.03.1976 16:00:00;  2,72
11.04.1976 07:00:00;  4,12
01.05.1976 13:00:00;  6,39
05.06.1976 15:00:00;  15,0
27.07.1976 15:00:00;  19,8
20.08.1976 14:00:00;  14,0
25.09.1976 18:00:00;  14,6
26.10.1976 17:00:00;  9,67
30.11.1976 12:00:00;  6,17
27.12.1976 04:00:00;  3,13
19.01.1977 09:00:00;  3,24
03.02.1977 09:00:00;  3,04
01.03.1977 08:00:00;  3,12
13.04.1977 15:00:00;  5,20
10.05.1977 17:00:00;  14,0
06.06.1977 12:00:00;  25,7
29.07.1977 13:00:00;  30,9
26.08.1977 11:00:00;  24,6
28.09.1977 10:00:00;  9,78
31.10.1977 16:00:00;  7,12
30.11.1977 06:00:00;  3,68
30.12.1977 03:00:00;  2,88
11.01.1978 07:00:00;  2,58
05.02.1978 08:00:00;  2,38
23.03.1978 07:00:00;  2,78
18.04.1978 12:00:00;  3,92
01.05.1978 00:00:00;  7,51
30.06.1978 14:00:00;  17,3
01.07.1978 00:00:00;  24,0
31.08.1978 22:00:00;  18,6
22.09.1978 15:00:00;  12,1
31.10.1978 19:00:00;  8,91
29.11.1978 09:00:00;  4,05
07.12.1978 09:00:00;  3,47
31.01.1979 23:59:55;  3,08
27.02.1979 01:30:00;  2,29
03.03.1979 08:30:00;  2,62
03.04.1979 06:00:00;  3,90
04.05.1979 08:00:00;  4,90
20.06.1979 09:30:00;  25,2
06.07.1979 14:30:00;  22,0
30.08.1979 14:30:00;  22,5
30.09.1979 16:00:00;  17,1
31.10.1979 23:59:55;  9,90
24.11.1979 02:00:00;  5,59
22.12.1979 20:30:00;  4,57
28.01.1980 08:30:00;  3,25
22.02.1980 06:30:00;  3,11
05.03.1980 07:30:00;  3,32
12.04.1980 17:00:00;  4,34
02.05.1980 17:00:00;  5,52
03.06.1980 16:30:00;  15,5
05.07.1980 14:30:00;  24,0
26.08.1980 13:30:00;  25,1
29.09.1980 14:30:00;  12,8
07.10.1980 15:00:00;  9,16
29.11.1980 15:00:00;  6,43
18.12.1980 15:00:00;  4,18
09.01.1981 08:00:00;  3,16
05.02.1981 23:30:00;  2,97
19.03.1981 08:30:00;  3,31
29.04.1981 21:30:00;  7,20
01.05.1981 00:00:00;  7,20
25.06.1981 20:00:00;  17,9
07.07.1981 12:30:00;  31,0
30.08.1981 13:30:00;  18,8
05.09.1981 15:00:00;  16,8
30.10.1981 12:30:00;  11,0
26.11.1981 11:30:00;  5,22
27.12.1981 09:30:00;  3,84
08.01.1982 04:00:00;  2,76
03.02.1982 04:00:00;  2,76
15.03.1982 08:00:00;  2,68
01.04.1982 14:30:00;  3,65
01.05.1982 15:00:00;  5,22
16.06.1982 16:00:00;  26,7
30.07.1982 11:30:00;  32,5
26.08.1982 11:30:00;  24,0
25.09.1982 16:00:00;  16,6
13.10.1982 17:00:00;  10,5
30.11.1982 23:59:55;  6,44
30.12.1982 03:30:00;  4,27
21.01.1983 06:00:00;  3,90
22.02.1983 08:30:00;  3,26
04.03.1983 09:00:00;  3,36
06.04.1983 15:00:00;  4,34
05.05.1983 16:30:00;  11,9
19.06.1983 12:00:00;  22,0
03.07.1983 14:30:00;  39,2
15.08.1983 12:30:00;  22,9
14.09.1983 15:30:00;  16,9
31.10.1983 21:00:00;  8,17
23.11.1983 10:30:00;  3,79
16.12.1983 12:00:00;  3,08
06.01.1984 11:15:00;  2,75
11.02.1984 01:45:00;  2,42
10.03.1984 11:00:00;  2,57
04.04.1984 00:00:00;  3,08
02.05.1984 15:45:00;  5,03
01.06.1984 13:00:00;  15,2
07.07.1984 12:30:00;  22,8
20.08.1984 11:15:00;  21,5
13.09.1984 15:45:00;  15,0
30.10.1984 11:15:00;  8,60
28.11.1984 09:45:00;  4,39
23.12.1984 09:30:00;  3,14
25.01.1985 00:00:00;  2,69
12.02.1985 04:15:00;  2,48
22.03.1985 05:00:00;  2,44
01.04.1985 15:15:00;  2,74
04.05.1985 10:45:00;  5,09
19.06.1985 14:45:00;  21,6
03.07.1985 15:00:00;  34,8
31.08.1985 14:00:00;  31,9
17.09.1985 13:45:00;  14,5
25.10.1985 14:30:00;  5,78
28.11.1985 10:00:00;  3,61
25.12.1985 11:15:00;  2,93
27.01.1986 10:45:00;  2,26
01.02.1986 23:45:00;  1,99
01.03.1986 12:15:00;  2,71
01.04.1986 14:15:00;  4,09
10.05.1986 14:30:00;  13,9
08.06.1986 15:30:00;  22,0
11.07.1986 12:45:00;  20,8
31.08.1986 22:00:00;  23,5
29.09.1986 12:15:00;  13,1
27.10.1986 07:15:00;  6,77
28.11.1986 09:00:00;  3,73
26.12.1986 02:30:00;  3,20
09.01.1987 00:45:00;  2,73
03.02.1987 11:15:00;  2,88
12.03.1987 11:00:00;  2,53
04.04.1987 14:45:00;  2,93
09.05.1987 17:30:00;  10,6
23.06.1987 12:15:00;  21,0
29.07.1987 12:15:00;  34,8
08.08.1987 15:00:00;  24,8
30.09.1987 23:59:55;  16,4
31.10.1987 20:00:00;  11,8
25.11.1987 08:00:00;  5,81
10.12.1987 13:00:00;  4,98
24.01.1988 05:30:00;  4,01
15.02.1988 07:00:00;  3,47
10.03.1988 09:30:00;  3,35
05.04.1988 15:45:00;  3,66
01.05.1988 00:00:00;  11,0
09.06.1988 13:45:00;  24,8
20.07.1988 12:30:00;  40,0
27.08.1988 05:15:00;  26,7
29.09.1988 13:15:00;  17,7
31.10.1988 16:30:00;  7,67
30.11.1988 23:59:55;  5,32
31.12.1988 23:59:55;  4,59
24.01.1989 12:00:00;  3,81
27.02.1989 09:00:00;  3,95
01.03.1989 11:45:00;  3,87
24.04.1989 08:00:00;  6,15
02.05.1989 13:45:00;  6,26
09.06.1989 16:45:00;  19,2
20.07.1989 13:45:00;  32,9
31.08.1989 12:15:00;  16,9
30.09.1989 11:15:00;  11,5
22.10.1989 22:15:00;  7,19
27.11.1989 18:30:00;  4,46
28.12.1989 12:45:00;  2,67
11.01.1990 00:00:00;  2,54
01.02.1990 00:00:00;  2,56
05.03.1990 12:00:00;  3,52
13.04.1990 12:15:00;  4,14
01.05.1990 12:30:00;  7,71
01.06.1990 15:00:00;  17,5
28.07.1990 11:00:00;  29,1
23.08.1990 12:45:00;  16,3
14.09.1990 12:30:00;  9,84
31.10.1990 09:30:00;  6,82
20.11.1990 15:45:00;  5,27
31.12.1990 23:59:55;  3,94
30.01.1991 00:00:00;  3,45
01.02.1991 00:00:00;  3,45
01.03.1991 00:00:00;  3,47
25.04.1991 08:30:00;  5,30
01.05.1991 20:15:00;  5,81
01.06.1991 13:00:00;  19,4
01.07.1991 13:15:00;  38,7
31.08.1991 11:15:00;  16,3
29.09.1991 06:15:00;  10,9
31.10.1991 12:00:00;  5,55
11.11.1991 11:15:00;  4,22
22.12.1991 10:15:00;  2,91
22.01.1992 00:00:00;  2,86
11.02.1992 08:30:00;  2,77
01.03.1992 00:00:00;  2,85
01.04.1992 14:15:00;  3,09
01.05.1992 12:15:00;  11,2
10.06.1992 11:00:00;  29,6
14.07.1992 14:30:00;  33,9
16.08.1992 11:15:00;  22,1
27.09.1992 14:15:00;  12,2
27.10.1992 11:15:00;  9,25
30.11.1992 19:30:00;  6,83
31.12.1992 23:45:00;  4,11
26.01.1993 12:45:00;  3,22
28.02.1993 23:59:55;  2,86
30.03.1993 09:30:00;  2,61
01.04.1993 09:00:00;  3,05
04.05.1993 16:15:00;  13,3
15.06.1993 16:30:00;  23,5
14.07.1993 16:15:00;  18,1
31.08.1993 23:59:55;  18,9
07.09.1993 18:30:00;  13,3
01.10.1993 14:00:00;  14,4
30.11.1993 15:15:00;  7,58
28.12.1993 02:30:00;  5,06
19.01.1994 11:45:00;  3,41
23.02.1994 13:15:00;  3,54
05.03.1994 08:45:00;  3,72
14.04.1994 10:00:00;  4,77
07.05.1994 17:15:00;  13,8
14.06.1994 17:45:00;  22,8
31.07.1994 10:15:00;  30,4
16.08.1994 11:15:00;  19,5
22.09.1994 17:45:00;  16,7
27.10.1994 15:30:00;  8,07
30.11.1994 21:15:00;  6,03
15.12.1994 12:30:00;  4,22
31.01.1995 23:59:55;  3,56
28.02.1995 10:30:00;  2,55
08.03.1995 10:15:00;  2,31
01.04.1995 18:15:00;  3,29
22.05.1995 18:15:00;  9,38
04.06.1995 13:45:00;  25,8
31.07.1995 11:15:00;  33,4
31.08.1995 23:59:55;  14,2
30.09.1995 12:30:00;  11,5
31.10.1995 17:00:00;  6,96
22.11.1995 10:00:00;  4,07
31.12.1995 23:59:55;  3,19
23.01.1996 13:00:00;  2,77
29.02.1996 23:59:55;  2,62
15.03.1996 12:45:00;  2,39
01.04.1996 13:45:00;  2,56
06.05.1996 17:30:00;  7,99
28.06.1996 17:15:00;  14,2
22.07.1996 11:30:00;  19,9
19.08.1996 11:45:00;  14,7
30.09.1996 15:45:00;  10,9
14.10.1996 11:45:00;  12,4
30.11.1996 23:59:55;  8,21
31.12.1996 23:59:55;  4,58
31.01.1997 23:59:55;  3,65
28.02.1997 16:15:00;  3,35
02.03.1997 16:30:00;  3,50
08.04.1997 09:15:00;  3,63
02.05.1997 17:00:00;  6,09
03.06.1997 12:45:00;  20,7
22.07.1997 12:45:00;  33,7
31.08.1997 01:15:00;  29,4
30.09.1997 14:15:00;  12,6
29.10.1997 10:30:00;  4,92
20.11.1997 10:30:00;  5,13
29.12.1997 11:30:00;  4,01
18.01.1998 16:30:00;  3,45
18.02.1998 09:45:00;  3,50
10.03.1998 08:45:00;  2,95
19.04.1998 12:00:00;  4,33
02.05.1998 18:30:00;  8,35
18.06.1998 21:15:00;  19,7
11.07.1998 11:45:00;  29,1
31.08.1998 15:45:00;  13,1
01.09.1998 11:00:00;  12,2
30.10.1998 10:30:00;  11,0
30.11.1998 23:59:55;  6,71
31.12.1998 23:59:55;  4,57
22.01.1999 00:00:00;  4,13
26.02.1999 07:45:00;  3,33
08.03.1999 14:00:00;  3,07
01.04.1999 00:00:00;  4,42
01.05.1999 13:00:00;  14,3
24.06.1999 12:00:00;  22,5
26.07.1999 12:30:00;  28,9
15.08.1999 12:15:00;  23,1
30.09.1999 11:30:00;  18,6
22.10.1999 21:00:00;  10,2
30.11.1999 23:59:55;  6,08
31.12.1999 23:59:55;  4,82
31.01.2000 23:59:55;  4,12
22.02.2000 12:00:00;  2,98
06.03.2000 12:15:00;  3,15
01.04.2000 00:00:00;  4,65
01.05.2000 12:15:00;  25,5
30.06.2000 15:30:00;  24,7
20.07.2000 15:15:00;  21,8
30.08.2000 11:30:00;  19,8
06.09.2000 15:00:00;  13,6
31.10.2000 05:45:00;  12,5
30.11.2000 23:59:55;  10,3
31.12.2000 23:59:55;  6,41
28.01.2001 08:45:00;  5,27
19.02.2001 09:15:00;  4,67
03.03.2001 06:15:00;  4,50
21.04.2001 03:45:00;  5,69
01.05.2001 11:30:00;  14,9
07.06.2001 12:30:00;  26,3
22.07.2001 13:15:00;  36,5
30.08.2001 10:15:00;  26,3
20.09.2001 11:30:00;  12,0
30.10.2001 14:30:00;  7,41
30.11.2001 23:59:55;  4,66
31.12.2001 23:59:55;  3,43
15.01.2002 12:15:00;  3,23
22.02.2002 09:15:00;  2,58
01.03.2002 21:00:00;  3,23
11.04.2002 12:45:00;  4,57
01.05.2002 13:45:00;  9,29
30.06.2002 13:15:00;  28,3
28.07.2002 11:30:00;  24,7
31.08.2002 11:15:00;  18,6
29.09.2002 07:45:00;  8,50
10.10.2002 09:45:00;  7,74
13.11.2002 14:05:20;  6,41
29.12.2002 14:30:00;  5,35
31.01.2003 23:59:55;  4,11
28.02.2003 23:59:55;  3,42
16.03.2003 07:30:00;  3,05
08.04.2003 08:15:00;  3,25
18.05.2003 14:00:00;  19,2
23.06.2003 09:53:30;  35,3
07.07.2003 12:15:00;  22,8
27.08.2003 11:15:00;  19,2
30.09.2003 16:00:00;  10,6
28.10.2003 08:00:00;  8,15
30.11.2003 11:00:00;  6,10
24.12.2003 01:15:00;  4,03
23.01.2004 07:00:00;  3,13
25.02.2004 09:30:00;  2,38
10.03.2004 09:30:00;  2,69
12.04.2004 15:45:00;  4,43
11.05.2004 13:15:00;  7,99
03.06.2004 12:00:00;  21,6
29.07.2004 13:15:00;  28,3
23.08.2004 13:00:00;  20,0
29.09.2004 11:15:00;  13,4
18.10.2004 11:30:00;  8,76
30.11.2004 23:59:55;  6,30
31.12.2004 10:26:30;  4,86
31.01.2005 23:59:55;  3,72
28.02.2005 23:59:55;  3,41
15.03.2005 13:45:00;  3,17
11.04.2005 17:00:00;  4,92
12.05.2005 11:30:00;  7,50
11.06.2005 09:45:00;  13,4
24.07.2005 11:15:00;  23,9
10.08.2005 11:45:00;  15,9
26.09.2005 14:45:00;  13,6
31.10.2005 19:30:00;  9,41
20.11.2005 05:00:00;  5,70
30.12.2005 06:37:55;  4,78
10.01.2006 04:15:00;  3,60
28.02.2006 23:59:55;  3,63
18.03.2006 19:00:00;  3,54
07.04.2006 11:45:00;  4,28
01.05.2006 15:35:20;  10,3
08.06.2006 12:15:00;  13,2
18.07.2006 11:45:00;  27,2
31.08.2006 09:00:00;  16,7
30.09.2006 12:30:00;  11,1
23.10.2006 18:45:00;  6,94
30.11.2006 11:30:00;  4,50
31.12.2006 05:44:00;  3,37
15.01.2007 15:30:00;  2,93
19.02.2007 09:15:00;  2,38
12.03.2007 08:15:00;  2,65
02.04.2007 18:00:00;  3,34
07.05.2007 15:15:00;  13,6
01.06.2007 13:30:00;  16,8
31.07.2007 12:15:00;  18,7
01.08.2007 12:00:00;  15,7
30.09.2007 09:30:00;  12,4
31.10.2007 23:59:55;  7,57
27.11.2007 13:00:00;  5,60
31.12.2007 23:59:55;  3,48
18.01.2008 06:15:00;  3,03
23.02.2008 07:30:00;  2,92
06.03.2008 13:02:30;  2,73
07.04.2008 11:45:00;  2,82
02.05.2008 15:30:00;  7,21
16.06.2008 10:00:00;  24,9
24.07.2008 10:45:00;  30,2
28.08.2008 11:45:00;  21,1
29.09.2008 12:00:00;  8,39
28.10.2008 18:30:00;  7,41
30.11.2008 13:30:00;  5,73
31.12.2008 23:59:55;  4,57
31.01.2009 23:59:55;  3,50
25.02.2009 08:15:00;  3,21
21.03.2009 08:45:00;  3,11
01.04.2009 00:00:00;  4,59
01.05.2009 12:30:00;  11,1
05.06.2009 13:15:00;  24,6
12.07.2009 14:15:00;  26,2
31.08.2009 12:15:00;  17,4
30.09.2009 12:15:00;  13,3
31.10.2009 13:00:00;  7,53
29.11.2009 15:30:00;  5,10
31.12.2009 23:59:55;  4,05
31.01.2010 23:59:55;  3,25
28.02.2010 23:59:55;  2,61
15.03.2010 02:56:15;  2,31
03.04.2010 11:00:00;  3,76
21.05.2010 14:30:00;  10,6
02.06.2010 15:00:00;  22,4
31.07.2010 12:30:00;  19,2
01.08.2010 12:30:00;  19,5
30.09.2010 11:15:00;  14,8
25.10.2010 21:45:00;  8,46
30.11.2010 11:15:00;  5,79
31.12.2010 23:59:55;  4,32
23.01.2011 05:00:00;  2,85
24.02.2011 07:45:00;  2,24
08.03.2011 09:15:00;  2,85
01.04.2011 05:30:00;  5,49
05.05.2011 10:45:00;  9,00
10.06.2011 13:45:00;  31,1
31.07.2011 12:45:00;  20,4
31.08.2011 11:30:00;  18,6
13.09.2011 12:15:00;  16,5
31.10.2011 12:45:00;  10,6
29.11.2011 14:30:00;  5,49
31.12.2011 05:15:00;  4,12
31.01.2012 23:59:55;  3,65
27.02.2012 09:30:00;  3,25
10.03.2012 07:00:00;  3,69
25.04.2012 04:00:00;  4,89
18.05.2012 09:15:00;  12,8
07.06.2012 11:30:00;  27,7
19.07.2012 11:30:00;  31,9
17.08.2012 11:45:00;  21,0
22.09.2012 12:15:00;  17,9
31.10.2012 10:15:00;  10,2
30.11.2012 03:15:00;  9,24
31.12.2012 09:00:00;  5,15
31.01.2013 23:59:55;  4,30
28.02.2013 23:59:55;  3,48
03.03.2013 09:30:00;  3,15
01.04.2013 12:45:00;  3,23
28.05.2013 14:30:00;  15,8
01.06.2013 11:00:00;  17,0
01.07.2013 14:45:00;  27,4
