Messstelle:                ;Wörth an der Lafnitz
26.09.1965 12:00:00;  4,59
30.10.1965 12:00:00;  3,41
25.11.1965 12:00:00;  2,99
30.12.1965 12:00:00;  3,41
06.01.1966 12:00:00;  1,35
11.02.1966 12:00:00; 0,790
25.03.1966 12:00:00;  1,76
28.04.1966 12:00:00;  1,55
07.05.1966 12:00:00; 0,930
08.06.1966 12:00:00;  1,22
17.07.1966 12:00:00;  3,00
09.08.1966 12:00:00;  5,90
30.09.1966 12:00:00;  3,98
17.10.1966 12:00:00;  2,56
30.11.1966 12:00:00;  1,27
27.12.1966 12:00:00;  1,76
10.01.1967 12:00:00;  1,71
14.02.1967 12:00:00;  1,87
06.03.1967 12:00:00;  3,98
30.04.1967 12:00:00;  3,08
23.05.1967 12:00:00;  1,60
30.06.1967 12:00:00;  2,15
24.07.1967 12:00:00;  2,41
31.08.1967 12:00:00;  2,15
07.09.1967 12:00:00;  1,56
21.10.1967 12:00:00;  1,96
23.11.1967 12:00:00;  1,72
21.12.1967 12:00:00;  1,22
13.01.1968 12:00:00;  1,78
20.02.1968 12:00:00;  1,45
18.03.1968 12:00:00;  1,01
27.04.1968 12:00:00;  1,05
04.05.1968 12:00:00; 0,590
12.06.1968 12:00:00; 0,970
12.07.1968 12:00:00; 0,930
01.08.1968 12:00:00;  1,27
27.09.1968 12:00:00;  1,70
31.10.1968 12:00:00;  1,28
06.11.1968 12:00:00; 0,930
28.12.1968 12:00:00; 0,650
01.01.1969 12:00:00; 0,930
10.02.1969 12:00:00; 0,800
07.03.1969 12:00:00;  2,33
30.04.1969 12:00:00;  3,16
30.05.1969 12:00:00;  1,97
04.06.1969 12:00:00;  1,97
29.07.1969 12:00:00;  1,58
11.08.1969 12:00:00;  1,97
12.09.1969 12:00:00;  2,53
24.10.1969 12:00:00;  2,60
12.11.1969 12:00:00;  2,09
22.12.1969 12:00:00;  1,92
04.01.1970 12:00:00;  2,03
08.02.1970 12:00:00;  1,80
02.03.1970 12:00:00;  1,86
08.04.1970 12:00:00;  6,76
31.05.1970 12:00:00;  4,18
28.06.1970 12:00:00;  3,10
11.07.1970 12:00:00;  3,51
03.08.1970 12:00:00;  4,73
30.09.1970 12:00:00;  3,40
22.10.1970 12:00:00;  2,20
07.11.1970 12:00:00;  2,92
17.12.1970 12:00:00;  1,71
10.01.1971 12:00:00;  2,13
27.02.1971 12:00:00; 0,890
06.03.1971 12:00:00;  1,35
30.04.1971 12:00:00;  2,53
28.05.1971 12:00:00;  1,58
30.06.1971 12:00:00;  1,58
29.07.1971 12:00:00;  1,17
24.08.1971 12:00:00; 0,390
04.09.1971 12:00:00; 0,550
08.10.1971 12:00:00; 0,600
21.11.1971 12:00:00; 0,480
09.12.1971 12:00:00; 0,580
17.01.1972 12:00:00; 0,370
18.02.1972 12:00:00;  1,17
31.03.1972 12:00:00;  2,26
12.04.1972 12:00:00;  1,99
08.05.1972 12:00:00;  4,67
23.06.1972 12:00:00;  5,44
10.07.1972 12:00:00;  3,62
27.08.1972 12:00:00;  3,18
29.09.1972 12:00:00;  2,70
25.10.1972 12:00:00;  1,96
17.11.1972 12:00:00;  1,39
30.12.1972 12:00:00; 0,760
25.01.1973 12:00:00;  1,34
28.02.1973 12:00:00;  1,08
03.03.1973 12:00:00;  1,55
15.04.1973 12:00:00;  1,35
28.05.1973 12:00:00;  1,08
03.06.1973 12:00:00;  1,05
27.07.1973 12:00:00;  1,50
17.08.1973 12:00:00; 0,710
12.09.1973 12:00:00; 0,820
11.10.1973 12:00:00;  1,27
17.11.1973 12:00:00;  1,20
04.12.1973 12:00:00;  1,53
08.01.1974 12:00:00;  1,38
27.02.1974 12:00:00;  2,09
04.03.1974 12:00:00;  2,20
24.04.1974 12:00:00;  1,92
22.05.1974 12:00:00;  1,58
04.06.1974 12:00:00;  1,58
29.07.1974 12:00:00;  1,18
21.08.1974 12:00:00;  1,27
17.09.1974 12:00:00;  1,18
08.10.1974 12:00:00;  1,67
19.11.1974 12:00:00;  1,78
24.12.1974 12:00:00;  1,67
11.01.1975 12:00:00;  1,50
17.02.1975 12:00:00; 0,810
06.03.1975 12:00:00;  1,27
30.04.1975 12:00:00;  2,02
15.05.1975 12:00:00;  1,96
16.06.1975 12:00:00;  2,34
31.07.1975 12:00:00;  6,15
24.08.1975 12:00:00;  3,88
30.09.1975 12:00:00;  2,77
15.10.1975 12:00:00;  1,79
24.11.1975 12:00:00;  2,27
20.12.1975 12:00:00;  2,46
10.01.1976 05:00:00;  2,47
23.02.1976 17:00:00;  2,24
22.03.1976 13:00:00;  1,85
21.04.1976 12:30:00;  2,16
23.05.1976 17:00:00;  2,65
29.06.1976 18:00:00;  1,34
20.07.1976 18:30:00; 0,940
24.08.1976 12:30:00; 0,646
20.09.1976 11:00:00; 0,775
13.10.1976 17:30:00; 0,853
09.11.1976 09:30:00;  1,78
01.12.1976 09:30:00;  2,09
19.01.1977 23:30:00;  1,39
03.02.1977 23:00:00;  1,48
28.03.1977 07:30:00;  3,68
28.04.1977 09:30:00;  2,77
13.05.1977 09:30:00;  1,82
10.06.1977 13:30:00;  1,53
13.07.1977 11:00:00;  2,04
26.08.1977 16:00:00;  1,57
16.09.1977 18:30:00; 0,722
06.10.1977 17:00:00;  1,22
30.11.1977 23:59:55;  1,15
21.12.1977 21:30:00;  1,03
24.01.1978 05:30:00; 0,678
09.02.1978 13:00:00; 0,796
28.03.1978 16:30:00;  1,29
06.04.1978 18:30:00;  1,23
02.05.1978 06:30:00;  1,40
03.06.1978 14:30:00;  1,56
31.07.1978 06:30:00;  2,79
28.08.1978 15:00:00;  1,78
16.09.1978 07:00:00;  1,19
13.10.1978 13:00:00;  1,43
28.11.1978 13:00:00;  1,23
01.12.1978 12:30:00;  1,62
01.01.1979 23:30:00;  1,70
28.02.1979 04:00:00;  1,56
13.03.1979 15:30:00;  1,30
30.04.1979 13:00:00;  1,53
01.05.1979 14:00:00;  2,21
08.06.1979 09:30:00;  2,62
13.07.1979 14:30:00;  3,04
03.08.1979 08:00:00;  3,53
20.09.1979 11:30:00;  2,23
25.10.1979 09:30:00;  1,88
05.11.1979 11:30:00;  1,85
14.12.1979 13:00:00;  2,52
28.01.1980 18:00:00;  1,75
25.02.1980 14:30:00;  2,18
05.03.1980 12:30:00;  2,34
15.04.1980 08:00:00;  2,52
20.05.1980 10:30:00;  2,32
17.06.1980 10:30:00;  2,00
25.07.1980 13:30:00;  2,12
27.08.1980 16:30:00;  1,96
18.09.1980 11:30:00;  1,98
04.10.1980 09:00:00;  1,75
26.11.1980 15:00:00;  2,95
30.12.1980 11:00:00;  2,39
08.01.1981 14:32:50;  1,76
27.02.1981 02:30:00;  1,96
27.03.1981 09:30:00;  1,84
24.04.1981 07:30:00;  1,22
08.05.1981 14:00:00; 0,723
01.06.1981 00:00:00;  2,18
30.07.1981 09:30:00;  1,29
26.08.1981 13:30:00;  1,43
02.09.1981 10:30:00;  1,86
15.10.1981 15:30:00;  1,50
03.11.1981 11:00:00;  2,74
18.12.1981 09:00:00;  1,38
07.01.1982 21:45:00;  1,07
21.02.1982 13:00:00;  1,32
14.03.1982 10:30:00;  1,46
27.04.1982 10:45:00;  1,74
06.05.1982 07:45:10;  1,59
06.06.1982 07:30:00;  2,06
09.07.1982 15:30:00;  2,30
04.08.1982 21:45:00;  1,64
11.09.1982 09:45:00;  2,83
01.10.1982 10:45:00;  2,94
18.11.1982 15:15:00;  3,52
31.12.1982 07:30:00;  3,00
14.01.1983 13:45:00;  3,63
16.02.1983 03:30:00;  2,49
17.03.1983 11:30:00;  3,41
02.04.1983 12:45:00;  2,69
20.05.1983 12:15:00;  2,30
07.06.1983 11:45:00;  1,26
29.07.1983 14:30:00;  1,79
25.08.1983 11:45:00;  1,38
15.09.1983 11:45:00;  1,42
22.10.1983 10:15:00;  1,44
15.11.1983 00:00:00;  1,04
01.12.1983 20:00:00;  1,13
27.01.1984 08:15:00;  1,03
11.02.1984 04:45:00;  1,02
21.03.1984 18:45:00;  1,82
26.04.1984 13:15:00;  2,65
19.05.1984 10:00:00;  1,27
28.06.1984 08:15:00;  2,26
25.07.1984 09:15:00;  1,91
30.08.1984 19:45:00;  1,75
06.09.1984 14:15:00;  1,70
18.10.1984 17:15:00;  2,15
15.11.1984 09:30:00;  1,87
31.12.1984 17:15:00;  1,26
01.01.1985 21:15:00;  1,45
19.02.1985 00:01:00;  2,33
17.03.1985 11:00:00;  1,81
23.04.1985 17:15:00;  2,31
02.05.1985 09:30:00;  2,85
26.06.1985 07:15:00;  2,74
13.07.1985 08:45:00;  1,79
26.08.1985 05:45:00;  1,76
22.09.1985 09:45:00;  2,06
07.10.1985 17:45:00;  1,87
29.11.1985 02:15:00; 0,768
17.12.1985 19:30:00;  1,47
17.01.1986 15:30:00;  1,15
04.02.1986 20:00:00;  1,71
04.03.1986 17:15:00;  2,24
28.04.1986 12:30:00;  4,72
19.05.1986 15:15:00;  1,94
27.06.1986 10:00:00;  3,76
30.07.1986 11:45:00;  2,45
07.08.1986 09:30:00;  1,79
30.09.1986 17:45:00;  2,07
08.10.1986 14:00:00;  1,01
15.11.1986 10:30:00;  1,16
17.12.1986 01:30:00;  1,25
09.01.1987 17:00:00;  1,38
01.02.1987 00:00:00;  2,10
03.03.1987 16:45:00;  1,91
30.04.1987 05:45:00;  3,41
01.05.1987 11:15:00;  3,41
29.06.1987 15:15:00;  3,52
24.07.1987 08:45:00;  2,10
29.08.1987 12:30:00;  2,76
18.09.1987 16:00:00;  1,14
16.10.1987 13:15:00;  2,25
18.11.1987 16:15:00;  1,92
09.12.1987 18:30:00;  2,23
25.01.1988 10:00:00;  2,41
22.02.1988 11:30:00;  2,07
10.03.1988 16:15:00;  1,77
28.04.1988 12:15:00;  2,50
17.05.1988 12:15:00;  1,97
28.06.1988 15:15:00;  2,57
07.07.1988 12:00:00;  1,92
09.08.1988 11:30:00;  2,03
11.09.1988 01:30:00;  2,81
24.10.1988 23:45:00;  2,58
10.11.1988 10:30:00;  1,90
17.12.1988 12:30:00;  1,72
27.01.1989 03:00:00;  1,06
08.02.1989 09:15:00;  1,97
10.03.1989 08:45:00;  2,18
01.04.1989 08:15:00;  2,41
18.05.1989 07:45:00;  2,67
02.06.1989 06:00:00;  3,50
21.07.1989 07:45:00;  2,67
08.08.1989 06:30:00;  4,78
26.09.1989 09:00:00;  2,86
21.10.1989 14:15:00;  2,67
25.11.1989 01:30:00;  1,30
28.12.1989 07:30:00;  1,10
08.01.1990 15:30:00;  1,19
12.02.1990 13:00:00;  1,33
19.03.1990 08:45:00;  1,55
02.04.1990 07:00:00;  1,55
05.05.1990 10:15:00;  1,84
02.06.1990 14:00:00;  2,67
30.07.1990 11:15:00;  2,47
28.08.1990 15:15:00;  1,79
19.09.1990 07:00:00;  1,73
31.10.1990 17:45:00; 0,981
15.11.1990 16:00:00;  1,66
27.12.1990 15:15:00;  1,54
31.01.1991 15:45:00;  1,28
01.02.1991 14:45:00;  1,33
07.03.1991 15:15:00;  1,38
06.04.1991 13:30:00;  1,54
01.05.1991 09:30:00;  1,85
25.06.1991 13:30:00;  1,30
07.07.1991 08:15:00;  2,50
30.08.1991 20:15:00;  2,71
28.09.1991 12:30:00;  1,72
11.10.1991 14:00:00;  1,06
04.11.1991 18:30:00;  1,66
31.12.1991 05:00:00;  1,63
21.01.1992 08:00:00;  1,41
19.02.1992 04:00:00; 0,991
08.03.1992 14:15:00;  2,66
25.04.1992 04:45:00;  2,31
31.05.1992 07:45:00;  2,00
01.06.1992 07:30:00;  2,00
30.07.1992 05:15:00;  1,84
22.08.1992 12:45:00;  1,40
26.09.1992 18:45:00;  1,45
24.10.1992 22:15:00;  1,33
16.11.1992 04:30:00;  2,07
26.12.1992 20:15:00;  1,23
31.01.1993 02:15:00;  1,37
23.02.1993 05:00:00;  1,72
05.03.1993 01:45:00;  2,03
29.04.1993 15:45:00;  1,84
19.05.1993 22:45:00;  1,40
11.06.1993 19:00:00;  1,35
17.07.1993 19:45:00;  1,22
04.08.1993 22:15:00;  1,35
15.09.1993 18:15:00;  1,45
02.10.1993 12:15:00;  1,90
24.11.1993 09:30:00;  3,06
03.12.1993 03:15:00;  1,50
23.01.1994 09:15:00;  2,22
14.02.1994 19:00:00;  1,06
29.03.1994 03:00:00;  2,10
25.04.1994 23:30:00;  1,55
17.05.1994 20:45:00;  1,84
06.06.1994 13:15:00;  1,72
04.07.1994 10:15:00;  1,10
08.08.1994 18:30:00;  1,22
02.09.1994 09:15:00;  1,72
08.10.1994 16:45:00; 0,925
30.11.1994 10:30:00;  1,60
17.12.1994 21:15:00; 0,957
03.01.1995 00:15:00; 0,957
01.02.1995 22:15:00; 0,957
01.03.1995 06:15:00;  3,06
20.04.1995 20:45:00;  2,96
29.05.1995 20:30:00;  2,25
03.06.1995 18:15:00;  2,15
28.07.1995 02:00:00;  2,07
19.08.1995 12:45:00;  1,50
12.09.1995 13:45:00;  2,25
25.10.1995 12:00:00;  1,60
22.11.1995 04:00:00; 0,957
28.12.1995 05:45:00; 0,991
23.01.1996 18:15:00; 0,991
02.02.1996 07:30:00;  1,30
08.03.1996 06:15:00; 0,957
01.04.1996 18:15:00;  5,49
08.05.1996 21:45:00;  4,78
20.06.1996 17:00:00;  2,41
22.07.1996 14:00:00;  1,50
03.08.1996 11:00:00;  1,90
16.09.1996 10:30:00;  3,50
14.10.1996 15:30:00;  4,51
30.11.1996 10:45:00;  3,39
27.12.1996 12:30:00;  1,06
30.01.1997 11:24:15;  1,61
21.02.1997 11:43:30;  1,03
08.03.1997 01:40:50;  1,59
15.04.1997 15:11:05;  2,00
21.05.1997 18:04:45;  1,98
10.06.1997 12:40:20;  1,23
10.07.1997 17:14:30;  1,56
18.08.1997 12:48:45;  3,13
30.09.1997 23:59:55;  2,73
30.10.1997 17:18:05;  1,99
05.11.1997 12:03:15;  1,26
17.12.1997 18:36:40;  1,22
27.01.1998 01:34:05; 0,918
27.02.1998 18:36:00;  1,38
11.03.1998 22:20:50; 0,959
01.04.1998 04:05:20;  1,42
16.05.1998 11:03:15; 0,684
26.06.1998 19:25:20; 0,811
07.07.1998 15:43:50;  1,70
21.08.1998 07:45:55;  2,09
03.09.1998 16:39:55;  2,38
05.10.1998 12:32:00;  2,62
21.11.1998 09:18:15;  1,50
25.12.1998 02:40:30;  1,07
30.01.1999 04:22:20;  1,47
09.02.1999 07:57:40; 0,949
25.03.1999 22:33:40;  1,81
12.04.1999 22:18:20;  1,73
20.05.1999 04:28:05;  2,26
04.06.1999 10:28:40;  2,46
07.07.1999 07:36:40;  2,21
20.08.1999 07:46:40;  2,55
23.09.1999 09:02:40;  1,12
25.10.1999 11:01:15;  2,27
23.11.1999 08:06:50;  1,21
21.12.1999 06:34:05; 0,957
22.01.2000 22:52:20;  1,06
22.02.2000 16:10:45;  2,21
07.03.2000 12:11:10;  2,24
21.04.2000 14:39:35;  3,02
26.05.2000 03:45:05;  1,78
15.06.2000 00:51:20;  1,31
07.07.2000 17:39:35;  1,05
03.08.2000 06:17:15;  1,10
12.09.2000 20:51:25;  1,44
26.10.2000 17:59:40;  1,64
01.11.2000 00:00:00;  1,78
23.12.2000 01:40:50;  1,13
15.01.2001 11:23:55;  1,92
02.02.2001 05:12:40;  1,12
02.03.2001 23:38:05;  1,97
30.04.2001 16:30:00;  1,87
31.05.2001 01:30:00;  1,26
08.06.2001 12:00:00; 0,967
29.07.2001 15:45:00; 0,857
23.08.2001 23:45:00; 0,827
04.09.2001 08:00:00; 0,823
10.10.2001 01:15:00; 0,820
17.11.2001 01:00:00; 0,820
14.12.2001 23:00:00; 0,837
04.01.2002 19:30:00; 0,837
04.02.2002 03:45:00; 0,792
14.03.2002 00:15:00; 0,782
03.04.2002 15:00:00; 0,830
03.05.2002 00:30:00; 0,827
07.06.2002 01:15:00; 0,932
04.07.2002 06:00:15;  1,10
04.08.2002 00:00:00;  1,53
30.09.2002 17:45:00;  1,55
10.10.2002 00:00:00;  1,42
15.11.2002 13:30:00;  1,71
28.12.2002 07:45:00;  2,42
30.01.2003 04:45:00;  1,15
02.02.2003 01:00:00; 0,951
01.03.2003 05:30:00; 0,994
29.04.2003 04:00:00;  1,23
26.05.2003 15:45:00;  1,02
07.06.2003 22:30:00;  1,13
22.07.2003 07:30:00; 0,861
27.08.2003 04:15:00; 0,834
04.09.2003 23:15:00; 0,834
03.10.2003 20:45:00; 0,834
25.11.2003 17:00:00;  1,02
09.12.2003 02:45:00; 0,897
24.01.2004 01:00:00; 0,940
13.02.2004 01:15:00; 0,928
06.03.2004 04:15:00; 0,985
16.04.2004 08:45:00;  1,76
01.05.2004 12:45:00;  1,89
27.06.2004 11:00:00;  2,76
24.07.2004 18:00:00;  1,76
07.08.2004 10:00:00;  1,20
30.09.2004 10:45:00;  1,71
08.10.2004 10:00:00; 0,981
26.11.2004 08:15:00;  1,35
20.12.2004 21:45:00; 0,957
17.01.2005 10:00:00; 0,817
27.02.2005 20:15:00; 0,820
11.03.2005 18:15:00;  1,19
18.04.2005 11:00:00;  2,68
27.05.2005 09:00:00;  2,10
27.06.2005 08:45:00;  1,80
04.07.2005 04:30:00;  1,82
25.08.2005 05:00:00; 0,983
07.09.2005 12:45:00;  1,38
03.10.2005 14:45:00;  1,88
03.11.2005 15:00:00;  1,86
18.12.2005 21:00:00; 0,964
09.01.2006 23:45:00; 0,832
28.02.2006 12:30:00;  1,87
08.03.2006 06:15:00;  1,04
10.04.2006 13:45:00;  1,48
19.05.2006 02:00:00;  2,60
29.06.2006 08:00:00;  1,80
25.07.2006 12:30:00;  1,72
01.08.2006 11:30:00;  1,48
14.09.2006 10:15:00;  1,49
29.10.2006 19:45:00;  1,41
08.11.2006 12:00:00;  1,09
27.12.2006 08:15:00; 0,788
27.01.2007 09:00:00; 0,834
23.02.2007 20:15:00;  1,51
05.03.2007 16:45:00;  1,59
29.04.2007 07:00:00;  1,38
23.05.2007 15:00:00;  1,26
20.06.2007 22:30:00; 0,891
28.07.2007 18:00:00; 0,743
20.08.2007 10:45:00; 0,740
03.09.2007 17:15:00;  1,75
22.10.2007 23:30:00;  2,15
09.11.2007 00:45:00;  2,05
31.12.2007 02:00:00;  1,42
09.01.2008 01:45:00;  1,50
17.02.2008 00:00:00; 0,908
18.03.2008 10:15:00; 0,896
16.04.2008 03:15:00;  1,63
08.05.2008 07:15:00;  1,16
01.06.2008 16:45:00;  1,28
07.07.2008 20:45:00;  1,47
31.08.2008 23:59:55;  2,63
25.09.2008 09:45:00; 0,946
13.10.2008 15:00:00;  1,48
20.11.2008 02:00:00;  1,69
04.12.2008 08:15:00;  1,86
08.01.2009 21:00:00;  1,75
18.02.2009 22:30:00;  1,57
01.03.2009 00:00:00;  2,31
28.04.2009 06:00:00;  3,25
29.05.2009 01:45:00;  2,31
20.06.2009 03:00:00;  1,98
31.07.2009 23:59:55;  3,48
27.08.2009 10:00:00;  2,64
04.09.2009 04:30:00;  3,18
30.10.2009 22:45:00;  2,60
28.11.2009 11:00:00;  2,39
19.12.2009 04:45:00;  1,35
27.01.2010 05:00:00;  1,34
16.02.2010 05:45:00;  1,58
08.03.2010 08:15:00;  2,00
30.04.2010 10:15:00;  2,00
01.05.2010 04:45:00;  2,01
07.06.2010 03:15:00;  2,67
17.07.2010 23:45:00;  2,07
03.08.2010 07:00:00;  2,00
15.09.2010 06:30:00;  3,38
16.10.2010 10:15:00;  1,33
26.11.2010 11:00:00;  2,19
02.12.2010 20:30:00;  1,69
06.01.2011 18:30:00;  1,67
23.02.2011 16:45:00;  1,06
08.03.2011 12:00:00;  1,50
19.04.2011 13:45:00;  2,01
30.05.2011 17:00:00;  1,14
01.06.2011 08:15:00;  1,60
23.07.2011 15:15:00; 0,900
27.08.2011 19:30:00;  1,56
01.09.2011 20:45:00;  1,82
17.10.2011 01:15:00;  1,57
03.11.2011 13:45:00;  1,06
21.12.2011 10:45:00;  1,15
16.01.2012 09:15:00; 0,631
01.02.2012 00:00:00;  1,11
27.03.2012 18:15:00;  1,35
02.04.2012 18:30:00;  1,35
03.05.2012 16:00:00;  1,25
18.06.2012 23:30:00;  1,10
04.07.2012 00:30:00;  1,14
27.08.2012 19:30:00;  1,58
19.09.2012 09:15:00;  1,85
13.10.2012 04:30:00;  2,22
01.11.2012 06:00:00;  3,06
20.12.2012 12:45:00;  2,17
27.01.2013 06:00:00;  1,11
21.02.2013 21:45:00;  2,02
05.03.2013 16:00:00;  4,68
30.04.2013 03:30:00;  4,68
27.05.2013 16:00:00;  3,99
22.06.2013 05:15:00;  2,95
31.07.2013 17:15:00; 0,816
01.08.2013 04:00:00;  1,27
08.09.2013 08:00:00;  1,75
10.10.2013 14:15:00;  1,68
02.11.2013 09:30:00;  2,49
20.12.2013 15:00:00;  2,56
27.01.2014 08:45:00;  2,41
01.02.2014 11:45:00;  2,58
31.03.2014 15:00:00;  3,13
18.04.2014 13:30:00;  2,49
04.05.2014 13:00:00;  2,55
23.06.2014 21:00:00;  2,27
21.07.2014 02:45:00;  2,09
09.08.2014 05:15:00;  2,88
30.09.2014 23:30:00;  5,15
31.10.2014 09:45:00;  3,07
06.11.2014 16:15:00;  2,74
29.12.2014 07:30:00;  1,68
08.01.2015 10:30:00;  2,92
08.02.2015 05:30:00;  2,09
24.03.2015 14:45:00;  2,17
23.04.2015 01:30:00;  2,24
11.05.2015 23:15:00;  2,09
26.06.2015 10:30:00;  1,68
07.07.2015 11:00:00; 0,741
13.08.2015 18:00:00; 0,692
01.09.2015 14:15:00; 0,741
01.10.2015 11:30:00;  1,27
19.11.2015 04:45:00;  1,30
23.12.2015 00:15:00;  1,25
04.01.2016 12:45:00; 0,692
08.02.2016 18:30:00;  1,35
27.03.2016 12:45:00;  1,69
21.04.2016 22:45:00;  1,40
10.05.2016 22:30:00;  1,51
10.06.2016 08:15:00;  3,13
12.07.2016 04:30:00;  3,54
09.08.2016 19:15:00;  4,97
29.09.2016 08:30:00;  2,48
18.10.2016 01:30:00;  2,02
04.11.2016 13:45:00;  2,09
30.12.2016 09:30:00;  1,35
01.01.2017 11:45:00;  1,63
19.02.2017 17:15:00; 0,665
17.03.2017 20:45:00;  1,57
26.04.2017 07:45:00;  1,40
25.05.2017 08:00:00; 0,960
23.06.2017 21:00:00; 0,697
04.07.2017 15:45:00;  1,16
02.08.2017 04:45:00;  1,12
09.09.2017 05:45:00;  1,82
29.10.2017 14:00:00;  1,75
09.11.2017 13:30:00;  1,30
04.12.2017 06:15:00; 0,900
25.01.2018 07:15:00;  1,82
15.02.2018 15:00:00;  1,82
05.03.2018 16:30:00;  2,02
30.04.2018 11:45:00;  2,27
02.05.2018 20:45:00;  1,98
29.06.2018 16:45:00;  3,41
31.07.2018 23:59:55;  1,88
24.08.2018 09:00:00;  1,57
01.09.2018 00:00:00;  1,88
21.10.2018 18:15:00;  1,82
16.11.2018 03:15:00;  1,75
17.12.2018 04:00:00;  1,56
22.01.2019 12:15:00; 0,637
01.02.2019 00:00:00;  2,02
30.03.2019 13:45:00;  1,75
21.04.2019 12:45:00;  1,63
26.05.2019 06:45:00;  1,30
14.06.2019 11:30:00;  1,15
26.07.2019 08:30:00;  1,27
19.08.2019 12:15:00;  1,22
01.09.2019 17:30:00;  1,17
26.10.2019 12:45:05;  1,20
02.11.2019 15:30:00;  1,35
19.12.2019 12:45:00;  2,40
31.01.2020 12:30:00;  1,78
22.02.2020 13:30:00;  1,60
31.03.2020 14:00:00;  1,33
30.04.2020 22:15:00; 0,904
22.05.2020 23:15:00; 0,486
03.06.2020 19:45:00; 0,585
27.07.2020 20:30:00;  1,82
11.08.2020 21:00:00;  1,82
21.09.2020 23:45:05;  2,85
31.10.2020 11:44:00;  3,86
29.11.2020 15:44:00;  2,53
02.12.2020 12:59:00;  2,49
20.01.2021 13:29:00;  2,75
05.02.2021 14:29:10;  1,07
26.03.2021 12:45:00; 0,894
06.04.2021 15:15:00; 0,745
30.05.2021 23:45:00; 0,952
09.06.2021 17:15:05; 0,741
14.07.2021 07:30:00;  1,01
13.08.2021 14:01:45;  1,38
17.09.2021 07:30:00;  1,02
24.10.2021 15:00:00; 0,997
20.11.2021 10:00:00;  1,03
20.12.2021 09:44:00; 0,934
